feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
-1.853,-0.195,-0.321,0.068,-0.919,-0.317,-1.458,0.258,-0.143,2.545,0.554,-2.388,0.971,2.031,-1.036,0
1.206,-1.192,1.237,-0.151,-0.129,0.351,-0.736,1.149,1.356,1.272,-0.614,0.42,-0.555,-0.899,-1.072,1
1.739,-0.432,0.7,-0.693,-0.746,-1.068,0.448,-1.133,-0.631,0.797,-1.145,0.576,-0.089,-1.528,0.313,1
-0.386,0.578,-0.532,-1.118,-0.341,-0.325,-0.217,2.085,0.19,1.196,1.047,-1.35,-0.346,1.096,-3.138,0
-0.408,-0.345,0.679,-0.993,-0.503,-0.943,0.375,-0.531,-0.83,-0.043,-0.924,-0.06,1.336,0.075,0.842,1
1.055,-1.835,-0.209,1.76,-0.023,-0.658,0.7,0.933,0.182,0.672,-0.302,-0.727,0.565,0.548,0.033,0
-0.81,1.907,1.594,-0.069,0.694,-0.378,-0.338,-0.186,-0.631,-0.208,-1.668,-0.49,-0.848,1.598,-0.931,1
-0.024,1.159,0.775,0.114,1.517,-0.582,-0.119,-0.133,-0.292,-0.594,1.14,-1.01,0.449,-0.782,0.431,1
-1.647,-1.049,3.22,1.018,-0.668,-0.1,-0.198,0.054,0.815,1.681,0.168,-0.423,-1.712,-0.193,-0.663,1
-1.613,-1.047,-0.482,0.39,-1.865,-0.394,0.072,-0.754,0.299,0.334,0.71,-0.737,0.711,1.062,1.446,1
-0.689,1.018,-1.281,0.735,-1.372,-0.431,-1.836,1.06,-0.62,-0.124,-0.018,-0.645,-0.228,-0.103,-1.381,1
0.453,1.232,-0.397,-0.94,-1.871,1.399,0.413,-0.993,-0.173,-1.15,-0.805,0.774,-0.057,0.161,0.092,0
0.571,-0.144,-1.63,0.001,-0.209,-1.425,0.244,-0.041,-1.206,0.081,-0.463,-0.019,0.3,-0.706,-1.43,1
1.142,0.925,1.19,-0.166,1.17,-0.77,1.618,0.877,-0.218,0.115,-1.149,-0.508,1.15,1.71,0.055,0
-0.997,-1.305,0.327,0.314,0.485,0.48,0.408,0.294,-0.514,0.436,0.61,2.134,0.855,-1.118,2.087,0
0.717,0.823,1.521,-1.859,-0.443,-0.332,2.274,1.056,0.737,1.309,1.346,0.165,-1.162,-0.639,-1.033,1
-0.022,-0.147,-0.939,0.471,0.893,1.379,0.001,-0.187,2.195,1.533,-1.008,0.924,0.143,1.027,0.182,1
-0.295,0.261,0.896,0.096,0.392,0.777,-0.737,-1.202,0.698,-0.156,-0.862,0.141,-0.314,-0.21,1.44,1
-1.421,0.252,-0.95,-0.474,-0.556,0.043,-0.665,0.968,1.978,1.574,-0.142,0.802,-0.574,0.22,0.301,0
0.394,0.384,-0.416,0.173,1.839,0.462,-1.21,0.933,-0.292,-0.994,1.339,-0.121,1.431,-2.327,0.043,1
-3.495,-0.219,-0.426,1.461,-0.342,0.532,0.889,1.955,0.469,-0.959,0.106,-1.256,0.615,1.393,-0.465,0
0.481,0.279,-0.088,-0.017,-0.075,1.424,-0.126,-0.357,-0.284,1.663,0.529,-0.114,-2.081,1.01,0.843,1
1.195,-1.156,-0.29,-1.0,0.554,-0.097,-1.51,-2.201,1.654,-0.846,0.207,-0.98,1.567,-0.737,-0.094,0
-1.864,1.458,-0.788,-0.846,-1.018,-0.39,-0.338,-0.396,-0.37,0.773,1.303,0.373,1.425,0.085,0.481,1
0.569,0.519,-0.362,0.121,-0.505,0.134,-1.128,0.535,-1.086,1.012,1.438,0.814,-0.925,0.63,-1.51,1
-2.262,1.009,0.567,-1.627,-0.525,-1.039,0.569,1.466,-0.697,-1.466,0.842,-1.158,-0.251,0.954,-0.775,1
-1.802,-0.086,-0.38,-1.34,-1.15,0.748,2.149,-0.113,-1.248,0.885,0.93,1.474,-0.268,0.04,0.95,1
-0.379,-0.664,0.575,0.314,-0.478,-0.229,-0.806,-1.647,-0.168,-0.691,-1.581,-2.285,-0.109,0.313,-1.394,1
-0.419,-0.372,0.845,0.001,0.477,0.227,1.192,-1.051,0.206,-0.222,-1.877,0.102,-1.361,0.178,-0.47,0
0.475,1.688,0.155,0.492,-0.443,-1.032,-0.125,1.521,-0.698,-0.782,0.386,0.079,-0.044,-0.812,1.999,1
-0.104,0.078,0.758,-0.113,1.105,-0.933,0.998,0.126,-1.191,0.149,-0.422,-0.914,1.669,-0.686,-1.451,1
-1.338,-0.64,-1.385,-0.137,0.859,-0.202,-0.747,-0.109,0.455,-1.46,-0.376,-0.011,1.337,0.412,0.234,0
0.303,0.794,-0.831,-0.448,0.451,1.006,1.164,-1.028,-0.565,1.607,0.681,-0.426,0.298,1.332,-1.445,1
1.027,-1.2,-1.21,0.036,-0.674,-0.065,1.203,-0.222,-0.193,-1.565,-0.023,-0.186,-0.307,-1.145,-0.566,1
-0.437,0.026,1.601,0.196,-0.649,-0.455,0.493,0.973,0.571,0.176,0.222,0.067,-0.235,-0.855,0.947,1
-1.678,0.698,-0.768,0.979,-1.155,0.227,-0.473,0.167,0.764,-0.359,0.176,0.383,0.872,-1.148,-0.014,0
-0.649,0.433,1.201,-0.784,1.165,0.224,0.033,-0.399,0.887,0.927,0.219,0.211,0.07,-0.685,-0.933,1
-0.278,-0.203,-0.569,0.164,0.73,-0.541,-0.017,-0.85,0.381,1.574,-2.368,-1.931,-0.774,-0.867,0.783,1
0.491,-0.721,-0.521,1.388,-0.032,-1.599,0.589,0.352,0.138,0.518,-1.036,0.06,0.215,0.345,-0.468,1
-0.238,-2.279,-0.044,0.406,-0.23,-0.563,2.04,0.015,-0.301,0.686,1.84,2.806,-1.249,-0.395,1.77,0
0.82,1.645,0.595,1.568,-0.62,-0.983,1.073,1.695,-0.159,0.674,1.033,0.284,-0.666,-1.753,-0.006,1
-1.375,0.807,-0.354,1.481,-1.376,0.731,-0.8,0.677,-0.806,1.024,-2.186,0.791,1.409,-2.903,-0.618,1
0.314,-1.996,0.302,0.254,0.187,0.322,-0.29,-0.058,0.616,-0.23,-0.265,-0.129,0.872,0.208,1.418,1
0.368,-1.595,-0.883,0.122,2.036,0.05,0.903,0.492,-0.484,0.093,2.467,-0.067,-0.247,1.036,-0.464,1
-0.761,-0.61,-1.007,-0.473,-0.131,-0.301,-1.621,-0.274,-0.616,0.878,-1.538,-1.216,-1.206,-0.561,-0.844,1
0.771,-0.891,-0.75,-1.13,0.596,0.711,-0.353,-0.157,1.026,-0.057,-1.621,1.156,0.781,1.056,0.326,0
0.762,-1.143,-1.485,-1.254,-1.111,0.153,0.274,-0.682,0.463,1.107,0.106,0.127,2.553,-0.669,1.439,0
0.703,1.264,0.772,0.506,0.817,1.635,1.688,2.35,0.304,0.943,0.729,-0.235,1.43,1.571,0.544,0
-0.659,0.776,0.818,0.064,-0.36,-1.031,-0.677,-0.472,-0.875,0.094,0.716,-0.801,0.332,-0.527,-0.52,1
1.299,-1.184,0.59,-0.167,-0.243,0.956,-1.822,0.063,-0.021,0.643,0.263,1.144,-0.557,-0.057,-0.878,1
-2.034,-0.753,0.118,-2.639,-1.037,1.379,0.787,0.61,-1.479,2.219,-0.9,-0.833,1.102,-0.475,1.139,1
-1.784,-1.121,0.882,0.618,-0.38,0.561,0.403,0.871,-0.057,1.71,1.796,0.229,-0.922,-0.81,-2.226,0
-0.917,1.853,0.31,0.401,0.968,0.978,-2.12,-0.091,0.082,1.456,-1.976,0.496,-2.016,0.2,0.736,0
-0.661,0.089,-1.208,0.071,1.812,0.52,0.836,-0.513,0.547,0.717,-0.361,-0.33,-1.313,-0.751,-1.242,0
-0.929,0.256,-0.348,1.911,-1.079,-0.667,-1.579,-0.302,0.571,-1.779,-1.024,1.836,-0.841,-0.266,-1.42,1
1.319,1.434,-0.978,0.096,1.217,0.948,1.83,-1.371,0.024,0.03,-0.765,1.195,-0.254,1.825,-0.886,1
0.442,1.073,-1.786,-0.204,0.771,-0.303,1.701,0.416,1.216,-1.821,0.43,-2.212,0.175,1.49,-0.296,0
1.266,-0.342,-1.832,-0.813,-0.543,-1.463,-0.207,-3.164,0.641,0.102,0.481,-0.028,1.298,1.973,-0.044,0
0.967,0.526,0.009,0.076,-2.004,0.737,-0.789,0.361,-0.185,0.757,-1.252,-0.269,-0.699,-0.197,0.514,0
-0.651,0.587,-1.021,0.689,0.763,0.768,-0.073,0.585,0.202,-0.381,-0.719,-2.116,-0.569,-0.043,-0.538,0
0.066,-0.175,0.372,-1.447,0.391,0.857,0.78,-0.691,0.978,-0.249,0.208,1.757,0.485,0.186,-0.861,1
0.427,-0.948,-1.43,-1.28,0.297,1.066,1.579,0.131,-1.213,-0.441,-0.653,-0.133,-2.214,-0.273,1.318,0
-0.337,0.238,2.034,1.028,-0.532,-0.728,0.362,-1.165,0.043,0.684,0.593,-0.576,-1.448,0.545,-1.163,1
0.058,0.498,-0.219,-0.253,0.586,1.82,-0.303,-0.526,1.571,0.943,-0.704,1.199,-1.899,0.643,0.79,1
-0.624,1.64,-0.006,0.104,1.372,0.807,-0.549,0.184,0.166,-1.287,1.014,-0.123,-0.414,-0.391,0.19,1
-0.508,-0.288,2.676,-1.408,1.682,-0.787,-0.232,-1.273,-0.736,0.88,-1.462,-0.095,0.383,1.361,0.233,1
0.402,-0.618,-0.501,0.491,-0.32,-0.953,-1.39,-0.954,-1.78,-0.325,0.424,0.009,-1.194,-0.027,1.91,1
