feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,target
-0.109,0.608,0.789,0.782,-0.065,-0.0,0.683,0.106,0.35,0.121,0.298,1.345,1.461,1.057,0.816,-0.824,0.893,-0.387,-0.357,-1.157,-1.766,-2.538,0.097,-0.791,0.371,1.512,-0.891,0.525,0.352,0.249,0
1.19,1.411,0.798,0.494,-0.185,-1.038,-0.101,-0.927,0.235,0.089,-0.348,0.849,0.201,0.384,1.231,1.229,0.704,-0.056,-1.49,-1.519,0.326,-1.458,1.899,-0.041,-0.293,1.398,-0.917,-0.779,-0.418,1.106,0
0.253,-0.108,0.771,-1.13,0.996,-1.181,0.963,-1.105,-0.791,-0.216,0.002,-0.21,1.201,0.676,-1.89,0.194,1.602,-1.037,-0.749,-0.384,0.144,-0.081,1.126,0.041,-0.065,3.446,-1.113,-0.434,-0.015,0.543,0
0.125,-0.876,1.222,0.327,-0.105,2.477,0.577,0.147,-1.314,-0.606,0.645,-0.248,-1.408,-0.08,0.519,1.171,2.178,1.779,0.258,-2.434,-0.35,-1.338,-0.439,-0.585,1.807,-0.733,0.409,-0.584,0.106,-0.307,0
0.864,-1.066,-1.013,-0.994,2.908,1.448,-0.561,-0.946,-0.742,0.156,-0.258,-0.75,1.235,1.014,1.013,0.635,0.877,0.814,0.197,-0.637,-0.877,-1.551,-0.788,0.568,0.762,0.557,1.298,1.756,0.211,1.486,1
0.559,0.349,0.848,2.035,0.377,0.484,-0.03,1.093,-0.506,-0.844,-0.221,2.275,-0.783,-0.268,1.568,-0.284,-0.096,1.064,1.489,0.883,-0.238,0.547,-0.061,-0.53,-2.036,0.525,-0.697,-0.088,-0.274,1.292,1
-1.446,-0.315,0.113,-1.468,-1.717,-0.55,0.535,-1.339,1.236,-2.037,1.417,0.169,-1.142,0.607,-0.833,-0.479,0.3,0.721,-0.618,0.546,-0.769,0.079,-0.758,0.942,0.434,1.123,0.506,-1.137,-0.758,0.042,0
-0.69,-0.562,0.825,2.268,-1.773,-0.991,0.635,1.024,0.957,0.019,-1.07,-0.752,2.44,-1.913,0.311,-1.476,-0.478,-0.117,-0.631,-1.265,-0.295,-0.28,1.084,0.173,0.512,-0.982,1.126,0.255,-0.459,-0.928,1
-0.172,-0.687,-0.133,1.63,-1.546,-0.17,0.028,0.091,0.672,0.985,-0.761,-1.273,-0.627,1.371,0.236,-0.447,-1.178,1.413,-0.023,-0.011,-0.995,-0.299,0.767,-0.937,-2.33,-0.781,0.825,1.221,-0.063,1.146,0
1.222,-0.314,-0.723,-0.363,0.442,0.194,-0.5,-0.55,0.024,-1.52,0.529,-0.391,-1.929,0.035,-0.483,-1.226,-0.34,0.007,-0.052,1.167,1.73,2.056,-0.235,-1.346,-0.517,-0.688,0.476,-1.432,0.143,0.633,1
-1.049,-0.522,-1.134,-0.141,-0.646,0.41,0.327,-0.834,-0.492,0.658,0.536,1.235,-0.212,1.387,-0.825,0.354,-0.281,-0.243,-0.294,-0.629,-0.042,-0.27,1.439,0.033,-0.548,-0.494,2.882,-1.167,1.941,-1.164,0
-1.597,0.083,-0.922,-0.371,-0.971,0.153,0.725,-1.39,1.187,0.028,2.001,-0.125,-1.157,0.901,-0.188,-1.273,0.576,-0.356,-0.519,-0.393,1.751,0.196,1.776,-0.185,1.06,1.298,0.329,0.149,0.27,-1.182,0
-1.034,-0.495,-0.895,0.534,-0.887,0.796,0.659,-0.297,0.233,-1.347,-0.823,-0.539,0.092,0.854,-1.033,0.584,1.017,-0.794,0.367,0.429,2.029,-0.768,-1.226,-0.113,0.308,-0.441,-0.78,-0.757,1.515,-1.58,1
0.639,-0.436,-1.002,0.378,0.043,0.586,-1.369,1.117,0.277,1.058,-0.051,0.171,-0.212,-0.179,-0.85,1.167,-0.348,0.074,1.758,-0.625,0.209,1.505,-1.135,-0.711,1.34,1.511,-1.198,0.377,-0.251,-0.528,0
-0.477,-0.563,-1.056,0.241,0.183,0.625,-0.794,-0.675,-0.388,0.45,0.373,-1.91,0.261,1.418,0.674,1.467,-1.108,-0.744,1.019,-1.832,0.281,0.691,0.718,-0.572,-0.467,0.102,0.38,-1.963,-0.781,-0.134,1
-0.361,0.105,-0.326,0.319,-0.11,0.096,-1.493,0.524,0.753,-0.222,0.582,-1.937,-1.533,-0.18,-0.658,-1.232,-1.246,-1.5,-0.54,1.241,-1.621,-0.904,1.397,0.918,0.512,-0.841,-1.045,0.555,-0.949,1.046,1
-1.13,-2.801,1.28,0.22,0.325,1.319,-0.85,-0.699,-0.205,-0.781,0.687,0.784,-1.111,-3.106,-0.99,-0.602,-0.715,-0.467,0.551,2.655,1.058,-0.147,-0.891,0.194,1.968,-0.74,-0.867,-0.306,-0.536,-0.358,0
-1.24,-1.524,-0.816,1.137,0.219,0.413,0.006,-0.567,-0.17,-0.303,-1.287,-1.366,-0.046,-0.615,1.237,-0.814,1.146,-1.179,-0.037,0.672,0.924,0.27,0.629,-0.707,-0.856,0.904,-0.566,0.384,-0.782,-0.151,0
0.42,1.406,-0.827,1.561,-1.095,1.186,1.188,2.056,0.66,-1.108,-0.292,0.456,-0.315,-0.413,0.395,1.13,0.826,0.946,-0.154,-1.601,-0.059,-0.993,1.163,1.609,-0.294,1.082,0.887,-0.861,-0.273,0.98,0
-0.175,-0.123,0.741,0.354,-0.535,0.645,-2.989,0.184,-0.473,-0.959,-1.512,1.507,-0.938,-0.639,0.219,-0.439,-0.139,-0.019,1.656,1.066,-0.182,-1.238,0.514,-0.151,0.138,1.225,-0.764,0.918,0.406,0.251,1
0.128,-0.198,-1.478,-0.591,0.836,-0.229,-1.24,0.249,-1.142,0.782,0.011,0.382,-1.653,-0.381,0.107,-0.101,0.083,0.712,-0.901,0.891,0.477,-0.84,0.333,-1.253,-0.575,-1.906,-0.967,0.368,-0.579,1.237,0
0.871,-0.523,1.24,-0.906,0.768,1.622,0.082,0.203,0.33,-0.953,1.573,1.87,-1.064,-0.227,0.25,1.162,-0.114,-0.056,0.85,-0.86,-0.611,1.063,1.222,0.772,-1.28,-1.543,-0.602,0.321,-0.061,-1.17,0
-2.774,-0.03,-0.917,0.47,1.878,0.522,0.052,0.426,0.948,0.436,-0.205,-1.474,0.507,0.278,1.352,-0.895,-1.596,0.674,-0.997,-0.348,0.218,1.128,-1.501,-0.24,-0.485,-0.066,-0.903,0.644,0.759,-2.02,0
-0.674,-0.919,1.212,-1.346,-0.483,1.719,-0.568,-2.915,1.083,0.077,1.232,2.919,1.938,-0.554,-1.303,1.07,-0.456,1.363,-2.422,-0.083,0.103,0.117,-0.025,0.379,0.245,-0.892,1.434,-1.929,-0.571,-0.667,1
-0.092,0.955,0.185,-0.117,-0.229,-0.345,-1.077,-0.548,-0.329,0.058,2.11,0.773,-0.343,1.237,-0.25,0.224,-0.688,-0.49,0.4,0.698,0.052,0.288,0.06,1.729,0.292,-0.693,-0.844,-0.329,-0.114,-0.845,1
0.3,1.64,-1.074,0.321,0.289,0.352,2.099,-0.529,-1.772,0.097,0.367,0.473,0.588,0.184,-0.843,-1.697,1.087,0.68,1.162,-0.177,0.521,-2.357,-0.835,-2.262,-1.297,0.327,0.606,-0.461,-0.88,-1.477,0
0.983,0.034,1.169,0.903,-1.717,0.046,0.094,-1.356,-1.06,1.065,0.545,1.522,0.024,0.286,0.02,0.929,-0.924,1.147,-0.705,1.154,-1.746,0.71,-0.102,-0.966,-1.423,-0.785,0.611,0.214,-0.175,-1.756,1
1.426,0.513,-0.403,1.977,0.027,-0.25,-0.091,-0.528,-0.464,-0.157,-1.596,-1.532,0.856,0.432,0.241,-0.055,0.048,-0.864,-1.142,-0.829,1.315,1.247,-0.258,-1.34,-0.556,1.173,0.686,0.863,-0.41,-0.759,1
1.698,0.744,-0.033,1.06,0.004,-0.695,-1.883,0.305,-0.7,1.781,-0.294,0.524,1.019,-0.151,1.171,1.641,0.428,-1.07,-0.616,-1.019,0.385,0.294,-1.772,0.435,0.063,-0.689,-0.283,0.66,-0.162,0.886,0
0.548,0.458,0.968,-0.667,1.618,-0.264,1.354,-0.071,-0.37,-0.246,0.329,0.697,0.834,-1.099,0.567,0.828,-3.833,0.116,1.992,1.024,2.133,0.233,1.2,-1.267,-0.944,-0.179,0.312,0.717,-0.23,0.715,1
1.444,0.196,-0.833,-0.953,-0.364,-1.248,-0.093,0.653,0.164,1.346,-0.37,-0.471,0.478,0.851,0.369,1.062,1.764,-0.048,0.913,-1.391,-0.71,0.931,-0.424,-0.482,0.477,-0.179,0.494,0.561,-1.799,-0.608,0
-0.588,-0.345,-0.729,-1.496,0.735,-0.269,0.451,0.041,-0.069,0.259,0.478,-1.489,-1.293,0.88,0.073,0.997,1.024,-1.213,0.974,0.453,-0.993,-0.256,-0.959,-0.57,0.193,0.385,-0.86,1.281,0.128,0.61,0
-1.294,0.604,1.117,0.416,0.675,0.225,-0.956,-0.778,0.694,-0.436,-0.982,-0.906,1.26,0.346,-2.004,0.006,0.46,1.179,-1.011,-0.62,-1.455,-0.59,-0.696,0.516,0.724,-0.188,-0.582,-0.435,-1.288,1.929,0
-0.177,0.64,0.691,0.52,-0.755,-0.033,-0.828,-0.352,-0.6,-0.058,0.297,1.633,-1.495,-0.3,-0.414,-0.783,-1.508,-1.366,0.964,0.04,0.247,0.113,-0.535,0.917,2.066,1.018,-1.938,-0.548,-0.183,-1.237,1
-0.169,0.689,0.104,-0.699,-0.501,-0.171,-1.541,-0.33,-0.739,-1.51,0.178,-0.179,-0.558,-0.88,-0.879,1.549,0.015,-0.028,-0.448,1.876,-0.892,0.439,-1.031,-1.426,0.72,0.596,-1.346,-0.054,-1.082,0.318,0
-2.231,-1.031,0.206,-0.833,0.961,-1.223,0.078,-0.156,0.409,0.499,-1.003,0.068,-0.535,-1.405,1.891,1.36,-0.849,-1.841,1.357,1.148,-0.858,-0.475,-0.958,-0.335,-1.746,0.291,-0.457,0.96,0.417,1.666,0
-1.815,-0.489,0.319,0.821,0.269,0.535,-1.966,0.348,-0.384,1.0,-0.412,1.792,-0.767,-1.308,-1.316,-0.129,1.307,0.191,1.377,0.689,0.439,-0.048,1.122,2.794,-0.085,-0.243,-1.412,-1.05,1.111,0.214,0
0.507,0.283,-1.181,-0.9,2.102,0.133,0.022,-0.28,-0.685,-0.795,-1.733,1.186,0.447,1.13,-0.333,0.894,-1.434,-0.876,0.009,0.63,0.863,1.142,0.311,-0.106,-0.795,-1.121,0.858,-1.693,0.289,0.13,1
0.803,0.202,0.385,0.171,1.361,-0.257,0.007,-0.544,-1.414,2.788,-1.014,1.002,0.867,0.245,1.306,-1.061,-0.041,-1.968,0.646,0.947,-0.964,-0.055,0.649,-1.524,-0.463,-1.625,1.402,0.389,0.725,-1.39,1
-0.855,-1.534,0.129,0.289,-0.738,0.881,-0.766,1.459,1.772,0.33,0.659,0.643,0.402,0.662,-0.816,1.751,-0.071,-0.319,0.98,0.12,-0.061,-0.942,1.432,0.132,-0.182,0.366,-0.675,-0.321,-1.209,0.078,0
0.176,0.579,1.551,0.084,-0.287,-0.662,-0.014,-0.278,-0.786,0.461,0.566,1.154,-2.397,0.38,-1.024,0.799,0.87,0.07,-0.339,-0.095,0.158,-0.84,1.612,-0.08,1.633,-0.22,-0.223,0.131,0.683,-0.138,1
1.482,1.659,0.41,-0.001,-0.108,0.479,-1.292,0.347,-0.006,-0.376,2.268,0.999,-0.298,-0.756,-0.205,1.405,-0.943,2.028,0.393,0.413,0.464,-0.03,1.272,1.085,-1.012,-0.147,-0.497,0.364,0.34,1.273,1
-1.537,1.04,-0.764,-0.443,-0.009,0.253,0.89,2.015,0.123,0.283,0.579,-0.2,-2.469,-1.61,1.744,-0.388,0.772,0.227,0.847,0.85,1.804,1.465,0.291,-1.162,-0.478,1.387,-0.051,-0.601,-1.144,-1.123,0
-0.795,-0.569,0.055,-0.765,-1.418,-0.897,-0.07,0.494,2.187,1.162,0.635,-0.433,-1.411,1.868,-0.982,-0.958,1.775,1.516,-1.047,1.376,-0.232,0.895,-0.12,0.785,-0.562,-0.479,-0.752,-0.477,0.713,-1.951,0
-0.603,-0.794,0.024,-0.717,0.931,0.113,0.215,-1.284,2.229,0.825,0.455,0.56,0.212,1.186,0.288,1.7,2.432,0.259,1.333,0.126,-0.158,0.578,1.223,0.792,0.507,0.439,-0.836,-0.69,0.465,0.983,1
0.414,-0.524,0.134,-1.125,1.309,-0.073,1.123,-0.245,0.272,-0.429,0.824,-1.399,-0.682,0.854,1.568,-0.6,0.24,2.104,-0.77,-1.513,-0.404,-0.442,-1.265,1.484,-0.204,-1.189,0.141,0.647,-0.231,0.396,1
-0.136,0.249,-0.381,-1.633,-0.326,2.11,-0.558,0.388,-2.277,0.373,0.206,-1.016,-0.6,0.178,-1.143,1.339,-0.997,-0.602,0.878,0.732,0.274,1.719,1.345,-1.265,0.451,0.66,-0.652,-0.888,-1.08,1.425,1
-1.121,0.392,-0.49,-0.289,-0.205,-0.195,1.668,0.674,1.171,0.022,-0.916,0.218,1.256,-0.808,2.062,0.305,-1.461,-0.203,0.031,0.291,0.419,-0.815,-0.695,0.899,-0.763,-0.197,-0.363,-1.553,-0.861,-0.4,1
1.681,-0.112,-0.545,0.525,0.695,0.731,1.604,0.715,1.904,-1.12,-2.212,-0.575,0.432,0.834,0.315,1.336,0.586,0.21,-0.066,0.611,0.665,-0.25,0.585,1.277,0.88,0.52,-1.026,1.763,-2.816,-0.284,1
-0.687,1.024,1.731,-0.325,0.314,-0.067,-0.655,1.034,-2.142,0.772,-0.636,0.252,0.983,0.273,0.72,0.877,-1.667,-2.223,-1.085,0.612,-0.579,-0.726,1.865,-0.844,1.396,-0.402,-0.476,0.602,-0.139,-0.52,1
-0.43,-0.933,-0.326,0.93,-0.284,0.846,0.019,-1.676,-1.944,0.099,-0.674,-1.889,-1.842,0.132,-0.793,1.23,0.078,1.804,-0.339,-0.467,-0.402,-1.311,0.031,-0.592,-1.177,1.741,-0.296,-0.347,-0.497,-1.301,0
1.31,-0.267,0.197,-0.699,1.14,0.191,-0.009,0.355,-0.424,1.071,2.712,-0.194,1.75,-0.112,-0.822,0.798,-0.769,1.538,-1.777,-1.065,1.051,1.384,-1.503,-1.087,2.15,-0.926,-0.862,-0.013,0.976,-0.077,0
-2.169,1.214,-1.809,0.194,0.668,-1.159,-0.716,-1.027,-1.479,0.046,-0.107,0.353,0.33,-0.531,0.036,2.467,-0.165,-0.307,1.419,-0.457,-1.598,0.774,-0.636,-0.251,0.701,1.439,-1.068,-0.166,0.518,-0.733,1
0.336,-0.76,0.057,-1.504,-0.449,0.526,0.262,0.717,-0.697,0.844,1.925,-0.341,-0.433,1.308,0.429,0.071,-1.402,0.561,1.151,0.699,-0.59,-0.165,-0.493,0.504,0.138,0.275,0.468,-0.703,-0.18,0.897,0
0.052,-0.532,0.407,0.408,-0.496,-0.929,-0.199,0.468,1.086,-0.489,-0.086,0.607,0.228,-0.619,1.131,-0.121,1.605,0.086,0.281,0.087,-0.257,2.218,1.24,-0.657,1.848,-1.197,-0.454,1.424,2.269,1.31,1
-0.318,-0.377,2.26,-0.331,-0.719,1.22,1.436,-0.314,0.898,0.636,-0.848,-0.093,-0.394,-0.025,-0.363,-0.694,-0.982,-0.056,-1.047,-0.162,-0.572,-1.556,-0.963,-0.437,-0.009,0.045,-0.354,0.158,-1.157,1.816,1
-2.092,-0.652,1.143,-0.754,-1.466,0.08,-0.632,-0.741,1.806,0.938,-0.385,0.659,0.762,-0.645,-3.631,-2.186,0.264,-0.56,1.454,-0.296,-0.47,-1.499,2.297,1.649,1.318,0.756,1.247,0.788,1.549,-0.609,0
-2.703,-0.611,1.19,-0.48,2.254,1.172,0.879,-0.78,-0.078,-0.372,0.364,1.256,-0.122,0.101,0.471,0.684,0.51,-0.78,0.663,0.656,0.058,0.788,-1.086,1.052,-0.389,1.475,-0.171,-2.088,0.796,0.496,1
0.603,-0.523,1.036,0.532,-0.315,0.021,-0.055,-0.812,-0.261,-0.693,1.552,-2.309,-2.196,0.32,0.773,-0.167,-0.012,-0.113,-0.684,-1.251,-0.076,0.379,0.62,-0.09,1.21,0.877,1.831,-0.616,-0.607,-2.06,0
1.529,0.338,0.192,0.164,0.671,-0.41,-0.53,0.253,-0.199,0.61,-1.439,1.662,0.356,-1.812,0.465,-0.548,-1.06,0.174,0.382,-0.196,-0.151,0.626,-0.622,-1.087,-1.325,0.377,-0.058,-1.477,-0.986,1.487,1
0.147,-1.366,-0.671,0.952,1.475,-1.476,-0.866,1.278,0.353,-0.075,0.406,0.535,-0.069,-0.615,0.27,-0.032,-1.276,-0.637,-0.762,-0.467,-1.203,-2.459,-0.49,-1.594,0.948,-0.426,-1.483,-0.45,0.889,-1.153,0
0.029,-0.52,-0.165,-0.277,-0.245,-1.988,-1.266,-0.307,0.84,-0.469,0.227,0.342,0.593,1.917,-0.479,-0.058,-1.724,-0.991,1.955,-0.065,0.146,1.136,-0.269,-0.913,0.687,1.564,1.013,-1.149,-0.792,-0.321,0
0.546,-1.267,0.578,-0.021,-0.138,0.099,-0.163,0.19,-1.257,0.257,-1.063,-0.633,-0.629,-1.677,0.672,1.989,0.816,-1.468,1.663,-1.454,-0.231,0.555,0.325,1.494,0.585,0.76,-1.014,-1.392,0.886,0.916,1
0.485,-1.036,0.162,-0.346,0.772,0.017,0.68,-0.13,0.097,0.796,-2.161,-0.569,-2.002,-1.23,0.877,-2.092,1.594,2.564,-0.127,0.231,0.792,-0.308,0.676,2.681,-0.871,0.036,1.099,-0.28,0.531,0.532,0
