feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,target
-0.276,-0.865,1.442,-0.292,1.015,1.397,0.146,0.378,0.416,0.964,-1.019,0.677,0.145,-0.664,1.267,-0.276,0.759,-0.038,1.088,-1.022,-1.493,0.209,-0.683,-1.249,0.352,0.012,0.254,0.003,-1.153,-1.097,1
-0.631,-0.798,-0.323,-0.837,-1.631,-1.032,-1.317,-1.436,0.113,0.417,1.205,0.053,-1.53,0.627,-0.211,-0.042,2.008,0.57,-1.005,-1.572,-0.321,0.782,0.986,-0.318,-1.162,0.294,-0.116,0.622,1.197,0.283,1
0.548,-0.349,-0.858,-0.906,-0.677,-0.1,0.293,0.393,0.483,-0.845,0.022,0.189,-0.329,0.875,0.405,-0.125,1.924,-0.473,-1.487,1.553,-0.462,-0.75,-2.125,-0.212,0.104,-0.509,-0.732,-0.478,0.567,0.136,0
0.475,0.222,0.846,1.138,0.87,0.212,-0.513,0.839,-0.57,0.349,-0.879,0.845,-0.538,-1.293,-0.017,-0.678,-0.495,1.014,-1.415,1.171,2.363,1.047,0.769,0.668,-0.964,-0.006,-0.836,0.685,-0.778,1.132,0
0.505,-1.928,0.052,1.845,0.566,0.691,1.772,-0.744,-0.505,0.511,-0.904,-1.731,-0.582,1.257,-1.687,1.375,-0.753,-0.809,-0.374,0.104,0.703,1.297,-0.54,-2.287,0.609,1.2,-0.035,0.497,-0.916,0.667,1
-0.558,1.116,-1.623,-0.201,-0.222,-0.872,-0.452,1.079,-0.267,0.108,1.104,1.355,0.704,-0.341,0.06,1.818,-0.835,0.271,0.417,-0.173,0.869,0.106,0.672,1.183,-1.481,0.69,-1.418,0.396,0.275,2.039,0
-0.173,-0.384,1.254,1.404,0.219,-0.765,0.318,0.09,-0.734,-0.53,-0.598,0.936,-0.264,-0.354,0.405,0.021,1.128,-0.722,0.619,-0.701,1.355,0.095,-0.283,-0.45,-0.594,0.15,1.172,-2.168,-0.455,0.573,0
-0.792,0.55,0.512,-1.302,-0.861,1.769,0.303,-1.288,0.039,-0.917,-1.739,0.685,-0.862,0.549,-0.884,-1.341,-0.368,1.884,0.719,-0.938,0.143,-1.704,-0.311,-0.471,0.745,0.428,-1.28,0.236,-1.055,0.49,0
-0.487,1.446,-0.52,-0.387,-0.015,-0.079,1.417,0.636,-0.887,-0.41,-1.939,-0.503,-2.152,0.688,1.153,-0.004,1.365,-0.644,2.388,0.171,-0.526,0.26,0.645,0.679,0.436,3.526,-0.133,-0.751,1.469,1.197,1
0.143,-0.395,3.339,-0.093,0.374,0.519,0.56,-0.358,-1.751,-1.894,-0.229,-1.439,-0.905,-0.242,-0.012,-1.534,-1.663,-2.141,0.601,0.581,-0.643,1.344,1.633,-0.172,-0.54,-0.124,-1.307,1.599,-0.125,-1.341,0
-0.915,-0.269,-0.465,-2.289,0.014,-1.275,-1.105,-0.576,1.353,-1.146,-0.711,-1.788,-0.731,-0.816,-1.57,0.77,0.219,-0.616,-0.034,-1.273,-0.57,-1.303,-0.704,1.145,-0.998,0.011,-1.354,-1.179,0.54,0.227,1
-0.443,0.166,0.678,-1.714,0.556,-0.279,-0.709,1.271,-0.627,0.616,1.141,0.048,-0.594,-0.362,-0.731,-2.149,0.733,0.596,0.717,0.714,0.205,0.124,1.394,1.449,2.241,-2.265,0.157,0.269,0.393,0.332,0
1.206,-0.615,-2.347,-0.714,-0.101,-0.872,-0.395,-0.09,-0.566,-1.449,-2.236,-0.723,0.131,0.176,-0.411,0.061,-0.55,-0.562,-0.044,0.032,0.173,0.172,1.509,0.392,-1.083,1.031,0.453,0.085,-0.358,-0.553,0
-1.451,-0.816,1.813,-0.351,0.716,1.244,1.121,-0.588,-0.124,-1.162,1.968,-0.85,-0.001,-0.149,-0.098,1.002,-0.177,-0.191,0.139,-0.164,-0.336,-0.408,1.597,-0.204,-0.752,-0.698,0.569,0.572,0.04,-0.173,1
-0.675,1.644,0.941,0.675,0.22,0.302,0.735,0.326,-0.687,-0.609,-1.459,1.59,-0.318,1.984,-0.648,0.994,0.978,-1.005,-0.287,-0.911,-1.86,-0.295,-1.063,-1.793,-0.387,0.488,-0.919,-0.463,0.593,0.638,1
-1.008,0.883,-1.066,0.559,-0.107,-0.468,1.417,1.85,-0.759,0.476,-1.657,-0.923,-3.466,0.343,-0.253,-1.193,-0.81,-0.276,-0.9,-1.119,0.641,0.579,-1.397,1.294,-0.639,-0.585,-0.828,0.24,-1.071,0.244,0
-0.432,-0.436,0.208,-0.217,-0.183,-0.128,-0.671,0.659,-0.462,0.122,1.155,0.085,-0.017,0.732,1.018,-0.276,-1.002,1.013,0.457,0.09,1.62,0.225,-1.653,0.36,0.729,-0.498,0.676,-0.904,-0.579,1.259,0
0.678,0.7,0.369,-0.829,-1.084,-0.135,0.394,0.778,0.85,0.908,1.852,-1.042,0.927,-0.068,2.029,-0.081,-0.815,-1.212,0.033,0.442,-0.224,-0.803,0.386,-0.205,1.013,2.203,0.576,-1.298,-0.332,-1.008,1
1.196,-0.181,-0.008,0.654,0.638,-1.391,-0.235,-1.852,0.682,0.63,0.333,-1.128,0.841,-1.166,2.54,-1.962,-0.771,0.546,0.603,-0.809,1.77,-0.979,0.119,0.446,-1.289,-0.17,1.516,0.793,0.955,-2.766,1
1.663,0.58,-1.873,-0.163,-0.477,-1.007,1.91,0.961,0.071,-0.301,-1.206,-0.034,-0.312,-0.422,-0.324,-1.685,0.523,2.396,-0.348,-0.918,2.435,-0.055,-0.377,-0.927,0.399,-1.509,-0.157,-0.34,1.429,1.189,0
0.348,-0.573,-0.626,-0.677,0.966,0.582,-2.256,-0.824,-0.331,0.41,0.837,-0.283,-1.076,-2.408,0.752,0.595,0.257,0.117,-0.492,0.06,0.908,-0.548,0.668,1.612,0.236,-1.203,-0.117,0.231,0.887,1.687,1
0.092,-0.29,1.66,-0.023,-0.217,-0.834,-1.143,1.157,-1.01,0.051,-0.5,1.042,-0.389,-0.827,1.426,-0.148,0.536,-0.108,0.332,-0.319,1.135,-1.215,-1.327,0.504,1.848,-1.592,0.309,-0.71,-0.287,0.034,0
-1.176,-0.439,-0.555,-0.676,0.137,0.311,-0.216,-0.242,-0.169,-0.282,-0.607,-1.342,0.397,0.521,-0.342,-0.744,2.189,0.239,-1.147,1.347,-0.03,-0.774,0.699,-0.778,0.478,-0.26,0.273,-0.892,0.432,0.55,0
0.945,0.143,0.846,-0.718,-0.019,-0.981,-1.427,0.489,-1.251,0.209,-0.124,-0.057,0.942,0.407,-1.169,-0.156,1.092,-0.89,-2.604,-0.817,-0.023,0.539,-0.319,1.084,0.579,1.616,-0.236,0.597,0.859,-1.258,0
-0.242,-2.714,-0.228,1.778,-0.512,0.726,-0.568,0.577,-0.47,0.322,0.404,0.404,-1.297,0.245,0.637,1.323,-0.294,0.156,-0.004,-1.155,-0.822,1.048,-0.79,-1.51,-1.129,0.012,0.053,-1.278,-0.134,1.129,1
-0.015,0.936,-0.565,-0.84,0.283,-0.173,0.596,0.5,-0.161,-0.757,-0.12,1.244,0.702,-1.141,0.485,-1.203,-0.544,0.2,0.57,-1.152,-1.214,-2.167,0.327,1.063,0.701,0.63,-0.07,0.367,0.037,-1.229,1
-1.551,-1.091,-0.575,0.059,1.465,-0.443,-0.357,-0.296,1.464,0.174,-1.324,-0.272,2.759,1.401,0.131,1.262,0.389,-0.034,-0.361,-1.299,0.615,-0.177,2.021,-0.399,-1.028,-1.457,-0.366,0.598,2.143,-0.504,1
-1.058,0.633,0.84,-1.411,-0.955,0.769,-0.226,0.019,-1.165,0.072,0.846,2.3,0.035,-0.827,0.16,0.33,-1.169,1.033,-0.247,-0.598,-0.564,0.595,-0.037,-0.124,-0.769,-0.569,2.275,2.113,0.86,1.317,1
-0.368,-0.574,1.992,0.63,0.593,1.588,2.224,0.659,0.793,-1.689,-0.513,0.686,-0.264,-2.473,1.353,-0.269,1.845,0.172,0.594,0.376,1.147,-0.214,-0.743,0.759,0.203,0.227,-2.365,0.805,1.563,0.018,1
2.415,-0.67,0.478,-1.888,-0.821,0.143,-0.324,-0.72,-0.481,-0.124,0.977,0.036,-2.381,0.984,-0.243,1.291,-0.383,2.056,0.526,-1.341,-1.154,0.717,-1.498,0.095,-1.279,-0.334,-1.061,0.527,0.77,0.817,0
-0.778,-1.634,1.08,-0.121,-0.718,-1.022,0.213,0.135,-1.044,0.049,1.166,-1.027,0.697,-0.136,-0.028,-1.399,-0.651,-0.603,-0.442,1.038,1.283,1.555,1.675,1.041,0.17,-1.333,0.69,1.967,-1.183,-0.948,1
-2.117,-0.452,-0.019,-0.355,-0.231,1.239,0.289,1.845,-1.361,0.836,0.579,1.026,-0.216,-1.11,1.717,0.523,-0.268,0.026,1.018,1.355,1.295,0.633,-1.67,1.198,-0.406,-0.015,-1.971,2.484,0.389,2.404,0
1.056,2.133,-0.781,-0.356,-0.829,0.882,0.765,0.175,1.606,-0.296,1.322,-2.392,1.627,-0.762,-1.215,0.724,-0.688,0.622,-0.377,-2.008,-1.246,0.966,1.274,-0.682,1.488,-0.59,-1.148,1.423,-0.891,-0.024,0
-1.666,-0.06,0.986,-0.394,2.275,0.223,1.503,1.172,0.471,-0.204,0.38,-0.244,0.054,1.324,-0.126,0.574,2.396,-0.194,-1.273,-0.552,-0.744,2.204,-0.5,-1.176,-2.697,0.884,0.675,0.061,1.663,0.243,1
1.344,-1.196,-0.965,-1.682,-1.288,-1.075,-0.336,0.66,0.911,-1.359,-0.931,1.426,0.375,-1.22,0.095,-2.333,-0.816,0.971,-0.403,0.348,2.696,-0.806,-0.746,1.196,-0.223,0.851,1.464,-0.685,-0.867,1.411,1
0.285,-1.843,-0.717,0.502,-0.313,1.126,0.358,1.172,-1.525,1.424,-0.244,0.508,1.632,0.214,-0.548,-0.366,-0.147,0.215,1.965,1.047,1.02,-0.31,1.298,0.236,-0.063,-0.675,-0.076,-0.319,-1.68,1.466,0
0.427,-0.922,0.441,-0.024,1.655,0.48,1.817,0.622,-0.101,-0.011,0.772,0.138,-1.674,0.695,1.273,-0.347,0.708,-0.73,-0.011,0.108,-1.329,-0.481,-0.24,1.49,0.373,0.427,-1.238,-0.062,1.875,0.898,0
-0.335,0.673,-0.746,-1.063,-0.811,0.582,-0.884,-0.179,-1.737,-1.034,0.922,0.66,0.702,-0.242,-0.976,0.158,-0.462,-0.322,0.202,-0.225,-1.405,0.612,0.343,1.089,-1.944,1.035,-0.89,0.514,1.508,0.118,0
-0.713,-0.799,-0.781,-1.497,0.199,0.079,1.611,0.926,0.323,0.76,-0.616,0.005,0.128,-0.476,0.517,-1.646,-0.568,1.288,-1.443,-0.986,0.236,-0.191,-2.026,-1.454,-1.903,0.172,-1.414,1.7,0.992,-0.617,1
2.186,-0.183,-0.715,-1.478,-0.313,-1.181,0.162,-0.397,0.086,-2.051,1.821,1.268,0.375,-0.561,-0.25,0.16,0.332,0.101,1.274,0.568,0.296,1.924,0.397,-2.264,-1.588,0.142,-0.541,-0.232,0.921,0.66,0
1.494,-0.915,2.23,0.312,0.994,0.322,-0.432,-1.028,0.974,1.28,0.74,-0.066,-1.973,1.042,0.25,-0.077,-4.436,0.058,-0.348,1.569,-0.677,0.04,-0.725,-0.35,-0.321,-3.11,0.751,0.21,1.061,0.499,0
0.559,1.524,0.547,0.676,-0.883,0.116,-0.629,-0.528,0.588,-0.233,-2.071,-0.369,1.334,-1.057,-1.174,-0.362,1.657,-0.608,0.755,-1.041,-0.29,-0.69,1.293,1.322,1.367,1.298,0.575,-0.044,-1.451,0.517,1
-0.857,1.65,0.755,-1.443,1.396,0.972,-0.915,0.735,1.343,-0.737,-1.691,-0.545,1.177,-0.386,-0.792,-1.06,-1.215,0.651,1.531,0.312,-0.054,-1.581,0.237,-0.284,-1.145,0.623,-0.279,-0.741,-2.203,0.38,1
-1.287,-1.001,0.899,0.307,0.061,-0.351,-0.028,-0.813,1.465,0.092,0.043,0.863,0.515,-0.654,0.982,1.582,-1.807,-0.095,-1.471,-0.522,-0.88,-0.131,-0.559,0.318,2.105,0.443,-1.15,0.031,0.896,-0.423,0
0.962,0.564,-1.586,-1.044,1.062,2.005,-0.362,-0.865,0.561,-0.492,1.31,0.026,0.482,-0.287,-0.178,0.37,0.084,-0.04,-0.823,-0.132,-1.178,0.119,1.234,-0.623,0.911,0.922,-1.102,-1.253,-0.662,0.765,0
-0.735,0.736,0.674,-0.489,-1.141,0.836,-0.528,1.134,-0.416,1.615,-2.01,0.631,-0.211,0.007,0.631,2.193,-1.71,-0.966,-0.727,0.005,1.629,0.008,0.985,-1.043,-1.063,-0.467,0.531,-0.683,0.148,0.391,0
2.278,-0.655,2.238,0.721,0.171,1.047,-1.52,-0.564,2.49,-0.667,-0.318,-0.456,0.902,-0.314,-0.286,0.447,0.356,0.514,-0.403,-0.165,0.814,0.761,-0.456,0.336,-0.086,0.961,0.489,-0.175,0.274,-0.434,1
0.264,0.628,-0.132,0.164,-0.552,0.544,-0.381,0.9,0.931,-0.383,-0.856,-0.21,0.775,-0.904,0.316,0.513,3.187,-0.404,-0.972,1.374,0.216,0.199,1.874,-1.089,0.602,-0.948,0.176,-0.302,-0.109,-0.275,0
0.104,-0.583,1.127,-1.17,-0.168,1.002,-0.277,-0.059,-0.168,0.339,-1.672,0.956,-0.366,0.82,-0.117,-0.219,0.048,0.986,-1.25,0.242,1.344,0.11,-0.504,-0.393,1.638,0.522,0.092,0.201,0.063,-0.747,0
-0.056,1.042,0.104,-0.088,0.253,1.056,0.754,-0.804,-0.27,-1.766,0.447,-0.309,0.952,-0.122,0.008,2.107,-0.803,-0.358,-0.02,-2.097,0.167,0.552,-0.492,1.401,-0.459,-1.528,0.059,-0.486,-1.138,-0.043,1
0.536,0.86,0.936,0.932,-0.068,-2.058,-1.539,0.942,0.361,1.163,-1.985,0.449,-1.005,-0.423,1.473,1.369,-1.28,-1.336,-1.19,0.985,0.292,1.086,-0.788,0.09,-1.175,-0.942,0.638,-0.735,-1.532,1.483,1
1.488,-1.385,-0.483,0.602,0.73,0.103,0.657,-0.807,-1.04,0.321,1.896,0.618,-0.285,-0.617,-0.839,1.28,-1.496,-0.48,-1.435,0.271,-0.234,-0.346,0.779,0.828,0.115,0.981,0.255,1.626,-0.372,1.564,1
0.125,0.027,0.79,1.868,0.155,1.009,0.992,0.525,-0.739,-0.568,0.526,0.085,0.316,0.033,1.996,-0.192,-1.476,0.226,1.366,0.364,1.409,-0.434,0.094,1.656,1.757,-0.854,-1.172,0.945,-0.075,-1.098,0
-0.2,-0.442,-0.96,0.671,-0.125,0.249,1.769,-2.288,-0.181,0.007,0.392,-0.149,0.348,-1.674,-2.095,-1.05,-0.626,1.846,-0.283,0.761,0.717,-0.715,0.996,0.359,1.148,-0.389,-1.612,2.208,1.186,1.741,0
0.608,0.402,0.845,-1.501,1.255,1.263,-1.807,2.047,-3.03,-1.019,-1.448,0.027,-0.875,-0.25,1.746,0.426,-0.133,2.032,-0.722,1.235,-0.655,0.785,0.361,0.179,-0.897,-0.823,1.022,-0.543,1.588,-0.966,1
-0.679,-0.861,-2.076,0.385,1.35,-0.605,-0.847,0.746,1.021,0.679,0.986,-0.488,1.572,1.07,0.949,1.561,0.991,-0.366,0.88,-0.573,-0.239,2.435,-0.272,-0.334,-0.278,-0.837,0.612,1.485,0.995,1.374,0
0.828,1.488,0.29,2.816,0.032,-0.496,0.263,-0.606,0.529,2.474,-0.118,2.044,0.412,0.337,1.776,-0.238,0.867,-0.416,1.026,0.369,1.643,-2.039,-0.224,-0.411,-1.893,-0.808,-0.116,0.046,1.144,-0.785,0
-0.286,-0.233,-1.138,-0.813,0.64,-0.364,-0.557,-1.548,-0.532,0.234,0.661,-1.509,-0.186,0.565,0.325,-1.489,0.399,0.486,0.304,0.097,1.464,-0.71,-0.894,0.182,0.891,1.316,-0.213,2.648,1.605,0.96,0
-0.409,0.57,-0.114,0.709,0.367,-0.761,1.054,-0.574,-0.824,-0.362,-0.832,-0.509,0.72,-0.266,-0.606,0.312,-0.733,-1.122,-0.595,-0.913,-2.107,2.473,0.396,-0.999,-0.211,1.342,0.414,-0.262,-0.911,-2.199,0
-2.042,-1.314,0.668,0.591,-0.643,0.518,1.296,-0.08,0.547,-0.889,-0.846,-0.712,0.696,0.592,-0.61,-1.872,0.144,0.759,0.547,0.169,-0.344,-0.699,0.329,-1.928,0.309,-1.238,-0.365,0.711,1.045,-0.332,0
0.698,-0.581,-0.185,0.202,0.045,-0.505,0.447,-1.494,-1.341,-0.651,-0.247,1.121,0.679,-0.814,-0.415,-1.292,0.572,-0.392,-2.872,-2.348,0.97,0.779,-0.911,-0.556,2.335,0.191,0.548,-1.0,0.105,0.171,0
-0.647,0.519,-1.114,-0.104,-0.836,-0.564,0.826,1.588,-0.657,-0.423,2.338,-1.38,1.02,1.016,1.583,0.419,-0.676,-0.19,1.282,2.956,-0.44,-0.01,0.571,1.056,-0.303,-0.147,-1.616,-0.708,1.847,0.201,0
0.39,1.553,-0.487,0.811,-0.042,1.508,0.325,0.736,1.749,0.4,0.899,-0.614,0.494,-1.251,-0.9,0.156,-1.327,0.593,0.254,0.454,-0.222,-1.458,-1.475,-0.462,1.869,-0.167,-0.379,1.433,-0.285,2.016,0
0.485,2.232,-0.883,1.057,0.689,0.69,0.629,0.068,-0.242,0.227,-0.691,-0.251,1.607,0.234,-0.019,0.939,-0.427,-0.886,0.494,0.201,0.635,0.417,-0.561,-2.248,-0.653,-0.063,-0.522,1.001,0.258,-1.006,0
-0.503,-0.256,-0.726,-0.087,-1.401,0.166,-0.888,0.271,-1.858,0.252,0.049,0.47,0.419,0.03,0.321,1.586,1.064,0.387,0.301,-1.365,-1.709,-0.164,-0.229,1.515,-0.177,-0.217,0.268,-0.856,-1.3,0.116,0
-0.148,0.376,0.575,-0.74,0.541,0.341,-0.424,0.436,-1.592,-0.422,0.737,0.592,-0.191,2.017,1.155,-0.301,0.195,0.336,-0.059,-0.424,0.339,0.15,0.601,0.55,1.051,-1.003,-0.084,1.477,-0.141,1.375,0
0.192,-1.372,-1.149,0.518,1.419,1.799,-1.13,-0.71,-1.876,0.753,0.303,0.495,-0.249,0.367,-0.325,-0.427,-0.124,1.459,-0.335,-0.013,0.252,-0.199,-1.156,1.746,-0.616,0.572,0.517,1.549,-0.362,0.508,1
-0.1,1.683,0.162,0.731,0.518,1.611,0.314,-0.129,1.89,0.506,0.57,-0.391,1.047,-0.955,0.267,1.236,-0.12,-1.543,-0.705,-0.537,0.7,0.457,-1.315,0.377,-2.344,-1.371,0.993,1.639,-0.296,2.694,1
