,64,0.801 ± 0.097,0.806 ± 0.083,0.714 ± 0.079,0.708 ± 0.073,--,0.920 ± 0.019,0.716 ± 0.058,0.854 ± 0.016,0.877 ± 0.030
seismic_bumps_ls_gpt,0,--,--,--,--,0.845 ± 0.013,--,--,--,--
,4,--,--,--,--,0.937 ± 0.023,0.694 ± 0.134,0.511 ± 0.011,0.500 ± 0.000,0.506 ± 0.012
,8,--,--,--,--,0.947 ± 0.016,0.801 ± 0.044,0.524 ± 0.020,0.532 ± 0.047,0.603 ± 0.137
,16,--,--,--,--,0.957 ± 0.011,0.839 ± 0.029,0.590 ± 0.075,0.757 ± 0.025,0.801 ± 0.108
,32,--,--,--,--,0.968 ± 0.007,0.852 ± 0.029,0.779 ± 0.072,0.837 ± 0.079,0.883 ± 0.106
,64,--,--,--,--,0.960 ± 0.009,0.862 ± 0.017,0.855 ± 0.050,0.978 ± 0.008,0.974 ± 0.017
bbbp_ls_gpt,0,--,--,--,--,0.826 ± 0.005,--,--,--,--
,4,--,--,--,--,0.761 ± 0.110,0.531 ± 0.126,0.764 ± 0.125,0.500 ± 0.000,0.507 ± 0.017
,8,--,--,--,--,0.726 ± 0.031,0.555 ± 0.097,0.896 ± 0.037,0.632 ± 0.182,0.767 ± 0.150
,16,--,--,--,--,0.747 ± 0.034,0.523 ± 0.116,0.864 ± 0.044,0.879 ± 0.045,0.877 ± 0.019
,32,--,--,--,--,0.804 ± 0.032,0.573 ± 0.058,0.914 ± 0.019,0.935 ± 0.008,0.915 ± 0.018
,64,--,--,--,--,0.788 ± 0.049,0.616 ± 0.058,0.891 ± 0.064,0.947 ± 0.021,0.969 ± 0.016
biodegr_ls_gpt,0,--,--,--,--,0.639 ± 0.003,--,--,--,--
,4,--,--,--,--,0.655 ± 0.033,0.531 ± 0.042,0.561 ± 0.028,0.500 ± 0.000,0.503 ± 0.007
,8,--,--,--,--,0.652 ± 0.041,0.552 ± 0.043,0.551 ± 0.029,0.500 ± 0.000,0.554 ± 0.100
,16,--,--,--,--,0.672 ± 0.061,0.578 ± 0.048,0.585 ± 0.060,0.599 ± 0.092,0.606 ± 0.105
,32,--,--,--,--,0.661 ± 0.025,0.588 ± 0.044,0.585 ± 0.068,0.728 ± 0.027,0.783 ± 0.120
,64,--,--,--,--,0.718 ± 0.038,0.647 ± 0.039,0.660 ± 0.031,0.791 ± 0.059,0.896 ± 0.036
