,Plate_ID,Thickness (mm),Width (mm),Length (mm),Hardness (HB),Tensile_Strength (MPa),Elongation (%),Surface_Defect (Binary),Weld_Defect (Binary),Heat_Treatment (Binary),label
201,202,9,208,1103,169,426,13,1,1,0,1
202,203,8,238,1054,201,562,10,1,1,1,1
203,204,17,245,1259,188,487,23,1,1,0,1
204,205,18,191,1381,163,385,15,0,1,1,1
205,206,19,205,1160,161,529,28,0,1,1,1
206,207,5,191,1294,237,484,13,0,0,0,1
207,208,9,214,1072,204,381,20,1,1,1,1
208,209,8,181,1317,203,377,29,1,1,1,1
209,210,18,196,1379,225,360,22,1,0,1,1
210,211,16,181,966,190,526,19,1,1,1,1
211,212,17,196,1074,245,550,26,1,0,0,1
212,213,11,213,894,153,567,16,0,0,0,0
213,214,18,213,1264,211,451,22,0,1,0,1
214,215,14,224,1226,152,429,25,0,1,0,1
215,216,18,220,847,221,376,16,0,1,0,1
216,217,16,212,1077,152,419,27,1,0,0,1
217,218,13,203,855,175,560,16,1,1,1,1
218,219,5,248,1130,196,542,15,0,0,1,0
219,220,13,211,908,155,514,22,1,1,1,1
220,221,18,202,831,166,382,12,1,1,1,1
221,222,10,244,1395,158,387,10,1,1,1,1
222,223,19,211,866,231,432,27,0,1,1,1
223,224,14,195,947,242,427,20,0,0,1,0
224,225,5,231,959,228,561,10,0,1,0,1
225,226,17,192,1373,206,416,14,1,1,0,1
226,227,14,225,1044,156,589,18,1,0,0,1
227,228,11,190,1238,227,599,28,0,1,0,1
228,229,10,201,922,206,518,23,0,1,1,1
229,230,18,247,1287,242,583,17,1,0,0,1
230,231,8,244,990,153,478,18,0,1,1,1
231,232,6,181,1004,209,516,26,1,1,1,1
232,233,13,230,880,154,414,20,0,0,1,0
233,234,5,237,1310,150,487,25,0,0,1,1
234,235,9,202,934,225,412,26,1,1,1,1
235,236,16,195,1252,188,527,11,0,0,0,0
236,237,16,195,1306,156,353,12,1,0,0,1
237,238,14,208,1388,170,483,26,0,0,1,0
238,239,11,207,1217,220,431,21,0,0,1,0
239,240,10,237,1202,166,368,25,1,1,0,1
240,241,18,238,934,214,395,25,0,1,1,1
241,242,12,193,930,217,553,15,1,1,1,1
242,243,13,198,954,219,414,29,1,1,1,1
243,244,13,200,1038,211,467,12,1,0,1,1
244,245,14,235,1081,189,388,22,0,1,1,1
245,246,7,224,1325,209,458,22,1,0,0,1
246,247,13,224,1374,230,519,24,1,1,1,1
247,248,11,195,857,239,367,11,0,1,0,1
248,249,16,209,1093,244,522,21,0,1,1,1
249,250,11,184,1205,177,496,24,0,0,0,0
250,251,18,208,907,225,541,24,0,1,0,1
251,252,14,245,1304,214,484,21,0,1,1,1
252,253,6,229,825,183,557,16,1,0,1,1
253,254,11,229,1068,175,404,12,0,1,1,1
254,255,17,237,1364,202,538,19,0,0,1,0
255,256,13,221,873,164,517,20,0,1,1,1
256,257,18,246,1384,198,478,27,1,0,1,1
257,258,13,227,1274,184,387,16,1,0,0,1
258,259,8,197,944,190,386,16,0,1,1,1
259,260,7,200,1151,200,485,21,1,0,0,1
260,261,8,218,1029,212,395,26,0,0,1,1
261,262,15,244,1094,193,489,23,1,1,1,1
262,263,17,186,976,188,482,24,1,1,0,1
263,264,11,202,1318,169,548,29,0,0,1,0
264,265,8,214,1313,192,388,17,1,1,0,1
265,266,11,220,1167,248,474,26,1,0,1,1
266,267,19,218,991,171,390,16,1,1,1,1
267,268,18,201,993,170,412,18,0,1,0,1
268,269,10,214,1077,240,420,25,0,1,0,1
269,270,12,212,964,185,558,12,0,0,0,0
270,271,16,222,1140,177,512,20,1,1,1,1
271,272,5,224,1031,153,430,19,1,0,1,1
272,273,16,221,1346,239,574,20,1,0,0,1
273,274,13,207,1041,157,598,18,1,0,0,1
274,275,9,228,861,154,506,20,0,0,0,0
275,276,15,190,1385,154,578,20,0,1,1,1
276,277,11,248,1128,203,510,27,1,1,0,1
277,278,16,197,1364,159,399,13,0,0,0,0
278,279,10,183,1396,218,590,14,1,1,1,1
279,280,18,209,1118,183,358,14,0,1,0,1
280,281,17,210,848,199,371,27,0,1,0,1
281,282,13,246,1243,224,400,27,0,1,1,1
282,283,7,240,1099,173,502,25,0,0,0,0
283,284,16,187,1304,207,494,18,1,1,1,1
284,285,8,231,1167,246,435,11,0,1,0,1
285,286,14,244,955,227,360,25,0,1,1,1
286,287,12,197,1346,171,510,19,1,0,0,1
287,288,10,220,1225,242,486,21,1,0,1,1
288,289,8,201,837,173,537,26,1,0,0,1
289,290,19,206,806,155,579,25,1,1,1,1
290,291,9,195,1114,211,548,26,0,0,0,0
291,292,10,197,1397,152,568,26,0,0,1,0
292,293,18,190,803,150,456,12,0,1,0,1
293,294,8,197,875,159,569,18,1,1,1,1
294,295,8,183,1067,221,395,11,0,1,1,1
295,296,12,209,1213,179,567,26,0,1,0,1
296,297,14,247,878,171,498,24,0,0,0,0
297,298,14,184,1082,230,562,18,1,0,0,1
298,299,14,241,1163,228,555,11,1,1,1,1
299,300,12,186,880,233,512,24,0,0,0,0
300,301,8,212,963,187,354,23,0,0,0,1
301,302,19,217,1364,240,398,10,0,1,1,1
302,303,15,207,1392,226,556,22,0,1,1,1
303,304,7,231,1194,229,374,18,0,0,0,1
304,305,17,239,988,233,543,10,1,0,1,1
305,306,8,188,899,168,453,29,1,1,0,1
306,307,14,236,954,216,393,29,1,1,0,1
307,308,15,209,1363,166,555,10,1,1,1,1
308,309,16,208,1135,225,578,20,1,0,1,1
309,310,18,214,1083,249,575,21,0,0,1,0
310,311,12,238,932,159,554,14,0,0,0,0
311,312,12,196,1158,223,366,28,0,1,0,1
312,313,18,239,903,180,407,27,1,1,1,1
313,314,10,187,1041,172,355,16,1,0,1,1
314,315,6,192,1237,170,575,28,0,0,1,0
315,316,17,212,1163,233,473,29,0,1,1,1
316,317,7,220,1334,218,573,25,1,0,1,1
317,318,7,180,1148,229,358,19,0,0,1,1
318,319,13,217,843,183,383,17,1,0,0,1
319,320,6,227,806,214,404,12,1,0,1,1
320,321,10,241,1005,165,414,10,1,0,1,1
321,322,13,230,945,227,510,27,0,0,1,0
322,323,9,248,1224,159,573,16,1,0,0,1
323,324,5,237,1278,199,352,22,1,0,1,1
324,325,16,184,1252,160,584,24,1,1,1,1
325,326,7,216,930,184,505,24,1,1,0,1
326,327,10,217,827,189,558,17,1,0,1,1
327,328,19,215,1192,198,437,19,0,1,1,1
328,329,10,228,1007,194,416,17,0,0,1,0
329,330,19,180,1363,151,549,23,0,1,0,1
330,331,5,229,1015,222,579,11,0,1,1,1
331,332,19,237,958,150,395,13,0,1,1,1
332,333,13,189,1325,161,498,12,0,0,1,0
333,334,18,230,974,176,542,17,0,0,0,0
334,335,6,228,973,244,485,12,1,0,0,1
335,336,6,192,1060,192,567,17,1,1,1,1
336,337,5,216,1172,169,374,13,0,1,1,1
337,338,8,216,863,235,543,10,0,1,1,1
338,339,13,210,1074,151,449,14,1,0,1,1
339,340,16,199,1284,210,412,21,1,0,0,1
340,341,13,218,1000,232,444,25,1,0,1,1
341,342,9,224,919,242,512,19,1,1,0,1
342,343,9,215,1114,212,570,16,1,1,1,1
343,344,5,194,1197,161,576,15,1,1,1,1
344,345,14,209,1324,199,499,11,0,1,1,1
345,346,8,231,1390,213,437,15,1,0,1,1
346,347,12,240,1160,159,495,26,0,1,0,1
347,348,17,247,877,174,419,22,0,1,1,1
348,349,8,209,1388,218,477,24,0,0,0,1
349,350,7,207,1029,176,353,18,1,0,1,1
350,351,19,183,909,202,439,29,0,1,1,1
351,352,18,213,875,204,499,21,1,1,0,1
352,353,6,231,1292,235,537,24,0,1,0,1
353,354,6,207,1238,228,484,12,0,0,1,1
354,355,7,236,1292,179,539,26,0,0,1,0
355,356,6,201,1054,151,561,21,0,1,0,1
356,357,18,219,1171,228,372,14,1,0,0,1
357,358,9,209,914,150,373,28,1,1,0,1
358,359,18,209,1169,165,435,16,0,1,0,1
359,360,7,241,811,183,426,11,0,1,1,1
360,361,10,238,1071,182,500,14,1,1,0,1
361,362,10,204,1081,219,410,17,0,0,0,0
362,363,17,196,950,180,488,29,1,0,1,1
363,364,17,244,908,197,556,17,1,0,1,1
364,365,10,193,1256,208,586,26,1,1,1,1
365,366,18,181,1276,223,535,12,0,0,0,0
366,367,7,182,903,157,391,22,0,1,1,1
367,368,16,246,899,180,419,15,1,1,0,1
368,369,10,199,1214,235,517,22,1,1,1,1
369,370,12,210,1193,180,595,23,1,0,0,1
370,371,12,219,1099,191,465,26,1,0,0,1
371,372,16,229,1200,158,552,16,0,1,1,1
372,373,11,206,864,215,539,25,0,1,0,1
373,374,19,192,935,235,440,10,1,1,0,1
374,375,6,244,1238,158,504,27,1,1,1,1
375,376,11,181,1131,199,561,29,0,1,1,1
376,377,12,216,1113,214,524,14,0,1,1,1
377,378,7,190,1069,241,466,23,1,0,0,1
378,379,17,212,1032,200,494,10,0,0,1,0
379,380,16,208,945,198,479,23,1,0,0,1
380,381,8,238,970,239,561,14,1,1,1,1
381,382,6,246,1100,179,428,13,0,1,1,1
382,383,14,245,1026,221,359,13,0,0,0,0
383,384,18,227,1006,176,413,29,1,1,0,1
384,385,19,216,1358,245,586,12,0,0,0,0
385,386,10,233,1366,164,413,27,1,0,1,1
386,387,14,189,843,169,538,22,0,1,1,1
387,388,14,195,1377,158,513,13,1,0,1,1
388,389,7,198,1157,189,449,18,1,1,0,1
389,390,5,209,1062,179,486,11,0,0,1,1
390,391,16,233,921,173,568,25,0,1,1,1
391,392,14,240,975,227,406,19,1,0,0,1
392,393,17,222,972,190,465,18,1,1,1,1
393,394,16,182,1315,151,454,20,0,1,0,1
394,395,6,209,1193,239,523,22,0,1,1,1
395,396,14,197,923,238,427,22,1,0,1,1
396,397,15,215,1307,180,539,13,0,0,0,0
397,398,5,199,834,191,567,22,0,0,1,0
398,399,11,196,1278,230,394,18,0,0,1,0
399,400,5,203,1313,212,530,19,1,0,0,1
400,401,15,192,1094,225,364,10,1,0,1,1
401,402,9,236,1006,221,590,16,0,1,0,1
402,403,19,246,1234,235,491,18,1,1,0,1
403,404,13,200,941,238,408,14,0,0,1,0
404,405,9,183,846,187,484,16,1,1,1,1
405,406,8,224,1146,193,457,22,0,1,0,1
406,407,8,218,882,209,422,17,0,1,1,1
407,408,13,222,1318,186,580,13,0,0,1,0
408,409,13,217,1386,182,401,20,0,1,0,1
409,410,16,220,1227,223,364,27,1,1,1,1
410,411,18,207,1313,166,460,27,1,0,1,1
411,412,16,184,1257,185,378,27,1,1,0,1
412,413,19,231,1274,153,507,24,1,1,0,1
413,414,12,202,976,189,573,19,0,1,0,1
414,415,5,217,1201,187,444,22,0,0,0,1
415,416,8,215,1075,153,358,22,0,1,0,1
416,417,13,210,1054,190,457,14,0,0,1,0
417,418,12,187,947,208,544,18,1,1,0,1
418,419,12,195,1211,249,406,19,1,0,0,1
419,420,18,190,1065,151,429,13,0,0,1,0
420,421,15,199,813,153,534,11,1,0,0,1
421,422,6,236,1237,161,534,16,1,0,1,1
422,423,13,198,1126,153,570,23,1,0,1,1
423,424,9,240,921,209,448,22,1,1,0,1
424,425,12,204,1099,162,387,15,0,0,1,0
425,426,5,212,1189,246,520,10,0,1,1,1
426,427,16,219,968,189,452,17,0,0,0,0
427,428,17,196,1044,200,451,16,0,0,0,0
428,429,9,232,814,150,566,16,1,0,0,1
429,430,14,226,1269,204,355,17,0,0,1,0
430,431,5,203,800,204,492,28,0,1,0,1
431,432,15,195,1091,237,534,27,0,0,1,0
432,433,19,224,1198,221,576,21,0,1,0,1
433,434,11,235,1302,209,489,27,1,1,0,1
434,435,17,207,803,215,494,15,1,0,0,1
435,436,9,225,1124,248,509,28,1,1,0,1
436,437,7,207,901,163,592,27,1,0,1,1
437,438,9,228,1288,206,426,19,1,1,0,1
438,439,11,185,1379,180,536,22,0,0,0,0
439,440,8,208,1225,235,537,27,1,1,1,1
440,441,15,245,913,231,542,14,1,1,1,1
441,442,8,248,1201,173,539,10,1,0,1,1
442,443,12,213,1162,185,448,13,1,0,1,1
443,444,13,228,1293,183,599,22,0,1,0,1
444,445,18,249,1354,156,414,25,0,0,0,0
445,446,18,245,1123,174,470,15,1,0,1,1
446,447,10,181,1083,184,407,17,0,1,0,1
447,448,5,181,1284,207,494,24,0,1,1,1
448,449,13,205,844,223,477,15,1,1,0,1
449,450,10,230,1140,174,482,27,1,0,1,1
450,451,16,207,1364,243,450,28,0,1,1,1
451,452,9,223,972,155,353,28,0,1,0,1
452,453,12,199,881,198,483,27,0,0,0,0
453,454,17,225,1395,175,572,11,1,0,0,1
454,455,18,223,1055,218,400,20,1,0,1,1
455,456,15,247,1149,188,477,27,0,0,0,0
456,457,15,188,906,150,520,19,1,0,0,1
457,458,9,226,960,209,562,14,0,1,1,1
458,459,19,244,1291,228,526,18,1,0,1,1
459,460,6,200,1010,223,395,28,1,1,0,1
460,461,16,185,1213,200,365,15,0,0,0,0
461,462,8,204,1164,178,579,17,0,0,0,0
462,463,8,182,854,165,583,11,0,0,0,0
463,464,14,208,825,216,467,27,0,1,0,1
464,465,7,245,961,186,570,25,0,1,0,1
465,466,10,194,1329,157,441,17,0,1,1,1
466,467,7,201,1297,231,533,26,0,0,0,0
467,468,8,249,1231,181,537,27,1,1,1,1
468,469,19,213,1328,193,587,16,1,1,1,1
469,470,10,182,1361,191,533,18,1,0,0,1
470,471,15,207,862,229,475,16,0,0,1,0
471,472,16,199,886,178,511,12,0,1,0,1
472,473,12,195,1307,204,361,15,0,0,1,0
473,474,17,209,965,202,477,14,1,0,1,1
474,475,17,215,1065,192,569,12,1,0,0,1
475,476,7,228,888,181,384,23,0,1,0,1
476,477,18,229,1181,236,566,27,0,0,0,0
477,478,12,236,1173,207,363,16,0,1,0,1
478,479,6,243,1206,173,485,20,0,1,1,1
479,480,11,238,984,218,502,29,1,0,0,1
480,481,15,185,1390,214,543,23,1,0,1,1
481,482,10,231,1357,167,449,25,0,0,0,0
482,483,5,241,1316,220,432,25,1,1,0,1
483,484,19,197,876,218,460,13,1,1,0,1
484,485,16,225,1196,225,390,25,0,0,0,0
485,486,5,242,950,246,533,17,1,0,1,1
486,487,15,202,1153,230,415,18,0,0,0,0
487,488,17,189,1194,152,584,14,1,1,1,1
488,489,8,185,998,224,377,27,1,1,1,1
489,490,15,241,922,189,493,22,0,1,1,1
490,491,6,222,816,188,493,24,0,0,0,1
491,492,15,196,1211,204,391,19,1,1,1,1
492,493,14,239,1094,150,555,14,1,0,1,1
493,494,17,197,907,159,356,13,1,0,1,1
494,495,18,248,884,225,476,28,1,0,0,1
495,496,14,240,1225,194,574,24,1,1,0,1
496,497,11,205,1254,202,570,17,0,0,0,0
497,498,11,194,913,231,406,14,1,0,0,1
498,499,12,241,1159,197,530,18,0,1,1,1
499,500,13,233,840,219,484,26,0,0,1,0
500,501,18,209,894,198,428,17,1,0,1,1
501,502,13,208,964,188,509,23,1,1,0,1
502,503,12,185,898,186,484,21,0,0,0,0
503,504,5,235,1371,154,383,18,0,1,0,1
504,505,13,230,927,225,477,25,1,0,0,1
505,506,11,233,1087,189,536,10,0,0,0,0
506,507,13,190,926,243,476,10,1,0,1,1
507,508,14,223,1187,212,396,19,0,1,0,1
508,509,13,239,1120,195,477,21,1,1,0,1
509,510,8,210,1349,225,376,12,1,1,1,1
510,511,11,239,1303,192,401,10,0,0,1,0
511,512,6,194,812,182,510,17,1,0,0,1
512,513,12,228,1259,151,538,29,1,1,0,1
513,514,9,236,1132,197,396,25,0,0,1,1
514,515,14,245,1170,184,445,15,1,1,0,1
515,516,7,187,1113,192,485,29,0,1,0,1
516,517,17,249,949,192,527,20,1,1,1,1
517,518,5,195,1324,224,389,23,1,1,1,1
518,519,13,232,1223,192,543,22,1,0,1,1
519,520,7,212,1239,196,355,13,1,0,1,1
520,521,18,214,1249,229,451,11,1,1,1,1
521,522,12,209,1093,240,505,12,0,0,1,0
522,523,13,231,1312,190,516,16,1,1,0,1
523,524,9,233,936,230,395,27,0,0,0,1
524,525,9,184,1268,193,501,23,0,0,1,0
525,526,17,244,853,242,362,19,0,0,1,0
526,527,6,206,1010,214,487,19,0,0,0,1
527,528,12,185,1136,213,507,15,0,1,1,1
528,529,19,197,1192,194,507,24,1,0,0,1
529,530,11,248,1190,152,363,25,1,1,1,1
530,531,14,236,1211,172,437,17,0,1,1,1
531,532,9,212,965,174,374,14,0,1,1,1
532,533,6,211,1219,194,487,13,1,0,0,1
533,534,10,228,1352,233,418,17,1,1,1,1
534,535,14,212,1150,244,515,19,1,1,0,1
535,536,12,194,1241,227,534,19,0,1,0,1
536,537,16,241,1101,157,553,17,1,0,1,1
537,538,18,212,1114,233,436,21,0,0,0,0
538,539,6,236,951,249,538,16,0,1,1,1
539,540,8,208,1042,203,502,23,1,0,1,1
540,541,10,223,1264,212,451,12,1,1,0,1
541,542,12,230,1045,179,454,17,0,1,1,1
542,543,8,226,1330,234,582,13,1,0,1,1
543,544,11,217,1286,158,530,22,0,0,0,0
544,545,11,182,1187,224,403,10,1,1,0,1
545,546,12,197,975,191,448,15,1,0,0,1
546,547,14,195,1246,184,524,10,1,1,0,1
547,548,6,247,1153,196,511,13,1,1,1,1
548,549,14,202,824,211,491,20,1,1,1,1
549,550,11,187,937,225,575,27,1,0,0,1
550,551,5,235,1128,222,549,26,1,0,0,1
551,552,8,229,999,205,362,18,0,1,0,1
552,553,13,206,1276,235,551,28,1,1,1,1
553,554,9,184,1097,218,524,25,0,1,0,1
554,555,6,206,1123,197,379,20,1,1,0,1
555,556,9,240,927,157,362,29,1,1,1,1
556,557,10,198,1035,206,533,15,0,1,1,1
557,558,5,216,824,235,398,23,0,0,1,1
558,559,8,200,1396,236,596,13,1,0,1,1
559,560,19,183,1230,220,385,14,0,1,0,1
