,Party affiliation,Campaign contributions,Average contribution,Ideological score,Voting record,Committee memberships,Bill sponsorship,Media coverage,label
35,1,159,270,4,DRRDRDDRDDDRD,3,8,73,1
36,1,911,88,4,RRRDDDRRDDDDRD,9,1,80,1
37,1,223,296,1,DRDDD,1,12,56,1
38,1,131,423,2,RRDRDRDDRDRDR,0,9,8,1
39,1,778,61,2,DRRDRRDRDRRRRR,0,0,94,1
40,1,375,29,1,DDRRDRRRDRDDR,1,15,43,1
41,0,65,93,3,RRDRR,4,2,24,1
42,1,538,0,3,DRDDDRRRRDD,6,13,53,0
43,0,932,334,4,DRRRRD,0,18,68,1
44,0,255,233,3,RRDDDRDRR,1,2,88,1
45,1,331,405,3,RDRRDDR,2,0,92,1
46,1,909,444,1,RRRRRRR,0,9,48,1
47,1,982,33,4,DDRDRRR,5,4,12,1
48,1,174,57,4,DDDDRRDRRDDDD,2,2,96,1
49,1,481,304,1,DRDDDRDDD,5,11,22,1
50,1,198,417,1,RRRRD,9,4,65,1
51,0,756,329,1,DDRDDRRDDDDRD,9,8,83,1
52,1,404,259,3,RRRRRRDD,0,19,61,1
53,1,748,496,2,DDDDDDRDDR,2,8,21,1
54,0,706,68,3,DRRRD,3,3,75,1
55,1,80,168,4,DDDDRDRRRR,7,13,56,1
56,1,274,388,3,DDDRR,4,5,24,1
57,0,402,47,2,DRRRDRD,5,2,46,1
58,0,331,325,3,RRRRRDDRDRDRD,9,1,60,1
59,0,601,64,4,RRDRR,7,5,29,1
60,1,55,407,1,DRRDDRR,4,1,10,1
61,0,449,327,4,DRDDRDDRDRR,8,6,17,1
62,0,594,96,3,DRRDD,0,17,87,0
63,1,32,294,1,RDRDDRRDDDRR,0,3,98,1
64,1,991,424,3,RDRDRDDDRRDD,4,6,62,1
65,0,586,352,4,DDDDDD,7,12,28,1
66,0,381,97,2,DDRRDDRDR,5,9,30,0
67,0,420,242,3,RRRDDDRRDRRDR,2,14,65,1
68,0,216,156,1,DDDRD,2,19,18,0
69,0,544,401,4,RDDDDRRD,7,4,33,1
70,0,527,116,3,RDDDDDDRRRDRRR,0,14,86,0
71,1,458,176,1,RRRDDRRDRDRR,9,6,26,1
72,0,237,345,3,RDDRRRDRRRRRR,3,1,39,1
73,0,982,467,3,RRDDRRDDDRRRD,2,5,64,1
74,1,895,484,1,DRDDRR,2,16,3,1
75,0,432,156,1,RDDRD,8,3,11,0
76,0,236,364,3,DDDDRRDRRDDR,7,10,29,1
77,0,919,462,1,RRDDRDRDRR,4,0,74,1
78,0,539,342,3,RDRDDRRDDRD,8,13,4,1
79,0,986,278,3,RDDDDR,4,18,24,1
80,0,112,110,1,RDDDRDRR,9,18,5,0
81,1,604,389,4,RDRDDR,2,14,43,1
82,0,968,63,3,RDRRRRRDDDR,8,12,14,1
83,1,837,45,2,DRDRRRRR,9,10,40,1
84,0,859,198,2,RRRDDRDDRDDDRR,3,15,28,0
85,1,67,498,4,DDRRDDRDDDDDDR,9,4,57,1
86,1,189,300,3,RDRDDRRRR,3,17,14,1
87,1,491,274,2,DRDRR,8,9,81,1
88,0,537,34,3,RDDRRRRRDR,6,14,28,1
89,0,820,350,1,DRDRDDRDR,5,3,47,1
90,1,217,42,2,RRDRDDRRDDDRR,8,2,57,1
91,1,981,421,3,RDDRRRDRDD,6,8,15,1
92,0,921,267,2,RRRRDDDR,6,6,77,1
93,0,241,253,1,RDDDDRRRR,0,10,85,1
94,0,196,37,3,DDRRRRDR,8,17,0,1
95,0,343,450,2,DDRRD,8,11,76,1
96,0,780,279,2,DDRRRDRDRD,6,14,26,1
97,1,39,339,1,RRDDDDR,3,2,46,1
98,1,368,284,2,DDDDRDD,0,19,16,1
99,1,935,10,4,DDRDRD,4,7,64,1
100,0,26,9,2,RDRDRR,7,3,70,1
101,0,274,81,2,DRDDRDRDR,5,16,42,0
102,0,439,25,4,RRRRDRRRRDRR,2,16,14,1
103,1,5,433,2,RRDDRDRRDRRD,0,11,49,1
104,1,993,476,1,RRRRDRRRDRDR,0,2,9,1
105,0,414,282,2,RDDRRRR,0,19,21,1
106,0,25,324,2,RRDRDRRRDDRDDR,4,5,28,1
107,0,906,336,2,DDDDRDDRDD,7,9,82,1
108,1,412,480,2,RRDRR,8,15,12,1
109,1,283,186,3,DRDRDRRDRD,2,12,99,0
110,1,194,65,2,RDDRD,7,15,61,0
111,1,396,245,2,DRRRRRRRDRDD,5,16,84,1
112,0,781,358,4,RRRRDDRDRDD,8,4,99,1
113,0,6,123,3,DRRRRRRRR,7,0,6,1
114,0,488,194,3,RRRRDRDDRD,5,13,38,1
115,1,798,152,2,RRDRRRRRDDD,7,13,51,1
116,1,288,273,4,DDDDDDDDR,9,13,65,1
117,1,765,137,3,DRRDDRDD,3,1,63,0
118,0,652,463,3,DDRRRDRDDRD,5,1,18,1
119,1,581,48,2,DDDDRRDRDRRD,9,8,41,0
120,1,440,261,2,RRRRDDD,2,2,0,1
121,1,313,435,4,RRDRRRRRD,0,13,89,1
122,0,696,214,3,RDRRR,8,16,46,1
123,1,565,438,1,RDRDR,3,0,69,1
124,1,546,498,3,RRDDRDDR,9,12,4,1
125,1,588,68,1,RDRRRDRDDDDDRR,5,14,94,0
126,0,193,330,4,RRRRDDRDR,9,18,94,1
127,0,625,48,2,RDRDRRRRDDDRD,3,1,99,1
128,1,24,82,4,DRDDD,8,11,0,1
129,0,407,255,2,RDDRDDRDDRRDR,0,17,37,1
130,0,437,456,3,RDDRRDDRDDDDDD,8,12,19,1
131,1,197,78,2,DDDDDRRRRRRRRD,2,19,54,1
132,0,108,390,1,RRRRRRRRDRR,7,7,64,1
133,0,387,32,2,DRRDDRRDRDRR,4,17,10,1
134,0,300,363,3,RRDRRRDRRR,5,19,15,1
135,0,535,83,2,DDDRRDRDDD,7,16,44,0
136,1,124,492,2,RRDDDRRDDRD,1,19,2,1
137,1,520,433,4,RDDRDDRRRR,2,7,27,1
138,0,305,240,4,RRRDDDRD,4,11,27,1
139,0,193,315,1,RRDRDRRDRRDD,9,12,45,1
140,1,216,30,2,DRRRRRRDDRDRDD,1,10,66,1
141,0,897,195,1,DDDRD,8,9,52,0
142,1,792,466,2,DRRRDD,9,7,34,1
143,0,139,344,2,RDDDR,8,16,23,1
144,1,5,482,2,DDDDRDR,5,11,37,1
145,0,556,176,1,DRDDD,0,19,38,0
146,1,369,51,2,RRRDDDDRRD,7,3,45,0
147,0,593,204,4,RDRDRRRDRR,2,15,28,1
148,0,544,102,4,DDRRRDDDRDRR,6,11,87,1
149,0,965,404,3,RDDDDRR,0,10,82,1
150,1,658,430,3,DDRRDDRRDD,3,1,39,1
151,1,718,96,1,DRRRRRDRDR,1,13,49,1
152,0,281,259,1,RRDRRDRRD,0,11,3,1
153,1,87,256,3,RDRRRDRDRD,8,15,59,1
154,1,533,152,4,DRRRDDRRRRRDD,3,17,54,1
155,0,699,469,3,DDDRRRRRDDDD,4,5,35,1
156,0,29,103,4,RRRDDDDRDRRD,4,0,37,1
157,0,500,9,2,RRRRDRDDRD,6,16,66,1
158,0,479,436,3,RDRDRR,9,7,50,1
159,0,49,475,3,DDRRRRD,4,2,76,1
160,0,9,145,1,DDRRRRD,8,14,33,1
161,1,792,93,3,DDDRRRD,4,14,83,0
162,0,108,125,1,DRDRRRDRRRDRD,8,6,27,1
163,0,444,299,2,RRRRR,7,0,2,1
164,0,962,224,2,DRRRRDRDDD,6,10,58,1
165,1,612,12,3,RRRDRRRDDRRD,4,1,64,1
166,0,333,12,3,RRDRD,7,7,12,1
167,1,597,203,2,DDRDD,8,15,96,1
168,0,533,481,1,RRRDD,5,14,73,1
169,1,928,98,1,DRDDRDDDDRRR,3,14,54,0
170,0,354,93,4,RDRRRDR,9,0,56,1
171,1,816,272,2,RDDRD,8,17,33,1
172,0,967,456,4,DDRDDR,8,2,78,1
173,1,954,183,3,DDRRRRD,5,10,58,1
174,0,83,461,1,DDRDRR,1,8,87,1
175,1,523,92,1,RDDDRDD,8,3,87,0
176,0,709,204,1,RRRDRRDDDDDDDR,0,12,34,1
177,0,646,58,2,DDRRDDRRRR,0,10,8,1
178,0,499,384,2,RDRRRRDDDRDDRR,6,11,34,1
179,0,938,258,1,RDRRDRRD,5,2,45,1
180,0,660,483,3,DDRDRRRDRRRDRR,8,17,93,1
181,0,571,475,3,RDRDDD,0,19,69,1
182,0,331,173,4,DDRDDDDDDRRRD,8,12,43,1
183,1,817,496,4,RDDRRRRRDRDRR,3,14,97,1
184,1,739,268,4,DDRDDDDRRDR,1,10,93,1
185,1,433,52,2,DRDDRRDDRRR,5,6,46,1
186,1,640,321,1,DRRDRDDDDDDDDR,2,3,52,1
187,0,103,249,1,RRRDRDDRRR,0,11,31,1
188,1,615,76,1,RRRRRDRRDDD,9,14,64,1
189,1,879,478,2,RDDRRRRDDRR,1,13,17,1
190,0,770,192,3,RRDRDRDRDDD,4,19,1,0
191,1,757,494,4,DDRRDRRRDD,2,14,40,1
192,0,178,435,4,DDRRDRDDRDRD,8,6,0,1
193,0,366,238,4,RRDDRDR,6,10,25,1
194,0,863,249,1,DRDDDD,9,6,52,1
195,0,131,483,4,DRDRDDDRDDRDR,5,1,35,1
196,0,346,104,4,DRDRDRR,3,17,32,1
197,0,990,21,3,RDDRRRDRD,1,19,25,1
198,1,342,146,1,DRRDDRDDRRD,7,6,20,0
199,1,8,304,4,DDDDDRRDDRRR,1,2,98,1
200,0,431,481,4,RRDRRDDDRDDD,9,17,43,1
201,0,563,73,3,DRDRDDDDRRR,8,13,74,0
202,1,699,494,4,RRRDD,5,11,53,1
203,1,295,179,1,DDRDDDDRRDDR,7,4,23,0
204,1,385,492,1,RDDDDRRD,4,15,65,1
205,0,775,366,1,DDDRRDDDRDR,3,15,39,1
206,1,694,183,2,DDRRD,3,13,71,0
207,1,658,37,4,DRDDRR,5,11,60,1
208,0,637,320,1,DRDRRDRDRR,9,10,65,1
209,0,375,280,2,DDRRRD,7,4,98,1
210,0,384,5,3,DDDDRRDRDRRD,4,10,93,0
211,1,258,151,2,RDDDDDD,2,4,19,0
212,1,649,171,4,RDDDRDD,8,15,88,1
213,0,532,57,2,RRDRRDDRRDDR,8,9,93,1
214,1,316,338,1,RDDRDRDDRRRDD,6,15,50,1
215,1,275,296,1,RRDDRDRRDD,1,9,37,1
216,1,99,174,4,RDRDD,0,13,50,1
217,1,503,260,3,RRRRRDDDDRRR,5,16,18,1
218,1,345,229,3,RRRRRRDDRD,1,17,66,1
219,0,217,301,3,RRRRDRDRDRDR,7,17,83,1
220,0,787,160,3,RRDRDDDRRDRDDR,2,13,49,0
221,0,717,126,1,DRDDDRDDDDRRRD,7,12,34,0
222,0,76,322,2,RDDDRRDDDDRR,6,17,71,1
223,0,371,175,3,RDDDDDDDD,1,2,11,0
224,1,31,198,2,DRDRRR,3,3,69,1
225,1,655,318,2,RRDRDD,6,1,83,1
226,0,818,420,4,DDDDDDRDDRDRD,1,18,87,1
227,0,269,65,1,RRRRRDDDRDD,2,10,34,1
228,0,235,412,3,DRRDRRDDDR,7,13,79,1
229,0,392,367,4,DRRRRRDRDRDD,6,14,35,1
230,1,948,272,1,DDDRRDD,8,17,63,1
231,1,236,363,1,RDRRDDDRRDD,3,14,27,1
232,1,152,419,3,DDRRRDDDRDRRDD,5,16,83,1
233,1,88,130,3,RDDRDRRDR,3,17,35,1
234,0,136,440,1,DDRRRDRRDRRRD,6,10,39,1
235,1,62,406,1,RDRDRD,9,5,64,1
236,1,836,441,4,RRRRRDRRRRDDD,6,4,94,1
237,0,518,275,2,RDRDDDRDD,2,3,72,1
238,1,7,161,4,RRDDRDRDDD,2,15,95,1
239,0,385,328,4,RRDDD,8,18,10,1
240,0,610,30,4,DRRRDDRD,6,14,5,1
241,1,114,377,2,DRRDRDR,9,15,77,1
242,1,131,433,1,RDDRRRDRDDDR,6,18,27,1
243,1,144,341,2,DRRRDRRRRRDRRR,9,5,68,1
244,1,908,415,4,DDDDRR,6,1,54,1
245,0,414,198,4,RRDRDRDRRRDDRR,5,17,6,1
246,1,801,156,1,DDDDRDDRRD,8,8,28,0
247,1,38,163,1,RDDRDRDDDDDDR,5,5,95,0
248,0,196,492,2,RDRDRR,1,15,23,1
249,0,42,311,3,RRRDDDRRRDR,8,1,0,1
250,0,607,138,2,RRDRRRDDDRRD,2,10,31,1
251,1,876,440,3,DDDRRDRDDRDDD,9,1,46,1
252,1,37,48,1,DDRRDD,8,10,32,0
253,1,845,42,1,RRRDRRRRRRDRRD,5,9,64,1
254,1,372,272,1,DDRDDR,5,11,12,1
255,0,241,183,1,DDRDDDDDDDD,5,0,98,0
256,0,58,15,4,RRRDRDRD,6,13,89,1
257,0,947,15,2,DRRDDDRRDDRRRR,8,17,31,1
258,0,815,428,2,RDRDRRDD,9,11,82,1
259,0,861,466,1,RRRRDRDDRDDDDD,5,1,7,1
260,1,643,275,1,RRDRRRR,5,15,56,1
261,0,83,72,4,DDDRDRD,0,3,58,1
262,1,459,284,3,RRDDR,3,13,52,1
263,0,250,234,3,RDDRRDRRDRDRD,4,15,50,1
264,1,167,233,1,RRDDRDRRRDDR,6,13,81,1
265,1,210,61,1,DRRDD,0,12,93,0
266,0,77,396,3,DDDDDRRRDDDDD,1,12,80,1
267,0,446,91,2,DRDRRDR,4,16,15,1
268,0,199,478,2,RRDDRRRRD,9,11,46,1
269,1,754,404,1,DDDRRDRDD,5,14,42,1
270,0,754,250,2,DDDDDDRDRRD,2,19,79,1
271,0,713,235,1,RDRRDDDR,4,0,49,1
272,0,314,120,1,RRDDDDRR,9,10,83,0
273,0,432,447,4,DDRDRRRDR,7,7,9,1
274,0,838,447,1,RRRDRRRRRRDRD,6,19,73,1
275,1,782,224,4,RRRRR,8,2,55,1
276,1,876,314,1,DDRDDRR,7,17,7,1
277,1,580,249,3,DRRDRRDRD,0,14,5,1
278,0,341,442,2,RDDDRDDDRRDDRR,5,4,46,1
279,0,335,112,4,RDRRDDR,8,12,66,1
280,0,858,22,3,RRDRR,8,12,19,1
281,0,85,147,2,RRRRRDDD,4,14,52,1
282,1,491,2,4,DDDRRRRRDR,2,8,85,1
283,0,76,361,4,RRDDDDDRDDD,0,11,58,1
284,1,515,37,2,DRRRRRDDD,4,18,86,1
285,0,204,65,3,DRDDDDRD,8,12,76,0
286,1,630,308,3,RRRRRDRRRDDRD,3,19,82,1
287,1,573,103,1,DRRDDRDRDR,1,18,51,0
288,0,353,374,1,DRDDRRRRDDRRDR,8,7,7,1
289,0,575,253,3,RRDRDRDDR,0,7,59,1
290,0,257,110,1,RDRRDRDDDRR,2,5,68,1
291,0,712,211,4,DRDRDR,4,15,43,1
292,1,920,239,2,DDRDRRDRRD,9,2,51,1
293,1,710,66,3,DDDRRRDRR,2,1,45,1
294,0,251,270,4,RDRRRDDRDD,7,11,69,1
295,0,403,363,3,DRRDRRR,9,19,14,1
296,1,976,3,4,RRDRDR,5,18,86,1
297,0,756,159,1,DRRDDRDRDRRDDD,0,2,95,0
298,0,497,64,3,DDRDDRDRRDRR,8,9,19,0
299,0,280,342,2,RRDDDDDDDDDDRD,9,11,95,1
300,0,321,343,1,RDDDRDD,8,17,44,1
301,0,549,430,3,RRDDRDDDRRRRRR,3,15,95,1
302,1,429,313,4,DRDRDD,3,10,87,1
303,1,796,195,3,RDRRD,0,5,15,1
304,1,926,256,4,RDDDDDDDDDRR,2,19,38,1
305,1,808,14,3,DRRRDRDDD,6,18,26,0
306,1,272,428,3,DDRDRDDRDDR,0,14,22,1
307,0,489,491,3,DRDRDRDDDDR,2,6,39,1
308,1,84,316,3,DDDDRDRRDR,6,13,40,1
309,1,529,395,1,RRRRD,1,8,16,1
310,0,624,199,2,DDDRRRRRR,1,17,87,1
311,0,323,291,2,RRDDRDRDD,9,13,69,1
312,1,23,159,2,RRRDDRRRDDR,8,14,89,1
313,1,504,256,3,RDDDDRRR,3,13,47,1
314,1,879,345,2,DRDDRDRDDD,7,6,42,1
315,0,175,334,3,DRDDRRRDRDDD,4,19,50,1
316,0,421,375,2,DRDRR,9,6,2,1
317,1,400,425,2,RRDDDDDRR,1,13,99,1
318,1,458,96,1,DRRDRRRDDRDDD,7,2,53,0
319,1,877,356,4,DDRDDRDRDDDRR,0,11,86,1
320,0,160,331,3,DRRRRRRRDRRRD,8,4,67,1
321,1,616,281,3,RRRRRDRDR,3,11,43,1
322,1,109,248,4,DRDRRRRR,5,1,61,1
323,0,839,171,3,DRRRR,2,0,62,1
324,0,597,225,2,DDRDRRRRDRDRDD,6,17,96,1
325,1,543,269,2,RDDRDRDRD,5,17,6,1
326,0,225,338,3,DRRRRDDDDRR,6,18,94,1
327,1,90,366,4,RRRDDDDRRRDR,4,8,59,1
328,1,919,254,2,RDRDRRDDRRRD,5,18,90,1
329,0,449,199,4,DRDRD,2,11,78,1
330,0,981,59,2,RDRRRRDD,9,18,85,1
331,1,968,230,1,RRRRRR,0,19,66,1
332,1,131,278,2,DDRDDD,8,7,71,1
333,1,229,193,4,RDDRD,1,16,89,1
334,0,83,451,4,DRDRDR,5,6,96,1
335,0,456,226,2,DRRRDR,9,3,72,1
336,1,375,228,3,RRDRR,3,0,90,1
337,0,479,355,3,DRRDRRRRD,1,14,15,1
338,1,866,150,2,RDDDR,4,1,48,0
339,1,239,97,4,DRRRRRDRR,5,14,29,1
340,0,550,308,4,DRDRD,5,19,32,1
341,0,931,226,1,RRRDRDRDD,5,14,87,1
342,0,203,419,1,RDRDRRRDRD,0,0,80,1
343,0,642,283,4,RRDDR,5,7,54,1
344,0,913,247,2,RRDDRRDDRDDRD,7,9,93,1
345,1,766,87,3,RRDRRDDDR,4,11,61,1
346,1,129,4,1,RDRDRR,9,7,59,1
347,0,45,56,4,DRDDRDDDDRD,2,2,59,1
348,0,146,328,3,RDRRRRRDDDDRRR,4,6,61,1
349,0,868,331,3,RRRRRDRRDDRDD,7,0,23,1
350,1,350,162,1,DDRDRDDRDRRRDD,4,0,16,0
351,1,488,470,2,DRRDDDR,9,1,15,1
352,1,442,154,4,DDDRRRDRRRRDR,6,14,32,1
353,1,185,484,4,DRDRDDRRRD,8,19,50,1
354,1,112,340,1,RRRRDRRDRR,8,6,21,1
355,0,459,160,3,RRRDDRDDRRDD,4,7,83,0
356,0,372,128,4,DRDDRDRRDDRR,2,16,51,1
357,0,426,15,3,RRDRDDRDRD,8,8,79,0
358,1,483,37,2,RRRDRRRRRRDDDD,5,7,73,1
359,0,407,492,2,DRDRRRDDDDR,0,15,11,1
360,0,379,8,2,DDRRRDRDD,0,6,50,0
361,1,690,150,3,DRDRDRDDRRR,7,11,1,1
362,1,919,291,3,DDDDRDRR,8,0,23,1
363,0,691,439,1,RRDDDDRR,7,4,75,1
364,0,433,194,1,DDRRRRR,6,8,2,1
365,1,932,114,1,DDRRR,9,6,2,1
366,1,75,462,1,RDRDDR,1,1,94,1
367,1,960,133,1,DRDRDDDDR,3,19,68,0
368,0,145,382,3,RRDDRRDDD,8,3,47,1
369,0,247,330,2,DRRDDRRRRDRR,4,9,14,1
370,1,894,381,3,RDDDDRDRDRDDDD,4,7,41,1
371,1,288,9,4,DDRDDDRRDRRRDD,9,19,89,1
372,1,508,45,2,DDRDDR,9,8,79,0
373,0,849,333,3,DRDRDDRRDR,3,10,46,1
374,0,348,229,3,DRDDDRDRDRRD,5,11,39,1
375,1,899,391,1,DDRRRDDDDRD,7,19,1,1
376,1,145,235,4,DDRRDRDDDR,4,0,50,1
377,1,924,67,1,RDDDRRDDR,6,16,88,0
378,0,812,420,4,DRDDDRDDR,4,4,56,1
379,1,721,118,2,DRRRDDDRD,8,1,59,0
380,1,49,418,4,RDRDRDRRDDD,3,10,73,1
381,1,645,370,2,DRRRRDR,8,1,54,1
382,1,381,91,4,DDRDRDDRD,5,7,24,1
383,0,425,100,3,DRRDRRRRR,9,8,87,1
384,1,53,394,1,RDRDRDRDDR,5,10,70,1
385,0,467,97,4,DRDDRR,1,3,0,1
386,0,70,179,1,RRRDDRRD,6,11,63,1
387,0,303,375,1,RRDRRDRRDDRR,2,10,78,1
388,1,390,96,2,RDDDRDD,7,10,85,0
389,1,518,70,1,DDDDDDRRDDDRD,1,5,13,0
390,1,690,108,4,RRRDDR,5,1,78,1
391,0,68,217,3,DRDRDRD,4,13,61,1
392,0,3,166,4,DDRDRDDRR,9,2,7,1
393,0,694,349,2,DRDRRDRDDD,9,7,55,1
394,1,956,36,3,DRDDRRR,0,3,71,1
395,1,755,261,1,DDRRRDRRR,7,2,75,1
396,1,354,169,2,DDRRDRRRRDDRR,9,16,80,1
397,1,915,457,4,DDRRDRDRR,2,13,69,1
398,1,627,289,1,DDRRRRDD,2,11,36,1
399,0,470,206,1,RDDDRRRD,2,7,21,1
400,0,872,458,4,DDRDDDDDRDD,1,3,76,1
401,1,329,257,4,DRRDRRDDD,9,0,7,1
402,0,217,71,1,DRRRRRDDRDDRRD,8,0,97,1
403,0,656,265,4,DDDDR,3,12,30,1
404,1,169,32,3,DDDRR,4,11,95,0
405,0,217,440,1,RDRDDRRDDR,1,19,49,1
406,0,646,104,4,RDDDD,5,1,40,1
407,0,913,457,1,RRDDRD,7,17,78,1
408,1,19,110,4,DRDDRRDDDRR,0,8,41,1
409,0,104,161,2,DRRRDRRDDDDDR,8,8,2,0
410,1,705,357,4,RRRDRRDDRRD,2,6,58,1
411,0,412,417,1,DDDDRDR,3,19,87,1
412,1,381,360,2,RRRRRRRDDRRDDR,3,9,41,1
413,1,316,424,3,DRDDRDDDDRRDDR,8,7,43,1
414,1,264,495,1,RRDDRDD,6,16,31,1
415,0,594,270,4,DRDDR,0,17,87,1
416,0,5,216,3,DRRRDRRDDRD,3,12,22,1
417,1,63,73,4,RDRDRRDRRRRD,7,3,91,1
418,0,611,29,1,RDDDDDDDRRR,5,8,44,0
419,1,509,71,3,DRDDRRR,4,0,69,1
420,0,810,193,1,DDDDRRRR,8,10,9,0
421,1,294,481,2,DDDRDRRRRRD,8,15,39,1
422,1,38,70,4,RRRRDDDDDRRR,3,18,25,1
423,1,651,186,2,RDRDRRDDDRR,3,8,57,1
424,0,766,62,2,RRDRDDDR,9,5,28,0
425,1,29,301,3,RDDRRDDR,4,6,11,1
426,1,763,194,1,DDRDDRDDD,7,1,97,0
427,0,366,402,1,RDRDRRDDDDRDRD,0,14,59,1
428,1,135,111,4,RDRDRDRDR,3,16,29,1
429,1,281,456,2,DRDDDRRD,0,15,52,1
430,0,881,210,4,RDRDDDD,8,13,56,1
431,1,259,241,4,RRDRRRR,2,4,31,1
432,0,376,379,1,RDDDDDDRR,9,0,28,1
433,0,744,387,3,DDDRRDR,3,13,62,1
434,1,995,298,4,RDRDRRDDDRRD,6,0,70,1
435,0,229,285,4,RDDRRDRR,5,6,37,1
436,1,73,207,2,DDRRDDD,2,6,94,1
437,0,362,143,2,DRDRRRRRR,6,9,54,1
438,0,193,5,4,RDRDDDRRRDRDDR,0,19,41,1
439,0,995,268,3,RDRRRRRRDDRDDD,8,7,67,1
440,0,971,341,3,DDDDDRDDDRRD,5,2,28,1
441,1,982,487,3,DDRDDDDD,1,12,58,1
442,0,447,204,3,RRRRR,3,10,37,1
443,1,953,187,3,DRRDDRRRDDD,4,15,23,0
444,1,510,460,4,DRDRRDRDDR,4,14,65,1
445,1,270,267,4,RRDRRDRD,5,19,74,1
446,1,250,416,1,DRRRRDDD,0,18,29,1
447,1,917,257,1,RDDRDDRRRRD,6,16,58,1
448,0,13,251,1,DDDRDRDDDR,9,14,76,1
449,1,159,278,2,RDDDDRDRDDDDDD,0,11,20,1
450,1,564,430,3,RRRRRDRD,8,18,96,1
451,1,921,274,4,DDRDDDDR,4,11,87,1
452,1,841,208,2,RRDDRR,7,9,17,1
453,1,236,197,4,DRRRDDRRD,2,12,9,1
454,0,660,100,2,DDDRRRDRR,6,12,2,1
455,1,144,349,1,DRRRRDRRDDR,2,0,25,1
456,1,876,426,3,DRRRDRRRRRD,5,5,55,1
457,0,779,440,1,DDDRRDRRRDR,3,1,6,1
458,0,604,116,4,RRRRRRDDR,8,17,34,1
459,0,142,177,4,DRRRDRRDR,7,2,86,1
460,0,928,237,3,RDDRDDDDRDDD,9,6,86,1
461,0,700,458,3,RRRDRD,6,5,81,1
462,1,505,358,4,DRRRRDRDRRD,0,18,62,1
463,0,794,193,2,DRRDRRRRRDRR,6,2,64,1
464,1,408,68,2,RRDDD,5,1,88,0
465,1,513,181,3,DRRRR,8,4,60,1
466,1,195,288,3,RRDDR,5,18,80,1
467,0,952,229,1,RDRRD,3,7,10,1
468,0,45,215,3,DDDRDDDRDRRR,0,7,24,1
469,0,806,450,1,DDRDRRR,4,6,81,1
470,0,909,365,3,RDRDRDRD,5,8,62,1
471,1,385,303,4,RDDDRDDDDR,3,16,64,1
472,1,250,54,2,DRDRRRDDDRRDRD,3,10,9,0
473,1,938,434,1,RRRRDRDRDDDDR,8,15,66,1
474,1,858,62,1,RDDRDRDDDDRRDR,0,1,72,0
475,0,627,279,1,DDDDRR,3,17,33,1
476,1,981,49,4,RDDDR,6,13,66,1
477,0,568,262,1,RDDRRDRDDDDDR,3,14,19,1
478,0,592,491,4,DDRRDDRD,7,17,79,1
479,0,437,271,4,RDDDDDRD,2,3,24,1
480,1,568,295,2,RDRDDDRDRR,7,3,26,1
481,1,324,145,3,RRRRD,8,3,43,1
482,0,67,163,4,DDDRDDDRR,6,13,12,1
483,1,329,177,2,RDDRRDRDDD,2,3,28,0
484,0,225,46,2,DDRDD,6,19,38,0
485,0,123,181,1,RDRRRRRRRDD,4,15,53,1
486,0,354,432,3,DDRDRRDRDDDRR,5,0,71,1
487,0,831,81,1,RDRRD,3,8,35,1
488,0,994,123,4,DDDRDRRDRR,2,13,42,1
