,CustomerID,Age,Gender,Income (USD),Loan Amount (USD),Credit Score,Employment Status,Debt-to-Income Ratio,Number of Credit Cards,Home Ownership,Previous Defaults,Credit Utilization,label
43,44,49,Female,118299,41116,455,Self-Employed,0.07,2,Own,0,0.68,0
44,45,69,Male,72714,40915,438,Self-Employed,0.58,4,Own,0,0.35,0
45,46,25,Male,122049,38664,548,Self-Employed,0.14,8,Rented,0,0.85,0
46,47,30,Female,85438,26752,385,Employed,0.55,8,Own,0,0.23,0
47,48,32,Male,50183,10720,420,Part-Time,0.12,5,Rented,1,0.33,0
48,49,49,Female,143488,32289,684,Part-Time,0.03,10,Rented,1,0.69,0
49,50,68,Female,69719,18064,837,Employed,0.42,0,Own,0,0.96,0
50,51,18,Female,69604,24068,687,Self-Employed,0.54,3,Own,1,0.75,0
51,52,54,Male,113458,11358,419,Self-Employed,0.24,2,Own,1,0.14,0
52,53,61,Female,110517,44876,458,Employed,0.25,6,Own,1,0.59,0
53,54,25,Male,52905,14380,564,Self-Employed,0.01,2,Rented,1,0.85,0
54,55,51,Female,94218,21501,682,Employed,0.08,7,Own,1,0.16,0
55,56,52,Female,149213,19681,518,Part-Time,0.53,2,Rented,0,0.9,0
56,57,58,Male,146187,15209,456,Self-Employed,0.44,9,Rented,1,0.31,0
57,58,19,Male,92392,18729,609,Self-Employed,0.29,5,Own,0,0.82,1
58,59,61,Female,47855,13996,476,Self-Employed,0.07,6,Rented,1,0.66,0
59,60,32,Female,82953,45491,662,Self-Employed,0.5,1,Rented,0,0.15,0
60,61,30,Male,96181,11131,763,Self-Employed,0.01,10,Rented,0,0.65,1
61,62,52,Male,31544,30247,684,Unemployed,0.24,4,Rented,1,0.46,0
62,63,30,Female,88844,25683,533,Self-Employed,0.09,2,Rented,1,0.28,0
63,64,50,Male,140580,46794,392,Self-Employed,0.32,5,Rented,1,0.28,0
64,65,60,Female,85361,23513,743,Self-Employed,0.16,2,Rented,1,0.74,0
65,66,48,Male,87672,30517,832,Part-Time,0.52,4,Rented,0,0.62,0
66,67,64,Male,67808,41464,730,Self-Employed,0.35,6,Own,0,0.94,1
67,68,49,Male,138275,29207,699,Part-Time,0.24,7,Rented,1,0.67,0
68,69,42,Female,134600,28606,578,Self-Employed,0.47,4,Own,1,0.17,0
69,70,42,Female,144906,46539,693,Employed,0.38,9,Own,0,0.04,1
70,71,30,Female,108371,29738,706,Unemployed,0.35,0,Rented,0,0.67,1
71,72,59,Female,35532,38300,757,Unemployed,0.15,4,Rented,1,0.25,0
72,73,53,Female,85118,33986,594,Part-Time,0.13,5,Own,0,0.85,0
73,74,44,Male,88193,26230,376,Unemployed,0.24,3,Own,1,0.57,0
74,75,23,Male,31993,16737,425,Employed,0.52,4,Rented,1,0.18,0
75,76,65,Male,81685,36945,428,Part-Time,0.52,4,Rented,0,0.95,0
76,77,39,Male,52915,47201,378,Employed,0.01,6,Own,1,0.86,0
77,78,52,Female,50814,20239,536,Part-Time,0.55,1,Own,1,0.46,0
78,79,31,Male,81415,5400,822,Self-Employed,0.06,6,Rented,0,0.94,1
79,80,56,Male,71030,9935,497,Self-Employed,0.46,1,Own,1,0.72,0
80,81,58,Male,54092,20533,667,Part-Time,0.57,2,Rented,0,0.89,0
81,82,59,Male,66219,23682,393,Employed,0.03,6,Own,0,0.9,0
82,83,40,Male,128595,25264,696,Unemployed,0.38,6,Rented,0,0.31,1
83,84,48,Female,95479,19396,591,Employed,0.56,5,Own,1,0.46,0
84,85,18,Male,107243,28737,745,Unemployed,0.35,7,Rented,1,0.22,0
85,86,53,Male,103098,21884,797,Unemployed,0.34,2,Own,1,0.65,0
86,87,57,Female,83665,25399,560,Part-Time,0.32,8,Own,1,0.81,0
87,88,64,Male,115819,45381,613,Employed,0.59,9,Own,0,0.72,0
88,89,41,Male,88370,10319,386,Part-Time,0.41,10,Rented,0,0.66,0
89,90,24,Male,68170,48948,492,Employed,0.2,1,Own,0,0.59,0
90,91,59,Male,55083,45140,344,Unemployed,0.44,6,Rented,0,0.73,0
91,92,45,Male,99117,46679,647,Self-Employed,0.14,0,Own,1,0.58,0
92,93,29,Female,100716,42115,486,Unemployed,0.39,3,Rented,1,0.19,0
93,94,24,Male,117811,44049,380,Self-Employed,0.42,0,Own,1,0.72,0
94,95,48,Female,50030,16541,847,Employed,0.11,0,Own,0,0.95,1
95,96,34,Male,50435,49849,570,Self-Employed,0.09,9,Own,0,0.8,0
96,97,36,Male,72698,21351,340,Part-Time,0.15,6,Rented,1,0.02,0
97,98,24,Female,54625,35354,458,Unemployed,0.11,8,Rented,1,0.82,0
98,99,57,Female,42574,29396,555,Self-Employed,0.59,1,Own,1,0.1,0
99,100,22,Male,148943,29003,305,Self-Employed,0.18,3,Own,0,0.82,0
100,101,27,Female,96140,39784,414,Employed,0.02,6,Own,1,0.41,0
101,102,55,Male,35232,36913,379,Self-Employed,0.15,10,Own,0,0.08,0
102,103,59,Male,96282,7258,725,Employed,0.33,6,Rented,1,0.59,0
103,104,22,Male,104614,29313,761,Employed,0.36,10,Rented,0,0.85,1
104,105,39,Male,69482,9712,685,Self-Employed,0.15,9,Rented,1,0.52,0
105,106,41,Male,69287,39995,409,Part-Time,0.35,10,Own,1,0.81,0
106,107,36,Female,113615,27170,818,Self-Employed,0.01,0,Own,0,0.77,1
107,108,45,Male,139970,38949,453,Employed,0.56,9,Own,0,0.21,0
108,109,31,Male,130514,42517,698,Self-Employed,0.06,8,Rented,1,0.05,0
109,110,49,Male,146318,32592,585,Unemployed,0.24,4,Rented,0,0.78,0
110,111,49,Male,51100,39989,653,Self-Employed,0.29,2,Own,0,0.2,1
111,112,29,Female,85249,24028,790,Part-Time,0.44,8,Own,0,0.82,0
112,113,26,Female,54362,24161,781,Self-Employed,0.15,9,Rented,1,0.7,0
113,114,33,Male,37455,46396,757,Self-Employed,0.54,9,Rented,0,0.28,0
114,115,30,Male,129461,29726,597,Part-Time,0.14,10,Own,0,0.63,0
115,116,50,Female,82832,34063,373,Employed,0.5,1,Rented,0,0.36,0
116,117,68,Male,113295,5161,521,Employed,0.34,10,Rented,0,0.58,0
117,118,42,Male,82670,30820,547,Employed,0.44,1,Rented,0,0.16,0
118,119,21,Female,58063,27608,850,Part-Time,0.33,4,Own,0,0.24,1
119,120,50,Female,148802,38831,572,Unemployed,0.23,4,Own,0,0.47,0
120,121,69,Female,51380,25520,445,Self-Employed,0.48,0,Own,0,0.72,0
121,122,53,Male,44938,42662,773,Self-Employed,0.58,2,Own,1,0.77,0
122,123,39,Male,110747,41797,817,Unemployed,0.22,4,Own,0,0.01,1
123,124,26,Male,48422,39402,743,Unemployed,0.3,0,Rented,0,0.32,1
124,125,69,Female,32536,47402,626,Self-Employed,0.17,8,Own,0,0.39,1
125,126,70,Male,149186,49123,801,Part-Time,0.26,4,Own,0,0.59,1
126,127,22,Female,134652,18111,782,Self-Employed,0.2,1,Own,0,0.83,1
127,128,48,Male,66077,5089,496,Self-Employed,0.59,9,Own,1,0.6,0
128,129,33,Male,90472,16869,583,Employed,0.46,8,Rented,0,0.31,0
129,130,48,Male,100487,17646,815,Part-Time,0.43,7,Own,1,0.95,0
130,131,53,Male,121962,43612,427,Self-Employed,0.01,0,Own,0,0.9,0
131,132,22,Male,84944,48551,437,Self-Employed,0.44,5,Rented,0,0.99,0
132,133,21,Female,81748,19620,749,Self-Employed,0.52,5,Own,0,0.34,0
133,134,43,Male,79911,43799,450,Unemployed,0.15,0,Own,0,0.27,0
134,135,61,Male,92045,37046,442,Self-Employed,0.49,8,Rented,1,0.94,0
135,136,47,Male,78839,6295,516,Employed,0.53,7,Rented,0,0.84,0
136,137,36,Male,70019,20860,579,Self-Employed,0.15,10,Rented,1,0.13,0
137,138,47,Female,134732,18000,329,Employed,0.43,5,Rented,0,0.64,0
138,139,20,Female,107049,21033,374,Employed,0.5,6,Own,1,0.87,0
139,140,46,Male,99333,14280,698,Unemployed,0.47,5,Rented,1,0.61,0
140,141,45,Male,141492,40506,333,Employed,0.04,0,Own,1,0.03,0
141,142,45,Male,61035,34209,643,Self-Employed,0.39,8,Rented,0,0.64,1
142,143,32,Female,59274,25344,775,Employed,0.17,5,Rented,0,1.0,1
143,144,53,Male,75755,5205,667,Self-Employed,0.07,4,Rented,1,0.69,0
144,145,60,Male,45812,47343,832,Unemployed,0.31,10,Own,1,0.09,0
145,146,43,Female,97587,30727,631,Self-Employed,0.3,10,Own,0,0.04,1
146,147,68,Female,134377,28338,579,Unemployed,0.36,5,Own,0,0.64,0
147,148,66,Male,87322,28062,751,Employed,0.31,10,Own,1,0.33,0
148,149,23,Female,116693,17252,671,Part-Time,0.36,1,Own,0,0.69,1
149,150,56,Female,126278,16496,849,Unemployed,0.15,5,Own,0,0.43,1
150,151,37,Male,145641,8044,337,Self-Employed,0.55,1,Rented,0,0.39,0
151,152,40,Male,86239,49958,492,Self-Employed,0.07,4,Rented,0,0.99,0
152,153,36,Female,56168,46298,379,Self-Employed,0.02,3,Rented,0,0.31,0
153,154,58,Male,42922,28117,488,Unemployed,0.01,0,Rented,0,0.44,0
154,155,26,Female,135598,40177,566,Unemployed,0.46,0,Rented,1,0.9,0
155,156,18,Male,130840,45109,542,Unemployed,0.33,3,Rented,0,0.06,0
156,157,51,Male,126511,18509,596,Unemployed,0.43,5,Rented,0,0.37,0
157,158,63,Male,129724,27459,549,Employed,0.29,8,Own,1,0.12,0
158,159,68,Female,124537,18031,487,Part-Time,0.04,4,Own,0,0.25,0
159,160,20,Female,98174,8918,577,Unemployed,0.44,5,Rented,0,0.01,0
160,161,53,Male,141254,36474,799,Part-Time,0.28,9,Rented,1,0.3,0
161,162,29,Female,91877,41525,580,Self-Employed,0.13,4,Rented,1,0.12,0
162,163,54,Female,113677,33767,585,Part-Time,0.04,5,Own,0,0.35,0
163,164,60,Female,83881,43727,717,Self-Employed,0.59,6,Own,0,0.81,0
164,165,54,Female,61855,14490,809,Part-Time,0.3,3,Own,0,0.27,1
165,166,31,Female,70588,41243,573,Employed,0.16,1,Rented,1,0.26,0
166,167,29,Male,67913,14260,707,Unemployed,0.34,9,Own,1,0.64,0
167,168,57,Female,40183,33483,451,Employed,0.24,7,Rented,1,0.42,0
168,169,43,Female,107990,34555,792,Employed,0.38,2,Own,0,0.57,1
169,170,39,Female,65732,35473,358,Self-Employed,0.34,3,Rented,0,0.51,0
170,171,26,Male,149461,30972,828,Unemployed,0.12,8,Own,1,0.51,0
171,172,38,Male,44775,18951,567,Part-Time,0.22,7,Own,1,0.24,0
172,173,67,Male,83769,28678,333,Unemployed,0.39,5,Rented,1,0.17,0
173,174,39,Male,48064,45532,334,Unemployed,0.49,3,Rented,1,0.01,0
174,175,20,Male,44825,10712,710,Part-Time,0.46,9,Rented,1,0.69,0
175,176,55,Male,122795,38793,315,Unemployed,0.08,9,Rented,0,0.75,0
176,177,66,Male,123511,9377,612,Part-Time,0.26,1,Rented,0,0.71,1
177,178,36,Female,79848,40444,552,Employed,0.05,5,Own,0,0.25,0
178,179,64,Female,76036,10416,533,Part-Time,0.49,9,Rented,1,0.26,0
179,180,62,Female,65712,12119,758,Unemployed,0.27,4,Own,0,0.48,1
180,181,62,Male,124386,46463,506,Part-Time,0.35,4,Rented,0,0.09,0
181,182,70,Male,56242,44539,827,Unemployed,0.53,2,Own,1,0.8,0
182,183,68,Female,53215,23593,354,Employed,0.05,0,Own,1,0.08,0
183,184,69,Female,37673,17066,594,Employed,0.48,0,Rented,1,0.53,0
184,185,41,Male,117305,5359,522,Part-Time,0.54,4,Rented,0,0.25,0
185,186,44,Male,130326,21670,661,Employed,0.39,3,Own,1,0.26,0
186,187,54,Female,125124,28540,609,Self-Employed,0.17,9,Rented,1,0.35,0
187,188,60,Female,120419,10180,639,Unemployed,0.53,4,Own,1,0.51,0
188,189,22,Female,42890,41910,350,Part-Time,0.42,2,Rented,1,0.44,0
189,190,19,Female,140894,44556,430,Self-Employed,0.33,0,Rented,1,0.51,0
190,191,46,Female,64519,17532,495,Self-Employed,0.32,0,Rented,0,0.97,0
191,192,23,Female,96641,35347,374,Unemployed,0.05,7,Own,0,0.18,0
192,193,32,Male,42219,24694,767,Part-Time,0.03,1,Own,1,0.79,0
193,194,33,Female,139542,44273,345,Part-Time,0.25,7,Rented,1,0.94,0
194,195,36,Female,141643,9015,558,Part-Time,0.51,5,Own,0,0.75,0
195,196,64,Female,98621,49352,569,Self-Employed,0.48,0,Rented,1,0.87,0
196,197,67,Male,101630,14691,486,Part-Time,0.21,4,Rented,0,0.72,0
197,198,32,Female,89563,41641,652,Self-Employed,0.49,3,Rented,1,0.68,0
198,199,27,Male,109152,46617,555,Unemployed,0.39,10,Rented,1,0.41,0
199,200,33,Male,60510,12072,553,Part-Time,0.55,3,Own,1,0.03,0
200,201,23,Male,43316,20223,470,Self-Employed,0.56,6,Rented,1,0.39,0
201,202,31,Female,76540,5082,805,Part-Time,0.02,9,Rented,0,0.21,1
202,203,34,Male,124469,23480,493,Part-Time,0.11,4,Rented,0,0.48,0
203,204,35,Male,84198,43729,533,Part-Time,0.45,1,Own,0,0.76,0
204,205,51,Female,37290,37953,344,Part-Time,0.2,4,Own,1,0.14,0
205,206,55,Female,96746,20157,663,Self-Employed,0.34,4,Rented,1,0.23,0
206,207,63,Male,143584,16008,573,Unemployed,0.44,10,Rented,0,0.11,0
207,208,70,Male,132026,26988,640,Unemployed,0.28,8,Rented,1,0.02,0
208,209,28,Female,48204,7695,573,Unemployed,0.26,3,Rented,0,0.21,0
209,210,55,Female,40380,41194,644,Unemployed,0.37,3,Own,0,0.26,1
210,211,47,Male,122305,13624,686,Employed,0.39,5,Own,1,0.23,0
211,212,58,Female,112444,14149,745,Employed,0.17,7,Own,1,0.95,0
212,213,41,Male,103493,37330,446,Employed,0.16,2,Rented,0,0.82,0
213,214,23,Male,113964,19637,776,Self-Employed,0.06,10,Rented,1,0.63,0
214,215,63,Male,79454,14808,791,Employed,0.52,3,Rented,1,0.36,0
215,216,58,Male,122798,32257,698,Employed,0.27,3,Own,0,0.7,1
216,217,44,Female,50170,7671,403,Part-Time,0.55,9,Own,1,0.46,0
217,218,51,Male,43906,24530,843,Part-Time,0.32,2,Rented,0,0.7,1
218,219,58,Male,93730,15910,347,Self-Employed,0.15,5,Own,1,0.46,0
219,220,57,Male,129059,46479,507,Part-Time,0.06,3,Rented,1,0.34,0
220,221,33,Female,93109,5049,307,Self-Employed,0.02,2,Own,0,0.32,0
221,222,38,Male,77347,36868,602,Self-Employed,0.15,5,Rented,0,0.79,1
222,223,30,Male,125760,39471,628,Unemployed,0.41,8,Rented,1,0.15,0
223,224,54,Male,130850,32256,403,Part-Time,0.51,6,Rented,0,0.49,0
224,225,26,Female,147174,46501,324,Self-Employed,0.46,7,Rented,0,0.85,0
225,226,41,Female,127858,37147,390,Employed,0.49,8,Rented,1,0.94,0
226,227,20,Male,53874,26469,396,Self-Employed,0.29,0,Own,1,0.54,0
227,228,19,Female,75059,7812,738,Part-Time,0.49,9,Own,1,0.99,0
228,229,33,Male,90246,18934,795,Employed,0.28,7,Own,1,0.57,0
229,230,53,Female,138015,42597,816,Employed,0.12,0,Rented,0,0.21,1
230,231,55,Female,86066,39509,801,Self-Employed,0.18,10,Rented,0,0.03,1
231,232,56,Male,121803,48980,310,Self-Employed,0.25,2,Rented,1,0.22,0
232,233,57,Male,81302,25116,431,Employed,0.39,8,Own,0,0.23,0
233,234,36,Male,100573,32797,711,Employed,0.55,6,Own,1,0.08,0
234,235,32,Female,68279,41910,463,Self-Employed,0.45,9,Own,0,0.03,0
235,236,67,Male,98919,5948,606,Self-Employed,0.32,0,Rented,1,0.21,0
236,237,41,Male,72118,41526,430,Self-Employed,0.48,9,Own,0,0.4,0
237,238,62,Female,136642,44802,830,Self-Employed,0.58,0,Own,0,0.77,0
238,239,63,Female,103036,46937,464,Unemployed,0.42,3,Rented,0,0.08,0
239,240,23,Female,52430,37265,712,Self-Employed,0.51,5,Own,0,0.33,0
240,241,33,Male,65526,22630,709,Unemployed,0.42,4,Own,0,0.74,0
241,242,41,Female,58171,30642,518,Unemployed,0.03,6,Rented,0,0.54,0
242,243,43,Female,147014,39601,725,Self-Employed,0.18,1,Rented,1,0.36,0
243,244,22,Female,104615,23324,500,Self-Employed,0.33,9,Rented,0,0.25,0
244,245,42,Male,40258,15390,645,Self-Employed,0.12,6,Own,1,0.35,0
245,246,57,Male,118775,10842,335,Unemployed,0.53,7,Own,1,0.37,0
246,247,26,Male,142238,39316,844,Self-Employed,0.03,5,Own,1,0.14,0
247,248,58,Female,47737,24697,809,Part-Time,0.04,5,Rented,1,0.89,0
248,249,37,Female,104862,22996,539,Employed,0.18,6,Own,1,0.2,0
249,250,20,Female,72242,29433,743,Part-Time,0.24,0,Own,1,0.87,0
250,251,60,Female,115345,46708,784,Part-Time,0.29,4,Rented,0,0.42,1
251,252,70,Male,132470,17274,798,Self-Employed,0.13,5,Own,1,0.14,0
252,253,30,Female,142014,33301,428,Self-Employed,0.46,4,Rented,1,0.64,0
253,254,41,Male,148692,29461,456,Self-Employed,0.51,9,Own,0,0.11,0
254,255,56,Male,89590,26688,604,Employed,0.44,4,Own,1,0.51,0
255,256,40,Female,52113,48007,801,Employed,0.3,9,Own,1,0.51,0
256,257,65,Male,115392,39577,663,Unemployed,0.34,4,Own,0,0.68,1
257,258,47,Female,118745,13214,704,Employed,0.17,4,Own,1,0.02,0
258,259,53,Female,62792,14155,312,Part-Time,0.35,2,Own,1,0.4,0
259,260,49,Male,66177,30990,570,Self-Employed,0.2,4,Rented,1,0.32,0
260,261,24,Female,100505,23446,839,Self-Employed,0.53,0,Own,0,0.95,0
261,262,67,Female,103433,28257,427,Unemployed,0.47,5,Own,0,0.4,0
262,263,66,Female,78011,42091,561,Employed,0.19,2,Own,0,0.69,0
263,264,21,Male,84910,10830,640,Employed,0.41,2,Own,0,0.07,0
264,265,30,Female,89885,7275,702,Employed,0.37,8,Rented,0,0.04,1
265,266,44,Female,113231,38572,312,Unemployed,0.35,8,Own,1,0.62,0
266,267,36,Male,70534,48655,347,Part-Time,0.43,9,Own,1,0.06,0
267,268,29,Female,138438,36259,502,Employed,0.38,6,Rented,1,0.63,0
268,269,18,Female,33451,18014,395,Employed,0.05,7,Own,1,0.24,0
269,270,33,Male,109924,5084,560,Unemployed,0.04,10,Rented,0,0.34,0
270,271,46,Male,138194,33185,343,Unemployed,0.27,10,Own,0,0.4,0
271,272,37,Male,101043,19204,840,Employed,0.39,7,Rented,1,0.01,0
272,273,40,Male,37053,37799,448,Unemployed,0.15,6,Own,0,0.97,0
273,274,18,Female,65519,44210,534,Self-Employed,0.47,10,Rented,0,0.49,0
274,275,63,Male,146091,12535,759,Employed,0.14,1,Rented,1,0.2,0
275,276,35,Male,133289,13748,608,Unemployed,0.01,3,Own,0,0.63,1
276,277,50,Female,122158,12064,435,Unemployed,0.16,4,Own,0,0.87,0
277,278,34,Male,149604,45216,431,Self-Employed,0.48,5,Rented,0,0.62,0
278,279,59,Male,39099,48638,477,Self-Employed,0.32,3,Rented,1,0.82,0
279,280,43,Female,88695,37829,746,Unemployed,0.41,10,Own,1,0.84,0
280,281,28,Male,121133,38401,612,Part-Time,0.04,10,Rented,0,0.55,1
281,282,40,Male,53817,36068,753,Self-Employed,0.32,0,Own,1,0.27,0
282,283,37,Female,36929,11196,480,Part-Time,0.15,2,Rented,0,0.64,0
283,284,47,Male,128739,23094,441,Part-Time,0.19,4,Own,0,0.27,0
284,285,61,Female,123204,49263,545,Employed,0.42,5,Own,0,0.88,0
285,286,43,Male,119456,13354,361,Part-Time,0.1,5,Rented,0,0.88,0
286,287,57,Female,98338,6197,564,Unemployed,0.17,4,Own,1,0.68,0
287,288,19,Male,75288,21681,434,Employed,0.31,4,Rented,0,0.43,0
288,289,36,Male,59869,9650,308,Unemployed,0.41,8,Rented,0,0.52,0
289,290,33,Female,79160,42807,820,Employed,0.13,5,Rented,0,0.4,1
290,291,46,Male,62338,15845,556,Employed,0.22,7,Rented,0,0.87,0
291,292,68,Male,133887,18695,547,Self-Employed,0.45,0,Rented,0,0.88,0
292,293,54,Male,69027,38781,358,Unemployed,0.38,0,Own,0,0.11,0
293,294,57,Male,82736,32136,611,Unemployed,0.26,3,Own,1,0.97,0
294,295,30,Female,69307,7656,603,Unemployed,0.1,7,Rented,0,0.81,1
295,296,54,Male,61642,14614,598,Unemployed,0.32,4,Own,1,0.86,0
296,297,26,Female,67348,23438,848,Self-Employed,0.26,10,Rented,0,0.37,1
297,298,19,Male,138532,18344,392,Self-Employed,0.2,2,Rented,1,0.85,0
298,299,62,Female,100108,16876,355,Part-Time,0.39,2,Own,1,0.74,0
299,300,24,Female,114201,15409,842,Employed,0.36,7,Own,1,0.81,0
300,301,48,Male,119570,15029,438,Part-Time,0.29,3,Own,0,0.36,0
301,302,46,Male,126451,41339,543,Self-Employed,0.56,9,Own,1,0.82,0
302,303,46,Male,140528,38275,532,Self-Employed,0.23,3,Own,0,0.16,0
303,304,67,Male,52153,45018,817,Employed,0.02,6,Own,1,0.91,0
304,305,51,Female,92248,24904,320,Part-Time,0.57,10,Own,0,0.97,0
305,306,54,Female,136573,49641,591,Employed,0.36,0,Own,1,0.25,0
306,307,23,Female,33422,25229,472,Employed,0.35,9,Rented,0,0.54,0
307,308,49,Male,123112,10413,348,Self-Employed,0.57,6,Rented,0,0.17,0
308,309,67,Female,139000,34057,668,Part-Time,0.46,3,Own,0,0.52,0
309,310,48,Female,56684,16881,582,Employed,0.24,2,Rented,1,0.76,0
310,311,37,Female,111996,38235,468,Employed,0.14,9,Rented,0,0.2,0
311,312,48,Female,53756,20276,453,Part-Time,0.17,8,Own,1,0.27,0
312,313,45,Female,129193,30848,752,Employed,0.37,4,Own,1,0.04,0
313,314,24,Male,128703,20144,700,Part-Time,0.17,8,Rented,1,0.04,0
314,315,54,Male,123491,28779,708,Part-Time,0.24,7,Rented,1,0.86,0
315,316,37,Female,144768,38617,309,Unemployed,0.08,9,Own,0,0.16,0
316,317,41,Male,33846,36521,341,Employed,0.29,6,Own,1,0.09,0
317,318,65,Male,120721,13887,347,Unemployed,0.47,7,Own,1,0.8,0
318,319,67,Female,42052,23271,805,Unemployed,0.16,4,Rented,0,1.0,1
319,320,26,Female,114518,5093,624,Part-Time,0.36,5,Rented,0,0.68,1
320,321,26,Male,30521,47467,658,Part-Time,0.08,10,Own,1,0.46,0
321,322,50,Male,43807,46215,403,Unemployed,0.36,4,Own,0,0.59,0
322,323,19,Female,104157,27671,505,Unemployed,0.11,7,Own,1,0.69,0
323,324,64,Male,62518,32239,591,Self-Employed,0.54,8,Rented,1,0.92,0
324,325,45,Female,108862,29764,369,Unemployed,0.52,6,Rented,0,0.18,0
325,326,63,Female,113180,17114,619,Part-Time,0.12,5,Own,1,0.39,0
326,327,47,Male,148247,8018,316,Part-Time,0.49,6,Rented,1,0.18,0
327,328,37,Male,80392,39913,339,Employed,0.43,4,Rented,0,0.2,0
328,329,56,Male,95769,28221,827,Part-Time,0.37,3,Own,0,0.41,1
329,330,47,Male,71223,36949,537,Self-Employed,0.22,6,Own,0,0.3,0
330,331,46,Female,68231,8892,470,Unemployed,0.55,9,Rented,1,0.65,0
331,332,50,Female,44194,26702,732,Part-Time,0.59,9,Own,0,0.41,0
332,333,37,Female,113906,37814,793,Employed,0.12,9,Rented,0,0.09,1
333,334,69,Female,37044,46590,788,Part-Time,0.1,5,Rented,0,0.15,1
334,335,25,Male,55313,37185,687,Unemployed,0.48,4,Rented,1,0.57,0
335,336,27,Female,106538,34026,612,Unemployed,0.57,8,Own,1,0.97,0
336,337,68,Female,109050,6976,391,Unemployed,0.12,1,Own,1,0.08,0
337,338,58,Female,149661,38376,448,Unemployed,0.02,4,Rented,1,0.36,0
338,339,27,Male,131758,48369,628,Employed,0.38,7,Rented,0,0.22,1
339,340,50,Male,49729,16776,660,Part-Time,0.15,1,Rented,1,0.17,0
340,341,49,Female,53471,14463,462,Part-Time,0.33,8,Own,1,0.69,0
341,342,63,Male,69497,41593,378,Employed,0.16,5,Rented,0,0.36,0
