,ID,Chemical_Name,Molecular_Weight (g/mol),pH,LogP,Carbon_Chain_Length,Functional_Group,label
104,105,Chemical_105,142.39,7.22,0.34,3,Ether,1
105,106,Chemical_106,44.46,11.95,-1.61,44,Aromatic Hydrocarbon,0
106,107,Chemical_107,111.99,12.73,-2.85,8,Alkane,0
107,108,Chemical_108,195.36,2.68,-4.34,12,Ketone,0
108,109,Chemical_109,99.2,1.3,4.63,47,Halogenated Hydrocarbon,0
109,110,Chemical_110,76.84,1.74,-4.39,42,Ketone,0
110,111,Chemical_111,181.95,9.69,-1.26,15,Ester,0
111,112,Chemical_112,193.16,11.57,0.09,18,Alcohol,0
112,113,Chemical_113,168.59,3.3,-4.31,26,Alcohol,0
113,114,Chemical_114,104.49,0.02,-1.74,47,Ketone,0
114,115,Chemical_115,91.78,6.42,0.84,34,Ether,1
115,116,Chemical_116,189.57,5.89,4.11,41,Ester,0
116,117,Chemical_117,81.15,8.19,-1.37,38,Carboxylic Acid,1
117,118,Chemical_118,191.36,8.17,0.37,37,Ester,0
118,119,Chemical_119,46.52,8.48,3.57,40,Ketone,0
119,120,Chemical_120,197.79,10.99,3.08,39,Ether,0
120,121,Chemical_121,197.43,13.99,-1.39,37,Carboxylic Acid,0
121,122,Chemical_122,188.36,13.18,-3.7,32,Ketone,0
122,123,Chemical_123,93.78,1.63,1.78,28,Alkane,0
123,124,Chemical_124,133.57,7.79,0.32,33,Alkane,1
124,125,Chemical_125,63.76,13.95,4.25,2,Ester,1
125,126,Chemical_126,49.04,5.59,2.08,7,Alkane,1
126,127,Chemical_127,155.16,13.58,0.67,48,Halogenated Hydrocarbon,0
127,128,Chemical_128,196.54,7.85,1.9,35,Ketone,1
128,129,Chemical_129,141.01,13.6,0.65,23,Ether,0
129,130,Chemical_130,103.32,11.37,3.92,24,Ketone,0
130,131,Chemical_131,86.55,7.52,-4.55,18,Alkane,1
131,132,Chemical_132,125.31,3.3,1.61,38,Ether,0
132,133,Chemical_133,65.08,8.61,-3.24,27,Ether,0
133,134,Chemical_134,101.23,3.49,-3.84,3,Ketone,0
134,135,Chemical_135,141.12,4.76,-0.96,29,Ketone,0
135,136,Chemical_136,72.89,3.14,-4.73,8,Alcohol,1
136,137,Chemical_137,160.79,2.08,-1.09,24,Ether,0
137,138,Chemical_138,137.47,5.35,0.29,43,Alkane,0
138,139,Chemical_139,193.96,7.08,-3.32,19,Carboxylic Acid,1
139,140,Chemical_140,90.06,4.34,2.39,39,Ether,0
140,141,Chemical_141,74.22,8.29,1.71,43,Alkane,0
141,142,Chemical_142,111.42,9.74,3.34,25,Polymer,0
142,143,Chemical_143,102.04,9.18,1.42,17,Alkane,0
143,144,Chemical_144,159.38,11.59,-4.66,32,Ketone,0
144,145,Chemical_145,91.36,6.08,-4.71,15,Halogenated Hydrocarbon,1
145,146,Chemical_146,182.27,5.44,-2.55,31,Ester,0
146,147,Chemical_147,106.11,4.0,-3.95,29,Ether,0
147,148,Chemical_148,191.18,13.76,-1.15,25,Polymer,0
148,149,Chemical_149,176.53,8.04,-2.16,42,Polymer,0
149,150,Chemical_150,106.82,8.97,0.09,42,Aromatic Hydrocarbon,0
150,151,Chemical_151,146.6,7.56,-3.61,2,Aromatic Hydrocarbon,1
151,152,Chemical_152,112.28,9.39,1.94,21,Alcohol,0
152,153,Chemical_153,160.97,12.87,3.28,41,Halogenated Hydrocarbon,0
153,154,Chemical_154,47.96,10.18,-2.77,37,Ketone,0
154,155,Chemical_155,165.88,1.24,3.87,4,Carboxylic Acid,1
155,156,Chemical_156,69.94,5.26,-2.82,16,Ether,0
156,157,Chemical_157,112.6,6.22,4.83,16,Ester,0
157,158,Chemical_158,50.98,8.02,2.21,33,Ester,0
158,159,Chemical_159,45.53,11.71,-2.37,25,Ketone,0
159,160,Chemical_160,85.79,13.95,4.49,8,Polymer,1
160,161,Chemical_161,146.88,11.79,0.91,14,Ketone,0
161,162,Chemical_162,75.94,13.66,-2.19,46,Ester,0
162,163,Chemical_163,54.89,13.87,0.84,7,Ketone,1
163,164,Chemical_164,89.78,3.35,-2.05,45,Alcohol,1
164,165,Chemical_165,68.69,2.6,3.64,7,Aromatic Hydrocarbon,1
165,166,Chemical_166,105.51,11.3,-4.44,8,Alcohol,0
166,167,Chemical_167,134.38,11.57,-2.83,11,Halogenated Hydrocarbon,0
167,168,Chemical_168,118.92,1.45,-2.75,9,Halogenated Hydrocarbon,0
168,169,Chemical_169,144.5,9.16,4.19,30,Ether,0
169,170,Chemical_170,97.63,0.54,3.57,7,Alkane,1
170,171,Chemical_171,45.77,1.37,0.06,27,Halogenated Hydrocarbon,0
171,172,Chemical_172,120.5,10.22,-1.7,46,Alkane,0
172,173,Chemical_173,175.78,1.68,-1.89,33,Ester,0
173,174,Chemical_174,165.33,10.67,2.27,38,Ether,0
174,175,Chemical_175,134.0,11.29,3.7,22,Ketone,0
175,176,Chemical_176,125.68,8.94,3.57,49,Carboxylic Acid,0
176,177,Chemical_177,53.85,12.47,0.09,25,Carboxylic Acid,1
177,178,Chemical_178,46.78,8.66,-0.27,15,Alcohol,1
178,179,Chemical_179,171.66,4.01,4.07,30,Polymer,0
179,180,Chemical_180,190.02,6.01,1.95,41,Halogenated Hydrocarbon,1
180,181,Chemical_181,140.0,5.15,-3.63,3,Aromatic Hydrocarbon,0
181,182,Chemical_182,155.36,0.21,-1.24,1,Carboxylic Acid,0
182,183,Chemical_183,69.15,6.7,-2.18,21,Polymer,1
183,184,Chemical_184,44.28,13.88,-2.38,38,Polymer,0
184,185,Chemical_185,191.93,13.71,3.25,23,Ketone,0
185,186,Chemical_186,112.5,9.76,4.43,49,Ether,0
186,187,Chemical_187,58.58,9.37,-4.97,46,Halogenated Hydrocarbon,0
187,188,Chemical_188,64.57,7.53,0.88,10,Aromatic Hydrocarbon,1
188,189,Chemical_189,73.0,1.11,-0.26,45,Ether,0
189,190,Chemical_190,98.11,6.15,-4.74,43,Alcohol,1
190,191,Chemical_191,169.75,5.76,4.29,8,Carboxylic Acid,1
191,192,Chemical_192,52.55,3.12,4.1,25,Ketone,0
192,193,Chemical_193,124.93,5.0,-0.74,23,Alcohol,0
193,194,Chemical_194,192.5,6.32,-4.45,37,Carboxylic Acid,1
194,195,Chemical_195,181.73,3.94,1.33,10,Alcohol,0
195,196,Chemical_196,41.8,11.7,2.52,1,Ketone,1
196,197,Chemical_197,106.3,2.32,0.8,36,Alkane,0
197,198,Chemical_198,97.47,2.27,4.8,20,Carboxylic Acid,1
198,199,Chemical_199,196.65,6.44,4.93,32,Ether,0
199,200,Chemical_200,166.43,12.38,1.27,18,Aromatic Hydrocarbon,0
200,201,Chemical_201,149.43,2.71,2.9,47,Ether,0
201,202,Chemical_202,85.21,3.41,4.96,9,Halogenated Hydrocarbon,1
202,203,Chemical_203,179.57,12.69,-2.54,30,Aromatic Hydrocarbon,0
203,204,Chemical_204,142.49,12.96,-3.92,36,Alkane,0
204,205,Chemical_205,173.59,6.55,-1.51,26,Ketone,1
205,206,Chemical_206,110.83,1.58,3.66,47,Alcohol,0
206,207,Chemical_207,88.09,10.5,0.97,40,Halogenated Hydrocarbon,0
207,208,Chemical_208,137.32,10.21,0.8,5,Ether,1
208,209,Chemical_209,186.91,0.97,-4.95,12,Halogenated Hydrocarbon,0
209,210,Chemical_210,188.03,6.51,0.85,39,Aromatic Hydrocarbon,1
210,211,Chemical_211,140.65,6.93,-3.88,15,Alkane,1
211,212,Chemical_212,195.36,8.34,-0.66,20,Ether,0
212,213,Chemical_213,114.6,9.77,-1.84,2,Carboxylic Acid,0
213,214,Chemical_214,156.03,6.85,3.36,45,Ester,0
214,215,Chemical_215,82.26,11.05,-3.75,23,Ester,0
215,216,Chemical_216,182.39,5.9,-1.16,31,Aromatic Hydrocarbon,0
216,217,Chemical_217,181.41,6.42,4.18,6,Halogenated Hydrocarbon,1
217,218,Chemical_218,175.0,4.91,-1.01,19,Polymer,0
218,219,Chemical_219,74.31,4.03,4.93,13,Ketone,0
219,220,Chemical_220,80.0,12.08,-2.91,25,Alcohol,1
220,221,Chemical_221,143.31,4.74,0.87,34,Polymer,0
221,222,Chemical_222,47.07,10.7,-1.93,28,Halogenated Hydrocarbon,0
222,223,Chemical_223,138.94,4.01,-0.94,50,Polymer,0
223,224,Chemical_224,146.99,4.56,-4.38,46,Polymer,0
224,225,Chemical_225,142.44,6.6,1.67,50,Ester,1
225,226,Chemical_226,50.5,3.02,1.65,8,Polymer,1
226,227,Chemical_227,134.81,5.69,4.83,43,Carboxylic Acid,0
227,228,Chemical_228,96.77,8.08,2.38,26,Ketone,0
228,229,Chemical_229,72.64,13.97,0.83,5,Aromatic Hydrocarbon,1
229,230,Chemical_230,172.57,7.97,-0.49,9,Polymer,1
230,231,Chemical_231,76.9,0.27,-4.63,44,Polymer,0
231,232,Chemical_232,53.94,7.81,-1.19,32,Halogenated Hydrocarbon,1
232,233,Chemical_233,129.15,8.28,-4.8,50,Carboxylic Acid,0
233,234,Chemical_234,187.64,9.39,-3.12,5,Ketone,0
234,235,Chemical_235,137.67,11.4,-1.99,19,Halogenated Hydrocarbon,0
235,236,Chemical_236,113.46,4.61,3.28,5,Carboxylic Acid,1
236,237,Chemical_237,96.29,1.88,3.45,21,Ketone,0
237,238,Chemical_238,96.84,0.15,2.63,14,Ester,0
238,239,Chemical_239,160.05,3.39,2.86,34,Polymer,0
239,240,Chemical_240,77.63,1.06,-2.76,10,Ether,0
240,241,Chemical_241,125.13,12.55,2.91,11,Ether,0
241,242,Chemical_242,113.12,6.65,0.8,45,Aromatic Hydrocarbon,1
242,243,Chemical_243,67.12,4.88,3.48,22,Ketone,0
243,244,Chemical_244,162.91,0.68,3.67,38,Ketone,0
244,245,Chemical_245,117.53,7.85,-4.55,16,Polymer,1
245,246,Chemical_246,98.59,13.22,3.29,3,Ether,1
246,247,Chemical_247,84.71,12.06,3.14,22,Ether,0
247,248,Chemical_248,44.04,5.64,-0.32,21,Alcohol,1
248,249,Chemical_249,109.53,7.8,1.04,21,Polymer,1
249,250,Chemical_250,190.6,8.45,-4.63,27,Aromatic Hydrocarbon,0
250,251,Chemical_251,100.46,6.97,4.46,41,Aromatic Hydrocarbon,0
251,252,Chemical_252,133.57,5.74,1.1,2,Polymer,1
252,253,Chemical_253,106.98,4.32,4.29,2,Ester,1
253,254,Chemical_254,190.36,12.22,3.96,36,Polymer,0
254,255,Chemical_255,86.63,1.24,3.7,30,Ether,0
255,256,Chemical_256,63.0,2.38,1.23,46,Carboxylic Acid,1
256,257,Chemical_257,85.02,12.0,-2.05,34,Halogenated Hydrocarbon,0
257,258,Chemical_258,66.2,1.91,-4.47,19,Aromatic Hydrocarbon,0
258,259,Chemical_259,100.53,13.42,-3.79,30,Aromatic Hydrocarbon,0
259,260,Chemical_260,184.05,2.27,3.23,18,Ether,0
260,261,Chemical_261,126.46,6.37,-3.48,20,Ether,1
261,262,Chemical_262,80.63,12.7,-3.2,22,Ether,0
262,263,Chemical_263,126.62,12.95,-1.89,26,Ester,0
263,264,Chemical_264,142.04,2.65,-0.07,10,Aromatic Hydrocarbon,0
264,265,Chemical_265,141.22,9.11,-1.3,5,Carboxylic Acid,0
265,266,Chemical_266,82.48,6.21,0.52,31,Ester,1
266,267,Chemical_267,136.56,13.21,-2.75,16,Aromatic Hydrocarbon,0
267,268,Chemical_268,147.73,4.65,-3.97,32,Ether,0
268,269,Chemical_269,160.12,11.44,-4.51,43,Carboxylic Acid,0
269,270,Chemical_270,194.41,9.94,-3.23,30,Aromatic Hydrocarbon,0
270,271,Chemical_271,44.12,9.14,1.55,18,Carboxylic Acid,1
271,272,Chemical_272,198.09,2.15,4.52,33,Alcohol,0
272,273,Chemical_273,141.15,10.04,-1.32,30,Alcohol,0
273,274,Chemical_274,75.2,9.26,2.85,49,Halogenated Hydrocarbon,0
274,275,Chemical_275,171.26,0.59,3.9,32,Ketone,0
275,276,Chemical_276,74.58,4.13,1.56,41,Aromatic Hydrocarbon,0
276,277,Chemical_277,184.58,11.58,4.17,25,Halogenated Hydrocarbon,0
277,278,Chemical_278,129.11,9.57,1.05,17,Alcohol,0
278,279,Chemical_279,178.45,5.59,-4.36,7,Ketone,0
279,280,Chemical_280,190.1,2.15,-3.07,28,Carboxylic Acid,0
280,281,Chemical_281,197.07,5.75,-2.03,42,Alcohol,0
281,282,Chemical_282,136.0,10.01,3.55,47,Polymer,0
282,283,Chemical_283,92.06,13.35,-2.25,8,Alkane,0
283,284,Chemical_284,111.48,13.14,3.69,26,Alkane,0
284,285,Chemical_285,122.7,4.19,-1.89,36,Polymer,0
285,286,Chemical_286,71.5,2.52,-2.4,7,Ketone,0
286,287,Chemical_287,70.62,4.5,-1.56,23,Ether,0
287,288,Chemical_288,100.89,2.89,0.46,48,Ester,0
288,289,Chemical_289,179.57,2.88,0.1,6,Ether,1
289,290,Chemical_290,115.12,6.87,-1.6,31,Ketone,1
290,291,Chemical_291,69.63,8.86,-2.75,36,Carboxylic Acid,1
291,292,Chemical_292,60.19,4.08,-1.87,39,Ester,0
292,293,Chemical_293,190.83,3.1,0.32,38,Aromatic Hydrocarbon,0
293,294,Chemical_294,110.55,8.24,4.06,9,Alcohol,1
294,295,Chemical_295,50.05,0.64,4.13,16,Carboxylic Acid,1
295,296,Chemical_296,80.23,2.81,0.25,5,Alkane,1
296,297,Chemical_297,138.75,10.75,-3.2,40,Polymer,0
297,298,Chemical_298,170.83,3.76,2.1,4,Ether,1
298,299,Chemical_299,175.66,13.48,-3.2,19,Halogenated Hydrocarbon,0
299,300,Chemical_300,111.22,1.33,-1.26,39,Ester,0
300,301,Chemical_301,75.52,13.82,-0.82,9,Alkane,1
301,302,Chemical_302,117.83,10.66,4.96,5,Aromatic Hydrocarbon,1
302,303,Chemical_303,126.56,4.35,0.17,25,Alcohol,0
303,304,Chemical_304,55.01,12.84,2.66,44,Ether,0
304,305,Chemical_305,116.71,13.39,3.82,11,Carboxylic Acid,0
305,306,Chemical_306,130.44,6.92,2.53,20,Halogenated Hydrocarbon,1
306,307,Chemical_307,81.68,11.89,4.25,4,Halogenated Hydrocarbon,1
307,308,Chemical_308,162.56,4.67,-1.93,33,Halogenated Hydrocarbon,0
308,309,Chemical_309,190.97,7.23,0.21,10,Halogenated Hydrocarbon,1
309,310,Chemical_310,150.91,8.45,3.21,2,Aromatic Hydrocarbon,1
310,311,Chemical_311,191.94,7.23,0.69,17,Halogenated Hydrocarbon,1
311,312,Chemical_312,65.7,5.4,2.93,41,Ether,0
312,313,Chemical_313,109.67,11.62,-1.09,31,Ester,0
313,314,Chemical_314,194.43,8.35,-3.97,9,Carboxylic Acid,0
314,315,Chemical_315,158.02,1.17,-3.45,48,Ketone,0
315,316,Chemical_316,133.48,13.85,-1.86,43,Alkane,0
316,317,Chemical_317,75.26,8.27,4.03,17,Alcohol,1
317,318,Chemical_318,50.67,5.99,-0.21,4,Ketone,1
318,319,Chemical_319,172.64,1.73,4.78,20,Ether,0
319,320,Chemical_320,60.63,4.87,2.97,43,Ketone,0
320,321,Chemical_321,197.73,4.53,4.95,39,Ether,0
321,322,Chemical_322,193.05,12.25,4.14,3,Ketone,1
322,323,Chemical_323,70.77,8.07,1.85,19,Ether,0
323,324,Chemical_324,149.53,12.67,-4.52,27,Carboxylic Acid,0
324,325,Chemical_325,190.29,1.35,-1.72,24,Halogenated Hydrocarbon,0
325,326,Chemical_326,56.91,13.0,-0.92,23,Ester,0
326,327,Chemical_327,138.8,8.27,-0.19,20,Aromatic Hydrocarbon,0
327,328,Chemical_328,66.9,10.62,-4.11,13,Ester,0
328,329,Chemical_329,82.78,6.11,-1.67,50,Ether,1
329,330,Chemical_330,90.02,12.2,1.34,11,Carboxylic Acid,1
330,331,Chemical_331,157.12,10.6,1.04,18,Aromatic Hydrocarbon,0
331,332,Chemical_332,145.65,11.43,-4.77,7,Ether,0
332,333,Chemical_333,91.57,13.63,3.8,9,Alkane,1
333,334,Chemical_334,114.24,5.83,-4.06,22,Aromatic Hydrocarbon,0
334,335,Chemical_335,44.41,3.93,-0.87,17,Aromatic Hydrocarbon,0
335,336,Chemical_336,178.7,8.27,-4.68,45,Ester,0
336,337,Chemical_337,183.09,0.4,-1.19,29,Halogenated Hydrocarbon,0
337,338,Chemical_338,146.41,12.73,3.95,47,Carboxylic Acid,0
338,339,Chemical_339,151.91,3.4,-1.73,46,Halogenated Hydrocarbon,0
339,340,Chemical_340,197.22,1.91,-2.16,34,Alkane,0
340,341,Chemical_341,123.78,7.73,1.21,40,Aromatic Hydrocarbon,1
341,342,Chemical_342,146.36,8.9,2.79,32,Aromatic Hydrocarbon,0
342,343,Chemical_343,140.67,5.24,2.55,30,Halogenated Hydrocarbon,0
343,344,Chemical_344,51.63,8.49,-2.01,5,Ester,0
344,345,Chemical_345,42.94,7.58,-4.6,28,Alcohol,1
345,346,Chemical_346,85.45,12.73,0.87,13,Ether,0
346,347,Chemical_347,137.98,11.24,3.15,46,Ether,0
347,348,Chemical_348,81.16,5.89,4.48,6,Ester,1
348,349,Chemical_349,81.0,2.61,4.0,41,Carboxylic Acid,1
349,350,Chemical_350,129.28,3.61,0.3,1,Alcohol,1
350,351,Chemical_351,66.77,2.05,-1.38,25,Halogenated Hydrocarbon,0
351,352,Chemical_352,171.72,8.42,4.66,8,Ester,1
352,353,Chemical_353,131.48,10.55,-0.88,12,Polymer,0
353,354,Chemical_354,113.3,0.68,0.59,25,Alkane,0
354,355,Chemical_355,175.48,10.8,-3.99,34,Polymer,0
355,356,Chemical_356,111.12,4.13,-4.78,48,Halogenated Hydrocarbon,0
356,357,Chemical_357,72.21,5.62,0.88,24,Halogenated Hydrocarbon,0
357,358,Chemical_358,138.61,7.8,-2.31,39,Polymer,1
358,359,Chemical_359,67.85,5.48,3.35,47,Ether,0
359,360,Chemical_360,84.64,9.91,4.43,14,Ester,0
360,361,Chemical_361,188.47,12.3,0.96,8,Carboxylic Acid,1
361,362,Chemical_362,162.06,7.34,-1.69,2,Alcohol,1
362,363,Chemical_363,54.46,4.32,2.93,42,Aromatic Hydrocarbon,0
363,364,Chemical_364,60.25,2.68,4.56,41,Alkane,0
364,365,Chemical_365,197.36,5.2,-3.46,41,Ether,0
365,366,Chemical_366,176.08,8.42,0.99,45,Ether,0
366,367,Chemical_367,64.37,2.46,-4.61,49,Alcohol,1
367,368,Chemical_368,63.93,11.23,-2.31,11,Polymer,0
368,369,Chemical_369,178.44,10.72,-4.06,15,Halogenated Hydrocarbon,0
369,370,Chemical_370,81.4,9.52,-2.02,45,Halogenated Hydrocarbon,0
370,371,Chemical_371,135.19,7.58,1.81,12,Alcohol,1
371,372,Chemical_372,154.82,9.4,-3.3,12,Ester,0
372,373,Chemical_373,72.66,11.83,3.61,26,Halogenated Hydrocarbon,0
373,374,Chemical_374,198.52,8.8,4.14,44,Ester,0
374,375,Chemical_375,160.13,8.05,3.75,26,Ester,0
375,376,Chemical_376,110.9,7.91,-1.89,5,Alkane,1
376,377,Chemical_377,126.7,8.67,-1.04,17,Polymer,0
377,378,Chemical_378,69.89,13.89,-1.14,34,Halogenated Hydrocarbon,0
378,379,Chemical_379,197.41,4.46,2.64,10,Aromatic Hydrocarbon,0
379,380,Chemical_380,107.3,0.72,-3.24,22,Aromatic Hydrocarbon,0
380,381,Chemical_381,164.36,7.99,-1.6,36,Halogenated Hydrocarbon,1
381,382,Chemical_382,70.88,5.85,-4.47,27,Ether,0
382,383,Chemical_383,177.09,7.52,1.34,47,Ester,1
383,384,Chemical_384,166.76,10.63,4.45,17,Aromatic Hydrocarbon,0
384,385,Chemical_385,165.42,12.97,3.43,38,Ester,0
385,386,Chemical_386,83.38,9.67,-3.73,36,Aromatic Hydrocarbon,0
386,387,Chemical_387,103.66,10.98,-3.11,43,Ether,0
387,388,Chemical_388,93.69,3.43,-3.79,6,Ester,0
388,389,Chemical_389,41.39,10.03,-0.73,10,Alcohol,1
389,390,Chemical_390,40.98,2.77,4.78,21,Ester,0
390,391,Chemical_391,96.43,1.91,-3.82,1,Alkane,0
391,392,Chemical_392,81.04,10.26,3.93,9,Alcohol,1
392,393,Chemical_393,42.67,6.98,3.78,17,Aromatic Hydrocarbon,0
393,394,Chemical_394,92.52,5.49,1.95,29,Carboxylic Acid,1
394,395,Chemical_395,138.7,5.0,-2.26,50,Ester,0
395,396,Chemical_396,188.09,2.63,0.97,37,Alcohol,0
