,Age,Race,Location,Time,Weather,Severity,Record,Weapon,Injuries,Relationship,label
32,6,Other,Phoenix,5,Clear,2,1,0,1,Defendant,0
33,33,Asian,New York,1,Clear,3,0,1,1,Defendant,0
34,32,Black,Phoenix,4,Snowy,2,1,1,1,Unknown,0
35,20,Other,Los Angeles,1,Cloudy,4,0,1,0,Defendant,1
36,72,White,New York,3,Rainy,1,1,1,1,Unknown,1
37,53,Other,New York,5,Snowy,2,0,0,1,Victim,0
38,38,Black,Chicago,2,Rainy,4,1,1,1,Defendant,1
39,55,Black,Phoenix,1,Cloudy,2,0,0,1,Defendant,0
40,73,Hispanic,Houston,3,Rainy,4,0,1,1,Victim,1
41,27,Other,New York,3,Rainy,4,0,1,0,Unknown,1
42,4,Hispanic,Phoenix,2,Rainy,1,1,0,0,Unknown,1
43,77,Asian,Houston,5,Clear,5,0,0,0,Unknown,1
44,50,Hispanic,Houston,5,Snowy,2,0,0,1,Unknown,0
45,6,Black,New York,5,Snowy,1,1,0,1,Defendant,0
46,73,Hispanic,Houston,3,Rainy,5,1,1,1,Defendant,1
47,71,White,Chicago,5,Rainy,1,1,1,1,Victim,1
48,15,Asian,Chicago,3,Clear,2,1,0,0,Victim,0
49,42,Hispanic,Los Angeles,1,Cloudy,5,0,0,0,Defendant,1
50,63,Asian,Chicago,5,Snowy,4,1,1,1,Victim,1
51,75,Other,Phoenix,1,Rainy,1,1,1,1,Victim,1
52,57,Other,New York,2,Rainy,1,0,1,1,Unknown,1
53,6,Other,Chicago,1,Snowy,2,1,0,0,Victim,0
54,46,Hispanic,New York,5,Snowy,2,1,1,1,Defendant,0
55,39,Other,New York,2,Cloudy,3,0,1,0,Defendant,0
56,27,Asian,Los Angeles,1,Snowy,1,1,1,0,Unknown,0
57,35,Black,New York,3,Rainy,3,1,1,0,Unknown,1
58,65,White,Houston,3,Rainy,1,1,0,0,Victim,1
59,61,Hispanic,Chicago,2,Rainy,5,0,0,1,Defendant,1
60,11,Asian,Phoenix,3,Rainy,2,1,0,0,Unknown,1
61,21,White,Houston,1,Snowy,1,1,0,0,Defendant,0
62,7,Hispanic,New York,1,Snowy,3,0,0,1,Defendant,0
63,66,Other,Los Angeles,1,Clear,4,1,1,0,Victim,1
64,23,White,Chicago,2,Cloudy,2,1,1,1,Victim,0
65,75,Asian,New York,5,Snowy,3,0,0,0,Victim,0
66,27,Hispanic,Chicago,5,Rainy,2,0,1,0,Defendant,1
67,6,Hispanic,Phoenix,4,Clear,2,1,0,0,Defendant,0
68,31,Hispanic,Houston,1,Clear,3,1,0,1,Unknown,0
69,37,Other,Chicago,5,Snowy,2,1,0,0,Victim,0
70,43,White,Chicago,4,Rainy,2,0,0,1,Victim,1
71,26,Other,New York,2,Snowy,2,0,0,0,Unknown,0
72,21,Other,Phoenix,4,Clear,3,0,1,0,Victim,0
73,26,Other,Houston,5,Snowy,1,0,1,1,Defendant,0
74,7,Black,Houston,2,Cloudy,5,1,1,0,Unknown,1
75,1,White,Los Angeles,4,Clear,4,0,0,1,Victim,1
76,8,White,Chicago,1,Clear,2,0,1,0,Defendant,0
77,37,Hispanic,Phoenix,2,Clear,3,0,1,1,Victim,0
78,28,Other,Houston,5,Cloudy,3,1,1,0,Defendant,0
79,7,Black,Houston,3,Rainy,1,0,0,1,Victim,1
80,20,Asian,Los Angeles,2,Cloudy,4,0,1,0,Unknown,1
81,40,Asian,Chicago,1,Snowy,5,1,0,0,Unknown,1
82,27,Hispanic,Houston,5,Clear,3,0,0,0,Victim,0
83,46,Asian,Houston,2,Clear,5,1,1,0,Defendant,1
84,34,Hispanic,Houston,5,Clear,4,0,0,1,Unknown,1
85,34,Hispanic,Los Angeles,1,Rainy,2,1,1,0,Defendant,1
86,30,Other,Houston,5,Clear,4,1,1,0,Victim,1
87,74,Hispanic,Houston,1,Rainy,4,1,1,0,Defendant,1
88,34,Black,New York,5,Rainy,5,0,1,1,Unknown,1
89,3,White,Houston,3,Cloudy,3,0,0,1,Unknown,0
90,28,Hispanic,Chicago,5,Cloudy,2,0,1,1,Unknown,0
91,54,Black,Houston,1,Rainy,2,1,0,1,Unknown,1
92,59,White,New York,5,Rainy,3,0,0,1,Defendant,1
93,64,Hispanic,Los Angeles,4,Snowy,5,1,1,1,Victim,1
94,67,Asian,Chicago,3,Rainy,2,0,1,1,Defendant,1
95,37,Asian,Houston,5,Snowy,1,1,0,0,Victim,0
96,44,Asian,Houston,1,Clear,5,1,0,1,Unknown,1
97,22,Hispanic,New York,4,Clear,4,1,0,0,Defendant,1
98,56,Other,Chicago,4,Rainy,4,0,1,0,Victim,1
99,66,Other,Houston,4,Rainy,2,1,0,0,Victim,1
100,41,Asian,Phoenix,1,Snowy,2,0,1,1,Victim,0
101,64,Other,Houston,5,Rainy,1,0,0,1,Unknown,1
102,32,White,Houston,4,Cloudy,1,1,0,1,Unknown,0
103,66,Black,Houston,4,Rainy,2,1,1,1,Victim,1
104,7,Other,Houston,2,Cloudy,3,0,1,1,Unknown,0
105,41,Hispanic,Phoenix,3,Snowy,3,1,0,1,Defendant,0
106,36,Asian,New York,5,Cloudy,2,1,0,0,Victim,0
107,11,Other,Phoenix,5,Cloudy,3,0,1,1,Defendant,0
108,64,Black,Los Angeles,2,Clear,4,1,1,1,Defendant,1
109,33,White,New York,1,Clear,1,0,0,0,Victim,0
110,69,Asian,Chicago,2,Cloudy,2,0,0,0,Victim,0
111,23,Other,Houston,3,Snowy,1,0,1,1,Victim,0
112,70,Asian,Los Angeles,1,Rainy,1,0,0,0,Defendant,1
113,58,Other,Chicago,3,Snowy,1,1,1,1,Unknown,0
114,65,White,New York,5,Clear,3,0,0,0,Victim,0
115,48,Hispanic,New York,3,Rainy,2,0,1,0,Unknown,1
116,78,White,Houston,2,Snowy,3,0,0,0,Victim,0
117,76,Black,Phoenix,4,Cloudy,3,0,0,1,Victim,0
118,1,Other,Phoenix,1,Clear,1,0,1,0,Victim,0
119,29,Asian,New York,3,Cloudy,2,1,1,1,Defendant,0
120,67,Other,Phoenix,2,Clear,1,1,1,0,Victim,0
121,62,Hispanic,Chicago,3,Cloudy,3,0,1,1,Defendant,0
122,71,Hispanic,Chicago,4,Snowy,4,1,0,0,Unknown,1
123,79,Other,Phoenix,1,Cloudy,4,1,1,1,Unknown,1
124,55,White,New York,4,Clear,1,1,0,1,Unknown,0
125,64,Asian,Chicago,2,Cloudy,1,0,1,1,Unknown,0
126,31,White,Phoenix,1,Rainy,4,0,0,0,Defendant,1
127,21,Black,Houston,2,Rainy,4,0,0,1,Unknown,1
128,3,Hispanic,New York,3,Cloudy,3,1,1,0,Unknown,0
129,64,Hispanic,Los Angeles,2,Rainy,3,0,0,0,Unknown,1
130,46,White,New York,2,Rainy,4,0,0,1,Defendant,1
131,54,Black,Chicago,3,Rainy,3,0,0,1,Unknown,1
132,20,Hispanic,Phoenix,5,Cloudy,2,0,1,1,Victim,0
133,27,Hispanic,Phoenix,2,Rainy,1,0,0,1,Defendant,1
134,56,Hispanic,New York,2,Cloudy,4,1,0,0,Victim,1
135,7,Black,Los Angeles,1,Rainy,1,1,0,1,Unknown,1
136,2,White,Houston,5,Cloudy,1,0,1,1,Defendant,0
137,68,White,New York,2,Rainy,4,0,1,0,Victim,1
138,46,Other,Phoenix,5,Clear,5,1,0,0,Defendant,1
139,20,Hispanic,Los Angeles,3,Cloudy,4,0,0,1,Unknown,1
140,8,Black,Houston,3,Clear,2,1,1,0,Unknown,0
141,64,Black,Phoenix,4,Clear,1,0,0,0,Defendant,0
142,19,Black,Chicago,1,Rainy,2,0,1,0,Unknown,1
143,54,Asian,Houston,4,Clear,3,0,0,0,Unknown,0
144,70,Asian,Chicago,5,Rainy,5,1,0,1,Unknown,1
145,19,Hispanic,Phoenix,4,Clear,3,0,0,1,Unknown,0
146,47,White,Los Angeles,5,Snowy,4,1,0,1,Defendant,1
147,74,Other,Los Angeles,3,Snowy,2,1,0,0,Defendant,0
148,63,White,Phoenix,2,Cloudy,3,1,0,0,Unknown,0
149,70,Black,Phoenix,3,Clear,1,1,0,1,Defendant,0
150,78,Other,New York,2,Cloudy,4,0,1,1,Victim,1
151,61,Other,Los Angeles,2,Rainy,2,1,0,0,Victim,1
152,64,Black,Phoenix,4,Snowy,2,0,1,0,Victim,0
153,62,Other,Los Angeles,5,Snowy,5,0,1,1,Defendant,1
154,2,Black,Chicago,2,Clear,2,0,0,0,Defendant,0
155,69,Other,Los Angeles,4,Snowy,2,0,1,1,Victim,0
156,7,Other,Los Angeles,1,Rainy,1,0,0,0,Unknown,1
157,63,Hispanic,New York,4,Rainy,2,1,1,1,Unknown,1
158,47,Hispanic,New York,5,Snowy,1,0,1,1,Defendant,0
159,29,Hispanic,New York,1,Snowy,2,0,1,0,Unknown,0
160,67,Black,New York,2,Clear,1,0,0,0,Unknown,0
161,5,Other,Phoenix,1,Rainy,5,0,1,0,Defendant,1
162,3,Black,Phoenix,4,Snowy,2,1,0,1,Victim,0
163,45,Hispanic,Chicago,1,Snowy,3,1,1,0,Unknown,0
164,18,Black,Houston,3,Cloudy,4,0,0,1,Victim,1
165,58,Hispanic,Houston,1,Rainy,3,0,0,1,Victim,1
166,28,White,Phoenix,3,Snowy,2,1,1,0,Victim,0
167,71,White,Los Angeles,3,Rainy,5,1,0,0,Victim,1
168,62,Other,Phoenix,2,Rainy,4,0,0,0,Defendant,1
169,50,Black,Phoenix,1,Clear,1,1,1,1,Defendant,0
170,22,Other,New York,3,Cloudy,5,0,0,1,Unknown,1
171,5,Hispanic,Houston,3,Cloudy,3,1,0,1,Unknown,0
172,66,White,Los Angeles,1,Rainy,4,1,1,0,Defendant,1
173,51,Other,Los Angeles,4,Rainy,1,0,0,1,Defendant,1
174,38,Hispanic,Phoenix,4,Rainy,4,0,0,0,Defendant,1
175,49,White,Houston,2,Rainy,1,0,0,1,Defendant,1
176,31,Asian,Chicago,2,Cloudy,1,0,0,0,Victim,0
177,71,Black,New York,1,Clear,5,0,1,0,Unknown,1
178,3,Black,Phoenix,1,Cloudy,1,1,1,1,Victim,0
179,79,Asian,Chicago,1,Clear,4,1,1,1,Unknown,1
180,74,White,New York,5,Snowy,2,1,1,1,Victim,0
181,55,Asian,Houston,2,Clear,4,0,1,0,Defendant,1
182,5,Black,Houston,3,Snowy,1,0,0,0,Unknown,0
183,79,Asian,Houston,5,Rainy,4,1,0,0,Unknown,1
184,29,Other,Houston,2,Rainy,3,0,0,0,Unknown,1
185,36,Hispanic,New York,4,Snowy,5,1,0,1,Victim,1
186,53,Other,Phoenix,5,Clear,4,0,0,0,Unknown,1
187,47,Asian,Houston,2,Rainy,1,1,0,1,Defendant,1
188,77,Hispanic,Chicago,5,Clear,2,0,1,0,Victim,0
189,74,Black,Houston,4,Cloudy,2,1,0,0,Unknown,0
190,15,Black,Los Angeles,3,Rainy,1,0,0,1,Unknown,1
191,49,Hispanic,Los Angeles,1,Clear,3,1,0,0,Defendant,0
192,63,Asian,Phoenix,1,Clear,4,1,1,0,Unknown,1
193,3,White,New York,3,Clear,2,1,1,1,Defendant,0
194,14,Hispanic,Houston,1,Snowy,1,1,1,0,Unknown,0
195,65,Black,New York,2,Rainy,4,1,0,0,Victim,1
196,27,Asian,Houston,3,Cloudy,4,0,0,0,Victim,1
197,62,Asian,Houston,3,Snowy,1,1,0,1,Unknown,0
198,9,Hispanic,Los Angeles,5,Rainy,4,1,0,1,Unknown,1
199,54,White,New York,4,Rainy,2,1,1,1,Defendant,1
200,31,Black,Chicago,3,Clear,5,1,1,1,Victim,1
201,31,Asian,Los Angeles,5,Cloudy,4,1,0,0,Unknown,1
202,31,Black,Chicago,1,Snowy,4,1,0,0,Defendant,1
203,44,Other,Phoenix,4,Clear,4,1,1,1,Defendant,1
204,51,White,New York,1,Clear,5,0,1,0,Unknown,1
205,43,Black,New York,1,Rainy,3,1,1,1,Defendant,1
206,8,White,Houston,3,Snowy,3,0,1,1,Unknown,0
207,59,White,Chicago,4,Snowy,5,1,1,1,Unknown,1
208,23,Hispanic,Houston,2,Rainy,4,1,1,0,Defendant,1
209,24,Asian,New York,3,Snowy,4,1,0,1,Victim,1
210,26,Other,Los Angeles,4,Cloudy,5,0,1,0,Victim,1
211,26,White,New York,5,Clear,3,0,1,1,Victim,0
212,35,Hispanic,Houston,4,Clear,1,1,1,0,Defendant,0
213,45,Other,New York,1,Clear,2,0,1,1,Defendant,0
214,19,Asian,New York,1,Clear,3,1,1,1,Victim,0
215,20,White,New York,1,Rainy,3,0,1,0,Unknown,1
216,75,Asian,Phoenix,3,Cloudy,4,0,0,0,Victim,1
217,72,Hispanic,Chicago,1,Snowy,2,1,1,0,Unknown,0
218,29,Black,New York,5,Rainy,3,1,1,0,Defendant,1
219,36,Other,New York,1,Rainy,5,1,0,0,Victim,1
220,68,Asian,Chicago,3,Cloudy,2,0,0,0,Unknown,0
221,5,Other,New York,2,Clear,5,1,0,1,Defendant,1
222,57,Other,Phoenix,2,Clear,1,1,1,1,Unknown,0
223,32,White,New York,4,Rainy,1,1,1,0,Unknown,1
224,4,White,New York,1,Snowy,3,0,0,1,Victim,0
225,17,Asian,Phoenix,4,Cloudy,2,0,0,0,Unknown,0
226,29,Asian,Chicago,3,Snowy,2,0,0,1,Victim,0
227,46,Asian,Houston,1,Snowy,4,0,1,0,Victim,1
228,62,Other,Phoenix,2,Clear,3,0,0,0,Defendant,0
229,7,Asian,New York,1,Rainy,3,1,1,1,Unknown,1
230,70,Other,Chicago,1,Cloudy,4,0,1,0,Victim,1
231,46,Asian,New York,3,Clear,2,0,1,1,Victim,0
232,23,White,Houston,3,Clear,4,0,1,1,Defendant,1
233,31,Black,Los Angeles,1,Cloudy,1,1,1,1,Defendant,0
234,70,Hispanic,Phoenix,1,Clear,5,0,0,0,Unknown,1
235,68,White,Los Angeles,1,Rainy,2,0,1,0,Unknown,1
236,41,Hispanic,Houston,2,Snowy,1,0,0,1,Victim,0
237,11,Other,Houston,1,Cloudy,2,0,1,1,Unknown,0
238,48,White,Phoenix,5,Rainy,5,1,0,0,Defendant,1
239,46,Hispanic,Phoenix,3,Snowy,2,0,1,0,Victim,0
240,31,Other,Chicago,5,Clear,3,1,1,0,Unknown,0
241,79,Black,Chicago,5,Clear,1,0,0,1,Unknown,0
242,32,Black,Chicago,4,Clear,4,0,1,1,Defendant,1
243,40,White,Los Angeles,4,Clear,3,0,1,0,Defendant,0
244,34,Other,Chicago,5,Clear,3,1,1,1,Defendant,0
245,9,Asian,Houston,5,Snowy,3,0,1,0,Unknown,0
246,77,Black,Phoenix,2,Clear,1,1,0,1,Defendant,0
247,51,Black,Los Angeles,1,Clear,1,0,0,0,Defendant,0
248,62,Black,Los Angeles,2,Clear,4,1,0,1,Victim,1
249,15,Other,Houston,5,Rainy,5,0,0,1,Defendant,1
250,35,Other,Houston,2,Clear,1,1,1,0,Victim,0
251,11,Black,New York,1,Clear,1,0,1,1,Defendant,0
252,13,Other,New York,1,Rainy,2,1,0,0,Victim,1
253,25,Hispanic,New York,5,Cloudy,1,0,1,0,Defendant,0
254,22,Asian,Los Angeles,4,Rainy,4,1,1,0,Victim,1
255,12,Hispanic,Houston,5,Rainy,4,0,1,1,Victim,1
256,14,Hispanic,Los Angeles,3,Rainy,1,1,0,1,Unknown,1
257,79,Asian,Los Angeles,2,Cloudy,1,0,0,1,Defendant,0
258,77,White,Los Angeles,5,Snowy,5,0,1,0,Unknown,1
259,65,Hispanic,New York,5,Rainy,3,0,0,1,Unknown,1
260,17,Other,New York,1,Clear,1,1,1,0,Unknown,0
261,35,Other,Los Angeles,4,Rainy,2,0,0,1,Victim,1
262,49,Black,Chicago,4,Cloudy,2,1,1,1,Defendant,0
263,54,White,Houston,3,Snowy,3,0,1,1,Unknown,0
264,17,Hispanic,Chicago,4,Rainy,1,1,0,1,Unknown,1
265,33,Other,Chicago,5,Cloudy,1,1,0,0,Unknown,0
266,66,Hispanic,Houston,5,Clear,3,1,1,0,Unknown,0
267,29,Other,Chicago,4,Snowy,5,0,0,0,Defendant,1
268,46,Hispanic,Phoenix,2,Clear,5,1,1,0,Defendant,1
269,3,Asian,Houston,1,Cloudy,4,1,1,1,Unknown,1
270,41,Other,Los Angeles,5,Rainy,3,0,1,0,Victim,1
271,26,Black,Houston,1,Cloudy,5,1,0,0,Defendant,1
272,76,White,Los Angeles,1,Cloudy,5,1,1,1,Defendant,1
273,75,Hispanic,Chicago,5,Clear,3,1,1,0,Defendant,0
274,41,White,Houston,4,Cloudy,1,1,0,1,Unknown,0
275,22,Asian,Phoenix,4,Snowy,4,0,1,1,Victim,1
276,49,Hispanic,Houston,5,Clear,2,1,1,1,Defendant,0
277,10,Asian,New York,1,Cloudy,5,0,1,0,Defendant,1
278,60,Asian,Houston,5,Snowy,1,1,1,0,Defendant,0
279,7,Black,New York,2,Snowy,3,1,0,1,Unknown,0
280,51,Other,Phoenix,5,Cloudy,1,0,0,1,Victim,0
281,7,Other,Phoenix,3,Cloudy,3,0,1,1,Defendant,0
282,70,Hispanic,Houston,1,Cloudy,3,0,0,1,Victim,0
283,47,Hispanic,New York,4,Rainy,5,1,0,1,Defendant,1
284,29,White,New York,2,Clear,5,1,1,0,Victim,1
285,60,Hispanic,Los Angeles,2,Clear,5,0,1,0,Defendant,1
286,25,Asian,Phoenix,1,Rainy,3,0,0,0,Victim,1
287,26,White,Los Angeles,4,Cloudy,5,0,0,1,Victim,1
288,79,Asian,New York,5,Cloudy,1,1,0,0,Defendant,0
289,28,Black,New York,2,Clear,4,0,0,1,Unknown,1
290,51,Asian,Phoenix,1,Clear,3,0,0,1,Unknown,0
291,39,Black,Chicago,1,Rainy,1,1,1,1,Defendant,1
292,22,Black,Phoenix,4,Rainy,2,1,1,1,Defendant,1
293,29,Asian,Los Angeles,4,Rainy,3,0,1,1,Victim,1
294,40,Asian,Houston,3,Clear,5,0,1,0,Unknown,1
295,56,Hispanic,New York,5,Rainy,3,1,1,0,Defendant,1
296,14,Hispanic,Chicago,1,Clear,4,1,1,1,Defendant,1
297,27,Black,New York,3,Snowy,4,0,1,0,Unknown,1
298,59,Black,Phoenix,3,Rainy,3,1,1,1,Defendant,1
299,67,Other,Houston,2,Clear,3,0,0,0,Unknown,0
300,14,Asian,New York,3,Snowy,4,1,1,0,Victim,1
301,42,Hispanic,Los Angeles,5,Snowy,4,1,0,1,Unknown,1
302,29,Asian,Phoenix,2,Snowy,2,1,0,0,Defendant,0
303,75,Black,Phoenix,1,Rainy,2,0,0,0,Victim,1
304,55,White,Phoenix,4,Rainy,1,0,1,0,Defendant,1
305,14,Asian,Chicago,1,Rainy,3,0,0,1,Unknown,1
306,27,Hispanic,Phoenix,5,Clear,4,0,1,0,Victim,1
307,38,Black,Phoenix,3,Clear,5,0,1,0,Victim,1
308,50,Black,Los Angeles,2,Clear,5,0,1,0,Victim,1
309,56,Asian,Los Angeles,1,Rainy,1,0,0,1,Unknown,1
310,16,Asian,Los Angeles,2,Snowy,1,1,1,1,Defendant,0
311,1,Hispanic,Chicago,5,Cloudy,3,1,0,1,Unknown,0
312,56,Other,Phoenix,4,Snowy,2,0,0,1,Defendant,0
313,37,Asian,Phoenix,2,Clear,3,0,0,1,Unknown,0
314,59,Asian,Los Angeles,5,Clear,3,0,1,1,Victim,0
315,74,White,Phoenix,3,Snowy,2,0,0,1,Victim,0
316,23,Hispanic,Houston,4,Rainy,2,0,0,0,Victim,1
317,44,Asian,Houston,3,Clear,4,0,0,1,Victim,1
318,2,Asian,Chicago,1,Clear,2,0,1,0,Defendant,0
319,68,Black,Phoenix,1,Rainy,2,1,1,1,Victim,1
320,63,Other,Los Angeles,2,Clear,1,1,1,1,Unknown,0
321,26,Hispanic,Phoenix,2,Rainy,4,0,1,1,Victim,1
322,31,Other,Chicago,3,Cloudy,5,1,0,0,Defendant,1
323,10,Other,Los Angeles,5,Clear,3,0,1,0,Defendant,0
324,51,Hispanic,Chicago,4,Clear,5,0,1,1,Defendant,1
325,66,Other,Phoenix,5,Snowy,3,0,1,1,Defendant,0
326,63,Black,New York,4,Snowy,3,1,1,0,Defendant,0
327,1,Hispanic,Houston,4,Clear,4,0,1,0,Defendant,1
328,23,Black,Chicago,3,Snowy,2,0,1,0,Victim,0
329,17,Other,Houston,4,Clear,1,1,1,0,Defendant,0
330,23,Black,Phoenix,4,Snowy,2,0,0,0,Defendant,0
331,37,White,Phoenix,2,Clear,2,1,1,0,Unknown,0
332,56,Black,Los Angeles,4,Rainy,1,1,1,0,Unknown,1
333,35,Black,Phoenix,5,Snowy,3,0,0,1,Unknown,0
334,60,Black,Phoenix,4,Cloudy,4,1,0,1,Victim,1
335,76,Other,Los Angeles,2,Snowy,3,0,0,1,Defendant,0
336,25,Black,Chicago,1,Snowy,4,1,1,0,Unknown,1
337,13,White,Houston,5,Snowy,4,0,1,1,Defendant,1
338,77,Other,New York,5,Cloudy,3,0,1,1,Victim,0
339,65,Hispanic,Los Angeles,2,Rainy,2,1,1,0,Victim,1
340,73,Black,Houston,5,Rainy,5,0,0,0,Victim,1
341,68,White,Houston,4,Snowy,5,1,0,0,Victim,1
342,11,Hispanic,Houston,4,Clear,3,1,1,0,Unknown,0
343,30,Asian,Chicago,2,Cloudy,4,1,1,1,Unknown,1
344,4,Hispanic,Houston,3,Snowy,5,1,1,0,Unknown,1
345,5,White,Phoenix,4,Cloudy,3,0,0,0,Defendant,0
346,14,White,Houston,4,Clear,1,1,0,0,Victim,0
347,44,Hispanic,New York,3,Rainy,2,0,0,0,Unknown,1
348,73,White,New York,2,Clear,3,0,0,0,Defendant,0
349,48,Black,Los Angeles,4,Clear,5,0,1,1,Unknown,1
350,3,Hispanic,Phoenix,2,Cloudy,5,1,0,0,Defendant,1
351,29,Black,Los Angeles,2,Cloudy,3,1,1,0,Defendant,0
352,58,Other,Houston,1,Rainy,4,0,0,1,Defendant,1
353,3,White,Chicago,4,Rainy,5,0,0,0,Unknown,1
354,55,Asian,Chicago,2,Rainy,1,1,0,1,Defendant,1
355,54,Asian,New York,5,Rainy,3,1,0,1,Defendant,1
356,26,White,New York,2,Cloudy,4,0,1,0,Unknown,1
357,44,Other,Chicago,5,Rainy,5,0,1,0,Unknown,1
358,56,Black,Phoenix,1,Rainy,3,0,1,1,Defendant,1
359,10,Black,Chicago,4,Clear,5,1,1,0,Unknown,1
360,11,Hispanic,Los Angeles,5,Rainy,2,0,0,1,Unknown,1
361,68,White,Phoenix,3,Snowy,3,0,1,0,Defendant,0
362,15,Asian,Los Angeles,5,Cloudy,4,1,1,0,Defendant,1
363,23,Other,Los Angeles,5,Snowy,2,0,0,0,Unknown,0
364,43,Other,Los Angeles,3,Cloudy,1,1,0,0,Unknown,0
365,17,White,Houston,1,Snowy,1,0,0,1,Defendant,0
366,77,Other,Houston,2,Clear,2,0,1,0,Unknown,0
367,44,Black,Houston,2,Cloudy,3,1,1,1,Victim,0
368,61,Hispanic,Phoenix,5,Snowy,1,0,0,1,Unknown,0
369,58,Other,Phoenix,1,Clear,1,0,0,1,Defendant,0
370,55,White,New York,1,Clear,4,0,1,0,Defendant,1
371,24,Other,New York,5,Snowy,4,0,0,1,Defendant,1
372,9,Asian,Chicago,2,Cloudy,5,0,0,1,Victim,1
373,53,Asian,Chicago,5,Snowy,2,1,1,1,Unknown,0
374,7,Black,Phoenix,1,Cloudy,1,0,0,1,Unknown,0
375,76,Asian,Los Angeles,3,Cloudy,2,0,0,1,Unknown,0
376,50,White,Houston,4,Clear,4,1,1,1,Unknown,1
377,29,Other,Houston,4,Snowy,4,0,1,1,Victim,1
378,21,White,Chicago,4,Clear,4,0,1,1,Defendant,1
379,78,Black,Chicago,1,Clear,1,1,0,0,Unknown,0
380,29,Hispanic,Houston,1,Rainy,4,1,0,0,Defendant,1
381,63,Other,Houston,5,Snowy,2,0,1,1,Defendant,0
382,20,Other,Los Angeles,5,Clear,5,0,0,1,Unknown,1
383,27,Other,Chicago,2,Clear,2,0,0,1,Defendant,0
384,43,Hispanic,New York,2,Snowy,3,1,1,0,Victim,0
385,69,Black,Chicago,5,Snowy,4,1,1,1,Defendant,1
386,21,White,New York,1,Clear,2,1,0,0,Defendant,0
387,10,Asian,Chicago,2,Snowy,5,1,0,0,Victim,1
388,43,Asian,New York,4,Snowy,1,0,1,1,Unknown,0
389,32,White,Los Angeles,4,Snowy,3,0,0,0,Defendant,0
390,68,Other,New York,3,Rainy,3,1,0,0,Defendant,1
391,51,Asian,Houston,2,Rainy,1,0,1,1,Unknown,1
392,28,White,New York,3,Clear,4,0,0,1,Defendant,1
393,60,Hispanic,Houston,1,Cloudy,3,0,1,1,Victim,0
394,43,Other,Phoenix,2,Clear,1,1,1,1,Victim,0
395,37,Black,New York,2,Snowy,4,1,0,1,Defendant,1
396,31,Other,Phoenix,4,Rainy,2,0,1,1,Victim,1
397,18,Black,Los Angeles,5,Rainy,1,0,0,1,Defendant,1
398,20,Other,Chicago,2,Cloudy,3,0,0,1,Unknown,0
399,51,Black,New York,1,Cloudy,3,1,0,1,Defendant,0
400,71,Other,New York,5,Snowy,5,1,1,0,Defendant,1
401,43,Asian,Chicago,5,Clear,1,0,0,0,Defendant,0
402,41,White,Los Angeles,2,Snowy,2,1,0,0,Unknown,0
403,75,Other,Houston,4,Snowy,1,0,1,1,Unknown,0
404,63,Asian,Phoenix,3,Rainy,2,0,0,0,Defendant,1
405,75,Hispanic,New York,3,Rainy,2,1,1,0,Unknown,1
406,74,Black,New York,2,Clear,5,0,0,1,Unknown,1
