,Age,Gender,Location,Education,Income,Purchase History,Campaign Participation,label
35,61,Female,"Chicago, IL",High School,52417,2,Yes,1
36,20,Female,"Boston, MA",Master's,17069,9,No,0
37,54,Female,"New York, NY",High School,52359,5,No,1
38,24,Female,"Chicago, IL",Bachelor's,29799,0,No,0
39,38,Male,"Boston, MA",Master's,80188,6,No,1
40,26,Female,"Los Angeles, CA",Bachelor's,99859,7,No,1
41,56,Male,"Chicago, IL",Master's,17597,7,Yes,1
42,35,Male,"New York, NY",High School,57093,2,No,0
43,21,Male,"New York, NY",Master's,47226,9,No,0
44,42,Female,"Chicago, IL",Bachelor's,82127,0,No,1
45,31,Female,"Chicago, IL",High School,87362,8,Yes,1
46,26,Female,"New York, NY",Master's,36417,5,Yes,0
47,43,Male,"Los Angeles, CA",Master's,28693,8,No,1
48,19,Male,"Boston, MA",Master's,89674,6,Yes,1
49,37,Male,"Los Angeles, CA",Bachelor's,63161,0,Yes,0
50,45,Male,"Chicago, IL",Bachelor's,12169,0,No,0
51,64,Male,"Los Angeles, CA",Master's,94092,5,Yes,1
52,24,Male,"New York, NY",High School,32052,4,Yes,0
53,61,Female,"Chicago, IL",High School,81849,8,Yes,1
54,25,Female,"Boston, MA",Bachelor's,83851,1,No,1
55,64,Female,"New York, NY",High School,18036,7,No,1
56,52,Female,"New York, NY",Bachelor's,41778,4,No,1
57,31,Male,"Boston, MA",Master's,37734,1,Yes,1
58,34,Male,"Boston, MA",Bachelor's,33173,9,No,0
59,53,Female,"Los Angeles, CA",Bachelor's,40403,5,Yes,1
60,57,Male,"Chicago, IL",Master's,76321,9,Yes,1
61,21,Female,"Boston, MA",High School,81675,7,Yes,1
62,19,Female,"Boston, MA",Bachelor's,16344,3,No,0
63,23,Female,"Chicago, IL",Bachelor's,28800,1,No,0
64,59,Male,"Boston, MA",Master's,35372,4,No,1
65,21,Female,"Boston, MA",High School,71516,1,No,1
66,46,Female,"Los Angeles, CA",Bachelor's,30538,1,Yes,1
67,35,Female,"New York, NY",Master's,73918,5,No,1
68,43,Male,"New York, NY",Bachelor's,24973,9,Yes,1
69,61,Male,"New York, NY",Master's,81155,8,No,1
70,51,Female,"New York, NY",High School,69500,3,No,1
71,27,Male,"Boston, MA",High School,46575,5,No,0
72,53,Male,"Chicago, IL",High School,52261,6,Yes,1
73,31,Male,"Chicago, IL",High School,37716,5,Yes,0
74,48,Male,"Los Angeles, CA",Bachelor's,13236,7,Yes,1
75,32,Male,"Los Angeles, CA",Bachelor's,25848,3,Yes,0
76,25,Male,"Boston, MA",High School,12352,0,Yes,0
77,31,Male,"Chicago, IL",High School,11932,6,No,0
78,40,Male,"Chicago, IL",High School,86449,2,Yes,0
79,57,Male,"New York, NY",Bachelor's,18556,5,Yes,0
80,38,Male,"Boston, MA",High School,96836,1,Yes,0
81,33,Female,"Boston, MA",High School,15498,8,Yes,1
82,62,Female,"New York, NY",High School,86118,0,No,1
83,35,Male,"Boston, MA",Master's,60098,5,Yes,1
84,64,Female,"Boston, MA",High School,74386,5,No,1
85,41,Female,"Los Angeles, CA",Master's,19569,4,No,1
86,43,Male,"Chicago, IL",Master's,66882,4,No,1
87,42,Male,"Boston, MA",High School,80393,0,Yes,0
88,62,Male,"Los Angeles, CA",Master's,10340,9,No,1
89,58,Female,"Chicago, IL",High School,53949,4,Yes,1
90,46,Female,"New York, NY",Bachelor's,92302,1,Yes,1
91,32,Male,"Los Angeles, CA",Bachelor's,72443,6,Yes,1
92,62,Male,"Los Angeles, CA",Bachelor's,84027,2,Yes,0
93,18,Male,"Chicago, IL",Bachelor's,10138,3,Yes,0
94,42,Female,"New York, NY",Master's,10358,2,No,1
95,24,Female,"Los Angeles, CA",High School,85250,2,No,1
96,26,Female,"Boston, MA",High School,95376,3,Yes,1
97,41,Female,"Boston, MA",High School,40654,4,No,1
98,18,Male,"Boston, MA",Bachelor's,35879,0,Yes,0
99,61,Male,"New York, NY",Bachelor's,91532,3,No,0
100,25,Male,"Los Angeles, CA",High School,65778,7,No,0
101,41,Male,"Boston, MA",Bachelor's,47772,9,No,0
102,28,Female,"New York, NY",High School,68478,6,No,1
103,34,Female,"Boston, MA",High School,74353,8,No,1
104,25,Male,"Chicago, IL",High School,36762,4,Yes,0
105,52,Male,"Los Angeles, CA",High School,23283,9,Yes,1
106,52,Female,"Los Angeles, CA",High School,73922,3,No,1
107,50,Male,"New York, NY",High School,49420,7,Yes,1
108,22,Female,"New York, NY",High School,65568,8,No,1
109,59,Male,"Los Angeles, CA",Bachelor's,95090,6,Yes,1
110,56,Male,"Boston, MA",High School,30219,6,No,0
111,58,Male,"Boston, MA",High School,67169,4,No,0
112,45,Male,"Chicago, IL",Bachelor's,84965,3,No,0
113,24,Male,"Boston, MA",Bachelor's,56840,9,Yes,1
114,26,Male,"New York, NY",Bachelor's,54695,0,Yes,0
115,25,Male,"New York, NY",High School,94754,9,No,0
116,29,Female,"Boston, MA",Master's,87988,9,No,1
117,51,Female,"New York, NY",Master's,68342,6,Yes,1
118,50,Female,"Los Angeles, CA",Bachelor's,28951,0,Yes,1
119,40,Female,"Los Angeles, CA",Master's,11307,0,Yes,1
120,41,Female,"Boston, MA",Bachelor's,90388,4,Yes,1
121,54,Male,"Los Angeles, CA",High School,45428,8,Yes,1
122,52,Male,"Los Angeles, CA",Master's,85774,5,No,1
123,61,Female,"Chicago, IL",High School,48975,2,Yes,1
124,57,Male,"Chicago, IL",Master's,11140,2,No,1
125,39,Female,"Los Angeles, CA",High School,34842,6,No,1
126,44,Female,"Boston, MA",Master's,36421,5,Yes,1
127,52,Male,"Chicago, IL",High School,11708,8,Yes,1
128,18,Male,"New York, NY",High School,13630,5,No,0
129,52,Male,"New York, NY",Master's,29595,4,Yes,1
130,54,Female,"New York, NY",High School,86021,9,No,1
131,64,Male,"Boston, MA",High School,38308,6,Yes,1
132,31,Female,"Los Angeles, CA",High School,54789,0,Yes,1
133,20,Female,"New York, NY",Master's,65690,6,Yes,1
134,18,Female,"Boston, MA",Master's,36086,2,No,0
135,22,Male,"Chicago, IL",High School,26859,8,Yes,0
136,43,Male,"Los Angeles, CA",High School,17684,5,No,0
137,31,Female,"Chicago, IL",Master's,11207,8,Yes,1
138,56,Male,"Boston, MA",Master's,56099,4,No,1
139,44,Male,"New York, NY",High School,77496,6,Yes,1
140,26,Male,"New York, NY",High School,76093,3,No,0
141,32,Female,"Boston, MA",High School,39689,6,No,1
142,32,Female,"New York, NY",Bachelor's,58651,0,No,1
143,43,Male,"Los Angeles, CA",Master's,23893,6,No,1
144,59,Female,"Boston, MA",Bachelor's,76418,7,No,1
145,30,Male,"Chicago, IL",Master's,70011,4,No,1
146,49,Male,"Boston, MA",Master's,48635,1,Yes,1
147,56,Male,"Los Angeles, CA",Master's,66115,4,No,1
148,49,Male,"Los Angeles, CA",Master's,88405,5,No,1
149,21,Female,"Boston, MA",Master's,82702,1,No,1
150,47,Female,"Boston, MA",Master's,88518,5,Yes,1
151,54,Female,"New York, NY",Master's,82805,5,Yes,1
152,40,Male,"Los Angeles, CA",Bachelor's,68954,0,Yes,0
153,56,Male,"Boston, MA",High School,38064,0,No,0
154,62,Male,"Boston, MA",High School,89063,9,Yes,1
155,32,Female,"Los Angeles, CA",Bachelor's,12454,2,Yes,1
156,60,Male,"Boston, MA",Bachelor's,30878,9,No,0
157,46,Female,"New York, NY",Bachelor's,61098,9,No,1
158,53,Female,"Los Angeles, CA",Bachelor's,72154,2,Yes,1
159,30,Female,"New York, NY",Master's,22991,3,No,1
160,49,Female,"New York, NY",High School,78344,1,No,1
161,24,Female,"New York, NY",Master's,46593,8,No,0
162,39,Female,"New York, NY",High School,46304,9,No,1
163,45,Male,"Los Angeles, CA",High School,40386,6,Yes,1
164,19,Male,"New York, NY",Bachelor's,65220,6,No,0
165,59,Female,"New York, NY",Master's,79338,5,Yes,1
166,62,Female,"Boston, MA",Bachelor's,31083,2,Yes,1
167,23,Male,"Los Angeles, CA",Master's,28354,5,Yes,0
168,45,Female,"Los Angeles, CA",High School,32190,7,Yes,1
169,45,Female,"Chicago, IL",Bachelor's,16142,7,No,1
170,61,Male,"Los Angeles, CA",Bachelor's,38398,8,No,0
171,61,Female,"Los Angeles, CA",High School,61971,0,No,1
172,37,Female,"Chicago, IL",High School,51862,0,Yes,1
173,47,Female,"Los Angeles, CA",High School,63410,2,Yes,1
174,28,Male,"Los Angeles, CA",Bachelor's,29503,2,Yes,0
175,45,Male,"Los Angeles, CA",Master's,58456,9,No,1
176,42,Male,"Los Angeles, CA",Bachelor's,92035,7,Yes,1
177,56,Female,"Chicago, IL",Master's,18016,9,No,1
178,50,Female,"Los Angeles, CA",Bachelor's,12384,0,No,1
179,18,Male,"Los Angeles, CA",Bachelor's,72320,1,No,0
180,44,Female,"Chicago, IL",High School,25072,1,No,1
181,30,Female,"Boston, MA",Master's,90018,2,Yes,1
182,58,Female,"New York, NY",Bachelor's,50510,5,No,1
183,20,Female,"Boston, MA",Bachelor's,58933,0,Yes,1
184,56,Female,"Chicago, IL",High School,31826,1,No,1
185,23,Male,"New York, NY",High School,78026,0,Yes,0
186,25,Female,"Chicago, IL",Master's,35518,4,Yes,0
187,44,Male,"Chicago, IL",Bachelor's,34045,6,No,0
188,26,Female,"Los Angeles, CA",Master's,60876,7,No,1
189,54,Male,"New York, NY",Bachelor's,61919,9,No,0
190,50,Female,"Los Angeles, CA",Master's,37103,0,Yes,1
191,59,Male,"New York, NY",High School,46188,6,No,0
192,61,Female,"Chicago, IL",Bachelor's,15845,4,No,1
193,41,Male,"Chicago, IL",Master's,96698,9,Yes,1
194,32,Female,"Boston, MA",High School,46674,0,No,1
195,49,Male,"New York, NY",High School,29337,2,Yes,0
196,49,Female,"Los Angeles, CA",Master's,32313,6,No,1
197,41,Male,"Boston, MA",Bachelor's,36943,9,Yes,1
198,58,Male,"Boston, MA",Bachelor's,87949,0,Yes,0
199,29,Female,"Boston, MA",High School,10276,6,No,0
200,56,Female,"Los Angeles, CA",Bachelor's,61151,4,Yes,1
201,19,Male,"Boston, MA",Bachelor's,27611,0,No,0
202,20,Female,"Los Angeles, CA",Bachelor's,21944,0,No,0
203,54,Male,"Boston, MA",High School,62887,0,Yes,0
204,34,Male,"Los Angeles, CA",Master's,91442,8,No,1
205,19,Male,"Chicago, IL",Bachelor's,59847,2,Yes,0
206,19,Female,"Chicago, IL",High School,68653,4,Yes,1
207,45,Male,"Chicago, IL",High School,96072,9,Yes,1
208,40,Male,"Chicago, IL",Master's,66622,8,Yes,1
209,54,Female,"Chicago, IL",Bachelor's,37810,5,Yes,1
210,49,Female,"Boston, MA",Bachelor's,87842,8,Yes,1
211,50,Female,"Boston, MA",Master's,20503,7,Yes,1
212,18,Female,"Boston, MA",Master's,94761,7,Yes,1
213,36,Male,"Los Angeles, CA",High School,46976,0,No,0
214,19,Male,"Los Angeles, CA",High School,21590,8,No,0
215,61,Male,"Los Angeles, CA",Master's,20886,5,Yes,1
216,43,Male,"Los Angeles, CA",Bachelor's,22866,8,No,0
217,49,Female,"Chicago, IL",High School,76624,2,No,1
218,23,Male,"Chicago, IL",High School,78899,2,No,0
219,49,Male,"Chicago, IL",Bachelor's,42792,5,No,0
220,21,Female,"New York, NY",High School,19764,8,No,0
221,28,Male,"Boston, MA",Bachelor's,96156,6,No,0
222,34,Male,"Los Angeles, CA",Bachelor's,52727,2,Yes,0
223,55,Male,"Los Angeles, CA",Bachelor's,88471,2,No,0
224,41,Male,"Chicago, IL",Master's,18068,1,No,1
225,22,Male,"Los Angeles, CA",Master's,17295,8,No,0
226,51,Male,"Los Angeles, CA",Master's,51160,2,No,1
227,23,Female,"Boston, MA",Bachelor's,21390,4,Yes,0
228,39,Female,"Chicago, IL",Bachelor's,30131,8,Yes,1
229,28,Male,"Boston, MA",Master's,85969,7,Yes,1
230,33,Male,"New York, NY",High School,25038,1,Yes,0
231,50,Female,"New York, NY",Bachelor's,62327,2,No,1
232,26,Male,"New York, NY",High School,87064,1,Yes,0
233,23,Male,"Chicago, IL",High School,31281,7,Yes,0
234,33,Male,"Los Angeles, CA",Bachelor's,64189,5,Yes,0
235,46,Female,"Chicago, IL",Bachelor's,58511,5,Yes,1
236,20,Male,"Chicago, IL",High School,18605,8,No,0
237,37,Female,"Los Angeles, CA",High School,11381,7,Yes,1
238,53,Male,"Boston, MA",Master's,76634,3,No,1
239,36,Female,"New York, NY",Master's,29810,3,Yes,1
240,43,Female,"Boston, MA",Bachelor's,34322,8,No,1
241,20,Male,"New York, NY",Master's,51869,0,No,1
242,36,Female,"Chicago, IL",Master's,42955,1,Yes,1
243,37,Male,"New York, NY",Master's,71388,1,Yes,1
244,49,Female,"Chicago, IL",Master's,20207,5,Yes,1
245,24,Male,"Boston, MA",High School,97329,3,Yes,0
246,58,Male,"Chicago, IL",Bachelor's,77628,9,No,0
247,50,Female,"Boston, MA",Master's,38220,2,No,1
248,57,Male,"Los Angeles, CA",High School,94050,2,Yes,0
249,56,Male,"Los Angeles, CA",High School,84085,2,Yes,0
250,35,Female,"Los Angeles, CA",High School,32031,5,No,1
251,57,Male,"Chicago, IL",Master's,80721,7,Yes,1
252,18,Male,"Los Angeles, CA",Master's,90807,6,No,1
253,28,Female,"New York, NY",Bachelor's,81312,3,Yes,1
254,45,Female,"Boston, MA",Master's,69766,3,No,1
255,42,Male,"Boston, MA",Master's,22449,9,No,1
256,40,Male,"New York, NY",High School,99833,1,No,0
257,48,Female,"Chicago, IL",Bachelor's,66699,0,No,1
258,47,Female,"Chicago, IL",Master's,91253,8,No,1
259,59,Male,"Boston, MA",Master's,56092,1,Yes,1
260,52,Female,"Los Angeles, CA",High School,73671,7,No,1
261,24,Male,"Chicago, IL",High School,20350,8,Yes,0
262,33,Male,"Chicago, IL",Master's,78487,3,No,1
263,43,Male,"New York, NY",Bachelor's,27622,7,No,0
264,19,Male,"New York, NY",Bachelor's,80263,8,Yes,1
265,18,Male,"Los Angeles, CA",High School,63117,9,Yes,1
266,29,Female,"Chicago, IL",High School,68394,9,Yes,1
267,22,Female,"Chicago, IL",Master's,33782,4,Yes,0
268,54,Female,"New York, NY",High School,38454,6,No,1
269,49,Female,"Chicago, IL",Master's,77904,9,Yes,1
270,26,Male,"Boston, MA",Bachelor's,25592,3,No,0
271,58,Male,"New York, NY",Bachelor's,32173,0,Yes,0
272,52,Male,"Los Angeles, CA",Master's,43204,2,Yes,1
273,36,Male,"New York, NY",High School,45596,4,No,0
274,33,Female,"Chicago, IL",Bachelor's,44324,2,No,1
275,20,Male,"Los Angeles, CA",High School,71202,6,Yes,1
276,37,Male,"New York, NY",Bachelor's,99400,8,No,0
277,41,Female,"Boston, MA",Master's,40750,5,No,1
278,50,Female,"Boston, MA",Master's,86112,9,No,1
279,41,Female,"New York, NY",Master's,26566,0,No,1
280,28,Female,"Boston, MA",Bachelor's,17190,6,No,0
281,25,Male,"Boston, MA",High School,98607,2,No,0
282,53,Male,"Boston, MA",High School,48333,4,No,0
283,55,Female,"Los Angeles, CA",High School,90905,9,No,1
284,57,Male,"Boston, MA",Bachelor's,99571,3,Yes,0
285,37,Male,"Boston, MA",Bachelor's,11589,9,No,0
286,52,Male,"Boston, MA",Bachelor's,35235,4,Yes,0
287,42,Female,"Los Angeles, CA",Bachelor's,10159,4,No,1
288,52,Male,"New York, NY",Bachelor's,22145,5,No,0
289,42,Female,"Chicago, IL",High School,90909,9,No,1
290,46,Male,"Boston, MA",Bachelor's,41921,9,No,0
291,35,Male,"New York, NY",Bachelor's,26237,5,Yes,0
292,63,Male,"Boston, MA",High School,18244,7,Yes,1
293,35,Female,"Los Angeles, CA",Bachelor's,24743,7,No,1
294,19,Male,"New York, NY",High School,56101,8,Yes,1
295,52,Female,"Los Angeles, CA",High School,94227,7,No,1
296,33,Female,"Boston, MA",Master's,66378,1,No,1
297,58,Female,"Boston, MA",Master's,81126,9,Yes,1
298,53,Male,"Los Angeles, CA",Master's,66071,0,Yes,1
299,50,Male,"Chicago, IL",Master's,81121,9,No,1
300,21,Male,"Los Angeles, CA",Bachelor's,84763,1,No,0
301,50,Male,"Boston, MA",Master's,22237,1,Yes,1
302,31,Female,"Los Angeles, CA",High School,25649,2,No,1
303,38,Female,"Chicago, IL",Bachelor's,47713,9,Yes,1
304,37,Female,"Los Angeles, CA",Master's,83463,6,No,1
305,25,Male,"Chicago, IL",High School,55409,1,No,0
306,24,Female,"Chicago, IL",Bachelor's,58766,0,Yes,1
307,20,Male,"Los Angeles, CA",Bachelor's,56154,5,Yes,0
308,34,Female,"Los Angeles, CA",Master's,17016,8,Yes,1
309,50,Male,"New York, NY",Bachelor's,89563,2,No,0
310,29,Male,"Boston, MA",High School,58688,5,No,0
311,39,Female,"Chicago, IL",Bachelor's,99678,2,No,1
312,39,Female,"New York, NY",High School,64238,0,No,1
313,63,Female,"Los Angeles, CA",Bachelor's,68608,4,Yes,1
314,47,Female,"Boston, MA",Master's,99081,9,No,1
315,55,Male,"New York, NY",High School,41897,3,No,0
316,55,Female,"Chicago, IL",Bachelor's,60961,6,No,1
317,62,Female,"New York, NY",Bachelor's,78703,5,Yes,1
318,25,Female,"Chicago, IL",Bachelor's,54757,9,No,1
319,44,Male,"Los Angeles, CA",High School,36917,6,No,0
320,44,Male,"Boston, MA",High School,32736,4,Yes,0
321,51,Female,"Boston, MA",High School,37990,3,No,1
322,38,Male,"Boston, MA",Master's,72551,6,No,1
323,47,Female,"Los Angeles, CA",Master's,68161,6,Yes,1
324,50,Male,"Chicago, IL",High School,89623,5,No,0
325,45,Male,"Los Angeles, CA",Bachelor's,32440,7,No,0
326,64,Male,"Boston, MA",Master's,45205,3,No,1
327,50,Male,"Los Angeles, CA",High School,90811,9,Yes,1
328,22,Female,"Los Angeles, CA",Bachelor's,65103,4,No,1
329,36,Female,"Los Angeles, CA",Master's,80812,3,No,1
330,21,Female,"Chicago, IL",Bachelor's,51627,0,Yes,1
331,52,Male,"New York, NY",Bachelor's,29008,7,Yes,1
332,34,Female,"New York, NY",Bachelor's,81274,0,No,1
333,61,Female,"Los Angeles, CA",Bachelor's,42402,4,No,1
334,45,Female,"New York, NY",Master's,63384,5,No,1
335,47,Male,"New York, NY",Master's,15793,5,No,1
336,46,Male,"Los Angeles, CA",Master's,15571,4,Yes,1
337,63,Male,"Los Angeles, CA",High School,26209,2,No,0
338,23,Female,"Boston, MA",Master's,53148,4,Yes,1
339,52,Female,"New York, NY",Bachelor's,12224,7,Yes,1
340,58,Female,"Chicago, IL",Master's,58695,1,No,1
341,54,Male,"Los Angeles, CA",Bachelor's,42441,5,No,0
342,41,Male,"Boston, MA",High School,49129,8,Yes,1
343,46,Female,"Chicago, IL",Bachelor's,72368,7,Yes,1
344,63,Male,"New York, NY",Bachelor's,54760,7,No,0
345,48,Male,"Boston, MA",Bachelor's,33478,7,Yes,1
346,52,Male,"Los Angeles, CA",High School,81854,6,No,0
347,50,Male,"Chicago, IL",Master's,95716,7,No,1
348,38,Female,"Los Angeles, CA",Master's,22180,5,Yes,1
349,49,Male,"New York, NY",High School,25372,1,Yes,0
350,40,Male,"Chicago, IL",Bachelor's,39796,1,No,0
351,50,Male,"New York, NY",Master's,68272,7,Yes,1
352,20,Male,"New York, NY",High School,99963,0,No,0
353,35,Female,"Boston, MA",Master's,64040,5,No,1
354,42,Female,"Los Angeles, CA",High School,85357,5,No,1
355,59,Male,"Chicago, IL",Bachelor's,81368,3,Yes,0
356,48,Male,"New York, NY",Master's,88356,9,No,1
357,20,Male,"New York, NY",High School,26211,2,No,0
358,57,Male,"Chicago, IL",Master's,15842,2,No,1
359,63,Male,"New York, NY",Master's,73115,0,No,1
360,41,Male,"Boston, MA",Master's,76852,2,No,1
361,49,Female,"Boston, MA",Master's,55968,3,No,1
362,64,Male,"Boston, MA",High School,27508,4,No,0
363,39,Female,"Boston, MA",Bachelor's,32005,2,No,1
364,40,Female,"New York, NY",High School,64575,5,No,1
365,19,Male,"Chicago, IL",High School,90742,4,No,0
366,44,Female,"Chicago, IL",High School,28971,2,No,1
367,59,Female,"Chicago, IL",Bachelor's,35599,5,Yes,1
368,19,Female,"Chicago, IL",Master's,97592,5,No,1
369,43,Female,"Los Angeles, CA",Master's,76914,7,No,1
370,34,Female,"Chicago, IL",Master's,77055,1,No,1
371,57,Female,"Los Angeles, CA",Bachelor's,97697,0,Yes,1
372,50,Male,"Los Angeles, CA",Master's,15355,3,No,1
373,26,Female,"Boston, MA",Bachelor's,64120,6,Yes,1
374,60,Female,"Los Angeles, CA",Master's,84619,9,No,1
375,56,Female,"New York, NY",Master's,48342,2,No,1
376,46,Male,"Los Angeles, CA",High School,95992,2,Yes,0
377,59,Female,"Boston, MA",Bachelor's,88860,4,No,1
378,43,Male,"Los Angeles, CA",High School,12257,4,Yes,0
379,52,Female,"New York, NY",High School,37364,9,Yes,1
380,42,Male,"New York, NY",High School,34972,2,No,0
381,41,Male,"New York, NY",Bachelor's,36654,8,No,0
382,30,Female,"Boston, MA",Bachelor's,90769,3,No,1
383,24,Female,"Boston, MA",Master's,91423,2,No,1
384,53,Male,"Chicago, IL",High School,39320,1,Yes,0
385,62,Female,"Boston, MA",Master's,30808,9,Yes,1
386,37,Male,"New York, NY",High School,62389,8,No,0
387,18,Male,"New York, NY",Bachelor's,44773,3,Yes,0
388,25,Male,"Boston, MA",Bachelor's,61168,2,Yes,0
389,63,Male,"Los Angeles, CA",Bachelor's,37747,6,No,0
390,33,Male,"Boston, MA",High School,86396,7,Yes,1
391,31,Female,"Boston, MA",Bachelor's,93692,1,Yes,1
392,29,Male,"New York, NY",High School,67505,6,No,0
393,40,Male,"Chicago, IL",Master's,95896,4,Yes,1
394,32,Female,"New York, NY",High School,28135,4,No,1
395,45,Male,"Chicago, IL",Master's,57377,2,Yes,1
396,51,Female,"New York, NY",High School,33554,4,No,1
397,19,Female,"Boston, MA",Master's,72491,1,Yes,1
398,49,Female,"New York, NY",Bachelor's,65621,3,Yes,1
399,40,Male,"New York, NY",Master's,68283,5,No,1
400,39,Male,"New York, NY",Bachelor's,95140,0,No,0
401,42,Male,"Boston, MA",Bachelor's,26923,9,No,0
402,39,Female,"Boston, MA",Master's,57591,3,No,1
403,39,Male,"Boston, MA",High School,72261,5,Yes,0
404,59,Female,"Boston, MA",High School,64336,8,Yes,1
405,23,Male,"Chicago, IL",High School,84083,1,Yes,0
406,32,Female,"Chicago, IL",High School,70948,6,No,1
407,60,Male,"Los Angeles, CA",High School,43002,5,Yes,0
408,54,Male,"Boston, MA",Bachelor's,90098,1,Yes,0
409,50,Male,"Chicago, IL",High School,83016,7,No,0
410,25,Female,"New York, NY",Bachelor's,36672,6,No,0
411,61,Female,"Boston, MA",Bachelor's,14213,4,Yes,1
412,61,Male,"Los Angeles, CA",Bachelor's,20293,4,No,0
413,22,Male,"Los Angeles, CA",Master's,65860,6,Yes,1
414,56,Female,"Los Angeles, CA",Master's,72507,8,Yes,1
415,21,Female,"New York, NY",Bachelor's,67134,8,No,1
416,23,Female,"Chicago, IL",Master's,12100,8,Yes,0
417,62,Male,"New York, NY",High School,71997,5,No,0
418,49,Female,"Boston, MA",High School,38172,9,No,1
419,47,Male,"Los Angeles, CA",Bachelor's,30132,5,Yes,0
420,64,Female,"New York, NY",High School,28199,2,Yes,1
421,52,Male,"New York, NY",Bachelor's,46609,0,Yes,0
422,57,Female,"Chicago, IL",Bachelor's,52965,6,No,1
423,33,Female,"Chicago, IL",High School,18016,3,Yes,1
424,30,Female,"Los Angeles, CA",Master's,49779,0,No,1
425,59,Female,"New York, NY",High School,41881,7,No,1
426,47,Female,"New York, NY",High School,92594,5,Yes,1
427,36,Male,"Chicago, IL",Bachelor's,34472,5,No,0
428,34,Female,"New York, NY",Bachelor's,61813,1,Yes,1
429,36,Female,"New York, NY",Bachelor's,46021,0,Yes,1
430,45,Female,"New York, NY",Bachelor's,64131,1,Yes,1
431,43,Male,"Chicago, IL",Master's,34087,3,Yes,1
432,54,Female,"Los Angeles, CA",Master's,22828,1,Yes,1
433,43,Male,"Boston, MA",Master's,71610,0,Yes,1
434,40,Female,"Los Angeles, CA",Bachelor's,11401,6,Yes,1
435,26,Female,"Boston, MA",Bachelor's,95179,7,No,1
436,29,Male,"New York, NY",Bachelor's,25193,5,Yes,0
437,18,Female,"Los Angeles, CA",Master's,54864,3,No,1
438,18,Male,"Boston, MA",Bachelor's,30307,5,No,0
439,64,Male,"Chicago, IL",High School,29611,2,No,0
440,51,Female,"Chicago, IL",High School,53791,7,Yes,1
441,49,Male,"Los Angeles, CA",Bachelor's,21950,9,No,0
442,42,Female,"Los Angeles, CA",High School,86240,1,No,1
443,57,Female,"New York, NY",High School,87403,4,Yes,1
444,62,Male,"Los Angeles, CA",Master's,12745,0,Yes,1
445,18,Male,"New York, NY",Bachelor's,65243,5,No,0
446,33,Male,"New York, NY",Bachelor's,13866,1,Yes,0
447,56,Male,"Chicago, IL",Master's,42245,3,Yes,1
448,22,Female,"Chicago, IL",High School,54724,5,Yes,1
449,39,Female,"Boston, MA",High School,81354,9,Yes,1
450,46,Male,"Chicago, IL",Bachelor's,61374,7,No,0
451,20,Female,"Chicago, IL",High School,40116,7,Yes,0
452,29,Female,"Los Angeles, CA",Master's,91029,5,Yes,1
453,43,Female,"Chicago, IL",Master's,30447,3,Yes,1
454,33,Female,"Boston, MA",Bachelor's,40431,7,No,1
455,54,Male,"Los Angeles, CA",Master's,27908,7,No,1
456,39,Male,"Boston, MA",Master's,39336,9,Yes,1
457,46,Female,"Chicago, IL",Bachelor's,50992,0,Yes,1
