,member_id,age,gender,membership_type,last_attendance,class_type,class_time,class_day,distance_to_gym,weather_forecast,previous_attendance_rate,has_been_reminded,class_capacity,current_enrollment,class_fullness_ratio,label
197,1198,41,Male,Premium,4,HIIT,Afternoon,Friday,3.0,Sunny,83.7,0,10,7,0.7,0
198,1199,58,Male,Family,3,Yoga,Afternoon,Friday,5.3,Stormy,86.5,0,21,11,0.52,0
199,1200,29,Female,Family,5,Strength Training,Morning,Friday,1.1,Rainy,60.3,0,15,8,0.53,0
200,1201,56,Female,Basic,25,Strength Training,Afternoon,Sunday,2.6,Stormy,72.8,1,18,5,0.28,1
201,1202,19,Male,Family,3,Yoga,Morning,Saturday,9.4,Rainy,11.5,1,14,1,0.07,1
202,1203,20,Female,Basic,29,Yoga,Afternoon,Saturday,4.9,Sunny,58.8,1,25,6,0.24,1
203,1204,54,Male,Premium,6,Yoga,Afternoon,Tuesday,4.7,Sunny,66.7,0,27,5,0.19,0
204,1205,34,Male,Basic,6,Yoga,Afternoon,Saturday,0.6,Rainy,20.1,1,26,5,0.19,1
205,1206,19,Male,Family,17,Yoga,Morning,Friday,2.9,Cloudy,88.0,1,27,9,0.33,1
206,1207,19,Female,Premium,2,Strength Training,Afternoon,Friday,8.7,Snowy,19.5,0,10,7,0.7,0
207,1208,45,Male,Basic,0,Strength Training,Morning,Wednesday,2.1,Stormy,31.3,1,28,16,0.57,1
208,1209,40,Male,Basic,23,HIIT,Morning,Saturday,4.4,Stormy,62.1,0,17,24,1.41,0
209,1210,54,Female,Premium,24,HIIT,Afternoon,Monday,0.6,Stormy,63.8,1,12,4,0.33,1
210,1211,49,Female,Premium,3,Zumba,Afternoon,Monday,5.0,Sunny,69.9,1,14,11,0.79,0
211,1212,50,Female,Basic,5,HIIT,Morning,Wednesday,0.7,Stormy,11.2,1,17,16,0.94,0
212,1213,18,Female,Family,8,HIIT,Morning,Wednesday,8.3,Snowy,84.9,1,28,12,0.43,1
213,1214,36,Male,Basic,21,Yoga,Evening,Wednesday,8.3,Snowy,53.3,0,27,18,0.67,0
214,1215,19,Male,Premium,13,Yoga,Morning,Monday,8.0,Rainy,47.1,0,27,11,0.41,0
215,1216,61,Male,Basic,27,HIIT,Evening,Friday,3.2,Sunny,98.1,1,10,15,1.5,0
216,1217,43,Male,Premium,11,Zumba,Evening,Wednesday,8.5,Snowy,74.0,0,24,4,0.17,0
217,1218,49,Female,Premium,27,Yoga,Evening,Tuesday,5.7,Cloudy,11.8,1,27,8,0.3,1
218,1219,23,Male,Family,24,HIIT,Afternoon,Sunday,4.1,Sunny,75.7,1,16,0,0.0,1
219,1220,49,Male,Premium,19,HIIT,Afternoon,Wednesday,6.4,Sunny,9.5,1,25,2,0.08,1
220,1221,21,Female,Premium,23,Strength Training,Morning,Sunday,0.6,Snowy,2.7,1,25,16,0.64,0
221,1222,28,Male,Family,24,Zumba,Evening,Thursday,1.9,Cloudy,40.4,1,24,1,0.04,1
222,1223,34,Male,Premium,3,Strength Training,Afternoon,Wednesday,7.6,Rainy,99.4,1,15,0,0.0,1
223,1224,55,Male,Family,20,Zumba,Afternoon,Monday,2.8,Snowy,17.5,0,18,13,0.72,0
224,1225,41,Male,Family,29,Yoga,Afternoon,Saturday,6.2,Cloudy,67.3,0,16,5,0.31,0
225,1226,22,Male,Premium,23,Zumba,Afternoon,Wednesday,4.2,Sunny,17.3,1,23,8,0.35,1
226,1227,51,Male,Premium,11,HIIT,Afternoon,Saturday,8.6,Cloudy,72.5,0,20,22,1.1,0
227,1228,23,Female,Basic,9,HIIT,Evening,Thursday,9.5,Sunny,50.5,1,25,10,0.4,1
228,1229,39,Female,Family,29,Zumba,Evening,Tuesday,8.9,Snowy,68.0,0,15,11,0.73,0
229,1230,28,Male,Basic,21,Zumba,Evening,Saturday,3.1,Snowy,20.3,0,25,4,0.16,0
230,1231,33,Male,Premium,27,Zumba,Evening,Sunday,2.3,Stormy,74.6,0,29,3,0.1,0
231,1232,50,Female,Basic,6,Strength Training,Morning,Friday,5.0,Stormy,99.6,1,25,6,0.24,1
232,1233,26,Male,Family,2,Zumba,Evening,Wednesday,0.6,Stormy,66.6,0,21,0,0.0,0
233,1234,23,Male,Basic,22,Yoga,Afternoon,Thursday,0.7,Snowy,49.3,1,26,1,0.04,1
234,1235,33,Male,Family,27,Strength Training,Evening,Thursday,5.8,Rainy,92.3,1,14,5,0.36,1
235,1236,46,Female,Premium,13,Strength Training,Morning,Saturday,5.4,Snowy,1.6,1,22,5,0.23,1
236,1237,20,Male,Premium,23,Zumba,Afternoon,Tuesday,9.9,Cloudy,73.0,0,17,17,1.0,0
237,1238,37,Female,Family,9,Yoga,Evening,Monday,2.4,Snowy,88.9,0,14,13,0.93,0
238,1239,53,Male,Premium,15,Strength Training,Evening,Wednesday,3.0,Snowy,6.2,0,21,7,0.33,0
239,1240,36,Female,Premium,15,HIIT,Evening,Thursday,1.6,Sunny,45.0,1,18,0,0.0,1
240,1241,43,Female,Premium,21,Strength Training,Afternoon,Tuesday,9.2,Sunny,20.5,1,12,7,0.58,1
241,1242,20,Male,Premium,9,Zumba,Afternoon,Friday,7.9,Sunny,56.7,0,12,7,0.58,0
242,1243,36,Female,Family,24,Yoga,Morning,Thursday,8.3,Snowy,65.0,1,10,0,0.0,1
243,1244,37,Male,Basic,12,Zumba,Afternoon,Tuesday,9.1,Rainy,30.3,0,27,1,0.04,0
244,1245,49,Female,Basic,5,HIIT,Afternoon,Monday,5.5,Cloudy,46.0,0,21,3,0.14,0
245,1246,24,Male,Premium,11,HIIT,Evening,Monday,4.8,Cloudy,27.9,0,18,24,1.33,0
246,1247,58,Male,Basic,8,HIIT,Afternoon,Thursday,3.6,Rainy,36.9,0,18,2,0.11,0
247,1248,50,Female,Basic,12,Zumba,Evening,Sunday,6.1,Rainy,16.0,1,27,1,0.04,1
