,age,gender,prior_convictions,sentence_length_months,education_level,employment_status,income_level,marital_status,geographic_area,crime_type,probation_violations,substance_abuse,mental_health_issues,parole_status,time_served,recidivism_score,community_support,family_stability,label
81,33,F,3,22,4,2,79,0,15,3,0,1,1,1,4,3,3,2,1
82,62,F,0,15,1,1,34,2,7,2,2,0,0,0,4,4,4,1,0
83,35,M,2,21,3,1,31,2,18,2,0,0,0,1,30,1,4,3,0
84,64,F,2,15,1,1,75,2,16,4,0,1,0,0,34,9,3,4,0
85,41,F,0,22,3,2,54,1,14,1,0,1,1,1,27,8,5,5,0
86,43,M,0,28,1,1,78,3,18,2,1,1,1,1,31,4,3,2,0
87,42,M,3,14,4,1,98,2,7,4,1,0,0,0,32,2,2,5,0
88,62,M,0,27,4,0,81,1,17,4,1,1,0,1,9,9,1,1,1
89,58,F,3,28,3,0,10,2,18,1,2,0,0,1,8,4,1,1,0
90,46,F,3,26,1,1,93,2,12,3,2,1,1,1,14,9,5,4,1
91,32,M,0,2,3,0,53,0,8,4,0,0,1,0,33,10,3,2,0
92,62,M,1,25,4,0,96,0,2,4,1,1,1,0,23,3,4,2,0
93,18,M,1,3,1,1,84,0,7,4,2,0,0,0,21,7,4,4,0
94,42,F,3,8,1,1,48,1,4,3,1,0,0,0,12,7,4,1,0
95,24,F,0,33,3,1,63,3,18,3,2,1,1,0,2,10,2,1,1
96,26,F,1,35,2,1,97,3,6,1,2,1,0,1,13,4,2,1,0
97,41,F,0,6,3,2,84,1,9,2,0,0,0,0,4,2,4,5,0
98,18,M,0,23,4,2,38,2,9,3,0,1,0,0,20,9,5,3,0
99,61,M,0,25,4,1,63,1,14,2,2,0,0,0,14,4,2,1,0
100,25,M,4,19,4,0,99,2,8,2,0,1,1,1,30,8,2,3,1
101,41,M,0,5,4,1,25,1,19,3,2,1,0,1,29,2,1,3,0
102,28,F,4,11,4,1,29,1,3,4,2,0,1,0,8,8,1,2,1
103,34,F,3,12,2,0,55,1,18,1,1,1,1,1,12,10,5,4,1
104,25,M,1,10,1,2,76,3,5,2,0,1,0,1,26,5,2,5,0
105,52,M,1,8,3,1,74,0,14,4,0,0,1,1,2,7,2,3,0
106,52,F,1,24,3,1,67,1,4,3,0,0,1,1,14,7,3,5,0
107,50,M,1,28,4,2,62,3,7,2,1,1,0,0,6,9,5,2,0
108,22,F,1,21,3,2,10,0,12,2,1,0,1,0,31,3,5,1,0
109,59,M,1,8,4,0,90,0,2,2,1,1,1,1,17,10,3,3,0
110,56,M,1,9,2,2,75,1,11,4,0,1,1,1,25,4,3,4,0
111,58,M,3,15,2,2,38,2,14,4,0,0,1,1,32,10,1,2,1
112,45,M,0,18,1,2,93,2,16,4,0,0,1,1,12,4,5,5,0
113,24,M,2,20,2,0,79,2,6,2,1,0,1,0,13,10,5,1,0
114,26,M,4,6,2,2,17,1,4,2,1,0,1,1,19,5,3,5,0
115,25,M,2,12,1,2,38,2,15,1,2,0,1,0,25,6,4,4,1
116,29,F,2,2,3,0,60,3,1,1,1,0,0,1,31,3,4,3,0
117,51,F,0,7,4,2,42,3,7,4,2,1,0,0,25,4,1,4,0
118,50,F,0,16,4,2,12,3,12,4,0,1,0,1,16,3,4,5,0
119,40,F,0,3,3,0,69,3,10,3,1,0,1,0,23,2,4,5,0
120,41,F,1,3,1,1,44,0,5,4,0,1,1,0,14,10,4,4,0
121,54,M,3,27,3,0,78,3,12,1,0,1,1,0,6,9,2,4,1
122,52,M,1,33,2,2,85,2,18,1,0,1,0,1,25,1,1,4,0
123,61,F,3,28,1,2,93,1,10,1,0,1,0,0,23,2,3,1,1
124,57,M,3,1,1,2,29,2,6,2,1,0,0,1,12,8,4,5,0
125,39,F,2,8,1,0,82,3,12,2,0,1,1,0,13,7,2,2,0
126,44,F,2,32,4,2,48,0,7,4,2,1,0,0,34,1,4,1,0
127,52,M,3,4,3,2,13,3,18,3,1,0,0,1,6,5,2,1,0
128,18,M,3,30,1,0,28,1,2,3,0,0,1,0,8,10,1,1,1
129,52,M,1,6,1,1,54,2,10,3,1,0,0,1,8,6,4,2,0
130,54,F,1,19,1,1,52,1,15,2,2,0,1,1,33,5,2,4,1
131,64,M,2,32,3,2,22,1,12,1,0,1,0,1,34,4,5,5,0
132,31,F,0,9,4,0,22,1,17,1,2,0,1,1,15,1,5,3,1
133,20,F,3,12,2,2,69,2,4,2,0,1,1,0,35,7,2,3,1
134,18,F,1,11,4,0,66,3,7,3,2,1,1,0,22,9,4,5,1
135,22,M,2,16,1,0,95,1,9,3,0,0,1,1,23,6,4,2,0
136,43,M,1,1,4,1,61,2,19,4,1,0,1,0,22,3,1,3,0
137,31,F,3,21,4,1,62,0,7,4,0,0,0,0,5,10,1,1,1
138,56,M,3,30,2,0,95,2,2,3,1,0,1,1,31,4,3,3,0
139,44,M,4,13,3,2,52,0,6,2,0,0,1,0,13,10,1,5,1
140,26,M,0,34,3,1,92,2,18,3,0,0,1,1,28,5,4,1,0
141,32,F,4,4,4,2,81,3,6,4,2,1,1,0,20,1,3,3,1
142,32,F,2,28,4,1,81,1,13,3,2,1,0,0,33,5,1,5,0
143,43,M,1,31,3,1,51,3,19,2,2,1,1,1,16,1,2,2,1
144,59,F,2,27,3,2,99,2,2,1,0,1,0,0,29,9,5,5,0
145,30,M,3,5,2,1,35,1,12,2,0,0,1,0,23,7,1,2,0
146,49,M,4,25,1,1,32,0,15,2,0,0,1,1,24,3,1,1,0
147,56,M,4,3,4,2,52,2,14,4,1,1,0,0,34,9,2,5,1
148,49,M,4,33,3,1,86,1,6,2,1,1,0,1,7,2,4,4,1
149,21,F,2,4,4,1,37,0,18,2,0,1,0,0,4,7,2,4,0
150,47,F,3,25,4,1,18,0,5,4,2,0,1,1,34,9,1,4,1
151,54,F,1,20,3,2,29,3,18,4,2,0,0,1,22,6,4,4,0
152,40,M,1,34,2,0,65,2,3,1,2,0,1,1,5,10,3,4,1
153,56,M,2,26,4,2,92,0,3,3,0,1,0,1,23,5,1,2,0
154,62,M,4,5,2,0,48,1,10,2,2,1,0,1,15,7,2,5,1
155,32,F,0,35,3,1,60,0,19,4,0,0,1,0,31,6,3,1,0
156,60,M,2,28,1,0,21,0,3,1,1,0,0,0,9,5,5,4,0
157,46,F,2,29,1,2,88,3,12,3,2,1,0,1,25,2,3,4,0
158,53,F,3,9,4,2,64,3,16,4,1,1,1,0,25,8,2,1,1
159,30,F,1,6,3,1,87,1,17,3,2,0,1,1,21,7,3,1,1
160,49,F,2,19,2,0,20,3,7,3,0,1,1,0,9,6,2,4,0
161,24,F,2,11,4,1,35,0,13,2,0,0,0,0,22,5,1,2,0
162,39,F,4,2,3,1,51,0,2,2,0,0,0,1,23,5,4,1,0
163,45,M,4,9,3,2,36,3,4,4,0,1,0,1,4,9,5,5,1
164,19,M,0,21,2,0,20,0,10,3,2,1,0,0,29,1,4,5,0
165,59,F,3,24,4,0,47,0,7,4,1,1,0,0,15,9,4,2,1
166,62,F,0,34,3,0,52,1,17,4,0,0,1,1,1,6,4,3,0
167,23,M,4,22,3,0,28,3,6,3,2,1,0,0,30,4,2,2,1
168,45,F,1,3,3,1,73,0,19,4,1,1,1,0,29,10,2,4,1
169,45,F,4,12,2,1,15,3,5,3,0,0,0,1,20,7,5,3,0
170,61,M,3,28,4,2,55,1,10,3,1,0,1,0,33,9,2,4,1
171,61,F,4,30,4,1,51,3,9,3,0,1,0,1,22,5,2,5,1
172,37,F,3,26,4,1,74,0,13,3,1,0,0,1,13,5,2,1,0
173,47,F,3,21,4,2,81,3,19,1,1,0,1,1,7,8,2,4,1
174,28,M,3,28,1,2,68,0,6,3,0,0,0,0,8,7,1,5,0
175,45,M,3,26,1,2,61,0,4,2,2,1,1,0,28,8,5,2,1
176,42,M,3,33,4,1,56,0,3,2,1,1,0,1,9,10,2,4,1
177,56,F,1,21,2,1,16,1,3,2,0,0,0,1,25,2,5,5,0
178,50,F,0,35,1,2,20,3,4,3,1,0,1,0,16,9,3,1,0
179,18,M,2,34,3,2,70,1,5,2,1,0,0,0,10,3,1,4,0
180,44,F,0,18,1,2,77,3,8,1,2,1,1,0,11,6,2,5,1
181,30,F,3,11,3,1,34,1,16,4,1,0,0,1,31,6,1,4,0
182,58,F,1,23,4,1,21,2,3,3,1,0,0,1,12,2,1,1,0
183,20,F,4,22,1,0,35,0,12,2,0,1,0,0,31,7,3,4,1
184,56,F,1,17,2,1,21,0,8,1,0,0,0,0,14,9,5,4,0
185,23,M,3,5,1,1,52,1,13,4,2,1,0,0,32,10,1,5,1
186,25,F,1,11,1,1,60,2,4,1,1,1,0,1,17,1,4,3,0
187,44,M,1,30,1,2,46,0,14,2,1,1,0,1,35,8,3,4,0
188,26,F,3,15,4,1,55,3,14,1,1,0,1,0,1,2,4,3,0
189,54,M,1,27,2,2,62,1,13,4,2,0,0,0,29,1,3,2,0
190,50,F,2,35,1,0,97,0,6,2,1,1,0,1,4,8,4,4,0
191,59,M,2,33,2,0,89,0,17,4,0,0,0,1,23,2,4,3,0
192,61,F,1,20,4,2,22,1,4,1,2,1,1,0,28,6,1,2,1
193,41,M,4,16,3,2,98,1,8,3,0,0,1,0,16,6,1,5,0
194,32,F,3,34,1,2,63,3,17,3,0,1,0,0,12,5,3,4,1
195,49,M,2,2,2,1,66,3,3,3,2,1,0,1,21,8,5,5,0
196,49,F,4,35,2,0,13,0,17,3,0,0,0,0,17,3,1,2,0
197,41,M,1,28,4,2,84,0,9,4,1,0,1,1,13,10,1,5,1
198,58,M,4,6,1,1,58,1,2,3,2,0,0,1,32,4,2,5,0
199,29,F,0,9,3,0,16,0,13,4,0,0,1,0,15,7,1,1,0
200,56,F,2,20,2,1,20,0,2,2,1,1,0,0,12,7,5,2,0
201,19,M,1,1,1,0,63,1,11,3,1,1,1,1,15,8,2,5,1
202,20,F,3,8,3,1,96,0,15,4,0,0,1,0,34,2,4,3,0
203,54,M,1,23,2,0,54,0,11,3,1,0,0,1,6,2,4,2,0
204,34,M,3,3,2,0,32,2,3,3,2,1,0,0,17,4,2,1,1
205,19,M,1,4,3,1,37,3,3,3,0,0,0,0,20,10,2,4,1
206,19,F,4,25,3,2,66,1,12,4,1,0,0,0,9,9,2,5,1
207,45,M,4,15,4,0,35,2,5,1,1,0,0,0,5,10,3,3,0
208,40,M,4,21,1,2,34,3,7,3,0,0,0,1,23,9,5,1,0
209,54,F,0,35,1,1,63,3,7,3,0,1,0,1,33,4,5,2,0
210,49,F,3,14,4,2,38,3,13,2,0,1,1,1,14,9,4,5,1
211,50,F,4,12,2,2,92,2,9,1,0,0,0,0,17,3,4,1,0
212,18,F,0,17,3,2,45,2,13,4,2,1,0,1,19,5,4,1,0
213,36,M,3,9,3,2,23,3,12,2,0,0,1,1,33,10,1,3,1
214,19,M,1,35,3,2,87,0,13,3,2,0,0,1,1,9,4,4,0
215,61,M,0,13,2,0,44,0,10,2,2,0,0,0,13,6,2,4,0
216,43,M,2,15,3,0,39,2,1,2,0,1,0,1,27,3,4,4,0
217,49,F,0,18,3,0,26,2,8,3,2,1,0,0,6,10,2,2,1
218,23,M,0,33,4,1,76,2,16,1,0,1,1,0,6,9,3,1,0
219,49,M,3,6,2,2,89,3,13,1,0,1,1,1,33,6,1,2,1
220,21,F,1,27,1,0,39,0,3,2,1,1,0,0,30,4,1,1,0
221,28,M,2,23,4,1,54,2,3,3,0,0,0,1,35,4,5,3,0
222,34,M,4,27,4,0,88,2,5,4,1,0,1,1,23,8,3,3,0
223,55,M,4,34,1,0,98,1,11,2,2,1,0,1,10,7,2,2,1
224,41,M,0,14,4,2,60,3,7,4,1,1,1,1,19,1,3,2,0
225,22,M,3,8,2,1,56,1,10,2,2,1,1,1,28,6,1,3,1
226,51,M,3,35,3,2,62,0,10,2,0,0,1,0,23,8,2,5,1
227,23,F,4,19,2,2,73,1,2,3,2,1,0,1,4,3,3,4,1
228,39,F,2,30,1,0,47,1,3,3,2,0,0,0,20,9,1,4,1
229,28,M,1,14,1,2,73,1,8,4,0,0,0,1,19,10,2,3,1
230,33,M,2,20,4,1,96,3,11,4,2,1,1,1,27,2,2,4,1
231,50,F,1,25,2,2,98,0,13,1,0,0,0,1,34,6,1,5,0
232,26,M,4,24,2,2,16,1,7,3,1,0,0,0,4,1,2,5,0
233,23,M,1,14,1,2,31,3,13,2,0,1,1,0,7,2,1,1,0
234,33,M,3,26,2,0,90,0,2,2,0,0,0,0,7,5,4,2,0
235,46,F,0,23,1,1,91,2,6,1,2,1,0,0,26,1,4,4,0
236,20,M,0,22,2,0,50,1,9,3,1,0,0,1,26,8,2,5,1
237,37,F,4,19,2,0,83,0,2,2,0,1,1,1,19,1,2,2,1
238,53,M,3,3,2,0,19,1,18,1,1,1,0,0,9,9,1,2,1
239,36,F,2,19,1,0,66,2,16,1,1,0,1,0,20,10,2,1,1
240,43,F,3,9,4,0,16,0,12,2,2,1,1,0,16,3,5,2,1
241,20,M,0,28,2,1,59,3,7,2,0,0,1,1,17,2,4,2,0
242,36,F,0,20,1,2,61,0,7,4,2,0,0,0,22,1,2,3,0
243,37,M,3,7,1,0,42,3,17,3,0,1,0,0,13,9,2,1,1
244,49,F,3,14,2,0,10,0,13,4,1,0,0,1,12,4,3,1,0
245,24,M,0,9,2,1,62,3,11,1,0,1,1,0,10,1,2,4,0
246,58,M,2,19,4,1,69,2,6,2,0,0,1,1,1,1,5,2,0
247,50,F,4,14,1,2,43,2,14,4,1,0,0,1,32,7,4,4,0
248,57,M,4,17,1,1,13,2,6,1,1,1,1,1,30,2,3,5,1
249,56,M,3,30,3,2,26,0,6,3,0,0,0,1,8,7,1,2,0
250,35,F,4,9,1,0,13,2,2,2,2,0,0,1,21,7,1,5,0
251,57,M,0,33,4,0,52,1,15,4,0,0,0,0,22,10,4,3,0
252,18,M,0,25,3,2,99,2,17,3,1,0,0,0,18,9,1,2,1
253,28,F,3,14,3,1,13,3,8,4,2,0,0,1,2,7,5,4,0
254,45,F,3,11,3,2,10,3,5,1,1,0,0,1,9,1,2,4,0
255,42,M,3,35,2,1,80,3,17,3,1,0,0,0,3,8,4,2,0
256,40,M,2,14,2,0,59,0,1,4,2,0,1,0,26,8,3,4,1
257,48,F,4,30,1,1,82,1,18,3,1,1,0,1,21,4,2,2,1
258,47,F,3,4,3,2,70,2,15,1,1,0,1,0,30,8,1,1,1
259,59,M,1,4,4,2,44,1,5,3,1,0,1,0,28,4,1,4,0
260,52,F,1,28,2,0,17,1,7,4,1,1,0,1,26,8,3,2,0
261,24,M,0,8,4,1,33,3,18,1,1,1,1,0,34,5,5,2,0
262,33,M,4,2,4,1,92,3,6,2,1,1,1,0,8,4,3,4,1
263,43,M,3,22,2,1,45,3,5,4,1,0,1,0,10,6,4,1,0
264,19,M,1,16,2,0,59,0,19,4,1,1,0,0,14,2,3,4,0
265,18,M,4,29,2,1,52,1,10,1,1,1,0,1,15,2,1,2,1
266,29,F,0,30,2,2,36,1,15,1,0,0,0,0,17,2,5,1,0
267,22,F,2,12,3,1,41,0,10,2,0,0,0,1,18,9,5,5,0
268,54,F,4,35,3,0,87,0,16,4,1,1,0,0,32,10,3,3,1
269,49,F,4,11,3,1,27,0,12,1,0,1,1,1,23,3,4,4,1
270,26,M,2,21,3,1,37,1,18,2,2,0,1,1,23,10,1,2,1
271,58,M,4,21,1,2,38,1,1,2,0,0,0,0,35,4,2,1,0
272,52,M,0,5,3,1,25,3,16,1,1,0,1,1,15,10,5,1,0
273,36,M,0,20,2,2,56,3,6,4,1,0,1,1,24,8,3,5,0
274,33,F,2,3,4,2,68,1,3,3,0,0,1,1,28,4,4,4,0
275,20,M,3,33,3,0,40,3,2,3,1,1,1,1,16,10,4,1,1
276,37,M,1,9,1,2,13,0,2,2,2,0,0,1,16,10,1,5,1
277,41,F,3,9,2,2,46,2,13,3,2,0,0,0,6,7,5,2,0
278,50,F,4,4,4,0,26,3,9,3,1,0,0,1,2,5,1,5,0
279,41,F,1,35,4,2,48,1,16,1,2,0,1,1,13,9,2,4,1
280,28,F,2,17,3,0,57,3,5,2,2,0,1,0,9,4,2,5,1
281,25,M,2,34,4,1,55,3,7,4,0,1,0,0,34,3,2,1,0
282,53,M,1,24,3,0,99,3,13,2,2,0,0,1,17,2,4,1,0
283,55,F,0,32,3,2,57,2,13,1,0,1,1,0,27,1,5,3,0
284,57,M,1,1,2,0,48,0,7,3,1,0,0,0,29,6,1,5,0
285,37,M,4,8,2,2,13,1,10,4,0,1,0,0,22,10,1,2,1
286,52,M,0,23,1,1,39,2,15,2,1,1,1,0,24,2,2,4,0
287,42,F,2,12,2,0,39,1,6,3,1,0,1,0,7,8,5,3,0
288,52,M,1,12,2,1,31,1,5,2,1,0,0,0,34,6,5,5,0
289,42,F,3,15,3,2,84,1,2,4,1,0,1,1,12,5,3,2,0
290,46,M,3,19,2,2,75,2,15,2,1,0,0,1,23,2,5,3,0
291,35,M,4,26,3,1,21,0,16,2,0,0,1,0,15,7,5,1,0
292,63,M,3,29,3,0,45,1,19,2,1,1,1,0,33,2,1,4,1
293,35,F,1,22,2,0,27,0,9,3,2,0,0,1,13,5,5,5,0
294,19,M,1,21,1,2,99,0,19,4,2,0,1,0,23,2,5,2,1
295,52,F,3,20,1,1,62,3,7,4,1,1,0,1,32,10,1,1,1
296,33,F,1,29,4,1,80,2,4,3,2,0,1,0,35,2,5,3,1
297,58,F,4,4,4,0,10,2,3,3,0,1,0,1,1,7,1,4,1
298,53,M,0,7,2,0,67,3,11,3,0,0,1,1,5,9,3,3,0
299,50,M,4,28,1,0,99,3,1,1,1,1,1,0,13,5,4,3,1
300,21,M,4,28,3,1,96,0,6,2,1,0,0,0,5,7,1,2,0
301,50,M,1,4,4,0,99,1,11,2,1,1,1,0,32,4,1,1,0
302,31,F,0,22,3,0,15,2,1,4,2,1,0,0,21,2,5,5,0
303,38,F,1,12,4,2,79,1,7,2,2,0,1,1,24,3,1,2,1
304,37,F,2,3,2,0,53,1,6,1,0,0,1,0,18,2,2,4,0
305,25,M,1,22,1,0,81,3,14,3,2,0,0,1,21,5,2,3,0
306,24,F,1,2,4,1,33,1,2,4,0,1,1,0,10,6,3,4,0
307,20,M,1,24,1,1,95,0,4,4,2,1,1,1,24,7,1,2,1
308,34,F,0,34,3,2,28,3,11,2,0,1,0,0,21,3,5,2,0
309,50,M,1,27,2,0,27,1,15,4,1,0,1,0,25,4,5,5,0
310,29,M,0,1,1,2,39,3,18,3,2,0,0,1,23,8,4,3,0
311,39,F,3,8,2,1,51,0,1,4,0,1,0,0,22,4,3,2,1
312,39,F,2,23,1,2,42,0,3,3,2,0,0,0,4,7,5,4,0
313,63,F,0,6,3,1,83,1,3,1,1,1,1,0,34,6,4,5,0
314,47,F,3,22,3,2,21,3,7,1,0,0,1,0,6,7,5,4,0
315,55,M,0,25,2,2,36,1,1,3,2,0,0,0,28,1,4,3,0
316,55,F,0,18,3,0,48,1,11,2,2,1,1,1,31,3,2,5,1
317,62,F,2,17,4,2,18,3,6,4,1,0,0,0,35,6,2,5,0
318,25,F,4,12,1,0,30,1,3,2,1,0,1,1,23,3,5,5,0
319,44,M,4,6,3,0,85,0,19,4,0,0,0,0,6,7,3,1,0
320,44,M,0,26,4,0,38,3,2,1,2,0,0,0,16,9,1,5,1
321,51,F,1,27,2,0,42,3,18,1,2,0,1,1,2,3,3,4,1
322,38,M,3,8,4,2,71,3,12,1,1,1,0,1,24,1,3,4,1
323,47,F,1,19,2,1,24,3,10,4,1,0,0,1,17,10,1,3,1
324,50,M,1,1,2,1,11,1,5,1,0,1,1,1,1,6,2,2,0
325,45,M,0,29,1,1,61,1,9,1,2,0,0,1,6,1,2,2,0
326,64,M,0,35,1,2,53,0,2,1,2,0,0,0,5,1,1,1,0
327,50,M,0,14,4,0,63,2,2,1,0,1,1,1,29,8,4,5,0
328,22,F,0,35,1,1,27,2,6,2,0,1,0,1,12,9,3,1,0
329,36,F,4,20,1,2,12,0,10,1,1,0,0,0,3,2,5,3,0
330,21,F,0,13,1,0,16,2,18,1,1,0,0,0,1,9,2,3,1
331,52,M,4,8,4,1,52,0,12,2,0,1,0,1,27,5,5,2,1
332,34,F,4,20,3,0,91,1,4,2,0,1,0,1,24,8,1,3,1
333,61,F,0,33,1,1,47,3,17,4,2,1,0,1,19,7,5,5,0
334,45,F,2,26,1,1,46,3,15,3,0,1,0,0,8,7,5,4,0
335,47,M,3,21,4,1,67,1,6,1,0,0,0,1,2,4,3,3,0
336,46,M,1,9,3,0,42,3,16,1,2,0,1,0,30,2,1,1,1
337,63,M,4,24,1,2,68,3,17,1,0,0,0,0,30,5,5,5,0
338,23,F,3,17,2,0,20,2,3,4,1,0,0,0,32,3,2,3,0
339,52,F,2,24,4,1,77,1,10,1,1,0,1,0,1,9,1,3,1
340,58,F,1,21,1,0,91,2,5,3,2,1,0,1,13,6,2,5,0
341,54,M,1,13,1,2,77,2,14,2,0,1,0,0,11,1,4,3,0
342,41,M,4,11,2,0,97,3,13,4,1,1,0,0,10,3,5,4,1
343,46,F,0,19,2,2,31,3,6,2,1,0,0,1,26,4,1,2,0
344,63,M,2,11,4,2,75,1,12,1,1,1,0,0,20,9,2,5,1
