,age,gender,parent_education_level,household_income,parent_occupation,student_grade_level,study_hours_week,extracurricular_activities,school_type,family_size,internet_access_at_home,parent_involvement,student_gpa,label
59,20,Other,None,79817,Healthcare,8th,20,Yes,Charter,5,No,3,2.2,0
60,23,Other,Bachelor's,16075,Teacher,7th,7,Yes,Private,6,Yes,1,3.9,0
61,25,Female,Master's,67111,Healthcare,8th,37,No,Private,10,Yes,2,2.2,1
62,13,Female,None,79892,Service,12th,7,No,Private,4,No,1,0.8,0
63,21,Female,Bachelor's,36370,Teacher,6th,49,Yes,Public,2,Yes,5,2.3,1
64,20,Male,Bachelor's,40386,Unemployed,9th,2,Yes,Public,10,Yes,4,0.8,1
65,21,Male,PhD,56592,Teacher,12th,43,Yes,Private,9,No,4,2.1,1
66,16,Male,Bachelor's,3010,Teacher,9th,2,Yes,Private,10,No,1,0.3,0
67,13,Female,Master's,48311,Engineer,11th,21,No,Charter,7,No,3,2.4,0
68,15,Female,Master's,31717,Engineer,12th,5,No,Charter,4,Yes,2,2.1,0
69,23,Male,None,49124,Teacher,10th,1,Yes,Charter,3,Yes,4,3.0,0
70,23,Male,None,17964,Healthcare,7th,22,Yes,Charter,10,No,5,2.5,0
71,18,Female,Bachelor's,133579,Engineer,10th,43,No,Charter,3,No,5,2.2,1
72,23,Other,High School,89038,Unemployed,6th,1,Yes,Public,9,Yes,3,2.8,1
73,24,Male,PhD,101865,Service,9th,37,No,Charter,5,Yes,4,0.6,1
74,19,Female,High School,118375,Engineer,12th,16,Yes,Charter,3,No,1,2.4,0
75,14,Female,Bachelor's,74766,Teacher,6th,34,No,Private,5,Yes,5,0.7,1
76,25,Other,Bachelor's,13038,Healthcare,6th,33,Yes,Public,2,No,3,3.7,1
77,12,Female,High School,80565,Service,7th,22,Yes,Charter,4,No,4,0.3,0
78,15,Female,PhD,88026,Engineer,6th,29,No,Charter,10,Yes,4,1.7,1
79,13,Male,High School,111815,Healthcare,12th,7,No,Charter,2,Yes,4,2.8,1
80,19,Male,None,64748,Healthcare,12th,21,Yes,Private,2,Yes,4,1.8,1
81,15,Other,Master's,19137,Healthcare,9th,43,Yes,Private,8,No,4,0.4,1
82,13,Other,None,42566,Teacher,12th,35,No,Private,1,No,5,2.2,0
83,25,Female,Master's,54462,Unemployed,10th,4,No,Charter,7,No,3,2.6,0
84,17,Male,Bachelor's,96887,Healthcare,9th,12,Yes,Private,5,No,4,2.8,1
85,17,Other,PhD,85616,Service,7th,28,Yes,Charter,8,No,2,1.5,0
86,21,Other,High School,53414,Engineer,9th,30,No,Public,1,No,2,2.3,0
87,15,Other,PhD,147977,Service,8th,46,No,Charter,7,Yes,3,1.8,1
88,17,Female,High School,90866,Teacher,10th,15,No,Private,5,No,1,2.7,0
89,24,Male,None,35584,Teacher,8th,41,No,Public,4,No,1,2.3,0
90,13,Other,None,15267,Service,8th,29,No,Charter,7,No,1,2.1,0
91,21,Male,High School,22928,Unemployed,11th,15,Yes,Public,10,No,2,1.0,0
92,23,Other,PhD,36893,Teacher,12th,11,Yes,Public,2,Yes,1,0.0,0
93,13,Other,High School,24102,Teacher,7th,16,No,Public,1,No,5,0.7,0
94,21,Male,Bachelor's,27985,Service,6th,15,Yes,Charter,1,Yes,4,0.5,1
95,25,Male,None,42764,Teacher,8th,11,Yes,Private,1,Yes,2,1.8,0
96,15,Male,Bachelor's,26006,Unemployed,9th,7,No,Charter,5,No,3,2.4,0
97,25,Female,None,134514,Unemployed,6th,19,Yes,Private,10,No,3,0.9,0
98,19,Other,None,12035,Unemployed,9th,2,Yes,Charter,7,Yes,4,3.8,0
99,25,Female,Master's,78676,Engineer,9th,15,Yes,Charter,2,Yes,2,0.0,1
100,18,Male,Bachelor's,61559,Unemployed,6th,29,No,Charter,10,No,1,3.1,1
101,23,Other,Bachelor's,147356,Unemployed,6th,44,No,Private,8,Yes,1,2.5,1
102,20,Female,Master's,16805,Engineer,12th,22,Yes,Charter,4,No,5,1.5,1
103,25,Other,PhD,59678,Healthcare,9th,27,Yes,Public,3,No,5,0.2,1
104,19,Female,Bachelor's,145420,Teacher,7th,50,Yes,Charter,10,Yes,1,2.5,1
105,16,Male,High School,129826,Unemployed,12th,39,Yes,Public,8,No,3,1.5,0
106,24,Female,Master's,122560,Teacher,10th,4,Yes,Private,2,No,3,3.7,0
107,13,Other,Bachelor's,38685,Service,11th,19,Yes,Private,3,No,5,2.2,1
108,16,Other,PhD,25633,Teacher,10th,39,No,Charter,3,Yes,4,3.8,1
109,19,Other,Bachelor's,100296,Engineer,7th,43,Yes,Charter,10,Yes,1,0.9,1
110,21,Other,None,139406,Teacher,12th,0,Yes,Charter,1,Yes,5,2.9,1
111,20,Male,High School,83514,Teacher,11th,29,No,Public,6,No,5,2.5,0
112,23,Female,Master's,85741,Teacher,12th,20,Yes,Private,2,Yes,1,3.0,1
113,23,Male,None,41996,Healthcare,6th,19,Yes,Public,1,Yes,1,0.9,0
114,23,Male,PhD,115423,Healthcare,11th,5,Yes,Public,2,Yes,3,2.7,1
115,24,Male,None,28056,Service,9th,21,Yes,Charter,6,No,4,2.0,0
116,20,Other,None,48551,Engineer,10th,17,No,Charter,4,No,4,3.0,0
117,24,Other,PhD,63815,Teacher,11th,7,Yes,Public,6,Yes,1,1.3,1
118,24,Other,None,76141,Teacher,9th,38,No,Public,9,Yes,2,3.6,1
119,12,Female,Master's,36361,Teacher,12th,31,Yes,Charter,10,Yes,5,0.3,1
120,20,Other,Bachelor's,17225,Teacher,7th,32,Yes,Charter,10,No,5,3.2,1
121,18,Female,None,91593,Healthcare,11th,15,No,Public,8,Yes,1,3.4,1
122,20,Other,Master's,43294,Service,9th,11,Yes,Charter,1,No,2,3.3,0
123,19,Other,Bachelor's,87185,Unemployed,12th,37,No,Charter,8,No,3,2.1,0
124,12,Male,Bachelor's,23154,Engineer,12th,33,No,Public,9,No,1,1.8,0
125,23,Male,None,72171,Teacher,12th,13,No,Public,6,Yes,1,4.0,1
126,19,Male,Master's,79888,Service,7th,35,Yes,Private,10,Yes,5,0.9,1
127,19,Female,None,7773,Unemployed,6th,32,Yes,Public,5,No,1,2.2,0
128,22,Female,PhD,50490,Service,7th,22,Yes,Charter,6,No,1,2.7,0
129,14,Other,Bachelor's,20162,Healthcare,7th,49,Yes,Public,6,No,1,2.8,0
130,12,Female,None,9506,Unemployed,10th,44,No,Public,9,No,5,0.8,0
131,19,Other,Bachelor's,148494,Service,12th,1,Yes,Public,4,Yes,3,2.6,1
132,14,Female,Master's,48353,Healthcare,9th,40,Yes,Private,2,Yes,3,3.3,1
133,14,Female,High School,121481,Service,11th,20,No,Private,9,No,1,0.2,0
134,12,Female,None,38196,Service,10th,1,No,Charter,2,No,5,3.6,0
135,22,Male,None,102225,Unemployed,12th,26,Yes,Private,10,No,3,0.1,0
136,16,Female,Bachelor's,114034,Healthcare,8th,8,No,Public,9,Yes,3,1.4,1
137,21,Male,Master's,89345,Teacher,7th,0,No,Private,2,No,3,0.1,0
138,18,Male,PhD,70736,Engineer,8th,10,No,Public,8,Yes,5,0.3,1
139,21,Female,Master's,61776,Unemployed,12th,2,No,Private,9,No,5,3.6,1
140,20,Other,None,52330,Healthcare,10th,22,No,Private,10,Yes,1,1.4,1
141,23,Other,PhD,139429,Service,9th,25,Yes,Private,9,Yes,4,1.7,1
142,18,Other,Master's,124592,Healthcare,10th,3,Yes,Public,10,No,3,0.9,0
143,20,Female,High School,144754,Engineer,9th,17,Yes,Private,9,Yes,4,2.4,1
144,19,Other,Bachelor's,18644,Engineer,9th,5,Yes,Public,2,Yes,5,2.4,1
145,23,Male,Master's,109630,Teacher,12th,34,Yes,Public,4,Yes,5,1.5,1
146,13,Other,Master's,140751,Teacher,6th,21,Yes,Charter,7,Yes,5,1.3,1
147,12,Female,High School,27184,Engineer,12th,42,Yes,Private,2,No,4,3.5,1
148,18,Other,None,9974,Unemployed,7th,14,No,Charter,1,No,5,1.5,0
149,18,Male,Bachelor's,111168,Unemployed,10th,21,Yes,Charter,3,No,1,2.0,0
150,25,Female,Master's,86170,Service,9th,36,Yes,Public,4,No,5,1.1,1
151,19,Other,PhD,126274,Teacher,12th,41,Yes,Private,8,No,2,3.1,1
152,16,Female,Master's,20965,Service,12th,11,No,Public,6,Yes,4,1.6,1
153,14,Female,Bachelor's,119290,Teacher,10th,46,Yes,Public,2,Yes,2,2.1,1
154,23,Female,Master's,30244,Engineer,10th,48,Yes,Private,9,Yes,5,1.0,1
155,19,Other,High School,24548,Unemployed,9th,41,No,Public,2,Yes,1,4.0,1
156,17,Female,Master's,24639,Unemployed,11th,37,Yes,Private,5,No,3,1.2,0
157,22,Other,Master's,122186,Engineer,8th,17,Yes,Private,4,No,5,3.1,1
158,14,Male,PhD,99779,Service,7th,44,No,Public,7,Yes,1,1.7,1
159,12,Other,High School,78459,Service,7th,34,Yes,Public,8,No,4,0.8,0
160,14,Male,High School,53824,Healthcare,11th,29,No,Charter,5,Yes,2,3.2,1
161,16,Other,Master's,131580,Teacher,6th,23,Yes,Public,10,Yes,2,1.3,1
162,25,Female,PhD,58866,Service,11th,41,Yes,Private,5,No,2,3.5,1
163,14,Other,Master's,122489,Engineer,6th,29,Yes,Charter,2,No,4,3.7,1
164,12,Female,Master's,65870,Service,6th,13,No,Private,8,No,1,3.4,0
165,16,Male,Bachelor's,56541,Unemployed,11th,5,No,Charter,2,No,4,0.1,1
166,21,Other,Bachelor's,69401,Teacher,7th,2,No,Public,10,No,2,3.1,0
167,18,Female,PhD,45206,Healthcare,8th,15,Yes,Public,6,No,5,1.6,1
168,25,Male,None,112141,Teacher,7th,6,Yes,Public,8,No,3,3.5,0
169,18,Male,Bachelor's,75408,Unemployed,12th,13,No,Private,6,Yes,4,2.6,1
170,22,Other,None,34831,Unemployed,7th,8,No,Charter,4,No,4,3.3,0
171,20,Male,High School,134936,Unemployed,7th,14,Yes,Private,4,Yes,1,2.0,1
172,21,Female,Bachelor's,57583,Unemployed,11th,20,Yes,Charter,6,Yes,1,2.1,1
173,21,Male,Bachelor's,81532,Engineer,11th,34,Yes,Public,4,No,4,0.6,1
174,23,Male,PhD,135970,Healthcare,12th,1,Yes,Private,8,Yes,2,3.1,1
175,24,Female,None,93635,Unemployed,12th,26,No,Public,9,No,3,1.7,0
176,14,Male,Bachelor's,17534,Unemployed,11th,1,Yes,Private,1,Yes,1,2.0,0
177,18,Male,Bachelor's,140974,Service,7th,34,Yes,Public,4,Yes,2,3.1,1
178,12,Male,PhD,94156,Healthcare,8th,17,Yes,Private,4,Yes,5,2.4,1
179,15,Male,PhD,50235,Teacher,6th,13,Yes,Private,2,No,1,0.8,0
180,24,Female,None,20890,Healthcare,10th,19,Yes,Charter,6,Yes,2,2.4,0
181,15,Male,High School,119103,Healthcare,6th,17,Yes,Public,3,Yes,2,1.6,1
182,25,Female,High School,93010,Healthcare,12th,9,Yes,Charter,7,Yes,3,1.9,1
183,16,Male,Master's,80019,Unemployed,12th,24,No,Charter,5,No,3,0.1,0
184,18,Male,Bachelor's,134083,Unemployed,6th,1,No,Public,4,Yes,5,0.8,1
185,18,Male,None,118289,Engineer,10th,24,No,Private,5,No,2,1.1,0
186,24,Male,Bachelor's,22751,Teacher,7th,32,Yes,Charter,8,Yes,2,2.9,0
187,22,Female,None,46758,Service,8th,35,No,Public,3,Yes,3,0.0,0
188,24,Female,None,37273,Healthcare,8th,30,Yes,Private,7,Yes,1,1.6,0
189,15,Female,None,111591,Teacher,6th,13,Yes,Charter,6,No,1,3.7,0
190,24,Other,Bachelor's,5029,Teacher,10th,0,Yes,Charter,1,Yes,4,0.4,1
191,18,Male,PhD,85483,Engineer,12th,45,Yes,Charter,7,Yes,3,2.1,1
192,22,Male,Bachelor's,114368,Service,9th,15,No,Private,7,Yes,4,3.1,1
193,14,Female,None,131514,Healthcare,7th,45,Yes,Charter,1,Yes,3,3.8,1
194,17,Other,Master's,51312,Service,6th,2,Yes,Private,9,No,5,3.0,1
195,23,Male,High School,123188,Engineer,8th,34,No,Charter,6,Yes,2,2.9,1
196,13,Female,None,16594,Unemployed,12th,40,No,Public,2,Yes,5,3.3,1
197,21,Male,Master's,126967,Teacher,11th,5,No,Charter,5,Yes,3,1.8,1
198,24,Male,PhD,19123,Healthcare,11th,24,Yes,Public,4,Yes,2,3.2,1
199,25,Female,None,59593,Unemployed,10th,12,No,Public,7,No,1,0.0,0
200,20,Female,Master's,119594,Engineer,10th,33,Yes,Public,8,Yes,1,3.7,1
201,16,Male,None,22487,Service,6th,7,Yes,Private,1,Yes,4,1.8,0
202,17,Male,Bachelor's,34387,Teacher,9th,20,No,Public,5,No,3,2.2,0
203,23,Female,Master's,108337,Healthcare,8th,33,No,Charter,3,Yes,3,1.0,1
204,23,Male,Bachelor's,108005,Unemployed,6th,3,No,Private,1,Yes,1,3.0,1
205,23,Male,Bachelor's,96172,Unemployed,9th,24,Yes,Public,3,Yes,5,0.3,1
206,23,Female,Master's,104092,Teacher,12th,14,Yes,Private,6,No,2,3.5,0
207,15,Male,High School,81408,Service,10th,3,Yes,Private,7,Yes,5,3.3,1
208,25,Male,Master's,37769,Engineer,11th,44,Yes,Private,8,No,5,0.9,1
209,25,Other,High School,51854,Service,7th,11,Yes,Charter,4,No,1,3.2,0
210,22,Female,None,27239,Service,12th,31,Yes,Public,3,No,1,3.1,1
211,21,Other,None,136267,Service,11th,31,No,Private,5,No,1,2.5,0
212,18,Other,Master's,87508,Teacher,8th,27,Yes,Private,9,No,4,1.5,1
213,23,Other,None,60127,Teacher,8th,12,No,Private,6,No,5,1.1,0
214,20,Male,PhD,69300,Engineer,11th,30,No,Public,9,No,3,0.9,0
215,18,Male,Bachelor's,142092,Service,12th,13,No,Private,6,Yes,2,1.3,1
216,25,Other,Bachelor's,23002,Teacher,11th,19,No,Private,2,Yes,4,3.6,1
217,12,Other,High School,87934,Engineer,9th,17,No,Charter,5,No,3,0.3,0
218,12,Other,None,75883,Engineer,6th,28,Yes,Public,9,No,5,3.3,1
219,20,Male,High School,91718,Service,10th,5,Yes,Charter,8,No,1,1.4,0
220,22,Other,Bachelor's,2716,Healthcare,9th,31,Yes,Public,7,No,5,2.1,1
221,25,Other,Bachelor's,130818,Service,7th,28,Yes,Public,1,No,2,3.2,1
222,20,Female,None,139817,Healthcare,11th,42,No,Public,4,No,4,3.5,1
223,15,Female,PhD,84769,Engineer,7th,1,No,Charter,7,Yes,4,1.4,1
224,24,Male,PhD,104497,Teacher,7th,22,No,Charter,7,Yes,2,1.8,1
225,20,Female,None,138374,Unemployed,9th,18,Yes,Charter,6,No,3,1.7,0
226,14,Female,None,106085,Engineer,10th,30,Yes,Charter,8,No,3,0.1,0
227,18,Female,High School,22880,Teacher,12th,50,Yes,Private,6,No,4,1.2,0
228,17,Male,None,86443,Engineer,8th,4,Yes,Private,10,Yes,4,1.8,1
229,19,Female,PhD,91007,Service,6th,18,No,Private,3,No,1,1.6,0
230,22,Male,None,63619,Healthcare,8th,33,No,Public,4,Yes,3,2.9,1
231,20,Other,High School,110466,Engineer,10th,9,Yes,Private,3,Yes,2,1.5,1
232,25,Female,High School,140155,Teacher,8th,24,Yes,Public,1,Yes,3,2.0,1
233,16,Male,High School,138835,Service,11th,1,No,Charter,10,No,1,1.7,0
234,12,Female,High School,67625,Unemployed,11th,10,No,Public,5,No,4,3.0,0
235,14,Other,Master's,16985,Service,9th,49,No,Public,1,Yes,4,3.5,1
236,21,Male,None,147726,Healthcare,7th,30,No,Private,1,Yes,1,2.1,1
237,23,Male,Bachelor's,125834,Service,10th,14,Yes,Charter,2,Yes,2,3.2,1
238,19,Male,None,18699,Unemployed,10th,8,No,Charter,4,Yes,4,1.2,0
239,22,Other,Master's,138126,Teacher,8th,22,No,Private,6,No,5,2.2,1
240,17,Other,High School,130484,Engineer,9th,18,No,Charter,8,Yes,4,1.4,1
241,19,Other,Master's,77825,Healthcare,8th,8,No,Charter,3,No,5,1.7,1
242,20,Male,PhD,88691,Unemployed,8th,34,Yes,Charter,1,Yes,1,2.9,1
243,15,Other,PhD,59850,Healthcare,10th,20,Yes,Private,3,No,1,3.5,1
244,12,Female,None,8214,Service,8th,8,Yes,Charter,3,Yes,4,0.5,0
245,25,Other,None,50279,Healthcare,7th,27,Yes,Public,5,No,3,2.5,0
246,12,Male,Bachelor's,120428,Unemployed,8th,45,Yes,Public,4,No,5,2.3,1
247,21,Female,Bachelor's,694,Engineer,7th,50,Yes,Charter,4,No,2,0.5,0
248,15,Other,PhD,50024,Engineer,10th,6,No,Private,9,Yes,4,0.8,1
249,23,Female,High School,59725,Healthcare,9th,15,No,Private,7,No,2,1.2,0
250,25,Female,Master's,80609,Teacher,11th,15,No,Private,4,Yes,4,0.7,1
251,18,Male,Bachelor's,137978,Healthcare,7th,32,No,Charter,3,No,3,1.0,0
252,13,Female,Bachelor's,51951,Service,9th,3,Yes,Charter,6,No,3,1.1,0
253,14,Female,High School,52042,Engineer,9th,3,No,Public,3,Yes,3,1.3,1
254,12,Male,High School,110625,Engineer,7th,38,Yes,Private,6,No,3,3.0,1
255,16,Male,None,67832,Engineer,10th,39,No,Public,9,No,1,2.3,0
256,12,Male,Master's,33690,Teacher,6th,16,No,Public,6,Yes,1,3.9,0
257,19,Female,High School,67865,Teacher,9th,36,No,Private,4,No,5,1.7,0
258,12,Female,Bachelor's,21128,Unemployed,9th,38,Yes,Charter,5,No,2,3.0,1
259,22,Female,Bachelor's,26458,Healthcare,10th,28,No,Charter,6,No,4,3.5,1
260,12,Male,PhD,74755,Healthcare,10th,35,Yes,Public,3,No,4,2.7,1
261,13,Other,High School,62838,Service,8th,37,Yes,Public,8,Yes,1,1.6,1
262,13,Female,None,137226,Engineer,10th,38,No,Public,4,No,4,3.0,1
263,23,Other,Master's,54359,Teacher,9th,49,Yes,Public,8,No,1,0.8,0
264,17,Male,None,87088,Service,7th,36,Yes,Private,10,No,5,1.3,0
265,18,Female,Bachelor's,94839,Service,6th,34,No,Public,10,No,2,2.2,0
266,16,Other,None,1964,Teacher,12th,6,No,Public,3,No,5,2.3,0
267,12,Female,Bachelor's,99530,Healthcare,8th,26,No,Charter,10,No,3,0.1,0
268,12,Female,Bachelor's,26705,Engineer,12th,27,No,Charter,7,No,3,3.8,1
269,14,Female,Bachelor's,144160,Healthcare,7th,21,No,Charter,9,No,3,2.8,0
270,25,Other,Bachelor's,22299,Service,6th,13,No,Private,4,Yes,5,2.0,1
271,13,Male,Bachelor's,62193,Engineer,6th,6,Yes,Private,8,Yes,4,3.7,1
272,16,Female,PhD,12802,Unemployed,6th,36,No,Charter,3,Yes,2,1.8,0
273,23,Male,None,149531,Service,11th,21,No,Charter,7,Yes,3,3.9,1
274,21,Male,PhD,75329,Healthcare,7th,4,Yes,Public,3,No,3,2.0,0
275,17,Other,PhD,89307,Healthcare,8th,1,No,Public,7,No,3,0.5,0
276,18,Other,High School,10061,Healthcare,8th,26,Yes,Private,10,Yes,2,3.1,1
277,15,Male,High School,112494,Teacher,6th,20,No,Private,10,Yes,3,2.7,1
278,18,Female,High School,31485,Service,7th,37,No,Public,6,Yes,2,3.1,1
279,22,Other,Master's,134708,Engineer,11th,14,Yes,Charter,2,No,3,3.8,0
280,19,Female,High School,30770,Healthcare,6th,20,No,Public,3,No,5,3.1,1
281,22,Female,None,28603,Healthcare,10th,9,Yes,Private,6,Yes,5,2.4,0
282,12,Female,PhD,5482,Teacher,12th,22,No,Private,4,Yes,2,3.4,1
283,17,Male,None,70810,Engineer,8th,38,No,Public,6,Yes,5,2.7,1
284,19,Female,High School,84726,Service,12th,4,Yes,Public,1,Yes,2,1.6,1
285,16,Male,Master's,9856,Unemployed,9th,0,No,Public,10,Yes,5,3.5,1
286,15,Male,Master's,116329,Teacher,6th,12,No,Private,1,No,5,0.9,1
287,13,Female,PhD,67993,Service,10th,20,Yes,Charter,3,Yes,2,2.9,1
288,17,Female,None,78658,Unemployed,8th,25,No,Public,8,No,4,3.5,1
289,17,Female,Bachelor's,66114,Healthcare,12th,49,Yes,Private,8,Yes,5,2.9,1
290,22,Female,None,60114,Healthcare,11th,44,No,Private,4,Yes,3,2.8,1
291,12,Male,High School,83946,Engineer,7th,20,Yes,Private,6,No,4,3.0,1
292,20,Female,Bachelor's,23286,Unemployed,8th,17,No,Public,8,Yes,2,1.9,0
293,23,Female,Master's,27289,Healthcare,12th,36,Yes,Public,7,No,4,3.5,1
294,22,Male,PhD,129267,Healthcare,7th,44,Yes,Charter,7,No,1,0.8,0
295,17,Other,PhD,141917,Engineer,12th,31,No,Private,4,Yes,1,0.5,1
296,24,Other,Master's,55996,Service,7th,35,No,Public,9,Yes,5,1.1,1
297,14,Male,High School,40611,Healthcare,11th,16,Yes,Private,10,No,5,2.1,0
298,15,Other,Master's,96599,Teacher,11th,34,No,Private,6,No,3,2.0,0
299,23,Male,High School,61310,Teacher,6th,48,Yes,Charter,3,Yes,4,3.3,1
300,22,Female,Bachelor's,3807,Service,6th,10,No,Public,5,No,1,1.6,0
301,15,Female,Master's,23422,Unemployed,8th,20,No,Public,5,Yes,5,1.9,1
302,14,Other,High School,107395,Engineer,11th,25,Yes,Private,5,No,4,0.1,0
303,21,Female,Bachelor's,98838,Teacher,10th,3,Yes,Private,8,Yes,5,1.6,1
304,14,Other,Master's,4064,Teacher,12th,33,No,Charter,9,No,5,2.6,1
305,14,Other,PhD,33295,Service,12th,47,No,Charter,9,No,1,0.1,0
306,15,Female,Master's,34661,Unemployed,12th,17,No,Charter,6,Yes,1,1.1,0
307,18,Female,None,100783,Unemployed,8th,39,No,Charter,6,No,5,0.8,0
308,15,Other,Master's,2956,Service,12th,34,No,Charter,9,No,2,0.2,0
309,20,Female,None,15616,Teacher,9th,40,Yes,Charter,4,No,5,1.9,0
310,12,Male,Bachelor's,119987,Engineer,7th,28,No,Private,6,No,5,0.7,1
311,19,Female,Master's,26781,Teacher,12th,28,No,Charter,4,No,3,3.0,1
312,18,Female,Bachelor's,97911,Unemployed,7th,37,Yes,Private,1,No,3,3.4,1
313,13,Male,Bachelor's,35727,Teacher,6th,41,Yes,Private,7,No,3,2.2,0
314,19,Female,High School,14916,Engineer,12th,20,Yes,Public,10,Yes,2,3.9,1
315,12,Female,Bachelor's,36475,Healthcare,10th,41,No,Private,6,No,2,1.8,0
316,22,Other,Bachelor's,108340,Teacher,11th,12,Yes,Private,9,No,5,2.1,1
317,23,Female,Master's,128354,Service,11th,48,Yes,Charter,7,Yes,3,4.0,1
318,20,Female,Master's,124532,Healthcare,6th,40,Yes,Private,7,No,2,0.9,0
