,Firm_ID,Annual_Revenue (Million),Expenses (Million),Number_of_Employees,Industry_Code,Years_In_Business,Credit_Score,Audit_Status,Transaction_Volume (Million),Regulatory_Compliance (0/1),Previous_Fraud_Incident (0/1),label
93,94,103,53.32,512,5,7,533,1,67.0,1,0,1
94,95,270,232.13,137,3,16,764,1,149.48,1,0,0
95,96,240,187.81,255,1,24,522,1,121.38,1,0,1
96,97,195,104.67,702,5,22,563,1,171.83,0,0,1
97,98,267,238.46,660,5,21,506,1,383.86,1,1,1
98,99,93,85.04,690,4,22,665,0,47.72,0,1,1
99,100,211,111.3,691,4,21,575,1,168.1,1,0,1
100,101,251,156.77,461,4,8,679,0,211.53,1,0,0
101,102,239,206.21,834,1,17,608,1,467.31,0,0,1
102,103,277,231.77,684,1,16,567,1,530.14,0,0,1
103,104,63,36.73,448,3,27,363,1,102.08,0,0,1
104,105,144,85.57,484,4,23,649,1,80.52,1,0,1
105,106,97,64.67,189,5,10,793,1,22.24,1,1,1
106,107,64,45.95,552,2,10,822,0,44.94,0,0,1
107,108,249,193.78,679,3,27,397,1,151.12,1,0,1
108,109,255,169.83,619,1,2,370,1,270.62,0,0,1
109,110,264,186.95,106,3,30,663,0,416.51,1,1,1
110,111,298,249.24,538,3,9,575,0,515.78,0,0,1
111,112,239,123.45,470,3,17,349,1,407.55,1,0,1
112,113,89,54.61,283,3,11,657,1,69.72,1,0,0
113,114,262,215.1,799,2,10,784,1,368.31,1,1,1
114,115,257,232.03,349,4,22,383,1,178.46,1,0,1
115,116,286,208.85,832,5,25,595,0,61.7,1,1,1
116,117,131,96.87,292,3,17,535,1,187.72,1,0,1
117,118,160,87.72,626,3,4,355,1,18.99,1,0,1
118,119,102,71.54,687,3,16,659,1,89.5,1,0,0
119,120,73,54.0,864,4,20,409,1,52.98,1,0,1
120,121,203,123.65,583,1,15,491,1,287.74,0,0,1
121,122,266,165.23,403,1,25,392,1,413.86,1,1,1
122,123,237,158.74,666,2,27,359,1,160.63,0,0,1
123,124,173,88.06,196,1,21,338,0,284.08,1,0,1
124,125,286,184.45,782,3,5,839,1,188.31,1,0,0
125,126,90,53.56,488,3,6,348,1,85.32,1,0,1
126,127,206,133.36,309,3,17,719,1,305.16,0,0,0
127,128,64,35.45,729,2,1,312,0,90.66,0,0,1
128,129,94,84.67,331,3,25,335,1,185.74,1,0,1
129,130,114,87.45,560,1,19,400,0,60.17,1,0,1
130,131,138,111.17,609,4,4,385,1,187.46,0,1,1
131,132,120,102.62,247,4,17,815,1,151.01,1,0,0
132,133,58,42.01,131,5,9,522,1,106.64,1,1,1
133,134,137,73.86,583,1,24,637,0,54.4,1,0,1
134,135,178,132.02,317,3,2,465,1,272.06,0,0,1
135,136,285,217.76,196,4,8,682,1,336.22,1,0,0
136,137,185,154.56,650,1,15,675,1,115.05,0,0,0
137,138,265,183.98,65,4,7,770,1,265.38,1,1,1
138,139,112,62.43,773,3,27,330,1,82.23,0,0,1
139,140,188,118.01,770,4,6,674,1,225.73,0,0,0
140,141,292,193.71,382,5,1,310,0,522.42,0,1,1
141,142,130,102.79,705,5,15,601,0,153.62,0,0,1
142,143,185,140.02,102,4,23,395,1,240.55,1,0,1
143,144,212,139.97,677,1,26,489,1,230.15,0,0,1
144,145,212,200.11,382,1,7,752,1,41.81,0,1,1
145,146,82,63.35,99,1,29,491,0,44.48,1,0,1
146,147,172,104.36,454,4,30,785,0,177.99,0,0,1
147,148,54,29.47,737,1,25,565,1,37.23,0,0,1
148,149,283,160.97,810,3,17,723,0,126.03,1,1,1
149,150,280,170.99,590,5,2,427,1,296.2,1,0,1
150,151,299,171.12,857,3,27,537,0,213.29,1,0,1
151,152,90,52.56,671,1,9,654,1,53.14,1,0,0
152,153,77,48.38,546,3,29,411,1,75.58,1,1,1
153,154,184,106.36,457,1,9,745,0,65.0,0,1,1
154,155,250,225.89,568,4,13,642,1,465.68,1,1,1
155,156,121,64.87,189,3,6,444,0,211.58,1,0,1
156,157,61,44.9,178,4,6,364,1,88.11,1,0,1
157,158,211,144.47,805,4,20,546,1,63.68,1,0,1
158,159,82,77.25,259,2,20,789,1,129.08,0,1,1
159,160,97,53.39,741,1,21,738,1,158.61,1,0,0
160,161,296,200.99,591,5,3,405,1,461.39,1,0,1
161,162,200,187.25,96,1,17,480,0,63.31,1,0,1
162,163,111,98.73,841,5,17,483,0,146.9,0,0,1
163,164,265,229.94,410,1,12,525,1,446.58,0,0,1
164,165,86,52.98,87,4,16,388,1,102.94,0,0,1
165,166,148,85.38,288,3,15,829,1,196.57,1,0,0
166,167,221,177.0,371,3,13,670,1,214.57,0,0,0
167,168,153,140.49,867,2,23,698,1,169.0,0,0,1
168,169,263,197.39,159,5,1,405,1,43.48,1,0,1
169,170,268,202.94,756,5,17,570,1,352.16,0,0,1
170,171,84,52.58,201,5,3,802,1,21.4,1,0,0
171,172,242,204.8,799,4,26,824,1,224.22,0,0,0
172,173,276,161.23,643,5,15,331,0,181.07,1,0,1
173,174,150,96.85,238,3,4,692,0,170.45,1,0,0
174,175,224,154.88,832,4,4,339,0,79.18,1,0,1
175,176,255,185.75,383,1,18,517,0,360.6,1,0,1
176,177,180,109.64,500,5,17,381,1,289.89,0,0,1
177,178,50,27.58,827,5,19,500,1,20.52,0,1,1
178,179,54,41.84,145,1,11,746,1,16.1,0,0,0
179,180,267,168.18,293,5,20,727,1,100.52,1,0,0
180,181,296,225.42,691,1,3,337,1,522.9,1,0,1
181,182,191,108.77,841,4,8,510,0,210.78,1,0,1
182,183,152,108.91,471,3,14,743,0,150.14,1,0,0
183,184,76,56.21,577,1,26,626,0,23.01,0,0,1
184,185,186,97.34,482,2,1,526,1,248.15,1,0,1
185,186,256,166.78,874,1,14,347,0,447.8,1,0,1
186,187,64,35.87,506,5,2,317,0,107.11,0,1,1
187,188,139,73.46,316,4,29,738,1,179.24,1,0,0
188,189,91,86.04,332,4,23,486,1,22.12,0,0,1
189,190,173,111.6,340,1,4,644,0,54.24,1,0,1
190,191,254,219.57,237,3,24,523,1,49.2,1,0,1
191,192,228,140.13,647,2,27,787,1,134.34,0,1,1
192,193,112,90.35,475,4,29,528,1,40.07,1,0,1
193,194,145,122.1,699,5,19,689,1,86.14,0,1,1
194,195,280,215.05,662,5,6,487,0,232.85,1,0,1
195,196,290,206.54,84,3,25,569,0,548.58,1,0,1
196,197,101,69.22,41,4,1,609,1,127.23,0,0,1
197,198,145,95.26,686,1,17,431,1,244.54,1,0,1
198,199,181,166.21,429,5,8,850,1,262.39,1,0,1
199,200,271,236.79,677,3,19,371,1,85.03,0,0,1
200,201,278,259.72,544,4,21,486,1,416.51,0,0,1
201,202,200,111.19,685,4,1,785,1,124.54,1,0,0
202,203,280,232.09,571,4,5,490,1,368.01,1,1,1
203,204,286,263.76,266,4,27,721,1,213.88,0,0,1
204,205,192,111.66,308,4,16,419,0,383.15,0,0,1
205,206,220,116.58,377,5,6,519,1,132.16,0,0,1
206,207,78,65.01,656,3,8,352,0,49.17,1,0,1
207,208,85,64.47,133,4,13,750,0,158.8,0,0,1
208,209,62,54.49,659,2,16,711,1,9.1,0,1,1
209,210,209,117.65,546,2,30,536,0,297.56,1,1,1
210,211,120,102.94,277,3,3,705,0,177.37,1,0,0
211,212,236,139.41,393,1,19,721,0,398.63,0,1,1
212,213,292,167.5,350,1,12,546,1,569.82,1,0,1
213,214,135,77.48,662,1,16,371,1,263.74,1,0,1
214,215,77,66.73,315,2,27,484,1,17.25,0,0,1
215,216,115,91.92,178,1,11,305,0,191.07,0,0,1
216,217,219,161.05,113,5,10,505,1,290.83,1,0,1
217,218,94,62.18,435,4,25,843,1,125.02,0,0,0
218,219,111,99.32,485,2,20,686,1,38.17,1,0,0
219,220,234,158.32,772,3,4,375,1,312.47,1,0,1
220,221,294,255.04,829,3,12,476,0,578.21,0,0,1
221,222,183,127.66,190,4,23,648,1,335.34,0,1,1
222,223,77,51.56,813,2,2,554,1,71.94,1,0,1
223,224,77,54.53,489,1,24,607,1,13.54,1,0,1
224,225,157,99.79,579,1,22,644,1,123.77,1,0,1
225,226,93,77.79,529,5,19,426,1,155.32,1,0,1
226,227,133,96.59,767,5,25,586,1,190.57,0,0,1
227,228,79,47.76,538,1,5,786,1,76.85,1,0,0
228,229,239,216.25,683,3,8,682,1,48.92,1,0,1
229,230,124,83.42,833,3,7,705,1,112.98,1,0,0
230,231,177,131.79,510,5,14,687,0,175.43,0,0,1
231,232,299,271.47,692,4,24,824,1,557.41,0,0,1
232,233,296,231.15,143,1,23,575,1,390.15,1,0,1
233,234,141,77.92,778,5,3,799,1,97.59,1,0,0
234,235,266,245.5,607,5,18,636,0,292.1,0,1,1
235,236,280,219.09,390,1,16,780,1,63.14,0,0,0
236,237,239,155.52,370,1,23,572,1,465.54,1,1,1
237,238,274,154.17,799,3,19,357,1,214.85,1,0,1
238,239,178,152.6,790,4,19,627,1,179.41,0,1,1
239,240,170,132.44,478,4,18,408,1,131.76,0,0,1
240,241,76,56.24,872,1,20,578,0,106.15,0,0,1
241,242,239,215.64,864,2,16,627,1,324.62,1,1,1
242,243,170,145.33,209,5,8,614,0,248.05,1,0,1
243,244,165,93.76,731,5,28,773,0,100.56,1,0,0
244,245,254,162.63,436,1,1,410,1,177.74,1,0,1
245,246,282,172.53,695,2,17,528,1,95.31,0,0,1
246,247,52,43.41,225,3,12,796,1,69.96,1,1,1
247,248,152,78.29,495,1,30,455,1,26.69,1,0,1
248,249,247,186.84,340,1,21,772,1,305.19,0,0,0
249,250,249,209.93,291,5,11,571,1,436.35,0,0,1
250,251,204,182.49,448,1,5,301,0,365.69,1,0,1
251,252,186,121.63,435,1,27,810,1,177.29,1,0,0
252,253,111,96.52,172,1,12,585,1,107.97,0,0,1
253,254,214,117.65,371,5,17,312,1,52.7,1,0,1
254,255,274,241.37,345,3,6,797,0,376.6,1,0,0
255,256,100,55.74,130,3,1,537,1,166.04,0,1,1
256,257,283,192.09,273,1,5,393,0,159.85,0,0,1
257,258,221,189.79,519,5,25,637,0,199.0,0,0,1
258,259,201,114.06,41,3,28,470,1,340.45,1,0,1
259,260,256,154.41,268,3,14,766,1,452.23,0,0,0
260,261,108,89.1,590,3,5,442,1,60.7,0,0,1
261,262,167,137.61,71,5,22,500,1,191.4,1,1,1
262,263,209,164.8,707,5,24,479,1,97.34,1,0,1
263,264,145,117.78,623,1,27,663,1,42.57,0,1,1
264,265,265,197.22,458,4,1,778,1,485.25,1,0,0
265,266,282,172.95,832,3,30,770,0,467.83,1,0,0
266,267,229,150.12,187,4,18,683,1,353.59,1,0,0
267,268,162,94.24,245,5,16,716,1,31.21,1,0,0
268,269,111,100.88,699,5,9,607,1,189.04,0,0,1
269,270,290,221.13,491,5,19,666,1,270.36,1,1,1
270,271,235,159.89,163,4,22,300,1,176.38,1,0,1
271,272,101,71.5,96,5,5,343,1,114.97,1,1,1
272,273,61,56.5,877,1,27,397,1,16.69,1,0,1
273,274,88,50.07,36,5,2,564,0,135.31,1,0,1
274,275,179,136.72,555,2,30,439,1,215.99,0,0,1
275,276,180,130.98,102,4,15,780,1,81.81,1,0,0
276,277,162,125.58,428,2,7,536,1,74.14,1,1,1
277,278,150,76.22,434,5,4,371,0,67.51,1,0,1
278,279,162,144.58,704,1,1,489,1,33.75,0,0,1
279,280,233,214.23,607,3,13,567,1,283.52,1,0,1
280,281,130,98.06,888,5,20,620,1,220.57,1,0,1
281,282,236,191.98,159,1,22,406,1,31.45,0,0,1
282,283,162,148.25,495,4,7,531,1,31.28,1,0,1
283,284,51,41.73,235,2,15,341,1,60.6,1,0,1
284,285,179,101.79,817,2,23,438,1,296.61,1,0,1
285,286,269,204.26,797,2,14,572,1,193.9,1,0,1
286,287,103,79.62,295,4,23,780,0,78.72,1,0,0
287,288,136,93.96,566,1,19,715,1,167.7,0,0,0
288,289,278,231.13,822,4,22,805,1,172.64,1,0,0
289,290,273,251.29,282,2,29,723,1,41.1,1,0,1
290,291,274,251.12,851,5,24,706,0,410.16,1,0,1
291,292,178,125.11,318,3,20,689,1,229.39,1,0,0
292,293,196,107.99,193,4,29,641,0,235.87,1,0,1
293,294,175,165.06,124,4,24,792,0,264.11,0,0,1
294,295,179,157.07,811,1,18,491,1,247.55,1,0,1
295,296,102,56.72,862,1,10,798,1,50.1,0,0,0
296,297,221,202.08,139,4,9,532,1,170.11,0,1,1
297,298,267,238.02,365,2,25,526,1,90.68,0,0,1
298,299,209,153.3,851,3,8,670,0,72.47,1,0,0
299,300,247,189.22,267,1,26,438,1,342.04,0,0,1
300,301,209,142.03,410,2,30,448,1,361.85,0,0,1
301,302,296,155.29,465,5,29,414,0,571.04,0,0,1
302,303,117,76.15,512,1,10,749,1,151.38,0,0,0
303,304,232,199.82,54,2,17,362,1,104.35,1,0,1
304,305,252,126.53,682,2,2,403,1,75.79,1,0,1
305,306,233,151.47,146,3,6,572,1,383.15,0,0,1
306,307,172,116.82,511,3,26,305,1,206.34,1,0,1
307,308,194,143.91,421,5,5,446,1,247.3,1,0,1
308,309,87,79.51,566,2,28,483,1,137.88,1,0,1
309,310,73,47.88,108,2,30,327,0,104.84,0,0,1
310,311,118,77.42,609,3,9,849,1,198.89,1,0,0
311,312,165,137.26,202,1,5,418,1,34.12,0,1,1
312,313,147,103.41,41,1,18,592,1,223.48,0,0,1
313,314,247,148.46,829,4,26,670,1,424.01,0,0,0
314,315,263,185.05,157,3,20,543,1,169.28,1,0,1
315,316,188,105.92,637,4,9,517,1,247.57,0,1,1
316,317,289,167.44,121,3,17,476,0,201.41,0,0,1
317,318,193,139.78,682,5,27,598,1,370.59,0,0,1
318,319,146,100.52,572,2,17,357,1,23.87,1,0,1
319,320,250,227.92,875,5,12,568,0,300.4,1,0,1
320,321,173,114.71,561,3,7,607,1,72.03,0,1,1
321,322,236,179.66,687,2,27,587,1,342.96,1,0,1
322,323,119,93.36,857,1,3,404,1,51.67,1,0,1
323,324,257,130.01,476,1,10,527,0,140.64,1,1,1
324,325,142,113.4,419,4,2,546,0,147.58,0,0,1
325,326,52,30.17,701,3,25,793,1,95.59,1,0,0
326,327,197,183.7,890,3,3,382,0,98.94,0,0,1
327,328,236,133.79,72,1,16,485,1,88.28,1,0,1
328,329,213,146.24,283,5,2,551,1,328.46,0,0,1
329,330,196,105.53,159,2,28,654,0,206.03,0,0,1
330,331,139,131.85,89,5,24,509,0,254.7,0,0,1
331,332,244,177.14,692,5,10,746,1,92.37,1,0,0
332,333,196,150.51,496,1,6,759,1,260.14,0,1,1
333,334,197,104.45,316,1,22,771,1,106.87,1,0,0
334,335,145,121.43,546,1,26,669,1,57.69,0,1,1
335,336,248,147.43,496,4,11,791,1,346.83,1,0,0
336,337,101,91.32,807,5,23,436,1,124.03,1,0,1
337,338,282,167.03,374,3,7,666,1,432.64,1,1,1
338,339,210,123.02,671,2,27,483,1,144.48,1,0,1
339,340,217,112.07,411,4,29,586,1,206.4,1,0,1
340,341,177,126.1,808,3,15,771,1,154.06,0,0,0
341,342,88,66.37,719,5,6,674,0,173.34,1,0,0
342,343,131,69.37,282,1,20,836,1,85.84,0,0,0
343,344,153,129.9,85,5,27,810,0,101.0,1,1,1
344,345,178,125.31,492,2,9,549,0,137.71,1,0,1
345,346,60,44.16,486,4,22,809,1,70.36,0,0,0
346,347,269,187.85,112,4,20,372,1,155.86,0,0,1
347,348,234,159.2,128,2,12,581,1,430.34,1,0,1
348,349,266,199.99,178,3,19,659,1,160.88,1,0,0
349,350,227,129.36,358,3,20,309,1,409.07,1,0,1
350,351,200,116.37,185,4,3,510,0,59.32,1,0,1
351,352,208,184.66,219,4,15,451,1,280.27,1,0,1
352,353,271,250.88,523,1,2,304,1,494.11,1,1,1
353,354,91,60.79,292,3,30,494,1,38.28,0,0,1
354,355,148,92.03,109,2,21,582,1,287.09,0,0,1
355,356,56,44.23,429,3,2,763,0,53.79,1,0,0
356,357,193,132.0,793,1,22,412,1,366.09,1,0,1
357,358,139,71.09,638,4,3,570,1,192.65,1,0,1
358,359,161,91.81,289,4,6,462,1,108.36,1,1,1
359,360,298,245.01,801,1,15,759,1,136.42,0,0,0
360,361,293,233.38,644,2,27,404,1,198.39,1,1,1
361,362,109,55.83,581,4,10,581,1,30.16,0,0,1
362,363,162,97.18,814,5,9,461,1,60.48,0,1,1
363,364,51,30.8,130,4,1,650,1,15.24,1,0,0
364,365,178,142.82,388,5,16,733,0,160.84,0,1,1
365,366,97,49.36,409,1,6,439,0,156.33,1,0,1
366,367,189,103.35,849,1,9,770,1,69.67,1,0,0
367,368,246,211.55,250,4,27,431,0,85.51,1,1,1
368,369,86,49.91,849,3,4,386,0,113.74,0,0,1
369,370,209,165.89,449,5,27,482,1,99.2,0,0,1
370,371,300,182.15,153,2,28,667,1,85.64,0,0,0
371,372,296,161.25,451,4,2,428,1,123.44,1,1,1
372,373,58,35.35,260,2,29,545,0,107.6,1,0,1
373,374,282,232.66,719,4,4,677,0,468.34,1,0,0
374,375,148,130.99,92,3,1,448,0,114.36,0,0,1
375,376,196,171.23,514,3,19,732,1,263.83,1,0,0
376,377,97,65.84,657,3,26,768,1,108.72,0,1,1
377,378,257,205.76,732,3,25,745,1,356.34,0,0,0
378,379,180,106.6,603,1,10,780,0,251.47,1,0,0
379,380,197,124.49,797,1,21,593,1,255.04,1,1,1
380,381,201,181.57,512,5,15,442,1,121.72,0,0,1
381,382,103,52.1,548,2,27,549,1,17.93,0,0,1
382,383,169,91.0,184,4,22,601,1,163.18,1,0,1
383,384,210,124.65,121,4,19,324,1,376.5,0,0,1
384,385,201,102.9,555,1,16,369,0,237.59,0,0,1
385,386,165,95.97,484,4,21,411,0,277.45,1,0,1
386,387,124,94.53,770,1,27,663,1,246.03,1,0,0
387,388,162,111.72,627,5,24,602,0,66.56,1,0,1
388,389,249,224.52,674,2,22,770,0,352.18,1,0,1
389,390,213,184.85,539,5,4,390,0,294.19,1,0,1
390,391,215,140.57,212,3,2,829,0,421.81,0,0,1
391,392,153,94.36,415,3,30,491,1,301.81,1,0,1
392,393,133,89.22,603,3,25,541,1,186.82,1,0,1
393,394,276,211.31,760,5,13,437,1,155.35,0,0,1
394,395,161,99.92,434,4,28,644,1,260.38,1,0,1
395,396,266,207.71,275,2,1,479,1,80.69,0,0,1
396,397,148,101.27,771,3,17,802,1,234.33,0,0,0
397,398,202,151.18,620,3,13,502,1,369.53,0,0,1
398,399,142,98.87,690,3,4,491,1,117.49,1,0,1
399,400,195,123.34,679,2,7,304,0,253.15,1,0,1
400,401,177,164.04,500,3,17,536,1,162.36,1,1,1
401,402,159,134.14,855,2,9,610,1,148.15,1,1,1
402,403,131,73.76,452,3,4,848,1,90.35,0,0,0
403,404,243,216.47,94,5,19,355,1,376.18,0,0,1
404,405,103,74.09,42,5,1,742,1,193.51,0,0,1
405,406,212,191.34,242,2,10,536,1,400.13,0,0,1
406,407,257,221.0,271,5,4,496,0,111.05,0,0,1
407,408,238,164.54,522,2,9,813,1,419.36,1,0,0
408,409,218,111.2,242,5,13,748,1,327.24,1,0,0
409,410,277,171.99,722,5,14,659,1,160.77,1,0,0
410,411,210,156.18,367,2,10,329,0,47.85,0,0,1
411,412,117,91.85,202,4,6,407,1,71.28,1,0,1
412,413,82,50.52,701,5,16,744,1,150.32,0,0,0
413,414,191,107.48,193,3,6,737,0,248.88,0,0,1
414,415,70,61.3,494,4,17,756,1,102.9,1,0,0
415,416,97,91.47,526,2,10,794,0,57.09,1,0,1
416,417,197,145.1,729,4,18,546,1,288.97,0,0,1
417,418,297,171.44,424,1,27,842,1,45.57,1,0,0
418,419,177,110.19,732,1,22,738,1,143.92,0,0,0
419,420,185,94.03,337,5,18,577,0,238.8,1,0,1
420,421,184,167.7,797,5,3,410,1,69.48,1,1,1
421,422,244,134.93,212,3,20,684,0,405.94,1,1,1
422,423,194,147.33,658,4,27,490,0,106.03,0,0,1
423,424,177,110.33,823,1,21,789,0,237.06,0,0,1
424,425,82,61.45,539,5,25,725,0,71.33,1,0,0
425,426,225,178.46,737,4,28,704,1,277.31,1,1,1
426,427,253,220.97,575,5,15,634,0,76.95,0,0,1
427,428,236,139.92,593,5,15,508,1,31.18,1,1,1
428,429,164,82.81,653,1,4,321,1,299.82,1,0,1
429,430,263,147.7,793,1,29,507,1,161.03,1,0,1
430,431,168,152.04,623,5,27,307,1,278.44,1,1,1
431,432,71,63.42,773,2,9,828,1,141.91,1,0,0
432,433,287,220.66,256,5,27,465,1,143.99,1,0,1
433,434,207,159.44,774,5,26,795,0,124.99,1,0,0
434,435,87,69.54,762,3,19,728,1,118.27,0,0,0
435,436,279,161.52,465,3,24,462,0,539.68,0,0,1
436,437,158,144.01,451,3,28,665,0,290.73,0,0,1
437,438,100,68.84,583,2,17,825,0,105.55,1,0,0
438,439,231,155.33,50,2,11,538,1,372.07,0,0,1
439,440,57,41.81,583,5,25,371,0,20.4,1,1,1
440,441,76,39.61,426,3,9,744,1,148.74,0,0,0
441,442,76,43.69,654,2,10,808,0,146.85,0,0,1
442,443,275,228.83,134,1,18,568,1,113.05,1,0,1
443,444,70,37.61,221,5,20,714,0,46.82,0,0,1
444,445,79,60.94,46,4,13,544,0,22.93,0,0,1
445,446,146,89.12,149,5,8,359,1,89.97,0,1,1
446,447,77,51.99,422,4,7,305,0,127.07,1,0,1
447,448,160,100.79,454,3,17,706,1,131.01,1,0,0
448,449,241,159.07,158,4,21,516,1,64.58,1,0,1
449,450,274,225.66,159,3,23,325,0,205.56,1,0,1
450,451,246,155.89,601,1,15,304,1,483.3,1,1,1
451,452,110,83.04,589,4,20,831,0,142.6,0,0,1
452,453,97,69.28,58,5,15,689,1,86.4,0,0,0
453,454,196,156.54,126,3,1,747,0,81.62,1,0,0
454,455,53,48.84,39,5,25,445,1,104.61,0,0,1
455,456,84,69.69,271,2,14,687,0,139.41,0,0,1
456,457,241,143.81,855,3,5,548,1,152.99,1,0,1
457,458,98,50.38,261,4,11,825,1,22.85,1,0,0
458,459,66,40.79,818,3,16,761,1,13.7,0,0,0
