,CustomerID,Age,MonthlySpend,Tenure (Months),LastPurchaseDaysAgo,CustomerServiceCalls,SubscriptionType,EngagementScore,label
63,64,37,29.59,27,6,0,Premium,58,0
64,65,21,88.96,15,20,1,Standard,7,1
65,66,42,19.76,5,7,0,Standard,82,0
66,67,28,10.92,31,6,1,Standard,16,1
67,68,40,96.83,24,2,4,Standard,88,0
68,69,19,48.99,33,18,2,Premium,53,0
69,70,37,64.69,27,9,3,Standard,84,0
70,71,46,95.71,8,26,2,Basic,100,0
71,72,68,53.08,13,16,0,Standard,1,1
72,73,47,66.61,36,30,3,Standard,47,0
73,74,51,83.41,13,9,4,Premium,10,1
74,75,40,94.59,34,25,3,Premium,5,1
75,76,25,77.79,18,3,3,Premium,93,0
76,77,26,19.22,9,7,4,Standard,14,1
77,78,64,38.85,6,19,5,Basic,17,1
78,79,66,32.49,30,19,2,Standard,94,0
79,80,59,12.8,20,3,5,Basic,15,1
80,81,47,86.85,17,12,0,Standard,46,0
81,82,37,16.68,12,1,3,Basic,47,0
82,83,40,22.27,22,24,4,Premium,19,1
83,84,59,92.75,30,27,2,Premium,53,0
84,85,26,51.54,9,0,0,Basic,54,0
85,86,67,86.49,9,10,3,Premium,40,0
86,87,25,90.97,8,3,1,Standard,46,0
87,88,18,18.16,10,3,0,Standard,24,1
88,89,46,36.55,9,25,2,Standard,49,0
89,90,23,81.2,18,27,0,Basic,80,0
90,91,37,27.58,1,22,3,Premium,24,1
91,92,67,48.4,30,25,5,Premium,76,0
92,93,25,99.27,36,25,1,Standard,97,0
93,94,56,47.08,26,11,0,Basic,60,0
94,95,58,48.72,24,16,4,Basic,68,0
95,96,43,46.87,32,22,1,Premium,20,1
96,97,23,88.8,7,8,4,Premium,53,0
97,98,53,58.15,29,2,5,Standard,85,0
98,99,42,83.58,5,20,2,Standard,57,1
99,100,28,92.79,12,24,2,Standard,69,0
100,101,61,43.02,18,0,3,Basic,39,0
101,102,27,42.24,2,29,0,Standard,95,1
102,103,54,18.39,8,27,5,Standard,0,1
103,104,39,47.0,24,5,1,Standard,12,1
104,105,34,96.9,23,27,1,Standard,86,0
105,106,63,39.87,25,6,1,Standard,46,0
106,107,69,38.8,36,11,4,Premium,89,0
107,108,54,49.21,4,14,4,Premium,87,0
108,109,34,89.77,33,8,2,Standard,87,0
109,110,60,56.97,33,8,2,Basic,92,0
110,111,24,49.78,3,2,1,Premium,28,1
111,112,59,12.44,29,25,2,Basic,39,0
112,113,43,33.44,12,8,0,Basic,8,1
113,114,70,60.75,11,24,5,Standard,100,0
114,115,52,33.51,20,19,4,Premium,17,1
115,116,21,14.84,13,29,5,Premium,79,1
116,117,40,19.63,24,3,0,Premium,53,0
117,118,47,41.98,4,29,3,Premium,84,1
118,119,70,68.58,36,23,0,Premium,65,0
119,120,42,97.63,24,28,5,Premium,15,1
120,121,67,88.88,3,4,0,Basic,60,0
121,122,51,81.6,22,15,5,Standard,8,1
122,123,53,12.26,3,21,1,Premium,60,1
123,124,42,19.65,28,23,3,Premium,65,0
124,125,56,72.33,4,11,0,Basic,54,0
125,126,29,57.27,6,30,3,Basic,80,0
126,127,60,77.67,3,5,0,Basic,79,0
127,128,53,35.58,15,25,3,Basic,41,0
128,129,42,54.86,16,12,4,Standard,1,1
129,130,67,34.43,33,4,4,Standard,63,0
130,131,25,34.56,13,20,0,Premium,14,1
131,132,54,73.83,9,28,0,Standard,20,1
132,133,29,28.26,8,27,3,Premium,3,1
133,134,18,22.29,35,28,3,Premium,28,1
134,135,54,16.87,14,25,0,Basic,96,0
135,136,23,89.52,13,4,3,Basic,56,0
136,137,27,86.46,34,15,4,Standard,95,0
137,138,23,85.69,29,2,4,Basic,33,0
138,139,60,57.61,13,7,2,Standard,30,0
139,140,32,14.66,34,16,3,Premium,91,0
140,141,40,34.21,36,2,2,Standard,23,1
141,142,56,22.85,34,26,1,Premium,49,0
142,143,51,25.21,29,6,3,Basic,61,0
143,144,53,94.84,3,2,1,Basic,69,0
144,145,26,81.47,31,11,4,Premium,31,0
145,146,49,43.17,5,13,4,Premium,3,1
146,147,20,28.27,24,25,3,Premium,38,0
147,148,54,93.43,15,27,4,Basic,55,0
148,149,38,64.77,5,6,1,Premium,49,0
149,150,37,92.51,19,15,3,Standard,78,0
150,151,63,74.1,20,27,0,Standard,2,1
151,152,48,27.02,18,27,3,Basic,99,0
152,153,27,34.09,25,27,5,Basic,87,0
153,154,38,37.88,2,28,1,Basic,12,1
154,155,51,49.68,33,25,1,Standard,73,0
155,156,57,26.74,3,0,5,Premium,54,1
156,157,52,25.79,10,6,1,Standard,95,0
157,158,44,16.31,16,27,0,Basic,86,0
158,159,36,27.94,6,11,1,Premium,0,1
159,160,54,43.69,7,21,5,Premium,33,0
160,161,68,76.8,29,6,1,Standard,99,0
161,162,53,66.17,36,15,2,Standard,98,0
162,163,59,46.32,9,25,1,Basic,35,0
163,164,28,74.01,2,23,1,Basic,64,1
164,165,29,30.32,7,19,4,Basic,44,0
165,166,23,40.51,16,18,0,Standard,93,0
166,167,46,59.32,8,3,0,Standard,44,0
167,168,54,54.34,10,0,4,Basic,16,1
168,169,29,80.48,17,18,0,Premium,66,0
169,170,56,30.51,19,29,2,Standard,3,1
170,171,34,87.79,12,26,2,Standard,33,0
171,172,53,83.41,22,0,2,Standard,47,0
172,173,38,46.0,33,12,2,Standard,21,1
173,174,52,88.65,18,12,0,Standard,98,0
174,175,30,67.2,10,3,3,Standard,29,1
175,176,21,59.55,18,8,3,Standard,57,0
176,177,56,62.84,9,24,3,Premium,46,0
177,178,59,56.3,28,11,3,Basic,80,0
178,179,25,68.27,18,3,0,Basic,1,1
179,180,65,49.12,2,13,3,Premium,29,1
180,181,29,50.83,29,25,1,Premium,27,1
181,182,39,30.53,23,29,2,Basic,18,1
182,183,39,56.08,21,26,1,Premium,39,0
183,184,32,37.35,36,8,4,Premium,44,0
184,185,29,42.07,18,1,2,Premium,84,0
185,186,19,19.35,10,1,5,Standard,10,1
186,187,30,61.61,32,20,5,Basic,64,0
187,188,60,98.12,33,6,0,Premium,58,0
188,189,41,34.31,32,24,4,Basic,33,0
189,190,23,89.72,12,24,0,Premium,44,0
190,191,66,11.81,32,15,1,Basic,77,0
191,192,65,49.15,16,10,2,Premium,19,1
192,193,55,87.48,20,18,4,Standard,78,0
193,194,30,37.19,30,20,5,Standard,46,0
194,195,69,25.24,20,22,5,Basic,81,1
195,196,36,69.3,26,9,5,Basic,85,0
196,197,42,95.47,22,9,4,Standard,77,0
197,198,38,66.55,27,7,1,Basic,28,1
198,199,34,18.13,1,1,3,Premium,14,1
199,200,33,77.42,18,5,5,Standard,66,0
200,201,32,10.53,1,9,5,Premium,47,1
201,202,55,58.77,10,5,3,Premium,30,0
202,203,54,86.42,15,15,0,Basic,50,0
203,204,41,48.68,9,15,5,Basic,62,0
204,205,53,29.76,12,20,4,Premium,33,1
205,206,38,88.92,20,20,1,Basic,74,0
206,207,60,23.92,22,14,0,Premium,89,0
207,208,28,45.83,13,19,4,Standard,47,0
208,209,25,51.45,3,11,3,Basic,41,0
209,210,70,12.83,3,28,5,Basic,33,1
210,211,57,57.26,5,8,3,Premium,0,1
211,212,39,64.28,10,13,5,Premium,5,1
212,213,19,47.41,21,18,2,Premium,62,0
213,214,70,13.16,21,11,2,Standard,43,0
214,215,28,19.93,22,6,5,Basic,26,1
215,216,47,45.3,35,18,1,Premium,63,0
216,217,45,48.16,25,19,1,Premium,41,0
217,218,70,92.21,33,22,4,Basic,27,1
218,219,53,43.52,21,9,3,Standard,14,1
219,220,63,75.2,20,19,0,Basic,2,1
220,221,50,65.38,15,27,5,Premium,19,1
221,222,25,13.46,2,1,0,Premium,12,1
222,223,56,51.41,27,20,1,Basic,31,0
223,224,64,70.53,10,2,3,Premium,49,0
224,225,40,37.89,13,24,5,Basic,38,0
225,226,58,76.24,29,12,4,Premium,94,0
226,227,38,94.14,5,29,0,Basic,54,1
227,228,22,34.34,26,9,5,Standard,1,1
228,229,40,62.89,33,28,5,Basic,33,0
229,230,54,11.26,1,3,3,Basic,63,0
230,231,50,66.97,3,16,0,Premium,49,1
231,232,18,56.01,14,14,4,Standard,80,0
232,233,37,44.27,35,13,2,Basic,44,0
233,234,34,91.36,19,16,1,Standard,12,1
234,235,61,94.69,17,20,3,Basic,27,1
235,236,27,40.51,36,21,5,Basic,86,0
236,237,21,57.9,24,14,5,Standard,76,0
237,238,34,18.05,34,21,5,Premium,13,1
238,239,67,57.9,3,19,2,Basic,71,1
239,240,33,89.17,23,19,3,Basic,35,0
240,241,35,28.05,31,1,2,Premium,62,0
241,242,30,14.33,30,16,1,Standard,61,0
242,243,52,45.31,9,8,0,Premium,86,0
243,244,61,27.97,19,2,2,Basic,84,0
244,245,42,35.82,35,29,4,Standard,32,0
245,246,18,93.32,17,15,1,Premium,61,0
246,247,66,88.74,34,16,1,Premium,50,0
247,248,50,39.93,23,20,5,Premium,31,0
248,249,26,91.14,32,16,1,Premium,53,0
249,250,53,85.62,28,21,0,Basic,82,0
250,251,33,98.22,5,11,2,Standard,59,0
251,252,66,57.42,3,5,4,Basic,51,0
252,253,52,56.97,26,20,0,Standard,10,1
253,254,55,94.98,27,15,4,Basic,74,0
254,255,42,89.36,22,29,4,Premium,92,0
255,256,38,96.09,36,13,4,Premium,58,0
256,257,62,41.29,25,27,0,Standard,33,0
257,258,41,49.55,6,22,4,Premium,95,0
258,259,65,81.51,1,30,5,Standard,60,1
259,260,36,66.47,36,26,4,Standard,28,1
260,261,23,14.75,3,22,5,Premium,80,1
261,262,70,89.79,21,7,5,Premium,17,1
262,263,20,57.67,25,10,1,Standard,80,0
263,264,62,46.09,14,23,4,Basic,90,0
264,265,66,78.22,11,24,4,Basic,77,0
265,266,70,19.23,31,1,4,Standard,67,1
266,267,39,53.3,20,22,1,Premium,70,0
267,268,54,60.9,11,6,0,Basic,17,1
268,269,45,36.38,20,4,1,Basic,8,1
269,270,29,80.48,28,3,0,Standard,92,0
270,271,30,94.42,35,5,5,Basic,87,0
271,272,65,66.8,34,4,4,Basic,39,0
272,273,58,68.9,13,1,5,Basic,26,1
273,274,64,93.22,27,22,4,Standard,91,0
274,275,31,56.64,36,20,1,Basic,34,0
275,276,44,21.5,14,13,5,Standard,31,1
276,277,61,85.84,35,8,2,Premium,62,0
277,278,51,94.96,34,4,5,Standard,94,0
278,279,59,30.93,9,21,2,Premium,41,0
279,280,30,28.57,27,28,2,Basic,95,0
280,281,56,57.91,29,8,3,Premium,86,0
281,282,36,36.92,29,28,1,Premium,61,0
282,283,59,86.48,17,26,0,Premium,11,1
283,284,45,51.26,10,5,4,Premium,100,0
284,285,23,31.09,5,17,5,Standard,83,1
285,286,28,10.06,6,11,3,Standard,51,0
286,287,49,19.26,6,5,4,Basic,30,1
287,288,19,42.17,20,23,0,Premium,23,1
288,289,44,89.39,3,15,3,Premium,3,1
289,290,39,43.33,35,3,3,Basic,59,0
290,291,41,22.15,33,21,2,Premium,83,0
291,292,39,94.93,20,29,1,Basic,97,0
292,293,33,71.72,5,1,4,Basic,59,0
293,294,66,47.46,5,20,1,Premium,5,1
294,295,54,73.4,10,25,0,Standard,43,0
295,296,19,91.58,8,23,2,Standard,26,1
296,297,40,25.92,1,4,1,Standard,45,0
297,298,25,60.0,3,23,3,Premium,21,1
298,299,64,76.72,4,26,3,Basic,58,1
299,300,67,98.13,9,2,0,Standard,65,0
300,301,27,28.82,7,25,0,Basic,67,0
301,302,26,51.22,36,12,3,Standard,43,0
302,303,30,22.38,31,26,1,Standard,81,0
303,304,45,61.43,21,20,1,Basic,77,0
304,305,21,56.39,27,26,3,Basic,48,0
305,306,39,71.19,16,20,5,Basic,98,0
306,307,31,56.58,3,22,3,Standard,70,1
307,308,56,30.45,22,11,3,Premium,80,0
308,309,54,49.86,13,23,4,Premium,78,0
309,310,70,25.43,16,1,2,Basic,44,0
310,311,53,29.0,12,23,5,Basic,60,1
311,312,19,38.85,22,21,4,Premium,95,0
312,313,61,86.63,2,26,4,Premium,37,1
313,314,70,53.66,14,1,3,Standard,89,0
314,315,34,11.36,18,6,2,Premium,94,0
315,316,28,95.91,26,23,3,Basic,97,0
316,317,31,21.33,13,26,3,Basic,62,0
317,318,26,89.69,14,24,0,Premium,18,1
318,319,68,60.12,34,2,2,Basic,64,0
319,320,23,66.04,4,8,1,Basic,43,0
320,321,58,71.2,35,30,3,Premium,86,0
321,322,37,46.21,11,8,2,Premium,36,0
322,323,67,42.81,35,6,5,Premium,66,0
323,324,65,13.1,30,0,0,Standard,81,0
324,325,68,96.44,34,13,5,Standard,50,0
325,326,52,95.6,29,3,1,Premium,75,0
326,327,49,51.53,30,30,5,Basic,1,1
327,328,56,55.64,31,7,1,Premium,10,1
328,329,36,40.26,1,30,1,Basic,72,1
329,330,24,26.89,30,16,2,Standard,47,0
330,331,61,17.52,1,9,3,Premium,97,0
331,332,32,94.55,16,29,0,Standard,51,0
332,333,49,11.88,1,13,5,Premium,35,1
333,334,66,56.11,16,20,3,Standard,97,0
334,335,62,71.26,7,16,2,Premium,77,0
335,336,50,91.8,7,15,2,Premium,71,0
336,337,49,73.65,9,5,1,Premium,42,0
337,338,35,45.06,33,24,5,Basic,46,0
338,339,18,14.24,35,19,5,Standard,31,1
339,340,38,14.92,1,29,3,Premium,42,1
340,341,28,78.79,36,11,0,Standard,56,0
341,342,36,94.79,21,16,2,Standard,84,0
342,343,53,81.54,14,10,3,Basic,89,0
343,344,49,50.36,24,4,2,Standard,96,0
344,345,70,40.54,13,20,0,Standard,0,1
345,346,47,26.87,27,24,1,Standard,65,0
346,347,50,58.83,31,23,1,Basic,46,0
347,348,62,48.57,30,13,1,Basic,67,0
348,349,32,71.61,24,4,5,Standard,66,0
349,350,34,84.65,16,21,3,Basic,75,0
350,351,50,17.98,8,30,4,Standard,46,1
351,352,46,32.34,21,29,3,Basic,100,0
352,353,67,19.67,4,11,5,Basic,89,1
353,354,32,30.65,32,19,5,Basic,24,1
354,355,57,27.84,1,21,1,Basic,62,1
355,356,70,15.36,8,10,2,Premium,70,0
356,357,69,15.26,28,10,3,Premium,51,0
357,358,42,21.82,19,25,2,Standard,100,0
358,359,65,53.73,28,2,0,Basic,93,0
359,360,34,35.73,35,5,4,Standard,86,0
360,361,60,88.65,19,13,3,Premium,38,0
361,362,39,14.13,1,8,4,Basic,100,1
362,363,63,43.7,30,22,0,Premium,13,1
363,364,29,55.53,30,2,1,Basic,40,0
364,365,55,81.79,29,4,3,Basic,91,0
365,366,52,94.05,16,13,4,Standard,43,0
366,367,51,93.69,3,0,0,Standard,17,1
367,368,40,86.55,8,11,1,Basic,54,0
368,369,56,70.19,7,26,0,Standard,72,0
369,370,34,41.36,5,3,1,Standard,15,1
370,371,54,33.5,26,30,4,Premium,72,0
371,372,18,87.14,17,10,4,Basic,66,0
372,373,44,61.25,12,12,5,Basic,24,1
373,374,31,37.07,5,22,0,Standard,78,1
374,375,43,72.4,31,1,5,Basic,79,0
375,376,32,88.41,25,15,5,Premium,42,0
376,377,49,48.17,7,3,3,Premium,78,0
377,378,50,99.29,33,17,1,Standard,11,1
378,379,43,59.99,24,1,3,Basic,48,0
379,380,66,90.34,20,4,2,Premium,62,0
380,381,70,53.89,5,8,5,Premium,42,0
381,382,25,40.7,13,9,2,Basic,93,0
382,383,30,24.61,18,1,5,Standard,91,1
383,384,34,43.66,9,29,3,Standard,92,0
384,385,58,58.71,34,15,4,Premium,89,0
385,386,23,82.52,10,20,4,Standard,4,1
386,387,69,19.46,19,6,1,Premium,41,0
387,388,59,66.9,1,11,4,Premium,80,0
388,389,63,80.39,17,27,1,Premium,48,0
389,390,39,67.05,8,3,5,Basic,74,0
390,391,44,72.79,19,4,3,Basic,76,0
391,392,27,81.94,5,1,4,Premium,76,0
392,393,26,89.15,26,11,2,Premium,56,0
393,394,23,16.58,11,5,5,Basic,8,1
394,395,46,65.92,33,23,5,Standard,88,0
395,396,36,22.61,22,30,4,Premium,55,1
396,397,46,29.51,35,19,3,Standard,58,0
397,398,54,14.47,15,5,2,Basic,93,0
398,399,61,13.68,31,27,2,Standard,44,0
399,400,44,14.35,11,6,1,Standard,60,0
400,401,22,45.25,8,27,4,Standard,62,0
401,402,55,16.58,17,2,0,Premium,50,0
402,403,22,83.84,28,25,4,Standard,86,0
403,404,25,91.46,33,1,2,Basic,92,0
404,405,70,37.09,24,1,1,Standard,91,0
405,406,20,39.23,7,24,4,Premium,51,0
406,407,28,45.27,13,13,3,Standard,80,0
407,408,59,50.03,5,12,3,Basic,1,1
408,409,57,96.54,19,23,3,Premium,24,1
409,410,47,33.11,15,25,4,Premium,53,0
410,411,26,22.07,21,11,0,Standard,24,1
411,412,64,12.02,36,19,5,Premium,67,1
412,413,43,13.74,7,19,4,Premium,55,1
413,414,56,85.53,30,0,1,Basic,43,0
414,415,34,38.11,11,30,5,Basic,95,0
415,416,33,53.61,27,17,0,Basic,31,0
416,417,60,54.64,3,11,1,Basic,38,0
417,418,21,46.99,23,16,1,Basic,82,0
418,419,38,23.57,18,1,0,Premium,77,0
419,420,48,71.41,34,9,1,Standard,94,0
420,421,44,55.66,29,19,5,Basic,68,0
421,422,60,25.65,3,25,4,Basic,9,1
422,423,69,77.6,9,3,2,Basic,93,0
423,424,36,81.49,19,2,4,Basic,26,1
424,425,25,30.23,13,6,4,Standard,99,0
425,426,46,18.13,18,19,4,Premium,35,1
426,427,57,83.52,29,9,0,Standard,31,0
427,428,70,56.27,19,0,3,Standard,76,0
428,429,37,33.76,16,15,4,Standard,17,1
429,430,48,27.71,1,15,5,Premium,72,1
430,431,69,14.84,5,7,2,Standard,92,0
431,432,19,38.48,14,6,1,Premium,15,1
432,433,39,33.0,12,30,1,Standard,92,0
433,434,52,25.02,28,19,0,Premium,40,0
434,435,23,49.98,8,18,0,Premium,52,0
435,436,22,61.56,25,6,4,Basic,98,0
436,437,52,15.26,12,1,4,Premium,63,1
437,438,44,66.79,27,21,1,Standard,20,1
438,439,62,90.71,36,30,5,Basic,82,0
439,440,59,39.07,16,8,5,Premium,47,0
440,441,67,31.74,13,2,5,Standard,0,1
441,442,41,19.53,15,17,5,Basic,83,1
442,443,57,43.47,7,8,5,Standard,12,1
443,444,23,71.0,19,0,0,Standard,21,1
444,445,48,20.4,16,21,2,Basic,21,1
445,446,64,80.47,21,29,4,Basic,50,0
446,447,42,70.95,18,18,0,Premium,58,0
447,448,51,44.9,9,0,3,Basic,71,0
448,449,59,25.73,29,29,4,Basic,22,1
449,450,46,46.34,15,3,3,Premium,9,1
450,451,26,54.2,34,0,3,Premium,64,0
451,452,69,22.74,32,29,4,Premium,81,1
452,453,50,35.93,12,29,1,Premium,5,1
453,454,64,10.6,10,6,1,Standard,76,0
454,455,43,10.69,33,14,0,Basic,48,0
455,456,26,72.39,22,24,1,Basic,1,1
456,457,27,61.9,11,3,1,Premium,61,0
457,458,44,76.09,34,20,1,Premium,7,1
458,459,24,37.82,10,22,3,Basic,99,0
459,460,62,64.08,29,20,3,Basic,92,0
460,461,69,74.59,3,16,5,Basic,57,1
461,462,41,19.16,14,29,3,Standard,80,0
462,463,60,75.15,12,28,1,Standard,29,1
463,464,49,59.62,15,14,2,Standard,98,0
464,465,46,25.01,26,18,2,Premium,65,0
465,466,33,46.36,1,7,5,Standard,36,0
466,467,22,13.89,25,20,1,Premium,16,1
467,468,49,32.25,8,23,3,Standard,44,0
468,469,39,92.33,19,3,3,Basic,92,0
469,470,31,92.58,2,12,4,Premium,2,1
470,471,42,81.78,5,11,1,Premium,0,1
471,472,50,12.04,19,9,3,Basic,19,1
472,473,42,80.49,10,21,1,Basic,23,1
473,474,22,33.44,18,29,3,Standard,18,1
474,475,44,49.07,21,2,0,Basic,4,1
475,476,54,66.09,14,17,0,Premium,3,1
476,477,37,50.39,27,6,0,Premium,4,1
477,478,20,13.66,4,24,1,Premium,90,1
478,479,66,93.16,18,17,4,Premium,79,0
479,480,39,12.92,33,6,3,Standard,6,1
480,481,23,30.9,15,29,2,Basic,90,0
481,482,48,44.44,12,13,0,Basic,1,1
482,483,22,94.58,27,19,5,Standard,60,0
483,484,44,53.23,20,20,1,Standard,70,0
484,485,48,29.67,4,30,1,Basic,32,1
485,486,33,80.87,19,19,0,Standard,45,0
486,487,29,64.81,33,25,1,Premium,85,0
487,488,43,82.68,19,6,3,Basic,69,0
488,489,56,27.35,3,4,1,Premium,13,1
489,490,64,40.3,32,1,2,Premium,26,1
490,491,60,54.54,5,28,2,Premium,26,1
491,492,27,57.53,5,15,5,Basic,22,1
492,493,42,32.82,7,28,2,Premium,77,0
493,494,43,75.78,7,30,5,Premium,52,0
494,495,21,14.02,2,24,3,Standard,22,1
495,496,59,78.2,14,9,5,Basic,16,1
496,497,44,56.03,3,23,3,Standard,24,1
497,498,52,90.82,17,16,2,Standard,12,1
498,499,41,48.71,16,3,3,Basic,77,0
499,500,49,12.28,15,17,5,Basic,43,1
500,501,20,68.26,8,13,1,Basic,100,0
501,502,26,16.8,12,5,1,Premium,88,0
502,503,29,21.48,19,1,0,Premium,39,0
503,504,63,99.42,36,10,5,Premium,36,0
504,505,52,71.14,4,0,5,Standard,69,0
505,506,53,69.41,1,1,0,Standard,68,0
506,507,27,40.18,20,18,0,Premium,18,1
507,508,31,58.77,19,2,3,Basic,35,0
508,509,59,44.57,11,13,2,Basic,1,1
509,510,57,50.1,34,3,3,Premium,34,0
510,511,61,30.57,24,19,2,Basic,68,0
511,512,32,54.78,25,27,0,Premium,88,0
512,513,25,13.1,23,18,0,Basic,67,0
513,514,33,75.06,14,10,5,Premium,51,0
514,515,53,73.87,32,18,5,Standard,89,0
515,516,47,82.53,12,8,4,Standard,73,0
516,517,63,15.63,6,27,4,Standard,21,1
517,518,20,58.46,35,26,1,Basic,17,1
518,519,36,35.35,12,25,1,Standard,15,1
519,520,59,25.11,34,4,4,Basic,31,1
520,521,50,32.91,7,12,1,Premium,22,1
521,522,29,44.77,25,17,2,Basic,21,1
522,523,50,38.57,1,21,0,Premium,64,1
523,524,70,42.05,6,19,1,Standard,88,0
524,525,24,19.96,35,30,2,Premium,19,1
525,526,68,96.35,32,22,5,Basic,99,0
526,527,59,63.76,28,6,0,Standard,100,0
527,528,27,10.55,15,9,4,Standard,1,1
528,529,60,88.68,9,10,0,Standard,46,0
529,530,56,28.27,20,3,4,Basic,54,1
530,531,62,24.54,24,25,4,Standard,43,1
531,532,29,55.01,5,9,3,Basic,29,1
532,533,54,10.16,25,28,3,Standard,57,0
533,534,64,85.09,13,20,2,Standard,22,1
534,535,59,17.8,10,21,0,Basic,28,1
535,536,50,30.82,14,8,1,Standard,84,0
536,537,39,40.15,20,18,3,Premium,83,0
537,538,37,40.57,24,25,1,Basic,49,0
538,539,44,74.96,14,17,4,Premium,50,0
539,540,62,22.61,19,5,2,Standard,9,1
540,541,43,90.64,14,14,2,Premium,99,0
541,542,67,23.95,15,4,3,Premium,34,0
542,543,58,70.95,16,17,5,Standard,82,0
543,544,57,98.36,2,5,2,Standard,36,0
544,545,59,76.52,14,23,0,Standard,41,0
545,546,50,78.67,36,23,4,Premium,75,0
546,547,23,39.35,2,22,0,Basic,53,1
547,548,44,63.49,15,29,2,Premium,87,0
548,549,43,11.54,8,17,1,Premium,79,0
549,550,50,69.57,13,19,0,Standard,78,0
550,551,62,63.39,31,7,3,Basic,15,1
551,552,35,65.46,32,1,3,Premium,86,0
552,553,22,84.42,17,15,5,Standard,5,1
553,554,23,54.48,6,22,3,Premium,39,0
554,555,54,94.53,6,9,3,Standard,33,0
555,556,69,58.09,25,8,5,Standard,37,0
556,557,35,35.35,33,19,2,Basic,25,1
557,558,68,12.87,12,12,4,Basic,74,1
558,559,69,79.81,29,25,1,Premium,86,0
559,560,30,21.35,35,19,4,Standard,28,1
560,561,30,80.25,30,21,1,Basic,26,1
561,562,19,65.5,8,26,4,Premium,20,1
562,563,68,52.69,32,11,3,Standard,7,1
563,564,55,53.24,36,9,3,Standard,96,0
564,565,68,18.34,7,14,4,Standard,2,1
565,566,18,30.05,3,29,3,Standard,45,1
566,567,41,67.86,13,18,4,Basic,78,0
567,568,24,88.58,20,25,5,Standard,8,1
568,569,28,31.35,33,22,4,Basic,41,0
569,570,65,17.63,20,12,3,Standard,14,1
570,571,27,23.41,9,26,0,Basic,4,1
571,572,66,32.48,17,18,4,Basic,34,0
572,573,39,12.92,35,30,4,Premium,71,1
573,574,45,32.86,18,7,3,Premium,17,1
574,575,34,37.91,35,1,2,Basic,6,1
575,576,56,68.13,9,20,0,Premium,20,1
576,577,45,82.32,32,2,4,Standard,71,0
