,Age,Education,Occupation,Marital Status,Family size,Income source,Neighborhood income percentiles,label
36,36,PhD,Professional,Divorced,4,Inheritance,[35.39331016 82.42033717 91.50867788],1
37,33,PhD,Entrepreneur,Single,3,Business,[ 0.0859818  57.22542754 65.01488088],1
38,18,Master's,Blue-collar,Married,1,Inheritance,[35.26046009 68.7703165  11.60430367],0
39,61,High School,Entrepreneur,Single,4,Business,[42.20777452 73.87992853 76.3326911 ],1
40,64,PhD,Professional,Single,4,Inheritance,[55.56511645 87.50594617 11.94884446],1
41,53,High School,Blue-collar,Divorced,4,Inheritance,[64.33773256 63.8974873  95.46372375],1
42,44,Master's,Professional,Married,2,Salary,[84.81917724 61.17110196 91.10189167],1
43,20,Bachelor's,Blue-collar,Married,4,Salary,[51.87602914 67.25156638 62.08840041],1
44,19,PhD,Professional,Divorced,1,Inheritance,[93.78086537 59.89975504 49.46535061],1
45,48,PhD,Entrepreneur,Single,3,Salary,[26.16028503 80.50035786 13.89722554],1
46,23,High School,Entrepreneur,Married,2,Business,[ 9.6036096   2.48325577 65.95910824],0
47,31,Master's,Blue-collar,Married,3,Business,[ 3.78001273 70.57017232 61.14103784],1
48,41,Master's,Blue-collar,Divorced,3,Business,[30.48718535  5.59839861 43.65345547],0
49,20,High School,White-collar,Divorced,1,Inheritance,[62.24632147 56.93570447 77.5011082 ],1
50,22,Bachelor's,Entrepreneur,Single,3,Salary,[58.23134868 95.86714189 97.80807873],1
51,39,Bachelor's,White-collar,Married,1,Business,[40.34896523 79.85148829 45.6252458 ],0
52,19,Bachelor's,Professional,Divorced,3,Business,[79.57621594 59.94812947 37.02127503],1
53,43,PhD,Blue-collar,Married,1,Business,[72.52860725 56.95148542 37.55760741],1
54,59,High School,Professional,Married,4,Inheritance,[89.27254561 44.34314688 75.97198033],1
55,33,Master's,White-collar,Married,3,Business,[20.26780487 17.22581425 22.33866979],1
56,51,Bachelor's,Blue-collar,Married,3,Inheritance,[68.17675224 91.16382398 80.14409717],1
57,52,Master's,Entrepreneur,Single,2,Inheritance,[ 4.95226977  7.3999747  52.02213428],1
58,31,High School,Blue-collar,Married,3,Inheritance,[65.46378005 12.46909979  0.36168687],1
59,51,High School,Professional,Single,3,Business,[28.20881313 43.38737393 88.60419993],0
60,19,Master's,White-collar,Divorced,2,Salary,[91.65240538 61.15154653 40.13081967],1
61,25,Bachelor's,Professional,Divorced,1,Salary,[70.97826056 82.84070146 66.82813047],1
62,29,High School,White-collar,Divorced,1,Salary,[55.45237545 56.76854537 83.12659026],1
63,31,Master's,White-collar,Single,3,Salary,[30.36527424 81.78614594 91.10564972],1
64,45,PhD,Professional,Married,4,Business,[44.24616595 92.46787401 59.00975744],1
65,18,PhD,Blue-collar,Married,3,Business,[16.28120959 94.95978898 29.18769435],1
66,23,PhD,White-collar,Divorced,1,Business,[76.1040586  45.34664626 42.21742842],0
67,47,Bachelor's,Entrepreneur,Divorced,1,Business,[68.40017403 66.5277991  22.01080752],1
68,60,Master's,Entrepreneur,Divorced,4,Business,[81.45201902 76.90234448 64.01087178],1
69,31,Bachelor's,Professional,Single,2,Business,[10.14872331 46.64025789 86.86906558],1
70,36,Master's,Blue-collar,Divorced,3,Inheritance,[63.69369346 19.43657183 75.19006376],1
71,23,Bachelor's,Blue-collar,Single,1,Salary,[39.85352803 36.07053964 60.95587321],0
72,49,Bachelor's,Blue-collar,Single,2,Inheritance,[87.38718003 23.63325797 99.12145191],1
73,20,Master's,White-collar,Divorced,4,Salary,[84.34158594 67.27788661 90.21130635],1
74,42,Master's,Entrepreneur,Married,1,Inheritance,[10.93554154 20.40628129 24.50688592],1
75,53,High School,Entrepreneur,Single,1,Salary,[90.99226605 36.47961622 20.21547262],0
76,41,Bachelor's,Professional,Divorced,4,Salary,[13.61757961  6.90786271 80.18311053],1
77,25,Bachelor's,Blue-collar,Married,3,Salary,[66.26948922 49.57437216  9.73276866],1
78,41,Bachelor's,Entrepreneur,Single,2,Business,[72.00382615 66.36848292 83.64519864],1
79,51,Master's,White-collar,Married,1,Business,[12.36381344 72.22275434 26.64275924],0
80,59,Master's,Entrepreneur,Single,4,Business,[84.72009667 58.21624473 81.84823706],1
81,54,Bachelor's,Entrepreneur,Married,3,Business,[24.31887235 64.2673293  94.6202419 ],1
82,46,High School,Professional,Divorced,4,Business,[ 5.75045462 45.11319875 29.79039864],0
83,50,Master's,Entrepreneur,Single,1,Business,[27.15951295  7.99036026 15.5954573 ],1
84,37,High School,Entrepreneur,Single,1,Salary,[ 0.48860215 14.68892799  9.2424178 ],0
85,23,Master's,White-collar,Divorced,4,Salary,[91.21046531 54.71785845 64.952147  ],1
86,39,PhD,Entrepreneur,Single,1,Business,[59.43349911 41.19978127 19.08975383],1
87,49,Master's,White-collar,Single,1,Inheritance,[97.56801656 83.30951475 71.22859758],1
88,35,Master's,Professional,Divorced,4,Business,[3.11927948 5.9574412  1.98694081],1
89,34,Master's,Professional,Single,3,Business,[83.17226776 89.8271778  59.40241161],1
90,58,Master's,Blue-collar,Married,2,Inheritance,[86.11556346 28.02439238 24.71718581],0
91,46,High School,Entrepreneur,Divorced,3,Inheritance,[15.56259748 46.84455426 86.0711623 ],0
92,43,High School,Blue-collar,Single,3,Business,[62.84371267 73.70919188 56.17846338],1
93,41,Master's,Professional,Divorced,2,Inheritance,[56.8075238  16.87041379 19.00791292],1
94,45,High School,Blue-collar,Divorced,4,Inheritance,[82.93688165 54.88467322 45.70579053],1
95,19,Bachelor's,Entrepreneur,Divorced,2,Business,[73.58099471 93.47616162 84.09125773],1
96,22,PhD,Blue-collar,Single,3,Business,[55.30138848 90.40607464 71.58764374],1
97,19,PhD,Blue-collar,Divorced,1,Salary,[39.20622633 37.4206471  33.40236319],0
98,53,PhD,Professional,Divorced,2,Business,[31.90563474 70.8647041   7.97525143],1
99,57,Master's,Professional,Single,2,Inheritance,[ 4.51112054  5.70108998 17.15803331],1
100,61,PhD,Blue-collar,Married,2,Salary,[30.20930198 54.64451006  4.74121   ],0
101,47,Bachelor's,White-collar,Single,4,Salary,[91.64926834 75.15490283 78.55990329],1
102,46,PhD,Professional,Divorced,2,Salary,[75.99525583 68.619989   65.12175082],1
103,27,High School,Entrepreneur,Divorced,1,Inheritance,[41.07500845 39.61144934 71.94651623],0
104,34,High School,White-collar,Single,2,Business,[52.44746085 49.36261062 60.22936134],1
105,49,Bachelor's,Professional,Married,3,Salary,[11.76804869 97.42417624 56.91040488],1
106,58,PhD,White-collar,Single,1,Business,[29.41740423  4.54629733 93.90123975],0
107,46,Master's,Blue-collar,Married,3,Salary,[77.32894897 19.77005414 64.19736154],1
108,47,High School,Blue-collar,Married,4,Business,[33.94529256 83.28199856 22.28052696],1
109,64,High School,White-collar,Married,4,Business,[48.25100713  5.60059807  2.68554302],1
110,44,PhD,Professional,Divorced,4,Salary,[93.90679536 30.99288219 29.72427263],1
111,18,Master's,Professional,Married,1,Salary,[94.13505611 16.76894123 84.51380745],1
112,47,PhD,White-collar,Single,1,Salary,[91.67944229 29.7734323  43.56175897],0
113,29,PhD,Entrepreneur,Single,1,Salary,[12.13245773 92.34949936 49.3977894 ],1
114,55,PhD,Blue-collar,Married,4,Inheritance,[95.92436869 90.30092324 14.86994265],1
115,20,Bachelor's,White-collar,Single,1,Business,[16.60793025 57.28144079 37.17954416],0
116,46,PhD,White-collar,Married,1,Inheritance,[ 0.54632711  9.80671916 65.96548026],0
117,36,Master's,Blue-collar,Single,1,Business,[ 3.2299139  90.90822499 80.54954496],1
118,50,High School,Professional,Divorced,3,Business,[53.64337387 76.78650393 89.18798813],1
119,24,Bachelor's,Professional,Single,4,Business,[23.1178323  97.09556159 77.19384115],1
120,22,PhD,Entrepreneur,Single,1,Salary,[15.37686078 56.39618822 32.57870583],1
121,63,High School,Professional,Married,4,Inheritance,[74.40706627 10.54204885 25.52379047],1
122,59,High School,Blue-collar,Single,4,Inheritance,[82.32056763 39.56673271 71.22853667],1
123,64,Bachelor's,Professional,Single,1,Business,[21.34448475 50.0303555  54.82888328],1
124,64,PhD,Blue-collar,Single,2,Business,[46.90559077  9.83371566 55.04548202],0
125,40,Master's,White-collar,Divorced,1,Business,[99.86278827 25.60932646 16.43579555],0
126,25,Bachelor's,Entrepreneur,Married,4,Inheritance,[11.91560473  3.00599862 44.3281635 ],1
127,25,Master's,White-collar,Single,1,Salary,[12.76582941 91.29022423 34.08645539],0
128,47,High School,White-collar,Married,1,Inheritance,[68.65095557 53.13860823 75.47319564],1
129,39,Master's,Entrepreneur,Married,1,Inheritance,[82.30825551 66.96858765  3.7610308 ],1
130,43,Master's,Entrepreneur,Married,2,Business,[10.76701181 21.55073418 83.76822798],1
131,20,Bachelor's,Blue-collar,Married,2,Salary,[28.86555197 67.42936043 28.43603136],0
132,20,Master's,Professional,Married,3,Salary,[36.9940163  49.48914172 67.29073931],1
133,27,High School,Professional,Married,3,Inheritance,[24.412234   63.88507548  9.12109417],1
134,49,High School,Blue-collar,Single,4,Inheritance,[10.47183944 21.43641208 64.50033421],0
135,61,PhD,Blue-collar,Single,4,Business,[65.05010667 97.44160515 62.95828817],1
136,47,Master's,Entrepreneur,Single,1,Business,[58.96428048 21.7589981  69.3520965 ],1
137,26,Bachelor's,Entrepreneur,Married,3,Inheritance,[10.94171007 47.79716537 77.81835972],1
138,41,Master's,White-collar,Divorced,4,Inheritance,[39.9868822  10.81564047 29.3397689 ],0
139,58,Master's,Entrepreneur,Divorced,1,Business,[53.51694382 55.70121853 89.707585  ],1
140,59,Master's,White-collar,Single,1,Business,[40.76076888 83.39542693 45.22319442],0
141,39,Master's,Entrepreneur,Married,3,Business,[23.43278362 72.06078997 78.51232585],1
142,34,High School,Blue-collar,Single,2,Inheritance,[66.19925597 82.59749228 63.04657121],1
143,64,High School,Entrepreneur,Married,3,Salary,[19.82490346 75.82774266 94.35689434],1
144,18,PhD,White-collar,Divorced,1,Salary,[36.77595936 18.38009565 85.40899785],0
145,53,Master's,White-collar,Single,4,Inheritance,[18.48265421 26.63613593 69.36362306],0
146,31,Master's,Entrepreneur,Single,2,Inheritance,[82.66084954 61.57128675 93.76127511],1
147,57,Master's,Blue-collar,Divorced,4,Inheritance,[18.288883   90.52097214 20.27923001],0
148,22,Master's,Entrepreneur,Married,3,Business,[68.14810979 26.28279818  8.85517   ],1
149,63,High School,Entrepreneur,Divorced,4,Business,[80.64547824 18.38717075 64.49401805],1
150,24,High School,Blue-collar,Married,1,Salary,[27.18216875 61.50998695 97.08754505],1
151,59,Bachelor's,Blue-collar,Divorced,2,Salary,[97.36844733 50.5666917  29.71692477],1
152,25,Bachelor's,White-collar,Divorced,2,Inheritance,[59.39621679  9.84782286 73.18881233],1
153,30,PhD,Blue-collar,Married,2,Salary,[94.57598035 43.15945512 48.23653071],0
154,42,Master's,Blue-collar,Married,2,Inheritance,[47.87069903 24.40386244 12.56307702],0
155,52,Master's,White-collar,Divorced,3,Salary,[16.97322707 60.06653506 43.22113893],0
156,54,Bachelor's,Professional,Divorced,3,Inheritance,[36.77813841 30.55547667 69.19639309],1
157,54,PhD,Entrepreneur,Married,3,Salary,[72.7167151  28.11902686 18.64839061],1
158,59,Master's,Blue-collar,Married,1,Inheritance,[83.09436542 30.02206349 91.10369475],1
159,48,PhD,Professional,Single,1,Inheritance,[65.5714625  33.89743708 78.7554638 ],1
160,56,PhD,Blue-collar,Single,2,Salary,[21.77408733 38.46726569 41.64514706],0
161,41,PhD,Blue-collar,Married,1,Salary,[73.52521292  0.18663846 22.48899959],0
162,59,High School,White-collar,Divorced,2,Business,[80.45215257 31.94141871 82.67279084],1
163,54,PhD,Blue-collar,Married,1,Business,[14.97620404 35.39411862  9.33874891],0
164,34,High School,Blue-collar,Married,1,Salary,[16.54804821 74.46365129 29.37194852],0
165,34,Master's,Professional,Married,3,Business,[61.33376259  8.56819157 13.65762607],1
166,54,PhD,Entrepreneur,Married,3,Business,[ 5.35339819 52.56088659 38.30305029],1
167,28,Bachelor's,Entrepreneur,Married,3,Inheritance,[94.31309584 88.59722508 61.98878859],1
168,25,Master's,White-collar,Divorced,3,Business,[18.67987754 23.34582762 73.15260965],0
169,48,Bachelor's,Entrepreneur,Married,3,Business,[85.8051062  98.45624655 20.00831199],1
170,28,PhD,Professional,Divorced,2,Business,[28.44177457  1.47759475 13.97747587],1
171,63,High School,Entrepreneur,Married,1,Business,[68.8358535  26.50566023 77.53439676],1
172,51,PhD,Professional,Married,1,Business,[88.03557015 86.54280194 60.70129131],1
173,49,Master's,Entrepreneur,Divorced,1,Inheritance,[60.38433613 49.60562849  4.50538223],1
174,59,Bachelor's,White-collar,Married,4,Inheritance,[32.31835227 42.83313201 72.54872699],1
175,49,High School,Entrepreneur,Single,4,Inheritance,[ 2.3430244  62.67879609 57.78413602],1
176,36,Master's,White-collar,Married,1,Business,[52.72153402 96.47078722 54.0353004 ],1
177,44,Bachelor's,White-collar,Divorced,3,Business,[17.42812175 25.0168798  25.77736735],0
178,25,High School,Blue-collar,Divorced,2,Business,[44.07703918 69.40277772 83.09021498],1
179,64,Master's,Entrepreneur,Single,1,Inheritance,[92.68616756 58.93705839 76.03888554],1
180,46,High School,White-collar,Divorced,2,Inheritance,[38.63311355  8.93174143 66.06155344],0
181,30,Bachelor's,Entrepreneur,Married,3,Inheritance,[11.60779915 20.9894132  35.06935289],1
182,42,High School,Entrepreneur,Married,2,Inheritance,[70.51437521  1.32498776 29.70513359],0
183,30,PhD,White-collar,Married,4,Inheritance,[16.94681009 69.16451037 48.73326188],1
184,28,PhD,White-collar,Single,3,Business,[47.16468857 95.61084113 16.37044576],0
185,62,High School,Blue-collar,Single,4,Inheritance,[42.82112716 63.26077919 72.64549911],1
186,25,High School,Blue-collar,Married,1,Inheritance,[18.76488901 41.9132951  21.08413311],0
187,30,Bachelor's,Blue-collar,Single,4,Business,[ 4.20386629 40.38268805  9.04182387],0
188,39,High School,Blue-collar,Married,4,Inheritance,[ 2.53203567 62.41318082 12.46954722],1
189,44,High School,White-collar,Single,1,Inheritance,[62.60991272  1.15689018 29.72807799],0
190,55,High School,Professional,Married,4,Salary,[ 8.8898081  70.23559224 16.41377113],1
191,22,PhD,Professional,Married,2,Inheritance,[57.3045644  95.7754615  27.08621382],1
192,42,High School,White-collar,Single,1,Salary,[15.4281982  13.74281912 33.18261862],0
193,52,High School,Blue-collar,Single,1,Business,[36.13398329  6.95313593 89.32482319],0
194,57,Bachelor's,Blue-collar,Divorced,3,Business,[25.35308614  1.71150884 87.89044512],0
195,59,PhD,Blue-collar,Divorced,4,Salary,[ 3.0815109  32.20373812 57.63231376],0
196,53,PhD,White-collar,Married,1,Salary,[63.35495286 49.56564843 27.7312666 ],0
197,44,PhD,White-collar,Single,2,Inheritance,[40.79365557 75.79868418 30.1808576 ],0
198,20,Master's,Professional,Married,4,Inheritance,[12.57451287 27.61659106 88.57477114],1
199,59,Bachelor's,White-collar,Divorced,2,Inheritance,[94.10244461 84.80651543 89.95897018],1
200,21,Master's,Blue-collar,Single,2,Business,[ 9.92377787 63.55167082 10.08615904],0
201,50,High School,White-collar,Single,1,Business,[32.79770827 17.97567569 30.74324137],0
202,37,PhD,Entrepreneur,Divorced,1,Business,[ 5.59581237 15.65980584 78.85095676],1
203,39,PhD,Professional,Single,3,Salary,[93.09798538 39.09375518 13.3161167 ],1
204,38,PhD,Professional,Single,1,Business,[32.81303178 58.69438448 54.58790121],1
205,19,Master's,Professional,Single,1,Business,[ 3.09655301 17.64460462 70.16596366],1
206,32,High School,Entrepreneur,Married,2,Inheritance,[82.16733395 88.98273391 19.6427825 ],1
207,48,High School,Professional,Divorced,2,Salary,[81.39959939 28.04809698 63.06970136],1
208,20,PhD,Blue-collar,Single,4,Inheritance,[ 3.8173782  77.70167751 49.35681764],0
209,50,High School,Professional,Divorced,4,Salary,[99.69298149  7.24848551 29.89822848],0
210,47,High School,White-collar,Single,2,Inheritance,[89.33498236 79.70911787 32.2353108 ],1
211,21,Master's,Entrepreneur,Single,2,Business,[31.96499414 80.89749776 32.78020499],1
212,21,Master's,Blue-collar,Divorced,2,Business,[14.62112128 88.13099861 11.78779418],0
213,19,PhD,Entrepreneur,Divorced,3,Inheritance,[37.55465628  5.27600648 93.92227626],1
214,18,High School,White-collar,Single,4,Inheritance,[97.63249251 73.8830789  24.91361896],1
215,48,High School,Blue-collar,Single,4,Inheritance,[72.54910372 96.67478248 85.72115236],1
216,22,High School,Blue-collar,Married,4,Salary,[ 6.71895463 57.18800213 32.1550863 ],1
217,27,Bachelor's,Entrepreneur,Single,3,Business,[96.75084264 14.7952683  15.73793549],1
218,40,High School,White-collar,Divorced,4,Salary,[24.50324965 75.88831666 44.86698147],0
219,51,High School,Blue-collar,Married,2,Business,[53.9040019  62.67484921 67.18297199],1
220,21,PhD,White-collar,Married,4,Inheritance,[45.87484759 92.15097869 87.2563756 ],1
221,39,PhD,Blue-collar,Divorced,3,Inheritance,[ 8.16981206  8.13754119 47.86504691],0
222,53,High School,Entrepreneur,Married,4,Business,[74.74714098 74.7969564  33.72361509],1
223,26,Bachelor's,Blue-collar,Single,2,Business,[43.47459028 95.66542487 28.60783782],0
224,58,Master's,Professional,Divorced,4,Business,[ 3.23360849 42.68872382 29.20275974],1
225,24,Master's,Professional,Single,3,Inheritance,[11.28516304 47.253745   39.44487378],1
226,33,High School,Professional,Married,3,Salary,[75.63953992 53.61010799  2.53902054],1
227,25,Bachelor's,White-collar,Married,2,Inheritance,[61.70071677  3.92805283 44.46745022],0
228,23,PhD,Blue-collar,Divorced,3,Inheritance,[10.99020764 26.51850153 93.16431996],0
229,51,PhD,Professional,Married,4,Business,[27.44941149 57.1906446  73.08428767],1
230,53,Bachelor's,Blue-collar,Divorced,4,Business,[83.11692549  3.83669818 88.31503102],1
231,30,Bachelor's,Blue-collar,Married,2,Salary,[29.14574164  5.15967104  1.45115424],0
232,21,Bachelor's,Professional,Married,4,Salary,[27.29845193 84.20742758 58.07269946],1
233,63,PhD,Entrepreneur,Divorced,1,Salary,[54.0298226  66.34168998 44.83187758],1
234,51,PhD,Blue-collar,Single,1,Inheritance,[37.47798734 34.94337387 46.5259852 ],0
235,41,Master's,Blue-collar,Married,3,Business,[66.78017316 77.30056617 83.17039339],1
236,33,Bachelor's,Entrepreneur,Single,3,Business,[95.85365168 95.85997581 68.01295299],1
237,35,PhD,Blue-collar,Single,2,Business,[25.34026741 35.64695061 18.76317273],0
238,18,Bachelor's,Entrepreneur,Single,2,Salary,[75.21724214  3.86147704 48.82569662],1
239,63,PhD,Blue-collar,Single,1,Salary,[ 4.75881658  4.9438003  68.94488116],0
240,46,Master's,White-collar,Married,3,Business,[57.44917417 18.80875921 53.04235508],1
241,63,Bachelor's,Blue-collar,Single,3,Business,[66.9460099  65.55595566 51.41118234],1
242,18,Master's,White-collar,Divorced,1,Business,[81.40329393 47.71551674 16.78046359],0
243,57,PhD,White-collar,Single,1,Business,[41.45445156  4.71479231 90.15565249],0
244,31,PhD,Blue-collar,Divorced,4,Salary,[43.37096725 79.87224532 67.78597772],1
245,42,Master's,Blue-collar,Divorced,2,Business,[11.04810861 38.19151411 60.07721658],0
246,24,PhD,Entrepreneur,Married,3,Inheritance,[38.32935569 89.90674643 66.64478173],1
247,51,High School,Professional,Single,2,Business,[99.05050176 32.75186661 37.36232008],0
248,34,Bachelor's,White-collar,Divorced,4,Business,[44.84211313 45.10823017 55.58239584],0
249,59,High School,Professional,Single,3,Inheritance,[ 8.83212678  0.60177512 21.41667086],0
250,46,Master's,White-collar,Divorced,3,Salary,[29.0101438  47.9599174  26.55501129],0
251,35,PhD,Blue-collar,Single,1,Business,[88.92942182 50.93258215 15.48296329],1
252,25,High School,White-collar,Divorced,4,Inheritance,[60.69631792 74.36738941 15.85726786],1
253,51,Master's,Professional,Married,1,Inheritance,[54.2786259  62.96029681 56.07152356],1
254,56,PhD,Entrepreneur,Married,4,Business,[59.20083799 95.70692002 94.70712592],1
255,35,Bachelor's,Professional,Single,1,Inheritance,[81.4350583  77.98974539 89.71309799],1
256,44,High School,Blue-collar,Married,2,Salary,[36.44176779 54.55113982 35.43922219],0
257,54,Bachelor's,Professional,Married,2,Inheritance,[20.10246774 22.08528624 82.42876154],1
258,30,PhD,Blue-collar,Married,3,Business,[ 7.80004772 45.52670901 92.65440586],1
259,51,Bachelor's,Professional,Divorced,3,Inheritance,[57.23874815 77.90229443 44.78130027],1
260,46,Bachelor's,Entrepreneur,Divorced,1,Salary,[74.01143743 58.52682853 50.96967281],1
261,43,PhD,Professional,Married,4,Business,[96.08038722 48.75288728 35.31295851],1
262,43,PhD,Professional,Single,4,Inheritance,[20.33026732 71.88408655 30.36800998],1
263,29,PhD,White-collar,Divorced,3,Inheritance,[98.11984334 25.47930517 46.6521438 ],0
264,31,PhD,Professional,Married,1,Business,[70.85076091 15.47818626 52.15518702],1
265,18,PhD,Entrepreneur,Single,1,Inheritance,[78.12496582 10.66938489 46.12816768],1
266,42,High School,Blue-collar,Divorced,3,Salary,[15.14515329 51.9436416  45.8745365 ],0
267,27,High School,Blue-collar,Married,1,Business,[87.40538189 35.39521048 60.88713807],1
268,46,High School,Professional,Single,3,Inheritance,[16.82692859 61.52062022 53.7100011 ],1
269,44,High School,Blue-collar,Single,4,Business,[98.90542453 52.42106882 22.75075814],1
270,29,Bachelor's,Blue-collar,Married,1,Business,[32.97669678 58.53060481 42.17825149],0
271,48,Bachelor's,White-collar,Single,2,Salary,[96.85397049 36.0908283  10.48345431],0
272,26,High School,Blue-collar,Divorced,1,Business,[24.85145913 69.85281699 79.17585234],1
273,28,Master's,Blue-collar,Married,1,Salary,[42.57925257 46.76714712 33.91303307],0
274,45,PhD,Entrepreneur,Married,1,Inheritance,[50.65455588 41.5605312   9.67888015],1
275,32,High School,Blue-collar,Divorced,1,Inheritance,[66.72236827 18.26770195 33.63178781],0
276,47,High School,Entrepreneur,Divorced,3,Inheritance,[53.12506675 65.57106554 10.35172908],1
277,31,Bachelor's,White-collar,Married,2,Inheritance,[68.96312683 45.76701088 40.131184  ],0
278,44,Master's,Professional,Married,1,Inheritance,[ 5.66819661 40.65672397 56.93343869],1
279,32,Master's,Blue-collar,Divorced,3,Business,[91.37045128 89.87491297 93.33944316],1
280,58,Bachelor's,Professional,Divorced,1,Business,[79.50878657 13.37855924 82.09289209],1
281,51,Bachelor's,Professional,Divorced,3,Business,[55.50757577 14.76973309 34.97424008],1
282,21,Bachelor's,Entrepreneur,Married,3,Business,[75.56598762 80.14261831 83.0881621 ],1
283,33,High School,Entrepreneur,Divorced,1,Salary,[17.85974124  0.6460983  12.89195303],0
284,63,Bachelor's,White-collar,Divorced,1,Salary,[ 1.43080392 46.96101065 69.0311877 ],0
285,45,Master's,Entrepreneur,Single,3,Salary,[34.63946878 19.16741166 93.29808228],1
286,28,Master's,Professional,Divorced,3,Business,[11.22140219 30.15942944 30.04441374],1
287,42,Master's,Professional,Divorced,4,Inheritance,[96.93569242 43.18955673 59.25132926],1
288,50,Master's,Professional,Single,3,Inheritance,[31.82658093  2.73355483 59.35564819],1
289,42,PhD,Entrepreneur,Single,3,Salary,[29.863566   50.85163785 89.26519652],1
290,59,Bachelor's,White-collar,Divorced,4,Salary,[53.9426028  71.56568647 21.74529507],1
291,50,High School,White-collar,Married,4,Business,[99.4230597  60.36117131 61.88042552],1
292,49,Bachelor's,Blue-collar,Single,2,Business,[98.50861383 87.37228684 23.2142015 ],1
293,48,PhD,Entrepreneur,Divorced,2,Salary,[91.73381362 32.54180599 70.76119763],1
294,24,PhD,Entrepreneur,Divorced,1,Inheritance,[98.64289012  2.30279619 88.9492109 ],1
295,26,Master's,Professional,Divorced,1,Business,[96.48084009 59.07486403  3.38640878],1
296,24,Bachelor's,White-collar,Married,4,Business,[58.03432172 63.81271015 46.35673461],1
297,52,Bachelor's,Blue-collar,Divorced,1,Salary,[ 0.11301177 98.83583273 60.96981434],1
298,37,Bachelor's,Entrepreneur,Divorced,3,Inheritance,[53.46561979 76.81435846 78.69443629],1
299,39,Master's,White-collar,Single,2,Salary,[59.22219082 34.86025005 30.12236153],0
300,18,Master's,Professional,Married,4,Salary,[26.7126124  20.84855542 38.79929618],1
301,50,PhD,Professional,Single,3,Inheritance,[62.54776717  8.55948538 60.10292222],1
302,33,PhD,White-collar,Divorced,2,Salary,[17.08621419 20.32019311 21.67475128],0
303,47,Master's,Professional,Single,2,Inheritance,[69.94036592  9.06778293  3.66942216],1
