,Lines of Code,Cyclomatic Complexity,Number of Functions,Number of Classes,Function Complexity,Class Inheritance,Test Case Count,Developer Experience,label
60,128,22,3,14,4.819052670985072,0.8107145132851717,3,4,1
61,320,25,10,5,8.251358086748366,4.345055505531647,11,9,1
62,365,14,14,13,6.322294204630285,1.7395461564952868,49,6,1
63,233,21,15,16,6.552256083576733,1.733805200435451,44,1,1
64,177,9,46,11,7.713361580781405,3.9929891689580614,25,5,1
65,245,12,44,10,9.15700633133074,3.1225549078063564,3,9,1
66,190,16,4,17,7.135005853185845,2.5682555513034173,31,5,1
67,223,16,11,1,8.726293147540765,1.8406514915699113,14,7,1
68,96,17,30,7,3.7347942796027533,0.9547331204219228,29,2,1
69,329,6,25,3,6.14416946594454,2.03005057570033,0,4,1
70,165,8,40,6,3.5067072397956256,3.9124434828962817,46,2,1
71,395,16,3,14,3.927920244274313,1.0224122171622558,48,2,1
72,263,12,39,11,8.930899706003983,1.6953400383454813,8,8,1
73,165,16,34,9,3.34815804067056,4.620003320176437,39,5,1
74,274,20,23,16,6.8892127272025,4.87458206676709,15,0,1
75,427,17,46,11,9.45836808143223,2.1861321678712335,7,1,1
76,117,23,35,2,4.890624588739594,2.1863851995789125,34,9,1
77,223,24,30,19,6.143895130877316,3.3128603166644677,42,2,1
78,78,15,47,3,1.2486746746213162,1.606685724538427,34,7,1
79,81,19,13,12,2.1710276469463183,0.15506770981135842,20,3,1
80,72,5,48,1,9.872135442697365,2.9561209370013297,25,0,1
81,82,27,36,10,0.6408023720777412,4.080039156993557,43,1,1
82,128,5,13,7,8.11376079940768,1.8538574476544711,45,2,1
83,218,27,15,3,7.783060829642777,1.9125551326638774,4,6,1
84,360,28,23,13,4.3305436841186165,1.9571920823011646,13,2,1
85,470,20,44,1,2.241496725512877,2.266051075802957,39,5,1
86,64,9,49,9,7.18624536012176,1.2786687958987035,37,4,1
87,148,22,34,3,0.15907516723641213,4.086464905068342,43,4,1
88,449,29,45,15,8.51990089528132,2.4793533382501627,14,4,1
89,104,25,6,13,0.13634917343655295,1.541985142357284,25,9,1
90,308,24,2,6,9.100714994550941,0.6199982159676382,2,3,1
91,245,14,42,17,3.8256796801560955,1.5967454255038378,6,5,1
92,459,9,2,10,0.31225321068921175,2.64098523944394,17,6,0
93,361,16,36,5,4.560684754379683,0.6356036259984693,2,9,1
94,451,12,39,10,3.502385377345104,0.884217330314826,13,1,1
95,153,22,46,16,9.094987605642055,0.06032426933268553,46,1,1
96,244,26,43,9,9.90392149959696,4.390453445275563,23,7,1
97,177,21,33,11,5.813618666130643,3.6387703590966174,38,3,1
98,415,25,6,1,9.685949881811547,4.005497590335809,2,3,1
99,240,7,47,1,9.825269174149774,4.716965261177524,1,6,1
100,272,19,23,15,6.59159363557428,3.7279376890234346,6,8,1
101,149,27,21,17,9.109661968460953,1.5690123188019585,48,3,1
102,224,21,21,8,6.544374324843732,4.185313499234668,5,6,1
103,132,20,30,19,3.6914734306565977,2.0266589316738486,12,7,1
104,228,11,20,1,5.399613180576753,2.743305746737767,20,2,1
105,54,24,38,12,7.510384183444731,4.713095434249158,1,3,1
106,335,28,48,4,6.891698191009846,2.9766624823882193,37,9,1
107,450,24,45,3,4.50067087745442,1.0071981293021364,43,5,1
108,473,21,12,13,3.6672732559476873,4.0777088943676265,32,0,1
109,384,29,48,15,7.623219773665429,2.4827333443650956,36,3,1
110,188,5,20,2,3.316721897786352,1.4083679728918597,2,4,1
111,450,10,30,8,9.667857132941837,0.29441675267469936,35,6,1
112,271,24,30,16,1.8691634732152163,3.3438443817213597,21,8,1
113,341,13,17,6,5.590748211081622,3.9354466981483864,18,8,1
114,191,16,8,2,1.1327432153187489,3.1309473154773624,5,1,1
115,309,13,9,8,6.733472263141013,4.4472642185452145,37,8,1
116,132,22,3,19,2.4511489846966192,1.8597813982304352,7,4,1
117,316,14,15,12,8.127232230544006,2.782305497025604,25,5,1
118,71,25,8,1,8.61054019718024,2.1790424199313967,18,1,1
119,310,6,34,1,9.821128595407883,0.8725364809554703,15,1,1
120,232,27,18,11,9.073162020668743,4.219349873530998,3,9,1
121,313,17,35,13,4.754396357441911,1.7982693334041429,37,6,1
122,269,6,36,6,0.5603377053618097,2.462249189898842,47,0,1
123,62,17,44,17,9.865558309098985,3.717602443465614,4,0,1
124,224,13,5,6,5.840699783890068,3.169059926914885,40,1,0
125,339,24,44,4,5.423227720272072,3.8586412603769533,49,0,1
126,258,9,34,4,2.9512224743043336,0.009278047733292105,47,0,1
127,407,10,42,12,2.1868933308035343,2.836426272014416,21,3,1
128,174,19,38,9,6.5545744826660854,2.9098421668487147,3,4,1
129,86,12,15,9,6.225166456502786,4.386272825241095,15,0,1
130,148,28,25,12,5.1206966239153235,2.058426898989678,28,3,1
131,381,27,7,5,6.158363391472742,0.15386471535098645,21,0,1
132,499,13,10,19,2.5360621007455695,1.7041323770722587,11,3,0
133,140,14,42,8,6.906786160472334,1.8326514594711574,13,3,1
134,444,19,27,17,1.8139945010874792,3.1115289357232205,24,3,1
135,115,26,44,10,8.917278131040385,4.769496454135961,10,6,1
136,261,16,27,10,5.629595610018904,2.6622349008382944,41,2,1
137,288,10,48,14,0.9920710296869184,3.1900652416093895,19,9,1
138,456,25,3,5,9.260933447627954,0.8662617650642096,46,5,1
139,117,20,11,12,6.478673927405632,3.8940573110280132,19,5,1
140,412,16,47,6,2.2735744492000043,4.559869024196049,9,4,1
141,273,8,41,4,9.851904515306462,0.8434186318721981,45,1,1
142,234,11,39,5,9.342285682313618,1.0012369281164162,26,6,1
143,436,9,48,19,8.744086129859618,4.673764664310582,5,3,1
144,439,20,48,4,9.849316094256624,1.748432236493761,7,4,1
145,332,13,38,14,9.726551012331369,3.970499742660127,41,7,1
146,396,19,12,16,0.9040463902095852,4.459890409358823,32,4,1
147,383,18,43,4,5.541279650095031,3.7104713626756296,48,3,1
148,443,21,6,18,6.925101197728437,2.955294297766148,16,8,1
149,387,26,6,1,5.289170365736098,1.0731533168120322,14,7,1
150,269,24,7,11,2.974897612349917,3.1225132150114296,37,0,1
151,333,22,6,13,7.208916350581639,1.5573427565676763,4,0,1
152,414,19,15,7,2.1949332520428886,0.13176207877969914,27,0,1
153,254,14,9,19,2.2092784279707356,1.159624642011623,49,2,0
154,268,14,37,16,6.924587128463598,1.4017543339760574,5,0,1
155,273,8,4,16,7.17873215155201,3.0956224516382203,32,3,0
156,305,23,1,2,6.752334067855729,2.24018216691329,19,7,1
157,109,18,17,15,6.074783300443646,0.9192634930580218,28,5,1
158,62,6,25,7,7.525408835674333,3.05336491185413,35,7,1
159,147,27,5,17,2.5388352438706443,2.2325965300591304,10,0,1
160,286,18,30,16,1.9726062314069859,0.5199880388607464,13,6,1
161,208,14,17,5,7.2890686136797065,4.039610068852854,33,1,1
162,448,17,44,14,2.3972415744182065,3.576526722938675,37,7,1
163,185,6,18,13,5.483604605535568,2.9971610560056066,5,7,1
164,421,13,18,12,0.817115990277395,2.77849087632534,10,6,1
165,426,6,39,19,8.582597027994204,1.6215263434074574,45,8,1
166,310,15,40,15,9.950407515020363,3.5004264201452577,13,0,1
167,192,19,26,5,4.8158343450326955,3.1960230543660444,16,6,1
168,234,25,3,17,6.010085783233712,4.932995951217501,1,6,1
169,167,7,23,19,0.24891153664762578,3.462752126882566,5,3,1
170,172,24,40,3,9.568318698617809,4.037696504709994,49,0,1
171,248,10,9,1,8.047489876117364,3.0799629600479688,5,6,1
172,449,29,16,19,4.865784516025301,1.7238861837360493,1,7,1
173,475,17,14,6,1.2663017157185574,4.100970075079193,8,0,1
174,315,10,24,17,9.334994366475808,2.7810830023244937,17,5,1
175,116,12,7,5,6.0843589499704365,3.734305975243464,36,4,1
176,463,8,26,7,5.921765360979779,2.071904657971657,22,9,1
177,109,12,8,6,7.415550175899646,0.5637231639965262,31,0,1
178,317,10,38,2,0.2666683266579306,4.318937142000515,6,0,1
179,309,8,24,17,0.6473452494598331,4.503924187936887,5,9,1
180,386,6,39,17,3.8167557749892875,3.7800562181460124,14,9,1
181,225,25,34,8,3.4371751566911746,1.2554797138010176,31,8,1
182,67,27,39,11,8.42849641618182,1.599712499158974,49,1,1
183,348,18,15,14,5.34318868518983,0.7380788564974944,18,7,1
184,147,13,21,19,8.496034957528941,2.653850155005241,44,4,1
185,439,20,48,5,4.87715598154808,1.6665527901896353,16,4,1
186,66,21,26,6,6.857881597126013,2.8184876856627135,20,2,1
187,438,19,5,17,2.418787458318039,3.652611486103874,6,7,1
188,452,29,16,8,8.763658475437051,3.612950691268187,43,6,1
189,144,14,14,6,4.771112265222036,1.922203700046361,5,5,1
190,167,8,5,14,2.5207420257747293,0.9100675381213641,42,3,0
191,391,29,2,8,1.614531568819475,1.1463556218357174,14,8,1
192,497,18,2,16,5.026074286840851,4.910518516711941,32,4,1
193,405,9,11,15,0.6972574385211194,0.400745820712749,24,6,0
194,187,6,21,3,4.8591142008888175,3.444836957831722,26,6,1
195,95,25,6,10,3.041633236803966,2.174010377158981,44,5,0
196,319,7,2,10,8.24788449180906,2.472652005577858,45,1,0
197,168,19,29,19,3.748113611576922,3.377804561909996,25,9,1
198,205,29,6,18,7.655936058232145,1.8953216632690877,27,3,1
199,362,17,44,16,2.1848610721723905,0.6029765776568924,23,7,1
200,128,15,6,2,5.929102048487555,0.8994718837078586,8,2,1
201,292,18,31,17,6.074345322663779,3.378737279385394,42,0,1
202,485,20,43,3,8.228807800769614,3.9390479353371575,18,6,1
203,329,6,23,5,6.198530089269011,2.274560556514605,5,7,1
204,141,7,38,4,3.108409570069035,0.8456909910692834,46,1,1
205,436,7,29,12,6.919978371301022,4.231917546317481,29,0,1
206,145,19,33,13,4.960750410527557,4.308363127266967,20,5,1
207,367,5,44,19,9.746794273148499,3.353650443000895,49,9,1
208,495,15,42,13,0.9788972886110359,0.732957610846211,34,1,1
209,160,26,26,5,8.849213327188197,4.622808226627147,41,9,1
210,385,24,10,2,2.9496119424961154,0.2638665530597878,27,7,1
211,313,13,6,10,5.401898462468653,1.9420750965097096,15,0,0
212,182,12,10,9,2.171346841138402,0.31382182352277355,44,9,1
213,257,22,43,2,7.697630897374808,2.6376417527926894,38,2,1
214,121,11,6,15,1.502975525237552,0.30645819694640697,35,3,0
215,475,26,7,7,8.565459100406624,0.12353720235334764,37,7,1
216,235,10,46,17,8.618526345427973,0.9471313927178815,46,7,1
217,255,23,39,17,5.224104475144834,0.06255839235935146,37,1,1
218,381,23,4,10,0.21587944237361545,2.289417063956369,18,1,1
219,473,5,45,1,9.280966009727386,2.9330599868756853,7,7,1
220,196,21,47,18,1.7587052441755158,1.6224457105488481,13,5,1
221,333,5,37,12,8.215229222875552,1.7500927056208964,16,9,1
222,232,16,25,8,6.631006667972981,0.27535936479358925,12,1,1
223,120,10,2,1,7.021840427709526,3.437769790976048,32,9,1
224,360,28,46,18,0.9221844131232226,3.6079336425741646,16,0,1
225,441,16,36,14,5.261431729881128,3.784234288594007,28,7,1
226,255,5,28,8,6.378416740407821,1.561991514239175,21,4,1
227,301,23,16,12,1.4375692011871133,1.4294421790826861,46,5,1
228,255,11,20,18,6.709805902256302,4.659606125888956,31,3,1
229,281,9,22,14,9.488988824584943,3.729110990910693,10,5,1
230,129,27,43,1,8.485930423253672,4.794078463320625,28,3,1
231,239,21,34,9,1.2896493200642178,1.8184429271936764,23,0,1
232,432,24,30,13,1.822239945965629,2.877958336308804,25,9,1
233,102,22,11,9,4.276598177094169,2.490317973585397,34,4,1
234,303,25,32,3,8.174264419935934,3.2987811931024167,28,2,1
235,267,23,32,4,5.5553010024786,3.547626515912596,43,7,1
236,439,20,21,19,4.513130137239748,2.357658316994172,31,1,1
237,344,8,24,12,1.8170366495893242,1.3865056935172189,29,7,1
238,100,21,29,19,7.577679588268489,3.808818145862757,6,7,1
239,307,25,27,4,7.073588677367648,2.7983527984543337,39,6,1
240,314,18,3,10,5.144845897361754,0.8512708904815142,11,7,1
241,382,26,49,18,6.040425518796246,2.2172221997185684,43,1,1
242,464,26,34,11,2.4752648475624692,2.7354221879439855,1,5,1
243,133,10,29,19,9.229297730766392,0.2028150274331103,44,8,1
244,361,21,28,13,7.1438781118845665,1.374287221116965,18,4,1
245,371,6,31,2,4.438648723431184,1.9295814813975498,42,3,1
246,297,26,48,3,3.2913251324064676,0.730394614201898,14,0,1
247,193,7,9,8,8.71851636364459,2.2688696151347996,3,7,1
248,260,16,39,8,8.967704033658116,3.8445796294930252,47,2,1
249,129,20,3,6,4.190948921829706,4.500168309093061,29,8,1
250,353,16,6,3,4.8352014333709645,1.1654917702544547,15,7,1
251,321,20,17,3,4.711947248875558,1.9556230799544654,34,0,1
252,381,18,48,10,5.3098106785584775,4.250436142299368,13,1,1
253,340,24,15,5,8.911444873316013,1.624993737359775,44,5,1
254,123,21,25,14,8.256032401114767,4.596736757450075,5,2,1
255,150,27,23,6,9.26673015989975,0.26718566296955626,4,6,1
256,79,20,11,13,1.136079074090376,0.5059437915040116,41,1,0
257,219,20,23,10,0.5748402652877804,3.0378928150462627,1,8,1
258,342,22,24,9,8.616971895744367,4.794309195219296,35,1,1
259,71,7,16,12,1.4848643678227358,4.328208853467824,45,7,1
260,214,5,29,2,5.112092260423202,3.5842361115639254,6,2,1
261,421,7,24,11,0.3219050319649919,2.8885095058019306,0,7,1
262,272,11,13,8,1.956088741646137,1.2197927560558142,38,4,1
263,422,24,21,4,1.761338678384805,1.446533126514817,38,9,1
264,214,18,36,18,6.422525552489531,1.4516500137521793,26,5,1
265,351,27,8,6,3.979185183310463,4.926976006292409,14,2,1
266,391,20,45,7,6.622516163755682,2.4536967992324454,30,5,1
267,393,6,14,19,1.5910571554494124,1.3808014161999804,31,0,0
268,352,6,11,8,8.445815583520519,3.916019009042966,24,3,1
269,210,9,46,17,2.8871375085813353,3.013199598730598,14,4,1
270,277,12,29,2,3.556114054815626,4.225832155273477,20,8,1
271,442,29,3,18,4.576704959956462,1.857752954202584,4,6,1
272,215,29,10,5,7.58427953402459,3.6163779713462008,3,9,1
273,398,20,20,10,7.627256457365754,4.410065495679309,24,6,1
274,246,8,6,14,8.567822730277323,1.9771483231490379,46,6,0
275,328,28,7,8,1.128789670543241,0.8644872048607083,24,6,1
276,243,29,28,6,7.194335139954066,2.3981522979943355,28,5,1
277,87,19,30,11,9.952051587843233,2.289897002960017,18,1,1
278,258,18,49,14,1.48988698260071,2.032263440990822,37,8,1
279,336,26,31,13,2.2336177184217942,2.1525492033011013,49,7,1
280,113,24,36,8,7.503438306836827,0.14083092300667122,48,6,1
281,492,20,18,5,2.690529115143414,4.596261207227222,5,2,1
282,110,28,23,5,0.6885313717460639,4.528356981201249,1,9,1
283,215,5,19,8,3.195664548736289,2.1121998087761713,28,4,1
284,241,15,42,14,6.846311169371704,0.609510469878079,28,8,1
285,177,18,31,10,2.124370703676747,3.2353971274892803,8,6,1
286,365,26,26,9,0.1760978765653476,2.1421422037357645,47,3,1
287,94,21,49,11,4.388674105430442,3.9683270431070494,32,2,1
288,93,20,40,15,9.92476417347703,0.9846996036037609,43,4,1
289,342,11,47,19,7.473748140934725,4.141289410203849,21,9,1
290,435,18,31,11,6.024440282789404,4.085286710767642,25,4,1
291,465,17,14,1,9.922720696392673,3.297481507861409,21,7,1
292,392,23,27,15,9.532511092220664,0.6285000481573122,12,4,1
293,386,21,9,16,2.6201416395978594,3.4853299913216422,6,2,1
294,487,12,32,17,2.877174038090724,2.193188510630974,43,5,1
295,401,29,12,16,6.861269556844867,3.971716478645775,31,3,1
296,55,20,6,18,6.174316238839987,1.315648819241516,41,8,0
297,196,6,13,1,8.561755934153352,4.81894342744001,14,9,1
298,473,29,31,6,8.576739500251275,3.666300074993061,19,4,1
299,438,17,9,10,8.685168580158917,1.6136080744606267,4,4,1
300,345,24,17,12,1.9893517854239173,0.01962798363969176,8,1,1
301,355,12,10,5,5.2537806418857524,2.9765261814903883,43,5,1
302,109,10,23,11,8.598337352663867,2.4687802140451405,41,5,1
303,219,12,25,5,7.76150024920652,3.616336347323622,41,8,1
304,210,26,42,4,3.292808656079308,0.7041987277304068,47,7,1
305,55,18,17,5,8.243485543638435,2.7869249178484,6,9,1
306,93,24,26,7,0.19222244177195646,3.7629254337492286,42,7,1
307,472,8,36,1,8.377161976724448,2.824905924942747,47,9,1
308,241,10,37,6,6.530735131691259,4.250647002085999,1,9,1
309,340,6,14,1,7.754439681867172,4.536828773566088,26,7,1
310,163,21,3,3,4.917163324321528,2.8453632936592816,49,1,1
311,457,12,5,13,9.96893485011983,4.919784267999908,31,3,0
312,370,14,29,6,9.593985978665781,3.453985929019858,5,7,1
313,398,13,48,19,5.930388033173336,1.206662071455138,29,5,1
314,141,24,42,1,8.890851825359785,3.106352174627859,20,9,1
315,81,27,17,15,5.442173003833746,1.305727427273241,27,3,1
316,407,11,20,3,5.233926561134759,1.7010083885011822,25,5,1
317,499,25,37,12,8.720842358562306,2.0331591613302447,16,0,1
318,286,10,46,19,1.9377480251238544,3.1720565575731667,40,0,1
319,326,18,29,16,3.0961527956706556,3.21031844257212,26,6,1
320,380,22,25,6,8.462702199753085,1.8433557437355748,19,2,1
321,172,19,18,9,5.49852108419901,2.946251329578123,47,3,1
322,162,21,1,6,7.484133345049778,4.86997434613409,15,1,1
323,419,7,26,15,0.9146219952632395,3.254078851509148,0,2,1
324,438,16,48,2,1.2625146531653375,4.167355122939166,48,9,1
325,349,10,5,12,7.109918306435858,1.828660904019352,12,7,0
326,481,17,20,14,0.6879021090246207,4.81905261617775,17,8,1
327,90,6,43,13,9.783198240299965,1.3378719360497027,9,3,1
328,393,14,22,14,3.1722749988313104,1.6441002779408547,19,2,1
329,115,6,39,12,4.43448981933529,4.9004101483722655,1,4,1
330,67,9,34,12,0.603035721896561,2.2317351358674022,28,0,1
331,394,22,36,17,6.447639768992514,0.4697831236640465,5,3,1
332,92,29,24,4,3.9978427351768064,0.09147439122238477,16,3,1
333,95,5,40,10,9.632180225272485,2.6883823609332644,16,3,1
334,363,20,17,15,8.61012525410589,1.4706367533741087,49,1,1
335,263,21,42,9,1.403172344950685,0.4241271748348624,19,3,1
336,63,22,27,5,4.176204519984072,2.8150092831568365,45,7,1
337,347,16,23,3,0.19271902148071285,1.7170932885658508,36,7,1
338,412,15,34,3,3.9091424696127044,3.9517683298688078,37,4,1
339,245,23,30,2,5.916289045002139,3.5934082780118466,5,1,1
340,247,9,19,19,7.505953507955645,2.0404738371809255,10,8,0
341,59,19,29,4,0.8849317864397055,2.740586679089176,30,5,1
342,372,17,43,13,6.4637168031897225,3.8840905309969513,32,9,1
343,396,23,16,5,5.720971571684014,1.31057515481052,43,7,1
344,418,18,6,5,8.239080732046464,2.0788638428463306,28,2,1
345,71,5,9,13,6.7171802163015375,0.131676562667144,11,9,0
346,55,19,44,11,0.30069309964522284,1.3856556473666544,49,4,1
347,301,21,33,13,3.890178989101838,3.9909069554826515,34,3,1
348,144,19,44,5,5.254109982434503,0.6987588651904941,25,3,1
349,220,26,38,3,7.064513386134463,1.6077762066758605,5,0,1
350,112,19,26,4,0.1952228076779705,4.68806031232943,22,2,1
351,110,19,39,10,1.380651790784374,3.854606580345176,48,8,1
352,299,5,8,13,7.669551236170896,3.031336352287441,18,2,0
353,204,17,16,15,3.3937257342474747,1.2235638649887677,21,1,1
354,402,11,39,1,2.4658334363253753,0.803309009503575,25,4,1
355,368,10,12,10,8.237416243974193,3.5705298419710294,6,1,1
356,125,23,25,11,9.03710623706499,2.783662200127081,31,6,1
357,321,28,28,6,6.3172579014355374,2.697920277588863,13,3,1
358,325,6,9,11,2.0552531878220357,3.001667786141255,22,7,0
359,75,8,45,11,5.6222644446270165,1.4831786796134339,49,4,1
360,169,9,29,3,2.1422404752320356,0.25302540835354437,6,5,1
361,156,6,36,6,7.689310245745001,4.630124740441636,19,5,1
362,65,9,42,6,8.546614781893947,1.8905439247944416,36,3,1
363,270,8,45,14,4.425432001964057,1.1827207087516927,47,9,1
364,149,29,43,12,2.9551499757857513,2.755701412195373,39,8,1
365,123,27,22,12,2.5978670177624963,1.896373898520109,3,8,1
366,294,20,37,5,4.320458663053364,2.3592201295114994,2,7,1
367,234,6,4,2,0.7154437089229648,0.7165923531380713,20,3,1
368,455,27,27,2,4.1148300815952155,3.474329609837703,19,2,1
369,431,15,22,3,9.664261071035215,0.5824235920213855,19,5,1
370,409,26,22,12,7.1148587696791274,4.1830490303317704,23,4,1
371,277,29,2,8,7.546996549775644,0.37691396789228615,21,9,1
372,200,7,13,13,0.8821823207955326,3.1120708212000125,24,7,0
373,228,5,43,17,1.3001702993572395,2.4121179753496302,49,1,1
374,490,8,31,15,8.272844662229963,2.902427320609571,24,9,1
375,473,6,13,5,1.9637310581167144,1.7636352605688632,25,4,1
376,323,18,47,14,7.614720886567733,3.625636415201741,48,9,1
377,134,14,4,16,8.989762864257889,2.603077526525148,14,6,0
378,70,7,4,15,2.7815114480051326,1.92813569727039,16,9,0
379,352,25,35,8,8.879944025805592,1.0431657057500137,4,1,1
380,319,25,46,18,3.4819053261537682,3.5683733925483523,11,4,1
381,103,18,7,4,3.8116549963767565,4.250640580984838,42,3,1
382,402,20,13,15,2.9004466311283994,3.524708363125156,32,2,1
383,305,23,40,11,6.203050079341541,0.5159478626321018,1,3,1
384,453,15,43,12,4.583314045004022,3.468864968915466,19,5,1
385,249,21,32,1,4.032491980373184,0.945082329442451,4,9,1
386,256,28,1,2,5.217774826426097,4.111445156204492,29,2,1
387,125,23,4,15,5.320553171679823,4.291415650256209,37,8,1
388,176,29,26,9,6.231573361821891,3.14635959569269,2,6,1
389,298,8,42,12,0.02253750338449323,1.0881297403038364,45,9,1
390,347,14,15,8,6.481530172313929,1.9716045545636574,4,1,1
391,108,20,11,19,9.837246942263853,2.009435273376023,3,7,1
392,184,6,18,4,3.3203205009661763,2.004916862098574,43,8,1
393,87,6,39,17,8.793555183172272,3.448884702087514,22,1,1
394,327,20,33,3,8.066545500648882,3.1966429219676558,40,8,1
395,496,6,40,13,3.3617924638197105,0.08780059403809881,40,5,1
396,496,14,12,19,3.6520455457006773,0.3485400419144924,31,4,0
397,458,15,42,16,0.5593260647286191,0.050406506746733526,45,0,1
398,487,14,47,9,4.015031656871553,0.963553568587408,19,0,1
399,472,12,19,13,0.7090439299696238,0.539696682156538,42,6,1
400,352,24,45,2,5.42911412029397,3.548983000233604,20,4,1
401,157,14,48,11,4.006558342572126,4.929339048452434,15,4,1
402,192,6,22,19,7.260619263411467,4.160412060218863,33,2,1
403,122,22,25,5,2.61121127224341,1.710542980379568,17,5,1
404,278,7,3,12,1.1546740109226539,3.3825408253383618,7,6,0
405,262,25,8,14,3.1818984756484294,3.3841444584236853,2,1,1
406,470,15,38,13,1.2509432935241926,0.7904060576091476,12,2,1
407,211,8,29,18,2.6593470643720196,0.9238794253654431,48,0,1
408,261,17,17,9,6.356260654641686,2.7415015160768927,21,3,1
409,476,8,49,5,6.850475092771546,3.787121031393119,18,2,1
410,486,29,40,16,9.20412867269178,3.6266176642497507,42,1,1
411,371,7,5,18,4.188984588667659,0.9123258757288755,8,4,0
412,119,9,42,5,2.1863347471566366,3.3062888012948957,17,7,1
413,401,20,3,1,1.3035852380066093,1.438152548915554,19,1,1
414,72,28,41,2,1.3644940093028646,1.467251686734869,37,1,1
415,202,8,7,9,1.283829653036942,1.789557540279204,34,5,0
416,447,25,49,1,3.0081300635239208,2.4146902915916084,1,3,1
417,110,26,31,1,0.7884356884808175,4.924920975305225,39,5,1
418,367,27,45,10,5.830895743418206,0.5002111548242238,44,9,1
419,180,20,40,9,7.513862937657256,0.609636457078907,30,5,1
420,285,24,3,12,4.2842751432130015,2.6223155558607103,14,3,1
