,age,attendance_rate,average_score,num_subjects,num_activities,num_awards,num_suspensions,parental_education,parental_occupation,family_income,label
65,16,45.32888347480276,0.81,9,2,3,9,primary,self-employed,46617,1
66,14,52.439026932758004,0.89,5,6,2,0,secondary,blue-collar,19597,0
67,14,44.07627469382282,0.79,4,7,5,1,secondary,self-employed,35557,0
68,16,40.0763060875326,0.8,3,10,2,9,tertiary,self-employed,17737,0
69,16,55.96403313082179,0.91,3,1,5,3,secondary,blue-collar,56792,0
70,13,15.52402459307125,0.8,5,6,10,4,primary,self-employed,54768,0
71,17,18.19281304952711,0.94,10,4,10,1,primary,blue-collar,51101,1
72,17,86.17856210135173,0.91,1,10,8,0,primary,white-collar,27276,0
73,14,94.61154621336327,0.89,5,4,5,8,tertiary,blue-collar,17310,1
74,17,37.330931627975296,0.98,6,2,3,0,secondary,blue-collar,45167,1
75,14,27.074467314355378,0.71,7,4,4,3,secondary,white-collar,47408,1
76,13,64.39995432390158,1.0,9,1,5,1,secondary,blue-collar,29344,1
77,16,40.87341710980964,0.77,3,3,10,10,primary,white-collar,20391,0
78,16,2.538635566034486,0.8,2,5,2,3,secondary,white-collar,20892,0
79,16,15.615259736619036,0.72,3,0,7,7,primary,blue-collar,21197,0
80,17,71.59722288473975,0.8,9,9,3,7,secondary,self-employed,23050,1
81,13,65.89239419101514,0.67,7,3,7,10,primary,self-employed,46142,1
82,17,2.709599250348349,0.99,9,5,9,8,secondary,white-collar,55679,1
83,17,22.197216193294945,0.66,2,8,9,10,tertiary,self-employed,51615,1
84,13,23.10747965880714,0.82,5,10,2,4,tertiary,self-employed,57553,0
85,13,67.18927435987284,0.91,4,10,9,6,primary,blue-collar,53728,0
86,13,1.9710537754364155,0.7,2,1,6,2,primary,white-collar,23535,0
87,13,10.410858198457385,0.81,9,10,10,9,secondary,white-collar,51002,1
88,16,79.99160853731894,0.81,9,6,8,3,secondary,blue-collar,53271,1
89,15,17.85446620543336,0.84,6,5,3,9,tertiary,self-employed,15122,1
90,15,65.27461078518748,0.81,6,1,7,8,secondary,white-collar,19852,1
91,13,23.81827810467265,0.87,8,7,2,9,primary,self-employed,15387,1
92,15,9.944139275934516,0.88,6,6,6,9,primary,white-collar,41759,1
93,15,24.317219099945408,0.72,1,10,2,0,primary,white-collar,50399,0
94,13,72.22669318556592,0.77,4,4,6,1,primary,white-collar,49994,0
95,15,85.56964681062857,0.61,7,4,10,4,primary,white-collar,47876,1
96,17,83.02198645669915,0.88,2,6,9,2,tertiary,self-employed,44878,0
97,14,39.71835296184548,0.8,9,8,9,1,tertiary,self-employed,43725,1
98,14,66.80851365706462,0.74,8,10,10,0,primary,self-employed,17146,1
99,13,20.498429541582098,0.86,8,8,10,9,secondary,self-employed,10560,1
100,16,29.314773026101328,0.9,7,8,5,2,primary,blue-collar,11312,1
101,13,89.63358185211197,0.74,4,5,1,0,tertiary,white-collar,28205,0
102,16,1.3001923510736035,0.82,2,9,10,0,primary,white-collar,21595,0
103,14,8.550853085446807,0.83,3,5,2,0,tertiary,white-collar,32030,0
104,13,20.78862551460273,0.72,6,2,5,7,tertiary,blue-collar,31329,1
105,17,2.6532203873819715,0.81,5,0,3,2,primary,self-employed,48142,0
106,15,18.143543508979732,0.96,8,6,5,10,primary,white-collar,12651,1
107,16,58.304156096969216,0.92,6,3,0,0,secondary,self-employed,20006,1
108,15,42.1424550592498,0.62,6,0,9,6,tertiary,self-employed,52701,1
109,15,89.26717110769748,0.78,1,7,0,9,secondary,blue-collar,58940,0
110,13,81.7443561738441,0.82,4,5,2,2,primary,blue-collar,45645,0
111,15,34.1817351697876,0.88,5,5,7,7,tertiary,self-employed,31966,0
112,17,25.94234334312925,0.89,3,1,7,3,secondary,white-collar,37846,0
113,15,37.96924081672669,0.98,9,0,10,3,secondary,white-collar,31774,1
114,13,59.02949425148078,0.84,1,1,3,4,secondary,blue-collar,14083,0
115,17,26.806364082287626,0.96,6,3,5,5,primary,blue-collar,43513,1
116,14,62.4148907849134,0.67,6,1,7,6,primary,blue-collar,18749,1
117,15,40.941165219124045,0.75,10,0,6,3,primary,blue-collar,40783,1
118,13,55.204718085198024,0.67,5,6,10,7,tertiary,blue-collar,27325,1
119,14,43.61265291353167,0.6,5,10,6,5,primary,blue-collar,28680,1
120,14,29.44657595419177,0.64,10,10,3,0,tertiary,blue-collar,27323,1
121,16,94.84533069621567,0.62,5,7,8,0,secondary,white-collar,32684,1
122,17,76.36057941597608,0.6,6,5,9,8,secondary,blue-collar,44493,1
123,15,14.011317576645254,0.63,8,3,5,9,primary,blue-collar,22213,1
124,13,86.84679758979128,0.99,2,5,10,5,secondary,white-collar,41831,0
125,16,48.743119824951364,0.94,6,2,2,9,primary,white-collar,52296,1
126,17,89.45522268940914,0.91,1,7,4,7,tertiary,self-employed,56930,0
127,16,79.98552559473153,0.93,4,9,4,6,secondary,blue-collar,37713,0
128,17,42.52135044692334,0.84,10,1,4,5,primary,blue-collar,51621,1
129,17,2.24693083201174,0.69,3,4,7,3,secondary,blue-collar,17187,1
130,15,26.867735938494608,0.8,9,0,8,6,secondary,blue-collar,42800,1
131,17,54.16342146608669,0.98,3,5,8,8,primary,self-employed,42583,0
132,16,63.347821982614725,0.86,6,1,5,10,secondary,white-collar,57661,1
133,17,25.788768543320227,0.86,1,3,5,9,secondary,white-collar,24408,0
134,15,13.935607407282413,0.61,6,5,8,9,secondary,blue-collar,32369,1
135,15,83.4930236799299,1.0,4,9,3,6,secondary,blue-collar,57928,0
136,16,98.44021807035521,0.72,8,10,5,0,tertiary,blue-collar,13414,1
137,14,52.56901823026858,0.68,9,7,3,9,secondary,self-employed,29510,1
138,14,17.16792858483035,0.95,4,7,10,8,secondary,self-employed,22120,0
139,17,27.230732651936897,0.81,10,10,0,3,primary,white-collar,44311,1
140,13,1.8390676547466733,0.85,10,5,6,2,tertiary,blue-collar,43039,1
141,17,91.4298806560499,0.71,6,3,9,3,primary,blue-collar,15295,1
142,16,11.775108289014113,0.76,1,7,10,3,primary,blue-collar,30460,0
143,16,57.651647551425356,0.73,4,7,5,9,primary,blue-collar,24963,0
144,16,27.4055220687206,0.73,7,9,8,10,tertiary,self-employed,21580,1
145,16,55.417800251579344,0.93,1,0,6,1,primary,white-collar,32286,0
146,16,65.14203883518643,0.79,8,3,6,0,primary,white-collar,37328,1
147,15,82.97418037072016,0.7,10,3,1,9,primary,self-employed,29093,1
148,14,20.64212717606032,0.75,6,6,10,0,secondary,blue-collar,31605,1
149,16,1.0995828658480478,0.9,5,10,8,7,primary,white-collar,55365,0
150,13,13.688563006880727,0.65,10,6,9,1,tertiary,white-collar,54813,1
151,13,90.00186418481051,0.78,9,10,8,9,tertiary,self-employed,56371,1
152,13,87.38900775625153,0.96,2,7,5,4,secondary,blue-collar,52705,0
153,13,59.74131021703083,0.63,5,10,2,3,tertiary,white-collar,57598,1
154,15,60.051686043365336,0.63,6,4,0,7,tertiary,blue-collar,16722,1
155,13,66.50366745462554,0.79,7,6,3,1,secondary,white-collar,50969,1
156,16,17.53712786234496,0.69,5,7,2,9,primary,self-employed,46912,1
157,17,91.44119459249598,0.83,9,8,0,8,secondary,blue-collar,48374,1
158,13,41.87705248920731,0.94,1,2,2,6,primary,self-employed,16766,0
159,15,38.31385282494975,0.85,7,2,3,6,primary,white-collar,59882,1
160,15,51.89177052828376,0.96,10,3,7,0,tertiary,self-employed,25928,1
161,13,4.696596677505505,0.97,7,4,8,1,secondary,self-employed,31274,1
162,17,16.628336875607943,0.8,4,9,2,3,tertiary,self-employed,44416,0
163,13,73.80336164263704,0.99,9,0,5,3,tertiary,white-collar,30612,1
164,15,8.279866792512646,0.98,5,6,9,10,primary,blue-collar,44898,0
165,14,60.31521094663882,0.8,4,8,10,2,tertiary,self-employed,57160,0
166,16,24.534910968132095,0.69,7,7,4,6,secondary,blue-collar,39047,1
167,15,38.929561404197656,0.97,4,4,5,7,tertiary,white-collar,53356,0
168,13,28.869373677069987,0.63,3,3,3,1,tertiary,blue-collar,47134,1
169,16,35.567271646494916,0.79,9,6,9,3,primary,self-employed,11506,1
170,13,71.90459051842456,0.76,8,4,5,2,secondary,self-employed,25222,1
171,13,29.7121715623175,0.66,1,6,6,1,tertiary,self-employed,22363,1
172,14,56.64046402968972,0.63,7,0,8,5,primary,self-employed,29613,1
173,16,47.60504021990997,0.88,9,0,9,3,tertiary,self-employed,54563,1
174,16,66.36711653626482,0.73,8,9,6,5,secondary,self-employed,40628,1
175,14,93.6829739324758,0.62,8,2,5,1,tertiary,white-collar,52626,1
176,15,73.25720972102503,0.83,6,10,0,3,tertiary,white-collar,55384,1
177,13,21.494037859075675,0.96,4,1,1,10,primary,white-collar,14136,0
178,17,3.1183135061284672,0.75,8,1,0,5,tertiary,blue-collar,56246,1
179,13,26.22640442998251,0.63,3,6,8,4,primary,blue-collar,21161,1
180,13,59.507793070025485,0.83,9,9,9,2,secondary,white-collar,45457,1
181,15,5.1425813484250344,0.93,2,1,9,7,tertiary,blue-collar,33574,0
182,13,49.636624720123635,0.89,2,10,8,6,secondary,blue-collar,36902,0
183,14,59.68428489168892,0.77,7,3,6,2,secondary,self-employed,12810,1
184,14,33.424389081696084,0.78,10,1,1,5,tertiary,self-employed,21663,1
185,16,77.09122037458219,0.9,4,5,5,3,primary,blue-collar,16152,0
186,17,10.65982531337718,0.78,10,7,10,10,secondary,blue-collar,10012,1
187,13,7.513778173580876,0.78,8,9,3,4,secondary,white-collar,21162,1
188,13,72.81887562036033,0.81,9,3,0,10,tertiary,blue-collar,32322,1
189,15,49.549131620619846,0.83,7,4,0,4,tertiary,self-employed,17999,1
190,14,68.84023964277361,0.71,5,3,4,6,tertiary,blue-collar,17219,0
191,17,43.48273386037462,0.89,8,2,1,10,tertiary,white-collar,15328,1
192,16,24.640203323910683,0.97,4,4,3,4,tertiary,self-employed,13621,0
193,14,81.91023176741997,0.9,2,8,0,10,tertiary,self-employed,34256,0
194,16,79.94158789689793,0.95,6,7,3,2,primary,self-employed,54433,1
195,15,69.46964708544267,0.78,9,7,10,9,secondary,self-employed,21314,1
196,15,27.21451372299627,0.95,1,7,5,4,primary,blue-collar,10652,0
197,13,59.023066686908706,0.89,10,7,9,6,primary,white-collar,26182,1
198,17,36.09738969400268,0.92,7,6,3,4,tertiary,blue-collar,51580,1
199,16,9.158207332663416,0.77,10,7,0,4,secondary,blue-collar,46558,1
200,14,91.73135754622427,0.87,9,10,6,8,primary,self-employed,25659,1
201,15,13.68186309189614,0.7,10,7,1,2,tertiary,white-collar,44413,1
202,13,95.02373538208025,0.92,9,7,8,5,tertiary,self-employed,20435,1
203,13,44.600577295795574,0.76,10,9,2,0,secondary,blue-collar,38067,1
204,16,18.513292883861965,0.65,3,6,7,9,primary,blue-collar,32258,1
205,15,54.190094737835814,0.63,5,0,7,4,primary,self-employed,38287,1
206,17,87.29458358764083,0.79,8,3,2,7,primary,blue-collar,13688,1
207,15,73.22248864095612,0.86,8,3,3,4,tertiary,blue-collar,17689,1
208,16,80.65611478614497,0.74,4,4,1,8,secondary,self-employed,11379,0
209,16,65.87833667107174,0.65,1,9,3,10,secondary,blue-collar,47011,1
210,15,69.22765645178525,0.73,1,5,10,5,primary,white-collar,53005,0
211,16,84.91956515653193,0.7,4,3,10,7,tertiary,self-employed,37624,0
212,15,24.966800885918595,0.98,6,1,10,9,primary,white-collar,35964,1
213,14,48.942496364314046,0.68,8,5,8,7,secondary,blue-collar,32891,1
214,15,22.120944181960223,0.85,6,7,1,2,tertiary,blue-collar,59098,1
215,15,98.7668007996647,0.75,9,7,2,6,primary,self-employed,48379,1
216,16,94.40593396866133,0.64,9,6,10,6,primary,blue-collar,22516,1
217,16,3.94268113685059,0.69,2,5,10,9,tertiary,self-employed,23886,1
218,13,70.55751725156884,0.62,10,1,3,5,secondary,self-employed,30307,1
219,13,92.52483174156659,0.72,1,6,4,6,tertiary,self-employed,34843,1
220,14,18.057534512733355,0.89,2,10,0,1,primary,self-employed,56484,0
221,13,56.79452305526295,0.65,5,4,6,8,primary,self-employed,15912,1
222,15,91.54882975880419,0.76,4,5,9,9,primary,white-collar,31514,1
223,16,3.394597858579884,0.78,4,9,6,9,primary,self-employed,31823,0
224,13,69.742026724684,0.94,9,7,8,0,secondary,white-collar,38797,1
225,13,29.734900737255078,0.85,8,7,3,0,secondary,blue-collar,16449,1
226,14,92.43961953765304,0.64,6,2,5,2,primary,self-employed,11725,1
227,14,97.10582451653677,0.88,1,6,10,2,secondary,blue-collar,25870,1
228,15,94.42664891134339,0.96,2,0,1,0,secondary,self-employed,19304,1
229,16,47.42142166574638,0.79,6,0,3,6,secondary,white-collar,17522,1
230,14,86.20426509893134,0.8,2,6,1,3,primary,white-collar,23663,0
231,13,84.45493985350704,0.69,10,9,9,9,tertiary,white-collar,14784,1
232,16,31.910047324325564,0.64,5,8,4,1,tertiary,blue-collar,19472,1
233,16,82.89154741506773,0.95,5,6,6,9,tertiary,self-employed,38952,0
234,13,3.700763471549262,0.65,6,9,0,4,primary,blue-collar,20055,1
235,14,59.6269878482053,0.85,6,4,9,5,secondary,white-collar,39508,1
236,13,23.000883728770305,0.63,6,7,9,8,secondary,blue-collar,22676,1
237,16,12.056688577727881,0.98,2,1,6,3,primary,white-collar,35192,0
238,17,7.695320162920916,0.98,10,8,9,1,primary,white-collar,34722,1
239,17,69.62887758781397,0.94,3,5,5,4,tertiary,white-collar,17446,0
240,15,33.98749637680661,0.6,6,8,5,2,tertiary,self-employed,14725,1
241,13,72.47667715287615,0.83,8,1,7,1,primary,self-employed,30061,1
242,13,6.535634079894237,0.95,1,2,7,0,tertiary,white-collar,57537,0
243,15,31.529033783061035,0.65,1,7,5,9,secondary,blue-collar,32671,1
244,15,53.949129237533725,1.0,2,0,2,1,primary,blue-collar,11409,0
245,15,79.07231648389636,0.9,6,9,4,5,primary,self-employed,18205,1
246,16,31.875250293206992,0.79,9,6,1,7,secondary,white-collar,26365,1
247,13,62.58913764370091,0.83,4,6,4,2,secondary,blue-collar,10256,0
248,16,88.5977748236187,0.84,3,0,8,10,secondary,white-collar,25704,0
249,15,61.58631881823046,0.95,8,8,9,8,tertiary,blue-collar,39902,1
250,13,23.295947475363377,0.8,10,7,0,8,primary,self-employed,45758,1
251,16,2.440078155653802,0.89,9,3,9,1,tertiary,white-collar,11195,1
252,16,87.00988739009298,0.83,5,9,4,7,secondary,white-collar,44012,0
253,15,2.126941085038714,0.89,9,10,5,9,tertiary,blue-collar,21415,1
254,13,87.47016726841994,0.81,2,4,10,10,secondary,blue-collar,49534,0
255,15,52.8937134027212,0.87,3,1,6,4,tertiary,blue-collar,31686,0
256,13,93.90676985128962,0.66,7,8,8,3,tertiary,white-collar,21662,1
257,17,79.87832357736654,0.94,7,5,5,9,secondary,self-employed,58978,1
258,14,99.79341105333374,0.87,6,2,4,4,tertiary,self-employed,38743,1
259,14,35.071181545171015,0.73,6,6,6,3,primary,blue-collar,42161,1
260,14,76.71882889311269,0.69,2,8,0,7,tertiary,self-employed,53081,1
261,15,40.193091360924214,0.75,10,2,10,3,tertiary,blue-collar,12402,1
262,17,47.98756203039088,0.75,6,1,4,9,primary,self-employed,59648,1
263,13,62.75054632183701,0.9,4,6,1,5,secondary,white-collar,23275,0
264,16,87.36771141863387,0.84,3,6,3,1,primary,blue-collar,38182,0
265,13,98.40834691992951,0.72,2,3,6,4,tertiary,self-employed,24915,1
266,16,76.82734138645182,0.65,1,10,4,5,secondary,white-collar,10909,1
267,13,41.77667821673337,0.68,5,8,5,4,tertiary,self-employed,58574,1
268,17,42.13570022770702,0.95,2,7,1,1,tertiary,white-collar,10372,0
269,16,73.75823015888915,0.79,2,0,2,6,primary,white-collar,32620,0
270,15,23.877714576830233,0.77,7,0,6,3,primary,self-employed,44112,1
271,13,11.047411313139467,0.8,8,4,10,7,secondary,self-employed,18515,1
272,13,35.462215764077655,0.63,10,5,1,6,secondary,white-collar,12431,1
273,16,28.723899165408174,0.92,8,2,5,6,secondary,white-collar,31054,1
274,15,29.630812045599008,0.86,4,8,4,8,tertiary,white-collar,42624,0
275,15,23.360775104990992,0.66,1,9,9,0,primary,blue-collar,20585,1
276,17,4.209318963636188,0.65,7,5,0,9,primary,white-collar,58230,1
277,15,1.787393473341381,0.74,1,3,10,5,primary,blue-collar,41958,0
278,15,98.77223897360315,0.77,4,6,9,5,secondary,white-collar,11695,1
279,15,42.77731337358623,0.91,8,7,10,5,primary,blue-collar,44675,1
280,14,38.432664715968166,0.7,2,8,3,5,primary,white-collar,59932,0
281,17,67.96472826930699,0.79,6,10,10,9,primary,white-collar,43787,1
282,13,21.825388786506416,0.83,6,5,1,6,secondary,white-collar,54225,1
283,16,94.99611839502253,0.74,9,5,3,9,primary,self-employed,11403,1
284,13,78.6345014415552,0.66,5,7,0,5,secondary,self-employed,27810,1
285,17,8.94110023122595,0.8,10,4,1,0,primary,white-collar,18855,1
286,16,41.75807757849284,0.85,4,2,7,2,primary,blue-collar,48636,0
287,17,87.91183075621647,0.73,5,2,5,1,primary,blue-collar,20839,0
288,15,94.47320222914102,0.96,10,5,1,5,secondary,white-collar,10010,1
289,16,46.74015112498697,0.8,5,1,5,7,secondary,self-employed,49098,0
290,15,61.34113892107077,0.77,8,5,9,2,primary,blue-collar,57829,1
291,13,16.70339460920752,0.64,10,5,8,9,tertiary,self-employed,19230,1
292,13,99.11686261369765,0.62,8,7,6,7,secondary,blue-collar,50232,1
293,16,23.16717013834434,0.82,2,6,8,7,secondary,white-collar,57514,0
294,16,94.27317741351257,0.85,7,7,4,4,primary,self-employed,45771,1
295,17,64.96466489923685,0.96,8,8,6,7,tertiary,blue-collar,39256,1
296,17,60.773679487885914,0.83,6,5,10,5,primary,white-collar,35651,1
297,15,51.26885110165086,0.78,5,2,6,4,secondary,white-collar,42383,0
298,16,23.06698117177587,0.84,9,9,2,8,secondary,white-collar,49963,1
299,13,17.652803200550828,0.8,3,2,6,6,primary,self-employed,23662,0
300,17,22.048620907017536,0.71,10,10,0,7,primary,self-employed,23739,1
301,17,18.643826214425452,1.0,4,0,8,0,tertiary,white-collar,58356,0
302,13,77.95844735667534,0.92,9,10,9,10,tertiary,self-employed,11789,1
303,17,35.01252591667301,0.63,6,4,5,1,secondary,blue-collar,29420,1
304,15,5.784267656339637,0.66,8,3,4,7,tertiary,white-collar,33761,1
305,16,96.91026301408114,0.81,7,8,6,8,tertiary,white-collar,50366,1
306,13,88.37858849634257,0.92,2,8,4,3,secondary,self-employed,47606,0
307,16,92.77522831952129,0.76,3,4,9,9,secondary,white-collar,48640,1
308,17,99.49078226464353,0.83,1,9,4,10,secondary,blue-collar,54135,1
309,17,17.38952492194873,0.93,9,3,10,9,secondary,self-employed,47067,1
310,13,39.62420189026587,0.87,7,6,9,8,primary,self-employed,27357,1
311,15,75.82384757040913,1.0,1,5,10,3,secondary,white-collar,49851,0
312,14,69.60206180537922,0.98,3,3,6,9,secondary,white-collar,48262,0
313,13,15.389590633985506,0.81,4,9,9,9,secondary,white-collar,21317,0
314,14,81.58331249906178,0.76,4,1,6,9,tertiary,self-employed,31534,0
315,14,22.444057183666068,0.93,5,0,10,8,secondary,white-collar,35734,0
316,15,22.38176148226231,0.65,3,3,2,10,primary,blue-collar,45897,1
317,14,53.69744228934136,0.65,3,3,2,6,primary,white-collar,42872,1
318,14,59.293993484170315,0.93,1,0,9,1,secondary,white-collar,50201,0
319,15,58.00862078378112,0.6,7,5,2,8,primary,self-employed,17689,1
320,14,9.148683739775487,0.69,10,3,5,3,tertiary,white-collar,13567,1
321,14,87.74608626303804,0.8,1,0,5,7,secondary,self-employed,30732,0
322,14,26.560004258870606,0.64,2,0,2,6,primary,white-collar,30774,1
323,13,12.951492128280417,0.61,4,0,2,6,primary,blue-collar,33195,1
324,13,88.87480798689772,0.81,4,7,7,7,secondary,blue-collar,47412,0
325,13,95.56514982297534,0.61,5,9,7,0,primary,self-employed,57734,1
326,15,86.21276172654507,0.69,2,7,6,4,secondary,self-employed,54098,1
327,17,80.95160747248781,0.93,4,1,9,1,primary,white-collar,32257,0
328,14,65.52419806390218,0.75,1,10,3,1,tertiary,white-collar,14394,0
329,14,55.08573706091393,0.98,2,6,3,0,primary,blue-collar,46302,0
330,15,8.698675991141014,0.81,1,7,2,4,primary,white-collar,32228,0
331,14,40.845321307069874,0.71,10,7,4,1,secondary,blue-collar,22388,1
332,13,37.2688517012314,0.83,10,10,2,3,primary,self-employed,21319,1
333,17,25.97537837603262,0.99,4,9,7,2,secondary,white-collar,16475,0
334,16,72.3420113688585,0.97,4,10,6,2,tertiary,self-employed,41555,0
335,14,49.58757350787708,0.69,7,6,2,1,secondary,white-collar,28158,1
336,13,8.104621590764793,0.94,10,4,8,5,secondary,blue-collar,24728,1
337,16,22.018320194981133,0.91,9,0,4,1,primary,self-employed,54774,1
338,17,68.32587636595959,0.66,9,8,8,7,tertiary,self-employed,39545,1
339,16,7.613085949030019,0.8,5,6,6,7,secondary,white-collar,41100,0
340,13,85.12069140487687,0.79,10,1,6,4,primary,self-employed,26150,1
341,16,49.51465270139743,0.85,1,5,5,9,primary,blue-collar,43214,0
342,15,48.0586577326648,0.63,1,1,1,6,secondary,self-employed,42876,1
343,16,59.24077846595176,0.81,6,0,8,3,primary,self-employed,13239,1
344,14,82.46809659251491,0.74,2,6,5,0,secondary,white-collar,48699,0
345,14,34.780920790219305,0.99,8,1,7,10,secondary,self-employed,46821,1
346,15,67.80161525590636,0.8,9,1,0,1,secondary,white-collar,40615,1
347,13,56.5731963995791,0.74,4,10,4,9,tertiary,white-collar,23746,0
348,14,26.70282701694213,0.81,5,4,0,9,secondary,self-employed,30921,0
349,17,87.8629986355158,0.87,8,4,9,3,primary,blue-collar,32745,1
350,14,79.74260216069281,0.73,3,6,10,0,tertiary,white-collar,11245,0
351,14,65.84518346584255,0.86,5,0,7,7,primary,self-employed,56607,0
352,13,85.05817290942419,1.0,3,7,7,8,tertiary,white-collar,34853,0
353,16,86.72942009598023,0.99,10,2,0,3,tertiary,blue-collar,37632,1
354,14,70.83629767150347,0.87,3,3,8,9,tertiary,blue-collar,22856,0
355,15,83.7013328363672,0.85,3,8,1,2,tertiary,white-collar,15105,0
356,16,69.74714616692836,0.61,7,3,8,1,primary,blue-collar,45690,1
357,17,68.01407717603004,0.84,7,9,0,4,secondary,self-employed,12513,1
358,13,61.86113782151843,0.62,7,4,9,2,primary,self-employed,12801,1
359,17,75.27166395576413,0.67,10,6,8,9,secondary,white-collar,42345,1
360,16,15.86051052930737,0.92,8,3,3,6,primary,blue-collar,23895,1
361,16,88.08707591989284,0.94,5,0,8,10,tertiary,self-employed,49749,0
362,16,87.1843527745232,0.65,5,8,6,5,tertiary,self-employed,18221,1
