,Age,Gender,Race,Criminal History,Prior Offense Type,Violation Type,Employment Status,Income Level,Education Level,Family Structure,label
112,25,Female,Asian,1,Theft,Drug offenses,Employed,Middle,Bachelor's degree,No,0
113,17,Female,White,0,Property damage,Other,Employed,Low,Master's degree,Yes,0
114,34,Male,Asian,0,Battery,Property theft,Unemployed,Middle,High school diploma,Yes,1
115,27,Female,White,0,Property damage,Domestic violence,Employed,Middle,Bachelor's degree,No,0
116,30,Male,White,2,Battery,Property theft,Unemployed,Low,High school diploma,No,1
117,45,Female,Other,0,Assault,Other,Unemployed,High,High school diploma,No,1
118,57,Male,White,4,Assault,Other,Unemployed,High,Master's degree,Yes,1
119,25,Female,Other,2,Battery,Other,Employed,High,Bachelor's degree,Yes,1
120,59,Female,Asian,3,Theft,Domestic violence,Unemployed,Middle,Bachelor's degree,Yes,1
121,25,Male,White,1,Property damage,Drug offenses,Employed,Middle,Master's degree,No,0
122,61,Female,Black,3,Battery,Drug offenses,Unemployed,Low,High school diploma,Yes,1
123,39,Male,Other,2,Assault,Other,Employed,Middle,Bachelor's degree,No,1
124,56,Female,Asian,0,Theft,Property theft,Unemployed,High,Bachelor's degree,No,0
125,39,Female,White,0,Assault,Drug offenses,Unemployed,Low,Bachelor's degree,No,1
126,16,Male,Black,4,Theft,Drug offenses,Employed,Middle,Bachelor's degree,No,1
127,62,Male,Other,1,Battery,Other,Unemployed,Middle,Bachelor's degree,Yes,1
128,34,Male,Asian,1,Theft,Drug offenses,Unemployed,Low,Bachelor's degree,No,1
129,47,Female,White,1,Assault,Other,Employed,High,Master's degree,Yes,1
130,28,Female,Black,4,Battery,Property theft,Employed,Middle,Bachelor's degree,Yes,1
131,27,Female,Black,3,Assault,Drug offenses,Employed,Low,Bachelor's degree,No,1
132,50,Male,White,4,Property damage,Drug offenses,Employed,Middle,High school diploma,No,1
133,64,Female,White,3,Assault,Domestic violence,Unemployed,Middle,High school diploma,No,1
134,44,Female,Black,1,Assault,Property theft,Unemployed,High,Master's degree,Yes,1
135,27,Female,Asian,0,Theft,Domestic violence,Unemployed,Middle,Master's degree,No,0
136,44,Female,White,3,Battery,Other,Employed,High,High school diploma,No,1
137,59,Female,Other,0,Theft,Property theft,Unemployed,Low,Bachelor's degree,No,1
138,20,Female,White,3,Theft,Drug offenses,Employed,High,Bachelor's degree,Yes,1
139,47,Female,White,3,Assault,Domestic violence,Employed,Middle,High school diploma,Yes,1
140,47,Female,White,0,Assault,Other,Employed,Low,Master's degree,No,1
141,16,Female,Black,2,Battery,Property theft,Employed,Low,High school diploma,No,1
142,52,Male,Other,1,Assault,Domestic violence,Unemployed,Middle,Bachelor's degree,Yes,1
143,21,Female,Asian,0,Assault,Property theft,Unemployed,High,High school diploma,Yes,1
144,42,Female,Asian,2,Battery,Other,Unemployed,High,High school diploma,Yes,1
145,19,Female,White,1,Assault,Domestic violence,Employed,Low,Bachelor's degree,Yes,1
146,54,Male,Other,1,Property damage,Domestic violence,Unemployed,High,Master's degree,No,0
147,58,Male,Black,4,Assault,Other,Unemployed,High,High school diploma,Yes,1
148,25,Male,Asian,1,Property damage,Drug offenses,Unemployed,High,High school diploma,Yes,0
149,33,Male,Black,0,Battery,Other,Employed,High,Master's degree,No,1
150,40,Female,Other,2,Battery,Drug offenses,Unemployed,High,Master's degree,Yes,1
151,55,Male,Asian,1,Assault,Drug offenses,Unemployed,Middle,Master's degree,Yes,1
152,16,Female,Asian,4,Property damage,Drug offenses,Employed,High,High school diploma,Yes,1
153,31,Male,Other,3,Property damage,Property theft,Unemployed,Middle,Bachelor's degree,Yes,1
154,48,Male,Other,4,Assault,Property theft,Unemployed,Low,Bachelor's degree,Yes,1
155,29,Female,Black,4,Assault,Drug offenses,Employed,Middle,Master's degree,No,1
156,45,Male,White,4,Theft,Other,Employed,High,High school diploma,No,1
157,27,Male,Other,1,Property damage,Drug offenses,Unemployed,Low,High school diploma,Yes,1
158,38,Female,Other,2,Theft,Property theft,Employed,Middle,High school diploma,No,1
159,63,Female,White,0,Theft,Drug offenses,Employed,High,Bachelor's degree,Yes,0
160,27,Male,White,4,Property damage,Property theft,Employed,High,Master's degree,Yes,1
161,27,Female,White,0,Assault,Other,Unemployed,Middle,High school diploma,No,1
162,47,Male,Asian,1,Property damage,Other,Employed,Low,Bachelor's degree,No,0
163,32,Male,Asian,0,Assault,Drug offenses,Employed,High,High school diploma,Yes,1
164,58,Male,Other,4,Property damage,Drug offenses,Employed,Middle,High school diploma,Yes,1
165,31,Female,Black,0,Battery,Property theft,Unemployed,Low,Master's degree,No,1
166,59,Female,Other,4,Assault,Property theft,Unemployed,Middle,Master's degree,No,1
167,44,Female,Asian,0,Theft,Drug offenses,Unemployed,Middle,Bachelor's degree,Yes,0
168,19,Male,Black,2,Theft,Other,Employed,Middle,High school diploma,Yes,0
169,23,Male,White,0,Battery,Other,Unemployed,Low,High school diploma,Yes,1
170,24,Female,Other,0,Battery,Property theft,Unemployed,High,Master's degree,No,1
171,36,Female,Other,4,Assault,Property theft,Employed,Low,High school diploma,Yes,1
172,56,Female,Black,4,Theft,Domestic violence,Unemployed,Low,Master's degree,Yes,1
173,17,Female,Other,3,Property damage,Domestic violence,Employed,Middle,High school diploma,Yes,1
174,59,Female,Other,1,Property damage,Drug offenses,Unemployed,Middle,High school diploma,No,1
175,51,Male,Asian,0,Battery,Property theft,Employed,High,Master's degree,Yes,1
176,28,Female,Other,1,Battery,Drug offenses,Employed,High,Bachelor's degree,No,1
177,64,Male,Other,1,Property damage,Property theft,Employed,Low,Bachelor's degree,No,0
178,23,Female,White,3,Battery,Drug offenses,Unemployed,Middle,High school diploma,Yes,1
179,58,Female,White,3,Assault,Property theft,Unemployed,High,High school diploma,No,1
180,55,Female,Other,4,Property damage,Property theft,Employed,Low,High school diploma,No,1
181,46,Female,Asian,4,Theft,Drug offenses,Employed,Middle,Master's degree,No,1
182,39,Male,Black,4,Theft,Other,Unemployed,Low,Bachelor's degree,No,1
183,17,Female,Other,2,Theft,Domestic violence,Employed,Low,Master's degree,No,0
184,40,Female,White,1,Theft,Other,Unemployed,Middle,High school diploma,No,1
185,51,Female,White,2,Theft,Drug offenses,Unemployed,Middle,Bachelor's degree,No,0
186,39,Female,White,4,Theft,Drug offenses,Unemployed,Middle,Bachelor's degree,No,1
187,44,Male,Other,4,Battery,Domestic violence,Unemployed,Middle,Master's degree,Yes,1
188,16,Female,Asian,4,Property damage,Drug offenses,Unemployed,High,High school diploma,No,1
189,32,Male,Black,0,Battery,Domestic violence,Employed,High,High school diploma,Yes,1
190,32,Female,Asian,4,Battery,Domestic violence,Unemployed,High,Master's degree,Yes,1
191,46,Male,Asian,4,Property damage,Other,Unemployed,High,Master's degree,No,1
192,37,Male,Asian,3,Battery,Domestic violence,Employed,Middle,Master's degree,Yes,1
193,24,Male,White,3,Battery,Other,Unemployed,High,Bachelor's degree,No,1
194,51,Female,Asian,3,Theft,Drug offenses,Employed,Low,High school diploma,No,1
195,63,Male,Other,1,Battery,Other,Employed,Middle,Bachelor's degree,No,1
196,51,Male,Other,2,Property damage,Drug offenses,Employed,High,Bachelor's degree,Yes,0
197,23,Male,Asian,1,Property damage,Drug offenses,Unemployed,Middle,Bachelor's degree,Yes,0
198,33,Female,White,0,Property damage,Domestic violence,Unemployed,Middle,Bachelor's degree,No,0
199,60,Male,Other,4,Theft,Property theft,Unemployed,Low,High school diploma,No,1
200,50,Male,Other,1,Battery,Property theft,Employed,Low,Master's degree,No,1
201,55,Female,Asian,0,Property damage,Drug offenses,Unemployed,High,High school diploma,No,1
202,37,Male,Asian,0,Theft,Property theft,Unemployed,Middle,Master's degree,No,0
203,46,Male,Asian,3,Assault,Other,Unemployed,Middle,High school diploma,Yes,1
204,31,Female,Black,2,Battery,Drug offenses,Employed,High,High school diploma,No,1
205,26,Male,White,2,Battery,Domestic violence,Unemployed,Low,Bachelor's degree,Yes,1
206,37,Male,Asian,2,Property damage,Drug offenses,Employed,Middle,Master's degree,Yes,0
207,50,Female,Asian,2,Property damage,Drug offenses,Employed,Low,Bachelor's degree,Yes,0
208,23,Male,Black,4,Property damage,Property theft,Unemployed,High,Bachelor's degree,Yes,1
209,22,Female,White,2,Battery,Property theft,Unemployed,Middle,Master's degree,No,1
210,44,Female,Asian,0,Property damage,Drug offenses,Unemployed,Middle,Bachelor's degree,No,0
211,26,Male,White,4,Theft,Drug offenses,Unemployed,Middle,High school diploma,No,1
212,41,Female,Other,1,Assault,Other,Unemployed,Middle,Master's degree,No,1
213,40,Male,Asian,4,Battery,Drug offenses,Unemployed,High,High school diploma,No,1
214,23,Male,Black,2,Battery,Property theft,Unemployed,Low,Master's degree,No,1
215,29,Female,Other,3,Property damage,Domestic violence,Employed,Low,Master's degree,Yes,1
216,45,Female,Other,1,Battery,Domestic violence,Employed,High,Master's degree,Yes,1
217,36,Male,Asian,1,Property damage,Other,Unemployed,Low,High school diploma,Yes,1
218,33,Male,Black,4,Battery,Property theft,Employed,High,High school diploma,No,1
219,28,Male,White,3,Theft,Domestic violence,Unemployed,Low,High school diploma,No,1
220,62,Male,Asian,0,Assault,Property theft,Unemployed,High,Master's degree,Yes,1
221,55,Male,White,0,Battery,Domestic violence,Employed,Low,Bachelor's degree,No,1
222,26,Female,Other,4,Assault,Drug offenses,Employed,Low,Master's degree,Yes,1
223,45,Female,White,4,Theft,Property theft,Unemployed,Middle,Bachelor's degree,No,1
224,55,Male,Asian,1,Assault,Property theft,Unemployed,High,Master's degree,Yes,1
225,53,Female,Black,2,Property damage,Domestic violence,Employed,Middle,Bachelor's degree,Yes,0
226,49,Male,White,4,Property damage,Other,Employed,Middle,Bachelor's degree,Yes,1
227,28,Female,Black,1,Property damage,Drug offenses,Unemployed,Low,Bachelor's degree,Yes,1
228,40,Female,Black,4,Battery,Other,Employed,High,High school diploma,No,1
229,22,Male,Asian,1,Battery,Domestic violence,Employed,Middle,Master's degree,No,1
230,41,Male,White,2,Battery,Domestic violence,Unemployed,High,High school diploma,No,1
231,36,Male,Other,0,Assault,Domestic violence,Employed,Middle,Master's degree,Yes,1
232,33,Male,Asian,3,Theft,Other,Unemployed,High,Master's degree,No,1
233,49,Male,White,2,Assault,Domestic violence,Unemployed,Middle,Master's degree,Yes,1
234,28,Female,White,0,Theft,Property theft,Unemployed,High,Master's degree,No,0
235,46,Male,Other,3,Theft,Other,Unemployed,Middle,Master's degree,No,1
236,50,Female,White,1,Theft,Drug offenses,Unemployed,Middle,High school diploma,No,1
237,18,Female,Asian,4,Assault,Other,Employed,Middle,Bachelor's degree,No,1
238,64,Male,Black,1,Property damage,Other,Employed,Low,High school diploma,No,1
239,52,Male,Black,0,Battery,Other,Unemployed,Low,Bachelor's degree,Yes,1
240,29,Female,White,1,Battery,Other,Employed,High,Master's degree,Yes,1
241,19,Male,White,4,Assault,Drug offenses,Employed,Middle,Master's degree,Yes,1
242,26,Male,Black,1,Theft,Property theft,Employed,Low,High school diploma,Yes,0
243,54,Male,Other,0,Battery,Other,Employed,Middle,Master's degree,Yes,1
244,32,Female,White,1,Battery,Other,Unemployed,Middle,Master's degree,Yes,1
245,27,Female,Black,4,Property damage,Other,Unemployed,High,Bachelor's degree,Yes,1
246,26,Female,Other,0,Property damage,Drug offenses,Employed,Low,Master's degree,Yes,0
247,34,Male,Other,4,Property damage,Property theft,Unemployed,Middle,Bachelor's degree,Yes,1
248,58,Female,White,2,Theft,Property theft,Unemployed,Low,High school diploma,Yes,1
249,52,Male,White,1,Theft,Domestic violence,Unemployed,Low,High school diploma,Yes,1
250,49,Female,Other,1,Theft,Other,Unemployed,Middle,High school diploma,Yes,0
251,40,Female,Asian,3,Battery,Domestic violence,Unemployed,High,Bachelor's degree,No,1
252,44,Female,Black,1,Battery,Domestic violence,Employed,Low,Master's degree,No,1
253,35,Male,Asian,4,Property damage,Property theft,Unemployed,Low,Master's degree,No,1
254,20,Female,Other,0,Assault,Property theft,Employed,High,Bachelor's degree,Yes,1
255,61,Female,Black,1,Property damage,Domestic violence,Unemployed,Low,Master's degree,No,1
256,49,Male,Asian,3,Assault,Drug offenses,Employed,Low,High school diploma,No,1
257,60,Female,Other,0,Assault,Property theft,Employed,High,Master's degree,Yes,1
258,43,Male,Asian,0,Battery,Other,Unemployed,High,Bachelor's degree,Yes,1
259,37,Female,Other,2,Theft,Domestic violence,Employed,High,Master's degree,No,0
260,61,Male,Black,2,Battery,Other,Employed,Middle,Master's degree,Yes,1
261,40,Male,Other,1,Assault,Other,Employed,Middle,Master's degree,No,1
262,54,Female,Other,4,Battery,Domestic violence,Employed,High,Bachelor's degree,Yes,1
263,42,Female,Black,0,Battery,Drug offenses,Employed,High,Bachelor's degree,No,1
264,33,Female,Asian,1,Theft,Property theft,Unemployed,Low,Bachelor's degree,Yes,1
265,49,Female,Black,3,Property damage,Other,Employed,Middle,High school diploma,No,1
266,32,Female,Other,2,Battery,Other,Employed,Low,High school diploma,No,1
267,33,Female,Asian,3,Assault,Property theft,Unemployed,High,Master's degree,Yes,1
268,31,Male,Asian,2,Property damage,Property theft,Unemployed,Middle,Master's degree,No,0
269,27,Male,White,3,Battery,Drug offenses,Employed,Middle,High school diploma,Yes,1
270,51,Male,Other,4,Assault,Property theft,Employed,Low,Bachelor's degree,No,1
271,53,Female,White,1,Assault,Property theft,Unemployed,High,Bachelor's degree,No,1
272,25,Male,Asian,1,Battery,Property theft,Employed,High,Bachelor's degree,No,1
273,53,Female,Asian,1,Property damage,Drug offenses,Unemployed,Low,High school diploma,Yes,1
274,25,Female,Black,2,Theft,Drug offenses,Unemployed,Low,Bachelor's degree,No,1
275,27,Female,Black,0,Battery,Drug offenses,Unemployed,Middle,High school diploma,Yes,1
276,47,Female,Asian,2,Battery,Drug offenses,Unemployed,Low,Master's degree,Yes,1
277,42,Female,Black,2,Assault,Other,Unemployed,High,High school diploma,Yes,1
278,45,Male,Other,0,Battery,Domestic violence,Employed,Low,Bachelor's degree,Yes,1
279,19,Male,Other,2,Battery,Drug offenses,Unemployed,High,High school diploma,No,1
280,21,Male,Black,0,Assault,Other,Unemployed,High,Master's degree,No,1
281,24,Female,Black,3,Theft,Domestic violence,Unemployed,Middle,High school diploma,Yes,1
282,62,Male,Asian,4,Assault,Domestic violence,Employed,High,High school diploma,Yes,1
283,32,Male,Black,1,Property damage,Domestic violence,Employed,High,High school diploma,No,1
284,64,Male,Other,2,Theft,Other,Unemployed,High,Bachelor's degree,Yes,0
285,54,Male,Asian,0,Assault,Drug offenses,Employed,High,High school diploma,No,1
286,30,Female,White,2,Theft,Property theft,Unemployed,Middle,Master's degree,No,0
287,40,Male,White,2,Battery,Drug offenses,Employed,High,High school diploma,No,1
288,38,Female,White,1,Battery,Domestic violence,Employed,Low,High school diploma,No,1
289,43,Female,Asian,4,Assault,Other,Employed,Middle,High school diploma,No,1
290,27,Female,White,2,Assault,Other,Employed,Low,Master's degree,Yes,1
291,26,Female,White,0,Property damage,Other,Employed,Low,High school diploma,Yes,0
292,29,Female,Black,2,Theft,Other,Unemployed,High,Master's degree,No,0
293,31,Male,Black,4,Assault,Other,Employed,High,Bachelor's degree,Yes,1
294,38,Male,Asian,3,Property damage,Other,Employed,High,Bachelor's degree,Yes,1
295,44,Male,White,3,Assault,Drug offenses,Unemployed,Low,Master's degree,Yes,1
296,37,Male,White,4,Theft,Domestic violence,Unemployed,Low,High school diploma,No,1
297,37,Male,White,1,Assault,Domestic violence,Unemployed,Low,Bachelor's degree,Yes,1
298,38,Male,Asian,3,Theft,Other,Unemployed,High,Master's degree,Yes,1
299,35,Male,Other,4,Battery,Other,Employed,Low,Master's degree,No,1
300,55,Male,Other,1,Battery,Other,Employed,High,Bachelor's degree,No,1
301,56,Female,White,4,Theft,Drug offenses,Unemployed,High,Bachelor's degree,Yes,1
302,58,Male,Other,3,Battery,Drug offenses,Unemployed,Middle,Bachelor's degree,No,1
303,64,Male,Other,2,Battery,Other,Unemployed,Middle,High school diploma,No,1
304,53,Male,Asian,4,Theft,Drug offenses,Employed,Low,Bachelor's degree,Yes,1
305,34,Female,Black,3,Theft,Property theft,Employed,Low,Master's degree,No,1
306,26,Male,Other,1,Theft,Other,Unemployed,Middle,Bachelor's degree,No,0
307,51,Male,Asian,2,Theft,Drug offenses,Unemployed,High,High school diploma,No,1
308,18,Male,Other,4,Battery,Other,Employed,High,High school diploma,Yes,1
309,59,Male,Other,3,Battery,Drug offenses,Employed,Low,Master's degree,Yes,1
310,24,Male,Asian,0,Theft,Other,Employed,Low,Bachelor's degree,No,0
311,31,Male,White,4,Theft,Drug offenses,Unemployed,High,High school diploma,No,1
312,53,Male,Asian,4,Property damage,Drug offenses,Unemployed,Low,Bachelor's degree,No,1
313,46,Female,White,0,Property damage,Property theft,Employed,High,High school diploma,Yes,0
314,20,Female,Other,2,Theft,Other,Unemployed,Low,Bachelor's degree,Yes,1
315,34,Male,Other,2,Theft,Property theft,Unemployed,High,Bachelor's degree,No,0
316,35,Female,Asian,2,Assault,Other,Employed,Low,Bachelor's degree,Yes,1
317,30,Male,Other,0,Battery,Domestic violence,Employed,Low,Master's degree,No,1
318,56,Male,White,0,Battery,Domestic violence,Employed,High,High school diploma,No,1
319,36,Female,Other,4,Theft,Domestic violence,Unemployed,High,Master's degree,Yes,1
320,48,Female,Black,0,Property damage,Domestic violence,Employed,Middle,Bachelor's degree,Yes,0
321,20,Male,White,1,Property damage,Other,Employed,Low,Master's degree,Yes,0
322,34,Female,Asian,0,Property damage,Domestic violence,Unemployed,Middle,High school diploma,No,1
323,63,Male,Black,3,Assault,Other,Unemployed,Middle,High school diploma,No,1
324,50,Female,Black,4,Property damage,Domestic violence,Employed,High,Master's degree,Yes,1
325,17,Female,Black,4,Property damage,Property theft,Employed,Middle,High school diploma,Yes,1
326,38,Female,White,0,Property damage,Other,Employed,High,Bachelor's degree,No,0
327,64,Male,White,3,Assault,Domestic violence,Unemployed,Middle,Bachelor's degree,No,1
328,37,Male,Black,4,Theft,Property theft,Employed,Low,Bachelor's degree,No,1
329,55,Female,Asian,2,Theft,Other,Employed,Low,High school diploma,No,1
330,59,Female,White,3,Assault,Drug offenses,Employed,Low,Master's degree,Yes,1
331,35,Male,White,0,Property damage,Drug offenses,Employed,Low,Master's degree,Yes,0
332,34,Male,Asian,0,Assault,Other,Unemployed,Middle,High school diploma,No,1
333,52,Female,Black,3,Battery,Other,Employed,Middle,Bachelor's degree,No,1
