,Type of Crime,Location,Time of Occurrence,Suspect Age,Suspect Gender,Prior Record,Weapon Used,Officer Response Time,label
110,Theft,Chicago,Day,39,Male,False,Sword,43,1
111,Burglary,New York City,Night,44,Female,False,Gun,11,1
112,Assault,Los Angeles,Day,48,Male,True,Knife,45,1
113,Theft,Chicago,Night,33,Female,True,Sword,46,1
114,Burglary,New York City,Day,40,Male,False,Gun,25,1
115,Assault,Los Angeles,Night,30,Female,True,Knife,2,0
116,Theft,Chicago,Day,40,Male,False,Sword,2,1
117,Burglary,New York City,Night,43,Female,False,Gun,44,1
118,Assault,Los Angeles,Day,48,Male,False,Knife,20,1
119,Theft,Chicago,Night,27,Female,True,Sword,48,0
120,Burglary,New York City,Day,23,Male,True,Gun,22,1
121,Assault,Los Angeles,Night,29,Female,False,Knife,8,0
122,Theft,Chicago,Day,26,Male,False,Sword,27,0
123,Burglary,New York City,Night,23,Female,True,Gun,35,1
124,Assault,Los Angeles,Day,25,Male,True,Knife,6,0
125,Theft,Chicago,Night,46,Female,True,Sword,23,1
126,Burglary,New York City,Day,24,Male,True,Gun,26,1
127,Assault,Los Angeles,Night,37,Female,False,Knife,49,1
128,Theft,Chicago,Day,46,Male,True,Sword,7,1
129,Burglary,New York City,Night,43,Female,True,Gun,1,1
130,Assault,Los Angeles,Day,31,Male,False,Knife,19,1
131,Theft,Chicago,Night,23,Female,True,Sword,47,0
132,Burglary,New York City,Day,19,Male,True,Gun,29,1
133,Assault,Los Angeles,Night,24,Female,False,Knife,4,0
134,Theft,Chicago,Day,33,Male,True,Sword,50,1
135,Burglary,New York City,Night,35,Female,False,Gun,24,1
136,Assault,Los Angeles,Day,36,Male,False,Knife,14,1
137,Theft,Chicago,Night,27,Female,False,Sword,12,0
138,Burglary,New York City,Day,16,Male,False,Gun,9,1
139,Assault,Los Angeles,Night,20,Female,True,Knife,19,1
140,Theft,Chicago,Day,47,Male,True,Sword,43,1
141,Burglary,New York City,Night,28,Female,False,Gun,45,1
142,Assault,Los Angeles,Day,40,Male,True,Knife,15,1
143,Theft,Chicago,Night,26,Female,False,Sword,5,0
144,Burglary,New York City,Day,48,Male,False,Gun,25,1
145,Assault,Los Angeles,Night,19,Female,True,Knife,31,1
146,Theft,Chicago,Day,32,Male,True,Sword,32,1
147,Burglary,New York City,Night,23,Female,False,Gun,51,1
148,Assault,Los Angeles,Day,37,Male,True,Knife,59,1
149,Theft,Chicago,Night,32,Female,True,Sword,12,1
150,Burglary,New York City,Day,47,Male,False,Gun,30,1
151,Assault,Los Angeles,Night,38,Female,True,Knife,20,1
152,Theft,Chicago,Day,43,Male,True,Sword,26,1
153,Burglary,New York City,Night,40,Female,False,Gun,52,1
154,Assault,Los Angeles,Day,41,Male,True,Knife,58,1
155,Theft,Chicago,Night,43,Female,True,Sword,59,1
156,Burglary,New York City,Day,37,Male,True,Gun,26,1
157,Assault,Los Angeles,Night,47,Female,True,Knife,29,1
158,Theft,Chicago,Day,29,Male,False,Sword,14,0
159,Burglary,New York City,Night,46,Female,False,Gun,37,1
160,Assault,Los Angeles,Day,43,Male,True,Knife,21,1
161,Theft,Chicago,Night,20,Female,False,Sword,47,1
162,Burglary,New York City,Day,38,Male,False,Gun,37,1
163,Assault,Los Angeles,Night,47,Female,False,Knife,8,1
164,Theft,Chicago,Day,17,Male,False,Sword,26,1
165,Burglary,New York City,Night,49,Female,False,Gun,3,1
166,Assault,Los Angeles,Day,17,Male,True,Knife,11,1
167,Theft,Chicago,Night,18,Female,False,Sword,25,1
168,Burglary,New York City,Day,21,Male,True,Gun,10,1
169,Assault,Los Angeles,Night,37,Female,True,Knife,50,1
170,Theft,Chicago,Day,49,Male,False,Sword,3,1
171,Burglary,New York City,Night,32,Female,True,Gun,5,1
172,Assault,Los Angeles,Day,30,Male,False,Knife,19,0
173,Theft,Chicago,Night,48,Female,False,Sword,20,1
174,Burglary,New York City,Day,50,Male,True,Gun,29,1
175,Assault,Los Angeles,Night,22,Female,True,Knife,14,0
176,Theft,Chicago,Day,42,Male,False,Sword,26,1
177,Burglary,New York City,Night,25,Female,True,Gun,47,1
178,Assault,Los Angeles,Day,48,Male,True,Knife,56,1
179,Theft,Chicago,Night,20,Female,False,Sword,32,1
180,Burglary,New York City,Day,37,Male,False,Gun,21,1
181,Assault,Los Angeles,Night,19,Female,True,Knife,45,1
182,Theft,Chicago,Day,39,Male,False,Sword,44,1
183,Burglary,New York City,Night,46,Female,False,Gun,45,1
184,Assault,Los Angeles,Day,49,Male,True,Knife,36,1
185,Theft,Chicago,Night,37,Female,True,Sword,44,1
186,Burglary,New York City,Day,18,Male,False,Gun,42,1
187,Assault,Los Angeles,Night,21,Female,True,Knife,48,0
188,Theft,Chicago,Day,32,Male,True,Sword,54,1
189,Burglary,New York City,Night,32,Female,True,Gun,31,1
190,Assault,Los Angeles,Day,25,Male,False,Knife,2,0
191,Theft,Chicago,Night,32,Female,True,Sword,10,1
192,Burglary,New York City,Day,27,Male,False,Gun,56,1
193,Assault,Los Angeles,Night,18,Female,False,Knife,48,1
194,Theft,Chicago,Day,24,Male,True,Sword,42,0
195,Burglary,New York City,Night,21,Female,True,Gun,31,1
196,Assault,Los Angeles,Day,23,Male,False,Knife,30,0
197,Theft,Chicago,Night,41,Female,True,Sword,44,1
198,Burglary,New York City,Day,49,Male,False,Gun,35,1
199,Assault,Los Angeles,Night,32,Female,False,Knife,19,1
200,Theft,Chicago,Day,33,Male,False,Sword,42,1
201,Burglary,New York City,Night,29,Female,False,Gun,41,1
202,Assault,Los Angeles,Day,31,Male,True,Knife,13,1
203,Theft,Chicago,Night,42,Female,True,Sword,46,1
204,Burglary,New York City,Day,36,Male,True,Gun,41,1
205,Assault,Los Angeles,Night,39,Female,False,Knife,58,1
206,Theft,Chicago,Day,34,Male,True,Sword,8,1
207,Burglary,New York City,Night,50,Female,False,Gun,58,1
208,Assault,Los Angeles,Day,17,Male,False,Knife,32,1
209,Theft,Chicago,Night,34,Female,False,Sword,1,1
210,Burglary,New York City,Day,29,Male,True,Gun,56,1
211,Assault,Los Angeles,Night,32,Female,False,Knife,57,1
212,Theft,Chicago,Day,32,Male,False,Sword,58,1
213,Burglary,New York City,Night,32,Female,True,Gun,1,1
214,Assault,Los Angeles,Day,22,Male,False,Knife,56,0
215,Theft,Chicago,Night,25,Female,True,Sword,22,0
216,Burglary,New York City,Day,36,Male,False,Gun,42,1
217,Assault,Los Angeles,Night,20,Female,False,Knife,42,1
218,Theft,Chicago,Day,23,Male,True,Sword,9,0
219,Burglary,New York City,Night,32,Female,True,Gun,7,1
220,Assault,Los Angeles,Day,40,Male,True,Knife,40,1
221,Theft,Chicago,Night,36,Female,True,Sword,53,1
222,Burglary,New York City,Day,47,Male,False,Gun,43,1
223,Assault,Los Angeles,Night,47,Female,False,Knife,47,1
224,Theft,Chicago,Day,43,Male,True,Sword,54,1
225,Burglary,New York City,Night,34,Female,True,Gun,38,1
226,Assault,Los Angeles,Day,46,Male,False,Knife,51,1
227,Theft,Chicago,Night,25,Female,True,Sword,56,0
228,Burglary,New York City,Day,28,Male,False,Gun,26,1
229,Assault,Los Angeles,Night,16,Female,True,Knife,13,1
230,Theft,Chicago,Day,24,Male,True,Sword,6,0
231,Burglary,New York City,Night,35,Female,True,Gun,43,1
232,Assault,Los Angeles,Day,16,Male,True,Knife,44,1
233,Theft,Chicago,Night,23,Female,True,Sword,28,0
234,Burglary,New York City,Day,46,Male,False,Gun,33,1
235,Assault,Los Angeles,Night,42,Female,False,Knife,17,1
236,Theft,Chicago,Day,27,Male,True,Sword,1,0
237,Burglary,New York City,Night,49,Female,True,Gun,48,1
238,Assault,Los Angeles,Day,16,Male,False,Knife,43,1
239,Theft,Chicago,Night,46,Female,False,Sword,37,1
240,Burglary,New York City,Day,49,Male,True,Gun,1,1
241,Assault,Los Angeles,Night,48,Female,True,Knife,27,1
242,Theft,Chicago,Day,17,Male,False,Sword,59,1
243,Burglary,New York City,Night,47,Female,True,Gun,34,1
244,Assault,Los Angeles,Day,35,Male,True,Knife,12,1
245,Theft,Chicago,Night,21,Female,True,Sword,59,0
246,Burglary,New York City,Day,33,Male,False,Gun,58,1
247,Assault,Los Angeles,Night,50,Female,True,Knife,24,1
248,Theft,Chicago,Day,35,Male,True,Sword,42,1
249,Burglary,New York City,Night,18,Female,False,Gun,16,1
250,Assault,Los Angeles,Day,33,Male,False,Knife,16,1
251,Theft,Chicago,Night,29,Female,False,Sword,47,0
252,Burglary,New York City,Day,46,Male,False,Gun,13,1
253,Assault,Los Angeles,Night,38,Female,False,Knife,19,1
254,Theft,Chicago,Day,34,Male,False,Sword,36,1
255,Burglary,New York City,Night,28,Female,True,Gun,15,1
256,Assault,Los Angeles,Day,49,Male,False,Knife,52,1
257,Theft,Chicago,Night,45,Female,True,Sword,36,1
258,Burglary,New York City,Day,22,Male,True,Gun,29,1
259,Assault,Los Angeles,Night,19,Female,True,Knife,24,1
260,Theft,Chicago,Day,50,Male,True,Sword,11,1
261,Burglary,New York City,Night,31,Female,False,Gun,18,1
262,Assault,Los Angeles,Day,45,Male,False,Knife,38,1
263,Theft,Chicago,Night,16,Female,False,Sword,11,1
264,Burglary,New York City,Day,19,Male,True,Gun,32,1
265,Assault,Los Angeles,Night,22,Female,True,Knife,52,0
266,Theft,Chicago,Day,31,Male,True,Sword,9,1
267,Burglary,New York City,Night,20,Female,False,Gun,50,1
268,Assault,Los Angeles,Day,47,Male,True,Knife,55,1
269,Theft,Chicago,Night,25,Female,False,Sword,27,0
270,Burglary,New York City,Day,45,Male,False,Gun,46,1
271,Assault,Los Angeles,Night,37,Female,True,Knife,19,1
272,Theft,Chicago,Day,18,Male,False,Sword,39,1
273,Burglary,New York City,Night,49,Female,True,Gun,20,1
274,Assault,Los Angeles,Day,29,Male,True,Knife,45,0
275,Theft,Chicago,Night,35,Female,False,Sword,9,1
276,Burglary,New York City,Day,29,Male,True,Gun,33,1
277,Assault,Los Angeles,Night,27,Female,True,Knife,49,0
278,Theft,Chicago,Day,33,Male,True,Sword,42,1
279,Burglary,New York City,Night,26,Female,True,Gun,31,1
280,Assault,Los Angeles,Day,26,Male,True,Knife,15,0
281,Theft,Chicago,Night,37,Female,True,Sword,14,1
282,Burglary,New York City,Day,40,Male,True,Gun,7,1
283,Assault,Los Angeles,Night,36,Female,False,Knife,14,1
284,Theft,Chicago,Day,45,Male,False,Sword,51,1
285,Burglary,New York City,Night,31,Female,True,Gun,34,1
286,Assault,Los Angeles,Day,40,Male,False,Knife,44,1
287,Theft,Chicago,Night,33,Female,True,Sword,15,1
288,Burglary,New York City,Day,48,Male,True,Gun,56,1
289,Assault,Los Angeles,Night,26,Female,False,Knife,28,0
290,Theft,Chicago,Day,37,Male,False,Sword,52,1
291,Burglary,New York City,Night,44,Female,True,Gun,2,1
292,Assault,Los Angeles,Day,28,Male,True,Knife,49,0
293,Theft,Chicago,Night,26,Female,True,Sword,48,0
294,Burglary,New York City,Day,17,Male,False,Gun,57,1
295,Assault,Los Angeles,Night,39,Female,False,Knife,38,1
296,Theft,Chicago,Day,30,Male,True,Sword,47,0
297,Burglary,New York City,Night,25,Female,True,Gun,44,1
298,Assault,Los Angeles,Day,45,Male,True,Knife,37,1
299,Theft,Chicago,Night,32,Female,False,Sword,35,1
300,Burglary,New York City,Day,40,Male,True,Gun,13,1
301,Assault,Los Angeles,Night,34,Female,False,Knife,39,1
302,Theft,Chicago,Day,33,Male,True,Sword,26,1
303,Burglary,New York City,Night,34,Female,True,Gun,19,1
304,Assault,Los Angeles,Day,40,Male,True,Knife,5,1
305,Theft,Chicago,Night,34,Female,False,Sword,47,1
306,Burglary,New York City,Day,22,Male,True,Gun,36,1
307,Assault,Los Angeles,Night,30,Female,True,Knife,2,0
308,Theft,Chicago,Day,45,Male,False,Sword,23,1
309,Burglary,New York City,Night,21,Female,True,Gun,1,1
310,Assault,Los Angeles,Day,47,Male,False,Knife,35,1
311,Theft,Chicago,Night,18,Female,True,Sword,4,1
312,Burglary,New York City,Day,48,Male,True,Gun,24,1
313,Assault,Los Angeles,Night,37,Female,True,Knife,5,1
314,Theft,Chicago,Day,43,Male,True,Sword,5,1
315,Burglary,New York City,Night,30,Female,True,Gun,53,1
316,Assault,Los Angeles,Day,49,Male,False,Knife,33,1
317,Theft,Chicago,Night,45,Female,False,Sword,55,1
318,Burglary,New York City,Day,16,Male,False,Gun,37,1
319,Assault,Los Angeles,Night,31,Female,False,Knife,8,1
320,Theft,Chicago,Day,21,Male,False,Sword,42,0
321,Burglary,New York City,Night,32,Female,True,Gun,31,1
322,Assault,Los Angeles,Day,46,Male,True,Knife,10,1
323,Theft,Chicago,Night,44,Female,False,Sword,1,1
324,Burglary,New York City,Day,46,Male,False,Gun,26,1
325,Assault,Los Angeles,Night,33,Female,True,Knife,15,1
326,Theft,Chicago,Day,32,Male,False,Sword,26,1
327,Burglary,New York City,Night,41,Female,False,Gun,23,1
328,Assault,Los Angeles,Day,16,Male,True,Knife,47,1
329,Theft,Chicago,Night,24,Female,False,Sword,20,0
330,Burglary,New York City,Day,50,Male,False,Gun,36,1
331,Assault,Los Angeles,Night,27,Female,True,Knife,7,0
332,Theft,Chicago,Day,39,Male,False,Sword,1,1
333,Burglary,New York City,Night,45,Female,True,Gun,58,1
334,Assault,Los Angeles,Day,22,Male,False,Knife,13,0
335,Theft,Chicago,Night,44,Female,True,Sword,40,1
336,Burglary,New York City,Day,36,Male,True,Gun,46,1
337,Assault,Los Angeles,Night,42,Female,False,Knife,55,1
338,Theft,Chicago,Day,50,Male,True,Sword,48,1
339,Burglary,New York City,Night,23,Female,True,Gun,15,1
340,Assault,Los Angeles,Day,29,Male,True,Knife,34,0
341,Theft,Chicago,Night,34,Female,False,Sword,28,1
342,Burglary,New York City,Day,44,Male,True,Gun,36,1
343,Assault,Los Angeles,Night,47,Female,False,Knife,58,1
344,Theft,Chicago,Day,40,Male,True,Sword,41,1
345,Burglary,New York City,Night,39,Female,True,Gun,6,1
346,Assault,Los Angeles,Day,46,Male,True,Knife,1,1
347,Theft,Chicago,Night,47,Female,False,Sword,2,1
348,Burglary,New York City,Day,26,Male,False,Gun,28,1
349,Assault,Los Angeles,Night,17,Female,True,Knife,13,1
350,Theft,Chicago,Day,20,Male,False,Sword,46,1
351,Burglary,New York City,Night,44,Female,False,Gun,8,1
352,Assault,Los Angeles,Day,41,Male,False,Knife,55,1
353,Theft,Chicago,Night,16,Female,False,Sword,40,1
354,Burglary,New York City,Day,37,Male,True,Gun,57,1
355,Assault,Los Angeles,Night,42,Female,True,Knife,31,1
356,Theft,Chicago,Day,24,Male,False,Sword,44,0
357,Burglary,New York City,Night,20,Female,True,Gun,25,1
358,Assault,Los Angeles,Day,38,Male,False,Knife,22,1
359,Theft,Chicago,Night,21,Female,True,Sword,2,0
360,Burglary,New York City,Day,32,Male,True,Gun,19,1
361,Assault,Los Angeles,Night,30,Female,False,Knife,31,0
362,Theft,Chicago,Day,37,Male,False,Sword,54,1
363,Burglary,New York City,Night,21,Female,False,Gun,8,1
364,Assault,Los Angeles,Day,42,Male,False,Knife,25,1
365,Theft,Chicago,Night,38,Female,False,Sword,54,1
366,Burglary,New York City,Day,50,Male,True,Gun,45,1
367,Assault,Los Angeles,Night,47,Female,True,Knife,2,1
368,Theft,Chicago,Day,27,Male,False,Sword,30,0
369,Burglary,New York City,Night,38,Female,False,Gun,24,1
370,Assault,Los Angeles,Day,22,Male,False,Knife,9,0
371,Theft,Chicago,Night,24,Female,True,Sword,19,0
372,Burglary,New York City,Day,25,Male,False,Gun,59,1
373,Assault,Los Angeles,Night,47,Female,False,Knife,15,1
374,Theft,Chicago,Day,44,Male,True,Sword,12,1
375,Burglary,New York City,Night,47,Female,False,Gun,36,1
376,Assault,Los Angeles,Day,28,Male,False,Knife,18,0
377,Theft,Chicago,Night,22,Female,True,Sword,51,0
378,Burglary,New York City,Day,22,Male,True,Gun,11,1
379,Assault,Los Angeles,Night,27,Female,False,Knife,47,0
380,Theft,Chicago,Day,26,Male,True,Sword,54,0
381,Burglary,New York City,Night,28,Female,False,Gun,12,1
382,Assault,Los Angeles,Day,27,Male,False,Knife,43,0
383,Theft,Chicago,Night,31,Female,True,Sword,50,1
384,Burglary,New York City,Day,50,Male,False,Gun,44,1
385,Assault,Los Angeles,Night,32,Female,False,Knife,20,1
386,Theft,Chicago,Day,24,Male,False,Sword,7,0
387,Burglary,New York City,Night,16,Female,True,Gun,34,1
388,Assault,Los Angeles,Day,19,Male,True,Knife,16,1
389,Theft,Chicago,Night,43,Female,True,Sword,38,1
390,Burglary,New York City,Day,21,Male,True,Gun,12,1
391,Assault,Los Angeles,Night,19,Female,True,Knife,38,1
392,Theft,Chicago,Day,31,Male,True,Sword,54,1
393,Burglary,New York City,Night,35,Female,True,Gun,14,1
394,Assault,Los Angeles,Day,28,Male,True,Knife,55,0
395,Theft,Chicago,Night,23,Female,True,Sword,59,0
396,Burglary,New York City,Day,44,Male,True,Gun,41,1
397,Assault,Los Angeles,Night,38,Female,True,Knife,5,1
398,Theft,Chicago,Day,47,Male,True,Sword,26,1
399,Burglary,New York City,Night,19,Female,True,Gun,22,1
400,Assault,Los Angeles,Day,42,Male,False,Knife,35,1
401,Theft,Chicago,Night,48,Female,True,Sword,22,1
402,Burglary,New York City,Day,21,Male,True,Gun,19,1
403,Assault,Los Angeles,Night,29,Female,False,Knife,50,0
404,Theft,Chicago,Day,26,Male,False,Sword,15,0
405,Burglary,New York City,Night,32,Female,True,Gun,20,1
406,Assault,Los Angeles,Day,50,Male,False,Knife,53,1
407,Theft,Chicago,Night,23,Female,True,Sword,26,0
408,Burglary,New York City,Day,37,Male,False,Gun,36,1
409,Assault,Los Angeles,Night,31,Female,False,Knife,52,1
410,Theft,Chicago,Day,22,Male,False,Sword,33,0
411,Burglary,New York City,Night,31,Female,True,Gun,24,1
412,Assault,Los Angeles,Day,43,Male,True,Knife,23,1
413,Theft,Chicago,Night,41,Female,True,Sword,15,1
414,Burglary,New York City,Day,30,Male,False,Gun,56,1
415,Assault,Los Angeles,Night,20,Female,True,Knife,26,1
416,Theft,Chicago,Day,18,Male,False,Sword,27,1
417,Burglary,New York City,Night,31,Female,True,Gun,9,1
418,Assault,Los Angeles,Day,45,Male,False,Knife,6,1
419,Theft,Chicago,Night,49,Female,False,Sword,59,1
420,Burglary,New York City,Day,49,Male,True,Gun,57,1
421,Assault,Los Angeles,Night,40,Female,False,Knife,39,1
422,Theft,Chicago,Day,47,Male,False,Sword,56,1
423,Burglary,New York City,Night,47,Female,True,Gun,47,1
424,Assault,Los Angeles,Day,35,Male,False,Knife,6,1
425,Theft,Chicago,Night,47,Female,True,Sword,22,1
426,Burglary,New York City,Day,49,Male,False,Gun,13,1
427,Assault,Los Angeles,Night,36,Female,True,Knife,59,1
428,Theft,Chicago,Day,18,Male,False,Sword,16,1
429,Burglary,New York City,Night,21,Female,False,Gun,36,1
430,Assault,Los Angeles,Day,32,Male,False,Knife,10,1
431,Theft,Chicago,Night,39,Female,False,Sword,39,1
432,Burglary,New York City,Day,24,Male,True,Gun,29,1
433,Assault,Los Angeles,Night,18,Female,True,Knife,32,1
434,Theft,Chicago,Day,36,Male,False,Sword,18,1
435,Burglary,New York City,Night,44,Female,False,Gun,11,1
436,Assault,Los Angeles,Day,28,Male,False,Knife,46,0
437,Theft,Chicago,Night,42,Female,True,Sword,1,1
438,Burglary,New York City,Day,19,Male,True,Gun,29,1
439,Assault,Los Angeles,Night,22,Female,False,Knife,55,0
440,Theft,Chicago,Day,41,Male,True,Sword,24,1
441,Burglary,New York City,Night,33,Female,True,Gun,32,1
442,Assault,Los Angeles,Day,49,Male,True,Knife,37,1
443,Theft,Chicago,Night,24,Female,True,Sword,9,0
444,Burglary,New York City,Day,25,Male,True,Gun,57,1
445,Assault,Los Angeles,Night,18,Female,False,Knife,40,1
446,Theft,Chicago,Day,22,Male,True,Sword,53,0
447,Burglary,New York City,Night,49,Female,True,Gun,29,1
448,Assault,Los Angeles,Day,49,Male,False,Knife,24,1
449,Theft,Chicago,Night,40,Female,False,Sword,6,1
450,Burglary,New York City,Day,39,Male,False,Gun,34,1
451,Assault,Los Angeles,Night,47,Female,False,Knife,42,1
452,Theft,Chicago,Day,23,Male,True,Sword,22,0
453,Burglary,New York City,Night,24,Female,True,Gun,44,1
454,Assault,Los Angeles,Day,40,Male,True,Knife,7,1
455,Theft,Chicago,Night,41,Female,False,Sword,7,1
456,Burglary,New York City,Day,31,Male,False,Gun,24,1
457,Assault,Los Angeles,Night,33,Female,False,Knife,13,1
458,Theft,Chicago,Day,47,Male,False,Sword,10,1
459,Burglary,New York City,Night,37,Female,True,Gun,32,1
460,Assault,Los Angeles,Day,30,Male,False,Knife,22,0
461,Theft,Chicago,Night,21,Female,False,Sword,52,0
462,Burglary,New York City,Day,37,Male,False,Gun,58,1
463,Assault,Los Angeles,Night,30,Female,False,Knife,42,0
464,Theft,Chicago,Day,23,Male,False,Sword,32,0
465,Burglary,New York City,Night,25,Female,True,Gun,6,1
466,Assault,Los Angeles,Day,39,Male,True,Knife,16,1
467,Theft,Chicago,Night,36,Female,False,Sword,59,1
