,Age,Income,Months_Since_Last_Purchase,Total_Spent,Number_of_Transactions,Campaign_Opened,Campaign_Clicked,Days_Since_Last_Campaign,Customer_Loyalty_Score,Average_Order_Value,Number_of_Products_Viewed,Campaign_Sent,Time_Spent_on_Site,label
57,61,120424,20,8575.623376612837,48,1,3,255,19.231577278435054,383.5673910072921,21,4,122.18930514053064,1
58,51,35048,8,9166.352358412074,37,4,2,352,46.39362634548909,491.7379430189894,3,4,164.05859212183546,0
59,79,186183,13,4309.852205132963,46,2,3,219,24.581858702257463,896.2362491461331,5,5,80.82196954859143,0
60,31,188976,18,3188.668183211388,2,5,2,8,91.48421498516547,806.7078077450615,37,6,44.30021017077055,0
61,65,74912,6,5821.987465941139,37,5,1,11,33.540681349634696,3.6563113446492768,25,9,102.40467782175186,0
62,32,54008,15,3711.724234376276,2,4,2,324,95.22640145333723,320.0595641835825,10,9,109.76835111869477,0
63,79,151132,15,6010.74166800233,29,3,3,243,53.30552900947112,421.7742419361259,89,7,107.66527440198242,0
64,57,103559,0,7055.858626438247,0,5,1,181,63.15443786761603,229.71628368323172,16,8,113.01475829602106,0
65,70,75337,3,6884.050184921369,29,3,2,283,54.29404444893278,199.57161589593875,87,10,189.74098364783615,0
66,41,130616,3,3745.5288702012135,44,3,3,311,12.93806169667009,37.784506595679666,91,3,180.44912461924628,1
67,43,33350,6,1668.6020169875283,31,3,0,98,37.5821219007941,643.3697250697605,98,4,175.14340731178788,0
68,77,44354,7,4305.293384622075,27,0,0,196,9.914611227762393,262.51029048316565,30,4,160.28336218172544,0
69,58,65186,16,1425.9414408190873,20,2,2,365,62.29540441833817,52.34717843131309,76,7,188.68562145305708,0
70,46,48145,4,8900.970351838083,45,2,2,225,44.68741952004389,230.97931052806365,34,8,19.69892833588065,0
71,32,185092,6,3458.7746073785743,12,5,0,332,77.79849715709368,801.9139528361266,15,6,53.0246522891479,0
72,62,106123,19,1544.5974722332378,26,5,3,102,22.047048099936983,851.4891816465466,78,4,99.01118913091697,0
73,82,40581,19,254.47759905750877,35,3,3,105,16.45660584293349,483.0662451933027,17,2,169.30689862468105,1
74,26,108929,3,6458.223862864843,6,0,3,364,40.63322309637678,416.07067040868617,100,0,101.0331423045465,0
75,18,43051,5,6369.023174547432,21,3,2,57,92.65853832183811,977.8536935017818,61,10,149.60694786831775,1
76,25,71474,6,3406.0416658129166,9,0,1,77,71.04218150124117,200.5646595880699,26,8,27.791981049783242,0
77,80,111748,17,717.11888847651,38,3,1,74,41.89236247929187,215.35928285460847,34,4,50.48276259531204,0
78,28,145995,4,4096.28894895232,14,1,1,41,51.727216975431055,291.86717703639977,44,8,146.3552190075345,0
79,25,89626,19,3112.1749506339356,14,1,1,323,8.421301117709834,172.75731828108732,34,9,32.946801777544806,0
80,52,26960,2,6771.2063973500935,3,4,1,180,98.4575896376113,379.3655982041866,27,3,70.27118693098535,1
81,52,186844,6,6057.792494526903,31,3,2,32,66.6407304694919,910.8342269897538,8,4,52.97325156271428,0
82,50,172592,21,3645.9372819754,22,5,2,70,28.540406846342247,615.3478406285743,75,3,69.9723388444957,0
83,22,56408,13,2178.925542549901,5,2,1,55,58.58083942152443,411.94654861226365,14,1,141.66480981559405,0
84,58,114006,6,9880.359661555918,23,4,2,104,10.948236606899398,934.4107945712148,20,0,73.5694362285602,0
85,45,77134,4,4540.016211961149,19,5,2,199,96.58366688075836,48.46423247582232,51,7,111.05266452158804,1
86,24,171563,21,6882.742357802371,36,1,1,100,17.478498788336594,210.27617790186136,34,3,19.98637541088193,0
87,29,152413,4,1405.5296757836077,19,3,3,255,64.80303180552141,565.888605101759,96,4,161.00353864692556,1
88,51,195695,22,4855.896996593978,11,4,2,306,24.545446253893044,615.5526231931792,50,5,73.97772512962497,0
89,50,110327,1,275.36719869465486,32,3,3,73,71.75613826485358,39.55750656261314,82,7,129.70683180666848,1
90,65,151410,20,5054.551179104499,27,1,2,170,77.68213672402811,403.03875790713215,54,10,145.07792033236652,0
91,40,163326,21,9640.174071177024,7,4,2,142,67.34197289114327,649.1539648308727,86,7,41.93218442234008,0
92,79,31344,5,3842.0671298580023,0,1,1,165,61.44994602551925,698.0705464034016,76,6,176.93499699067,0
93,54,152822,14,389.9601257491159,36,0,2,260,89.24690939520117,638.1399025162693,43,3,123.24485032139059,0
94,61,87957,20,309.5579091934353,21,1,0,220,7.862671098975804,320.56322436092455,64,5,85.7450283502963,0
95,52,125423,9,3879.867599468695,5,3,0,82,33.09147657801952,93.5201235979095,92,3,36.46703671564391,0
96,82,78053,22,1600.2493646319404,20,2,1,181,24.828747963084595,427.1124464193341,87,6,188.46018758024135,0
97,64,166968,23,233.5209632818591,31,1,3,306,98.80139620654217,128.75443736805548,79,10,151.01364082632503,1
98,20,97454,6,7562.136139501768,34,5,3,9,38.93897796668735,947.623658520667,24,0,41.60491254664977,0
99,18,110600,4,4585.230088818907,14,2,3,3,73.26126992403988,475.1708660226283,86,4,67.5421549448449,0
100,22,142732,0,2892.447719726545,4,0,0,350,68.47251638810046,317.25917435686756,91,9,161.93485161761464,1
101,31,179007,12,9000.831830164807,45,4,3,335,21.208123747737773,766.3040711189001,46,9,139.1355326430678,1
102,44,57641,20,1161.3896020052562,49,4,3,291,23.899768021155133,497.94859258226387,79,3,153.15685854314486,1
103,26,49711,17,9559.188289553193,47,2,1,280,28.12845635530341,310.03402401245006,55,10,88.24022044258648,0
104,32,90342,12,3139.6671737735282,5,4,3,214,41.112727825937924,811.9677423908017,37,6,143.2952525284334,1
105,59,126896,20,8884.036723086812,24,1,0,97,23.43250656505268,867.152151001122,10,8,77.29874457278274,0
106,68,163254,20,6029.428764794616,45,2,0,100,1.9651482746847804,673.008166288677,66,4,42.252583387639284,0
107,80,107833,17,8267.073597414874,39,3,0,8,87.93930568071954,46.96442240766729,14,3,126.53540696827199,0
108,69,76276,4,9840.131632104643,28,1,1,60,96.5609831380884,566.3228801665321,0,8,195.20278511975883,1
109,21,39541,12,2884.054378187457,6,1,1,308,34.15703870315679,763.2949119972816,6,4,62.12019427906592,0
110,40,114457,3,9611.35485407593,39,1,2,145,33.85068794254729,136.50301208358218,0,8,92.19391844250792,0
111,32,64813,16,3894.8189490242034,12,3,3,62,0.7091812774370987,228.67075138460336,48,7,134.8002742139707,1
112,60,188270,2,3855.119047369223,37,0,1,120,68.02506883303741,882.4951050681365,95,3,108.30125642449757,1
113,46,159892,16,3403.8710425450568,17,5,0,225,82.54398957486288,20.121721853074035,72,10,168.68555914180985,0
114,53,44070,10,5414.076073475852,1,4,0,104,14.660830036000316,752.727137825976,28,10,152.3485412939032,0
115,30,162194,20,1541.450431784871,7,2,1,259,15.966634936715074,473.7732925144229,25,6,11.659440772471408,0
116,49,100559,19,5537.114853580112,10,0,1,348,79.00832499714377,446.77215883960685,86,4,199.6842467847548,0
117,76,61786,22,5417.04812410004,32,2,1,254,61.629074835414464,7.0965324948871755,44,9,150.48049074389345,0
118,45,157809,20,7619.0181260487,37,4,2,206,4.486055762771701,819.3982309664927,92,3,172.78066325882264,0
119,83,56062,3,8336.499619375856,47,3,0,27,62.25469904622817,359.8249006365665,96,4,130.23954241906927,0
120,59,71571,1,4404.41350312424,26,1,2,169,30.891772284376607,540.7656313005429,70,4,171.25702560935247,1
121,62,45510,19,3023.3324935149376,19,1,2,335,36.872515547084596,677.3006863356594,11,10,22.476594985741883,0
122,79,39426,15,2593.3489731709446,11,3,3,75,76.97314182968802,702.6295764379158,94,8,69.54756711186312,0
123,74,57265,17,1946.2383670487193,42,0,0,115,81.09351926726106,955.9800588260723,31,8,175.28418872089856,0
124,23,168922,7,576.4758219902488,30,0,0,68,40.03566268398306,531.3399532366091,19,5,40.33104225337845,0
125,45,86150,2,3424.4797883471333,26,2,1,353,94.71529360063548,399.7195509744276,50,3,15.648419716004547,1
126,45,107312,8,2702.4769213078325,31,3,1,233,40.64627179520722,953.703626491708,80,1,157.6237879890438,0
127,61,109613,19,9664.173858664073,9,0,3,0,77.18360352301099,642.1102350255211,35,2,167.09723112865925,1
128,47,94910,5,5577.088262500439,2,3,2,166,48.38772645642591,298.1503562765556,66,1,32.53044363798012,0
129,79,72375,9,3472.7703903050756,44,4,1,351,89.7532326522084,126.46424540357116,0,4,170.8691965565431,0
130,79,141826,20,5804.676009936959,26,1,1,217,90.77612436501786,842.5545014651813,26,5,137.35355911943392,0
131,18,55435,9,1391.967013456955,34,1,0,272,8.741680787108386,362.18160279415156,39,10,104.01653664331678,0
132,44,116443,12,4440.437492022029,30,1,0,250,93.64933313102257,660.4697213644312,96,4,166.050038556277,0
133,79,154055,16,6262.3432142106385,14,3,1,346,82.55348415204156,470.8164193658981,83,1,83.84984986379315,0
134,20,171734,8,4888.978317924514,15,3,0,343,79.13107143126669,198.92977979503834,13,4,38.79879124467944,0
135,44,43510,16,4017.7880065432423,12,2,3,173,20.091133968552242,601.6866086204651,99,8,56.97053532212273,0
136,26,192070,23,9938.483888996981,48,1,1,169,80.51192087546649,60.68306895068232,68,3,101.03280365866296,0
137,79,114071,8,8803.14762148927,34,2,0,245,85.01327346850368,413.3424598711922,86,9,106.26615853463515,0
138,54,26640,8,6234.059581594401,10,1,3,89,28.915033445415094,546.6149396636711,78,1,161.11616528824672,1
139,68,64547,0,5693.773611822828,20,2,0,48,95.22600783623237,436.04697411857904,5,2,158.2705447304669,1
140,61,74620,1,6206.60479824584,50,2,0,293,4.986014639916425,748.6721752509908,32,2,116.27331144091497,1
141,41,166389,15,2013.1210782243325,10,4,0,149,14.990925324713967,827.9249545453124,54,8,156.15709667309528,0
142,76,135608,0,3951.3774326431862,29,2,1,131,53.75811380515143,771.243074033178,18,3,38.3546916587342,0
143,49,27564,9,394.59532890899317,47,3,2,58,57.579247112230966,38.81294781180211,76,0,10.012905418658868,0
144,69,178417,17,4755.460374868267,34,2,0,323,64.51500833009034,194.1287704459722,28,0,174.72676452694003,0
145,79,133824,7,5430.245839576632,21,1,3,198,1.6969129315466458,536.6075092637743,60,6,15.110898752553915,0
146,75,99273,20,2277.497361032096,37,2,1,214,96.03667746221302,934.8220404438013,69,6,49.33768594879946,0
147,69,94859,10,9640.288471655138,30,0,1,48,4.458809273414399,834.9567750521169,78,1,139.06378992487691,0
148,29,130017,22,9094.54610937242,13,5,3,231,14.306195272340238,842.5345083518016,79,8,81.88958752546182,0
149,56,143618,1,7221.432354559059,23,1,0,246,1.401451752605698,303.2081937596749,23,8,175.26279398310177,1
150,19,145341,7,5333.8662876536255,49,0,2,238,56.685843329409465,429.44789707870257,22,4,59.59595893245391,0
151,20,49430,21,8699.691596476849,48,1,0,167,93.22668839209723,470.7059473159374,9,2,2.374269333871859,0
152,73,47788,7,1306.523438234629,31,3,3,47,66.59471660804643,157.37158334991042,53,2,60.13112811214882,0
153,76,199615,16,7905.09794274885,35,5,1,50,82.26574684804274,31.068130244456317,40,2,115.61500983696634,0
154,19,164991,14,1248.208139668483,31,5,2,298,1.3281203458580082,946.9028994605169,48,5,75.18767508065866,0
155,19,89346,16,7942.106625494054,14,3,1,97,54.20152984797261,240.71258566350673,16,3,106.97455115175106,0
156,71,116122,22,2757.6756825135694,42,5,3,215,45.95629775055219,239.9489037236313,55,7,175.31962376700375,1
157,18,59974,23,8770.90581018189,34,3,0,176,49.8967944220793,83.37905376875953,44,10,182.4970108460737,0
158,36,127309,12,9440.420938253978,2,0,2,79,7.221318533518795,928.5077519437785,29,10,53.19481293082242,0
159,19,36371,18,1487.9596940511562,15,4,1,184,68.44353610693075,579.737114939772,43,10,92.42809465398014,0
160,70,65084,4,4626.756050653935,4,1,1,26,50.322041485863444,667.0368571253539,73,4,109.82880304829024,0
161,61,180701,11,9809.873781626851,20,3,1,194,76.51488498612639,911.5768872630525,54,0,189.8224913776494,0
162,49,81916,0,4834.074359731466,9,1,0,213,48.52906340617154,345.6201689007895,18,8,199.72346383287694,0
163,49,93972,22,8635.475225145452,18,0,2,341,14.938163622643208,621.5073111380841,28,0,47.081449768305326,0
164,72,32984,4,5887.315221313199,24,4,0,113,64.8256954077822,38.79945472888746,1,5,145.39597426916308,0
165,73,53039,7,3753.2990791960187,3,0,0,241,17.238636210516624,186.77252823112934,35,0,75.60621244663903,0
166,34,105431,12,2857.8355552587022,28,5,0,123,87.23945633548149,831.2458050899425,18,2,1.6216393772426452,0
167,55,103691,7,2032.2309108608727,18,1,3,304,61.311623906924154,766.7683563383357,6,9,1.850504487180471,0
168,41,78606,24,7617.981913776972,42,4,3,75,15.720388355695425,350.6426914571469,25,4,92.11320151245116,0
169,28,161688,22,3865.4050682302786,1,5,3,310,96.23380574812069,376.8106277742125,78,9,97.66698260086693,0
170,33,122665,10,5112.754622007512,9,4,2,311,51.83654633353206,533.5544335535794,37,6,4.513939314688531,0
171,76,125373,0,4923.2548000118195,42,5,0,195,7.289845187165501,0.2410046851345493,2,9,137.3854833548605,0
172,20,44574,12,5772.790292331312,24,0,0,350,62.68329044150672,241.24433603802785,79,7,58.80067771899063,0
173,37,154502,18,8655.771456245522,19,3,3,43,25.31989070128102,208.23180860821444,65,8,111.97862030718989,0
174,76,163748,23,9807.393435834294,47,1,0,185,80.36934518773025,250.48294674976347,94,5,60.183814633083756,0
175,53,161888,2,4075.8420857381693,18,2,0,342,81.78220735661907,805.9058425334413,91,10,33.42686297386144,1
176,36,52733,23,8275.18922106303,22,2,1,245,97.89473558546618,279.6738565464432,70,8,81.43474771977506,0
177,84,22050,16,7645.277946547177,23,0,0,83,50.186953102450374,191.52132205014817,93,7,46.454672958100154,0
178,36,129996,4,5735.289514555732,10,1,1,206,45.495687972773716,504.2634607930315,42,8,106.96019538383361,0
179,37,53933,19,9560.471436119331,45,1,0,150,75.34756054464806,865.645036372732,61,9,39.76570605729599,0
180,69,44951,20,2004.7451552840278,33,0,2,155,13.247065634192657,241.34970383749987,70,3,101.68119532892541,0
181,50,52413,7,1092.6421030962142,27,1,3,15,54.69155137931242,78.53624279279869,99,8,31.47570297377351,0
182,57,185873,13,8539.619669554222,4,3,1,164,54.624760013085094,356.4047358496647,92,6,134.19494189715698,0
183,56,183985,3,4391.498166337483,4,0,3,144,8.947312281038721,747.6518245649778,23,4,150.78753688828482,1
184,18,132573,10,8469.688542070604,50,3,1,36,41.798408550691356,550.6905446947947,38,4,22.078846849986753,0
185,28,191672,19,8930.90205195415,20,1,1,332,85.3284798567202,816.7933695743475,67,0,93.56048240746784,0
186,74,186472,14,624.5759361907144,11,0,1,44,85.61536219946603,959.592147609234,92,1,14.174340130974716,0
187,67,155566,18,8834.647629860607,49,1,2,205,9.9237664919681,792.6624767516171,43,9,119.63648910840048,0
188,40,142744,6,4483.190553694222,3,0,0,61,9.072088274783086,603.8030788437534,4,2,52.88085958592907,0
189,48,109431,18,5104.324890042322,48,1,1,355,26.26954770019353,493.3415880523805,54,7,105.52489136774157,0
190,59,63001,18,6265.925110932102,41,3,2,307,87.47660625539935,40.069086348266666,92,5,103.49220187685823,0
191,24,87364,10,9263.826067300868,19,3,1,18,12.890258507349895,984.3219788140412,29,9,184.8708692387601,0
192,33,144988,4,191.1609442976403,37,1,0,364,71.99968026274462,383.48112257504255,28,10,109.81664451374458,0
193,77,65028,4,4768.434683178171,24,0,1,299,10.116561961310321,152.2282139168668,25,4,116.59969594366314,0
194,19,188645,21,6877.220424305607,13,2,2,6,62.31378537478254,666.7088553964568,82,0,80.33062515287605,0
195,18,151878,7,7227.069576982284,10,3,0,248,35.60672991191448,284.28828909545933,25,10,189.81592063656336,0
196,65,144343,9,6925.32431537108,31,3,2,116,78.8913962965867,585.7782709310476,36,8,155.43718188792192,0
197,29,148301,5,1344.3512940812186,10,5,0,67,23.36904488253636,586.7679078445913,90,2,57.08105806056831,0
198,54,146295,14,2993.9558837168124,17,2,0,33,63.920182938995985,445.72982090286916,93,2,168.84191715524642,0
199,49,180829,15,3587.1552541701344,26,1,3,193,23.568253457588494,836.1186155450426,52,1,86.47927203701799,0
200,26,54636,16,8044.37207679505,17,0,3,324,71.36602831121537,264.967061555443,29,3,165.7334287067188,1
201,36,199352,7,2787.59872414553,22,5,3,54,87.36780345607488,448.6325916177342,2,1,164.57761365870041,1
202,65,44262,7,2107.0496386720315,10,1,0,265,12.680179912676003,537.6921285909715,42,8,37.77403735257088,0
203,20,100435,24,9574.480190380962,20,4,1,41,86.65956885955035,663.6247207672997,6,9,140.2282262767154,0
204,37,148583,8,88.63285113468899,43,3,2,296,59.35752544142979,783.9718505055895,48,6,58.12859386130622,0
205,41,189269,1,9978.208556819782,4,4,2,230,12.711049086702397,394.80728287825605,72,7,59.498533998533645,1
206,71,61844,14,6768.212988573956,22,3,2,9,42.7541855359712,646.046944096596,40,2,59.26961537611615,0
207,50,84754,17,8284.69299449117,40,3,3,357,16.08602934850979,150.61095306851914,76,5,145.11364951198965,1
208,41,185229,2,2946.1939634619316,24,4,0,127,70.03478888665695,932.6481005424786,78,9,45.96520835850721,1
209,53,97129,16,143.1527766705998,40,4,3,178,75.88681344179497,383.05880642100357,53,5,0.18116704921804505,0
210,55,60042,3,7378.6951856153,9,1,1,192,10.579652027279895,729.5214219764384,68,0,143.04737069652663,0
211,42,81665,3,8341.445970006758,21,5,0,91,50.613985269464436,20.341081882177647,92,5,34.236948767025055,0
212,35,136953,13,7404.761319535191,18,5,2,230,81.46250560259172,205.187142904807,98,2,20.89647906156693,0
213,83,178448,8,1428.502873008386,0,4,3,77,93.61630415509966,487.082544323578,90,10,47.50322411881203,0
214,71,165271,8,7534.279222569691,6,1,3,84,51.351786674177,878.2524677323465,26,2,75.9801044645408,0
215,52,138533,24,7689.22782107641,3,5,1,29,95.02792236114071,527.2551499506772,7,2,95.18126549464014,0
216,78,93781,22,6585.405156700549,0,1,1,212,53.56889704560298,929.870482293879,31,9,8.914008142526164,0
217,58,86262,17,7661.159327955862,14,1,3,48,39.419049459990795,483.79689658279636,83,10,194.1146665254721,1
218,50,66600,9,8459.21439677732,39,3,1,264,84.82031285528954,490.4490967359499,63,10,143.21261068391163,0
219,50,96898,20,6136.0411423745845,11,5,2,144,49.2982710458089,119.74678850053189,9,9,64.63881306486724,0
220,31,169369,3,886.0471396967906,21,5,1,68,47.190251056452304,802.6562441522198,12,10,63.73945145707947,0
221,38,50448,11,4876.278096672108,21,3,1,57,49.03124894098283,246.9654124670625,62,7,89.70850987369188,0
222,65,46172,7,776.4933467160506,49,4,3,184,84.67850018697453,899.612489372315,92,4,125.2489645526066,1
223,37,193946,1,4075.4303103243083,46,3,3,61,83.19415416880521,910.8242203303961,34,3,29.274613317793552,1
224,25,27657,21,4071.0648912562765,16,5,0,307,40.35199924402112,943.3101118741497,60,8,37.785962752990464,0
225,24,176497,12,660.0984414024158,28,5,0,295,33.3299859870525,520.23048910309,53,8,171.88691656671017,0
226,84,177757,20,3488.205339694793,45,4,3,165,49.19280240391293,677.0937847836443,7,0,51.25098477781451,0
227,34,132855,15,1109.9809879131483,13,3,1,170,57.277250973710906,778.5158800616636,28,1,76.0389995950355,0
228,50,175650,1,8082.352100092222,49,0,1,62,23.833721062799697,131.0146186504656,94,7,174.25437019002342,1
229,65,179903,10,9476.880259644708,19,0,0,146,79.39550847155907,600.9571949974973,40,4,132.6295658799645,0
230,76,27906,9,723.164752579386,49,4,0,305,48.648276573242285,34.297901303311676,29,6,68.34237586833767,0
231,39,81413,14,9551.152072917013,47,3,0,160,33.40455484199596,497.5660833887259,85,0,136.73990914492416,0
232,47,74028,16,5225.765993367451,32,3,2,140,10.68209929639906,154.8426816202274,20,9,3.936643076282742,0
233,55,27287,7,2995.656779538739,42,1,2,333,23.884516040360694,182.9229259620847,75,4,147.12853200227306,0
234,68,53660,17,768.6207527616351,14,5,0,96,94.92811717559837,365.04756669260155,10,10,97.40320810324789,0
235,71,80504,22,5006.242680704178,11,2,1,220,30.50996868195266,432.437166716503,1,2,162.63642945689224,0
236,25,122979,8,7945.1554449074865,39,4,0,42,16.885928936703532,623.1724245321873,49,9,190.92753040129367,0
237,44,54701,24,7070.8647726669815,19,2,2,291,46.06727916549932,74.42841843851566,40,1,185.15770989891368,0
238,44,103300,7,502.26011463973765,29,2,1,107,30.70877433602487,503.6917612374446,65,1,181.85300869106814,0
239,38,168746,13,729.0183536790352,37,4,2,265,3.5159250271194153,182.62513025310113,97,8,102.43399118677743,0
240,47,103560,24,4028.732826326371,2,3,1,94,32.314521727941724,573.9751750317419,2,3,72.02842282778761,0
241,45,174946,17,2952.9049404794328,27,4,2,261,54.41086239394686,637.4046122611835,79,3,93.00706494613455,0
242,81,63642,21,2323.8432305604783,25,2,1,312,55.17123720199669,556.7092565528538,50,6,137.97920066267216,0
243,78,85160,19,2810.044989087136,29,5,1,70,35.65589211768887,738.2955104783076,67,9,176.79955537423734,0
244,65,37602,19,8034.827432968847,12,5,1,218,44.73027562526006,335.6092442409013,86,9,41.39726060002391,0
245,36,123320,20,9292.28053631854,12,5,1,20,96.55179182347663,765.1065916331308,83,1,183.6386316923406,0
246,21,108801,11,4051.0269452756643,1,3,3,91,37.73484772303116,432.76708170819364,24,2,163.0360463939778,1
247,52,45931,18,9061.11002132497,36,0,2,126,25.822681325998296,484.1844983225968,29,2,195.77120303564692,0
