,Age,Gender,Occupation,Income,Fitness Club Member,Frequency of Visits,Duration of Visits,Class Type,Class Day,Class Time,Class Duration,Attitude towards Fitness,Motivation Levels,Past Attendance History,Weather,Location,Time of Day,label
19,51,Male,Other,84538.67849616108,True,4,0.12973810369463634,Cardio,Wednesday,11 AM,0.5808303659633974,Neutral,High,Regularly Attends,Cloudy,Downtown,6 PM,1
20,32,Male,Teacher,86594.90346002959,True,1,1.6244038509481602,Spinning,Tuesday,8 AM,1.2607651502038895,Mixed,High,Rarely Attends,Cloudy,Rural,7 AM,1
21,23,Female,Student,46322.42353145772,True,2,0.5811107106067785,Yoga,Friday,2 PM,0.92738111759941,Positive,Medium,Sometimes Attends,Cloudy,Downtown,7 PM,1
22,55,Female,Doctor,35763.47519154187,True,2,1.7289485414092396,Spinning,Monday,6 AM,1.0033246923602963,Negative,High,Sometimes Attends,Overcast,Resort,1 PM,1
23,52,Male,Engineer,43546.53959220344,True,1,1.4368193370210842,Strength Training,Sunday,9 AM,0.9727848267561916,Negative,Low,Sometimes Attends,Rainy,Resort,4 PM,1
24,65,Male,Doctor,88722.27852055193,False,3,1.2986919906675851,Yoga,Friday,9 AM,0.7547699765907206,Positive,Low,Regularly Attends,Overcast,Other,6 PM,0
25,25,Male,Student,20335.94064383526,True,4,0.5821119943723765,Pool,Tuesday,6 AM,1.3685546503609198,Mixed,Medium,Rarely Attends,Sunny,Resort,4 PM,1
26,30,Female,Teacher,82002.07243913044,False,4,0.8753896745235934,Pool,Thursday,7 PM,0.5123806399452342,Mixed,Medium,Regularly Attends,Snowy,Downtown,12 PM,1
27,45,Female,Student,80345.75922536079,True,3,0.7012086257123593,Pool,Monday,1 PM,0.985386616616456,Neutral,Low,Regularly Attends,Cloudy,Downtown,8 AM,1
28,32,Female,Engineer,50978.39710723846,True,2,0.9562213615143496,Group Fitness,Thursday,4 PM,1.2322723237822355,Positive,Medium,Regularly Attends,Sunny,Other,12 PM,1
29,40,Female,Teacher,64701.49058206462,True,2,1.5804374299052233,Group Fitness,Wednesday,8 AM,1.4237642878502896,Neutral,Medium,Never Attends,Cloudy,Suburban,2 PM,1
30,55,Female,Doctor,85392.23493494265,True,3,0.5211661079300816,Pool,Monday,12 PM,1.339696888583468,Negative,Low,Sometimes Attends,Rainy,Beach,8 AM,1
31,34,Male,Other,33464.9952323975,True,3,1.0822439819807614,Group Fitness,Wednesday,5 PM,1.4917686929767284,Neutral,Medium,Sometimes Attends,Snowy,Suburban,5 PM,1
32,62,Male,Doctor,24842.29765392957,True,4,0.21202483908193392,Yoga,Thursday,9 AM,0.8036570803899298,Mixed,Medium,Sometimes Attends,Cloudy,Rural,8 AM,1
33,56,Female,Other,31239.33686803878,False,4,0.970538775749157,Spinning,Saturday,7 PM,0.7592339792457202,Neutral,High,Never Attends,Cloudy,Beach,2 PM,0
34,27,Male,Teacher,95922.43025246981,True,2,0.17093527053046853,Strength Training,Tuesday,1 PM,1.4309434734241469,Negative,Medium,Regularly Attends,Overcast,Downtown,6 PM,1
35,41,Male,Student,59083.607544339335,False,1,1.6568584092614616,Strength Training,Sunday,10 AM,0.8520012730680748,Positive,Low,Never Attends,Sunny,Downtown,7 PM,0
36,49,Female,Student,89095.00977801176,False,5,0.4478491762944523,Pool,Saturday,2 PM,1.2094553993336394,Neutral,High,Never Attends,Cloudy,Downtown,3 PM,0
37,51,Male,Engineer,95702.34625681136,True,5,0.17924997381398122,Yoga,Thursday,8 PM,0.5269915108011778,Mixed,Medium,Sometimes Attends,Overcast,Beach,11 AM,1
38,32,Female,Teacher,90822.39170570388,False,3,0.9382707707614097,Cardio,Tuesday,10 AM,0.7091395082943419,Positive,High,Rarely Attends,Overcast,Suburban,2 PM,0
39,22,Male,Student,40763.94655334344,False,3,0.46132701739292337,Spinning,Tuesday,10 AM,0.8499398070766521,Positive,Low,Never Attends,Rainy,Suburban,1 PM,0
40,18,Male,Engineer,99433.48541076508,True,3,1.3783665488416592,Cardio,Wednesday,8 PM,1.4873234439268233,Mixed,High,Sometimes Attends,Overcast,Other,9 AM,1
41,28,Male,Doctor,95654.65964549141,True,3,1.181038774208463,Strength Training,Tuesday,9 AM,0.703077320249933,Negative,High,Sometimes Attends,Cloudy,Downtown,10 AM,1
42,58,Female,Student,83398.65179407079,False,1,1.9941466606877951,Yoga,Saturday,12 PM,0.7053299596066611,Neutral,Medium,Rarely Attends,Rainy,Downtown,6 PM,0
43,67,Male,Doctor,85922.3174611011,True,1,1.7614184815014675,Strength Training,Wednesday,8 PM,1.0217071988586204,Negative,High,Sometimes Attends,Overcast,Rural,2 PM,1
44,49,Female,Engineer,40040.338591237116,True,3,1.3602451670514326,Cardio,Tuesday,11 AM,1.1841808526546456,Mixed,Low,Never Attends,Sunny,Resort,7 AM,1
45,69,Male,Doctor,83982.50138633736,True,4,0.10720812601831531,Pool,Saturday,8 PM,1.1367758643809727,Neutral,High,Sometimes Attends,Overcast,Suburban,9 AM,1
46,64,Male,Other,83379.36924355797,False,2,0.8357044893387613,Pool,Sunday,11 AM,0.9541109028744807,Neutral,High,Regularly Attends,Overcast,Other,9 AM,0
47,47,Male,Teacher,49944.01038055049,True,2,1.5974838350373348,Yoga,Saturday,9 AM,0.8486986112081171,Positive,Low,Regularly Attends,Snowy,Rural,8 PM,1
48,31,Female,Doctor,78702.2611273877,False,3,1.5205514082014662,Spinning,Monday,4 PM,0.6159660838539407,Neutral,Low,Never Attends,Cloudy,Resort,8 AM,0
49,20,Female,Doctor,21602.74449066063,False,3,0.765400534994118,Cardio,Monday,10 AM,1.1732391937171749,Neutral,Low,Sometimes Attends,Cloudy,Rural,9 AM,0
50,42,Female,Doctor,37312.41198498853,True,3,0.10236866122944588,Spinning,Saturday,3 PM,1.2189320659837157,Mixed,High,Sometimes Attends,Overcast,Resort,12 PM,1
51,43,Female,Doctor,63047.31130556275,False,3,1.8831967668147642,Spinning,Friday,9 AM,0.646478701153401,Positive,Medium,Sometimes Attends,Rainy,Rural,8 PM,0
52,65,Male,Doctor,58468.75829595506,True,3,0.7724327169061131,Pool,Thursday,4 PM,0.6450656890124493,Neutral,Low,Regularly Attends,Snowy,Suburban,9 AM,1
53,48,Female,Student,81152.53902069389,False,3,0.7461843434013382,Yoga,Sunday,7 PM,1.4596834827440923,Negative,Medium,Rarely Attends,Snowy,Rural,11 AM,0
54,39,Female,Engineer,61719.2158622279,False,2,1.4564564443827126,Yoga,Saturday,6 PM,1.494414181443216,Neutral,Medium,Regularly Attends,Overcast,Rural,1 PM,0
55,50,Female,Engineer,76101.56290861938,False,4,1.7978195700523703,Group Fitness,Tuesday,7 AM,0.9824134527017656,Mixed,High,Regularly Attends,Snowy,Beach,8 AM,0
56,60,Female,Teacher,55072.22548382054,False,5,0.8758575933891366,Yoga,Sunday,9 AM,1.0836926478699882,Neutral,High,Rarely Attends,Cloudy,Beach,1 PM,0
57,45,Male,Engineer,80918.71955034367,True,2,1.7292678708440734,Pool,Monday,2 PM,0.7930416910639331,Positive,Medium,Rarely Attends,Overcast,Rural,6 AM,1
58,55,Female,Doctor,22153.317556979415,False,2,0.0015638780949458475,Spinning,Monday,10 AM,1.3029414891759976,Positive,Low,Never Attends,Cloudy,Resort,10 AM,0
59,18,Male,Other,22199.254944033793,False,4,1.4038198051343416,Strength Training,Monday,1 PM,1.3799746032057791,Positive,High,Sometimes Attends,Rainy,Downtown,12 PM,0
60,31,Female,Doctor,82238.3333651608,False,1,0.6358808060830465,Cardio,Sunday,6 AM,0.7047792948789269,Positive,Low,Never Attends,Snowy,Suburban,7 AM,0
61,65,Male,Doctor,85875.08682600477,True,1,1.6810744266047823,Spinning,Thursday,6 PM,1.0783709122664416,Mixed,Low,Regularly Attends,Overcast,Other,1 PM,1
62,40,Female,Student,86497.30551172131,False,5,1.0332393798258326,Cardio,Saturday,6 PM,0.7307041536998623,Mixed,Low,Rarely Attends,Cloudy,Other,7 AM,0
63,57,Male,Doctor,33439.946143873036,True,2,0.47005414620582475,Group Fitness,Wednesday,11 AM,1.2116052095357528,Negative,Medium,Sometimes Attends,Sunny,Beach,5 PM,1
64,65,Female,Teacher,68489.0521351986,True,5,1.0027348462226777,Pool,Thursday,8 AM,1.4895600108407034,Mixed,Low,Rarely Attends,Cloudy,Resort,7 AM,1
65,33,Male,Student,80488.28940342095,False,2,1.6415090207898573,Group Fitness,Wednesday,2 PM,1.4986911483138636,Negative,Medium,Never Attends,Rainy,Resort,7 AM,0
66,63,Female,Other,99717.73346044286,True,3,0.9882492098143529,Pool,Saturday,1 PM,1.3133023682946905,Positive,High,Rarely Attends,Overcast,Beach,6 PM,1
67,44,Female,Teacher,91944.60824644628,True,5,0.8338562218717243,Strength Training,Thursday,9 AM,1.2641340393231109,Neutral,Medium,Rarely Attends,Cloudy,Downtown,3 PM,1
68,22,Male,Doctor,68506.46145968296,True,4,1.6324378418187935,Pool,Thursday,4 PM,0.8030574612406866,Negative,Medium,Rarely Attends,Sunny,Downtown,6 AM,1
69,62,Male,Engineer,55647.63441395621,False,1,0.3095179729231641,Group Fitness,Saturday,12 PM,1.1033811770999984,Neutral,Medium,Regularly Attends,Overcast,Beach,8 PM,0
70,56,Male,Teacher,64910.66527906553,False,4,1.9620300790441605,Pool,Tuesday,3 PM,0.9874180456436942,Neutral,Medium,Regularly Attends,Snowy,Other,6 AM,0
71,41,Male,Student,45881.68530988965,True,1,1.228183148479747,Spinning,Friday,6 PM,0.6346097918823642,Positive,Medium,Never Attends,Cloudy,Beach,8 AM,1
72,26,Male,Student,88598.66531565285,False,1,0.12385620762621707,Strength Training,Sunday,5 PM,0.851461903937869,Negative,High,Rarely Attends,Sunny,Downtown,3 PM,1
73,43,Male,Student,91853.35917022939,True,5,0.5132486764060034,Pool,Sunday,4 PM,0.8489512734258522,Positive,High,Never Attends,Snowy,Other,7 PM,1
74,59,Male,Other,67511.60782513648,False,5,1.7308363004013259,Group Fitness,Friday,12 PM,1.156639452347438,Mixed,Low,Sometimes Attends,Overcast,Rural,8 AM,0
75,68,Female,Teacher,75144.69952900993,False,3,0.5963201637755047,Strength Training,Monday,12 PM,0.5468514224442775,Positive,Medium,Regularly Attends,Rainy,Other,7 AM,0
76,68,Male,Other,50841.76331660701,True,4,0.8248388910057753,Pool,Monday,4 PM,1.1332775356615814,Positive,Low,Rarely Attends,Overcast,Other,1 PM,1
77,50,Female,Engineer,45517.167815452616,True,1,0.8722277304624411,Pool,Thursday,3 PM,0.7660840605018094,Neutral,Low,Regularly Attends,Sunny,Downtown,7 PM,1
78,25,Female,Other,36919.63224655355,True,1,1.9615647025620078,Spinning,Tuesday,2 PM,0.6096521702677858,Mixed,Medium,Sometimes Attends,Sunny,Resort,11 AM,1
79,43,Male,Engineer,78350.60711430426,False,2,1.0839172951205116,Pool,Wednesday,6 PM,0.9240700217129719,Mixed,Low,Sometimes Attends,Cloudy,Resort,8 AM,0
80,33,Female,Student,32636.706409841274,True,4,1.0926808027851007,Yoga,Wednesday,7 AM,0.6395744131306286,Positive,High,Sometimes Attends,Snowy,Suburban,4 PM,1
81,30,Female,Doctor,78891.6329025497,False,2,1.7575413844638972,Yoga,Thursday,6 AM,0.6507462497146848,Mixed,High,Sometimes Attends,Snowy,Other,8 PM,0
82,28,Male,Student,71976.35484908552,False,1,0.5248343559593338,Spinning,Friday,8 AM,0.9148990016417329,Negative,High,Rarely Attends,Rainy,Beach,11 AM,0
83,28,Male,Other,37780.04432848831,True,3,1.9999654853812237,Strength Training,Tuesday,8 AM,0.7105316013244841,Mixed,High,Sometimes Attends,Snowy,Resort,4 PM,1
84,32,Male,Engineer,46118.59501058086,False,1,1.2102410890008681,Cardio,Saturday,7 AM,0.7626852036198903,Mixed,High,Rarely Attends,Snowy,Suburban,12 PM,0
85,46,Male,Other,88965.05826869959,False,4,1.7523402342121364,Group Fitness,Wednesday,2 PM,0.5394387927866183,Neutral,Medium,Never Attends,Overcast,Suburban,4 PM,0
86,27,Male,Engineer,95849.38574670798,False,3,1.4468518614129433,Pool,Saturday,1 PM,0.8959342872300307,Negative,Low,Rarely Attends,Rainy,Other,8 AM,0
87,66,Male,Other,99207.90517638798,False,4,0.9213275999956203,Yoga,Thursday,7 PM,0.7372053306429199,Positive,Low,Never Attends,Cloudy,Rural,7 AM,0
88,22,Female,Student,59947.781198221266,False,5,1.8271055569018526,Yoga,Thursday,3 PM,1.1882908035692357,Neutral,Medium,Rarely Attends,Sunny,Suburban,9 AM,1
89,24,Male,Teacher,75069.9574273523,False,1,1.1960834011957004,Strength Training,Sunday,8 AM,1.0908882112487253,Neutral,Low,Never Attends,Rainy,Downtown,3 PM,1
90,29,Male,Other,59160.81062943971,True,1,1.6777600773550279,Cardio,Tuesday,3 PM,1.3426125109148597,Positive,High,Never Attends,Overcast,Other,6 AM,1
91,65,Female,Teacher,49976.433648675506,True,3,0.21436938380107384,Cardio,Thursday,6 PM,1.0253193947546775,Mixed,Medium,Never Attends,Sunny,Beach,2 PM,1
92,66,Male,Engineer,99039.42114931668,True,3,1.6416018015078464,Yoga,Tuesday,6 PM,0.9053089365697892,Neutral,Low,Sometimes Attends,Rainy,Resort,2 PM,1
93,49,Female,Engineer,58834.89749824957,False,5,1.9880076350954503,Yoga,Thursday,7 AM,0.863713025830594,Positive,Medium,Never Attends,Snowy,Other,10 AM,0
94,58,Female,Engineer,36885.02991152741,False,3,1.034267273935866,Group Fitness,Monday,10 AM,0.5995785800045271,Neutral,Low,Rarely Attends,Snowy,Downtown,12 PM,0
95,52,Female,Teacher,50537.11663689079,False,1,1.5818901871866409,Pool,Sunday,4 PM,0.674961444710662,Positive,Low,Sometimes Attends,Sunny,Rural,10 AM,1
96,52,Female,Student,66784.36638315514,False,2,1.7252092515707043,Cardio,Tuesday,8 AM,0.593278666203014,Negative,High,Sometimes Attends,Rainy,Suburban,7 AM,0
97,68,Male,Student,91181.18094671816,True,1,0.697933650439668,Pool,Saturday,7 AM,1.465846368824679,Negative,Medium,Sometimes Attends,Overcast,Suburban,3 PM,1
98,57,Female,Student,35591.91540066273,False,3,0.9879937179457581,Cardio,Tuesday,7 PM,1.1643909473050424,Negative,Low,Never Attends,Snowy,Beach,2 PM,0
99,56,Male,Engineer,84850.12826333259,False,1,1.6465074893423097,Pool,Thursday,1 PM,0.8486803563190044,Mixed,Low,Regularly Attends,Overcast,Beach,8 PM,0
100,25,Female,Doctor,65988.19995650538,False,4,1.3233525418061565,Spinning,Saturday,12 PM,0.7346671536984274,Mixed,Medium,Sometimes Attends,Rainy,Downtown,9 AM,1
101,64,Female,Student,21062.514577589936,True,5,1.1135415943599893,Spinning,Tuesday,5 PM,0.5947286060029308,Negative,Low,Regularly Attends,Overcast,Beach,11 AM,1
102,30,Male,Teacher,90340.70299346851,False,1,0.956214169867001,Yoga,Monday,9 AM,0.694589374340432,Mixed,Medium,Never Attends,Cloudy,Beach,3 PM,0
103,43,Male,Teacher,77729.62429802414,True,1,0.13297372605848756,Group Fitness,Monday,7 AM,1.0296288350146887,Mixed,Low,Sometimes Attends,Cloudy,Beach,1 PM,1
104,33,Male,Student,36563.92071466698,True,2,0.5114193379641099,Group Fitness,Monday,8 AM,1.1847739203490826,Negative,High,Regularly Attends,Sunny,Rural,4 PM,1
105,43,Female,Doctor,65726.98136441133,True,3,1.0481412292731915,Cardio,Monday,7 PM,0.7675600231976784,Positive,Medium,Sometimes Attends,Snowy,Beach,11 AM,1
106,37,Female,Engineer,27244.64974632179,True,4,0.4002721696499796,Cardio,Monday,9 AM,1.0093339597687878,Negative,High,Sometimes Attends,Cloudy,Resort,5 PM,1
107,64,Male,Teacher,26756.19669574209,True,2,1.0631801711536017,Yoga,Thursday,8 PM,0.5170291814460576,Positive,Low,Rarely Attends,Overcast,Beach,6 AM,1
108,19,Female,Other,42841.79862023795,True,1,1.9963025242861407,Strength Training,Friday,1 PM,0.6034099671474997,Mixed,Low,Never Attends,Overcast,Beach,11 AM,1
109,43,Male,Other,50625.72170686866,False,3,0.11622178912263115,Pool,Wednesday,7 AM,0.9351479473752151,Positive,Low,Regularly Attends,Snowy,Suburban,4 PM,0
110,43,Male,Student,50133.25292107698,True,2,1.4889564258916492,Cardio,Tuesday,7 AM,1.409840773782538,Mixed,Low,Rarely Attends,Overcast,Rural,12 PM,1
111,26,Male,Other,71735.3966862791,False,4,1.827388921936872,Strength Training,Thursday,7 PM,0.6990942658299555,Positive,Low,Never Attends,Snowy,Other,1 PM,0
112,63,Female,Engineer,23788.791142075104,False,4,1.947014085653035,Spinning,Saturday,9 AM,1.1567958566441296,Negative,Low,Regularly Attends,Overcast,Suburban,5 PM,0
113,31,Male,Doctor,45429.755758579464,False,4,1.8012320022472645,Spinning,Monday,3 PM,1.1667737782194956,Mixed,High,Sometimes Attends,Snowy,Downtown,11 AM,0
114,52,Male,Doctor,50979.86901153583,True,2,0.9185395711409368,Pool,Friday,11 AM,0.6165870270570948,Mixed,Low,Sometimes Attends,Overcast,Other,8 AM,1
115,61,Female,Other,48352.10451319074,False,4,1.1395725034684805,Spinning,Sunday,7 AM,1.3215407234858936,Mixed,Low,Regularly Attends,Rainy,Beach,11 AM,0
116,34,Male,Other,32053.795997282738,True,4,1.028634682884476,Spinning,Saturday,7 AM,0.9994959077035299,Mixed,High,Regularly Attends,Sunny,Beach,10 AM,1
117,38,Female,Engineer,35161.33958186683,False,3,0.2866273174739902,Yoga,Saturday,6 PM,0.8321401834051287,Mixed,Low,Rarely Attends,Snowy,Downtown,11 AM,0
118,28,Female,Teacher,95007.64318959959,False,3,1.7294404193795914,Spinning,Friday,8 PM,1.1138375833035943,Positive,Medium,Never Attends,Rainy,Beach,1 PM,0
119,28,Female,Doctor,84068.85252543184,False,1,1.02752895014839,Yoga,Thursday,11 AM,1.0880384700827523,Mixed,High,Regularly Attends,Cloudy,Downtown,9 AM,1
120,41,Male,Teacher,72588.70755162113,False,4,1.4555927027336468,Pool,Sunday,7 AM,1.3583164381670545,Neutral,Low,Never Attends,Cloudy,Suburban,11 AM,0
121,68,Female,Other,89255.23156045008,False,2,1.4709864096365806,Spinning,Friday,3 PM,0.5141518605825909,Positive,High,Regularly Attends,Overcast,Rural,8 PM,0
122,36,Male,Student,98121.24381740217,True,5,1.8295844436019542,Spinning,Wednesday,2 PM,0.7619090519474726,Positive,Low,Sometimes Attends,Sunny,Downtown,2 PM,1
123,58,Female,Engineer,80220.09732440981,False,1,0.6761568975961674,Cardio,Tuesday,6 PM,1.3458440304972266,Neutral,High,Never Attends,Sunny,Resort,8 PM,1
124,65,Female,Doctor,54717.33465084487,True,2,0.6798673621454701,Pool,Saturday,4 PM,0.5006581078522896,Mixed,Low,Regularly Attends,Snowy,Downtown,1 PM,1
125,50,Female,Student,76746.34193395378,False,2,0.051887742944426885,Group Fitness,Wednesday,9 AM,0.5774457592055396,Neutral,Medium,Sometimes Attends,Snowy,Rural,12 PM,0
126,69,Male,Doctor,35919.838834628754,False,5,1.727226335015592,Group Fitness,Wednesday,12 PM,0.5310925169899515,Mixed,High,Regularly Attends,Sunny,Resort,10 AM,0
127,30,Female,Other,40830.08255448758,False,2,1.5924166841557412,Strength Training,Wednesday,5 PM,1.4943054930706277,Neutral,Medium,Never Attends,Cloudy,Resort,5 PM,0
128,58,Male,Teacher,50457.47740327778,False,2,0.32428215824796247,Strength Training,Saturday,4 PM,0.8813311081680424,Positive,High,Sometimes Attends,Cloudy,Beach,7 PM,0
129,27,Male,Doctor,41965.85521385843,True,4,1.256226423657943,Cardio,Tuesday,8 AM,1.2620957738215857,Positive,Medium,Never Attends,Snowy,Suburban,11 AM,1
130,35,Female,Teacher,60933.76862506466,False,1,0.09959746893158461,Pool,Monday,10 AM,1.0906183967712832,Neutral,Medium,Sometimes Attends,Sunny,Suburban,6 AM,1
131,44,Male,Student,91104.62456864456,False,2,1.3165217676336123,Yoga,Thursday,10 AM,0.5758677361869355,Positive,Medium,Never Attends,Overcast,Resort,5 PM,0
132,59,Male,Student,92944.28215054219,False,4,1.7035007156541697,Cardio,Friday,8 PM,1.0446038245262106,Positive,High,Sometimes Attends,Sunny,Resort,10 AM,0
133,33,Female,Other,74302.23500813825,True,2,0.4961729681533331,Group Fitness,Wednesday,6 AM,0.6533242575504883,Positive,Medium,Rarely Attends,Overcast,Downtown,1 PM,1
134,69,Female,Engineer,52087.153675467394,True,4,1.374432753679814,Group Fitness,Tuesday,11 AM,1.1779597955357204,Mixed,Low,Rarely Attends,Rainy,Suburban,8 AM,1
135,59,Male,Teacher,60019.16045690117,False,1,1.8589213516532577,Strength Training,Wednesday,2 PM,1.2620972805966497,Mixed,Low,Sometimes Attends,Cloudy,Other,12 PM,0
136,29,Female,Teacher,58428.19557082553,True,5,1.4906138066038483,Group Fitness,Friday,1 PM,0.7488745913084925,Positive,High,Rarely Attends,Snowy,Beach,4 PM,1
137,57,Female,Other,43977.66814292077,False,2,0.5133411816804514,Group Fitness,Thursday,9 AM,1.4969836418345017,Mixed,Medium,Never Attends,Overcast,Resort,7 PM,0
138,37,Female,Doctor,85281.28089187501,False,4,0.36298761927357237,Yoga,Friday,11 AM,1.1248340599126347,Mixed,Medium,Never Attends,Snowy,Resort,9 AM,0
139,60,Female,Engineer,45221.822466971505,True,2,0.1323540083525927,Group Fitness,Wednesday,4 PM,0.5830239080636431,Positive,Low,Rarely Attends,Rainy,Resort,8 PM,1
140,41,Female,Engineer,20385.61794556762,True,1,0.47075874229296977,Strength Training,Monday,8 AM,1.386746538421328,Mixed,High,Sometimes Attends,Sunny,Downtown,6 PM,1
141,50,Male,Student,76003.61688664516,False,4,1.8325959017226696,Strength Training,Thursday,8 PM,1.4358518477111062,Neutral,Low,Regularly Attends,Cloudy,Beach,6 AM,0
142,40,Male,Engineer,61006.64282245261,False,3,1.1224854923270484,Group Fitness,Thursday,2 PM,0.8673478087638097,Positive,Medium,Rarely Attends,Snowy,Suburban,6 PM,0
143,31,Male,Engineer,28633.534950295285,True,2,1.9926651752931006,Yoga,Saturday,3 PM,1.2248983811098102,Neutral,Low,Never Attends,Snowy,Resort,10 AM,1
144,38,Male,Engineer,32550.855654726583,True,4,1.4154892081302155,Strength Training,Saturday,1 PM,1.1365353121681925,Negative,High,Sometimes Attends,Cloudy,Other,8 AM,1
145,18,Female,Doctor,27610.27789527362,True,2,0.8744810792628892,Group Fitness,Saturday,1 PM,1.4367729650342667,Neutral,High,Never Attends,Sunny,Downtown,3 PM,1
146,22,Female,Teacher,76349.58477947337,True,2,0.7464688356119227,Spinning,Tuesday,7 PM,1.49407798481173,Neutral,Medium,Sometimes Attends,Sunny,Resort,10 AM,1
147,24,Female,Student,89457.17422986057,False,4,1.6990804455783413,Yoga,Monday,11 AM,0.9739602803558981,Mixed,High,Never Attends,Cloudy,Resort,5 PM,0
148,64,Male,Student,38925.63172392828,True,1,0.16408596272329912,Yoga,Friday,11 AM,1.1849092427053334,Negative,Medium,Rarely Attends,Sunny,Suburban,8 PM,1
149,25,Female,Doctor,28235.957057327818,False,4,1.028473065847428,Spinning,Friday,8 PM,0.7921649804358938,Mixed,High,Rarely Attends,Sunny,Resort,1 PM,1
150,68,Female,Engineer,48355.42823970351,False,1,1.8892067346014527,Cardio,Thursday,2 PM,1.3255700065714602,Negative,Low,Rarely Attends,Cloudy,Downtown,9 AM,0
151,43,Male,Doctor,73937.9948465626,True,5,1.4449897778859049,Spinning,Tuesday,6 AM,0.793631907112087,Positive,High,Sometimes Attends,Cloudy,Suburban,7 PM,1
152,35,Male,Student,67187.70356696758,True,2,0.7931540011132465,Pool,Friday,8 PM,1.1722977049856567,Negative,Low,Never Attends,Cloudy,Beach,9 AM,1
153,48,Male,Other,70066.67465089247,True,4,1.4342448845147595,Pool,Wednesday,6 AM,1.1375460130276929,Negative,Low,Never Attends,Rainy,Other,2 PM,1
154,50,Female,Student,21694.718747175222,False,2,1.804492195052451,Strength Training,Wednesday,8 PM,0.6883995322072078,Negative,Medium,Never Attends,Snowy,Suburban,8 AM,0
155,47,Female,Doctor,21103.751518982703,False,3,0.17545932693002264,Cardio,Friday,6 PM,1.0571386462702193,Negative,Medium,Regularly Attends,Rainy,Rural,1 PM,0
