,Incident_ID,Crime_Type,Location_Type,Time_of_Day,Day_of_Week,Prior_Reports,Officer_Experience,Resolution,Witnesses,Evidence_Collected,Suspect_ID,label
69,70,Assault,Apartment,01:10,Saturday,6,19,Unresolved,1,1,101.0,1
70,71,Theft,Apartment,13:36,Thursday,0,3,Unresolved,1,0,102.0,1
71,72,Theft,Commercial,08:06,Thursday,6,4,Solved,0,1,103.0,1
72,73,Robbery,Public Space,13:58,Thursday,10,9,Unresolved,0,1,,1
73,74,Disorderly Conduct,Online,15:21,Wednesday,7,4,Solved,0,0,106.0,0
74,75,Theft,Residential,15:38,Friday,2,11,Solved,0,1,104.0,1
75,76,Fraud,Apartment,09:20,Monday,8,0,Unresolved,0,0,,0
76,77,Disorderly Conduct,Apartment,05:48,Sunday,7,9,Unresolved,2,1,104.0,1
77,78,Theft,Public Space,00:33,Wednesday,1,4,Solved,2,0,109.0,1
78,79,Assault,Online,13:35,Tuesday,5,18,Unresolved,2,1,,1
79,80,Vandalism,Online,08:54,Tuesday,3,18,Solved,1,0,107.0,1
80,81,Assault,Apartment,05:30,Thursday,2,19,Unresolved,2,1,106.0,1
81,82,Theft,Apartment,16:52,Monday,10,11,Unresolved,1,0,105.0,1
82,83,Assault,Apartment,10:59,Thursday,5,15,Solved,2,1,106.0,1
83,84,Drug Offense,Apartment,03:20,Tuesday,9,4,Unresolved,0,0,,0
84,85,Robbery,Commercial,08:27,Tuesday,8,16,Solved,2,1,,1
85,86,Vandalism,Commercial,15:34,Sunday,1,13,Solved,0,0,103.0,0
86,87,Disorderly Conduct,Online,03:55,Friday,9,11,Unresolved,0,0,108.0,0
87,88,Disorderly Conduct,Street,02:44,Sunday,9,12,Unresolved,2,1,103.0,1
88,89,Drug Offense,Residential,18:56,Friday,9,20,Solved,2,1,104.0,1
89,90,Drug Offense,Public Space,20:57,Sunday,4,13,Unresolved,0,0,,0
90,91,Theft,Street,00:22,Friday,5,4,Solved,1,1,100.0,1
91,92,Theft,Commercial,22:05,Thursday,3,4,Solved,1,0,100.0,1
92,93,Disorderly Conduct,Commercial,21:02,Saturday,6,17,Unresolved,2,0,,1
93,94,Drug Offense,Commercial,02:15,Monday,1,13,Unresolved,0,0,,0
94,95,Drug Offense,Street,09:58,Friday,6,17,Unresolved,1,0,102.0,1
95,96,Disorderly Conduct,Commercial,16:38,Wednesday,1,19,Solved,2,0,101.0,1
96,97,Burglary,Street,12:27,Friday,0,0,Unresolved,2,0,,1
97,98,Burglary,Commercial,10:09,Thursday,10,6,Unresolved,0,1,109.0,1
98,99,Fraud,Apartment,06:23,Monday,4,16,Solved,1,0,,1
99,100,Robbery,Apartment,05:23,Friday,1,2,Solved,2,0,,1
100,101,Drug Offense,Residential,00:16,Sunday,7,9,Unresolved,1,0,108.0,1
101,102,Assault,Commercial,11:35,Monday,7,6,Solved,2,0,,1
102,103,Vandalism,Residential,02:05,Wednesday,0,11,Solved,2,0,106.0,1
103,104,Burglary,Street,15:44,Tuesday,3,14,Unresolved,1,1,109.0,1
104,105,Disorderly Conduct,Residential,08:31,Sunday,8,20,Unresolved,1,1,,1
105,106,Theft,Commercial,10:51,Monday,4,15,Unresolved,0,0,,0
106,107,Drug Offense,Street,20:44,Saturday,10,7,Unresolved,0,0,104.0,0
107,108,Assault,Street,22:50,Friday,9,5,Unresolved,0,0,105.0,0
108,109,Vandalism,Apartment,02:11,Sunday,5,3,Unresolved,0,1,,1
109,110,Assault,Street,18:39,Thursday,2,10,Solved,1,1,,1
110,111,Fraud,Street,13:53,Saturday,4,16,Solved,0,0,,0
111,112,Assault,Residential,08:24,Saturday,0,1,Solved,1,1,,1
112,113,Theft,Online,23:16,Thursday,7,5,Solved,2,0,104.0,1
113,114,Burglary,Street,05:35,Thursday,10,3,Solved,1,0,103.0,1
114,115,Assault,Public Space,03:18,Thursday,5,2,Solved,0,1,102.0,1
115,116,Vandalism,Online,11:56,Saturday,1,6,Solved,1,1,,1
116,117,Burglary,Apartment,01:16,Monday,3,6,Solved,1,1,106.0,1
117,118,Fraud,Apartment,14:09,Thursday,3,15,Unresolved,1,1,101.0,1
118,119,Fraud,Street,02:51,Tuesday,8,1,Solved,1,1,,1
119,120,Robbery,Residential,03:53,Saturday,8,7,Unresolved,1,0,,1
120,121,Theft,Online,00:00,Saturday,4,14,Solved,0,1,,1
121,122,Burglary,Apartment,17:03,Saturday,2,15,Unresolved,1,0,109.0,1
122,123,Fraud,Apartment,22:53,Wednesday,0,0,Unresolved,0,1,,1
123,124,Fraud,Public Space,14:26,Monday,5,9,Unresolved,2,0,103.0,1
124,125,Burglary,Street,22:27,Monday,7,6,Unresolved,1,1,,1
125,126,Assault,Online,20:21,Thursday,0,15,Unresolved,2,1,,1
126,127,Disorderly Conduct,Apartment,09:24,Saturday,10,9,Solved,0,0,,0
127,128,Vandalism,Apartment,16:58,Sunday,0,11,Unresolved,1,1,,1
128,129,Assault,Apartment,21:43,Saturday,10,16,Unresolved,2,0,,1
129,130,Vandalism,Apartment,19:11,Thursday,6,12,Unresolved,0,1,100.0,1
130,131,Fraud,Residential,15:36,Monday,6,11,Solved,2,0,,1
131,132,Fraud,Commercial,15:16,Thursday,1,14,Unresolved,1,0,106.0,1
132,133,Theft,Public Space,22:30,Thursday,2,13,Unresolved,1,1,100.0,1
133,134,Burglary,Residential,14:12,Thursday,1,18,Unresolved,1,1,105.0,1
134,135,Drug Offense,Public Space,07:26,Thursday,5,18,Unresolved,0,1,109.0,1
135,136,Fraud,Apartment,20:01,Thursday,7,13,Solved,2,1,102.0,1
136,137,Vandalism,Public Space,07:41,Friday,7,17,Solved,0,1,103.0,1
137,138,Vandalism,Street,06:09,Friday,0,4,Solved,2,0,,1
138,139,Disorderly Conduct,Street,03:42,Saturday,10,19,Solved,0,1,106.0,1
139,140,Disorderly Conduct,Commercial,08:35,Saturday,8,5,Solved,1,1,,1
140,141,Assault,Commercial,02:42,Sunday,10,17,Solved,2,0,102.0,1
141,142,Assault,Public Space,02:57,Sunday,7,13,Solved,2,0,100.0,1
142,143,Fraud,Residential,17:57,Friday,8,3,Solved,2,1,,1
143,144,Fraud,Residential,18:45,Monday,8,0,Solved,0,0,104.0,0
144,145,Robbery,Apartment,23:42,Wednesday,10,12,Unresolved,1,1,107.0,1
145,146,Vandalism,Residential,23:31,Monday,5,10,Unresolved,2,0,,1
146,147,Theft,Commercial,01:58,Sunday,2,2,Unresolved,0,0,,0
147,148,Burglary,Residential,01:01,Saturday,0,16,Solved,2,0,101.0,1
148,149,Burglary,Apartment,09:22,Friday,10,17,Unresolved,1,1,109.0,1
149,150,Disorderly Conduct,Street,14:53,Monday,7,9,Unresolved,2,0,,1
150,151,Burglary,Residential,11:42,Wednesday,9,15,Unresolved,1,1,100.0,1
151,152,Vandalism,Residential,16:17,Thursday,2,20,Unresolved,0,1,105.0,1
152,153,Assault,Commercial,13:16,Tuesday,6,12,Unresolved,0,1,104.0,1
153,154,Theft,Public Space,14:11,Friday,9,19,Unresolved,1,0,,1
154,155,Burglary,Street,15:31,Friday,5,11,Solved,1,1,108.0,1
155,156,Vandalism,Public Space,22:37,Wednesday,2,3,Solved,0,0,,0
156,157,Drug Offense,Apartment,01:33,Thursday,5,7,Unresolved,1,0,103.0,1
157,158,Fraud,Apartment,15:33,Thursday,2,11,Solved,1,1,,1
158,159,Robbery,Public Space,07:06,Tuesday,8,18,Solved,2,1,,1
159,160,Robbery,Commercial,00:03,Thursday,0,14,Unresolved,0,1,,1
160,161,Burglary,Online,10:51,Wednesday,7,15,Solved,0,1,102.0,1
161,162,Assault,Commercial,06:17,Saturday,4,11,Unresolved,1,1,,1
162,163,Robbery,Online,03:48,Thursday,3,19,Unresolved,1,0,,1
163,164,Robbery,Online,10:42,Saturday,0,17,Solved,1,0,101.0,1
164,165,Disorderly Conduct,Commercial,19:10,Sunday,8,11,Solved,0,1,,1
165,166,Robbery,Online,14:45,Sunday,8,15,Solved,2,1,102.0,1
166,167,Robbery,Online,16:33,Saturday,4,19,Solved,0,1,101.0,1
167,168,Burglary,Online,17:47,Wednesday,10,10,Solved,2,0,,1
168,169,Disorderly Conduct,Street,11:41,Friday,8,19,Solved,1,0,,1
169,170,Vandalism,Apartment,15:34,Friday,9,13,Solved,0,1,108.0,1
170,171,Theft,Online,07:26,Friday,8,1,Solved,2,1,,1
171,172,Theft,Apartment,21:53,Monday,6,12,Unresolved,0,0,101.0,0
172,173,Assault,Apartment,23:01,Friday,7,13,Unresolved,2,0,,1
173,174,Vandalism,Street,21:00,Wednesday,0,5,Unresolved,2,1,106.0,1
174,175,Fraud,Apartment,13:24,Tuesday,3,11,Unresolved,0,1,108.0,1
175,176,Drug Offense,Public Space,03:35,Sunday,9,6,Solved,1,0,,1
176,177,Theft,Residential,08:02,Thursday,9,3,Unresolved,0,0,102.0,0
177,178,Drug Offense,Street,04:00,Friday,3,6,Solved,1,0,,1
178,179,Theft,Residential,21:18,Monday,8,12,Solved,2,0,,1
179,180,Disorderly Conduct,Public Space,00:41,Sunday,2,10,Unresolved,2,0,,1
180,181,Theft,Commercial,21:29,Sunday,9,7,Solved,0,1,,1
181,182,Disorderly Conduct,Commercial,11:09,Saturday,9,18,Solved,0,1,101.0,1
182,183,Disorderly Conduct,Online,01:15,Monday,0,1,Unresolved,1,0,,1
183,184,Assault,Commercial,07:45,Wednesday,10,20,Unresolved,1,0,,1
184,185,Robbery,Street,14:47,Tuesday,4,17,Solved,0,0,109.0,0
185,186,Assault,Commercial,10:43,Friday,6,20,Solved,1,0,109.0,1
186,187,Disorderly Conduct,Street,01:35,Friday,3,9,Unresolved,1,1,,1
187,188,Disorderly Conduct,Street,02:08,Monday,8,5,Unresolved,0,1,,1
188,189,Theft,Residential,17:18,Wednesday,5,3,Solved,0,1,107.0,1
189,190,Vandalism,Commercial,06:03,Monday,5,18,Unresolved,2,1,102.0,1
190,191,Robbery,Apartment,05:50,Monday,2,13,Unresolved,2,0,,1
191,192,Vandalism,Commercial,00:31,Tuesday,9,13,Solved,0,0,,0
192,193,Vandalism,Commercial,15:10,Wednesday,9,17,Unresolved,2,1,101.0,1
193,194,Vandalism,Commercial,21:35,Tuesday,4,16,Unresolved,1,0,,1
194,195,Robbery,Online,17:22,Wednesday,9,17,Solved,0,1,,1
195,196,Vandalism,Apartment,04:53,Friday,5,17,Unresolved,2,0,103.0,1
196,197,Robbery,Apartment,05:24,Thursday,3,4,Solved,0,0,105.0,0
197,198,Drug Offense,Street,01:11,Saturday,2,8,Unresolved,2,1,,1
198,199,Disorderly Conduct,Apartment,21:08,Thursday,4,0,Unresolved,0,0,104.0,0
199,200,Fraud,Street,19:28,Sunday,6,3,Solved,1,0,106.0,1
200,201,Theft,Residential,11:28,Wednesday,10,6,Unresolved,2,0,,1
201,202,Burglary,Street,12:26,Thursday,5,10,Unresolved,0,1,,1
202,203,Vandalism,Commercial,21:54,Monday,1,13,Solved,1,0,101.0,1
203,204,Assault,Public Space,16:04,Friday,0,9,Solved,2,0,,1
204,205,Drug Offense,Public Space,19:44,Saturday,4,18,Solved,2,0,,1
205,206,Assault,Online,12:41,Saturday,4,7,Unresolved,0,1,,1
206,207,Burglary,Commercial,14:14,Sunday,5,2,Unresolved,1,0,,1
207,208,Robbery,Street,17:49,Saturday,2,7,Unresolved,0,0,,0
208,209,Burglary,Commercial,01:22,Friday,0,17,Solved,2,1,,1
209,210,Assault,Online,10:12,Thursday,3,4,Unresolved,0,0,,0
210,211,Disorderly Conduct,Apartment,10:03,Saturday,3,19,Solved,0,0,,0
211,212,Disorderly Conduct,Street,14:53,Saturday,9,10,Solved,1,0,,1
212,213,Burglary,Commercial,22:24,Wednesday,1,8,Solved,1,1,,1
213,214,Disorderly Conduct,Apartment,10:49,Monday,7,18,Solved,2,0,102.0,1
214,215,Theft,Online,15:41,Wednesday,5,11,Unresolved,1,0,,1
215,216,Burglary,Apartment,11:12,Thursday,2,4,Unresolved,0,1,,1
216,217,Vandalism,Street,08:58,Friday,0,15,Unresolved,2,1,109.0,1
217,218,Theft,Online,20:44,Friday,10,12,Unresolved,1,0,,1
218,219,Vandalism,Online,05:05,Wednesday,2,5,Solved,0,0,,0
219,220,Fraud,Online,10:50,Tuesday,7,15,Unresolved,0,0,,0
220,221,Fraud,Residential,10:09,Wednesday,3,17,Unresolved,2,1,104.0,1
221,222,Burglary,Online,22:14,Tuesday,2,16,Unresolved,2,0,,1
222,223,Theft,Residential,12:22,Sunday,10,11,Solved,1,1,103.0,1
223,224,Disorderly Conduct,Apartment,07:36,Wednesday,3,0,Unresolved,1,0,105.0,1
224,225,Theft,Residential,01:15,Tuesday,10,6,Unresolved,1,1,,1
225,226,Fraud,Apartment,12:50,Tuesday,3,13,Solved,1,1,108.0,1
226,227,Burglary,Residential,08:46,Saturday,1,17,Unresolved,2,1,101.0,1
227,228,Drug Offense,Apartment,05:39,Sunday,3,0,Unresolved,0,0,104.0,0
228,229,Robbery,Apartment,23:45,Saturday,10,19,Solved,0,1,,1
229,230,Robbery,Online,04:16,Tuesday,8,9,Solved,1,1,108.0,1
230,231,Robbery,Online,21:38,Tuesday,3,14,Unresolved,2,0,,1
231,232,Disorderly Conduct,Apartment,08:47,Monday,0,10,Solved,1,1,105.0,1
232,233,Theft,Online,17:27,Tuesday,0,3,Unresolved,1,1,,1
233,234,Disorderly Conduct,Apartment,12:49,Saturday,0,14,Unresolved,2,0,,1
234,235,Fraud,Online,09:00,Tuesday,4,20,Solved,0,1,107.0,1
235,236,Robbery,Public Space,20:49,Friday,5,15,Unresolved,0,0,,0
236,237,Fraud,Residential,18:33,Monday,5,14,Unresolved,1,0,,1
237,238,Theft,Apartment,03:42,Tuesday,5,16,Unresolved,2,0,104.0,1
238,239,Fraud,Commercial,02:40,Saturday,8,10,Unresolved,0,1,103.0,1
239,240,Drug Offense,Online,09:27,Saturday,0,17,Unresolved,0,0,,0
240,241,Disorderly Conduct,Online,01:38,Thursday,9,15,Solved,2,1,100.0,1
241,242,Burglary,Street,14:58,Saturday,5,14,Solved,2,1,,1
242,243,Fraud,Commercial,18:41,Monday,7,10,Solved,0,1,106.0,1
243,244,Fraud,Commercial,23:51,Saturday,7,12,Solved,1,1,109.0,1
244,245,Burglary,Public Space,13:35,Friday,2,17,Unresolved,1,0,104.0,1
245,246,Theft,Residential,10:02,Wednesday,4,7,Solved,0,0,,0
246,247,Theft,Public Space,22:16,Friday,9,8,Unresolved,1,1,100.0,1
247,248,Disorderly Conduct,Residential,06:25,Sunday,3,10,Solved,1,1,100.0,1
248,249,Fraud,Apartment,10:17,Friday,0,16,Solved,2,0,,1
249,250,Drug Offense,Public Space,13:45,Monday,8,0,Unresolved,2,0,107.0,1
250,251,Robbery,Street,05:30,Monday,4,10,Solved,2,0,,1
251,252,Drug Offense,Residential,08:53,Thursday,1,6,Unresolved,1,1,101.0,1
252,253,Burglary,Public Space,02:16,Saturday,1,7,Solved,2,0,,1
253,254,Burglary,Street,11:35,Thursday,10,18,Unresolved,2,0,,1
254,255,Vandalism,Commercial,19:47,Monday,6,3,Unresolved,0,0,105.0,0
255,256,Robbery,Online,23:09,Saturday,3,3,Unresolved,2,1,,1
256,257,Fraud,Apartment,06:09,Monday,0,18,Solved,0,0,100.0,0
257,258,Burglary,Apartment,06:54,Monday,4,8,Solved,1,0,108.0,1
258,259,Vandalism,Commercial,17:40,Wednesday,1,16,Unresolved,2,0,100.0,1
259,260,Theft,Public Space,21:49,Friday,6,17,Unresolved,0,1,,1
260,261,Burglary,Online,16:10,Thursday,8,0,Solved,0,1,,1
261,262,Assault,Commercial,00:16,Thursday,0,13,Solved,0,0,107.0,1
262,263,Robbery,Street,03:35,Tuesday,1,3,Solved,1,1,108.0,1
263,264,Vandalism,Online,13:59,Sunday,10,9,Solved,2,1,,1
264,265,Robbery,Residential,08:44,Wednesday,5,13,Unresolved,1,0,,1
265,266,Robbery,Public Space,15:32,Monday,7,6,Solved,0,1,107.0,1
266,267,Assault,Online,02:50,Monday,6,11,Solved,1,0,108.0,1
267,268,Drug Offense,Residential,07:49,Wednesday,8,15,Unresolved,1,1,,1
268,269,Theft,Commercial,05:58,Saturday,1,4,Solved,0,1,109.0,1
269,270,Robbery,Apartment,19:57,Thursday,8,10,Unresolved,2,0,104.0,1
270,271,Burglary,Online,05:28,Monday,3,3,Unresolved,2,0,103.0,1
271,272,Disorderly Conduct,Online,04:11,Sunday,10,12,Solved,1,0,109.0,1
272,273,Theft,Residential,08:40,Tuesday,2,7,Unresolved,2,1,103.0,1
273,274,Burglary,Residential,16:18,Thursday,6,6,Solved,0,1,,1
274,275,Theft,Apartment,16:53,Friday,4,10,Solved,2,1,,1
275,276,Fraud,Residential,15:43,Sunday,4,10,Solved,1,1,109.0,1
276,277,Theft,Residential,02:13,Wednesday,1,16,Solved,0,0,102.0,0
277,278,Vandalism,Online,16:53,Thursday,5,13,Solved,0,0,106.0,0
278,279,Burglary,Apartment,15:20,Friday,5,1,Solved,0,0,100.0,0
279,280,Disorderly Conduct,Apartment,11:59,Tuesday,3,19,Unresolved,1,0,107.0,1
280,281,Burglary,Online,23:33,Saturday,4,20,Unresolved,1,0,,1
281,282,Fraud,Commercial,07:43,Wednesday,6,7,Unresolved,2,1,,1
282,283,Theft,Commercial,20:47,Saturday,7,1,Unresolved,1,1,,1
283,284,Robbery,Online,07:27,Sunday,5,20,Solved,0,0,,0
284,285,Disorderly Conduct,Residential,15:09,Monday,4,14,Solved,1,1,106.0,1
285,286,Burglary,Public Space,19:14,Saturday,2,4,Solved,1,1,100.0,1
286,287,Fraud,Commercial,03:25,Monday,6,5,Solved,2,1,100.0,1
287,288,Disorderly Conduct,Commercial,14:35,Sunday,7,16,Unresolved,0,0,108.0,0
288,289,Assault,Online,10:37,Friday,2,7,Unresolved,2,1,107.0,1
289,290,Assault,Online,03:40,Thursday,4,18,Solved,2,0,100.0,1
290,291,Theft,Public Space,08:34,Tuesday,10,4,Solved,2,1,103.0,1
291,292,Drug Offense,Public Space,22:27,Friday,1,18,Solved,0,1,105.0,1
292,293,Theft,Apartment,04:46,Tuesday,9,13,Solved,2,0,101.0,1
293,294,Fraud,Online,08:01,Saturday,9,9,Solved,0,0,,0
294,295,Theft,Commercial,02:57,Tuesday,3,12,Unresolved,2,0,102.0,1
295,296,Robbery,Street,20:43,Saturday,3,4,Solved,2,0,100.0,1
296,297,Robbery,Street,15:04,Tuesday,7,6,Unresolved,0,1,,1
297,298,Vandalism,Residential,09:27,Wednesday,2,9,Solved,1,0,,1
298,299,Fraud,Commercial,14:13,Friday,4,10,Solved,2,0,,1
299,300,Drug Offense,Street,13:22,Wednesday,10,2,Unresolved,1,1,105.0,1
300,301,Disorderly Conduct,Commercial,12:15,Thursday,4,12,Unresolved,2,1,104.0,1
301,302,Fraud,Online,07:07,Thursday,1,1,Solved,1,1,,1
302,303,Fraud,Commercial,16:29,Monday,8,3,Unresolved,1,0,105.0,1
303,304,Drug Offense,Street,16:34,Monday,3,2,Solved,1,0,,1
304,305,Fraud,Commercial,00:48,Monday,8,14,Solved,1,1,,1
305,306,Drug Offense,Public Space,23:47,Sunday,8,3,Unresolved,1,1,,1
306,307,Drug Offense,Residential,16:24,Thursday,1,20,Unresolved,0,1,107.0,1
307,308,Drug Offense,Apartment,01:24,Tuesday,8,3,Solved,1,0,104.0,1
308,309,Fraud,Street,13:38,Saturday,8,14,Solved,0,1,,1
309,310,Fraud,Online,18:32,Sunday,1,5,Unresolved,2,0,108.0,1
310,311,Theft,Apartment,16:58,Tuesday,10,4,Solved,0,0,108.0,0
311,312,Fraud,Residential,09:05,Friday,5,11,Solved,1,1,102.0,1
312,313,Theft,Public Space,06:24,Thursday,8,6,Unresolved,0,0,,0
313,314,Vandalism,Public Space,05:36,Saturday,3,2,Unresolved,1,0,108.0,1
314,315,Assault,Public Space,01:17,Saturday,1,6,Solved,0,0,100.0,0
315,316,Assault,Public Space,23:48,Saturday,6,11,Unresolved,2,0,100.0,1
316,317,Vandalism,Street,23:26,Monday,8,14,Unresolved,1,0,106.0,1
317,318,Vandalism,Street,22:38,Saturday,5,18,Solved,1,0,,1
318,319,Burglary,Commercial,20:18,Saturday,10,5,Unresolved,0,1,,1
319,320,Theft,Online,06:22,Thursday,10,7,Unresolved,0,0,109.0,0
320,321,Drug Offense,Commercial,06:47,Tuesday,3,5,Solved,0,1,101.0,1
321,322,Disorderly Conduct,Online,11:46,Sunday,0,2,Solved,0,0,100.0,0
322,323,Burglary,Residential,14:42,Sunday,3,4,Unresolved,0,1,108.0,1
323,324,Robbery,Commercial,01:34,Tuesday,2,8,Unresolved,1,1,107.0,1
324,325,Theft,Residential,18:19,Wednesday,6,15,Solved,2,1,106.0,1
325,326,Fraud,Residential,14:15,Wednesday,10,15,Unresolved,0,0,,0
326,327,Vandalism,Residential,00:46,Friday,10,8,Unresolved,1,0,,1
327,328,Assault,Public Space,11:38,Thursday,9,17,Unresolved,2,0,109.0,1
328,329,Theft,Apartment,06:42,Wednesday,4,12,Unresolved,2,0,101.0,1
329,330,Vandalism,Apartment,19:28,Wednesday,2,10,Solved,0,0,107.0,0
330,331,Disorderly Conduct,Street,10:48,Thursday,1,9,Solved,1,0,103.0,1
331,332,Disorderly Conduct,Residential,02:47,Tuesday,1,9,Unresolved,1,1,,1
332,333,Theft,Public Space,04:59,Friday,4,5,Solved,1,0,104.0,1
333,334,Fraud,Commercial,01:22,Friday,7,15,Unresolved,1,0,,1
334,335,Theft,Commercial,06:59,Friday,7,11,Solved,1,0,108.0,1
335,336,Fraud,Street,09:04,Wednesday,4,3,Solved,2,1,106.0,1
336,337,Theft,Street,14:11,Tuesday,1,4,Solved,2,1,,1
337,338,Robbery,Residential,09:30,Friday,3,1,Unresolved,2,1,,1
338,339,Assault,Residential,21:16,Thursday,6,18,Unresolved,1,1,106.0,1
339,340,Theft,Commercial,19:19,Friday,5,0,Solved,2,0,100.0,1
340,341,Vandalism,Commercial,10:07,Sunday,9,3,Solved,2,0,,1
341,342,Robbery,Commercial,14:33,Monday,6,11,Solved,0,1,104.0,1
