,age,years_in_congress,state,party_affiliation,voted_on_budget,voted_on_healthcare_reform,voted_on_tax_cuts,voted_on_immigration_reform,voted_on_climate_change_bill,voted_on_abortion_rights,voted_on_gun_control,voted_on_welfare_reform,education_level,income_level,number_of_bills_sponsored,number_of_amendments_supported,gender,race,religion,label
265,29,10,IL,Democrat,0,0,0,0,1,1,0,0,2,3,15,3,Male,Other,Christian,1
266,36,22,CA,Democrat,0,0,1,1,1,1,0,1,2,3,7,20,Female,White,Jewish,0
267,34,9,CA,Democrat,0,0,1,0,1,0,0,0,3,2,8,10,Male,Black,Jewish,1
268,38,24,WA,Republican,1,0,1,0,0,0,0,0,2,2,4,5,Male,White,Jewish,0
269,44,18,CA,Democrat,1,0,0,0,1,0,0,0,3,3,4,14,Female,White,Jewish,1
270,44,17,IL,Democrat,1,0,1,0,0,0,0,1,3,3,13,10,Female,Black,Jewish,1
271,68,24,MI,Democrat,0,0,1,1,1,0,1,1,3,2,13,24,Female,White,Jewish,1
272,79,5,IL,Republican,1,1,0,0,0,0,0,0,4,3,4,25,Female,Other,Jewish,1
273,60,2,NY,Republican,0,1,1,1,1,1,1,0,2,2,3,21,Female,White,Other,0
274,76,10,TX,Democrat,0,0,1,1,1,1,1,1,2,3,16,6,Male,White,Jewish,1
275,49,1,TX,Democrat,0,0,0,1,1,1,0,0,3,2,5,23,Female,Black,Christian,1
276,65,27,TX,Republican,0,0,0,1,1,0,1,1,1,1,6,18,Female,Other,Christian,0
277,70,8,TX,Republican,1,0,1,0,1,1,1,0,4,2,13,4,Male,Other,Christian,1
278,29,8,FL,Republican,0,0,1,0,1,1,0,0,2,1,14,3,Male,White,Christian,0
279,65,6,MI,Republican,0,0,0,1,1,0,0,0,1,1,5,0,Female,Other,Jewish,0
280,51,21,CA,Republican,1,1,0,0,0,1,0,0,3,3,9,15,Female,Black,Other,1
282,36,22,FL,Democrat,1,0,1,0,1,0,1,1,2,3,7,19,Female,Other,Jewish,0
283,52,21,NC,Republican,1,0,1,1,0,1,1,0,2,1,4,17,Female,Black,Other,0
284,68,18,FL,Democrat,0,0,0,1,0,1,0,1,4,1,15,19,Female,Black,Jewish,1
286,45,4,FL,Democrat,1,0,1,0,1,1,1,1,4,2,10,12,Female,White,Jewish,1
287,67,23,IL,Republican,0,0,1,0,1,0,0,0,3,3,6,11,Male,Black,Other,1
288,79,1,TX,Democrat,1,0,0,1,1,0,1,0,1,1,1,3,Male,Black,Other,0
290,77,2,NC,Democrat,1,1,0,1,0,1,0,1,4,3,5,12,Female,White,Jewish,1
291,36,19,CA,Republican,1,0,0,1,1,1,1,1,4,1,18,26,Male,Black,Jewish,1
292,65,3,TX,Republican,1,1,1,0,0,0,1,1,2,1,17,2,Male,White,Jewish,0
293,68,26,NY,Republican,1,0,0,1,1,0,0,1,2,1,0,20,Female,Other,Other,0
294,35,1,MI,Republican,1,0,1,0,1,1,0,1,2,3,17,24,Female,White,Other,0
295,43,21,WA,Republican,0,1,0,1,1,1,0,1,1,3,11,16,Male,Black,Other,1
296,32,13,NC,Republican,1,1,0,1,0,1,0,1,2,3,16,6,Male,White,Christian,1
298,31,12,FL,Democrat,1,0,0,0,0,0,0,1,3,3,19,12,Male,Black,Jewish,1
299,45,8,TX,Republican,1,0,0,1,1,0,1,0,4,2,2,14,Male,Black,Other,1
300,51,26,FL,Democrat,0,0,1,1,0,0,0,1,2,1,9,13,Male,White,Other,0
301,38,28,NC,Republican,0,0,0,0,1,1,0,0,3,2,15,15,Male,Other,Other,1
302,56,27,OH,Democrat,1,1,1,1,0,0,1,1,1,3,17,16,Female,Other,Other,1
303,53,7,NC,Republican,0,1,1,1,1,0,1,1,2,1,0,25,Female,Black,Christian,0
305,52,8,NC,Democrat,0,1,1,0,1,1,1,0,1,1,18,27,Female,White,Other,0
306,48,29,IL,Republican,1,0,0,1,1,1,0,1,1,1,2,15,Male,Black,Other,0
307,78,24,IL,Republican,0,0,1,0,1,1,1,1,1,2,15,27,Female,White,Jewish,1
308,26,15,CA,Republican,0,1,1,1,1,1,0,1,4,1,15,0,Female,Other,Jewish,1
309,76,21,NC,Republican,1,1,1,1,0,0,1,1,1,1,15,13,Female,Other,Other,1
310,55,7,NY,Democrat,1,1,0,1,0,1,0,0,3,3,11,1,Male,Other,Jewish,1
312,25,18,WA,Republican,1,1,1,0,0,0,0,1,1,2,17,21,Male,Other,Christian,1
314,53,6,FL,Republican,1,0,1,0,1,1,0,1,4,3,19,29,Female,Black,Christian,1
315,54,11,OH,Republican,1,0,0,1,0,1,0,1,2,3,10,8,Female,Black,Jewish,1
316,66,10,TX,Republican,0,0,1,0,1,0,0,0,1,2,19,18,Female,Black,Jewish,1
317,25,19,NC,Republican,0,1,0,1,1,0,0,1,3,2,11,4,Female,Black,Other,1
318,46,18,NY,Republican,0,1,1,0,0,1,0,1,3,3,17,23,Female,Black,Christian,1
319,66,12,IL,Democrat,0,0,0,1,1,0,1,0,4,2,1,9,Male,Other,Christian,1
320,32,17,WA,Republican,1,1,0,1,0,1,0,1,3,1,3,5,Female,Black,Jewish,1
321,37,20,NY,Democrat,0,0,1,1,1,1,0,1,3,3,3,2,Female,White,Christian,1
322,38,2,AZ,Republican,1,1,0,0,0,0,1,1,1,3,13,1,Male,White,Jewish,1
