,Transaction_ID,Amount,Transaction_Type,Location,Time,Device_Type,Account_Age (days),Velocity (transactions/hour),Is_International,label
21,22,192.59,Credit,Los Angeles,2026-01-20 08:53:13.612746,Desktop,290,26,No,0
22,23,1429.24,Cash Withdraw,Chicago,2026-01-25 15:10:13.612749,Mobile,2830,29,Yes,1
23,24,981.14,Cash Withdraw,New York,2026-01-10 17:29:13.612751,Mobile,2210,18,Yes,1
24,25,60.72,Credit,Dallas,2026-01-11 07:34:13.612754,Mobile,4813,33,No,0
25,26,1215.42,Cash Withdraw,Toronto,2026-01-23 08:32:13.612757,Desktop,1401,37,No,1
26,27,3395.49,Cash Withdraw,Los Angeles,2026-01-04 11:01:13.612760,Desktop,567,22,No,1
27,28,1159.29,Credit,New York,2026-01-09 13:10:13.612762,Tablet,1474,52,Yes,1
28,29,2547.47,Credit,Toronto,2025-12-29 09:54:13.612765,Tablet,1988,0,No,0
29,30,4439.65,Wire Transfer,Dallas,2026-01-20 17:54:13.612768,Tablet,3788,2,No,1
30,31,3470.32,Wire Transfer,Atlanta,2026-01-25 07:43:13.612771,Mobile,3866,2,Yes,1
31,32,1976.17,Debit,Atlanta,2026-01-06 12:42:13.612775,ATM,3261,27,Yes,1
32,33,1865.48,Debit,Los Angeles,2026-01-25 03:13:13.612778,Tablet,3548,13,Yes,1
33,34,2281.4,Credit,Miami,2026-01-20 09:33:13.612781,Mobile,3252,51,No,0
34,35,889.32,Wire Transfer,Chicago,2025-12-28 13:33:13.612784,Mobile,1717,29,Yes,0
35,36,3171.83,Debit,Seattle,2026-01-17 09:46:13.612787,Tablet,1013,57,Yes,1
36,37,1823.94,Cash Withdraw,Toronto,2026-01-03 14:21:13.612790,ATM,1311,53,No,1
37,38,4262.56,Credit,Los Angeles,2025-12-29 09:56:13.612792,Desktop,4571,4,No,0
38,39,3783.98,Cash Withdraw,Seattle,2026-01-06 20:21:13.612795,Desktop,618,48,Yes,1
39,40,3054.51,Debit,Toronto,2026-01-02 17:45:13.612798,Mobile,4737,14,Yes,1
40,41,1824.19,Credit,Chicago,2026-01-13 13:46:13.612801,Tablet,4258,37,No,0
41,42,1053.61,Debit,Los Angeles,2026-01-21 19:59:13.612803,ATM,1983,13,Yes,1
42,43,3881.88,Debit,Atlanta,2026-01-22 14:04:13.612806,ATM,2229,13,No,0
43,44,2434.61,Debit,Miami,2026-01-26 18:17:13.612809,ATM,4821,56,No,0
44,45,1127.63,Cash Withdraw,Chicago,2026-01-12 09:52:13.612812,Desktop,469,58,Yes,1
45,46,979.9,Debit,Dallas,2026-01-19 03:15:13.612814,Tablet,4117,48,Yes,0
46,47,831.18,Debit,Dallas,2026-01-12 17:41:13.612817,Tablet,4356,7,Yes,0
47,48,3886.92,Debit,Dallas,2026-01-24 05:22:13.612820,Mobile,1140,7,No,0
48,49,1148.79,Debit,Chicago,2026-01-25 19:41:13.612823,Tablet,1437,18,No,0
49,50,2635.58,Credit,San Francisco,2026-01-14 01:11:13.612825,ATM,537,31,Yes,1
50,51,2260.47,Debit,Los Angeles,2026-01-04 12:44:13.612828,ATM,952,30,Yes,1
51,52,2900.16,Debit,Chicago,2026-01-02 00:25:13.612831,ATM,2814,28,Yes,1
52,53,4386.39,Credit,Miami,2026-01-19 10:57:13.612833,Desktop,3007,40,Yes,1
53,54,4339.4,Credit,Miami,2026-01-02 22:18:13.612836,Tablet,3995,10,Yes,0
54,55,2258.12,Debit,Toronto,2026-01-24 03:22:13.612839,Mobile,1841,44,Yes,1
55,56,81.75,Credit,Miami,2025-12-29 01:16:13.612842,Tablet,851,12,No,0
56,57,2135.09,Credit,Miami,2025-12-29 15:42:13.612845,Desktop,1972,26,No,0
57,58,3032.94,Debit,Atlanta,2026-01-27 12:28:13.612847,Mobile,1192,55,No,0
58,59,2791.03,Debit,Los Angeles,2026-01-17 12:19:13.612851,Mobile,3921,18,No,0
59,60,3258.42,Cash Withdraw,Los Angeles,2026-01-02 19:12:13.612853,ATM,4629,25,Yes,1
60,61,774.61,Wire Transfer,New York,2026-01-14 14:51:13.612856,Mobile,2063,52,Yes,0
61,62,3234.44,Credit,Miami,2026-01-02 08:44:13.612859,ATM,3047,50,No,0
62,63,917.34,Debit,Atlanta,2026-01-05 00:39:13.612861,Tablet,4400,36,No,0
63,64,3753.87,Cash Withdraw,Seattle,2026-01-09 23:30:13.612864,ATM,3559,47,Yes,1
64,65,1698.74,Credit,Dallas,2026-01-26 01:55:13.612867,Desktop,4512,8,Yes,0
65,66,3550.93,Debit,Seattle,2026-01-17 02:27:13.612870,Tablet,305,27,No,0
66,67,244.09,Cash Withdraw,Los Angeles,2026-01-22 15:26:13.612873,ATM,4909,31,No,0
67,68,2042.26,Debit,Atlanta,2025-12-30 22:28:13.612875,Mobile,2848,51,No,0
68,69,3526.65,Cash Withdraw,Toronto,2026-01-07 02:56:13.612878,ATM,2436,53,Yes,1
69,70,1138.22,Credit,San Francisco,2026-01-24 19:18:13.612881,Tablet,2805,2,Yes,0
70,71,3977.46,Credit,New York,2026-01-20 22:15:13.612884,ATM,1985,50,No,0
71,72,3155.74,Wire Transfer,Los Angeles,2025-12-31 21:35:13.612886,Mobile,3937,31,No,1
72,73,2939.87,Wire Transfer,Miami,2026-01-21 15:57:13.612889,ATM,713,4,No,1
73,74,1770.98,Wire Transfer,Atlanta,2026-01-21 17:59:13.612892,ATM,2896,7,Yes,0
74,75,2414.85,Credit,Los Angeles,2026-01-23 05:03:13.612895,Desktop,1682,13,Yes,1
75,76,2988.76,Credit,Seattle,2026-01-25 09:38:13.612898,Desktop,1334,55,Yes,1
76,77,2364.95,Wire Transfer,Atlanta,2025-12-28 17:18:13.612900,Desktop,3199,2,Yes,1
77,78,3493.08,Credit,New York,2026-01-13 19:23:13.612903,Tablet,175,23,Yes,1
78,79,2171.32,Debit,Chicago,2025-12-30 01:06:13.612906,ATM,3206,12,Yes,1
79,80,1015.35,Debit,Toronto,2026-01-15 23:11:13.612909,ATM,1417,42,No,0
80,81,1073.6,Cash Withdraw,New York,2026-01-08 03:18:13.612912,Mobile,1988,28,Yes,1
81,82,33.99,Wire Transfer,Miami,2026-01-23 12:46:13.612914,Mobile,4854,7,Yes,0
82,83,1508.28,Credit,New York,2026-01-07 15:37:13.612917,Desktop,1773,50,Yes,1
83,84,3745.84,Debit,Miami,2026-01-13 02:27:13.612920,ATM,4267,41,Yes,1
84,85,3971.84,Debit,Toronto,2026-01-13 21:49:13.612922,Desktop,1075,30,Yes,1
85,86,1016.33,Credit,New York,2025-12-28 02:52:13.612925,ATM,4761,25,Yes,1
86,87,4795.42,Credit,Dallas,2025-12-30 15:01:13.612928,ATM,592,17,No,0
87,88,2514.5,Cash Withdraw,Miami,2026-01-08 19:42:13.612931,Desktop,2979,57,No,1
88,89,4585.31,Debit,Dallas,2026-01-01 09:40:13.612933,Tablet,3983,17,Yes,1
89,90,3535.29,Wire Transfer,Miami,2026-01-14 21:11:13.612936,Desktop,2411,56,Yes,1
90,91,3613.55,Cash Withdraw,Miami,2026-01-22 00:04:13.612939,Tablet,848,6,No,1
91,92,429.79,Debit,San Francisco,2026-01-13 15:31:13.612941,Tablet,494,47,No,0
92,93,1103.86,Cash Withdraw,Los Angeles,2026-01-19 16:13:13.612944,ATM,546,37,No,1
93,94,49.03,Wire Transfer,Miami,2026-01-21 10:24:13.612947,Tablet,2287,47,No,0
94,95,3582.06,Wire Transfer,Chicago,2026-01-07 20:26:13.612950,Mobile,2698,15,No,1
95,96,1725.47,Wire Transfer,Atlanta,2026-01-14 13:56:13.612952,Mobile,3838,54,No,0
96,97,3934.33,Wire Transfer,San Francisco,2026-01-22 21:01:13.612955,Mobile,1541,55,Yes,1
97,98,1697.99,Wire Transfer,Seattle,2025-12-30 07:40:13.612958,Mobile,884,59,No,0
98,99,4097.57,Debit,New York,2026-01-26 20:55:13.612961,Desktop,3957,32,No,0
99,100,657.84,Credit,Dallas,2026-01-01 13:20:13.612963,ATM,3095,55,No,0
100,101,871.0,Cash Withdraw,Miami,2026-01-10 14:01:13.612966,Mobile,2366,50,Yes,1
101,102,1707.68,Wire Transfer,Los Angeles,2026-01-21 17:46:13.612969,Mobile,3348,2,No,0
102,103,2045.39,Cash Withdraw,Miami,2025-12-29 00:11:13.612971,Tablet,3072,37,Yes,1
103,104,1746.77,Cash Withdraw,Toronto,2026-01-21 20:11:13.612974,Mobile,3676,3,No,1
104,105,3819.42,Wire Transfer,Toronto,2026-01-24 01:58:13.612977,Tablet,4716,35,Yes,1
105,106,489.27,Debit,Dallas,2026-01-09 06:14:13.612980,Tablet,953,3,No,0
106,107,1759.33,Debit,Dallas,2025-12-28 05:27:13.612982,Desktop,3301,41,Yes,1
107,108,4187.01,Credit,Seattle,2026-01-16 22:20:13.612985,Desktop,3736,8,Yes,0
108,109,338.65,Credit,Toronto,2026-01-05 15:30:13.612988,ATM,3180,39,Yes,0
109,110,4712.01,Cash Withdraw,Miami,2026-01-12 08:13:13.612991,ATM,2964,50,Yes,1
110,111,4931.65,Cash Withdraw,Chicago,2025-12-30 03:18:13.612994,Tablet,4028,16,No,1
111,112,447.4,Cash Withdraw,Seattle,2026-01-26 16:11:13.612996,Tablet,3248,16,Yes,0
112,113,1459.91,Debit,New York,2025-12-28 20:37:13.612999,ATM,4416,32,Yes,1
113,114,1865.14,Cash Withdraw,Los Angeles,2026-01-27 00:50:13.613002,ATM,3358,19,Yes,1
114,115,3883.07,Debit,New York,2026-01-27 01:17:13.613005,ATM,4972,13,Yes,1
115,116,2981.65,Cash Withdraw,Seattle,2026-01-03 09:08:13.613008,ATM,4849,21,No,1
116,117,3223.61,Credit,New York,2026-01-01 23:30:13.613010,ATM,2705,51,No,0
117,118,3788.76,Wire Transfer,Chicago,2026-01-04 03:14:13.613013,Mobile,1038,26,Yes,1
118,119,594.31,Debit,Atlanta,2026-01-17 21:25:13.613016,Mobile,71,42,Yes,0
119,120,4166.88,Wire Transfer,Dallas,2025-12-28 21:52:13.613019,ATM,2875,2,Yes,1
120,121,3529.57,Debit,New York,2026-01-20 18:09:13.613021,Tablet,106,23,Yes,1
121,122,2888.82,Cash Withdraw,Toronto,2026-01-18 02:36:13.613024,Desktop,770,29,No,1
122,123,4449.23,Cash Withdraw,Toronto,2025-12-29 08:55:13.613027,ATM,2010,7,No,1
123,124,3503.03,Credit,Dallas,2026-01-25 09:07:13.613030,Mobile,2941,21,No,0
124,125,1012.49,Cash Withdraw,Chicago,2026-01-07 13:03:13.613032,ATM,2193,24,No,1
125,126,2151.58,Cash Withdraw,Seattle,2026-01-10 03:57:13.613035,Desktop,3496,59,Yes,1
126,127,2472.74,Debit,Miami,2025-12-28 21:48:13.613038,Tablet,4312,9,Yes,0
127,128,280.81,Debit,Dallas,2026-01-18 07:13:13.613040,ATM,4356,48,Yes,0
128,129,4773.41,Cash Withdraw,Los Angeles,2025-12-29 21:53:13.613043,Mobile,934,28,Yes,1
129,130,647.24,Cash Withdraw,Chicago,2026-01-08 22:50:13.613046,Mobile,575,39,No,1
130,131,3488.82,Credit,Seattle,2026-01-20 03:46:13.613049,Tablet,3931,53,Yes,1
131,132,2533.62,Credit,Atlanta,2026-01-11 22:46:13.613051,Mobile,4381,0,No,0
132,133,133.03,Credit,Chicago,2026-01-15 23:28:13.613054,ATM,4088,51,Yes,0
133,134,4624.11,Debit,Los Angeles,2026-01-16 03:15:13.613057,Tablet,2532,20,Yes,1
134,135,4259.92,Credit,Seattle,2026-01-13 11:39:13.613060,Tablet,2420,38,No,0
135,136,2623.67,Credit,Chicago,2026-01-26 07:45:13.613062,Mobile,70,23,Yes,1
136,137,1148.57,Cash Withdraw,Los Angeles,2026-01-17 05:41:13.613065,ATM,4475,8,No,1
137,138,612.51,Cash Withdraw,Dallas,2026-01-24 07:42:13.613068,Tablet,1303,59,Yes,1
138,139,1820.15,Cash Withdraw,San Francisco,2026-01-21 06:18:13.613071,Mobile,3815,43,Yes,1
139,140,1280.86,Debit,Chicago,2026-01-17 00:34:13.613073,ATM,2350,53,Yes,1
140,141,2535.92,Credit,Dallas,2026-01-23 08:55:13.613076,Mobile,255,25,Yes,1
141,142,4832.21,Credit,Chicago,2026-01-02 03:15:13.613079,Desktop,1708,8,Yes,0
142,143,2876.89,Debit,Chicago,2026-01-01 14:23:13.613081,Desktop,4788,19,Yes,1
143,144,4450.21,Debit,Atlanta,2026-01-06 14:49:13.613084,Desktop,834,55,Yes,1
144,145,3256.14,Cash Withdraw,Seattle,2026-01-15 08:54:13.613087,Mobile,2765,34,Yes,1
145,146,2378.86,Cash Withdraw,Toronto,2026-01-21 11:42:13.613089,Mobile,2472,35,No,1
146,147,4273.76,Debit,San Francisco,2025-12-30 06:01:13.613092,Desktop,3743,41,Yes,1
147,148,2359.48,Cash Withdraw,New York,2026-01-05 15:49:13.613095,Mobile,2036,35,Yes,1
148,149,4343.8,Wire Transfer,Chicago,2026-01-21 19:21:13.613097,Desktop,1968,53,Yes,1
149,150,1461.43,Debit,San Francisco,2026-01-16 00:24:13.613100,Tablet,100,8,No,0
150,151,648.42,Credit,Seattle,2025-12-31 17:43:13.613103,Tablet,1853,21,Yes,0
151,152,4277.3,Wire Transfer,Atlanta,2026-01-21 12:45:13.613106,Mobile,3184,0,No,1
152,153,2939.14,Credit,Dallas,2026-01-06 09:06:13.613108,ATM,2356,4,Yes,0
153,154,4446.02,Debit,Seattle,2026-01-08 21:07:13.613111,Mobile,112,8,Yes,0
154,155,4689.45,Credit,San Francisco,2026-01-21 14:29:13.613114,Desktop,3159,36,Yes,1
155,156,272.87,Credit,Toronto,2026-01-06 01:04:13.613117,ATM,183,37,Yes,0
156,157,2507.34,Credit,Dallas,2026-01-17 07:39:13.613119,ATM,3853,18,No,0
157,158,1877.95,Cash Withdraw,Seattle,2026-01-18 20:47:13.613122,Desktop,165,7,Yes,1
158,159,3131.16,Cash Withdraw,Toronto,2026-01-17 06:22:13.613125,Tablet,2138,41,Yes,1
159,160,3968.99,Cash Withdraw,San Francisco,2026-01-19 15:38:13.613128,Tablet,2024,42,No,1
160,161,1406.55,Wire Transfer,San Francisco,2026-01-06 06:33:13.613130,ATM,455,31,Yes,1
161,162,2786.21,Credit,Atlanta,2026-01-05 21:05:13.613133,Tablet,2286,12,Yes,1
162,163,3545.1,Debit,Miami,2026-01-05 00:41:13.613136,Tablet,4823,19,Yes,1
163,164,676.48,Debit,San Francisco,2026-01-09 23:42:13.613139,Desktop,542,35,No,0
164,165,4071.26,Debit,Chicago,2025-12-30 16:44:13.613141,Desktop,2666,42,Yes,1
165,166,3032.52,Wire Transfer,Miami,2026-01-16 08:43:13.613144,Mobile,2450,43,Yes,1
166,167,4747.94,Wire Transfer,Toronto,2026-01-26 08:59:13.613147,Desktop,4938,36,No,1
167,168,1700.95,Credit,Miami,2026-01-04 08:24:13.613150,Tablet,3934,29,Yes,1
168,169,545.19,Debit,Toronto,2026-01-13 12:13:13.613152,Tablet,2887,9,Yes,0
169,170,2534.97,Wire Transfer,Atlanta,2026-01-18 06:13:13.613155,ATM,4615,30,Yes,1
170,171,433.62,Wire Transfer,Dallas,2026-01-06 15:55:13.613158,ATM,4293,24,No,0
171,172,4847.78,Debit,Chicago,2026-01-06 18:49:13.613161,ATM,3905,28,Yes,1
172,173,198.23,Debit,Chicago,2026-01-19 02:11:13.613163,Tablet,1689,23,Yes,0
173,174,3768.75,Wire Transfer,Chicago,2025-12-28 17:47:13.613166,ATM,1638,38,No,1
174,175,2627.89,Wire Transfer,Toronto,2025-12-29 03:23:13.613169,ATM,4729,20,Yes,1
175,176,1846.26,Credit,Los Angeles,2025-12-31 22:06:13.613172,Tablet,4671,40,No,0
176,177,333.88,Credit,Miami,2026-01-05 11:28:13.613174,Desktop,4083,8,Yes,0
177,178,3112.72,Cash Withdraw,Toronto,2026-01-14 18:29:13.613177,Tablet,1891,41,No,1
178,179,2928.18,Cash Withdraw,Toronto,2026-01-23 15:05:13.613180,ATM,3206,41,Yes,1
179,180,1408.01,Wire Transfer,Toronto,2026-01-19 08:47:13.613183,Mobile,478,1,No,0
180,181,4551.56,Credit,New York,2026-01-01 23:59:13.613186,ATM,2367,3,No,0
181,182,1524.03,Credit,Toronto,2026-01-11 01:23:13.613188,Desktop,2527,7,Yes,0
182,183,2251.38,Wire Transfer,Atlanta,2026-01-24 12:33:13.613191,Tablet,367,31,No,1
183,184,2721.09,Wire Transfer,New York,2026-01-20 13:14:13.613194,Mobile,1837,13,Yes,1
184,185,505.66,Credit,Dallas,2026-01-08 00:08:13.613196,Desktop,1716,48,Yes,0
185,186,4661.15,Credit,New York,2026-01-24 02:28:13.613199,ATM,13,12,No,0
186,187,1875.81,Credit,Chicago,2026-01-12 16:54:13.613202,Tablet,536,20,No,0
187,188,408.49,Debit,New York,2026-01-16 17:18:13.613205,Tablet,3240,23,No,0
188,189,1939.52,Cash Withdraw,San Francisco,2026-01-07 11:42:13.613207,ATM,2318,49,No,1
189,190,3003.01,Cash Withdraw,Chicago,2026-01-04 00:47:13.613210,Tablet,4043,17,Yes,1
190,191,2570.7,Credit,New York,2026-01-21 11:26:13.613213,ATM,376,44,Yes,1
191,192,3474.24,Credit,San Francisco,2026-01-27 00:23:13.613215,Tablet,1725,39,No,0
192,193,282.14,Debit,Miami,2026-01-17 13:13:13.613218,Mobile,257,25,No,0
193,194,1426.28,Cash Withdraw,Chicago,2026-01-01 02:51:13.613221,Mobile,2265,31,No,1
194,195,4097.06,Debit,San Francisco,2026-01-22 09:13:13.613223,Desktop,450,43,Yes,1
195,196,404.07,Cash Withdraw,Toronto,2026-01-07 18:40:13.613226,ATM,894,56,Yes,0
196,197,4278.15,Debit,Toronto,2026-01-23 17:08:13.613229,Tablet,3213,54,Yes,1
197,198,464.02,Cash Withdraw,Dallas,2026-01-03 01:42:13.613232,Mobile,1185,55,Yes,0
198,199,4173.1,Credit,Dallas,2026-01-21 13:24:13.613234,Tablet,3224,52,No,0
199,200,1807.14,Cash Withdraw,Dallas,2026-01-16 10:16:13.613237,Mobile,1309,32,Yes,1
200,201,3062.98,Cash Withdraw,Miami,2026-01-04 19:41:13.613240,Mobile,4706,51,Yes,1
201,202,768.67,Wire Transfer,Toronto,2025-12-28 05:22:13.613243,ATM,917,30,No,0
202,203,335.51,Credit,Chicago,2026-01-20 21:00:13.613246,Tablet,148,17,No,0
203,204,1083.61,Cash Withdraw,Dallas,2026-01-04 14:13:13.613249,ATM,4752,34,No,1
204,205,643.63,Wire Transfer,Los Angeles,2025-12-29 20:51:13.613251,Tablet,2115,11,Yes,0
205,206,1565.47,Credit,Toronto,2026-01-10 01:01:13.613255,Tablet,4017,50,Yes,1
206,207,2574.34,Cash Withdraw,New York,2026-01-27 14:24:13.613257,Desktop,3941,24,No,1
207,208,2945.85,Debit,Chicago,2026-01-26 22:38:13.613260,Mobile,4072,44,Yes,1
208,209,3950.39,Debit,Miami,2026-01-18 22:35:13.613263,Tablet,2796,30,No,0
209,210,3282.92,Credit,Atlanta,2026-01-23 22:13:13.613266,Tablet,443,9,No,0
210,211,3045.75,Cash Withdraw,Atlanta,2026-01-04 15:39:13.613269,ATM,2945,46,No,1
211,212,2061.85,Cash Withdraw,Dallas,2026-01-18 18:46:13.613272,Desktop,3937,51,No,1
212,213,2371.67,Wire Transfer,Chicago,2026-01-27 03:01:13.613274,ATM,399,33,No,1
213,214,2075.53,Cash Withdraw,Atlanta,2026-01-08 08:45:13.613277,Mobile,1152,50,No,1
214,215,4211.62,Credit,New York,2026-01-21 10:11:13.613280,ATM,3793,2,Yes,0
215,216,1153.85,Cash Withdraw,Seattle,2026-01-18 16:13:13.613282,ATM,2996,45,No,1
216,217,33.58,Debit,New York,2026-01-20 19:38:13.613285,Mobile,2217,38,Yes,0
217,218,3258.34,Cash Withdraw,Miami,2026-01-03 22:17:13.613288,ATM,1708,7,No,1
218,219,1016.3,Debit,New York,2025-12-31 16:24:13.613291,Tablet,3332,31,Yes,1
219,220,4451.13,Credit,Toronto,2026-01-25 15:28:13.613293,Mobile,1988,42,Yes,1
220,221,4295.94,Debit,New York,2026-01-23 16:27:13.613296,ATM,4603,28,Yes,1
221,222,388.25,Wire Transfer,Atlanta,2026-01-13 16:55:13.613299,ATM,2569,21,No,0
222,223,536.41,Cash Withdraw,Atlanta,2026-01-03 22:55:13.613301,ATM,161,19,No,1
223,224,2478.38,Credit,Chicago,2026-01-06 19:35:13.613304,ATM,4436,5,No,0
224,225,3048.07,Debit,New York,2025-12-31 22:39:13.613307,Mobile,3905,42,No,0
225,226,1378.17,Credit,New York,2026-01-23 11:29:13.613310,Desktop,3574,48,No,0
226,227,3585.4,Cash Withdraw,Chicago,2026-01-03 03:42:13.613312,Desktop,3178,28,Yes,1
227,228,2976.61,Wire Transfer,Chicago,2026-01-18 21:57:13.613315,Tablet,1826,41,Yes,1
228,229,1627.5,Cash Withdraw,Toronto,2026-01-09 20:02:13.613318,ATM,3925,55,No,1
229,230,131.73,Debit,Seattle,2026-01-15 09:50:13.613321,Desktop,1624,16,No,0
230,231,3752.0,Wire Transfer,San Francisco,2025-12-30 23:24:13.613323,Tablet,1177,30,Yes,1
231,232,1077.69,Credit,Miami,2026-01-17 16:12:13.613326,ATM,4919,52,No,0
232,233,4173.2,Debit,Dallas,2026-01-09 17:12:13.613329,Mobile,3721,33,Yes,1
233,234,2104.35,Debit,Seattle,2026-01-26 05:03:13.613332,Desktop,4881,37,Yes,1
234,235,2887.5,Debit,Atlanta,2026-01-24 17:30:13.613335,ATM,3221,56,Yes,1
235,236,4365.38,Debit,Seattle,2026-01-03 22:21:13.613337,Tablet,3260,36,Yes,1
236,237,4318.8,Credit,Dallas,2026-01-02 01:21:13.613340,Tablet,131,3,Yes,0
237,238,1860.74,Debit,Miami,2026-01-09 15:07:13.613343,ATM,3563,1,No,0
238,239,1048.4,Debit,Toronto,2026-01-07 05:04:13.613345,ATM,1500,11,No,0
239,240,3876.85,Cash Withdraw,Chicago,2026-01-27 09:00:13.613348,Mobile,2789,34,Yes,1
240,241,2168.24,Cash Withdraw,Dallas,2026-01-26 22:40:13.613351,Mobile,4877,5,No,1
241,242,964.25,Wire Transfer,Los Angeles,2026-01-22 05:10:13.613354,Tablet,3709,55,No,0
242,243,4522.6,Credit,Seattle,2025-12-29 20:43:13.613357,Mobile,1708,45,No,0
243,244,994.53,Debit,San Francisco,2026-01-06 19:48:13.613360,Mobile,1770,7,No,0
244,245,133.91,Cash Withdraw,Miami,2026-01-22 13:30:13.613363,Desktop,1319,20,Yes,0
245,246,106.3,Wire Transfer,Chicago,2026-01-24 11:13:13.613366,Desktop,3380,52,Yes,0
246,247,3113.47,Wire Transfer,San Francisco,2026-01-07 22:12:13.613368,Mobile,2774,57,No,1
247,248,3310.07,Debit,Dallas,2026-01-17 13:28:13.613371,ATM,2991,45,No,0
248,249,1558.65,Cash Withdraw,Toronto,2025-12-31 18:15:13.613374,Tablet,3045,34,Yes,1
249,250,1603.45,Debit,Los Angeles,2026-01-07 11:28:13.613376,ATM,376,47,Yes,1
250,251,1700.77,Cash Withdraw,Miami,2026-01-04 23:52:13.613379,Mobile,3037,14,Yes,1
251,252,3402.39,Wire Transfer,Toronto,2026-01-14 20:23:13.613382,ATM,661,6,Yes,1
252,253,295.38,Cash Withdraw,New York,2026-01-18 11:38:13.613384,Mobile,1404,14,Yes,0
253,254,4645.94,Debit,Los Angeles,2026-01-13 10:46:13.613387,Mobile,741,44,Yes,1
254,255,1116.49,Credit,Chicago,2026-01-23 16:38:13.613390,ATM,304,5,Yes,0
255,256,4998.37,Credit,New York,2026-01-15 14:29:13.613393,ATM,1086,46,Yes,1
256,257,861.76,Credit,Dallas,2026-01-09 09:55:13.613396,ATM,4882,16,Yes,0
257,258,3858.87,Cash Withdraw,Toronto,2026-01-15 13:06:13.613399,ATM,3180,3,No,1
258,259,1120.95,Debit,Miami,2025-12-30 12:25:13.613401,Mobile,1211,21,Yes,1
259,260,408.83,Debit,Toronto,2026-01-03 08:08:13.613404,Desktop,3035,31,Yes,0
260,261,4375.29,Debit,Dallas,2025-12-30 08:00:13.613407,Mobile,229,58,Yes,1
261,262,4294.46,Debit,Chicago,2026-01-15 16:33:13.613410,Mobile,3120,21,Yes,1
262,263,2020.83,Credit,Miami,2026-01-26 03:28:13.613413,Desktop,1855,26,No,0
263,264,3513.47,Debit,Dallas,2026-01-21 08:46:13.613415,Mobile,268,45,Yes,1
264,265,2787.54,Debit,Toronto,2026-01-06 04:30:13.613418,Desktop,2775,14,No,0
265,266,4265.52,Credit,Los Angeles,2026-01-09 18:35:13.613421,ATM,2850,59,Yes,1
266,267,1578.7,Debit,New York,2026-01-15 19:13:13.613424,Mobile,4350,43,No,0
267,268,2620.74,Credit,Seattle,2026-01-07 01:10:13.613427,Mobile,4966,50,Yes,1
268,269,2429.43,Debit,Dallas,2026-01-12 18:58:13.613429,Mobile,2135,21,Yes,1
269,270,1772.76,Cash Withdraw,New York,2026-01-27 03:39:13.613432,Desktop,3460,27,No,1
270,271,4457.82,Wire Transfer,San Francisco,2026-01-03 07:42:13.613435,Tablet,2270,41,Yes,1
271,272,833.56,Credit,Miami,2026-01-18 21:13:13.613438,Desktop,990,37,No,0
272,273,751.8,Cash Withdraw,Miami,2026-01-13 19:15:13.613441,ATM,4493,59,Yes,1
273,274,2886.66,Credit,New York,2026-01-06 21:10:13.613443,Desktop,938,56,Yes,1
274,275,3289.18,Credit,Chicago,2026-01-20 04:27:13.613446,Desktop,440,8,No,0
