,Credit Score,Debt-to-Income Ratio,Monthly Income,Monthly Expenses,Credit History Length,Number of Open Credit Accounts,Payment History (Late Payments),Number of Credit Inquiries,Age,Gender,Marital Status,Zip Code,Education Level,Occupation Type,label
30,666,0.7901105107442363,11842,9541,1,2,1,3,18,Male,Single,65106,High School Diploma,Blue-collar,1
31,603,0.5025224871847371,34620,7749,10,4,2,2,23,Female,Married,89572,Bachelor's Degree,White-collar,1
32,815,0.13268637710603182,26977,6017,10,5,2,4,21,Male,Single,98800,Master's Degree,Blue-collar,1
33,660,0.26734798003173765,42736,12982,1,4,0,1,39,Female,Married,56502,High School Diploma,White-collar,1
34,791,0.766820457296148,36727,9325,6,3,1,2,50,Male,Single,70899,Bachelor's Degree,Blue-collar,1
35,564,0.8489939358373313,23778,8141,7,2,2,3,61,Female,Married,84806,Master's Degree,White-collar,0
36,556,0.41145666019409766,12045,17113,2,8,1,4,64,Male,Single,55815,High School Diploma,Blue-collar,1
37,723,0.2966308280391503,18124,19553,1,2,0,3,38,Female,Married,29054,Bachelor's Degree,White-collar,1
38,565,0.40800406932827404,21481,11454,7,5,0,2,63,Male,Single,33709,Master's Degree,Blue-collar,1
39,572,0.5196481650258185,39849,7484,7,7,2,1,62,Female,Married,91840,High School Diploma,White-collar,1
40,611,0.26759993662304427,11925,2538,6,3,2,1,40,Male,Single,51198,Bachelor's Degree,Blue-collar,1
41,574,0.6513642695755792,14943,18666,3,1,0,2,61,Female,Married,22852,Master's Degree,White-collar,1
42,738,0.2902441535268244,27606,10185,9,8,0,1,22,Male,Single,17137,High School Diploma,Blue-collar,1
43,805,0.9933028105127224,48881,10186,4,3,1,1,61,Female,Married,63359,Bachelor's Degree,White-collar,1
44,602,0.40286586609456343,29906,7977,8,1,0,3,28,Male,Single,40225,Master's Degree,Blue-collar,1
45,660,0.3107779595673622,42008,13478,4,9,1,4,42,Female,Married,11520,High School Diploma,White-collar,1
46,778,0.4546480656079923,48911,18571,10,4,1,1,31,Male,Single,52642,Bachelor's Degree,Blue-collar,1
47,626,0.7440073341489611,30140,14598,4,5,2,4,40,Female,Married,64414,Master's Degree,White-collar,0
48,816,0.6203544645927662,20533,12782,9,9,2,3,45,Male,Single,50860,High School Diploma,Blue-collar,1
49,538,0.7633225841257402,38753,11625,6,9,2,3,60,Female,Married,70124,Bachelor's Degree,White-collar,0
50,624,0.8145458382612746,46227,4995,3,2,0,4,26,Male,Single,43077,Master's Degree,Blue-collar,1
51,732,0.8979807662845948,11611,16796,10,7,2,3,54,Female,Married,83773,High School Diploma,White-collar,1
52,779,0.4629493009119947,26007,2145,5,6,1,4,53,Male,Single,58570,Bachelor's Degree,Blue-collar,1
53,790,0.4555499670410842,45746,6933,1,1,2,2,40,Female,Married,58705,Master's Degree,White-collar,1
54,764,0.3290667942157798,44333,15529,6,8,2,4,27,Male,Single,30444,High School Diploma,Blue-collar,1
55,827,0.21430800571290098,47825,18393,10,3,0,1,33,Female,Married,31299,Bachelor's Degree,White-collar,1
56,752,0.32962945582969205,25837,15059,10,6,1,3,52,Male,Single,65020,Master's Degree,Blue-collar,1
57,628,0.5184159268630489,27165,12959,4,9,2,1,33,Female,Married,10739,High School Diploma,White-collar,1
58,535,0.7134717530112257,35077,8232,2,7,2,2,55,Male,Single,53281,Bachelor's Degree,Blue-collar,1
59,623,0.32366940978845493,21756,11473,10,6,1,4,37,Female,Married,69745,Master's Degree,White-collar,1
60,847,0.13989001931891787,39825,8598,4,3,2,1,26,Male,Single,64619,High School Diploma,Blue-collar,1
61,630,0.23739081086732383,45042,17630,1,5,1,4,36,Female,Married,98631,Bachelor's Degree,White-collar,1
62,511,0.7021203504641337,20881,5346,6,8,0,4,31,Male,Single,85401,Master's Degree,Blue-collar,1
63,737,0.9077838766048522,41743,4309,6,7,1,4,41,Female,Married,67291,High School Diploma,White-collar,1
64,519,0.5995799238563629,16747,8864,9,9,0,2,27,Male,Single,42286,Bachelor's Degree,Blue-collar,1
65,644,0.9699939456652181,12876,15839,5,3,1,1,63,Female,Married,67193,Master's Degree,White-collar,0
66,678,0.14968326143158672,16803,15664,4,6,2,4,44,Male,Single,29807,High School Diploma,Blue-collar,1
67,559,0.8930710880366651,39477,5926,7,9,1,2,57,Female,Married,55948,Bachelor's Degree,White-collar,0
68,735,0.894199876535088,24157,3212,10,9,2,1,17,Male,Single,99480,Master's Degree,Blue-collar,1
69,795,0.7323147028452229,34990,17448,1,2,2,4,46,Female,Married,36498,High School Diploma,White-collar,1
70,525,0.5348812488332589,26969,11044,5,2,1,1,35,Male,Single,45760,Bachelor's Degree,Blue-collar,1
71,607,0.1583844518031613,13886,7434,6,2,2,1,19,Female,Married,64266,Master's Degree,White-collar,0
72,621,0.7910251708841783,22418,13077,7,2,1,1,58,Male,Single,15405,High School Diploma,Blue-collar,1
73,797,0.011985097129717848,31060,8713,3,8,1,2,57,Female,Married,92056,Bachelor's Degree,White-collar,1
74,602,0.5423999100643591,45918,2708,3,8,0,3,27,Male,Single,34447,Master's Degree,Blue-collar,1
75,811,0.6803815637649823,36339,6820,1,9,0,2,37,Female,Married,36327,High School Diploma,White-collar,1
76,681,0.3821490947295052,36209,6261,1,7,1,1,21,Male,Single,87443,Bachelor's Degree,Blue-collar,1
77,567,0.7248474717865823,16940,3028,6,5,1,4,28,Female,Married,80359,Master's Degree,White-collar,0
78,616,0.2540852086826546,10011,7036,7,1,1,2,44,Male,Single,41952,High School Diploma,Blue-collar,1
79,798,0.20927276616475632,10292,1523,10,8,0,3,18,Female,Married,99470,Bachelor's Degree,White-collar,1
80,648,0.8420202557245091,43771,10907,8,7,0,2,39,Male,Single,20955,Master's Degree,Blue-collar,1
81,808,0.2697101822081521,38265,3054,1,7,0,4,26,Female,Married,88933,High School Diploma,White-collar,1
82,664,0.6752849773816246,31776,14458,6,1,2,3,29,Male,Single,87751,Bachelor's Degree,Blue-collar,1
83,730,0.548387793542247,41764,6451,4,7,0,1,26,Female,Married,36964,Master's Degree,White-collar,1
84,638,0.39922165429019674,45647,14691,9,1,1,1,51,Male,Single,12199,High School Diploma,Blue-collar,1
85,849,0.3154781575186225,11295,9377,8,5,2,1,55,Female,Married,94158,Bachelor's Degree,White-collar,1
86,504,0.6308598361312613,20363,9714,10,5,1,4,25,Male,Single,45230,Master's Degree,Blue-collar,1
87,720,0.3621646230857136,20485,15177,5,5,2,1,39,Female,Married,36260,High School Diploma,White-collar,1
88,523,0.3626795365148814,11832,9546,5,5,0,2,22,Male,Single,14256,Bachelor's Degree,Blue-collar,1
89,663,0.0049204275851026935,22608,14496,6,7,0,4,44,Female,Married,96953,Master's Degree,White-collar,1
90,524,0.7795081682432778,45304,1810,4,3,1,4,52,Male,Single,74103,High School Diploma,Blue-collar,1
91,603,0.2914939397888585,15042,9680,10,2,2,3,21,Female,Married,87390,Bachelor's Degree,White-collar,1
92,629,0.3428119423258964,24009,2984,6,7,1,3,19,Male,Single,46264,Master's Degree,Blue-collar,1
93,536,0.6080308959581546,41401,14881,6,6,2,2,30,Female,Married,84382,High School Diploma,White-collar,1
94,589,0.09707082004399503,29923,10404,7,4,1,1,20,Male,Single,48747,Bachelor's Degree,Blue-collar,1
95,516,0.02077766107811463,24392,16268,3,9,2,2,55,Female,Married,44682,Master's Degree,White-collar,0
96,702,0.1749764623801614,16661,12940,4,2,0,4,63,Male,Single,90464,High School Diploma,Blue-collar,1
97,672,0.39167541156064745,14576,19700,1,6,2,2,63,Female,Married,39426,Bachelor's Degree,White-collar,0
98,711,0.7906873088242806,41013,8562,3,2,0,1,46,Male,Single,30887,Master's Degree,Blue-collar,1
99,525,0.8739908188588592,30623,6717,5,4,2,2,59,Female,Married,26214,High School Diploma,White-collar,1
100,632,0.8104363083035047,30678,6284,3,3,2,3,55,Male,Single,67892,Bachelor's Degree,Blue-collar,1
101,601,0.9864925408502,23567,14641,1,8,2,3,52,Female,Married,13585,Master's Degree,White-collar,0
102,684,0.7639319870820049,18175,12044,2,2,0,3,23,Male,Single,45548,High School Diploma,Blue-collar,1
103,827,0.7506547885060815,28257,12529,3,4,1,3,34,Female,Married,32272,Bachelor's Degree,White-collar,0
104,597,0.14064580635088253,30516,19332,6,9,2,3,54,Male,Single,95812,Master's Degree,Blue-collar,1
105,749,0.9390345465739983,29846,6043,5,5,0,2,39,Female,Married,60759,High School Diploma,White-collar,1
106,557,0.8971996168348032,24699,17870,8,9,0,2,42,Male,Single,15301,Bachelor's Degree,Blue-collar,1
107,644,0.8237243694420034,18618,8424,9,3,0,1,20,Female,Married,46127,Master's Degree,White-collar,1
108,529,0.4609365006614625,37884,2945,7,6,2,4,19,Male,Single,47412,High School Diploma,Blue-collar,1
109,841,0.39791679088682097,17737,1588,1,8,0,2,32,Female,Married,41223,Bachelor's Degree,White-collar,1
110,575,0.4025782320600072,11755,17886,6,1,0,1,57,Male,Single,31721,Master's Degree,Blue-collar,1
111,678,0.8455389842353612,26521,14396,3,5,2,1,52,Female,Married,98835,High School Diploma,White-collar,1
112,780,0.2428066595853513,43712,4239,4,8,2,3,45,Male,Single,66291,Bachelor's Degree,Blue-collar,1
113,811,0.6790547235590171,15490,14263,6,2,0,4,46,Female,Married,32052,Master's Degree,White-collar,1
114,617,0.2975224232531075,41667,17819,3,1,0,2,23,Male,Single,62652,High School Diploma,Blue-collar,1
115,513,0.8775406135302365,47287,3725,7,9,2,3,56,Female,Married,70117,Bachelor's Degree,White-collar,1
116,517,0.5541757381715309,13426,1261,5,3,2,2,55,Male,Single,16771,Master's Degree,Blue-collar,1
117,793,0.39470818405608254,40551,19609,3,3,2,2,52,Female,Married,78320,High School Diploma,White-collar,1
118,657,0.44198407405665774,31261,2972,4,7,0,2,18,Male,Single,44303,Bachelor's Degree,Blue-collar,1
119,848,0.09368642796320803,24148,14704,4,1,2,3,47,Female,Married,96779,Master's Degree,White-collar,1
120,558,0.1793075450059024,22650,13234,5,7,0,2,58,Male,Single,48401,High School Diploma,Blue-collar,1
121,563,0.37784100257859576,43829,12599,3,4,1,4,49,Female,Married,67872,Bachelor's Degree,White-collar,1
122,752,0.5949102845680386,12713,11106,7,1,0,2,40,Male,Single,56698,Master's Degree,Blue-collar,1
123,629,0.29043008085857713,34788,15138,10,1,2,4,55,Female,Married,34389,High School Diploma,White-collar,1
124,506,0.1113250641143202,36807,2845,3,8,2,3,45,Male,Single,21333,Bachelor's Degree,Blue-collar,1
125,566,0.12803115499023565,23118,10108,1,4,1,1,19,Female,Married,20925,Master's Degree,White-collar,0
126,573,0.05204844192983149,30915,10955,6,9,2,3,33,Male,Single,85159,High School Diploma,Blue-collar,1
127,567,0.0700717929994098,39283,13114,10,3,2,2,22,Female,Married,35679,Bachelor's Degree,White-collar,1
128,620,0.5315862957624592,26933,16840,9,4,2,4,35,Male,Single,67317,Master's Degree,Blue-collar,1
129,522,0.1787281795624187,33727,8452,5,5,1,4,47,Female,Married,21706,High School Diploma,White-collar,1
130,713,0.36523125906580145,40263,16914,8,8,0,2,34,Male,Single,73336,Bachelor's Degree,Blue-collar,1
131,590,0.7696060062270489,31518,7573,4,5,1,2,52,Female,Married,23707,Master's Degree,White-collar,0
132,707,0.8931603661912332,42187,18820,1,9,1,1,64,Male,Single,37597,High School Diploma,Blue-collar,1
133,673,0.694885934416218,11084,3071,1,5,2,2,46,Female,Married,33825,Bachelor's Degree,White-collar,0
134,596,0.9287457103627585,39073,11625,1,4,2,3,41,Male,Single,22997,Master's Degree,Blue-collar,1
135,719,0.19811733628691464,22753,7852,3,6,0,4,32,Female,Married,27958,High School Diploma,White-collar,1
136,526,0.24365109521026418,35437,19849,4,6,1,1,29,Male,Single,18221,Bachelor's Degree,Blue-collar,1
137,630,0.10400194953830078,20223,8314,6,5,2,4,54,Female,Married,29620,Master's Degree,White-collar,0
138,747,0.18702647585917231,10761,13906,8,7,0,4,33,Male,Single,32908,High School Diploma,Blue-collar,1
139,642,0.2528941925761299,37046,1455,1,3,2,2,46,Female,Married,60319,Bachelor's Degree,White-collar,0
140,537,0.6563591599329608,38422,4955,8,7,0,4,51,Male,Single,68547,Master's Degree,Blue-collar,1
141,743,0.6577160057753125,33167,15029,6,7,2,1,33,Female,Married,73135,High School Diploma,White-collar,1
142,551,0.015669491030518623,36760,18532,5,4,0,3,56,Male,Single,95457,Bachelor's Degree,Blue-collar,1
143,725,0.3170181149822723,18263,11093,5,7,0,1,42,Female,Married,25766,Master's Degree,White-collar,1
144,697,0.3948199838166848,23620,1823,2,6,2,4,37,Male,Single,53924,High School Diploma,Blue-collar,1
145,653,0.6388209182834483,29892,11668,3,3,2,1,24,Female,Married,24846,Bachelor's Degree,White-collar,0
146,778,0.8857068111114346,32221,10725,8,5,0,2,37,Male,Single,93093,Master's Degree,Blue-collar,1
147,720,0.4121948446929762,44973,19648,3,7,1,1,60,Female,Married,85472,High School Diploma,White-collar,1
148,703,0.5149524344621658,28878,3884,9,8,0,1,26,Male,Single,48442,Bachelor's Degree,Blue-collar,1
149,734,0.5201861143480933,21883,14952,6,4,1,4,49,Female,Married,37126,Master's Degree,White-collar,0
150,603,0.7519455117968149,14119,19413,9,8,0,1,31,Male,Single,39281,High School Diploma,Blue-collar,1
151,661,0.9564759316771793,37732,2615,3,9,2,4,56,Female,Married,80585,Bachelor's Degree,White-collar,0
152,535,0.6327351136031962,23689,4657,10,1,2,1,43,Male,Single,51239,Master's Degree,Blue-collar,1
153,620,0.5624668543817563,19468,4943,4,6,1,3,37,Female,Married,83567,High School Diploma,White-collar,1
154,750,0.6261471807082067,38364,1469,8,4,0,1,34,Male,Single,45768,Bachelor's Degree,Blue-collar,1
155,520,0.27325358756779594,27554,10898,9,6,1,4,26,Female,Married,11015,Master's Degree,White-collar,0
156,579,0.002778831048795727,22119,1972,6,9,2,1,37,Male,Single,50130,High School Diploma,Blue-collar,1
157,796,0.02521102573387113,38296,19130,2,5,1,3,34,Female,Married,42005,Bachelor's Degree,White-collar,1
158,764,0.8346410739567466,42496,17007,3,4,1,2,19,Male,Single,37576,Master's Degree,Blue-collar,1
159,561,0.33443719234313196,27682,15731,7,1,0,1,40,Female,Married,75385,High School Diploma,White-collar,1
160,718,0.4946326800051557,48520,5753,9,2,1,2,19,Male,Single,88298,Bachelor's Degree,Blue-collar,1
161,624,0.7995291528482177,33599,17268,7,6,1,1,62,Female,Married,10737,Master's Degree,White-collar,0
162,552,0.5222806504958227,19254,3416,4,3,2,4,22,Male,Single,37221,High School Diploma,Blue-collar,1
163,534,0.5237674573459978,49922,8783,7,5,0,2,50,Female,Married,60284,Bachelor's Degree,White-collar,1
164,684,0.2765703709932362,11471,1633,4,5,1,2,30,Male,Single,55572,Master's Degree,Blue-collar,1
165,602,0.5140037051212087,49159,3465,5,2,2,3,48,Female,Married,85997,High School Diploma,White-collar,1
166,744,0.9165364781494273,38579,7859,1,5,1,2,26,Male,Single,33286,Bachelor's Degree,Blue-collar,1
167,772,0.06404153709714633,29630,14048,8,6,2,4,51,Female,Married,96384,Master's Degree,White-collar,1
168,827,0.0649813427041872,49040,5417,1,8,2,1,34,Male,Single,90442,High School Diploma,Blue-collar,1
169,613,0.5892075376744239,13039,12277,1,3,1,1,31,Female,Married,35757,Bachelor's Degree,White-collar,0
170,554,0.7915000637204225,39490,9658,9,7,0,2,41,Male,Single,96061,Master's Degree,Blue-collar,1
171,696,0.04730901460912407,26969,2448,6,8,0,1,31,Female,Married,23993,High School Diploma,White-collar,1
172,733,0.5135043381213015,15592,16207,1,2,0,3,21,Male,Single,83006,Bachelor's Degree,Blue-collar,1
173,674,0.5995687847468982,44683,13518,3,1,1,3,62,Female,Married,83870,Master's Degree,White-collar,1
174,846,0.6310078522180653,21666,6569,1,6,2,1,59,Male,Single,12078,High School Diploma,Blue-collar,1
175,693,0.13618155912549235,22021,13474,1,8,0,4,28,Female,Married,65060,Bachelor's Degree,White-collar,1
176,572,0.7467276711183382,41890,1969,1,7,0,2,61,Male,Single,25534,Master's Degree,Blue-collar,1
177,553,0.4174432781574251,41880,9124,10,1,2,1,48,Female,Married,16930,High School Diploma,White-collar,1
178,814,0.13572638493557543,47315,18044,7,7,0,1,22,Male,Single,87469,Bachelor's Degree,Blue-collar,1
179,744,0.2978817214437727,16277,1114,10,1,1,1,37,Female,Married,97703,Master's Degree,White-collar,1
180,805,0.9303075283637934,29887,7087,8,2,1,4,24,Male,Single,18223,High School Diploma,Blue-collar,1
181,835,0.4871064200573636,32992,14171,5,7,1,2,20,Female,Married,31455,Bachelor's Degree,White-collar,0
182,525,0.3846561675112804,45931,7356,6,7,2,1,58,Male,Single,75068,Master's Degree,Blue-collar,1
183,577,0.3642443909985761,45989,9585,10,5,2,2,31,Female,Married,29262,High School Diploma,White-collar,1
184,747,0.7441574485678536,31910,1733,6,9,0,2,23,Male,Single,93617,Bachelor's Degree,Blue-collar,1
185,737,0.6725787995210425,17461,9533,10,6,1,1,64,Female,Married,78996,Master's Degree,White-collar,1
186,567,0.7554951259644247,26991,14335,2,4,2,2,47,Male,Single,95012,High School Diploma,Blue-collar,1
187,793,0.035596523127155,39102,15176,2,3,2,1,35,Female,Married,78108,Bachelor's Degree,White-collar,1
188,681,0.962674073978467,22559,15540,7,2,1,4,61,Male,Single,71456,Master's Degree,Blue-collar,1
189,825,0.7289595232677449,47421,4866,6,8,2,1,49,Female,Married,66325,High School Diploma,White-collar,1
190,560,0.8672992478723504,30812,4587,1,1,1,1,34,Male,Single,73521,Bachelor's Degree,Blue-collar,1
191,569,0.5208258897316633,24212,2396,10,1,2,2,63,Female,Married,17709,Master's Degree,White-collar,1
192,740,0.7790485745932794,43451,17106,1,9,2,4,51,Male,Single,53469,High School Diploma,Blue-collar,1
193,551,0.6415728634825135,12940,19883,7,6,1,4,48,Female,Married,14308,Bachelor's Degree,White-collar,0
194,694,0.5927678002650112,33723,10402,2,4,0,2,60,Male,Single,70193,Master's Degree,Blue-collar,1
195,500,0.026461100145441896,20966,3410,5,8,2,3,35,Female,Married,73523,High School Diploma,White-collar,1
196,649,0.9906165316757901,41098,17519,3,8,2,4,43,Male,Single,42292,Bachelor's Degree,Blue-collar,1
197,734,0.8597052543827046,41812,7681,4,7,0,4,56,Female,Married,50352,Master's Degree,White-collar,1
198,570,0.9466101171729807,11813,10340,3,5,0,1,19,Male,Single,33624,High School Diploma,Blue-collar,1
199,649,0.7562102181816239,49384,7931,9,4,2,3,28,Female,Married,28941,Bachelor's Degree,White-collar,1
200,505,0.7093685447302908,24652,17201,8,1,0,2,19,Male,Single,47261,Master's Degree,Blue-collar,1
201,555,0.9136363615713967,14729,18375,8,9,0,1,46,Female,Married,42511,High School Diploma,White-collar,1
202,619,0.8942604020195218,47091,16317,3,6,0,3,41,Male,Single,29687,Bachelor's Degree,Blue-collar,1
203,713,0.569690377840876,44899,10405,9,1,1,1,44,Female,Married,10612,Master's Degree,White-collar,1
204,567,0.6297525043860546,37112,18737,5,6,1,1,45,Male,Single,69596,High School Diploma,Blue-collar,1
205,727,0.40706786859311495,35164,2613,7,8,2,3,37,Female,Married,30502,Bachelor's Degree,White-collar,0
206,532,0.8299544494449033,10783,13402,5,8,2,4,57,Male,Single,34527,Master's Degree,Blue-collar,1
207,625,0.5097795650887966,13459,15310,7,8,1,4,32,Female,Married,83515,High School Diploma,White-collar,1
208,720,0.16620340514481202,11124,2449,8,5,0,2,59,Male,Single,53726,Bachelor's Degree,Blue-collar,1
209,538,0.41462018801875844,30908,14969,10,4,2,3,25,Female,Married,37735,Master's Degree,White-collar,1
210,542,0.6796047624247485,13950,10352,3,1,0,4,57,Male,Single,17975,High School Diploma,Blue-collar,1
211,750,0.598828560691159,41319,15652,9,9,2,4,56,Female,Married,57937,Bachelor's Degree,White-collar,1
212,777,0.5663158774188989,17319,8600,1,8,1,4,23,Male,Single,68598,Master's Degree,Blue-collar,1
213,832,0.331596941597724,35955,6473,8,7,2,2,48,Female,Married,78473,High School Diploma,White-collar,1
214,616,0.7158977058569037,22227,2331,9,1,1,3,49,Male,Single,99265,Bachelor's Degree,Blue-collar,1
215,748,0.03775984546379796,37600,11386,4,6,2,2,51,Female,Married,70176,Master's Degree,White-collar,1
216,754,0.4863190976003613,18792,15267,10,9,0,1,24,Male,Single,18203,High School Diploma,Blue-collar,1
217,812,0.8256050734145438,36170,10124,1,4,2,3,24,Female,Married,30985,Bachelor's Degree,White-collar,0
218,520,0.20331983869187653,48042,19241,5,4,1,3,21,Male,Single,60499,Master's Degree,Blue-collar,1
219,830,0.23049473034485224,39104,10778,9,2,2,3,26,Female,Married,73122,High School Diploma,White-collar,1
220,523,0.4422300989639619,22391,3766,7,6,1,3,20,Male,Single,18065,Bachelor's Degree,Blue-collar,1
221,522,0.5296142485638511,37434,8654,3,8,2,2,44,Female,Married,99227,Master's Degree,White-collar,0
222,833,0.39448252673193407,47235,13209,7,8,1,4,46,Male,Single,89660,High School Diploma,Blue-collar,1
223,520,0.9976740866110038,11569,16973,4,4,0,1,53,Female,Married,58317,Bachelor's Degree,White-collar,1
224,646,0.4028298339869689,33154,6869,9,3,1,2,50,Male,Single,88069,Master's Degree,Blue-collar,1
225,668,0.7252827516020002,33101,4219,1,6,0,4,31,Female,Married,45105,High School Diploma,White-collar,1
226,648,0.18490564838002832,23514,2343,8,4,1,4,54,Male,Single,12839,Bachelor's Degree,Blue-collar,1
227,507,0.8062376331476059,40721,5501,7,4,0,4,51,Female,Married,87327,Master's Degree,White-collar,1
228,758,0.8202988029806033,16386,16402,4,1,2,4,37,Male,Single,66911,High School Diploma,Blue-collar,1
229,566,0.8910373788036527,23642,2758,2,9,2,1,61,Female,Married,78466,Bachelor's Degree,White-collar,0
230,614,0.6473681971785163,49080,14240,1,6,1,2,19,Male,Single,10300,Master's Degree,Blue-collar,1
231,688,0.4609515924784481,17604,14860,1,2,1,3,22,Female,Married,15059,High School Diploma,White-collar,1
232,799,0.799346528797087,47363,18717,3,3,2,4,57,Male,Single,82621,Bachelor's Degree,Blue-collar,1
233,756,0.7623974188267022,38386,2655,3,3,2,2,29,Female,Married,41328,Master's Degree,White-collar,0
234,803,0.10990494043677201,40965,3228,8,4,2,4,17,Male,Single,12145,High School Diploma,Blue-collar,1
235,649,0.2909891950262803,20222,12470,7,2,1,2,35,Female,Married,29713,Bachelor's Degree,White-collar,0
236,674,0.17700507235598395,32140,8531,6,2,1,3,37,Male,Single,65309,Master's Degree,Blue-collar,1
237,826,0.6371551035128824,16840,8672,2,6,0,4,31,Female,Married,62737,High School Diploma,White-collar,1
238,688,0.07223421583468215,13620,18024,9,1,1,1,60,Male,Single,27589,Bachelor's Degree,Blue-collar,1
239,674,0.15402370395440224,38397,6301,7,4,0,4,52,Female,Married,46349,Master's Degree,White-collar,1
240,831,0.8949917066166574,15625,4574,10,5,2,4,16,Male,Single,30587,High School Diploma,Blue-collar,1
241,739,0.4195213163510285,19314,7997,5,2,1,4,21,Female,Married,97743,Bachelor's Degree,White-collar,0
242,644,0.9534078182436209,31105,2666,7,6,0,3,31,Male,Single,80384,Master's Degree,Blue-collar,1
243,586,0.17780575639440976,23790,5230,7,5,2,3,28,Female,Married,15988,High School Diploma,White-collar,1
244,580,0.16656833289397566,30962,15853,4,1,0,4,16,Male,Single,78963,Bachelor's Degree,Blue-collar,1
245,833,0.30918944081029165,21378,6441,8,8,0,2,44,Female,Married,37329,Master's Degree,White-collar,1
246,723,0.7603077366927675,11431,18406,7,9,1,4,33,Male,Single,59775,High School Diploma,Blue-collar,1
247,768,0.9202353837504806,26922,8075,3,8,2,1,51,Female,Married,54916,Bachelor's Degree,White-collar,0
248,762,0.9530661097756472,36279,17349,3,4,2,2,37,Male,Single,52343,Master's Degree,Blue-collar,1
249,587,0.9306675254782419,27808,3510,9,5,2,1,31,Female,Married,29948,High School Diploma,White-collar,1
250,799,0.17245678525779562,38740,8676,8,9,1,3,29,Male,Single,80321,Bachelor's Degree,Blue-collar,1
251,563,0.5790732525815377,20592,19280,5,9,2,3,40,Female,Married,35755,Master's Degree,White-collar,0
252,673,0.3571855201200401,29982,19048,1,4,1,3,56,Male,Single,42112,High School Diploma,Blue-collar,1
253,834,0.5684164954735281,36739,8299,9,1,1,4,63,Female,Married,90135,Bachelor's Degree,White-collar,0
254,840,0.42242173613795586,35710,19928,9,8,0,1,39,Male,Single,47195,Master's Degree,Blue-collar,1
