,Module_ID,LOC,Cyclomatic_Complexity,Number_of_Comments,Number_of_Developers,Code_Age (Days),Number_of_Unit_Tests,Average_Severity_Score,Documentation_Quality,label
154,155,572,35,162,1,462,25,7.4,1,1
155,156,850,27,156,1,385,8,9.9,3,1
156,157,1216,14,112,3,724,9,3.8,3,0
157,158,743,36,110,1,236,31,7.1,5,0
158,159,647,34,162,4,797,33,8.6,2,1
159,160,2380,35,90,5,264,47,9.2,4,1
160,161,1058,22,139,5,471,19,7.5,4,1
161,162,1597,6,167,5,384,38,3.6,5,0
162,163,636,18,187,2,544,1,3.9,4,0
163,164,2244,17,18,1,237,0,1.2,3,0
164,165,1109,33,124,4,738,35,7.8,5,1
165,166,2405,16,142,2,154,23,1.4,1,0
166,167,1819,6,84,3,167,26,8.8,2,0
167,168,2436,36,148,4,368,1,2.1,2,1
168,169,1984,17,186,4,566,30,2.5,2,1
169,170,596,31,110,4,97,13,5.3,3,0
170,171,2184,21,74,5,602,1,7.6,1,1
171,172,2293,35,48,4,570,28,2.3,5,1
172,173,938,38,77,1,412,14,5.0,5,0
173,174,2409,28,49,4,48,11,5.3,2,1
174,175,2113,39,188,5,712,36,2.9,1,1
175,176,1090,10,111,4,479,27,2.0,1,1
176,177,2252,23,88,3,103,19,8.5,1,1
177,178,2419,34,86,3,602,38,5.5,4,1
178,179,1888,11,111,5,694,23,1.1,4,0
179,180,2084,14,189,1,305,20,8.2,2,1
180,181,712,36,25,1,77,9,9.8,1,1
181,182,2237,38,182,2,240,45,6.5,1,1
182,183,1073,32,165,5,680,13,5.5,5,1
183,184,1466,19,11,4,651,36,8.9,5,0
184,185,1330,34,74,5,724,17,9.6,2,1
185,186,2499,33,131,2,569,23,7.8,1,1
186,187,1777,26,147,5,738,13,5.0,2,1
187,188,902,8,164,5,220,33,6.3,5,0
188,189,1633,24,152,2,344,11,7.3,5,1
189,190,2132,36,147,1,592,21,2.7,4,1
190,191,1604,8,180,4,690,5,5.0,2,1
191,192,853,31,153,2,591,35,8.5,2,1
192,193,2146,21,174,3,787,44,6.9,1,1
193,194,1077,16,158,1,142,35,4.7,1,0
194,195,1036,26,124,3,199,21,7.0,4,1
195,196,2098,21,132,1,497,13,2.1,3,1
196,197,1893,14,146,4,707,15,4.6,3,0
197,198,1895,5,61,4,43,35,8.1,3,0
198,199,553,26,169,5,744,24,3.0,2,1
199,200,703,30,62,3,317,31,2.7,2,1
200,201,1946,22,25,1,218,32,9.6,5,1
201,202,548,18,86,4,184,44,2.9,2,0
202,203,2334,33,73,2,596,35,3.3,2,1
203,204,2369,16,135,4,723,19,9.7,2,1
204,205,1327,39,91,2,751,17,7.6,4,1
205,206,787,16,169,1,500,37,7.3,2,1
206,207,1406,11,53,4,104,2,8.7,1,1
207,208,2154,33,151,4,306,22,2.0,1,1
208,209,610,15,119,1,674,31,7.4,5,0
209,210,2053,37,93,4,372,44,5.5,4,1
210,211,847,10,89,2,454,15,8.5,1,1
211,212,1750,19,132,4,600,4,5.6,4,0
212,213,1265,36,144,3,540,3,6.6,4,1
213,214,1977,15,193,5,211,20,5.3,5,0
214,215,2369,27,173,2,487,39,5.3,4,1
215,216,1865,30,165,3,93,13,7.9,2,1
216,217,1608,38,182,1,289,38,6.7,4,1
217,218,1668,38,121,2,222,30,6.7,5,1
218,219,850,33,131,5,684,13,5.1,5,0
219,220,1089,8,75,5,645,5,5.8,5,0
220,221,909,21,90,1,435,11,7.7,1,1
221,222,1404,39,37,1,755,15,8.4,2,1
222,223,919,17,85,2,783,16,7.3,1,1
223,224,1495,19,156,4,750,44,9.3,3,0
224,225,2143,33,65,1,122,22,8.4,2,1
225,226,1012,33,65,4,459,13,6.1,4,1
226,227,2249,15,102,3,683,6,7.0,5,0
227,228,675,36,32,5,463,45,9.3,3,0
228,229,1247,6,190,4,433,31,6.6,2,1
229,230,1409,18,47,5,463,14,8.4,1,1
230,231,1954,24,173,4,141,43,7.2,5,1
231,232,902,26,171,3,404,16,6.0,1,1
232,233,1265,15,90,1,88,40,3.2,2,0
233,234,1108,31,181,3,72,46,4.8,2,1
234,235,996,7,21,1,236,43,9.7,3,0
235,236,1665,21,102,1,325,33,6.9,4,1
236,237,466,32,102,5,147,4,6.1,1,0
237,238,1693,33,69,3,561,44,9.4,3,1
238,239,1519,25,78,4,251,26,6.3,5,1
239,240,2218,20,89,3,195,22,5.7,4,0
240,241,1510,24,9,5,672,39,7.8,3,1
241,242,751,10,6,1,185,13,7.4,1,0
242,243,630,23,26,5,213,14,2.7,2,0
243,244,1056,9,116,2,119,42,5.2,5,0
244,245,1149,7,61,2,123,32,5.3,1,0
245,246,1442,5,70,4,42,30,4.4,4,0
246,247,1589,19,78,5,771,34,5.7,4,0
247,248,640,38,102,4,467,16,4.7,2,1
248,249,1430,39,148,4,567,27,2.8,2,1
249,250,2456,29,116,2,616,18,4.7,5,1
250,251,1634,28,183,4,179,45,1.7,5,1
251,252,577,16,129,2,689,22,6.2,2,1
252,253,2266,22,171,1,37,31,8.7,2,1
253,254,2208,19,90,5,58,39,7.5,4,0
254,255,1019,20,80,4,325,12,4.2,2,1
255,256,1796,31,92,2,750,19,1.8,3,1
256,257,2345,12,172,3,669,34,2.8,1,1
257,258,1075,29,42,4,369,4,5.9,2,1
258,259,2136,21,192,1,657,8,2.9,5,1
259,260,604,33,63,1,468,28,5.9,3,0
260,261,1859,12,142,3,173,5,3.1,5,0
261,262,1234,19,103,2,776,24,8.6,3,0
262,263,695,31,196,4,548,30,4.6,2,1
263,264,1950,11,67,2,74,21,3.2,1,0
264,265,2155,7,53,1,268,1,8.3,5,1
265,266,987,33,196,2,184,44,4.1,3,0
266,267,2340,28,36,1,210,4,2.0,4,1
267,268,2291,7,139,2,244,26,6.1,2,0
268,269,1370,24,25,3,117,24,6.2,1,1
269,270,974,19,24,5,285,7,7.4,2,1
270,271,1979,29,158,3,540,0,3.2,4,1
271,272,485,34,131,3,102,19,5.0,1,0
272,273,1134,18,72,5,208,43,3.5,4,0
273,274,469,11,114,5,241,22,1.7,2,0
274,275,849,21,120,4,263,31,8.9,3,0
275,276,1421,24,147,4,494,10,7.6,2,1
276,277,2356,13,124,3,780,38,3.7,2,1
277,278,1616,26,83,3,252,46,6.4,2,1
278,279,1565,6,120,1,660,23,2.8,5,0
279,280,1283,28,96,1,293,10,9.0,4,1
280,281,2273,12,18,4,236,28,2.0,4,0
281,282,2432,15,159,4,636,25,1.0,4,0
282,283,1303,17,129,1,763,15,5.5,5,0
283,284,500,21,172,1,395,34,6.2,3,0
284,285,1024,12,62,2,305,19,6.2,2,1
285,286,1598,25,32,2,409,45,1.5,3,1
286,287,2165,22,30,1,772,2,3.8,5,1
287,288,1131,34,117,2,338,0,5.5,4,1
288,289,1287,22,195,5,660,46,2.9,2,1
289,290,1527,35,70,4,297,0,8.9,1,1
290,291,2045,36,157,4,93,16,1.8,1,1
291,292,454,15,135,1,379,1,5.4,3,0
292,293,1576,29,48,3,523,28,7.2,4,1
293,294,1669,37,101,1,552,19,3.4,1,1
294,295,1223,12,46,2,127,5,6.6,3,0
295,296,1326,15,10,3,100,7,8.5,5,1
296,297,1441,26,171,2,393,28,2.7,3,1
297,298,496,28,184,5,599,47,9.3,3,0
298,299,718,21,27,2,792,32,6.0,3,0
299,300,819,16,93,5,305,2,3.7,2,1
300,301,1085,36,127,5,79,34,4.9,3,1
301,302,1579,19,182,2,387,4,3.8,3,0
302,303,2143,20,175,2,757,26,7.5,2,1
303,304,2132,26,151,5,593,43,8.2,2,1
304,305,1106,32,55,3,514,11,8.5,5,1
305,306,569,24,15,5,113,19,9.9,4,0
306,307,1280,37,16,4,667,44,8.1,1,1
307,308,2260,14,78,5,613,19,6.4,1,1
308,309,1531,36,12,3,325,8,4.1,3,1
309,310,2424,37,156,4,265,38,5.9,5,1
310,311,1819,6,45,1,85,3,1.4,3,0
311,312,1190,37,168,1,389,18,7.7,1,1
312,313,566,37,89,3,139,37,5.0,2,0
313,314,2303,17,76,5,221,26,1.2,4,0
314,315,1600,34,59,2,122,44,1.6,5,1
315,316,2381,37,141,3,597,42,4.5,2,1
316,317,1462,17,51,4,89,12,6.3,4,0
317,318,2114,30,147,4,679,12,5.2,5,1
318,319,1531,26,180,1,68,21,6.6,5,1
319,320,1083,6,108,4,569,27,5.3,1,1
320,321,962,30,46,3,78,46,7.0,2,0
321,322,1569,19,64,4,449,44,3.0,5,0
322,323,1591,38,16,3,666,21,2.0,5,1
323,324,1009,15,134,2,42,42,6.4,4,0
324,325,937,7,11,1,65,18,5.4,1,0
325,326,1346,10,84,4,130,7,1.2,3,0
326,327,1662,13,135,3,115,7,4.4,1,0
327,328,1153,10,113,5,545,41,2.0,3,0
328,329,1920,13,7,1,252,25,5.8,2,0
329,330,1030,35,31,2,367,47,4.6,2,1
330,331,603,36,118,3,195,25,6.5,5,0
331,332,2129,16,111,2,412,22,8.3,2,1
332,333,1446,12,44,2,405,42,3.7,5,0
333,334,1693,12,165,4,500,12,9.7,1,1
334,335,1542,32,133,4,671,27,5.8,2,1
335,336,1458,24,12,3,60,8,6.6,1,1
336,337,2223,11,105,5,404,19,7.1,1,1
337,338,1407,15,164,3,40,18,7.0,2,0
338,339,902,24,128,5,331,47,5.6,1,1
339,340,1677,20,180,2,125,38,4.9,2,0
340,341,1000,8,111,1,219,11,1.5,2,0
341,342,2085,10,105,3,482,14,1.2,2,1
342,343,1762,26,8,3,221,30,4.2,3,1
343,344,2207,30,114,5,515,13,4.0,1,1
344,345,806,7,23,2,295,10,4.5,4,0
345,346,2235,18,36,2,453,25,2.2,2,1
346,347,2231,15,141,5,157,41,7.6,1,0
347,348,2081,22,16,2,267,26,8.7,5,1
348,349,1465,16,143,4,384,10,9.4,2,1
349,350,1798,27,50,1,141,37,5.4,2,1
350,351,965,16,123,3,475,33,7.3,4,0
351,352,785,17,20,1,372,42,8.7,3,0
352,353,2232,29,133,3,174,18,4.8,3,1
353,354,946,23,67,4,94,5,3.8,2,0
354,355,1345,12,113,2,276,45,9.4,1,0
355,356,1301,33,123,5,764,37,5.6,5,1
356,357,2137,36,25,4,519,48,5.5,5,1
357,358,2381,22,162,1,468,41,2.6,1,1
358,359,2018,10,17,5,135,27,2.0,2,0
359,360,1406,22,166,2,210,0,8.6,5,1
360,361,2086,23,8,4,213,34,6.5,3,1
361,362,1741,26,160,5,255,39,3.9,1,1
362,363,1890,36,106,4,118,7,2.7,4,1
363,364,1641,7,63,4,717,46,6.0,2,1
364,365,1516,32,132,2,559,6,6.3,1,1
365,366,734,14,31,3,400,10,2.9,5,0
366,367,461,39,73,5,428,38,8.7,2,1
367,368,2080,33,29,2,135,3,1.8,3,1
368,369,1203,19,135,4,300,24,4.2,2,0
369,370,539,37,101,2,532,11,7.1,2,1
370,371,1225,11,29,3,708,25,3.5,3,0
371,372,2075,16,152,5,554,37,8.4,3,0
372,373,867,34,166,3,61,45,7.7,2,0
373,374,564,25,158,1,422,11,8.1,3,0
374,375,1066,35,130,5,69,42,2.1,1,1
375,376,1275,28,137,3,689,36,2.3,3,1
376,377,2099,24,193,4,247,45,3.6,3,1
377,378,1966,8,13,5,760,23,5.7,2,1
378,379,862,32,120,5,111,15,7.7,1,0
379,380,1178,24,182,2,749,12,8.5,4,1
380,381,1125,28,138,4,230,24,7.3,4,1
381,382,2342,36,64,1,476,3,9.4,5,1
382,383,1572,38,176,3,457,10,7.6,3,1
383,384,2021,6,125,2,67,31,3.8,3,0
384,385,1427,19,143,3,240,48,3.4,1,0
385,386,1458,38,198,1,473,6,7.3,4,1
386,387,2137,10,179,1,356,45,2.7,5,0
387,388,486,16,112,5,790,10,1.8,1,1
388,389,1998,7,112,1,256,27,5.8,3,0
389,390,1322,22,135,3,77,40,8.4,4,1
390,391,2271,25,80,4,47,22,1.9,5,1
391,392,1746,19,34,4,468,44,8.1,2,1
392,393,1045,37,25,5,737,22,8.3,4,1
393,394,2353,39,160,3,216,49,5.3,5,1
394,395,1178,30,194,3,374,27,1.5,1,1
395,396,1815,12,165,1,253,42,2.6,2,0
396,397,846,34,167,3,517,46,7.4,5,0
397,398,1148,27,184,2,258,25,7.4,5,1
398,399,2085,18,38,1,419,24,9.1,3,0
399,400,845,18,45,2,618,28,6.2,4,0
400,401,525,6,55,5,217,18,2.1,3,0
401,402,714,9,179,4,299,32,2.1,2,0
402,403,2269,18,86,5,636,35,7.5,5,0
403,404,1167,29,62,4,339,13,2.7,3,1
404,405,1300,24,79,5,161,13,4.0,4,1
405,406,1840,6,189,3,580,34,5.4,2,1
406,407,593,10,27,2,101,29,1.2,1,0
407,408,1334,21,180,4,701,27,3.2,3,1
408,409,845,29,132,1,216,16,4.7,2,0
409,410,1942,32,154,2,515,2,3.5,1,1
410,411,1617,6,21,1,220,15,2.2,3,0
411,412,1512,39,73,2,451,45,7.6,2,1
412,413,1515,9,112,2,149,29,8.3,2,0
413,414,1659,5,143,5,249,28,3.3,3,0
414,415,1083,16,98,4,82,44,8.0,2,0
415,416,1606,27,19,4,763,14,4.5,5,1
416,417,1688,35,95,2,480,45,5.6,3,1
417,418,1182,15,167,3,441,24,8.7,2,1
418,419,684,14,37,3,672,37,7.7,1,1
419,420,1200,7,129,1,266,41,8.2,1,0
420,421,1403,18,20,1,787,46,2.2,5,0
421,422,1992,20,166,5,767,37,1.6,3,0
422,423,1647,14,70,2,749,22,9.0,2,1
423,424,2126,33,172,1,435,24,4.5,2,1
424,425,1641,14,160,1,637,41,3.6,1,1
425,426,1866,16,51,2,451,6,7.5,5,1
426,427,1667,34,171,5,741,21,8.5,1,1
427,428,1990,5,152,1,276,16,8.8,1,0
428,429,1895,9,128,5,101,17,3.8,5,0
429,430,1969,24,5,4,214,48,8.7,3,1
430,431,1838,12,91,5,35,40,1.4,2,0
431,432,2306,16,132,3,235,9,1.4,3,0
432,433,1815,5,195,3,573,9,6.6,4,0
433,434,949,24,71,5,640,6,1.6,4,0
434,435,2130,32,8,3,416,47,3.9,4,1
435,436,960,16,190,4,797,49,7.1,5,0
436,437,666,32,157,2,728,37,4.0,1,1
437,438,1774,19,51,3,105,26,2.6,3,0
438,439,1605,10,42,3,206,32,3.5,2,0
439,440,2277,24,147,5,378,0,5.1,4,1
440,441,2260,18,195,4,284,43,5.3,3,0
441,442,1655,6,25,2,731,33,8.0,4,0
442,443,540,13,61,5,337,3,7.8,4,1
443,444,1163,24,121,5,374,16,5.1,2,1
444,445,2331,30,185,4,156,3,8.6,5,1
445,446,488,33,50,2,316,42,2.0,1,1
446,447,622,5,146,4,795,25,3.3,5,0
447,448,1102,39,149,2,754,3,8.5,3,1
448,449,1203,10,43,4,791,0,4.4,5,0
449,450,1693,9,141,5,625,6,9.8,3,1
450,451,1531,37,103,5,516,29,5.2,3,1
451,452,2133,18,81,1,412,49,8.1,1,1
452,453,905,16,119,3,435,8,4.6,2,1
453,454,1278,24,138,4,417,34,4.8,1,1
454,455,1344,28,155,1,554,7,4.4,5,1
455,456,1834,38,191,3,586,23,7.5,3,1
456,457,2408,29,95,4,668,18,5.9,4,1
457,458,2446,33,102,2,655,35,9.5,4,1
458,459,639,35,124,3,305,49,3.3,3,0
459,460,954,27,50,5,529,42,1.9,1,1
460,461,1664,24,42,1,746,26,4.5,2,1
461,462,1981,27,146,3,366,31,6.6,1,1
462,463,1273,20,104,3,510,13,8.7,3,0
463,464,1378,12,76,5,302,17,4.1,3,0
464,465,1383,25,194,4,87,27,6.9,2,1
465,466,1590,5,39,2,357,28,4.2,5,0
466,467,583,12,151,5,760,15,6.6,5,0
467,468,1134,33,34,2,138,34,9.0,2,1
468,469,2302,36,82,4,308,46,3.1,5,1
469,470,1264,9,88,3,715,30,4.6,4,0
470,471,1622,26,117,2,357,3,9.9,5,1
471,472,529,38,29,1,344,36,8.8,5,0
472,473,652,5,172,1,503,16,6.1,5,0
473,474,1702,30,92,5,140,38,5.6,4,1
474,475,2149,14,18,4,728,47,3.6,5,0
475,476,1700,34,158,5,258,45,5.7,4,1
476,477,2132,22,106,5,526,25,8.6,2,1
477,478,2005,21,154,5,185,47,7.2,1,1
478,479,1706,30,180,1,502,38,3.6,2,1
479,480,1999,12,87,1,730,40,2.8,1,1
480,481,1616,16,114,5,301,3,3.4,2,1
481,482,1846,31,183,1,31,29,2.5,1,1
482,483,920,12,135,4,787,29,1.9,1,1
483,484,1485,29,174,5,751,21,4.8,3,1
484,485,1803,8,23,1,540,10,2.0,1,1
485,486,1417,37,32,2,315,1,2.5,1,1
486,487,807,5,177,5,42,43,5.9,3,0
487,488,1117,23,75,5,637,11,2.5,5,1
488,489,822,35,67,4,527,29,1.6,5,0
489,490,1481,20,77,3,762,35,3.9,3,0
490,491,1595,18,128,3,267,17,3.0,4,0
491,492,1821,9,123,4,123,25,5.6,1,0
492,493,539,30,125,4,367,6,1.9,1,1
493,494,989,32,23,4,200,0,7.8,3,1
494,495,1318,6,179,3,635,25,9.2,3,0
495,496,490,10,146,4,690,22,7.7,4,0
496,497,1189,13,124,1,653,25,5.8,5,0
497,498,2396,37,170,5,596,44,8.7,2,1
498,499,1674,29,185,5,496,5,7.3,5,1
499,500,1378,17,65,2,657,5,1.1,1,1
500,501,2486,13,168,2,172,43,4.5,3,0
501,502,1374,17,172,5,230,7,8.7,4,1
502,503,2031,35,34,1,209,23,4.1,5,1
503,504,839,15,13,3,743,21,1.3,4,0
504,505,2067,8,68,3,393,18,7.7,5,0
505,506,705,38,165,1,508,36,8.2,1,1
506,507,1158,8,124,3,594,17,2.4,2,1
507,508,2288,23,56,4,500,30,5.8,4,1
508,509,2394,10,93,5,413,36,2.7,4,0
509,510,459,38,146,5,721,29,7.5,2,1
510,511,1247,22,57,1,446,41,3.4,4,1
511,512,1326,17,191,3,337,32,3.8,4,0
512,513,1478,27,82,2,678,9,8.6,5,1
513,514,1465,23,45,2,723,36,5.3,5,1
514,515,2274,15,72,3,396,11,7.0,2,1
515,516,823,5,12,2,30,29,4.6,1,0
516,517,673,28,6,1,73,26,3.7,4,0
517,518,1712,11,109,1,768,38,6.6,1,1
518,519,2252,29,129,3,127,8,2.4,2,1
519,520,1302,25,114,2,749,20,4.4,2,1
520,521,512,19,90,1,294,11,2.9,5,0
521,522,1690,5,173,1,169,28,7.3,4,0
522,523,1138,16,124,4,510,32,9.5,3,0
523,524,1934,11,131,4,266,42,10.0,2,0
524,525,2083,19,187,1,101,14,5.1,4,0
525,526,960,25,20,3,696,1,3.3,1,1
526,527,834,23,66,5,219,38,5.0,5,0
527,528,854,33,117,5,297,43,8.6,1,0
528,529,967,29,180,1,350,17,2.9,2,1
529,530,925,37,162,1,136,2,9.6,2,1
530,531,2450,36,16,1,261,6,4.1,1,1
531,532,2118,39,39,3,71,42,9.9,2,1
532,533,2343,30,15,4,731,17,8.5,4,1
533,534,1910,15,68,1,168,43,8.3,2,0
534,535,1163,39,54,1,644,37,3.9,5,1
535,536,532,12,153,2,712,36,1.1,4,0
536,537,1618,18,73,3,302,32,4.4,3,0
537,538,2351,14,52,1,510,43,3.7,2,1
538,539,2498,6,24,2,445,30,1.3,2,1
539,540,500,13,105,5,535,10,5.5,5,0
540,541,1134,7,199,1,762,3,4.6,5,0
541,542,1166,25,176,1,754,17,6.7,1,1
542,543,1919,30,165,2,453,3,6.6,1,1
543,544,898,12,193,3,436,48,2.1,1,1
544,545,1330,6,141,1,597,33,9.8,5,0
545,546,937,10,72,5,419,28,2.7,1,1
546,547,2273,32,39,1,371,23,5.0,1,1
547,548,2024,33,69,5,643,21,5.4,3,1
548,549,699,30,12,4,522,1,8.3,1,1
549,550,1123,29,49,4,221,43,1.9,2,1
550,551,887,16,91,5,528,5,4.9,5,0
551,552,1220,9,179,3,741,41,6.7,4,0
552,553,717,38,172,1,262,24,2.9,3,0
553,554,2434,19,80,1,256,20,6.6,5,0
554,555,1527,19,186,4,400,15,9.3,5,0
555,556,685,27,80,5,168,30,10.0,2,0
556,557,838,10,178,1,178,13,1.3,1,0
557,558,1212,25,51,1,144,38,3.1,2,1
