,Age,Gender,Industry,JobRole,YearsAtCompany,MentalHealthDaysTaken,PhysicalHealthDaysTaken,MentalHealthDiscussedWithManager,PhysicalHealthDiscussedWithManager,AccessToMentalHealthResources,AccessToPhysicalHealthResources,WorkplaceStressLevel,ManagerSupport,EmployeeSatisfaction,CompanySize,RemoteWork,MentalHealthTrainingForManagers,MentalHealthPolicies,label
121,54,0,1,1,20,10,12,0,1,3,1,4,4,3,1,1,1,1,1
122,43,0,1,2,25,13,8,1,0,3,1,3,4,1,1,1,1,0,0
123,51,1,2,3,22,7,4,1,0,0,3,2,2,1,1,1,0,1,0
124,36,3,5,4,25,0,11,1,1,0,0,2,4,2,1,1,0,0,0
125,45,3,4,5,24,11,11,1,0,2,1,3,4,1,1,0,0,0,1
126,41,1,2,4,22,13,12,0,0,3,0,4,4,2,2,1,0,1,0
127,25,0,5,4,23,0,9,1,1,3,3,2,4,4,1,1,1,1,1
128,20,0,1,0,1,4,3,1,1,1,3,3,2,2,1,1,1,1,1
129,31,2,1,1,19,3,8,1,0,1,1,4,2,1,2,1,1,0,0
130,37,2,2,4,20,7,8,0,0,1,3,1,2,4,1,0,0,0,0
131,42,1,2,2,18,5,5,1,0,0,3,4,2,3,2,1,0,0,0
132,58,0,2,3,25,2,2,1,0,1,2,1,4,2,2,1,0,0,1
133,64,1,5,5,1,1,7,0,0,1,1,1,3,3,1,0,0,0,0
134,59,1,1,3,19,5,0,1,1,0,3,1,3,3,1,1,1,0,0
135,21,1,1,4,11,10,6,0,0,3,2,1,3,2,2,1,0,1,0
136,35,3,4,2,5,12,4,0,0,0,0,1,1,1,2,0,1,0,0
137,42,0,4,1,11,2,9,1,0,1,1,2,2,1,1,1,1,0,0
138,30,3,4,5,13,12,10,0,0,0,1,4,1,3,1,1,1,1,1
139,38,2,1,3,25,1,10,1,0,2,0,1,3,1,2,1,1,0,0
140,61,2,0,2,22,12,13,0,1,2,3,1,4,4,1,0,1,1,1
141,47,2,3,0,8,3,7,0,1,2,3,2,3,4,1,0,1,1,1
142,53,3,3,0,16,13,10,1,1,0,3,2,2,2,2,1,0,0,0
143,23,3,1,5,5,0,11,1,1,2,2,3,4,1,2,0,1,1,1
144,21,3,1,3,14,3,11,0,0,3,3,4,4,3,2,0,0,1,0
145,42,3,5,3,22,10,11,0,1,0,2,2,1,1,1,0,0,0,0
146,38,0,4,4,12,1,10,1,1,1,0,3,2,2,2,1,0,0,0
147,31,3,2,5,15,8,5,0,0,3,2,2,2,2,1,0,0,0,0
148,18,3,2,1,12,0,10,1,0,1,1,4,2,2,1,0,0,1,0
149,36,0,3,5,13,4,12,0,0,0,1,1,1,1,1,1,0,1,0
150,56,2,1,5,5,0,3,0,1,0,0,3,3,1,2,1,1,1,1
151,35,3,2,5,20,2,9,0,0,2,1,3,3,3,2,0,1,1,1
152,50,2,4,1,26,5,6,0,0,1,0,1,2,1,1,1,1,0,0
153,25,3,5,5,11,13,4,0,0,3,1,3,3,1,2,1,1,1,1
154,27,2,3,1,3,3,0,1,0,2,3,1,1,1,2,1,1,1,1
155,35,3,3,3,9,7,0,0,1,2,1,3,4,4,2,1,1,1,1
156,26,2,3,2,27,10,2,0,1,0,2,3,3,4,1,1,1,0,0
157,30,3,2,1,16,5,1,1,1,0,1,4,1,3,2,0,1,0,0
158,33,1,1,4,21,9,1,1,0,2,0,4,4,2,2,0,0,0,1
159,46,2,5,2,11,12,5,1,0,2,3,2,1,3,1,0,0,1,0
160,26,3,5,5,20,7,6,0,1,0,0,3,3,2,2,0,1,0,0
161,35,0,4,5,5,11,7,0,0,3,2,2,2,2,1,0,1,0,0
162,62,0,5,3,25,6,5,1,1,3,2,4,3,1,1,1,0,0,0
163,59,1,5,1,27,1,3,0,0,1,0,3,3,4,1,1,1,0,0
164,59,0,1,1,27,1,6,1,0,3,1,3,1,1,1,0,1,0,0
165,48,0,2,4,21,7,6,1,1,0,0,1,2,1,1,1,1,0,0
166,49,3,2,3,15,7,5,1,1,0,2,3,1,2,1,0,0,1,0
167,39,2,3,3,15,8,0,0,0,3,1,2,1,3,1,1,1,1,1
168,26,2,5,1,17,2,10,1,0,3,2,1,2,1,1,0,0,1,0
169,21,0,2,5,1,2,4,0,0,2,3,4,1,2,1,0,0,0,0
170,23,2,1,1,29,13,6,0,1,2,3,3,4,4,1,0,1,0,1
171,56,1,5,0,9,2,10,0,0,1,1,1,2,3,2,1,0,1,0
172,18,2,4,1,14,1,0,1,1,2,2,3,3,2,2,1,0,0,0
173,39,3,4,3,15,2,7,0,1,2,1,1,3,4,2,0,1,0,0
174,24,3,3,2,7,0,7,0,0,0,1,2,3,4,2,1,1,1,1
175,19,1,1,5,2,11,8,0,1,3,0,4,4,4,2,0,1,1,1
176,30,2,2,3,16,5,4,1,1,1,2,1,2,4,2,0,0,1,1
177,26,0,3,4,27,5,0,0,1,1,1,3,4,2,2,0,1,1,1
178,31,2,3,3,27,1,3,0,0,2,1,2,4,3,1,1,0,0,1
179,39,2,2,1,27,5,8,1,1,0,1,1,4,4,1,0,1,1,1
180,26,0,1,5,22,10,2,1,0,2,2,2,2,1,2,0,1,1,1
181,51,0,5,4,18,2,1,0,1,0,0,1,4,3,1,0,0,0,0
182,64,1,1,0,9,12,6,0,0,2,1,2,3,4,2,0,0,1,0
183,53,0,2,4,17,7,3,1,1,1,3,2,2,2,1,0,0,1,0
184,27,2,5,3,28,10,7,1,1,3,2,4,4,2,1,0,0,1,0
185,52,1,3,5,29,8,5,1,0,3,0,2,2,2,1,0,0,0,0
186,53,0,1,1,18,12,2,0,0,0,1,1,4,1,2,0,1,1,1
187,49,0,5,1,21,8,11,1,0,3,1,1,3,2,1,0,0,0,0
188,21,0,2,2,25,8,1,1,0,1,1,2,1,1,1,1,1,0,0
189,20,3,4,5,27,3,2,1,1,0,3,1,1,4,2,1,0,1,1
190,46,2,1,5,11,10,8,0,1,0,1,4,1,1,2,1,1,1,1
191,18,2,2,5,19,8,2,1,1,1,3,1,1,2,1,0,1,0,0
192,50,1,1,5,18,7,9,1,1,0,1,2,3,1,2,1,0,1,0
193,46,1,3,1,29,6,3,0,1,3,1,2,2,1,1,1,0,1,0
194,31,1,3,5,17,0,5,0,0,2,2,2,3,3,1,0,1,1,1
195,45,3,4,3,28,3,0,1,0,1,0,4,1,2,1,0,1,1,1
196,22,1,0,0,20,6,0,1,0,0,3,1,4,2,2,1,0,0,0
197,54,2,1,2,26,11,2,1,0,3,1,3,1,2,2,0,1,1,1
198,27,3,0,2,24,7,1,1,0,2,2,1,4,1,1,0,1,0,1
199,57,2,4,2,29,3,1,1,1,2,3,4,1,4,1,1,1,0,1
200,29,1,4,3,13,11,8,0,0,0,1,2,4,1,1,0,0,0,0
201,55,3,5,2,10,8,8,0,1,2,1,4,1,3,2,1,0,1,0
202,39,3,4,2,29,5,8,1,1,0,2,2,4,3,2,1,1,1,1
203,22,3,4,2,10,6,7,1,0,3,3,4,2,1,2,0,0,0,0
204,28,0,2,2,28,13,10,1,1,0,2,4,2,4,2,0,1,0,1
205,30,3,5,0,24,2,4,1,1,3,1,1,2,3,2,0,1,0,0
206,34,1,5,0,3,12,12,1,0,1,2,1,4,1,2,0,0,1,1
207,61,1,4,0,17,4,10,0,1,0,0,3,2,4,1,0,1,0,0
208,59,2,4,4,9,1,9,0,1,3,2,2,1,2,2,0,0,0,0
209,64,0,3,4,4,11,4,1,0,1,3,2,1,1,2,0,1,0,0
210,51,0,1,4,10,3,5,1,0,1,0,2,3,3,1,1,0,1,0
211,35,2,1,3,9,2,2,0,1,3,2,1,4,2,1,1,0,1,0
212,27,2,1,1,11,0,7,1,0,0,0,3,2,1,1,0,1,0,0
213,37,1,0,3,10,0,9,0,1,2,1,4,2,1,1,0,1,0,0
214,35,2,4,4,8,9,11,1,1,1,0,2,4,3,2,0,1,1,1
215,23,1,5,5,10,4,13,1,1,0,3,2,1,3,2,1,0,0,0
216,28,1,1,5,8,4,10,0,1,2,0,2,4,2,2,0,1,1,1
217,62,3,3,1,8,2,0,0,0,0,0,1,4,2,2,0,0,1,0
218,50,0,1,0,17,13,13,1,0,0,3,3,3,4,1,0,1,1,1
219,45,1,5,3,17,2,4,0,0,2,2,2,2,2,1,0,1,0,0
220,19,3,2,3,28,1,11,0,1,3,2,4,4,2,2,1,1,1,1
221,32,2,4,2,1,8,9,1,1,1,1,4,2,3,2,0,1,1,1
222,29,1,3,0,21,8,11,0,1,1,0,4,4,4,2,0,0,1,1
223,48,0,5,5,1,5,5,0,1,3,1,3,4,1,2,1,0,1,0
224,27,1,0,4,22,0,4,0,0,1,1,3,4,1,2,0,1,1,1
225,23,3,5,3,7,5,11,0,0,3,3,4,3,4,2,0,1,0,0
226,29,2,2,4,24,6,3,1,0,3,2,2,1,2,2,0,1,1,1
227,20,2,2,0,6,10,10,1,0,2,2,4,4,4,2,1,1,0,1
228,62,2,4,3,28,12,10,1,1,3,3,4,3,4,1,1,1,0,1
229,33,2,0,5,9,13,11,0,0,3,0,3,2,1,1,0,1,1,1
230,33,1,1,5,17,8,11,1,1,3,0,2,3,2,2,1,0,1,0
231,49,0,2,4,3,0,1,1,0,1,3,4,4,2,1,0,1,1,1
232,51,1,3,2,23,0,6,0,0,3,0,2,4,3,1,1,1,1,1
233,22,0,5,1,29,0,6,0,1,2,0,1,4,4,1,0,1,1,1
234,50,1,0,5,23,13,1,0,1,3,2,3,1,3,2,1,1,0,0
235,60,1,2,1,25,7,8,0,0,1,3,4,3,4,1,1,0,0,0
236,31,2,1,3,7,8,5,0,0,3,3,1,3,3,1,1,1,1,1
237,38,0,1,0,15,8,5,1,1,0,0,1,4,3,1,0,0,0,0
238,36,1,4,0,19,7,5,0,0,3,2,3,4,1,1,0,1,1,1
239,47,2,0,5,8,9,7,0,0,2,1,1,1,2,1,0,1,0,0
240,62,0,2,0,5,10,4,0,1,0,3,1,4,2,1,0,1,1,1
241,35,3,3,1,4,12,7,0,0,3,2,4,2,2,2,0,1,1,1
242,56,2,0,1,18,0,3,1,0,1,2,2,2,2,2,1,0,0,0
243,55,3,1,4,1,5,6,1,1,3,1,2,1,1,2,1,0,0,0
244,58,2,4,5,19,2,5,0,0,2,0,2,1,2,2,1,0,1,0
245,62,3,3,5,3,8,0,0,0,0,3,3,4,1,2,1,1,1,1
246,49,1,1,3,11,12,0,1,1,2,2,2,3,2,1,0,0,1,0
247,41,0,3,2,3,6,2,1,1,0,3,1,3,2,1,0,1,1,1
248,30,0,0,3,6,9,11,1,0,3,1,1,2,3,1,1,1,1,1
249,28,2,2,0,22,13,6,0,1,2,1,1,1,2,2,0,0,0,0
250,34,0,3,4,24,3,0,1,0,2,2,4,3,2,1,0,0,1,0
251,54,3,0,4,19,2,8,1,0,0,0,3,3,3,1,1,1,1,1
252,37,3,5,2,9,8,7,0,0,0,2,4,4,3,1,1,0,1,0
253,32,1,1,1,26,6,3,0,1,3,1,1,4,3,2,0,0,1,0
254,29,2,3,4,3,6,12,0,0,2,2,3,2,3,1,1,1,1,1
255,21,2,1,5,3,8,3,0,0,2,3,1,4,1,1,1,1,1,1
256,46,3,3,0,5,2,9,1,1,1,1,2,1,4,2,0,1,0,1
257,49,3,2,0,10,9,13,1,0,3,2,1,3,1,1,0,1,1,1
258,39,0,5,5,22,10,12,0,1,3,3,2,2,3,1,1,1,0,0
259,24,1,4,4,29,5,9,0,0,0,3,2,4,3,1,1,1,0,0
260,32,0,4,4,1,9,6,0,1,0,0,2,3,4,1,1,0,0,0
261,33,2,4,2,29,13,9,0,0,3,3,4,2,2,1,0,0,0,0
262,18,2,1,2,15,7,7,1,1,3,0,4,3,2,2,0,1,1,1
263,56,1,1,4,16,13,9,1,0,3,0,2,1,3,2,0,0,1,0
264,54,0,3,2,15,13,4,0,1,3,1,1,1,2,2,1,0,1,0
265,19,0,0,3,9,0,8,1,0,1,1,3,3,2,2,0,0,1,0
266,46,1,5,2,6,4,1,1,1,0,3,1,3,4,2,0,1,1,1
267,32,0,1,5,24,13,7,0,1,1,3,4,1,1,1,0,1,0,0
268,21,2,1,2,11,10,8,0,1,2,0,4,3,3,1,0,1,0,0
269,49,3,1,0,1,11,0,1,1,1,0,1,1,4,2,0,1,0,1
270,44,3,3,3,22,7,3,0,1,0,1,3,4,3,1,1,0,1,0
271,48,0,5,0,2,11,3,1,1,2,0,3,4,3,2,1,1,1,1
272,33,0,4,5,5,4,2,1,0,1,1,3,3,4,1,1,1,0,1
273,21,1,3,1,18,6,10,0,1,2,1,2,2,4,1,1,1,1,1
274,20,0,5,5,18,10,10,0,0,1,0,3,2,1,2,1,0,0,0
275,44,3,3,3,11,1,0,1,1,1,2,4,2,1,1,1,1,1,1
276,34,1,4,1,10,5,7,1,0,2,0,1,4,4,1,1,1,0,1
277,27,0,4,2,16,13,3,1,1,1,1,1,3,4,1,0,0,1,1
278,19,2,1,2,14,10,13,0,0,3,0,3,2,3,2,1,1,0,0
279,36,1,3,1,16,0,12,0,1,3,2,3,1,2,1,0,1,1,1
280,28,1,0,3,2,2,9,0,0,1,2,3,4,3,2,0,1,1,1
281,41,1,5,1,5,6,3,1,0,2,3,4,4,2,1,0,1,1,1
282,29,1,1,1,14,0,3,0,0,0,2,4,2,1,2,1,0,0,0
283,57,2,5,0,12,9,12,0,0,1,2,2,3,4,2,0,0,1,0
284,50,2,3,4,17,6,5,0,0,2,0,3,2,1,1,1,1,0,0
285,53,1,5,0,11,5,10,1,0,2,1,1,1,3,2,1,0,1,0
286,60,3,2,4,7,0,8,1,1,1,2,3,4,1,1,0,1,0,1
287,23,0,4,5,1,10,3,0,0,1,1,4,4,4,1,1,1,0,1
288,39,2,0,3,7,9,3,1,1,3,1,2,1,4,2,0,0,0,1
289,34,3,2,2,29,10,2,1,0,1,3,3,4,4,2,1,0,0,1
290,44,3,1,0,16,6,13,1,0,2,2,1,3,1,1,0,1,1,1
291,35,3,1,5,19,8,7,1,0,2,1,4,2,2,2,0,0,1,0
292,37,1,4,5,23,6,1,0,1,1,3,1,1,1,2,1,0,1,0
293,53,3,3,3,3,12,5,1,1,0,3,2,1,1,2,0,0,1,0
294,21,0,2,5,22,7,11,0,1,0,1,3,3,4,1,1,0,1,0
295,41,3,1,1,7,0,1,1,1,0,2,1,4,3,2,0,1,1,1
296,58,3,3,3,24,11,2,1,1,2,3,1,2,3,2,0,0,1,0
297,44,2,4,0,12,0,11,0,0,0,1,4,1,4,2,0,1,0,0
298,54,1,5,3,4,7,13,0,0,3,2,3,4,3,1,0,1,1,1
299,19,2,1,4,25,2,2,0,0,0,3,1,1,3,2,1,0,1,0
300,24,1,4,0,25,4,1,0,0,2,2,1,3,3,2,0,0,0,0
301,21,0,2,2,26,8,2,1,0,3,0,3,1,4,2,1,1,0,1
302,59,0,4,4,23,6,10,0,0,3,0,2,4,2,2,1,1,0,0
303,21,0,1,0,29,5,8,1,0,1,0,3,2,4,2,1,1,1,1
304,19,2,1,0,1,9,7,0,1,3,0,3,1,4,1,0,0,0,0
305,45,3,3,4,21,10,4,1,0,0,1,4,4,3,2,0,1,1,1
306,55,1,3,0,19,0,3,0,1,3,1,2,2,4,2,1,0,1,0
307,43,3,1,0,14,11,9,0,0,1,3,2,4,3,1,1,0,0,1
308,59,1,5,2,17,6,1,0,1,1,2,4,2,2,2,1,0,0,0
309,46,0,3,4,16,9,4,0,1,2,3,1,4,1,1,0,0,1,1
310,41,3,0,3,22,5,5,0,0,1,0,1,1,3,1,0,1,0,0
311,33,3,1,5,29,8,12,0,1,3,3,3,3,4,1,0,0,1,0
312,27,1,5,0,8,5,10,0,0,3,2,4,1,3,1,0,1,1,1
313,61,0,1,5,23,11,6,1,1,2,2,1,2,3,2,0,1,1,1
314,60,3,3,5,22,5,8,0,0,1,1,3,1,3,2,1,0,0,0
315,45,3,5,1,12,4,10,1,0,2,3,4,4,2,2,1,0,1,1
316,53,1,0,3,10,11,13,0,0,0,2,4,4,4,1,0,0,1,0
317,18,1,1,3,7,5,5,1,1,0,1,2,4,3,2,0,0,1,0
318,50,0,1,2,28,2,10,0,1,3,3,2,3,3,1,0,0,0,0
319,64,2,2,0,16,2,12,1,0,0,3,3,3,2,1,1,1,0,0
320,52,1,2,1,25,10,4,0,0,2,3,4,3,4,1,0,1,1,1
321,18,3,5,1,2,3,1,1,1,1,3,1,3,4,1,1,0,0,1
322,19,1,5,3,16,11,3,0,0,1,2,2,3,3,2,0,0,0,0
323,46,1,5,5,26,9,11,1,0,0,1,4,4,2,2,0,0,0,0
324,60,1,0,5,4,3,5,1,0,0,3,3,1,2,1,0,0,0,0
325,35,3,4,3,24,5,10,0,0,0,1,1,3,2,1,1,0,1,0
326,44,0,2,1,28,13,12,1,1,1,1,2,4,2,1,1,0,1,1
327,61,0,3,2,12,8,2,1,0,1,1,1,4,3,2,1,0,1,1
328,27,2,2,0,6,8,2,1,0,2,0,4,4,2,2,1,0,0,1
329,62,1,4,4,15,6,0,1,1,3,0,3,2,2,1,0,0,0,0
330,60,0,4,1,13,8,1,1,0,2,3,4,2,4,1,1,1,1,1
331,44,2,2,0,25,1,12,0,1,1,2,1,4,4,2,1,0,1,1
332,49,0,4,0,4,2,3,1,1,2,0,1,3,3,2,1,0,0,0
333,36,1,2,0,20,11,1,1,0,3,2,1,4,1,2,1,0,1,0
334,38,0,1,0,24,12,11,1,1,1,1,3,2,1,1,0,0,1,0
335,22,0,1,4,29,11,10,1,0,0,3,1,4,2,2,1,1,1,1
336,32,2,0,0,25,6,11,0,1,3,2,2,2,1,2,0,0,0,0
337,49,1,3,4,23,8,2,1,0,0,2,2,4,1,2,1,1,0,0
338,36,1,1,2,18,4,12,1,0,1,1,4,2,3,2,1,1,0,0
339,56,2,1,2,3,5,3,1,1,1,0,2,2,3,1,1,1,1,1
