,User ID,Transaction Date,Transaction Amount,Transaction Type,Merchant Name,Merchant Location,Previous Transactions,Previous Successful Transactions,Flag Indicators,Time of Day,Day of Week,Week of Year,label
17,18,2023-01-01,6532,Transfer,Apple Inc.,"Chicago, IL",6,1,Flagged for suspicious behavior,0,6,52,1
18,19,2023-01-01,8398,Transfer,Target,"Los Angeles, CA",6,1,Flagged for high-dollar fraud,0,6,52,1
19,20,2023-01-01,1275,Bill Payment,Target,"Los Angeles, CA",1,2,None,0,6,52,0
20,21,2023-01-01,8628,Bill Payment,Amazon,"Chicago, IL",2,1,Flagged for suspicious behavior,0,6,52,1
21,22,2023-01-01,6445,Transfer,Apple Inc.,"New York, NY",1,3,None,0,6,52,1
22,23,2023-01-01,9641,Purchase,Target,"New York, NY",5,2,Flagged for high-dollar fraud,0,6,52,1
23,24,2023-01-01,6286,Transfer,Unknown,Unknown,7,4,Flagged for high-dollar fraud,0,6,52,1
24,25,2023-01-01,7397,Bill Payment,Unknown,"New York, NY",3,3,None,0,6,52,1
25,26,2023-01-01,124,Purchase,Unknown,Unknown,9,2,Flagged for suspicious behavior,0,6,52,1
26,27,2023-01-01,8526,Purchase,Apple Inc.,Unknown,8,2,Flagged for suspicious behavior,0,6,52,1
27,28,2023-01-01,4182,Bill Payment,Target,Unknown,2,1,Flagged for suspicious behavior,0,6,52,1
28,29,2023-01-01,8412,Transfer,Unknown,"Los Angeles, CA",3,3,Flagged for high-dollar fraud,0,6,52,1
29,30,2023-01-01,2667,Transfer,Unknown,"New York, NY",1,2,None,0,6,52,0
30,31,2023-01-01,5464,Purchase,Unknown,Unknown,0,2,Flagged for high-dollar fraud,0,6,52,1
31,32,2023-01-01,9746,Bill Payment,Amazon,"Chicago, IL",3,3,None,0,6,52,1
32,33,2023-01-01,6083,Transfer,Amazon,"Los Angeles, CA",8,4,None,0,6,52,1
33,34,2023-01-01,6865,Purchase,Apple Inc.,"New York, NY",7,3,Flagged for suspicious behavior,0,6,52,1
34,35,2023-01-01,6758,Purchase,Unknown,"Chicago, IL",3,1,Flagged for suspicious behavior,0,6,52,1
35,36,2023-01-01,6638,Transfer,Apple Inc.,"Chicago, IL",0,4,Flagged for suspicious behavior,0,6,52,1
36,37,2023-01-01,2126,Purchase,Apple Inc.,"New York, NY",0,4,Flagged for suspicious behavior,0,6,52,1
37,38,2023-01-01,5516,Transfer,Apple Inc.,"Chicago, IL",9,3,None,0,6,52,1
38,39,2023-01-01,9131,Transfer,Target,"Chicago, IL",9,4,None,0,6,52,1
39,40,2023-01-01,8334,Bill Payment,Unknown,Unknown,5,0,Flagged for high-dollar fraud,0,6,52,1
40,41,2023-01-01,9163,Transfer,Amazon,"Chicago, IL",8,2,Flagged for suspicious behavior,0,6,52,1
41,42,2023-01-01,4781,Purchase,Unknown,"Chicago, IL",9,0,Flagged for high-dollar fraud,0,6,52,1
42,43,2023-01-01,4944,Bill Payment,Apple Inc.,"Los Angeles, CA",0,4,Flagged for high-dollar fraud,0,6,52,1
43,44,2023-01-01,7275,Purchase,Amazon,Unknown,9,2,None,0,6,52,1
44,45,2023-01-01,7793,Purchase,Unknown,"New York, NY",3,3,Flagged for high-dollar fraud,0,6,52,1
45,46,2023-01-01,4548,Bill Payment,Apple Inc.,"New York, NY",1,4,None,0,6,52,0
46,47,2023-01-01,3026,Purchase,Unknown,Unknown,9,1,None,0,6,52,0
47,48,2023-01-01,9055,Transfer,Target,"New York, NY",2,1,None,0,6,52,1
48,49,2023-01-01,6570,Bill Payment,Unknown,"Chicago, IL",9,0,Flagged for high-dollar fraud,0,6,52,1
49,50,2023-01-01,8683,Purchase,Amazon,"Los Angeles, CA",6,2,Flagged for high-dollar fraud,0,6,52,1
50,51,2023-01-01,9778,Transfer,Target,"Chicago, IL",6,0,None,0,6,52,1
51,52,2023-01-01,6542,Transfer,Amazon,"Los Angeles, CA",6,2,None,0,6,52,1
52,53,2023-01-01,3651,Transfer,Target,"Los Angeles, CA",6,0,None,0,6,52,0
53,54,2023-01-01,5967,Bill Payment,Target,"New York, NY",6,2,Flagged for suspicious behavior,0,6,52,1
54,55,2023-01-01,1384,Transfer,Unknown,"Los Angeles, CA",6,0,Flagged for suspicious behavior,0,6,52,1
55,56,2023-01-01,207,Bill Payment,Target,"Los Angeles, CA",5,4,Flagged for suspicious behavior,0,6,52,1
56,57,2023-01-01,5717,Transfer,Amazon,"Los Angeles, CA",8,0,None,0,6,52,1
57,58,2023-01-01,9471,Bill Payment,Amazon,Unknown,0,4,Flagged for high-dollar fraud,0,6,52,1
58,59,2023-01-01,6804,Bill Payment,Apple Inc.,"New York, NY",5,2,Flagged for suspicious behavior,0,6,52,1
59,60,2023-01-01,5532,Bill Payment,Amazon,"Chicago, IL",7,1,None,0,6,52,1
60,61,2023-01-01,4194,Bill Payment,Apple Inc.,"New York, NY",4,2,Flagged for suspicious behavior,0,6,52,1
61,62,2023-01-01,5821,Bill Payment,Unknown,"New York, NY",9,3,Flagged for high-dollar fraud,0,6,52,1
62,63,2023-01-01,4175,Transfer,Apple Inc.,"Los Angeles, CA",5,0,Flagged for suspicious behavior,0,6,52,1
63,64,2023-01-01,8989,Bill Payment,Unknown,Unknown,8,1,None,0,6,52,1
64,65,2023-01-01,2440,Purchase,Amazon,"Los Angeles, CA",6,0,None,0,6,52,0
65,66,2023-01-01,73,Transfer,Amazon,Unknown,8,1,None,0,6,52,0
66,67,2023-01-01,7310,Transfer,Unknown,"New York, NY",0,3,Flagged for suspicious behavior,0,6,52,1
67,68,2023-01-01,3122,Purchase,Apple Inc.,Unknown,6,0,None,0,6,52,0
68,69,2023-01-01,5002,Bill Payment,Target,"Chicago, IL",1,1,None,0,6,52,1
69,70,2023-01-01,5697,Transfer,Apple Inc.,Unknown,9,3,Flagged for high-dollar fraud,0,6,52,1
70,71,2023-01-01,8141,Purchase,Target,"Chicago, IL",2,4,None,0,6,52,1
71,72,2023-01-01,7471,Purchase,Unknown,"Los Angeles, CA",0,2,Flagged for suspicious behavior,0,6,52,1
72,73,2023-01-01,9960,Transfer,Target,"Los Angeles, CA",7,2,None,0,6,52,1
73,74,2023-01-01,9701,Bill Payment,Unknown,Unknown,5,0,Flagged for suspicious behavior,0,6,52,1
74,75,2023-01-01,9620,Bill Payment,Target,"Los Angeles, CA",4,3,None,0,6,52,1
75,76,2023-01-01,8180,Transfer,Target,Unknown,3,0,Flagged for high-dollar fraud,0,6,52,1
76,77,2023-01-01,8453,Bill Payment,Apple Inc.,"Chicago, IL",7,1,Flagged for high-dollar fraud,0,6,52,1
77,78,2023-01-01,4349,Bill Payment,Target,Unknown,6,4,None,0,6,52,0
78,79,2023-01-01,6757,Purchase,Apple Inc.,Unknown,9,3,Flagged for suspicious behavior,0,6,52,1
79,80,2023-01-01,5112,Transfer,Target,"Los Angeles, CA",2,3,Flagged for suspicious behavior,0,6,52,1
80,81,2023-01-01,2058,Purchase,Target,"Chicago, IL",6,2,Flagged for suspicious behavior,0,6,52,1
81,82,2023-01-01,2336,Transfer,Apple Inc.,"New York, NY",9,3,None,0,6,52,0
82,83,2023-01-01,1918,Purchase,Apple Inc.,"Chicago, IL",2,2,Flagged for suspicious behavior,0,6,52,1
83,84,2023-01-01,1323,Transfer,Amazon,"Los Angeles, CA",2,1,None,0,6,52,0
84,85,2023-01-01,6995,Bill Payment,Target,"New York, NY",0,0,None,0,6,52,1
85,86,2023-01-01,9212,Transfer,Unknown,"New York, NY",3,3,Flagged for high-dollar fraud,0,6,52,1
86,87,2023-01-01,5036,Purchase,Amazon,"Los Angeles, CA",9,4,Flagged for high-dollar fraud,0,6,52,1
87,88,2023-01-01,2308,Bill Payment,Target,"Los Angeles, CA",4,3,None,0,6,52,0
88,89,2023-01-01,2259,Purchase,Unknown,"Chicago, IL",7,4,None,0,6,52,0
89,90,2023-01-01,7174,Transfer,Apple Inc.,"Chicago, IL",3,0,Flagged for suspicious behavior,0,6,52,1
90,91,2023-01-01,4376,Purchase,Apple Inc.,"Chicago, IL",7,0,Flagged for suspicious behavior,0,6,52,1
91,92,2023-01-01,2834,Purchase,Apple Inc.,"New York, NY",3,2,Flagged for high-dollar fraud,0,6,52,1
92,93,2023-01-01,8735,Transfer,Apple Inc.,"Chicago, IL",2,1,Flagged for suspicious behavior,0,6,52,1
93,94,2023-01-01,5070,Purchase,Apple Inc.,"Chicago, IL",1,0,Flagged for high-dollar fraud,0,6,52,1
94,95,2023-01-01,8085,Transfer,Target,"Chicago, IL",8,4,Flagged for suspicious behavior,0,6,52,1
95,96,2023-01-01,1690,Purchase,Target,"Los Angeles, CA",2,2,None,0,6,52,0
96,97,2023-01-01,1035,Bill Payment,Unknown,"Los Angeles, CA",9,4,Flagged for suspicious behavior,0,6,52,1
97,98,2023-01-01,2545,Bill Payment,Target,"Chicago, IL",8,2,None,0,6,52,0
98,99,2023-01-01,2204,Purchase,Amazon,"Chicago, IL",0,2,Flagged for high-dollar fraud,0,6,52,1
99,100,2023-01-01,740,Purchase,Amazon,Unknown,4,0,Flagged for suspicious behavior,0,6,52,1
100,101,2023-01-01,6914,Purchase,Target,"Chicago, IL",0,1,None,0,6,52,1
101,102,2023-01-01,9168,Purchase,Unknown,"Chicago, IL",1,1,None,0,6,52,1
102,103,2023-01-01,9034,Transfer,Amazon,"Chicago, IL",6,1,Flagged for suspicious behavior,0,6,52,1
103,104,2023-01-01,9078,Transfer,Target,"Chicago, IL",5,2,Flagged for suspicious behavior,0,6,52,1
104,105,2023-01-01,8896,Purchase,Apple Inc.,"Chicago, IL",5,3,None,0,6,52,1
105,106,2023-01-01,2396,Purchase,Amazon,"Los Angeles, CA",5,2,Flagged for high-dollar fraud,0,6,52,1
106,107,2023-01-01,1064,Purchase,Target,"New York, NY",7,0,Flagged for high-dollar fraud,0,6,52,1
107,108,2023-01-01,222,Transfer,Apple Inc.,"New York, NY",3,4,Flagged for suspicious behavior,0,6,52,1
108,109,2023-01-01,9490,Transfer,Apple Inc.,"New York, NY",5,2,Flagged for high-dollar fraud,0,6,52,1
109,110,2023-01-01,3277,Transfer,Apple Inc.,"New York, NY",3,0,Flagged for suspicious behavior,0,6,52,1
110,111,2023-01-01,7785,Purchase,Apple Inc.,"New York, NY",6,3,Flagged for high-dollar fraud,0,6,52,1
111,112,2023-01-01,9076,Transfer,Target,Unknown,4,4,Flagged for suspicious behavior,0,6,52,1
112,113,2023-01-01,9394,Purchase,Amazon,"Los Angeles, CA",4,3,Flagged for suspicious behavior,0,6,52,1
113,114,2023-01-01,751,Purchase,Unknown,Unknown,8,4,None,0,6,52,0
114,115,2023-01-01,875,Purchase,Unknown,"New York, NY",7,2,None,0,6,52,0
115,116,2023-01-01,8414,Purchase,Apple Inc.,Unknown,2,4,Flagged for suspicious behavior,0,6,52,1
116,117,2023-01-01,2300,Purchase,Apple Inc.,"Chicago, IL",2,2,None,0,6,52,0
117,118,2023-01-01,3140,Transfer,Unknown,"Chicago, IL",6,2,Flagged for suspicious behavior,0,6,52,1
118,119,2023-01-01,5931,Purchase,Amazon,"New York, NY",7,0,Flagged for suspicious behavior,0,6,52,1
119,120,2023-01-01,4671,Purchase,Target,Unknown,9,2,None,0,6,52,0
120,121,2023-01-01,8776,Purchase,Unknown,Unknown,4,2,Flagged for suspicious behavior,0,6,52,1
121,122,2023-01-01,4331,Purchase,Amazon,Unknown,3,3,Flagged for suspicious behavior,0,6,52,1
122,123,2023-01-01,6042,Purchase,Target,"Chicago, IL",8,0,Flagged for high-dollar fraud,0,6,52,1
123,124,2023-01-01,987,Transfer,Apple Inc.,"Chicago, IL",6,4,Flagged for suspicious behavior,0,6,52,1
124,125,2023-01-01,2507,Bill Payment,Amazon,"Chicago, IL",2,0,Flagged for high-dollar fraud,0,6,52,1
125,126,2023-01-01,6367,Bill Payment,Amazon,"Chicago, IL",2,0,Flagged for high-dollar fraud,0,6,52,1
126,127,2023-01-01,3478,Transfer,Apple Inc.,"Los Angeles, CA",1,0,Flagged for suspicious behavior,0,6,52,1
127,128,2023-01-01,7190,Purchase,Unknown,"Chicago, IL",4,1,Flagged for high-dollar fraud,0,6,52,1
128,129,2023-01-01,8040,Transfer,Target,"Chicago, IL",4,4,Flagged for suspicious behavior,0,6,52,1
129,130,2023-01-01,8698,Transfer,Amazon,"Los Angeles, CA",3,4,None,0,6,52,1
130,131,2023-01-01,7056,Purchase,Unknown,"Los Angeles, CA",0,1,Flagged for suspicious behavior,0,6,52,1
131,132,2023-01-01,742,Bill Payment,Target,"Los Angeles, CA",4,0,Flagged for suspicious behavior,0,6,52,1
132,133,2023-01-01,7731,Transfer,Amazon,"New York, NY",8,3,Flagged for suspicious behavior,0,6,52,1
133,134,2023-01-01,1239,Purchase,Apple Inc.,"New York, NY",5,3,Flagged for suspicious behavior,0,6,52,1
134,135,2023-01-01,7071,Transfer,Unknown,"New York, NY",0,4,Flagged for high-dollar fraud,0,6,52,1
135,136,2023-01-01,4058,Transfer,Target,Unknown,4,0,Flagged for suspicious behavior,0,6,52,1
136,137,2023-01-01,9105,Transfer,Unknown,Unknown,7,4,Flagged for suspicious behavior,0,6,52,1
137,138,2023-01-01,9013,Bill Payment,Target,"Los Angeles, CA",8,0,Flagged for high-dollar fraud,0,6,52,1
138,139,2023-01-01,2198,Bill Payment,Target,"New York, NY",1,1,Flagged for high-dollar fraud,0,6,52,1
139,140,2023-01-01,1622,Transfer,Amazon,"Chicago, IL",3,3,Flagged for high-dollar fraud,0,6,52,1
140,141,2023-01-01,2873,Purchase,Amazon,"Chicago, IL",3,1,Flagged for high-dollar fraud,0,6,52,1
141,142,2023-01-01,6356,Bill Payment,Apple Inc.,"Chicago, IL",9,3,Flagged for high-dollar fraud,0,6,52,1
142,143,2023-01-01,127,Bill Payment,Target,"New York, NY",5,1,Flagged for high-dollar fraud,0,6,52,1
143,144,2023-01-01,9688,Purchase,Target,Unknown,7,1,Flagged for suspicious behavior,0,6,52,1
144,145,2023-01-01,1916,Purchase,Unknown,"New York, NY",7,1,Flagged for high-dollar fraud,0,6,52,1
145,146,2023-01-01,9274,Purchase,Unknown,"Los Angeles, CA",0,4,None,0,6,52,1
146,147,2023-01-01,946,Transfer,Unknown,"Chicago, IL",8,0,None,0,6,52,0
147,148,2023-01-01,1699,Purchase,Apple Inc.,"Chicago, IL",8,4,None,0,6,52,0
148,149,2023-01-01,8935,Bill Payment,Unknown,"New York, NY",5,4,None,0,6,52,1
149,150,2023-01-01,1147,Transfer,Apple Inc.,Unknown,5,0,Flagged for high-dollar fraud,0,6,52,1
150,151,2023-01-01,4326,Purchase,Unknown,"Chicago, IL",0,1,Flagged for high-dollar fraud,0,6,52,1
151,152,2023-01-01,3236,Purchase,Unknown,Unknown,1,1,Flagged for suspicious behavior,0,6,52,1
152,153,2023-01-01,7141,Bill Payment,Unknown,"Los Angeles, CA",6,4,None,0,6,52,1
153,154,2023-01-01,3719,Transfer,Unknown,"New York, NY",5,3,Flagged for suspicious behavior,0,6,52,1
154,155,2023-01-01,5336,Purchase,Target,"Chicago, IL",8,1,Flagged for high-dollar fraud,0,6,52,1
155,156,2023-01-01,913,Bill Payment,Apple Inc.,"New York, NY",0,4,Flagged for suspicious behavior,0,6,52,1
156,157,2023-01-01,2012,Purchase,Amazon,"Chicago, IL",4,1,Flagged for suspicious behavior,0,6,52,1
157,158,2023-01-01,758,Bill Payment,Target,Unknown,4,4,None,0,6,52,0
158,159,2023-01-01,1053,Purchase,Target,"Chicago, IL",7,1,None,0,6,52,0
159,160,2023-01-01,5408,Purchase,Apple Inc.,"Chicago, IL",5,1,None,0,6,52,1
160,161,2023-01-01,4843,Bill Payment,Unknown,"Chicago, IL",3,2,None,0,6,52,0
161,162,2023-01-01,2798,Purchase,Unknown,"Los Angeles, CA",1,3,Flagged for high-dollar fraud,0,6,52,1
162,163,2023-01-01,6250,Transfer,Amazon,"New York, NY",1,0,Flagged for suspicious behavior,0,6,52,1
163,164,2023-01-01,2803,Purchase,Target,Unknown,8,4,None,0,6,52,0
164,165,2023-01-01,1305,Purchase,Apple Inc.,Unknown,5,3,Flagged for high-dollar fraud,0,6,52,1
165,166,2023-01-01,2268,Bill Payment,Unknown,"Chicago, IL",3,3,None,0,6,52,0
166,167,2023-01-01,7871,Purchase,Amazon,"Chicago, IL",1,0,None,0,6,52,1
167,168,2023-01-01,3597,Transfer,Apple Inc.,"Chicago, IL",5,2,None,0,6,52,0
168,169,2023-01-01,5295,Bill Payment,Unknown,"Chicago, IL",7,0,Flagged for high-dollar fraud,0,6,52,1
169,170,2023-01-01,4634,Transfer,Amazon,"Los Angeles, CA",5,3,None,0,6,52,0
170,171,2023-01-01,9615,Bill Payment,Amazon,"Chicago, IL",3,2,None,0,6,52,1
171,172,2023-01-01,427,Bill Payment,Target,Unknown,5,4,Flagged for suspicious behavior,0,6,52,1
172,173,2023-01-01,77,Bill Payment,Target,"Los Angeles, CA",0,0,Flagged for suspicious behavior,0,6,52,1
173,174,2023-01-01,6205,Bill Payment,Amazon,"Los Angeles, CA",2,0,None,0,6,52,1
174,175,2023-01-01,1131,Transfer,Unknown,"Chicago, IL",5,4,Flagged for high-dollar fraud,0,6,52,1
175,176,2023-01-01,513,Transfer,Target,"Chicago, IL",3,0,Flagged for high-dollar fraud,0,6,52,1
176,177,2023-01-01,3253,Bill Payment,Amazon,"New York, NY",0,2,Flagged for suspicious behavior,0,6,52,1
177,178,2023-01-01,2243,Bill Payment,Amazon,Unknown,3,3,None,0,6,52,0
178,179,2023-01-01,4510,Bill Payment,Target,"New York, NY",6,3,Flagged for high-dollar fraud,0,6,52,1
179,180,2023-01-01,1560,Bill Payment,Unknown,Unknown,4,3,Flagged for suspicious behavior,0,6,52,1
180,181,2023-01-01,2089,Transfer,Amazon,"Chicago, IL",3,2,None,0,6,52,0
181,182,2023-01-01,9556,Purchase,Unknown,"New York, NY",9,1,Flagged for suspicious behavior,0,6,52,1
182,183,2023-01-01,913,Transfer,Amazon,Unknown,0,2,None,0,6,52,0
183,184,2023-01-01,6598,Purchase,Apple Inc.,"New York, NY",3,1,Flagged for high-dollar fraud,0,6,52,1
184,185,2023-01-01,6609,Transfer,Target,Unknown,0,3,None,0,6,52,1
185,186,2023-01-01,371,Transfer,Apple Inc.,"New York, NY",3,3,None,0,6,52,0
186,187,2023-01-01,8215,Transfer,Target,"Los Angeles, CA",8,3,None,0,6,52,1
187,188,2023-01-01,8039,Bill Payment,Target,"Chicago, IL",3,3,Flagged for high-dollar fraud,0,6,52,1
188,189,2023-01-01,6566,Transfer,Amazon,"Los Angeles, CA",6,3,Flagged for suspicious behavior,0,6,52,1
189,190,2023-01-01,2907,Bill Payment,Unknown,Unknown,6,0,None,0,6,52,0
190,191,2023-01-01,5510,Bill Payment,Unknown,Unknown,4,3,None,0,6,52,1
191,192,2023-01-01,1527,Transfer,Unknown,"New York, NY",2,0,None,0,6,52,0
192,193,2023-01-01,582,Transfer,Amazon,Unknown,9,1,Flagged for suspicious behavior,0,6,52,1
193,194,2023-01-01,3316,Bill Payment,Unknown,"Chicago, IL",0,1,Flagged for high-dollar fraud,0,6,52,1
194,195,2023-01-01,9948,Bill Payment,Target,"New York, NY",9,3,None,0,6,52,1
195,196,2023-01-01,7004,Transfer,Apple Inc.,"New York, NY",9,1,None,0,6,52,1
196,197,2023-01-01,6394,Transfer,Apple Inc.,"New York, NY",9,0,Flagged for suspicious behavior,0,6,52,1
197,198,2023-01-01,1366,Bill Payment,Amazon,"Chicago, IL",4,2,Flagged for high-dollar fraud,0,6,52,1
198,199,2023-01-01,9007,Purchase,Amazon,"Los Angeles, CA",5,2,Flagged for high-dollar fraud,0,6,52,1
199,200,2023-01-01,3400,Purchase,Unknown,"New York, NY",4,0,Flagged for suspicious behavior,0,6,52,1
200,201,2023-01-01,4743,Bill Payment,Target,Unknown,6,2,None,0,6,52,0
201,202,2023-01-01,481,Purchase,Amazon,Unknown,0,0,Flagged for high-dollar fraud,0,6,52,1
202,203,2023-01-01,3332,Bill Payment,Target,Unknown,1,2,Flagged for high-dollar fraud,0,6,52,1
203,204,2023-01-01,7432,Transfer,Apple Inc.,"Los Angeles, CA",4,1,Flagged for suspicious behavior,0,6,52,1
204,205,2023-01-01,7800,Purchase,Apple Inc.,Unknown,7,0,Flagged for suspicious behavior,0,6,52,1
205,206,2023-01-01,1596,Bill Payment,Unknown,Unknown,2,1,Flagged for suspicious behavior,0,6,52,1
206,207,2023-01-01,1881,Transfer,Apple Inc.,"Los Angeles, CA",0,2,Flagged for high-dollar fraud,0,6,52,1
207,208,2023-01-01,6470,Bill Payment,Amazon,"Chicago, IL",4,1,Flagged for high-dollar fraud,0,6,52,1
208,209,2023-01-01,968,Purchase,Unknown,"Chicago, IL",6,0,Flagged for high-dollar fraud,0,6,52,1
209,210,2023-01-01,6862,Bill Payment,Unknown,Unknown,8,4,None,0,6,52,1
210,211,2023-01-01,7056,Purchase,Unknown,"Chicago, IL",6,1,Flagged for suspicious behavior,0,6,52,1
211,212,2023-01-01,1512,Bill Payment,Amazon,Unknown,7,2,Flagged for high-dollar fraud,0,6,52,1
212,213,2023-01-01,6669,Purchase,Target,"Chicago, IL",0,2,None,0,6,52,1
213,214,2023-01-01,1690,Transfer,Target,"Chicago, IL",9,1,Flagged for suspicious behavior,0,6,52,1
214,215,2023-01-01,8289,Bill Payment,Apple Inc.,Unknown,4,1,Flagged for high-dollar fraud,0,6,52,1
215,216,2023-01-01,6238,Bill Payment,Unknown,"New York, NY",2,2,Flagged for suspicious behavior,0,6,52,1
216,217,2023-01-01,5319,Bill Payment,Target,"New York, NY",0,1,Flagged for suspicious behavior,0,6,52,1
217,218,2023-01-01,1952,Transfer,Amazon,"Los Angeles, CA",5,4,None,0,6,52,0
218,219,2023-01-01,9591,Bill Payment,Target,"Chicago, IL",8,4,None,0,6,52,1
219,220,2023-01-01,7026,Transfer,Apple Inc.,"New York, NY",1,1,Flagged for high-dollar fraud,0,6,52,1
220,221,2023-01-01,5053,Purchase,Amazon,"Chicago, IL",6,4,Flagged for high-dollar fraud,0,6,52,1
221,222,2023-01-01,1054,Purchase,Apple Inc.,"Chicago, IL",1,3,Flagged for suspicious behavior,0,6,52,1
222,223,2023-01-01,2831,Bill Payment,Apple Inc.,"Los Angeles, CA",2,2,Flagged for high-dollar fraud,0,6,52,1
223,224,2023-01-01,834,Bill Payment,Target,Unknown,9,2,None,0,6,52,0
224,225,2023-01-01,4973,Bill Payment,Target,"Los Angeles, CA",4,1,Flagged for high-dollar fraud,0,6,52,1
225,226,2023-01-01,3173,Purchase,Unknown,"Chicago, IL",1,4,Flagged for high-dollar fraud,0,6,52,1
226,227,2023-01-01,2699,Purchase,Amazon,"New York, NY",2,1,Flagged for high-dollar fraud,0,6,52,1
227,228,2023-01-01,3432,Purchase,Amazon,Unknown,8,2,Flagged for high-dollar fraud,0,6,52,1
228,229,2023-01-01,7720,Transfer,Amazon,Unknown,0,4,None,0,6,52,1
229,230,2023-01-01,489,Transfer,Amazon,Unknown,0,2,Flagged for high-dollar fraud,0,6,52,1
230,231,2023-01-01,4956,Bill Payment,Apple Inc.,"Los Angeles, CA",6,1,None,0,6,52,0
231,232,2023-01-01,2165,Bill Payment,Unknown,"Los Angeles, CA",9,1,Flagged for suspicious behavior,0,6,52,1
232,233,2023-01-01,4640,Bill Payment,Unknown,"New York, NY",9,2,Flagged for high-dollar fraud,0,6,52,1
233,234,2023-01-01,8054,Transfer,Unknown,"Los Angeles, CA",2,4,None,0,6,52,1
234,235,2023-01-01,9691,Transfer,Amazon,Unknown,0,1,None,0,6,52,1
235,236,2023-01-01,4288,Bill Payment,Apple Inc.,"Los Angeles, CA",6,4,Flagged for suspicious behavior,0,6,52,1
236,237,2023-01-01,8627,Transfer,Unknown,"Chicago, IL",0,0,None,0,6,52,1
237,238,2023-01-01,6743,Purchase,Apple Inc.,Unknown,6,2,None,0,6,52,1
238,239,2023-01-01,5350,Bill Payment,Apple Inc.,"Los Angeles, CA",1,1,None,0,6,52,1
239,240,2023-01-01,130,Transfer,Unknown,"Los Angeles, CA",7,4,Flagged for high-dollar fraud,0,6,52,1
240,241,2023-01-01,4384,Transfer,Unknown,Unknown,3,2,None,0,6,52,0
241,242,2023-01-01,2167,Purchase,Unknown,"Chicago, IL",9,4,Flagged for high-dollar fraud,0,6,52,1
242,243,2023-01-01,9617,Bill Payment,Apple Inc.,Unknown,8,0,Flagged for high-dollar fraud,0,6,52,1
243,244,2023-01-01,2899,Bill Payment,Unknown,"Los Angeles, CA",2,3,Flagged for high-dollar fraud,0,6,52,1
244,245,2023-01-01,6687,Purchase,Apple Inc.,"Chicago, IL",1,2,Flagged for high-dollar fraud,0,6,52,1
245,246,2023-01-01,5351,Bill Payment,Amazon,"Chicago, IL",2,0,Flagged for suspicious behavior,0,6,52,1
246,247,2023-01-01,9498,Bill Payment,Unknown,"Chicago, IL",3,2,Flagged for suspicious behavior,0,6,52,1
247,248,2023-01-01,6045,Purchase,Target,"Los Angeles, CA",5,2,Flagged for suspicious behavior,0,6,52,1
248,249,2023-01-01,6400,Bill Payment,Apple Inc.,Unknown,4,3,Flagged for high-dollar fraud,0,6,52,1
249,250,2023-01-01,5980,Purchase,Unknown,"Los Angeles, CA",3,2,Flagged for high-dollar fraud,0,6,52,1
250,251,2023-01-01,4782,Transfer,Target,Unknown,6,4,Flagged for suspicious behavior,0,6,52,1
251,252,2023-01-01,8608,Transfer,Amazon,"Chicago, IL",7,4,Flagged for suspicious behavior,0,6,52,1
252,253,2023-01-01,6953,Bill Payment,Unknown,"Chicago, IL",3,1,Flagged for suspicious behavior,0,6,52,1
253,254,2023-01-01,2771,Purchase,Apple Inc.,Unknown,6,3,None,0,6,52,0
