,Lines of Code,Cyclomatic Complexity,Number of Bugs,Time Spent,Number of Test Cases,label
102,304,21,7,33,38,1
103,324,5,1,2,13,1
104,370,15,7,4,40,1
105,369,22,3,33,33,1
106,230,16,7,87,47,1
107,423,18,3,68,21,1
108,166,29,3,49,2,1
109,236,5,1,41,13,1
110,278,26,3,84,36,1
111,193,10,3,80,43,0
112,271,8,8,17,19,1
113,122,21,8,17,22,1
114,472,27,6,24,5,1
115,120,7,9,51,0,1
116,230,16,5,10,13,1
117,444,7,6,45,48,1
118,118,18,5,14,11,1
119,442,9,3,4,48,1
120,453,9,3,37,1,1
121,284,5,6,86,34,1
122,335,21,6,46,26,1
123,69,6,0,10,37,1
124,229,27,2,13,49,1
125,445,5,2,38,15,1
126,334,14,2,72,12,1
127,129,20,8,10,6,1
128,236,24,1,60,0,1
129,312,6,0,4,26,1
130,99,23,4,56,44,1
131,360,15,3,74,6,1
132,407,26,4,21,38,1
133,323,15,8,63,22,1
134,429,14,7,44,23,1
135,483,17,3,69,27,1
136,271,25,8,38,4,1
137,432,10,1,97,47,1
138,349,12,9,42,24,1
139,330,10,1,67,14,1
140,316,26,6,41,6,1
141,446,14,1,57,21,1
142,317,26,1,88,31,1
143,204,22,9,31,42,1
144,65,18,5,10,30,1
145,472,5,5,42,43,1
146,214,22,2,65,8,1
147,337,9,3,5,37,1
148,159,24,6,23,42,1
149,236,22,6,95,1,1
150,457,20,9,90,18,1
151,66,23,6,67,29,1
152,226,28,0,94,2,1
153,121,15,1,91,7,1
154,117,24,1,48,4,1
155,449,19,9,88,14,1
156,59,22,3,34,28,1
157,380,15,0,68,1,1
158,322,23,5,4,21,1
159,126,8,3,76,25,0
160,240,28,0,56,8,1
161,301,14,1,91,6,1
162,193,12,3,64,28,0
163,276,9,2,66,33,0
164,211,21,5,59,43,1
165,432,9,8,10,2,1
166,78,24,5,12,2,1
167,355,22,2,86,40,1
168,204,12,2,15,45,1
169,135,8,0,88,14,1
170,128,11,5,38,20,1
171,160,14,5,23,27,1
172,213,6,3,15,21,1
173,397,9,7,39,16,1
174,467,21,3,94,18,1
175,294,16,7,61,41,1
176,426,17,1,54,19,1
177,312,22,5,69,4,1
178,366,22,2,99,18,1
179,231,7,6,41,1,1
180,187,18,5,76,0,1
181,421,20,1,23,36,1
182,120,10,4,36,3,1
183,153,5,5,37,27,1
184,244,13,8,64,39,1
185,163,18,8,26,10,1
186,342,21,5,15,7,1
187,200,10,8,97,43,1
188,437,28,2,70,13,1
189,230,18,9,30,19,1
190,480,22,2,30,4,1
191,64,12,0,69,34,0
192,132,29,9,81,31,1
193,330,27,3,79,32,1
194,318,29,1,39,8,1
195,292,20,4,88,18,1
196,57,8,4,26,31,1
197,113,9,9,34,41,1
198,289,11,9,61,36,1
199,266,23,7,39,48,1
200,127,17,3,26,0,1
201,442,11,6,79,37,1
202,449,13,5,41,10,1
203,377,21,0,71,13,1
204,172,27,7,43,13,1
205,376,29,0,68,13,1
206,76,7,0,16,32,1
207,388,27,3,65,38,1
208,354,23,4,81,35,1
209,50,8,5,3,34,1
210,345,26,0,72,48,1
211,200,23,0,11,25,1
212,178,12,3,77,35,0
213,430,21,6,71,22,1
214,400,16,9,56,49,1
215,137,20,5,70,33,1
216,348,21,5,76,41,1
217,245,21,5,47,40,1
218,131,21,6,15,23,1
219,368,6,6,65,2,1
220,330,9,9,91,40,1
221,309,5,9,9,45,1
222,253,6,3,80,9,1
223,345,26,4,6,5,1
224,377,14,1,10,49,1
225,167,7,7,65,17,1
226,268,19,4,98,6,1
227,296,21,6,51,48,1
228,322,8,1,26,48,1
229,156,29,2,56,8,1
230,382,15,0,29,25,1
231,473,29,4,19,1,1
232,356,29,8,82,10,1
233,426,12,0,75,2,1
234,213,10,5,1,30,1
235,380,11,4,50,16,1
236,208,22,4,58,43,1
237,451,11,8,13,44,1
238,95,16,6,8,41,1
239,321,5,0,91,32,1
240,394,6,9,17,46,1
241,79,20,2,76,1,1
242,365,16,4,83,8,1
243,102,23,1,97,13,1
244,276,9,8,37,32,1
245,462,20,4,22,8,1
246,76,26,7,96,40,1
247,121,10,0,8,27,1
248,354,20,9,51,15,1
249,379,8,3,85,11,1
250,498,11,3,10,37,1
251,208,13,1,19,37,1
252,185,7,5,50,8,1
253,472,28,4,78,10,1
254,213,5,5,26,21,1
255,248,17,5,76,33,1
256,234,9,5,90,41,1
257,225,10,7,16,18,1
258,84,11,1,69,0,1
259,228,24,3,57,4,1
260,105,5,6,88,35,1
261,213,5,4,65,44,0
262,453,15,6,47,0,1
263,465,26,3,72,2,1
264,468,19,4,17,27,1
265,371,8,4,53,33,1
266,369,12,5,73,26,1
267,263,27,6,51,11,1
268,400,26,7,4,17,1
269,227,29,0,86,15,1
270,497,15,5,42,13,1
271,423,9,8,24,9,1
272,293,16,6,26,0,1
273,255,8,8,76,12,1
274,50,28,4,1,48,1
275,398,28,2,75,12,1
276,193,12,0,52,4,1
277,403,18,0,42,45,1
278,374,22,7,36,13,1
279,331,18,5,55,4,1
280,101,18,9,88,35,1
281,482,19,3,32,38,1
282,454,6,5,14,35,1
283,194,22,8,10,47,1
284,241,27,9,9,9,1
285,439,13,8,59,1,1
286,166,28,2,14,19,1
287,449,13,7,90,37,1
288,235,18,0,58,0,1
289,149,9,3,88,28,0
290,487,12,5,85,28,1
291,356,28,1,13,11,1
292,295,23,0,95,14,1
293,425,10,0,91,36,1
294,79,29,7,61,17,1
295,205,18,8,44,22,1
296,437,19,2,82,32,1
297,443,18,5,21,20,1
298,189,11,8,93,29,1
299,357,8,1,2,6,1
300,239,19,6,19,24,1
301,376,6,0,97,32,1
302,472,5,0,53,12,1
303,372,17,7,86,44,1
304,417,28,6,5,33,1
305,324,10,3,76,42,1
306,106,5,6,91,2,1
307,216,28,9,58,28,1
308,232,15,1,40,17,1
309,297,28,1,32,3,1
310,67,8,3,88,25,0
311,73,18,8,20,26,1
312,158,20,3,94,10,1
313,335,27,6,40,39,1
314,181,15,9,76,23,1
315,287,20,2,34,5,1
316,165,21,6,10,47,1
317,207,18,9,56,48,1
318,218,11,8,4,34,1
319,491,13,8,45,17,1
320,143,9,4,46,42,1
321,237,9,9,57,10,1
322,301,24,9,62,35,1
323,474,15,5,54,0,1
324,119,16,0,40,3,1
325,195,26,1,18,2,1
326,223,6,1,37,8,1
327,451,14,2,33,34,1
328,372,12,8,93,23,1
329,206,25,2,27,44,1
330,344,27,1,90,8,1
331,473,29,5,83,0,1
332,312,12,9,45,31,1
333,398,21,9,72,14,1
334,74,13,8,64,17,1
335,160,15,7,61,15,1
336,474,10,2,50,40,1
337,277,7,4,73,41,0
338,168,21,7,61,10,1
339,178,15,3,73,16,1
340,159,20,8,21,3,1
341,380,15,7,50,47,1
342,471,27,9,23,5,1
343,394,20,3,49,27,1
344,381,28,3,81,32,1
345,308,20,4,8,29,1
346,297,27,4,35,42,1
347,295,16,7,12,18,1
348,237,20,3,74,34,1
349,438,16,5,75,10,1
350,463,17,0,99,45,1
351,398,28,8,18,31,1
352,309,29,4,16,25,1
353,339,26,4,80,39,1
354,143,25,2,66,10,1
355,98,19,6,38,1,1
356,338,29,8,52,48,1
357,206,23,5,86,9,1
358,320,12,9,56,47,1
359,169,26,6,71,48,1
360,64,14,3,81,38,0
361,464,16,8,34,18,1
362,452,10,5,32,30,1
363,356,8,6,77,40,1
364,259,15,7,93,36,1
365,294,10,9,35,48,1
366,245,21,6,1,30,1
367,119,21,7,35,30,1
368,363,22,2,51,10,1
369,472,23,3,40,25,1
370,67,5,5,71,20,1
371,287,14,1,72,22,1
372,303,11,3,50,0,1
373,132,5,8,26,6,1
374,139,17,9,79,22,1
375,187,27,5,84,35,1
376,207,29,3,68,24,1
377,216,12,4,96,0,1
378,114,18,2,31,23,1
379,334,28,0,10,5,1
380,208,17,8,16,6,1
381,292,17,0,54,27,1
382,242,21,4,58,47,1
383,447,19,8,75,2,1
384,378,16,1,33,33,1
385,280,9,1,98,16,1
386,480,17,6,84,1,1
387,244,17,3,62,21,1
388,340,21,6,1,35,1
389,391,9,7,57,15,1
390,313,23,2,71,34,1
391,481,5,4,68,19,1
392,436,26,9,70,2,1
393,474,14,5,39,25,1
394,50,24,7,46,12,1
395,325,25,7,15,10,1
396,160,12,1,89,29,0
397,494,6,8,73,26,1
398,143,22,7,2,13,1
399,341,13,5,97,4,1
400,427,16,9,73,19,1
401,434,7,4,2,18,1
402,56,27,5,68,42,1
403,473,26,5,58,9,1
404,356,23,6,9,8,1
405,470,29,4,97,11,1
406,262,8,2,54,29,0
407,409,13,3,81,34,1
408,447,11,2,40,1,1
409,399,17,1,4,44,1
410,325,28,8,65,2,1
411,402,8,7,1,16,1
412,144,18,0,52,3,1
413,212,24,5,32,7,1
414,377,15,1,68,4,1
415,409,10,7,55,42,1
416,423,19,4,53,47,1
417,484,16,5,18,13,1
418,327,12,3,10,47,1
419,107,17,5,88,1,1
420,163,23,2,28,18,1
421,60,7,2,11,34,1
422,172,29,2,22,4,1
423,265,15,8,38,34,1
424,259,20,0,74,46,1
425,88,20,6,17,39,1
426,285,26,0,76,16,1
427,249,13,6,49,30,1
428,299,8,6,1,4,1
429,105,21,7,71,48,1
430,343,12,5,31,20,1
431,425,22,8,36,35,1
432,236,18,7,85,23,1
433,293,9,9,80,6,1
434,347,9,7,22,30,1
435,445,15,0,53,0,1
436,212,25,9,39,31,1
437,264,23,9,10,28,1
438,389,12,7,3,35,1
439,442,23,9,66,25,1
440,206,9,1,98,37,0
441,323,27,1,7,15,1
442,183,5,0,14,49,1
443,123,8,4,96,36,0
444,309,22,9,50,32,1
445,420,14,1,80,47,1
446,331,28,5,7,7,1
447,324,25,4,31,44,1
448,101,8,0,38,43,1
449,252,11,9,17,47,1
450,375,24,7,66,19,1
451,248,19,3,83,33,1
452,67,9,0,30,27,1
453,420,9,0,97,34,1
454,218,7,6,15,41,1
455,397,5,4,15,1,1
456,321,8,6,32,18,1
457,290,8,6,92,30,1
458,488,15,7,65,44,1
459,435,28,3,78,16,1
460,347,8,0,63,35,1
461,294,7,2,79,33,1
462,136,5,7,1,35,1
463,354,14,8,84,27,1
464,277,28,1,70,13,1
465,215,5,5,57,8,1
466,201,29,5,94,24,1
467,318,25,3,68,37,1
468,338,19,9,44,49,1
469,485,8,6,4,10,1
470,70,9,9,15,31,1
471,353,20,5,23,32,1
472,486,12,8,1,45,1
473,119,19,4,45,27,1
474,342,20,3,92,47,1
475,70,9,2,43,30,1
476,351,17,6,49,2,1
477,281,7,0,28,13,1
478,125,18,0,15,21,1
479,498,8,3,98,19,1
480,495,19,6,57,19,1
481,61,9,6,68,9,1
482,88,26,4,40,41,1
483,486,11,0,31,44,1
484,366,7,4,63,1,1
485,56,21,6,1,18,1
486,75,29,2,64,6,1
487,425,14,9,31,30,1
488,71,14,6,95,8,1
489,156,18,3,13,2,1
490,374,13,8,31,24,1
491,271,7,6,20,43,1
492,213,6,8,38,30,1
493,491,10,2,6,40,1
494,256,20,3,98,44,1
495,114,28,0,13,10,1
496,370,23,2,20,47,1
497,114,17,5,74,0,1
498,151,23,7,22,8,1
499,321,24,2,4,2,1
500,251,7,9,53,38,1
501,499,20,5,28,15,1
502,185,11,3,62,29,0
503,76,15,3,81,18,1
504,340,12,7,91,42,1
505,62,13,0,94,4,1
506,193,12,4,59,26,0
507,446,5,1,22,22,1
508,270,16,5,85,13,1
509,129,11,0,77,27,0
510,390,19,7,67,29,1
511,112,29,0,27,31,1
512,486,11,4,25,31,1
513,191,22,6,8,28,1
514,484,12,2,7,32,1
515,67,25,2,87,2,1
516,384,21,6,6,42,1
517,186,13,4,7,3,1
518,52,7,5,84,16,1
519,286,7,8,82,5,1
520,152,6,0,67,44,0
521,353,10,7,58,33,1
522,91,19,5,18,41,1
523,366,28,6,27,30,1
524,124,23,0,23,33,1
525,237,8,9,43,47,1
526,82,21,7,44,31,1
527,455,22,0,85,10,1
528,188,8,4,35,6,1
529,86,11,1,59,36,0
530,94,8,1,88,49,0
531,172,26,3,38,43,1
532,492,13,0,40,8,1
533,195,12,2,61,15,1
534,343,9,8,87,29,1
535,102,27,7,69,16,1
536,251,18,4,78,18,1
537,434,22,8,69,36,1
538,421,12,3,3,17,1
539,181,8,1,55,31,0
540,228,21,2,72,14,1
541,98,29,5,36,2,1
542,371,13,2,3,13,1
543,498,9,8,16,29,1
544,149,15,1,76,44,0
545,207,14,6,18,45,1
546,282,18,2,7,43,1
547,79,23,7,44,0,1
548,115,15,7,6,15,1
549,145,8,1,9,36,1
550,290,15,6,23,45,1
551,212,10,3,9,40,1
552,292,26,6,22,25,1
553,83,23,4,91,45,1
554,420,11,2,87,23,1
555,142,15,0,31,32,1
556,59,5,1,33,38,1
557,137,11,8,92,33,1
558,115,29,3,19,17,1
559,353,17,2,47,16,1
560,50,28,2,6,5,1
561,250,12,1,78,38,0
562,182,13,4,15,42,1
563,428,21,1,67,36,1
564,152,19,8,50,0,1
565,168,15,6,91,41,1
566,94,18,8,99,38,1
567,282,22,0,98,40,1
568,235,26,1,41,0,1
569,61,22,7,94,49,1
570,271,29,2,3,16,1
571,269,26,4,87,45,1
572,449,11,9,59,9,1
573,241,5,2,28,49,1
574,214,5,9,76,4,1
575,445,29,1,68,15,1
576,247,23,8,8,41,1
577,61,9,2,22,30,1
578,315,29,4,91,19,1
579,301,28,1,19,19,1
580,375,28,9,78,25,1
581,294,9,2,22,25,1
582,115,6,0,12,12,1
583,376,17,3,77,3,1
584,465,7,0,25,49,1
585,396,26,8,25,5,1
586,464,29,6,83,18,1
587,301,22,0,99,21,1
588,449,22,3,3,1,1
589,393,6,2,78,6,1
590,438,9,7,24,11,1
591,186,16,2,92,36,0
592,428,11,7,47,9,1
593,90,16,8,40,32,1
594,113,6,9,98,22,1
595,318,28,5,13,49,1
596,329,28,1,56,29,1
597,57,29,5,30,17,1
598,143,13,6,30,17,1
599,212,13,2,43,6,1
600,319,23,9,90,2,1
601,185,15,6,49,46,1
602,337,5,1,17,6,1
603,354,27,2,54,18,1
604,148,24,6,87,20,1
605,485,28,9,20,7,1
606,337,7,9,48,17,1
607,264,9,0,78,35,0
608,91,11,3,49,21,1
609,418,8,7,61,16,1
610,244,17,5,18,28,1
611,387,13,2,63,6,1
612,278,27,5,49,35,1
613,389,16,2,56,49,1
614,164,6,4,99,48,0
615,212,21,3,28,44,1
616,317,8,2,26,16,1
617,220,12,4,78,36,0
618,454,19,0,83,26,1
619,397,14,7,50,8,1
620,448,26,0,83,19,1
621,384,13,6,57,31,1
622,375,29,4,46,20,1
623,162,6,1,42,33,1
624,291,26,8,14,16,1
625,127,11,2,22,30,1
626,494,8,0,88,39,1
627,174,6,1,98,43,0
628,294,19,1,10,39,1
629,237,21,4,83,14,1
630,263,17,5,9,4,1
631,239,8,1,21,4,1
632,194,28,1,8,10,1
633,411,6,6,93,0,1
634,70,20,2,74,7,1
635,298,5,6,12,23,1
636,108,26,9,70,10,1
637,230,27,6,55,33,1
638,51,23,1,36,25,1
639,377,8,1,3,12,1
640,194,5,5,58,14,1
641,323,9,2,66,27,1
642,426,24,4,81,35,1
643,276,21,9,71,12,1
644,256,10,3,25,6,1
645,442,28,9,90,11,1
646,407,29,8,62,5,1
647,276,5,2,33,29,1
648,425,6,6,58,36,1
649,96,22,0,90,40,1
650,88,24,5,76,47,1
651,189,5,5,48,39,1
652,433,10,0,92,7,1
653,360,16,2,46,22,1
654,483,14,4,15,37,1
655,284,9,4,6,43,1
656,330,12,8,30,4,1
657,249,19,3,6,11,1
658,286,19,9,33,49,1
659,363,14,6,58,17,1
660,318,18,5,90,14,1
661,306,6,8,80,47,1
662,455,6,3,91,8,1
663,340,22,5,62,5,1
664,309,5,6,2,40,1
665,79,17,5,97,41,1
666,494,19,7,53,44,1
667,276,20,6,90,40,1
668,146,27,6,9,17,1
669,79,14,0,35,18,1
670,289,6,8,99,31,1
671,86,16,0,90,22,1
672,251,24,6,48,19,1
673,498,15,0,88,42,1
674,251,22,6,43,36,1
675,475,29,0,71,46,1
676,233,19,6,26,29,1
677,86,5,7,44,46,1
678,268,28,2,58,39,1
679,378,11,6,59,0,1
680,347,12,3,35,0,1
681,80,13,4,74,34,0
682,219,5,8,7,42,1
683,247,17,8,90,35,1
684,111,10,0,69,23,1
685,68,13,7,77,46,1
686,223,10,2,43,44,1
687,270,22,7,84,34,1
688,222,16,0,73,35,0
689,403,18,1,70,36,1
690,92,22,5,44,49,1
691,390,18,9,88,21,1
692,128,21,5,43,10,1
693,326,11,1,21,48,1
694,209,28,9,24,4,1
695,231,13,4,16,7,1
696,473,5,2,28,20,1
697,143,14,6,14,11,1
698,400,22,8,86,39,1
699,431,26,2,78,33,1
700,448,24,7,41,14,1
701,348,15,1,50,36,1
702,210,13,1,89,39,0
703,262,18,6,86,10,1
704,265,7,8,24,30,1
705,150,29,3,92,18,1
706,150,24,9,94,15,1
707,161,26,6,35,34,1
708,362,9,7,98,27,1
709,447,18,1,8,20,1
710,351,7,6,89,9,1
711,309,21,6,68,20,1
712,173,19,7,39,21,1
713,226,15,5,48,29,1
714,419,28,0,62,47,1
715,135,21,5,95,15,1
716,427,18,7,13,9,1
717,309,7,3,70,2,1
718,214,27,5,93,19,1
719,415,24,7,97,24,1
720,302,14,7,8,3,1
721,402,25,6,32,37,1
722,328,29,5,43,40,1
723,69,25,5,78,45,1
724,320,19,8,89,5,1
725,369,24,6,22,44,1
726,331,15,7,64,16,1
727,245,19,2,87,22,1
728,435,23,5,4,7,1
729,404,20,6,22,20,1
730,337,17,0,81,6,1
731,105,19,1,62,37,1
732,158,24,3,95,34,1
733,366,28,3,67,47,1
734,289,17,4,73,25,1
735,173,20,7,19,34,1
736,139,7,5,45,32,1
737,146,8,2,72,16,1
738,84,10,9,45,30,1
739,160,22,0,31,40,1
740,426,25,4,98,46,1
741,231,20,5,19,1,1
742,231,15,8,99,18,1
743,229,24,9,5,24,1
744,380,15,0,36,23,1
745,418,15,4,45,49,1
746,398,24,5,11,1,1
747,208,27,8,65,37,1
748,57,15,8,12,47,1
749,477,16,5,47,44,1
750,178,18,3,58,45,1
751,106,16,6,48,30,1
752,155,29,3,72,48,1
753,423,29,5,37,36,1
754,163,17,0,52,19,1
755,447,5,2,26,28,1
756,387,8,3,60,35,1
757,426,5,0,94,36,1
758,268,11,9,43,11,1
759,111,26,7,54,44,1
760,336,20,0,42,21,1
761,272,6,5,47,36,1
762,366,15,6,64,49,1
763,190,6,2,94,34,0
764,83,24,1,77,27,1
765,209,8,3,75,9,1
766,309,12,1,25,32,1
767,280,9,4,47,4,1
768,163,14,8,99,7,1
769,376,13,4,93,36,1
770,127,11,0,12,6,1
771,410,26,5,61,17,1
772,356,22,3,40,47,1
773,147,29,4,96,4,1
774,315,11,0,2,9,1
775,449,9,3,54,7,1
776,440,17,7,74,36,1
777,138,27,3,31,13,1
778,136,13,7,27,14,1
779,297,27,4,2,23,1
780,454,19,1,8,1,1
781,417,17,9,46,36,1
782,366,12,0,37,39,1
783,283,18,2,12,40,1
784,300,21,2,87,18,1
785,84,8,4,86,39,0
786,405,15,9,36,14,1
787,338,10,8,59,41,1
788,467,12,0,44,23,1
789,335,24,3,39,11,1
790,443,24,7,60,17,1
791,208,9,9,73,2,1
792,376,23,2,86,48,1
793,436,14,9,17,45,1
794,266,29,1,68,35,1
795,221,12,8,11,4,1
796,123,8,2,80,41,0
797,177,16,7,88,40,1
798,377,20,5,41,20,1
799,411,5,4,28,21,1
800,164,10,6,14,24,1
801,405,7,6,59,31,1
802,353,15,6,69,9,1
803,448,22,0,73,34,1
804,463,24,8,58,10,1
805,243,6,1,49,49,1
806,116,17,8,85,0,1
807,50,15,2,52,12,1
808,237,16,3,31,22,1
809,71,15,8,6,32,1
810,436,19,9,60,37,1
811,171,21,2,53,13,1
812,302,29,6,42,46,1
813,96,17,7,60,13,1
814,336,18,0,38,18,1
815,132,22,7,85,25,1
816,121,8,7,80,20,1
817,352,16,6,52,23,1
818,415,27,8,30,11,1
819,54,20,1,13,33,1
820,128,25,4,11,18,1
821,428,5,5,58,10,1
822,247,28,0,84,35,1
823,60,28,6,80,24,1
824,436,25,9,56,31,1
825,290,9,0,84,45,1
826,59,6,6,98,43,1
827,451,10,6,9,14,1
828,167,10,9,73,38,1
829,199,8,1,64,43,0
830,326,5,8,77,9,1
831,162,7,9,88,48,1
832,253,21,2,44,32,1
833,157,20,2,21,10,1
834,308,23,4,75,6,1
835,295,14,9,7,41,1
836,224,18,7,56,42,1
837,84,20,6,25,28,1
838,79,20,6,96,10,1
839,231,8,5,44,14,1
840,255,28,7,78,35,1
841,60,28,6,53,13,1
842,248,14,9,4,10,1
843,132,14,2,91,49,0
844,209,10,6,50,23,1
845,239,26,2,3,44,1
846,156,8,7,17,13,1
847,361,15,4,52,3,1
848,109,16,4,64,26,0
849,447,28,4,15,1,1
850,148,29,3,79,25,1
851,400,29,6,68,34,1
852,116,9,9,53,14,1
853,162,13,3,99,6,1
854,196,16,0,61,19,1
855,179,27,7,96,49,1
856,113,8,2,17,29,1
857,209,11,7,95,35,1
858,250,21,6,83,8,1
859,496,8,2,7,27,1
860,317,10,7,20,36,1
861,89,22,0,21,16,1
862,346,23,2,2,12,1
863,410,23,6,80,3,1
864,193,27,9,38,37,1
865,403,10,2,3,24,1
866,289,13,8,45,12,1
867,245,19,8,70,19,1
868,263,26,0,76,3,1
869,318,8,5,41,47,1
870,220,14,3,26,0,1
871,117,11,4,80,7,1
872,206,28,2,84,36,1
873,156,24,7,2,19,1
874,322,22,6,69,34,1
875,245,9,4,27,31,1
876,324,28,0,88,14,1
877,303,24,7,67,22,1
878,430,21,6,30,9,1
879,200,23,3,86,16,1
880,165,7,6,37,38,1
881,288,24,2,45,5,1
882,361,15,0,13,24,1
883,318,5,3,30,6,1
884,162,21,2,69,19,1
885,350,29,5,86,15,1
886,124,28,3,98,23,1
887,302,15,1,56,21,1
888,245,20,9,63,26,1
889,334,15,2,83,7,1
890,89,23,3,74,4,1
891,313,20,9,32,48,1
892,242,25,6,1,44,1
893,356,5,8,97,44,1
894,296,15,5,48,36,1
895,120,25,2,62,22,1
896,455,11,7,40,45,1
897,457,18,5,44,28,1
898,466,13,7,60,24,1
899,441,16,3,73,10,1
900,169,21,3,4,5,1
901,444,21,8,81,35,1
902,296,21,5,35,17,1
903,162,20,4,78,48,1
904,167,11,5,93,35,1
905,476,23,5,68,31,1
906,426,24,8,13,4,1
907,314,16,4,50,14,1
908,300,18,9,52,26,1
909,98,26,1,80,12,1
910,187,25,0,74,3,1
911,495,7,7,60,11,1
912,462,17,9,79,15,1
913,104,9,8,25,1,1
914,235,17,5,65,28,1
915,195,5,8,92,34,1
916,296,28,7,27,15,1
917,58,13,8,52,21,1
918,493,27,0,64,46,1
919,238,26,8,64,47,1
920,88,24,2,57,16,1
921,286,19,0,54,8,1
922,317,19,1,37,15,1
923,223,29,6,54,21,1
924,167,26,6,18,14,1
925,205,23,7,62,1,1
926,233,21,7,56,14,1
927,445,28,9,83,33,1
928,207,23,9,71,31,1
929,341,5,8,94,37,1
930,289,8,1,26,20,1
931,398,24,1,95,18,1
932,321,12,5,95,13,1
933,356,18,9,82,9,1
934,179,25,2,45,19,1
935,77,17,8,25,5,1
936,117,5,1,20,39,1
937,490,17,5,88,27,1
938,457,8,9,84,32,1
939,443,9,9,28,11,1
940,352,22,2,11,14,1
941,338,19,2,86,47,1
942,307,23,6,93,48,1
943,151,10,6,62,3,1
944,469,22,0,67,48,1
945,315,25,2,57,2,1
946,184,9,0,17,36,1
947,71,11,6,27,36,1
948,219,7,3,60,40,0
949,419,8,3,1,11,1
950,349,20,5,83,47,1
951,113,6,7,70,3,1
952,427,16,0,84,42,1
953,309,24,9,78,16,1
954,257,16,5,43,3,1
955,50,26,4,59,37,1
956,259,5,7,35,45,1
957,399,5,7,55,35,1
958,120,12,1,50,29,1
959,189,8,2,66,40,0
960,424,21,2,66,32,1
961,243,18,1,74,4,1
962,335,10,5,80,31,1
963,433,9,5,67,25,1
964,229,28,9,10,45,1
965,223,26,9,47,14,1
966,367,12,8,98,9,1
967,173,20,7,67,11,1
968,266,7,8,71,39,1
969,137,5,6,17,29,1
970,85,8,6,87,34,1
971,322,19,4,93,29,1
972,381,19,2,63,44,1
973,113,8,5,80,32,1
974,430,6,4,40,23,1
975,447,25,8,37,4,1
976,111,29,4,47,28,1
977,174,9,9,10,21,1
978,265,26,8,18,2,1
979,387,25,8,31,2,1
980,480,17,2,80,39,1
981,438,27,7,46,31,1
982,451,9,0,47,0,1
983,365,29,9,95,5,1
984,446,8,9,21,30,1
985,263,23,3,52,17,1
986,278,29,5,38,45,1
987,448,6,0,63,3,1
988,172,12,8,96,23,1
989,153,24,6,75,31,1
990,304,14,1,12,20,1
991,316,25,4,57,22,1
992,182,6,5,62,23,1
