,Student_ID,Age,Gender,GPA,Hours_Studied_Per_Week,Family_Income,Parent_Education_Level,Participation_In_Extracurriculars,Number_of_Siblings,label
98,99,15,Female,2.9,10,73686,High School Diploma,No,4,0
99,100,16,Male,3.0,14,48172,Doctorate,No,4,0
100,101,16,Male,3.2,8,38899,Bachelor’s Degree,No,1,0
101,102,18,Female,3.6,7,65325,Bachelor’s Degree,Yes,0,1
102,103,16,Male,3.0,14,45265,High School Diploma,Yes,0,0
103,104,16,Male,2.8,14,34318,Bachelor’s Degree,No,3,0
104,105,17,Male,3.1,9,55739,Master’s Degree,No,3,1
105,106,18,Female,2.8,6,27565,Doctorate,No,4,0
106,107,15,Female,2.9,18,53146,Some College,Yes,1,0
107,108,16,Female,3.0,9,76437,High School Diploma,No,3,0
108,109,15,Male,3.2,12,67780,Bachelor’s Degree,No,0,1
109,110,15,Female,3.7,19,62309,Bachelor’s Degree,No,2,1
110,111,16,Male,3.4,17,65416,High School Diploma,Yes,4,1
111,112,15,Female,2.7,20,36060,High School Diploma,Yes,1,0
112,113,16,Female,2.6,16,40334,Master’s Degree,Yes,4,1
113,114,15,Male,2.0,12,31732,Doctorate,No,0,0
114,115,17,Female,3.4,18,30144,Master’s Degree,No,2,1
115,116,18,Male,3.1,17,28753,High School Diploma,Yes,4,0
116,117,15,Female,3.7,9,49379,Bachelor’s Degree,Yes,4,0
117,118,17,Female,3.3,7,68857,Bachelor’s Degree,Yes,2,1
118,119,17,Female,2.5,19,51452,Doctorate,No,4,1
119,120,17,Male,3.3,12,49724,Some College,Yes,3,0
120,121,16,Male,4.0,10,63399,Some College,No,2,1
121,122,18,Male,2.6,15,52837,Bachelor’s Degree,No,4,0
122,123,18,Female,3.8,10,69870,High School Diploma,No,0,1
123,124,15,Male,2.1,12,59325,Some College,No,4,0
124,125,16,Female,2.7,20,55724,Doctorate,No,2,1
125,126,16,Female,3.6,7,55232,High School Diploma,No,3,1
126,127,15,Male,3.2,17,48046,Some College,No,0,0
127,128,18,Male,3.6,15,67722,Some College,Yes,1,1
128,129,16,Male,2.8,19,47849,Bachelor’s Degree,Yes,2,1
129,130,18,Female,2.3,19,60505,Doctorate,Yes,2,1
130,131,15,Male,2.6,20,49702,Some College,No,3,0
131,132,18,Female,3.0,16,48320,Master’s Degree,Yes,1,1
132,133,15,Female,3.0,18,60388,High School Diploma,No,3,0
133,134,17,Male,2.1,12,45711,Bachelor’s Degree,Yes,1,0
134,135,15,Male,3.9,11,71197,Master’s Degree,Yes,0,1
135,136,18,Male,3.1,12,75405,Master’s Degree,No,2,1
136,137,18,Female,3.5,17,30707,High School Diploma,Yes,4,0
137,138,17,Female,3.3,11,50386,High School Diploma,Yes,0,1
138,139,15,Female,3.8,20,70048,Bachelor’s Degree,Yes,4,1
139,140,16,Female,3.3,17,47491,Doctorate,No,2,1
140,141,15,Male,2.9,19,28889,Master’s Degree,No,0,1
141,142,15,Male,2.1,10,77081,Some College,Yes,4,0
142,143,18,Male,3.8,11,34071,Bachelor’s Degree,Yes,1,0
143,144,18,Female,3.2,7,45689,Some College,No,1,0
144,145,17,Male,3.3,17,62169,Bachelor’s Degree,Yes,0,1
145,146,15,Female,3.5,18,28818,Some College,No,3,0
146,147,15,Female,3.0,15,54210,Bachelor’s Degree,Yes,4,0
147,148,17,Female,3.2,9,70796,Master’s Degree,Yes,1,1
148,149,17,Male,2.4,20,79569,Doctorate,No,1,1
149,150,15,Female,3.1,17,64891,High School Diploma,No,0,1
150,151,17,Female,2.6,7,75107,Doctorate,No,4,0
151,152,17,Female,2.5,20,52020,Doctorate,No,1,1
152,153,18,Female,2.3,14,56471,High School Diploma,Yes,1,0
153,154,17,Female,2.4,8,34322,Bachelor’s Degree,No,0,0
154,155,17,Female,3.2,10,42775,Bachelor’s Degree,No,0,0
155,156,17,Male,2.8,7,55274,Some College,No,0,0
156,157,16,Male,2.2,6,75037,Doctorate,No,3,0
157,158,17,Female,2.1,20,73438,High School Diploma,Yes,2,0
158,159,15,Female,2.9,19,71583,Doctorate,Yes,4,1
159,160,15,Female,2.2,7,77104,Some College,No,2,0
160,161,17,Male,2.5,11,56399,Some College,No,1,0
161,162,17,Male,2.7,11,59668,High School Diploma,No,3,0
162,163,15,Female,3.2,16,50520,Some College,Yes,0,1
163,164,16,Male,3.3,15,48811,High School Diploma,Yes,4,0
164,165,16,Male,3.9,10,44605,Some College,No,3,0
165,166,17,Female,3.8,14,78827,Some College,Yes,0,1
166,167,17,Female,3.0,7,66054,High School Diploma,Yes,0,0
167,168,16,Male,3.2,19,53308,Doctorate,No,0,1
168,169,15,Female,3.3,19,34358,Doctorate,No,1,1
169,170,16,Female,2.8,13,73492,Some College,No,1,0
170,171,16,Female,2.3,9,79784,Doctorate,Yes,4,0
171,172,16,Female,3.3,17,53590,Bachelor’s Degree,Yes,2,1
172,173,18,Female,3.6,7,28712,Master’s Degree,Yes,4,0
173,174,15,Male,2.4,15,30072,Doctorate,Yes,4,0
174,175,17,Female,2.5,7,73263,Bachelor’s Degree,Yes,4,0
175,176,18,Male,2.6,8,41902,Some College,No,2,0
176,177,15,Male,2.0,7,44153,High School Diploma,No,4,0
177,178,17,Male,2.2,10,43338,Master’s Degree,No,0,0
178,179,15,Female,3.9,18,51082,Bachelor’s Degree,Yes,1,1
179,180,17,Female,2.0,11,31440,Some College,Yes,2,0
180,181,17,Male,3.5,13,45174,Doctorate,Yes,1,0
181,182,18,Female,3.2,14,27263,Master’s Degree,Yes,1,0
182,183,17,Female,3.1,9,62664,Doctorate,No,3,1
183,184,18,Male,2.4,13,71016,Master’s Degree,No,2,0
184,185,17,Female,3.2,13,30795,Some College,No,3,0
185,186,15,Male,3.4,15,44823,Doctorate,Yes,3,0
186,187,15,Male,3.7,6,79611,High School Diploma,No,4,1
187,188,17,Male,2.2,19,51843,Bachelor’s Degree,Yes,0,1
188,189,18,Female,3.2,15,77373,Some College,No,4,1
189,190,18,Male,2.7,11,40992,Master’s Degree,Yes,4,0
190,191,15,Male,3.7,15,67005,High School Diploma,Yes,1,1
191,192,16,Male,2.3,8,43114,Bachelor’s Degree,Yes,2,0
192,193,18,Male,2.1,10,49705,Bachelor’s Degree,Yes,4,0
193,194,17,Male,2.7,18,59335,Some College,No,4,0
194,195,15,Female,3.2,20,70409,High School Diploma,Yes,2,1
195,196,16,Male,3.6,7,54963,Master’s Degree,No,1,1
196,197,18,Female,3.0,13,32447,Master’s Degree,No,2,0
197,198,17,Male,3.9,17,32506,Doctorate,Yes,0,1
198,199,16,Male,3.5,7,39487,Some College,Yes,2,0
199,200,15,Female,2.9,7,36191,Bachelor’s Degree,Yes,1,0
200,201,18,Male,3.4,20,64822,High School Diploma,Yes,3,1
201,202,18,Female,2.9,20,57600,Bachelor’s Degree,Yes,0,1
202,203,17,Male,3.7,12,53633,High School Diploma,Yes,3,1
203,204,18,Female,3.8,6,68517,Some College,Yes,2,1
204,205,18,Female,3.5,17,66553,Doctorate,No,3,1
205,206,17,Male,2.4,19,57748,Some College,No,2,0
206,207,15,Male,3.4,6,26036,Master’s Degree,Yes,1,0
207,208,17,Male,2.4,20,26616,Bachelor’s Degree,No,4,1
208,209,17,Male,2.1,10,27129,Doctorate,No,3,0
209,210,16,Female,2.0,13,37234,Some College,Yes,1,0
210,211,15,Male,2.5,17,72954,Bachelor’s Degree,Yes,0,1
211,212,16,Male,2.2,18,26057,Doctorate,Yes,2,1
212,213,15,Male,2.4,19,61005,High School Diploma,Yes,1,0
213,214,15,Female,2.9,16,42483,Doctorate,No,2,1
214,215,16,Female,3.7,9,50674,Some College,No,2,1
215,216,15,Male,2.8,17,50107,Bachelor’s Degree,No,3,1
216,217,15,Female,3.1,9,38057,Bachelor’s Degree,No,3,0
217,218,16,Female,3.1,10,48339,Some College,No,1,0
218,219,18,Male,3.5,17,38956,Master’s Degree,No,4,1
219,220,16,Male,2.9,10,36572,Doctorate,Yes,0,0
220,221,16,Male,2.9,13,59705,Doctorate,Yes,1,0
221,222,16,Female,2.6,9,62978,High School Diploma,Yes,4,0
222,223,15,Female,2.5,19,52880,Bachelor’s Degree,No,2,1
223,224,15,Female,3.5,6,47911,Doctorate,Yes,3,0
224,225,16,Female,2.9,20,79475,Bachelor’s Degree,Yes,2,1
225,226,16,Male,3.4,20,29547,Bachelor’s Degree,No,3,1
226,227,15,Female,3.7,10,29501,Master’s Degree,Yes,4,0
227,228,17,Male,3.4,8,45640,Master’s Degree,Yes,2,0
228,229,16,Female,2.2,18,41828,High School Diploma,No,4,0
229,230,18,Female,2.1,10,63676,Master’s Degree,Yes,3,0
230,231,17,Female,3.5,8,79475,Some College,Yes,2,1
231,232,17,Male,2.5,18,51289,Bachelor’s Degree,No,0,1
232,233,17,Male,2.6,6,39460,Doctorate,Yes,4,0
233,234,17,Female,3.7,11,78584,Master’s Degree,Yes,1,1
234,235,16,Female,3.9,16,65232,High School Diploma,Yes,4,1
235,236,18,Female,2.6,18,73995,High School Diploma,No,3,0
236,237,17,Female,4.0,6,49284,Some College,No,0,0
237,238,15,Female,2.4,17,40386,High School Diploma,No,2,0
238,239,15,Female,2.4,10,30339,Master’s Degree,Yes,1,0
239,240,18,Male,2.2,15,66175,Doctorate,Yes,2,0
240,241,15,Male,3.7,10,38438,Doctorate,Yes,2,0
241,242,18,Female,2.8,7,26985,Some College,Yes,2,0
242,243,16,Female,3.8,14,56367,High School Diploma,Yes,4,1
243,244,16,Male,3.1,13,69567,Bachelor’s Degree,No,2,1
244,245,18,Male,3.9,15,56799,Doctorate,No,1,1
245,246,17,Male,2.0,16,26448,Bachelor’s Degree,Yes,3,1
246,247,18,Female,3.6,11,46590,Doctorate,Yes,1,0
247,248,17,Female,2.2,7,69536,Doctorate,Yes,1,0
248,249,18,Female,3.0,13,34684,Some College,No,2,0
249,250,18,Male,2.0,14,40674,Bachelor’s Degree,No,4,0
250,251,16,Male,3.5,18,68863,Doctorate,No,0,1
251,252,15,Male,2.4,19,60282,High School Diploma,No,3,0
252,253,17,Male,3.4,17,30329,Bachelor’s Degree,No,2,1
253,254,18,Male,3.2,20,71739,Bachelor’s Degree,Yes,0,1
254,255,16,Female,3.9,11,35358,High School Diploma,No,4,0
255,256,17,Male,2.2,15,42665,Doctorate,Yes,1,0
256,257,16,Male,3.8,6,42216,Bachelor’s Degree,Yes,4,0
257,258,17,Male,2.6,13,27825,Master’s Degree,Yes,0,0
258,259,16,Male,2.4,16,64439,Bachelor’s Degree,Yes,4,1
259,260,15,Female,3.9,18,28134,Master’s Degree,Yes,3,1
260,261,16,Male,3.4,20,34025,Bachelor’s Degree,No,4,1
261,262,17,Female,3.0,13,60692,Doctorate,Yes,2,0
262,263,18,Female,3.6,18,45037,Some College,No,3,0
263,264,16,Female,2.9,11,78793,Master’s Degree,No,2,0
264,265,16,Female,3.9,15,53398,Master’s Degree,No,4,1
265,266,15,Female,3.9,9,75840,Master’s Degree,No,1,1
266,267,16,Male,2.6,20,53835,High School Diploma,Yes,2,0
267,268,17,Male,2.2,6,60070,Bachelor’s Degree,No,4,0
268,269,17,Female,3.6,15,49775,Master’s Degree,Yes,2,0
269,270,18,Male,3.3,20,74358,Bachelor’s Degree,No,2,1
270,271,18,Male,3.2,16,52770,Master’s Degree,Yes,0,1
271,272,16,Female,2.6,11,31415,Master’s Degree,Yes,3,0
272,273,16,Male,2.9,19,65189,Master’s Degree,No,4,1
273,274,16,Male,2.5,15,67774,Master’s Degree,Yes,0,0
274,275,16,Male,2.2,19,72268,Bachelor’s Degree,Yes,3,1
275,276,18,Female,3.6,20,75099,High School Diploma,No,1,1
276,277,18,Male,2.4,16,40542,Master’s Degree,No,4,1
277,278,17,Male,2.5,13,61576,Doctorate,Yes,4,0
278,279,15,Male,2.4,9,36921,Bachelor’s Degree,Yes,3,0
279,280,18,Female,3.7,16,38188,Master’s Degree,Yes,2,1
280,281,17,Male,3.2,19,53740,Bachelor’s Degree,Yes,3,1
281,282,15,Male,3.1,17,64688,Bachelor’s Degree,No,3,1
282,283,15,Female,3.4,10,36420,Master’s Degree,Yes,4,0
283,284,16,Female,3.2,18,26034,Doctorate,Yes,0,1
284,285,17,Female,3.5,8,70085,Master’s Degree,Yes,2,1
285,286,18,Female,3.1,8,70395,Doctorate,No,2,1
286,287,15,Female,3.1,14,49823,Bachelor’s Degree,Yes,2,0
287,288,17,Male,2.9,6,53103,Master’s Degree,Yes,2,0
288,289,18,Female,2.4,6,33996,Some College,Yes,4,0
289,290,18,Male,3.6,10,79675,Some College,No,0,1
290,291,16,Male,2.5,13,47675,Bachelor’s Degree,Yes,4,0
291,292,16,Female,2.8,11,40675,Master’s Degree,Yes,2,0
292,293,16,Female,2.1,15,70442,Doctorate,No,1,0
293,294,18,Female,3.9,13,50902,High School Diploma,No,0,1
294,295,15,Male,3.1,7,73320,Bachelor’s Degree,No,0,1
295,296,15,Female,3.9,16,44839,Doctorate,Yes,2,1
296,297,15,Female,2.1,16,56147,Some College,Yes,1,0
297,298,17,Male,2.4,6,60304,Some College,No,2,0
298,299,18,Male,3.0,13,79461,High School Diploma,Yes,0,0
299,300,16,Male,2.9,6,79314,Some College,Yes,4,0
300,301,17,Female,3.0,14,54201,High School Diploma,No,3,0
301,302,17,Female,3.9,8,29536,Bachelor’s Degree,Yes,4,0
302,303,18,Male,2.6,9,66763,Some College,No,2,0
303,304,15,Male,3.2,8,79851,Some College,Yes,4,1
304,305,15,Female,2.2,18,27030,High School Diploma,Yes,3,0
305,306,18,Female,2.3,7,39645,Some College,Yes,3,0
306,307,16,Male,3.1,20,25379,Master’s Degree,No,1,1
307,308,18,Female,3.3,13,37688,High School Diploma,Yes,4,0
308,309,17,Female,3.3,12,78474,High School Diploma,Yes,4,1
309,310,15,Female,3.6,20,52643,Some College,Yes,0,1
310,311,16,Male,2.7,9,76360,Some College,Yes,4,0
311,312,17,Male,3.9,9,31187,Master’s Degree,No,4,0
312,313,17,Female,2.1,15,76720,High School Diploma,Yes,2,0
313,314,18,Female,2.8,16,78202,High School Diploma,Yes,0,0
314,315,17,Male,2.6,6,41597,Some College,No,3,0
315,316,17,Male,2.2,16,63934,Doctorate,Yes,0,1
316,317,18,Male,2.7,10,53175,High School Diploma,Yes,0,0
317,318,16,Female,2.9,10,67025,Bachelor’s Degree,No,4,0
318,319,15,Female,3.6,20,46482,High School Diploma,Yes,2,0
319,320,15,Male,2.8,14,79410,Bachelor’s Degree,Yes,3,0
320,321,17,Female,3.3,16,29044,Some College,Yes,4,0
321,322,16,Female,4.0,9,75469,Master’s Degree,No,3,1
322,323,16,Male,3.0,20,64225,Some College,Yes,4,0
323,324,15,Male,2.3,7,31718,Doctorate,No,4,0
324,325,18,Male,3.4,12,32009,Master’s Degree,Yes,2,0
325,326,16,Female,3.0,9,62140,High School Diploma,No,2,0
326,327,15,Female,3.2,18,44988,Master’s Degree,Yes,3,1
327,328,18,Female,2.7,7,67445,Bachelor’s Degree,Yes,3,0
328,329,17,Male,3.9,6,72168,Bachelor’s Degree,No,3,1
329,330,15,Male,2.4,19,60567,Master’s Degree,Yes,0,1
330,331,16,Female,3.4,8,63835,Bachelor’s Degree,Yes,2,1
331,332,17,Male,3.1,19,59148,Some College,Yes,3,1
332,333,18,Female,3.8,12,61209,Bachelor’s Degree,Yes,0,1
333,334,16,Male,3.7,17,58671,Master’s Degree,No,4,1
334,335,18,Female,2.8,8,66827,Some College,Yes,2,0
335,336,16,Male,3.9,6,39700,Master’s Degree,No,2,0
336,337,18,Female,3.4,19,55250,Some College,No,4,1
337,338,17,Female,3.4,15,63166,Doctorate,Yes,2,1
338,339,18,Male,2.2,14,71262,Doctorate,No,1,0
339,340,18,Male,3.6,10,59962,Doctorate,Yes,2,1
340,341,15,Male,3.4,20,77803,High School Diploma,No,0,1
341,342,16,Female,2.5,8,37057,High School Diploma,Yes,3,0
342,343,15,Female,2.7,19,58083,Bachelor’s Degree,No,0,1
343,344,16,Female,2.3,13,50893,Master’s Degree,Yes,4,0
344,345,16,Female,2.6,18,78472,Some College,Yes,4,0
345,346,17,Male,3.9,19,35861,Doctorate,Yes,2,1
346,347,18,Male,2.4,18,29545,Bachelor’s Degree,No,4,1
347,348,18,Male,2.4,7,42539,Master’s Degree,Yes,0,0
348,349,17,Female,2.1,6,56226,Some College,No,4,0
349,350,16,Female,2.6,12,32443,High School Diploma,Yes,1,0
350,351,16,Male,2.6,17,45330,Some College,Yes,3,0
351,352,18,Male,3.3,16,41739,Doctorate,Yes,0,1
352,353,18,Female,3.5,20,33713,Some College,Yes,3,0
353,354,15,Male,3.0,19,29832,Doctorate,Yes,3,1
354,355,15,Male,3.7,10,39380,Bachelor’s Degree,Yes,2,0
355,356,16,Male,3.8,12,77157,High School Diploma,Yes,1,1
356,357,16,Female,3.2,12,63856,High School Diploma,No,1,1
357,358,16,Male,3.1,17,61783,Bachelor’s Degree,Yes,1,1
358,359,16,Male,3.3,16,34759,Master’s Degree,No,3,1
359,360,16,Male,2.8,10,31821,Bachelor’s Degree,No,3,0
360,361,16,Female,4.0,19,27786,Master’s Degree,Yes,3,1
361,362,16,Male,3.3,20,32564,Bachelor’s Degree,No,2,1
362,363,18,Male,3.1,9,42034,Some College,No,2,0
363,364,16,Male,3.8,10,44187,Some College,No,3,0
364,365,17,Female,2.6,7,37838,Master’s Degree,Yes,0,0
365,366,15,Male,3.4,8,79853,Some College,Yes,2,1
366,367,17,Female,2.2,7,74452,Master’s Degree,No,0,0
367,368,15,Female,3.7,14,61774,High School Diploma,Yes,0,1
368,369,17,Female,3.2,7,52685,Some College,Yes,2,1
369,370,18,Female,2.5,19,72537,Bachelor’s Degree,No,1,1
370,371,17,Male,2.3,18,41557,High School Diploma,No,1,0
371,372,18,Female,3.2,11,62684,High School Diploma,No,2,1
372,373,17,Male,2.1,15,50803,Master’s Degree,Yes,1,0
373,374,17,Male,2.8,19,39526,Bachelor’s Degree,Yes,0,1
374,375,15,Male,4.0,10,40592,Bachelor’s Degree,No,4,0
375,376,17,Male,3.0,7,52039,High School Diploma,No,0,0
376,377,15,Male,2.6,6,63290,High School Diploma,Yes,1,0
377,378,15,Female,2.1,16,58276,Master’s Degree,Yes,3,1
378,379,17,Male,2.8,19,28903,Bachelor’s Degree,Yes,0,1
379,380,17,Female,3.7,14,72480,Bachelor’s Degree,Yes,3,1
380,381,15,Female,3.7,15,65456,High School Diploma,No,3,1
381,382,18,Female,3.8,7,41249,Master’s Degree,Yes,3,0
382,383,16,Male,2.5,12,49325,Some College,Yes,1,0
383,384,17,Female,2.7,9,26841,Doctorate,No,4,0
384,385,16,Female,2.6,11,73030,Doctorate,No,0,0
385,386,15,Male,2.7,20,43080,Master’s Degree,No,0,1
386,387,15,Female,2.9,15,58824,Doctorate,Yes,1,0
387,388,16,Male,2.3,16,76446,Bachelor’s Degree,Yes,4,1
388,389,18,Male,3.4,17,61098,High School Diploma,Yes,3,1
389,390,15,Female,3.1,9,74817,Some College,No,3,1
390,391,17,Male,3.3,9,69242,Doctorate,No,4,1
391,392,15,Female,3.8,16,45039,Doctorate,No,3,1
392,393,18,Male,4.0,12,27605,Doctorate,No,3,0
393,394,17,Female,2.7,19,77690,High School Diploma,No,0,0
394,395,15,Male,2.5,18,62452,High School Diploma,Yes,1,0
395,396,18,Female,3.9,7,31500,Master’s Degree,Yes,2,0
396,397,18,Female,4.0,20,33050,High School Diploma,Yes,2,0
397,398,16,Female,3.9,18,52196,Doctorate,No,1,1
398,399,17,Male,2.9,20,45925,Some College,Yes,0,0
399,400,18,Female,2.8,9,69398,Bachelor’s Degree,Yes,0,0
400,401,18,Female,2.5,10,52817,High School Diploma,No,1,0
401,402,17,Male,3.1,14,48283,High School Diploma,No,4,0
402,403,18,Female,2.4,9,37044,High School Diploma,No,2,0
403,404,15,Male,3.7,12,47099,Doctorate,Yes,0,0
404,405,16,Male,3.7,10,64690,Master’s Degree,Yes,0,1
405,406,18,Female,3.9,8,46290,Bachelor’s Degree,Yes,4,0
406,407,15,Female,2.1,10,75576,Master’s Degree,No,4,0
407,408,16,Male,2.3,18,71156,Some College,No,0,0
408,409,18,Male,3.4,11,34334,Master’s Degree,No,2,0
409,410,18,Female,2.2,12,25451,Master’s Degree,Yes,1,0
410,411,15,Female,3.2,9,41503,Bachelor’s Degree,Yes,4,0
411,412,16,Male,3.4,18,63141,Some College,No,2,1
412,413,15,Male,3.1,7,51518,Some College,No,4,1
413,414,15,Male,2.6,13,33210,High School Diploma,Yes,0,0
414,415,17,Male,2.7,11,77295,Doctorate,Yes,1,0
415,416,18,Male,3.3,9,64933,High School Diploma,No,4,1
416,417,15,Female,2.5,11,67233,Some College,No,2,0
417,418,17,Female,3.4,17,72951,Bachelor’s Degree,Yes,2,1
418,419,15,Female,2.7,9,41180,Doctorate,No,4,0
419,420,17,Male,2.1,8,47596,Doctorate,No,3,0
420,421,16,Male,2.8,10,68216,Doctorate,Yes,0,0
421,422,18,Male,3.6,8,65415,High School Diploma,Yes,4,1
422,423,18,Female,3.4,10,58693,Bachelor’s Degree,No,4,1
423,424,18,Female,3.6,9,45710,Bachelor’s Degree,No,3,0
424,425,16,Male,3.4,12,79383,Bachelor’s Degree,Yes,1,1
425,426,15,Female,2.1,10,42110,Bachelor’s Degree,Yes,1,0
426,427,16,Female,3.1,17,60227,Some College,Yes,1,1
427,428,17,Female,2.5,20,76804,High School Diploma,Yes,1,0
