,Lines_of_Code,Cyclomatic_Complexity,Code_Churn,Bugs_Reported,Code_Coverage,Number_of_Commits,Time_Since_Last_Update,Number_of_Dependencies,Number_of_Review_Comments,Number_of_Exception_Handlers,Code_Duplication_Ratio,Number_of_Unit_Tests,label
60,1055,10,176,2,56.760865685642734,14,75,2,9,4,0.205529821503669,31,1
61,608,29,53,2,83.77280226682129,7,295,3,17,4,0.49015807206336637,48,0
62,875,5,108,0,69.80004831928076,16,281,6,0,4,0.12068189233745218,45,1
63,134,33,65,1,56.65048994536644,33,21,11,2,2,0.30995774288218225,43,1
64,305,9,199,1,57.936838168715475,21,171,11,11,2,0.22215679442145608,36,0
65,1204,31,127,2,97.46365531228085,11,15,5,0,3,0.04480203814817005,16,1
66,1125,27,138,0,93.9800748355881,17,211,11,2,6,0.24905953693904914,12,1
67,1121,5,13,3,95.3520980207511,6,48,4,2,1,0.3540605210376731,42,0
68,665,34,10,3,99.57663879136933,8,86,4,4,9,0.2614777881556312,11,1
69,1229,8,77,0,60.415769500425895,14,149,5,18,3,0.43733197123582473,25,0
70,802,26,107,3,67.7719668682031,43,188,2,0,3,0.1515791381622155,34,1
71,501,6,164,0,83.46095149624333,28,306,9,3,0,0.052262093938942815,24,0
72,829,14,45,2,74.19012699303237,21,151,2,3,9,0.468917149712423,33,0
73,261,9,118,2,70.91947666891667,10,141,10,16,7,0.1953162112688273,24,0
74,301,31,12,1,67.89056246677966,23,69,2,13,0,0.29243872021228035,40,1
75,1095,14,76,4,79.68903159717262,9,260,10,17,7,0.398081531803796,23,0
76,369,5,182,2,78.77967143200411,36,334,14,0,6,0.1689136952990345,23,0
77,915,26,96,2,58.07289170321201,14,9,9,15,8,0.3609206237070295,15,1
78,1394,10,66,2,73.58699187592195,13,121,14,2,7,0.07635523641073573,23,0
79,555,17,88,1,77.67358881049249,31,101,3,8,4,0.15273393613069758,26,0
80,1375,19,66,0,78.51434693656952,17,149,10,3,7,0.08090821170689474,27,0
81,1116,8,115,0,60.50535964561759,23,146,7,4,9,0.4075029736166653,29,1
82,395,17,131,2,87.11356961261434,25,353,4,10,2,0.11909812526112483,26,0
83,819,28,11,2,51.259954741053484,28,243,13,8,9,0.36152774214855304,25,1
84,437,24,88,4,67.74159277715813,42,241,13,2,6,0.4722162146503698,49,0
85,978,28,136,3,89.01063242678168,8,337,6,5,3,0.26860838244374974,48,1
86,1176,19,138,2,78.19464605277011,28,43,14,10,4,0.27461430420773697,41,1
87,891,33,62,0,63.05812162554301,39,95,4,8,8,0.2359064483679279,18,1
88,316,12,26,2,84.74765596715238,7,226,10,14,6,0.16968617026288496,36,0
89,863,9,158,1,78.36954720780366,8,6,7,2,3,0.2430709651532094,42,1
90,287,33,131,1,89.81218047281936,41,214,1,0,5,0.30537569081071214,19,0
91,479,19,7,4,86.75125930949116,44,206,3,19,9,0.4931358703636231,26,0
92,592,8,131,2,80.50539610181173,39,67,13,18,6,0.46950463406592985,45,0
93,1164,16,45,1,74.40888376554071,35,100,3,13,9,0.4324549495636297,26,0
94,1280,17,192,2,56.65910628337617,48,12,1,16,8,0.4456739624953806,27,1
95,114,6,110,2,63.06665089426919,29,237,6,13,3,0.23924609981310105,32,0
96,164,31,18,1,70.95497364585427,44,322,13,16,9,0.3321477203169578,43,0
97,620,23,16,1,79.96496435031943,17,258,11,13,2,0.4485826942387449,17,0
98,1467,23,91,3,75.68539276076524,8,337,14,11,7,0.202545874845763,22,0
99,1252,8,16,4,64.40922629797647,18,135,9,15,0,0.4812636143892797,32,0
100,747,8,145,1,50.32321788948553,17,222,8,0,8,0.21373517041389967,29,0
101,1186,30,29,1,74.8119610950407,31,156,11,12,0,0.3045305060426757,31,0
102,1262,15,49,0,64.28129942811215,10,142,7,5,1,0.35780430950346226,32,0
103,692,31,126,1,86.73041503552676,21,158,10,16,7,0.47579008640720977,44,0
104,491,9,151,2,51.19731326352417,40,326,8,11,8,0.12986197428561036,12,1
105,518,24,59,2,79.24139056528955,44,344,6,18,6,0.37560417933693474,43,0
106,388,15,104,0,97.07371187530327,39,262,9,5,2,0.2651996372106003,42,0
107,478,34,177,0,58.72046335557498,21,283,3,6,6,0.14159299890411414,26,1
108,330,14,140,1,73.58247453752978,45,338,10,0,5,0.3905373515002314,28,0
109,1117,12,123,5,54.57109959085691,6,344,10,0,1,0.2805889172851848,39,1
110,140,10,57,3,81.28409561306763,17,229,9,4,2,0.33387717211834117,32,0
111,1151,10,187,1,77.52658402981127,6,280,4,5,9,0.1682215236031715,24,1
112,234,12,36,2,70.36827621064162,32,358,7,15,9,0.24582423639552647,23,0
113,300,27,55,1,76.06885107368706,47,290,13,15,4,0.3125035829841529,11,0
114,879,19,48,1,94.8287329234505,30,168,9,13,9,0.20840629899222357,48,0
115,1029,30,86,2,59.814715115553355,26,47,2,0,3,0.10720254452537363,27,1
116,1156,18,150,3,51.12822558526736,47,203,2,12,1,0.481203841234499,15,1
117,1171,15,154,1,93.08324423495505,7,214,9,19,3,0.2606190946208825,41,1
118,602,16,41,2,78.85585411939533,39,246,12,9,7,0.3696209814409733,30,0
119,506,30,100,2,94.53292277309211,16,24,13,9,4,0.2114131248424685,49,0
120,904,17,60,0,79.84726117065863,28,321,3,8,4,0.184014564372601,37,0
121,198,12,109,2,90.50805449798511,9,274,9,12,9,0.20951050624889125,36,0
122,783,34,63,1,71.4836681677574,24,44,13,2,2,0.2105063554549684,11,0
123,825,22,135,1,87.49299656441343,43,332,5,17,7,0.27664825681155725,42,1
124,1060,29,160,1,95.6520733444928,43,313,6,19,5,0.276300236290868,25,1
125,712,5,39,1,78.60614818611032,17,363,2,1,1,0.2536053697826071,48,0
126,742,19,193,0,59.03925752811898,45,156,8,16,1,0.07604503460954466,31,0
127,1128,12,97,5,63.43988075150991,49,199,11,18,8,0.2530769844652602,22,0
128,1341,32,186,0,59.93222884487029,16,162,9,12,6,0.09286091120611922,11,1
129,602,15,195,1,62.342851379786644,17,234,2,12,9,0.07180653528492492,23,0
130,866,16,101,0,65.32077246755182,14,163,6,0,8,0.4669964014971722,47,1
131,497,16,139,4,77.75668933765942,37,116,6,1,5,0.3064255064423751,37,0
132,970,8,80,2,79.39958147319163,44,93,8,0,4,0.3331501284810463,16,0
133,894,20,53,0,71.32498736209305,20,42,10,4,0,0.20687889846334825,27,0
134,492,8,98,5,80.77103899104176,49,284,12,2,5,0.4554006370382835,45,0
135,306,9,163,1,54.078746280568296,39,210,5,6,5,0.3225859398940361,45,0
136,1138,28,190,2,54.389411852908,7,206,9,12,2,0.38689323606655784,13,1
137,991,9,193,3,58.59147301788292,9,220,1,17,2,0.1905956098235798,39,1
138,963,12,28,2,75.90387490201724,30,280,9,6,2,0.48040582160137146,33,0
139,842,14,152,1,60.69973393491568,15,136,10,0,2,0.4120260321775744,29,1
140,1364,21,41,1,64.16422017462887,11,106,7,4,6,0.4284347468771264,40,0
141,663,32,8,4,70.0156418086497,14,118,4,16,9,0.09437519103861959,33,0
142,1120,30,112,1,90.59330620051898,46,237,3,7,1,0.14277197185689758,16,1
143,195,13,130,1,50.693106795643004,38,309,14,14,9,0.14995703384495276,35,0
144,584,26,24,1,82.46894101183112,7,100,10,19,9,0.14274551939096689,22,0
145,330,23,192,0,83.44382655203427,12,261,11,3,1,0.4291499994311011,17,0
146,848,33,156,2,89.93278901783182,35,305,14,1,2,0.025623549652210136,14,1
147,1294,18,54,1,96.63764695301566,15,354,6,4,9,0.047288994600579407,22,0
148,640,12,181,1,51.006892447464494,49,286,12,0,6,0.14421828660865282,38,0
149,1159,13,183,0,57.68918527566081,11,328,13,4,2,0.10793775757822738,29,1
150,624,26,100,1,94.30856470279966,49,103,1,5,6,0.1236112108025957,23,0
151,1283,15,109,0,72.92592810935076,6,63,3,1,8,0.400992162734117,41,1
152,1366,27,168,0,78.22953194667318,10,175,2,0,9,0.28593203100710296,36,1
153,1209,5,121,0,83.15136018615738,45,282,11,3,3,0.012827624033554317,34,1
154,677,18,102,0,83.95333022478187,36,293,13,6,6,0.22036815519505568,13,1
155,781,9,70,2,96.58702016582541,24,226,9,0,8,0.20986361415667587,30,0
156,656,25,83,1,99.84747087058349,38,7,3,0,7,0.06583318202782633,27,0
157,1112,30,166,2,86.00787304654702,20,127,13,7,7,0.341309476414714,48,1
158,745,18,168,1,64.36106046025753,29,92,2,19,8,0.35402762230595064,24,0
159,895,8,10,1,93.98762011471717,16,190,4,15,4,0.36323767733552786,47,0
160,1151,26,43,4,52.46104572703808,11,359,14,12,4,0.3669507633237101,33,1
161,1463,27,174,1,61.55404264372481,43,53,2,17,2,0.010025885196825433,17,1
162,1454,29,119,1,94.86928587318575,21,242,1,19,4,0.47742119388489385,37,1
163,1471,5,190,3,62.80957572196775,49,132,6,9,7,0.4089622958567849,30,1
164,1354,26,129,3,61.03255298108742,15,364,10,11,4,0.4529510313287498,25,1
165,289,27,16,1,56.906264657012365,10,112,8,0,3,0.017665214700642726,25,1
166,1348,23,135,1,92.95558788234582,27,7,10,9,7,0.4675908099350123,44,1
167,1406,12,22,2,75.00291295955434,31,230,10,8,6,0.4067963790571713,26,0
168,732,19,44,1,83.74466015270774,10,156,2,2,5,0.4202373800497623,18,0
169,727,25,25,1,61.953319203751484,42,197,14,18,4,0.055710818513764575,44,0
170,1072,19,147,2,87.90202105056082,6,323,9,8,4,0.3720012341701129,38,1
171,1382,13,103,0,88.00027724810492,26,364,13,9,9,0.48035917792462457,48,1
172,1482,25,30,3,65.629901245415,24,223,3,18,1,0.3424881972948987,27,0
173,809,13,12,1,70.53413165051414,29,250,8,15,3,0.28957508826605716,21,0
174,748,14,104,0,60.484513871510046,19,83,12,17,7,0.4733585420970085,28,0
175,417,24,91,5,98.82805116614522,33,240,8,13,7,0.22703918964987366,31,0
176,1348,29,46,1,82.28012885292058,12,360,3,2,0,0.3036538474921346,24,0
177,1357,25,176,1,96.72719403577577,41,323,3,1,1,0.24340576381223944,10,1
178,783,30,18,0,65.16927718145666,37,263,12,0,4,0.4670946484665466,11,1
179,763,13,82,1,89.09454564984449,26,189,6,17,8,0.04728151611509856,17,1
180,1497,7,6,2,88.2929321942371,9,290,1,8,9,0.2555486534044206,31,0
181,1356,24,123,0,84.58278259332707,43,362,4,12,6,0.34660669627886476,34,1
182,1236,29,41,1,98.28194876334001,22,58,1,1,9,0.3980342038268961,11,1
183,541,30,73,4,69.67776680531577,42,9,14,6,4,0.2956791372476268,18,1
184,663,15,170,1,56.53586617948787,41,304,3,15,0,0.45536969461951243,18,0
185,1391,10,45,2,83.58544296220305,34,115,9,18,5,0.47157580897309714,22,0
186,1236,6,66,4,86.46549002386031,35,210,14,14,7,0.04151641936485593,15,1
187,1051,11,64,1,78.75302867294073,14,41,14,10,6,0.20716156437527344,39,0
188,1204,22,129,1,60.34089465666982,19,304,5,0,1,0.021494920643365674,24,1
189,798,31,115,2,75.22279708346777,46,173,12,6,4,0.17141416211347704,24,0
190,212,6,18,0,65.60948682845647,48,234,5,19,3,0.27306542680559504,16,0
191,101,31,88,1,71.37332640833445,22,281,11,7,8,0.45628951594987494,20,0
192,741,21,134,2,82.26092879223319,27,78,4,9,9,0.4248116180080474,49,0
193,319,15,74,0,87.26073713454173,37,108,3,4,0,0.072474866069273,47,0
194,954,31,149,2,61.611234545067155,20,281,5,8,5,0.0555848836230389,49,1
195,1348,16,127,0,70.26626803234767,42,39,14,0,2,0.29874099599076687,11,1
196,484,31,93,1,63.45807854958146,39,119,11,1,8,0.2707378065048035,48,1
197,1253,23,32,2,59.93158069309345,38,335,4,18,4,0.1405250443007117,19,0
198,1176,26,70,0,89.16936099979192,32,336,8,13,5,0.45073201143137925,26,0
199,829,28,167,3,95.46263472184961,6,27,4,19,8,0.4644095406361612,16,1
200,346,29,9,1,68.51160928422884,34,104,11,9,8,0.2072796047866797,49,1
201,935,11,197,2,87.56394621868834,17,74,12,8,7,0.4462482529856249,48,1
202,302,24,172,0,94.84976446822056,45,191,8,9,8,0.1981349581888566,13,1
203,1307,10,188,0,92.30621052651158,20,324,6,5,3,0.3710402475965531,44,1
204,222,25,168,1,59.140669426961296,9,147,14,16,5,0.24321168659838482,45,0
205,500,28,49,0,97.81459407566807,32,255,12,5,4,0.07006574668851966,40,0
206,866,5,155,2,68.83382202147313,43,284,11,3,4,0.46468775860614053,34,1
207,393,21,51,1,66.96203305869182,49,213,5,19,3,0.23250733075499294,22,0
208,379,33,35,3,53.121566363889016,24,123,4,2,1,0.36989864975797776,27,1
209,983,15,143,4,74.30868270524415,28,206,4,18,5,0.18991516907133316,30,1
210,297,26,14,1,55.45068078204643,31,240,12,17,8,0.019251630502354983,10,1
211,1081,30,199,1,62.4269910463713,34,339,4,3,0,0.059259875758999596,45,1
212,851,32,122,3,65.84713108836407,49,286,11,7,6,0.2531475449500629,17,1
213,243,22,18,1,90.4413161745842,31,22,13,16,5,0.3480825349919176,30,0
214,708,25,84,1,93.77443251979483,30,259,13,4,2,0.17402031002384674,30,0
215,1324,21,97,0,65.12331587307348,11,357,9,12,0,0.35078934499704867,36,0
216,1247,11,14,1,92.93490606222869,46,105,4,0,3,0.35233143882165846,28,0
217,286,21,80,2,92.86154686848955,42,258,12,12,8,0.35492859459063714,32,0
218,1449,24,98,1,88.23254751924367,9,204,9,3,1,0.2513357084700491,44,0
219,563,13,109,2,57.334755700759075,27,310,13,13,2,0.458294213559537,49,0
220,1472,21,5,3,84.51614234503646,32,262,10,2,1,0.24970629381050163,14,0
221,759,24,137,2,97.25120322902845,38,107,6,4,1,0.23062994481335272,17,0
222,863,26,24,1,84.12702393835785,19,251,10,6,9,0.10769660131520721,20,0
223,1054,26,12,2,66.58084245539169,36,221,13,0,7,0.1607509928046049,25,1
224,502,32,175,5,75.02896587154157,30,222,7,11,2,0.03074390133396864,48,0
225,1469,33,5,1,82.28625216755268,35,258,12,10,6,0.3204322938719234,33,0
226,246,12,61,1,75.52852043642518,23,201,10,7,7,0.1317825145242755,30,0
227,1271,21,68,2,55.99764708654849,13,258,3,5,2,0.1590360746978779,32,0
228,963,11,122,2,65.60320223260103,33,349,8,1,1,0.3876991156155174,47,1
229,588,5,32,2,90.11980152768163,43,225,3,18,7,0.1703383797491124,17,1
230,1028,17,125,1,93.07090230477587,8,202,1,19,2,0.12867598708643968,16,1
231,650,34,111,2,56.86500163577851,7,226,13,19,6,0.09283829707551582,11,1
232,437,27,169,4,97.61933761993623,33,236,13,13,0,0.3896806170691584,39,0
233,971,23,179,4,66.44113089243046,15,183,10,0,5,0.07355606641511317,22,1
234,740,31,169,0,83.11568693653601,37,200,12,9,8,0.23233934252267324,32,0
235,572,28,53,4,87.59125729783406,42,357,5,15,2,0.25839575687782523,38,0
236,250,23,124,2,90.59731173189417,15,246,2,3,6,0.34682105721600015,47,0
237,1421,34,48,2,97.2874851112965,31,353,10,10,5,0.3203089063431678,46,0
238,362,34,60,3,65.64597740144113,37,111,14,15,7,0.40725312974313566,29,1
239,243,33,160,0,92.92532272757772,25,6,6,19,2,0.03192820262385669,42,0
240,445,21,115,1,56.584345171810355,43,236,13,0,2,0.15525595514190463,38,0
241,723,17,138,2,85.25204531767963,35,127,10,15,3,0.14726571819993609,24,0
242,1116,33,112,1,87.09888647569929,42,104,9,18,2,0.08154828374013302,32,1
243,980,34,193,3,83.88616206006603,6,237,1,8,8,0.15169734438965715,12,1
244,101,20,152,0,62.61573680675765,31,155,14,8,3,0.16178500393002268,46,0
245,996,12,118,3,93.65215735076018,40,257,13,8,5,0.26572338634446435,38,1
246,1427,23,82,5,58.44292316851975,15,235,4,16,7,0.33521519467386546,17,1
247,353,22,134,0,52.681739576041544,22,289,1,11,7,0.1967392516697889,31,0
248,552,5,41,1,85.87324953059561,5,40,1,12,4,0.3625404133435568,38,0
249,1160,18,24,1,73.77378576163669,39,288,8,7,4,0.1747210159039942,11,0
250,1283,23,30,0,92.4549009979338,39,197,14,15,5,0.1522390018842326,10,0
251,1114,19,33,1,69.16985705291295,35,273,14,17,9,0.27518214736994195,29,0
252,108,22,5,2,58.41392942538564,32,264,13,0,6,0.021621016549837398,30,0
253,1356,6,123,2,91.82210962349349,43,57,14,0,9,0.04909667058066018,46,1
254,1222,26,39,0,77.44548158200358,5,298,11,11,6,0.21480507635739826,17,1
255,915,32,63,3,59.45978961951774,29,98,2,5,3,0.47202722858196067,36,1
256,307,21,73,0,86.0191999293223,47,137,1,8,5,0.36354077212327757,44,0
257,1254,22,165,1,75.55568192447502,42,87,11,4,6,0.0531820190552733,15,1
258,503,34,183,1,80.215649112016,24,242,8,15,4,0.42469582626262814,28,0
259,251,10,16,4,73.04491691032909,7,199,4,17,4,0.3688273775980087,27,0
260,153,23,24,1,91.43544919090033,6,310,3,16,1,0.30936379759430005,10,0
261,1243,8,185,3,91.4781357841525,22,84,13,17,6,0.4119435506984969,34,1
262,727,5,47,1,85.46944109121931,48,242,12,0,5,0.208013825394049,36,0
263,686,12,130,2,55.27006886982311,14,281,4,18,0,0.11853551491838783,16,0
264,203,33,54,2,91.94269309520345,9,323,14,7,3,0.26089146066329205,38,0
265,353,27,33,1,83.55064902664549,13,252,11,2,2,0.27893246024080215,40,0
266,1350,11,189,4,84.85120830021498,6,190,5,4,2,0.2737799222848569,45,1
267,1235,7,43,0,68.14914202019358,38,152,1,7,6,0.28688615782525156,28,0
268,609,14,188,1,93.96397780785034,42,302,14,18,9,0.4748654099371986,15,1
269,198,14,175,1,86.26858001174287,35,278,11,17,3,0.45210035531715337,34,0
270,252,23,182,0,55.629523326459726,14,139,1,17,7,0.4391013479138803,40,0
271,1013,18,155,1,70.38890172030813,16,176,3,0,8,0.4026942373452273,18,1
272,977,6,176,2,94.31901809800709,40,8,6,14,2,0.4722797725599898,29,1
273,437,32,42,1,52.35983508486895,25,295,1,17,4,0.0582623744229076,19,1
274,921,5,88,1,98.07083098210248,10,235,14,6,3,0.13991039810841235,46,0
275,1286,27,155,0,83.95812841597814,7,163,11,15,9,0.2525774133707466,36,1
276,1056,27,132,1,81.56879888216884,14,49,12,15,5,0.42480190163046855,22,1
277,260,32,130,1,63.527962824399566,9,302,2,14,9,0.2575311986461389,11,1
278,900,22,49,1,62.439589436958855,30,38,12,5,3,0.37653702227737845,30,0
279,497,11,56,1,97.10291097442978,25,136,14,8,7,0.07809035357196895,42,0
280,1400,33,84,2,64.91362271170614,49,310,7,6,2,0.13368276835851448,33,1
281,915,12,182,3,88.77526483594997,30,219,14,13,4,0.36857028656845947,43,1
282,1258,5,128,1,69.65608991035396,42,348,14,10,0,0.09071966435498478,18,1
283,1318,29,123,2,56.9627035392352,48,296,1,15,5,0.18216440798091413,11,1
284,500,27,12,2,50.53576488476795,30,34,13,5,4,0.13978446632865,39,1
285,739,7,89,0,77.21286685076254,12,352,14,15,7,0.18143223016901447,31,0
286,1156,28,133,6,98.78894092744663,9,79,7,19,8,0.3570787840482055,20,1
287,787,27,12,0,68.45680969046023,19,236,4,15,7,0.1902451187599725,26,1
288,559,31,161,2,67.85961669965224,20,273,10,11,7,0.2820790280778907,45,1
289,1054,33,100,2,67.20458089247211,5,161,14,16,2,0.058966619756660725,22,1
290,569,12,106,1,76.02719186524293,20,175,6,4,3,0.40445866968496763,16,0
291,1498,26,9,0,72.03324417121468,41,308,14,12,3,0.19124542656758117,25,0
292,1145,29,90,1,93.99573133635073,7,221,8,7,4,0.3277817379263378,42,0
293,849,19,179,0,75.27603958617452,35,9,9,4,8,0.365440904814298,10,1
294,137,9,38,4,75.38789190942845,17,289,6,11,8,0.1127338518347332,20,0
295,329,7,197,3,56.91857973602783,20,113,12,8,9,0.4434907426271415,15,1
296,1488,23,59,2,99.1369770455193,47,205,11,2,0,0.3119498832874069,29,0
297,662,5,123,0,62.498644543441486,25,186,13,2,7,0.22007531945822592,44,0
298,537,32,175,2,53.66820337298013,6,341,14,0,0,0.09934423995332757,46,1
299,1406,19,162,2,83.15731244876045,31,197,9,17,1,0.4717274595715913,35,1
300,126,12,118,0,79.76831850784363,42,266,4,11,6,0.3799834200244963,21,0
301,325,6,149,2,70.75728269963729,30,262,6,8,7,0.11193203573929195,39,0
302,1400,7,30,0,71.1096116940339,42,248,8,8,0,0.17547827961487,37,0
303,897,28,140,0,89.25319605232156,29,115,9,17,2,0.4067403864631559,36,1
304,383,18,51,1,59.78563200498245,15,121,3,17,6,0.3508820549755161,28,0
305,978,28,117,1,91.01266594724449,12,141,2,6,8,0.3852343034307049,14,1
306,1059,18,80,1,82.4373556947509,12,65,6,3,7,0.2261885400843369,14,1
307,552,15,76,0,70.94848868897623,37,276,4,12,7,0.3610733686946618,36,0
308,1119,20,93,0,72.90143082919343,11,313,1,16,8,0.1993819242033177,37,0
309,915,8,50,1,62.832360359304786,42,239,8,1,9,0.11351882929971624,35,0
310,758,24,37,1,87.60571663484873,25,302,9,13,2,0.3200117470722664,36,0
311,646,9,5,1,75.64373711526339,12,10,14,2,7,0.48824682354340915,30,0
312,1315,26,151,3,66.04272713749218,25,233,9,4,0,0.1621944759837115,10,1
313,1172,25,35,2,79.80250578804751,24,195,2,13,7,0.23587510018414443,37,0
314,116,18,146,2,99.78672260256616,12,12,9,2,6,0.34026067182422826,24,0
315,1295,27,57,0,71.76311398282769,35,177,7,6,7,0.27533807824001905,26,0
316,1343,20,52,2,96.03457003893098,33,177,5,17,0,0.4232796198974341,35,0
317,257,22,73,1,67.2508419962283,13,217,7,12,5,0.3832539261700628,29,0
318,576,11,109,2,52.736635346249294,19,11,13,9,6,0.03856562989255495,34,0
319,1169,14,94,1,60.21210531842144,34,118,9,12,4,0.4992264046226493,22,0
320,1496,11,194,0,70.9347571663842,30,164,8,15,4,0.37867720232253893,42,1
321,617,5,198,1,60.98174642972845,14,39,6,8,6,0.4333126249841155,34,0
322,198,27,196,2,50.01135191091278,33,53,13,1,2,0.32908687892671973,17,1
323,1160,25,67,4,95.75007688737637,20,218,4,4,5,0.4295797127429135,14,0
324,379,23,77,1,92.19397056154645,40,206,13,16,6,0.0650676577150676,15,1
325,1472,20,165,1,87.11461157434735,24,312,1,3,0,0.18039153942406463,32,1
326,596,33,173,2,58.390729782301435,49,360,6,16,1,0.43944626236620143,39,1
327,401,23,93,0,56.0181788104993,41,56,3,8,3,0.10881105352077719,23,0
328,280,8,180,6,53.38023747361916,26,118,6,19,7,0.048338628304211144,32,0
329,706,33,17,1,86.20145943864605,11,253,6,1,9,0.3961782805731573,20,0
330,1222,32,77,0,96.44039803439426,27,286,14,17,5,0.41938821626521516,40,0
331,799,22,81,0,71.52679104565185,45,268,4,10,0,0.0896995869130513,15,0
