,Shift_ID,Seismic_Velocity (m/s),Ground_Pressure (MPa),Rock_Type,Depth (m),Previous_Bump (Yes/No),Temperature (°C),Humidity (%),Fault_Proximity (m),label
70,71,5.634904737644858,14.177410819197613,Sandstone,197,Yes,23,32,95,1
71,72,6.995330366713514,14.159126054845308,Limestone,258,Yes,19,30,76,1
72,73,6.350934005758658,9.28666873050185,Sandstone,189,No,18,56,51,0
73,74,9.03453299803618,13.081784110991993,Shale,155,No,29,53,86,1
74,75,3.7378370016931686,13.428401110478843,Granite,187,Yes,23,48,76,1
75,76,6.876764084436079,16.803714084373382,Limestone,249,Yes,19,37,73,1
76,77,6.5908554487463515,18.080225983048383,Limestone,176,No,23,31,35,0
77,78,4.969750875205142,14.539787337200217,Shale,218,No,22,59,81,0
78,79,8.755596788039075,9.041395448779886,Sandstone,206,No,18,59,103,1
79,80,8.269940591175445,10.842193647158556,Limestone,166,No,25,68,115,1
80,81,8.130014311322817,9.979208322232772,Sandstone,220,Yes,25,61,75,1
81,82,9.133347347886893,9.495380758269498,Sandstone,196,Yes,21,30,42,1
82,83,8.059492204350647,12.39079158341369,Shale,228,Yes,19,67,36,1
83,84,4.622889042003085,10.752722025852584,Limestone,259,Yes,24,42,99,1
84,85,7.938938981547838,10.619637341738148,Sandstone,162,No,18,40,57,1
85,86,5.153919693728907,8.656318094915212,Sandstone,288,Yes,19,39,91,1
86,87,4.695222552432294,8.212040537545207,Shale,273,No,19,55,102,0
87,88,3.5110251502973915,9.233218911797382,Shale,258,Yes,25,49,49,1
88,89,8.208200062433736,10.066369753083597,Sandstone,239,Yes,29,46,77,1
89,90,7.977006733648679,13.171804746178438,Shale,235,Yes,23,46,117,1
90,91,4.641496343718656,14.126243135586137,Sandstone,241,No,26,33,97,0
91,92,8.245653117069093,9.687103018080387,Limestone,173,Yes,23,34,41,1
92,93,9.424886181654871,13.097400098290235,Granite,222,No,20,52,36,1
93,94,3.7562027024410547,12.100986107911128,Shale,153,No,28,39,34,0
94,95,4.628456468707425,10.201083721975472,Granite,262,Yes,18,57,67,1
95,96,8.251825558611209,8.082088977780362,Sandstone,195,No,29,62,51,1
96,97,4.921546714549548,13.6042143982609,Sandstone,167,Yes,16,55,96,1
97,98,7.3726478199860175,16.22782099118239,Sandstone,192,No,28,58,104,1
98,99,3.5681495712460016,10.715328009725685,Granite,242,Yes,17,56,59,1
99,100,6.165417353724771,9.581681958760152,Sandstone,252,No,16,47,116,0
100,101,8.173639953950673,18.644512933363544,Shale,273,No,19,69,76,1
101,102,7.805597601302768,11.300297269853573,Limestone,159,Yes,20,39,77,1
102,103,8.705504704730647,10.683351437511977,Limestone,222,Yes,25,34,110,1
103,104,9.142164886222183,18.28516327531899,Shale,180,Yes,19,39,118,1
104,105,8.412284508811307,17.805285190001136,Limestone,209,Yes,16,50,35,1
105,106,7.701114200572482,13.380157646295604,Granite,280,No,26,53,47,1
106,107,3.222057442712218,13.870866337133293,Sandstone,267,No,19,67,117,0
107,108,6.744766713866108,10.612984458008263,Sandstone,163,No,23,32,20,0
108,109,3.2638840744039697,8.93962004575469,Sandstone,292,No,18,69,60,0
109,110,8.65647471981216,14.881181904267933,Granite,151,Yes,26,60,67,1
110,111,5.245071671219703,9.180139059082558,Granite,173,No,24,66,50,0
111,112,6.937005618825447,13.391294563479798,Granite,213,Yes,16,31,55,1
112,113,4.956117151232318,19.28596638215613,Shale,249,No,17,31,52,0
113,114,8.477501010662056,19.43401267004701,Granite,263,Yes,17,68,52,1
114,115,9.205517686493318,10.871987438568304,Limestone,173,Yes,23,63,101,1
115,116,5.790497459491448,15.489361040547852,Shale,240,Yes,18,49,42,1
116,117,9.040456754576923,13.688915169294292,Shale,175,Yes,29,62,79,1
117,118,4.8695250521943265,18.50822153103327,Shale,214,Yes,15,33,106,1
118,119,6.742626461528667,11.25717037131264,Granite,269,No,15,40,98,0
119,120,9.011330008870928,8.044428881989003,Shale,153,Yes,29,34,109,1
120,121,5.281169398310533,9.95073447117698,Granite,150,No,21,54,49,0
121,122,9.678295855546601,12.194273614032777,Granite,199,No,21,66,108,1
122,123,3.8531565124696856,11.788653557245864,Shale,259,Yes,16,63,64,1
123,124,3.1279254880645437,17.496355029474632,Sandstone,288,No,23,38,99,1
124,125,9.328947468047335,16.166727993666054,Sandstone,223,No,23,35,58,1
125,126,3.4805406630351055,11.594675835378768,Shale,211,No,19,47,64,0
126,127,9.943224371632443,13.49292580599456,Sandstone,230,Yes,29,43,97,1
127,128,9.659778033853744,9.146709247500024,Limestone,205,Yes,29,48,100,1
128,129,3.9591463702542447,18.77775733784121,Limestone,260,Yes,17,43,31,1
129,130,6.7630923798479605,19.22509789338241,Granite,170,Yes,17,69,112,1
130,131,4.2944420822700105,19.75764242457126,Sandstone,290,No,26,46,51,1
131,132,5.9970862112108385,18.422633969430052,Limestone,158,No,17,64,75,0
132,133,3.4299759048188285,10.087530652354706,Shale,288,No,20,58,43,0
133,134,4.567472114576127,8.554357798419545,Sandstone,219,No,18,46,32,0
134,135,5.542909574792297,14.955160728952087,Limestone,278,No,22,37,39,0
135,136,6.070532501722384,18.951260322597324,Limestone,267,No,29,30,98,1
136,137,9.842473807462252,10.128216339916914,Shale,205,Yes,27,65,75,1
137,138,8.65505951978787,8.084514975489702,Granite,180,No,25,36,72,1
138,139,8.161869610183622,17.665952552386933,Shale,186,No,27,34,87,1
139,140,6.75928920319382,8.921548211440808,Granite,240,No,25,53,73,0
140,141,8.879984324230403,12.964472382920365,Limestone,263,Yes,25,57,53,1
141,142,5.375259849589978,16.14664804626542,Granite,277,No,19,46,47,1
142,143,7.962293789413213,10.841571025474162,Limestone,271,No,15,66,69,1
143,144,9.956487827647205,9.00755076136072,Limestone,218,Yes,23,49,21,1
144,145,5.202402362546391,17.240254741469943,Sandstone,185,No,15,32,113,0
145,146,7.718122744187771,15.562101018644498,Granite,181,Yes,20,66,45,1
146,147,8.910204049066678,19.861885813841656,Granite,213,Yes,15,55,70,1
147,148,9.410653083454706,12.131696399839512,Granite,197,No,17,44,66,1
148,149,8.025528836580712,8.741148635482396,Shale,230,No,29,37,45,1
149,150,4.9852554639199536,16.81220042402355,Sandstone,298,Yes,24,42,103,1
150,151,5.283975060982625,14.260801026238948,Sandstone,209,No,19,32,111,0
151,152,3.1453062248677495,10.55844717666962,Sandstone,290,No,29,30,103,0
152,153,8.326201843700566,17.380747868057114,Shale,150,Yes,24,38,94,1
153,154,3.2991772424336596,10.445065830199326,Granite,214,Yes,21,60,93,1
154,155,9.05256648221922,11.127939857995239,Granite,182,No,28,55,80,1
155,156,3.8306243013217713,9.110342652400629,Granite,187,Yes,24,46,42,1
156,157,4.20313558495147,12.793187348370253,Sandstone,174,No,22,63,56,0
157,158,6.335685295825661,13.027150687249026,Sandstone,208,No,26,38,60,0
158,159,8.165162906181196,14.174741484179581,Limestone,250,No,23,42,71,1
159,160,3.9730154363935437,16.50757120548533,Shale,276,No,20,34,102,1
160,161,6.080497525465489,18.87321114416511,Shale,190,Yes,29,42,101,1
161,162,6.379958920870734,9.652809186653704,Sandstone,206,No,25,30,68,0
162,163,4.48599949168014,8.652177180183884,Limestone,197,Yes,23,54,46,1
163,164,3.8089086367644223,8.222374803131999,Granite,221,No,22,33,25,0
164,165,8.854946460899477,9.723456536825795,Sandstone,205,No,23,65,93,1
165,166,6.517259548339359,15.895393829379511,Shale,214,Yes,24,39,85,1
166,167,3.100668651889071,16.72972493595796,Shale,161,No,18,57,43,0
167,168,8.620869109163728,17.438068562337467,Shale,218,Yes,23,35,57,1
168,169,9.865556637902094,10.924498542852112,Granite,283,Yes,29,56,47,1
169,170,7.241483367899731,11.67073775913824,Shale,238,No,21,41,47,1
170,171,6.525958709588496,13.797615746785993,Granite,174,No,19,32,85,0
171,172,9.148911041314731,8.758197162322718,Granite,150,No,19,62,80,1
172,173,9.66761752779219,15.333698278534953,Granite,280,No,15,39,65,1
173,174,8.281758411317224,19.804820404109094,Sandstone,198,Yes,16,60,88,1
174,175,6.118170508140015,12.32967573653603,Granite,296,No,24,44,94,0
175,176,7.1455497953200835,17.03416970109661,Limestone,209,No,17,36,93,1
176,177,7.906547555125995,14.000406986835296,Shale,151,No,28,65,62,1
177,178,4.35991499701261,9.533742132324592,Sandstone,222,No,28,43,78,0
178,179,6.130407225515066,14.986849385631036,Shale,294,No,22,43,21,0
179,180,8.808748853020994,11.598491221328779,Granite,259,Yes,20,32,34,1
180,181,7.5830774394891005,8.412838501441499,Sandstone,210,No,26,32,56,1
181,182,5.878428470482978,15.619156761412926,Limestone,166,Yes,24,51,90,1
182,183,7.643537738102769,18.30718819189673,Granite,198,No,25,48,39,1
183,184,3.827556884507219,12.13723720279849,Shale,225,No,27,64,117,1
184,185,5.810483273954134,12.683546566553247,Limestone,297,No,29,41,54,0
185,186,8.551899765741394,18.692260195606536,Granite,280,Yes,28,34,53,1
186,187,4.543561509956536,17.763305760408272,Limestone,192,No,19,39,105,0
187,188,4.301730552901924,16.579433882621323,Granite,206,Yes,27,62,50,1
188,189,9.65573061941502,10.985564765037775,Sandstone,199,Yes,15,42,106,1
189,190,4.469283407103615,18.922599859599735,Granite,186,No,26,64,38,1
190,191,4.8264300575511765,9.852989090470556,Sandstone,195,Yes,25,61,87,1
191,192,9.787311572330365,15.521246233006663,Granite,164,No,26,40,43,1
192,193,8.142959991855179,8.345614166558224,Granite,229,No,23,67,103,1
193,194,7.8971757311646975,15.72463767589935,Shale,288,Yes,17,53,58,1
194,195,8.970484686982068,11.325732222480319,Limestone,297,No,17,64,111,1
195,196,3.81076157565756,13.39612372620464,Limestone,173,No,16,48,73,0
196,197,7.94169365606005,12.143174624684637,Limestone,274,Yes,18,35,58,1
197,198,6.525820265297672,10.07308107495452,Granite,267,Yes,26,69,36,1
198,199,8.80405448198898,15.463769481126489,Granite,229,Yes,16,64,38,1
199,200,6.55699203065636,18.583706661687287,Granite,243,Yes,27,33,67,1
200,201,7.341689479882385,19.50901090738884,Sandstone,214,Yes,23,62,54,1
201,202,6.344194884796751,10.30815635784698,Sandstone,237,Yes,26,42,51,1
202,203,6.347112464890909,16.608473288755683,Shale,237,No,24,65,66,0
203,204,8.37578984643282,15.972072399268187,Granite,294,Yes,21,48,66,1
204,205,7.399964804530982,12.12053347489487,Limestone,275,Yes,22,41,83,1
205,206,7.432842411265873,8.22919039224471,Limestone,238,No,17,40,65,1
206,207,6.151977386820681,16.277494967754393,Shale,210,No,20,35,54,0
207,208,6.717766474362693,19.345938326714002,Limestone,164,Yes,29,41,113,1
208,209,8.220023663433512,15.585441462987816,Shale,243,Yes,24,56,36,1
209,210,8.781586433783428,13.22351269025161,Granite,200,No,20,54,61,1
210,211,7.875929815008323,14.301846729339541,Limestone,176,Yes,27,32,48,1
211,212,9.468510921919782,10.395545691919011,Granite,223,Yes,15,32,89,1
212,213,8.742268617030406,17.00652996504485,Sandstone,210,No,20,49,36,1
213,214,6.93304652866663,16.95703796011819,Limestone,180,Yes,27,57,100,1
214,215,7.699842508506158,9.746207604649099,Sandstone,161,No,28,52,33,1
215,216,9.484157938448373,18.53574058999591,Limestone,195,Yes,17,32,43,1
216,217,7.334176309701409,11.230276873679664,Granite,181,No,25,53,76,1
217,218,8.773648635858816,19.787072731239377,Shale,210,No,17,69,69,1
218,219,7.82167352512991,12.59483616844695,Granite,195,No,17,35,76,1
219,220,6.863554527423266,10.134608704813996,Granite,234,Yes,24,49,80,1
220,221,4.692867367907471,12.220641336147828,Granite,229,No,25,40,58,0
221,222,5.981982636278997,13.282163944366317,Limestone,284,Yes,29,61,74,1
222,223,9.77419977383601,8.831693276459538,Shale,153,No,25,56,115,1
223,224,7.6043576829082005,14.938620574679474,Sandstone,201,No,29,50,55,1
224,225,6.950767662372927,15.171589278426804,Granite,261,No,24,42,56,1
225,226,9.530696378697591,16.86716546419367,Limestone,185,Yes,25,51,33,1
226,227,7.105582467262141,8.35003870748892,Sandstone,203,Yes,22,64,46,1
227,228,6.682577628921821,14.494858573205962,Granite,268,No,27,51,102,1
228,229,8.315175986051436,8.634889199247972,Sandstone,276,Yes,19,57,50,1
229,230,7.9886593329058115,16.41373063959984,Granite,166,Yes,18,50,92,1
230,231,4.352120058859029,8.668735828411814,Sandstone,224,Yes,27,47,100,1
231,232,6.299157922018848,18.940734180099593,Sandstone,254,No,23,60,102,1
232,233,6.307608099737097,16.42499080261396,Shale,299,Yes,23,66,63,1
233,234,5.647571606703414,14.088677181021886,Shale,266,No,15,50,87,0
234,235,6.621054375065771,13.298047079374099,Granite,192,No,16,43,67,0
235,236,5.89175178409001,9.568071564959148,Limestone,261,No,22,54,76,0
236,237,4.395418426298281,11.491992674775958,Shale,264,Yes,19,56,94,1
237,238,5.886565410922767,18.427509260250755,Sandstone,176,No,21,69,41,0
238,239,3.505938633012236,18.853433738749928,Shale,186,Yes,15,52,23,1
239,240,7.030501039420881,8.008972500446372,Shale,195,Yes,26,60,100,1
240,241,8.975581842587783,15.129636697730614,Granite,262,No,24,58,91,1
241,242,8.077009590481886,16.631607308301362,Shale,184,No,26,59,65,1
242,243,5.5227582803787785,15.424963789491276,Shale,281,No,19,55,78,1
243,244,3.6094984390411575,8.980157178396247,Sandstone,229,Yes,25,49,53,1
244,245,4.415045794576895,10.612698785586826,Shale,229,Yes,26,67,30,1
245,246,6.81843238346385,11.004083208576633,Sandstone,270,No,17,48,50,0
246,247,4.44939958368123,17.980695575661077,Shale,296,No,24,56,30,1
247,248,6.807811778994773,13.558393235707046,Shale,271,Yes,26,54,75,1
248,249,4.621193173347292,13.841938543294841,Limestone,230,Yes,26,69,57,1
249,250,8.94246708633251,19.2187165586541,Shale,299,No,28,67,40,1
250,251,5.780900309883219,15.645030666256586,Sandstone,268,Yes,16,52,113,1
251,252,4.718854381611438,18.784012418631967,Sandstone,207,Yes,16,58,29,1
252,253,8.686283261729432,13.478106264098395,Granite,212,Yes,23,44,45,1
253,254,5.399872753638155,9.79323510221953,Granite,249,Yes,27,32,110,1
254,255,3.7804138148714737,19.15922712888903,Limestone,215,Yes,18,39,27,1
255,256,6.992866439825491,13.504461388010458,Sandstone,294,Yes,18,44,27,1
256,257,7.070949431065921,10.179577062545862,Sandstone,234,No,21,45,79,1
257,258,8.00286972665014,11.628748883647066,Sandstone,286,Yes,24,46,91,1
258,259,4.681536032458699,8.609631076267307,Limestone,293,No,24,48,53,0
259,260,6.106399373645716,13.61960709747662,Sandstone,272,No,27,40,35,0
260,261,4.976575433298594,18.237538062922837,Granite,151,Yes,16,34,32,1
261,262,3.566676152809817,19.202965472080272,Limestone,255,No,17,34,106,1
262,263,9.136296789111242,19.191226490043725,Granite,257,No,17,43,95,1
263,264,8.102088631418388,9.50276030754496,Granite,221,No,20,55,110,1
264,265,5.110241416211605,12.584646590132683,Limestone,275,Yes,17,37,41,1
265,266,7.195610950103904,8.338745115808477,Shale,206,No,25,34,115,1
266,267,4.408846516941307,18.261984139657674,Shale,230,Yes,19,36,46,1
267,268,9.231656352570397,12.305069144255285,Granite,290,No,18,45,83,1
268,269,3.804344403533372,15.573404334706817,Shale,168,No,17,43,21,0
269,270,3.0268600185546064,16.578781256927464,Sandstone,156,No,22,66,116,0
270,271,6.514057384174275,13.158136036917865,Limestone,286,No,28,33,45,0
271,272,7.081894764170085,11.677308038602916,Granite,203,Yes,24,65,111,1
272,273,7.052757242070631,19.546554921391337,Sandstone,253,No,17,46,102,1
273,274,3.381583492064784,19.57385870028625,Shale,235,No,20,65,88,0
274,275,5.1983066484290275,11.473236416360264,Sandstone,231,Yes,27,35,116,1
275,276,6.494392627889322,13.755501160933497,Shale,210,Yes,29,45,103,1
276,277,4.516054299390686,19.674129903920267,Granite,236,Yes,21,58,49,1
277,278,9.108381198401275,8.058420891866039,Sandstone,151,No,21,65,27,1
278,279,3.609765026230038,12.95213898054979,Limestone,180,Yes,16,67,57,1
279,280,6.4116910917043,9.205490596171622,Granite,182,Yes,28,66,80,1
280,281,7.839912402592065,14.109895586751232,Sandstone,229,Yes,17,39,100,1
281,282,4.832257700941377,8.296039454485847,Sandstone,160,Yes,26,65,84,1
282,283,7.369685158982627,12.882781176687534,Shale,277,Yes,24,58,86,1
283,284,8.805696050996623,10.648388897424022,Granite,284,Yes,24,43,65,1
284,285,4.332358825665333,14.39970034950489,Granite,277,No,29,33,109,0
285,286,9.42054414277404,19.951923789208394,Granite,180,Yes,18,65,114,1
286,287,6.874909728636506,17.606433261520973,Granite,275,No,21,42,91,1
287,288,5.094624030107424,18.147705099493056,Shale,196,Yes,16,47,62,1
288,289,6.016007927675895,15.62317984830897,Limestone,256,Yes,17,62,78,1
289,290,5.185343186504715,8.498718179267103,Granite,168,Yes,21,50,65,1
290,291,8.075778119533211,10.48157211252973,Shale,230,No,21,45,91,1
291,292,8.574104643905926,19.10077467736466,Limestone,272,Yes,29,44,54,1
292,293,8.830561746230627,12.393357415145015,Limestone,283,Yes,24,34,58,1
293,294,9.900377747100189,9.243640717769548,Shale,256,Yes,17,35,111,1
294,295,8.538990047476783,16.428864390394423,Granite,198,Yes,26,67,70,1
295,296,7.209688494819943,11.593492687211056,Limestone,222,No,15,32,23,1
296,297,5.374542088742487,11.22628295485006,Granite,199,No,26,41,99,0
297,298,6.8121681409752455,19.975729466699125,Granite,230,No,17,65,96,0
298,299,3.287477209532838,18.297667100319853,Sandstone,244,No,19,62,103,0
299,300,8.213775528709391,12.895253820414093,Granite,161,No,21,65,70,1
300,301,6.1216888156447125,19.76313449379799,Sandstone,172,Yes,18,62,24,1
301,302,3.1401626081253133,15.801358681030564,Limestone,203,Yes,27,60,74,1
302,303,3.4375485905728755,16.90426942255712,Shale,267,Yes,27,50,39,1
303,304,5.712265246752296,8.37815651698654,Sandstone,208,No,25,56,43,0
304,305,7.083950633129046,9.459263112176686,Shale,152,Yes,25,56,55,1
305,306,6.249427642664887,15.597021517954861,Limestone,207,No,29,37,53,0
306,307,7.334430221045084,18.788287791793806,Granite,206,Yes,15,66,73,1
307,308,6.36205981153949,15.484924713051148,Limestone,294,No,20,61,53,1
308,309,7.631926918369428,9.608298731827901,Shale,239,Yes,16,55,102,1
309,310,4.533882452695606,9.389120554955895,Limestone,204,Yes,26,31,36,1
310,311,3.78990231028535,18.13023074988898,Granite,194,Yes,17,41,24,1
311,312,7.17503768237962,9.671628064494971,Limestone,150,Yes,18,51,108,1
312,313,6.392826618554152,14.242783526048305,Granite,170,No,20,46,37,0
313,314,3.188073578314547,8.445359839547628,Sandstone,170,Yes,20,36,74,1
314,315,5.663373198451251,8.968037208694128,Shale,201,Yes,21,33,72,1
315,316,3.742879098436968,16.06817921171438,Granite,231,Yes,19,66,69,1
316,317,6.719497822268867,16.2701769251302,Granite,216,No,21,67,91,0
317,318,5.770443757623015,12.097632879301308,Limestone,262,Yes,16,61,110,1
318,319,7.292063377721125,10.587317182916538,Sandstone,193,Yes,15,40,98,1
319,320,8.639215531391669,17.764523249087695,Granite,159,Yes,26,30,64,1
320,321,5.097680786890436,10.605238753638684,Sandstone,213,Yes,24,54,32,1
321,322,9.734714729155193,14.504324835996556,Sandstone,218,Yes,22,53,35,1
322,323,6.749441504113021,19.618506090354867,Limestone,217,No,15,46,105,0
323,324,7.328035591283516,9.774229254348604,Granite,177,No,26,37,103,1
324,325,7.764706612580159,19.29051520993651,Limestone,265,No,16,56,32,1
325,326,7.667120709003129,10.194716636824024,Shale,200,Yes,25,47,39,1
326,327,6.576795201315434,14.809318496278754,Shale,153,No,26,56,85,1
327,328,6.001350037802784,12.524092543504935,Granite,228,Yes,24,51,118,1
328,329,3.3764737492416455,19.579143218021912,Sandstone,166,Yes,20,45,66,1
329,330,3.154600917108258,11.282504348023243,Granite,257,Yes,15,31,38,1
330,331,5.505728361729353,12.795896025029045,Granite,223,Yes,24,34,64,1
331,332,5.335626234435848,19.794321414265045,Shale,172,No,17,47,56,0
332,333,5.713866083873047,14.437644694261678,Shale,167,No,21,32,73,0
333,334,3.9685774062173302,14.031561387455042,Sandstone,278,No,26,56,25,1
334,335,8.167177893757906,11.093341858447896,Sandstone,184,Yes,22,46,33,1
335,336,8.998750903433674,16.4163627237253,Granite,213,No,18,45,23,1
336,337,9.571002447618245,8.172475421333331,Limestone,208,No,26,35,105,1
337,338,6.446536124637381,8.594151556427523,Granite,150,Yes,17,36,74,1
338,339,7.906059893878,15.192303045629632,Sandstone,280,No,15,43,119,1
339,340,8.988857864051107,12.100094885821449,Limestone,216,Yes,26,67,53,1
340,341,5.928037777654401,19.439796466411526,Shale,186,No,23,69,46,0
341,342,5.165889564093111,18.83828828867343,Sandstone,178,No,24,44,26,0
342,343,9.55707189097443,16.564475104120486,Sandstone,238,No,20,62,22,1
343,344,6.609735857539512,17.817746973533616,Limestone,249,Yes,20,56,66,1
344,345,6.480777206136146,16.00798219601232,Sandstone,271,No,23,58,116,1
345,346,4.248912675944471,9.506985232521927,Sandstone,239,No,15,66,21,0
346,347,3.757085102013497,17.18652043627043,Sandstone,281,No,20,34,99,1
347,348,8.89474803738458,10.522303624626156,Sandstone,163,No,26,58,44,1
348,349,7.298932233312627,11.88131426120236,Sandstone,299,Yes,19,61,79,1
349,350,5.280772088136141,17.830810545229042,Sandstone,280,Yes,27,35,98,1
350,351,4.342153521731865,14.438307300721378,Sandstone,234,No,25,31,43,0
351,352,6.88848096118742,18.31928857020091,Sandstone,170,No,29,35,34,0
352,353,7.087435024827947,10.55642383811917,Shale,175,No,20,33,114,1
353,354,4.448955208715407,15.293341263282645,Sandstone,190,Yes,28,58,33,1
354,355,8.959840235240318,9.00549167057914,Shale,271,No,25,54,73,1
355,356,3.5898505630909576,15.716731922480356,Shale,187,No,22,38,97,0
356,357,5.492651596164952,17.15040845330642,Granite,237,Yes,19,32,25,1
357,358,7.762690896337655,15.01917072774466,Granite,160,Yes,16,55,97,1
358,359,4.918842546734405,11.194778017985723,Shale,178,Yes,26,56,100,1
359,360,8.793726363468902,8.376112026306402,Shale,209,No,26,65,37,1
360,361,8.179074786202825,9.433386607571428,Sandstone,210,Yes,16,61,39,1
361,362,8.52315991183694,15.467635748888314,Granite,296,Yes,24,30,81,1
362,363,3.833745751137014,19.213042602110164,Limestone,171,No,19,45,100,0
363,364,3.9838298959688005,10.478412847664076,Granite,227,Yes,17,40,99,1
