,Gender,Age,Employment status,Company size,Annual income,Education level,Years of experience,Mental health support received from employer,label
33,Prefer not to say,25-34,Retired,201-1000 employees,165000,Master's degree,10,Yes,1
34,Prefer not to say,25-34,Part-time,10001+ employees,35000,Associate degree,4,Not applicable,1
35,Prefer not to say,65 and above,Retired,Less than 50 employees,65000,Master's degree,20,No,1
36,Male,55-64,Full-time,Less than 50 employees,145000,Associate degree,18,No,1
37,Prefer not to say,35-44,Full-time,10001+ employees,95000,High school diploma,24,No,1
38,Male,35-44,Self-employed,5001-10000 employees,140000,Associate degree,22,Not applicable,1
39,Non-binary,45-54,Full-time,51-200 employees,180000,Associate degree,26,Yes,1
40,Prefer not to say,55-64,Full-time,201-1000 employees,60000,Master's degree,6,Not applicable,1
41,Female,45-54,Self-employed,Less than 50 employees,75000,Bachelor's degree,4,Not applicable,1
42,Female,18-24,Part-time,51-200 employees,170000,High school diploma,12,No,1
43,Male,55-64,Full-time,1001-5000 employees,175000,High school diploma,8,No,1
44,Prefer not to say,18-24,Full-time,Less than 50 employees,75000,Doctoral degree,4,No,0
45,Non-binary,45-54,Part-time,201-1000 employees,155000,Associate degree,10,No,1
46,Prefer not to say,45-54,Full-time,Less than 50 employees,110000,Associate degree,20,Not applicable,1
47,Prefer not to say,25-34,Self-employed,Less than 50 employees,95000,Bachelor's degree,28,Yes,1
48,Male,35-44,Part-time,201-1000 employees,35000,Bachelor's degree,26,Yes,1
49,Female,65 and above,Retired,1001-5000 employees,65000,High school diploma,6,Not applicable,1
50,Female,25-34,Self-employed,10001+ employees,70000,High school diploma,18,Yes,1
51,Non-binary,35-44,Retired,201-1000 employees,195000,Bachelor's degree,6,No,1
52,Female,65 and above,Self-employed,51-200 employees,150000,Doctoral degree,20,Yes,1
53,Male,18-24,Part-time,1001-5000 employees,100000,High school diploma,26,No,1
54,Male,65 and above,Retired,201-1000 employees,70000,High school diploma,16,Yes,1
55,Female,25-34,Part-time,5001-10000 employees,35000,Master's degree,12,Yes,1
56,Male,45-54,Retired,51-200 employees,50000,High school diploma,8,Yes,1
57,Prefer not to say,18-24,Self-employed,Less than 50 employees,180000,Bachelor's degree,18,No,1
58,Non-binary,18-24,Full-time,Less than 50 employees,60000,Master's degree,8,No,1
59,Male,25-34,Self-employed,5001-10000 employees,110000,High school diploma,6,No,1
60,Female,18-24,Self-employed,Less than 50 employees,80000,Associate degree,10,Not applicable,1
61,Prefer not to say,65 and above,Part-time,201-1000 employees,100000,Doctoral degree,2,Not applicable,0
62,Female,35-44,Full-time,51-200 employees,90000,Associate degree,14,Yes,1
63,Prefer not to say,55-64,Self-employed,1001-5000 employees,35000,High school diploma,6,Not applicable,1
64,Prefer not to say,25-34,Full-time,Less than 50 employees,170000,Master's degree,12,Not applicable,1
65,Prefer not to say,25-34,Full-time,5001-10000 employees,170000,Bachelor's degree,12,Yes,1
66,Female,18-24,Full-time,201-1000 employees,185000,Master's degree,14,Yes,1
67,Non-binary,65 and above,Full-time,201-1000 employees,75000,Master's degree,6,Not applicable,1
68,Prefer not to say,65 and above,Part-time,5001-10000 employees,130000,Master's degree,6,No,1
69,Non-binary,55-64,Part-time,201-1000 employees,130000,Doctoral degree,24,No,1
70,Male,18-24,Self-employed,5001-10000 employees,30000,Doctoral degree,4,Yes,0
71,Male,65 and above,Part-time,1001-5000 employees,35000,Associate degree,6,No,1
72,Non-binary,45-54,Self-employed,51-200 employees,90000,Bachelor's degree,20,Yes,1
73,Non-binary,55-64,Retired,1001-5000 employees,45000,Associate degree,24,No,1
74,Non-binary,55-64,Full-time,5001-10000 employees,140000,Associate degree,4,Yes,1
75,Non-binary,45-54,Full-time,5001-10000 employees,55000,Associate degree,4,No,1
76,Non-binary,45-54,Part-time,201-1000 employees,115000,High school diploma,28,No,1
77,Male,25-34,Part-time,51-200 employees,115000,Master's degree,14,No,1
78,Non-binary,35-44,Full-time,201-1000 employees,150000,Associate degree,4,Not applicable,1
79,Prefer not to say,35-44,Self-employed,201-1000 employees,100000,Associate degree,16,Yes,1
80,Prefer not to say,18-24,Self-employed,201-1000 employees,100000,Bachelor's degree,20,Yes,1
81,Female,55-64,Retired,10001+ employees,160000,Bachelor's degree,16,No,1
82,Non-binary,18-24,Full-time,10001+ employees,35000,Associate degree,28,Not applicable,1
83,Female,18-24,Part-time,Less than 50 employees,60000,High school diploma,8,Yes,1
84,Prefer not to say,18-24,Part-time,10001+ employees,50000,Doctoral degree,26,No,0
85,Non-binary,45-54,Self-employed,1001-5000 employees,100000,Doctoral degree,28,No,1
86,Prefer not to say,45-54,Retired,1001-5000 employees,175000,Bachelor's degree,18,Yes,1
87,Prefer not to say,65 and above,Retired,10001+ employees,150000,Associate degree,18,No,1
88,Female,45-54,Part-time,10001+ employees,60000,Associate degree,28,Not applicable,1
89,Female,45-54,Self-employed,201-1000 employees,55000,Bachelor's degree,28,Yes,1
90,Prefer not to say,55-64,Retired,5001-10000 employees,150000,Doctoral degree,16,No,0
91,Non-binary,65 and above,Part-time,201-1000 employees,195000,Master's degree,24,No,1
92,Male,25-34,Part-time,51-200 employees,125000,Master's degree,14,No,1
93,Prefer not to say,45-54,Part-time,51-200 employees,130000,Associate degree,14,No,1
94,Prefer not to say,55-64,Part-time,Less than 50 employees,100000,Bachelor's degree,26,Yes,1
95,Female,65 and above,Part-time,10001+ employees,150000,Associate degree,2,Yes,1
96,Female,35-44,Full-time,10001+ employees,195000,Associate degree,4,Not applicable,1
97,Male,18-24,Part-time,201-1000 employees,145000,Associate degree,2,Not applicable,1
98,Female,35-44,Full-time,5001-10000 employees,155000,High school diploma,22,No,1
99,Male,45-54,Retired,1001-5000 employees,50000,Associate degree,6,No,1
100,Prefer not to say,55-64,Part-time,5001-10000 employees,135000,Associate degree,16,Not applicable,1
101,Prefer not to say,65 and above,Self-employed,201-1000 employees,140000,High school diploma,20,Yes,1
102,Male,65 and above,Part-time,5001-10000 employees,95000,Master's degree,22,Not applicable,1
103,Prefer not to say,18-24,Full-time,10001+ employees,75000,Associate degree,10,Not applicable,1
104,Non-binary,35-44,Part-time,201-1000 employees,180000,Bachelor's degree,18,No,1
105,Female,18-24,Full-time,Less than 50 employees,105000,Master's degree,28,Not applicable,1
106,Male,45-54,Part-time,1001-5000 employees,80000,High school diploma,28,Not applicable,1
107,Female,55-64,Retired,51-200 employees,115000,Bachelor's degree,6,Not applicable,1
108,Male,35-44,Full-time,5001-10000 employees,55000,Doctoral degree,6,No,0
109,Non-binary,65 and above,Self-employed,5001-10000 employees,80000,Associate degree,16,Not applicable,1
110,Male,18-24,Full-time,Less than 50 employees,190000,Master's degree,24,Not applicable,1
111,Female,65 and above,Full-time,5001-10000 employees,60000,Associate degree,8,Not applicable,1
112,Male,45-54,Self-employed,10001+ employees,110000,Associate degree,6,No,1
113,Female,18-24,Full-time,Less than 50 employees,100000,Doctoral degree,22,No,1
114,Non-binary,65 and above,Self-employed,Less than 50 employees,45000,High school diploma,12,Not applicable,1
115,Non-binary,35-44,Full-time,51-200 employees,60000,Master's degree,12,Not applicable,1
116,Female,45-54,Full-time,51-200 employees,115000,High school diploma,10,Yes,1
117,Female,55-64,Part-time,51-200 employees,135000,Master's degree,10,Not applicable,1
118,Female,18-24,Full-time,51-200 employees,30000,Master's degree,24,Not applicable,1
119,Prefer not to say,45-54,Retired,5001-10000 employees,190000,Doctoral degree,8,Not applicable,0
120,Prefer not to say,55-64,Full-time,1001-5000 employees,75000,High school diploma,10,No,1
121,Male,18-24,Self-employed,Less than 50 employees,195000,High school diploma,14,Yes,1
122,Non-binary,35-44,Part-time,51-200 employees,95000,High school diploma,4,Not applicable,1
123,Male,55-64,Full-time,201-1000 employees,165000,Master's degree,2,Yes,1
124,Prefer not to say,55-64,Retired,201-1000 employees,105000,Doctoral degree,22,Not applicable,0
125,Non-binary,45-54,Self-employed,10001+ employees,70000,Master's degree,4,No,1
126,Female,35-44,Full-time,5001-10000 employees,185000,Associate degree,26,Not applicable,1
127,Male,45-54,Self-employed,201-1000 employees,140000,Bachelor's degree,24,Yes,1
128,Male,25-34,Retired,201-1000 employees,50000,High school diploma,22,No,1
129,Non-binary,25-34,Retired,201-1000 employees,70000,Master's degree,20,Not applicable,1
130,Prefer not to say,18-24,Full-time,5001-10000 employees,50000,High school diploma,18,Not applicable,1
131,Prefer not to say,65 and above,Retired,10001+ employees,60000,High school diploma,2,Not applicable,1
132,Female,55-64,Retired,10001+ employees,190000,Bachelor's degree,20,No,1
133,Male,35-44,Self-employed,10001+ employees,45000,Associate degree,4,Yes,1
134,Non-binary,25-34,Retired,201-1000 employees,50000,Master's degree,8,Yes,1
135,Male,35-44,Self-employed,201-1000 employees,30000,Doctoral degree,10,Not applicable,0
136,Prefer not to say,18-24,Part-time,Less than 50 employees,120000,Master's degree,6,No,1
137,Female,18-24,Self-employed,201-1000 employees,195000,Bachelor's degree,14,Yes,1
138,Male,65 and above,Retired,Less than 50 employees,145000,Master's degree,16,Not applicable,1
139,Non-binary,45-54,Part-time,1001-5000 employees,130000,Bachelor's degree,28,Yes,1
140,Non-binary,18-24,Part-time,1001-5000 employees,190000,Doctoral degree,6,Yes,1
141,Non-binary,45-54,Retired,5001-10000 employees,130000,Associate degree,12,No,1
142,Female,65 and above,Retired,10001+ employees,190000,Bachelor's degree,6,Not applicable,1
143,Prefer not to say,45-54,Retired,Less than 50 employees,50000,High school diploma,12,No,1
144,Prefer not to say,35-44,Self-employed,51-200 employees,155000,Bachelor's degree,4,No,1
145,Prefer not to say,45-54,Retired,Less than 50 employees,110000,Associate degree,18,Yes,1
146,Female,55-64,Retired,10001+ employees,155000,Doctoral degree,28,No,1
147,Prefer not to say,35-44,Part-time,5001-10000 employees,125000,Doctoral degree,2,Yes,0
148,Female,45-54,Part-time,10001+ employees,145000,Master's degree,16,Not applicable,1
149,Non-binary,25-34,Full-time,1001-5000 employees,80000,Associate degree,10,No,1
150,Non-binary,65 and above,Part-time,Less than 50 employees,185000,High school diploma,14,Yes,1
151,Prefer not to say,25-34,Self-employed,201-1000 employees,125000,Doctoral degree,8,Not applicable,0
152,Non-binary,35-44,Full-time,51-200 employees,185000,Associate degree,26,No,1
153,Female,55-64,Part-time,5001-10000 employees,40000,Associate degree,2,No,1
154,Female,45-54,Full-time,10001+ employees,100000,Associate degree,6,Not applicable,1
155,Female,35-44,Part-time,Less than 50 employees,95000,High school diploma,22,No,1
156,Female,25-34,Self-employed,Less than 50 employees,55000,Bachelor's degree,8,Not applicable,1
157,Female,25-34,Part-time,Less than 50 employees,30000,High school diploma,10,Yes,1
158,Male,65 and above,Retired,1001-5000 employees,150000,Associate degree,8,Yes,1
159,Male,35-44,Full-time,10001+ employees,145000,Master's degree,22,Not applicable,1
160,Prefer not to say,45-54,Part-time,Less than 50 employees,115000,Bachelor's degree,6,No,1
161,Female,18-24,Part-time,Less than 50 employees,40000,Doctoral degree,24,No,1
162,Prefer not to say,18-24,Retired,Less than 50 employees,70000,Doctoral degree,18,Not applicable,0
163,Male,65 and above,Retired,5001-10000 employees,100000,Bachelor's degree,22,No,1
164,Male,35-44,Retired,10001+ employees,55000,Associate degree,20,Not applicable,1
165,Prefer not to say,35-44,Self-employed,51-200 employees,120000,Associate degree,20,Yes,1
166,Female,35-44,Self-employed,1001-5000 employees,180000,Master's degree,14,Yes,1
167,Non-binary,18-24,Part-time,5001-10000 employees,45000,High school diploma,12,No,1
168,Prefer not to say,35-44,Retired,5001-10000 employees,35000,Doctoral degree,26,Yes,0
169,Male,25-34,Retired,201-1000 employees,155000,High school diploma,14,Not applicable,1
170,Female,35-44,Retired,Less than 50 employees,60000,Master's degree,14,No,1
171,Prefer not to say,55-64,Part-time,10001+ employees,180000,Doctoral degree,6,Not applicable,0
172,Prefer not to say,18-24,Self-employed,51-200 employees,145000,Associate degree,22,No,1
173,Prefer not to say,45-54,Full-time,Less than 50 employees,170000,Doctoral degree,16,Yes,0
174,Non-binary,35-44,Full-time,5001-10000 employees,50000,Doctoral degree,2,Not applicable,1
175,Male,65 and above,Part-time,201-1000 employees,75000,High school diploma,26,No,1
176,Prefer not to say,25-34,Self-employed,10001+ employees,195000,Associate degree,12,No,1
177,Female,18-24,Full-time,1001-5000 employees,145000,Bachelor's degree,12,No,1
178,Prefer not to say,45-54,Full-time,5001-10000 employees,140000,Master's degree,8,Not applicable,1
179,Male,18-24,Retired,10001+ employees,90000,Doctoral degree,2,No,0
180,Female,65 and above,Part-time,5001-10000 employees,195000,Associate degree,22,Yes,1
181,Non-binary,55-64,Retired,Less than 50 employees,70000,Associate degree,4,No,1
182,Prefer not to say,35-44,Retired,51-200 employees,50000,Master's degree,6,No,1
183,Non-binary,35-44,Retired,51-200 employees,135000,Associate degree,2,Not applicable,1
184,Prefer not to say,18-24,Retired,51-200 employees,145000,Doctoral degree,12,Not applicable,0
185,Non-binary,65 and above,Self-employed,201-1000 employees,40000,Bachelor's degree,24,No,1
186,Male,65 and above,Full-time,1001-5000 employees,190000,Bachelor's degree,14,No,1
187,Female,18-24,Self-employed,5001-10000 employees,115000,Bachelor's degree,6,Yes,1
188,Prefer not to say,25-34,Full-time,5001-10000 employees,145000,Bachelor's degree,16,Yes,1
189,Male,18-24,Part-time,1001-5000 employees,50000,Master's degree,18,Not applicable,1
190,Male,45-54,Part-time,201-1000 employees,140000,Bachelor's degree,10,No,1
191,Female,35-44,Part-time,201-1000 employees,135000,Master's degree,16,Not applicable,1
192,Female,18-24,Self-employed,201-1000 employees,75000,Associate degree,18,No,1
193,Prefer not to say,55-64,Part-time,10001+ employees,45000,High school diploma,24,No,1
194,Male,45-54,Retired,5001-10000 employees,185000,Bachelor's degree,18,Not applicable,1
195,Female,35-44,Self-employed,1001-5000 employees,105000,High school diploma,12,Not applicable,1
196,Non-binary,18-24,Self-employed,201-1000 employees,60000,Doctoral degree,4,No,1
197,Male,45-54,Part-time,10001+ employees,110000,Bachelor's degree,16,Yes,1
198,Prefer not to say,65 and above,Full-time,1001-5000 employees,180000,Doctoral degree,10,No,0
199,Female,35-44,Self-employed,Less than 50 employees,95000,High school diploma,18,Not applicable,1
200,Non-binary,55-64,Part-time,51-200 employees,30000,Master's degree,20,No,1
201,Non-binary,25-34,Part-time,10001+ employees,130000,Doctoral degree,10,Yes,1
202,Female,45-54,Full-time,1001-5000 employees,35000,Associate degree,24,No,1
203,Prefer not to say,25-34,Full-time,201-1000 employees,120000,High school diploma,10,Yes,1
204,Female,25-34,Self-employed,201-1000 employees,175000,Master's degree,2,Yes,1
205,Male,25-34,Part-time,10001+ employees,160000,Doctoral degree,8,Yes,0
206,Prefer not to say,25-34,Part-time,51-200 employees,105000,Master's degree,26,Yes,1
207,Prefer not to say,25-34,Full-time,10001+ employees,130000,Master's degree,10,No,1
208,Female,65 and above,Part-time,5001-10000 employees,175000,High school diploma,4,Yes,1
209,Prefer not to say,18-24,Full-time,51-200 employees,50000,Associate degree,26,Yes,1
210,Female,25-34,Self-employed,Less than 50 employees,75000,Associate degree,18,Yes,1
211,Prefer not to say,55-64,Part-time,201-1000 employees,45000,Master's degree,22,No,1
212,Non-binary,35-44,Retired,201-1000 employees,155000,High school diploma,8,Not applicable,1
213,Female,25-34,Retired,Less than 50 employees,135000,Master's degree,16,Not applicable,1
214,Prefer not to say,55-64,Retired,Less than 50 employees,85000,Master's degree,2,Not applicable,1
215,Prefer not to say,55-64,Retired,5001-10000 employees,50000,Doctoral degree,14,Not applicable,0
216,Female,18-24,Retired,10001+ employees,135000,High school diploma,16,Not applicable,1
217,Male,65 and above,Part-time,Less than 50 employees,50000,High school diploma,24,Yes,1
218,Prefer not to say,45-54,Retired,10001+ employees,140000,Bachelor's degree,8,Yes,1
219,Female,18-24,Full-time,201-1000 employees,85000,Doctoral degree,4,No,1
220,Non-binary,65 and above,Retired,1001-5000 employees,160000,Master's degree,14,Not applicable,1
221,Female,55-64,Self-employed,Less than 50 employees,170000,Bachelor's degree,6,Yes,1
222,Non-binary,18-24,Retired,1001-5000 employees,40000,Associate degree,18,Yes,1
223,Non-binary,45-54,Self-employed,10001+ employees,115000,Doctoral degree,2,Not applicable,1
224,Female,65 and above,Part-time,5001-10000 employees,40000,High school diploma,8,Yes,1
225,Male,35-44,Self-employed,Less than 50 employees,160000,Associate degree,10,Yes,1
226,Non-binary,35-44,Full-time,1001-5000 employees,35000,Doctoral degree,26,Not applicable,1
227,Male,35-44,Retired,201-1000 employees,145000,Associate degree,12,Yes,1
228,Male,65 and above,Full-time,Less than 50 employees,30000,Master's degree,10,No,1
229,Non-binary,65 and above,Part-time,201-1000 employees,70000,Associate degree,20,Not applicable,1
230,Male,55-64,Self-employed,5001-10000 employees,160000,Doctoral degree,2,Not applicable,0
231,Non-binary,25-34,Retired,5001-10000 employees,40000,Doctoral degree,14,Not applicable,1
232,Female,25-34,Self-employed,10001+ employees,90000,Associate degree,2,No,1
233,Non-binary,18-24,Self-employed,1001-5000 employees,40000,Doctoral degree,6,Not applicable,1
234,Prefer not to say,55-64,Full-time,5001-10000 employees,155000,Master's degree,8,Not applicable,1
235,Prefer not to say,55-64,Self-employed,5001-10000 employees,135000,Doctoral degree,26,Yes,0
236,Non-binary,65 and above,Full-time,10001+ employees,30000,Associate degree,24,Yes,1
237,Non-binary,18-24,Part-time,1001-5000 employees,195000,High school diploma,6,Not applicable,1
238,Female,45-54,Self-employed,201-1000 employees,170000,Doctoral degree,12,Not applicable,1
239,Non-binary,45-54,Self-employed,51-200 employees,145000,Master's degree,2,No,1
240,Male,65 and above,Self-employed,Less than 50 employees,160000,Bachelor's degree,18,No,1
241,Non-binary,55-64,Retired,Less than 50 employees,135000,High school diploma,10,Yes,1
242,Male,55-64,Self-employed,10001+ employees,190000,Master's degree,2,No,1
243,Prefer not to say,45-54,Full-time,Less than 50 employees,40000,Master's degree,28,Not applicable,1
244,Male,18-24,Self-employed,Less than 50 employees,110000,Doctoral degree,4,Not applicable,0
245,Non-binary,25-34,Part-time,201-1000 employees,60000,Bachelor's degree,8,No,1
246,Male,45-54,Part-time,Less than 50 employees,90000,Doctoral degree,26,No,0
247,Female,55-64,Part-time,5001-10000 employees,100000,Master's degree,18,Yes,1
248,Non-binary,18-24,Retired,1001-5000 employees,150000,Bachelor's degree,8,No,1
249,Non-binary,35-44,Part-time,1001-5000 employees,180000,Master's degree,6,Not applicable,1
250,Non-binary,25-34,Retired,1001-5000 employees,45000,Bachelor's degree,10,Not applicable,1
251,Male,55-64,Full-time,51-200 employees,170000,Associate degree,22,No,1
252,Female,55-64,Full-time,51-200 employees,75000,High school diploma,18,Not applicable,1
253,Non-binary,35-44,Retired,1001-5000 employees,130000,Master's degree,6,Not applicable,1
254,Non-binary,65 and above,Self-employed,10001+ employees,105000,Associate degree,18,No,1
255,Male,25-34,Retired,51-200 employees,50000,Doctoral degree,4,Not applicable,0
256,Female,18-24,Retired,51-200 employees,55000,High school diploma,16,No,1
257,Female,65 and above,Self-employed,51-200 employees,195000,High school diploma,26,Yes,1
258,Prefer not to say,45-54,Full-time,201-1000 employees,180000,Associate degree,4,Yes,1
259,Prefer not to say,35-44,Self-employed,1001-5000 employees,100000,High school diploma,18,Not applicable,1
260,Male,25-34,Full-time,51-200 employees,155000,Master's degree,22,Not applicable,1
261,Prefer not to say,65 and above,Retired,5001-10000 employees,120000,Doctoral degree,14,No,0
262,Prefer not to say,55-64,Part-time,51-200 employees,100000,Bachelor's degree,14,No,1
263,Prefer not to say,25-34,Part-time,10001+ employees,70000,High school diploma,18,No,1
264,Male,65 and above,Self-employed,5001-10000 employees,100000,Doctoral degree,2,No,0
265,Female,65 and above,Self-employed,10001+ employees,95000,Bachelor's degree,14,No,1
266,Non-binary,25-34,Part-time,201-1000 employees,145000,Associate degree,22,Yes,1
267,Non-binary,45-54,Self-employed,Less than 50 employees,115000,Bachelor's degree,10,No,1
268,Female,18-24,Self-employed,1001-5000 employees,170000,Doctoral degree,10,No,1
269,Male,18-24,Self-employed,10001+ employees,125000,Doctoral degree,6,Yes,0
270,Non-binary,65 and above,Full-time,51-200 employees,55000,Master's degree,26,No,1
271,Male,65 and above,Full-time,201-1000 employees,100000,Master's degree,22,No,1
272,Male,25-34,Part-time,1001-5000 employees,50000,Doctoral degree,4,Yes,0
273,Female,18-24,Retired,51-200 employees,180000,Doctoral degree,20,No,1
274,Male,65 and above,Self-employed,51-200 employees,175000,Bachelor's degree,20,Not applicable,1
275,Non-binary,55-64,Full-time,201-1000 employees,180000,Doctoral degree,16,Not applicable,1
276,Female,25-34,Self-employed,10001+ employees,50000,Associate degree,18,Yes,1
277,Male,55-64,Full-time,Less than 50 employees,125000,High school diploma,28,Not applicable,1
278,Non-binary,65 and above,Part-time,5001-10000 employees,185000,High school diploma,28,No,1
279,Prefer not to say,45-54,Self-employed,1001-5000 employees,100000,Bachelor's degree,6,No,1
280,Female,25-34,Retired,Less than 50 employees,165000,Master's degree,8,No,1
281,Prefer not to say,45-54,Part-time,201-1000 employees,55000,Associate degree,6,Yes,1
282,Non-binary,65 and above,Retired,1001-5000 employees,95000,Bachelor's degree,22,Yes,1
283,Male,25-34,Retired,201-1000 employees,165000,High school diploma,20,Yes,1
284,Male,55-64,Self-employed,Less than 50 employees,60000,Associate degree,24,Not applicable,1
285,Prefer not to say,65 and above,Self-employed,5001-10000 employees,185000,Bachelor's degree,24,Not applicable,1
286,Male,18-24,Self-employed,201-1000 employees,120000,High school diploma,6,Yes,1
287,Female,65 and above,Full-time,Less than 50 employees,30000,Doctoral degree,22,No,1
288,Non-binary,25-34,Self-employed,10001+ employees,175000,Associate degree,4,No,1
289,Non-binary,25-34,Self-employed,10001+ employees,155000,Bachelor's degree,12,No,1
290,Male,55-64,Full-time,51-200 employees,70000,High school diploma,12,Yes,1
291,Male,45-54,Retired,Less than 50 employees,180000,Bachelor's degree,2,No,1
292,Prefer not to say,25-34,Self-employed,5001-10000 employees,75000,Doctoral degree,24,No,0
293,Female,35-44,Part-time,10001+ employees,140000,Master's degree,8,Not applicable,1
294,Female,45-54,Part-time,10001+ employees,55000,Doctoral degree,2,No,1
295,Non-binary,45-54,Full-time,10001+ employees,35000,High school diploma,8,No,1
296,Prefer not to say,45-54,Self-employed,5001-10000 employees,50000,Doctoral degree,18,Not applicable,0
297,Prefer not to say,35-44,Self-employed,5001-10000 employees,105000,Associate degree,18,No,1
298,Non-binary,55-64,Retired,51-200 employees,85000,Master's degree,14,No,1
299,Female,65 and above,Full-time,5001-10000 employees,115000,Doctoral degree,16,Not applicable,1
300,Non-binary,45-54,Self-employed,Less than 50 employees,35000,Bachelor's degree,14,No,1
301,Prefer not to say,18-24,Retired,5001-10000 employees,155000,Bachelor's degree,18,No,1
302,Female,35-44,Full-time,51-200 employees,160000,Master's degree,20,No,1
303,Non-binary,18-24,Part-time,51-200 employees,45000,Bachelor's degree,16,Not applicable,1
304,Prefer not to say,65 and above,Part-time,Less than 50 employees,170000,Master's degree,26,No,1
305,Prefer not to say,18-24,Full-time,51-200 employees,90000,High school diploma,2,No,1
306,Prefer not to say,18-24,Full-time,1001-5000 employees,150000,Master's degree,4,Yes,1
307,Male,45-54,Full-time,201-1000 employees,185000,Master's degree,2,Yes,1
308,Non-binary,65 and above,Full-time,1001-5000 employees,90000,Bachelor's degree,22,Not applicable,1
309,Male,55-64,Self-employed,10001+ employees,195000,Associate degree,8,Yes,1
310,Male,45-54,Part-time,51-200 employees,135000,Bachelor's degree,14,No,1
311,Male,55-64,Full-time,201-1000 employees,150000,Doctoral degree,28,No,0
312,Prefer not to say,45-54,Full-time,1001-5000 employees,40000,High school diploma,8,No,1
313,Female,35-44,Part-time,10001+ employees,110000,High school diploma,2,Not applicable,1
314,Male,25-34,Part-time,Less than 50 employees,90000,Master's degree,28,Yes,1
315,Non-binary,35-44,Retired,1001-5000 employees,95000,Associate degree,24,Yes,1
316,Non-binary,65 and above,Retired,51-200 employees,85000,High school diploma,24,No,1
317,Prefer not to say,55-64,Full-time,201-1000 employees,135000,Doctoral degree,26,No,0
318,Non-binary,18-24,Self-employed,51-200 employees,70000,Doctoral degree,18,Not applicable,1
319,Non-binary,65 and above,Full-time,51-200 employees,125000,Master's degree,4,Not applicable,1
320,Prefer not to say,45-54,Full-time,201-1000 employees,75000,Doctoral degree,16,Not applicable,0
321,Prefer not to say,65 and above,Self-employed,1001-5000 employees,30000,Master's degree,26,No,1
322,Female,25-34,Self-employed,1001-5000 employees,130000,Bachelor's degree,10,Not applicable,1
323,Non-binary,35-44,Full-time,5001-10000 employees,95000,Master's degree,10,No,1
324,Female,55-64,Full-time,1001-5000 employees,80000,Master's degree,2,Not applicable,1
325,Prefer not to say,35-44,Full-time,1001-5000 employees,180000,High school diploma,28,Not applicable,1
326,Female,25-34,Part-time,201-1000 employees,160000,Master's degree,12,Yes,1
327,Prefer not to say,18-24,Self-employed,201-1000 employees,40000,Associate degree,4,No,1
328,Non-binary,25-34,Self-employed,51-200 employees,120000,Associate degree,2,Yes,1
