,TA_ID,Years_of_Experience,Class_Size,Student_Satisfaction_Score,Attendance_Rate,Graded_Assignments_Score,Tutorial_Sessions_Conducted,Feedback_Count,label
164,165,3,26,4.8,98%,61,2,11,0
165,166,6,45,3.7,91%,39,0,4,0
166,167,2,44,4.9,71%,32,9,3,0
167,168,3,58,3.1,83%,57,6,13,0
168,169,0,36,4.2,71%,30,3,28,0
169,170,4,43,2.5,70%,84,19,8,0
170,171,0,46,2.4,81%,20,6,6,0
171,172,5,23,2.5,93%,58,1,10,0
172,173,6,46,3.6,76%,69,1,25,0
173,174,0,49,2.4,72%,74,5,9,0
174,175,5,22,4.6,100%,88,1,9,1
175,176,2,25,4.9,84%,75,1,22,1
176,177,3,27,1.1,96%,21,3,20,0
177,178,6,35,1.8,76%,70,5,4,0
178,179,2,34,1.4,74%,65,18,27,0
179,180,3,55,1.2,87%,52,1,7,0
180,181,5,59,1.9,86%,13,3,16,0
181,182,0,27,2.8,82%,79,13,18,1
182,183,0,58,4.3,90%,43,2,14,0
183,184,0,49,1.9,85%,85,15,14,1
184,185,3,31,3.0,90%,67,11,23,0
185,186,0,23,4.7,77%,93,1,14,0
186,187,2,33,3.7,86%,9,9,20,0
187,188,2,44,4.2,86%,54,9,3,0
188,189,0,24,3.2,93%,88,11,27,1
189,190,4,42,4.9,95%,55,16,16,1
190,191,3,49,3.4,70%,100,9,30,0
191,192,4,58,1.2,98%,55,0,3,0
192,193,5,31,1.8,76%,56,4,10,0
193,194,6,34,2.6,100%,49,11,0,0
194,195,0,38,3.4,79%,20,3,21,0
195,196,4,45,4.1,85%,37,12,9,1
196,197,3,23,2.7,74%,53,2,26,0
197,198,5,57,3.8,76%,61,0,14,0
198,199,3,27,4.2,98%,83,4,1,1
199,200,4,49,2.3,80%,40,10,18,0
200,201,6,34,4.9,93%,67,3,1,1
201,202,5,31,3.6,85%,37,11,19,0
202,203,1,29,4.5,76%,3,9,12,0
203,204,5,31,3.2,76%,84,5,20,0
204,205,3,36,4.0,92%,38,1,2,0
205,206,0,59,4.1,86%,94,3,25,1
206,207,0,21,4.6,77%,33,10,10,0
207,208,0,38,1.6,75%,89,16,30,0
208,209,5,48,3.2,88%,41,20,19,0
209,210,5,20,2.7,72%,22,1,28,0
210,211,6,41,4.7,83%,66,3,9,1
211,212,1,44,1.4,90%,57,13,17,0
212,213,0,29,4.9,84%,27,4,14,0
213,214,4,28,4.5,99%,58,8,27,1
214,215,1,38,1.3,70%,28,5,28,0
215,216,6,31,3.0,90%,60,10,13,0
216,217,5,48,3.9,93%,99,0,1,1
217,218,5,37,4.0,89%,47,3,22,1
218,219,3,35,4.6,82%,33,8,20,0
219,220,1,23,4.2,82%,25,13,29,0
220,221,0,44,2.2,94%,74,0,24,1
221,222,0,41,3.0,92%,72,10,30,1
222,223,4,48,3.8,92%,81,5,10,1
223,224,3,41,1.6,82%,89,8,3,1
224,225,3,34,1.8,75%,7,13,17,0
225,226,1,21,2.9,98%,51,2,0,0
226,227,6,32,2.2,72%,29,0,13,0
227,228,5,31,4.5,99%,39,12,17,1
228,229,5,45,3.3,92%,41,7,7,0
229,230,0,59,2.4,76%,20,16,0,0
230,231,0,31,4.4,91%,33,15,14,0
231,232,1,46,4.2,98%,10,19,24,0
232,233,2,54,5.0,86%,76,17,20,1
233,234,0,21,4.4,72%,47,0,11,0
234,235,6,36,2.7,99%,2,0,9,0
235,236,3,21,1.5,71%,96,11,26,0
236,237,6,36,4.4,92%,88,10,27,1
237,238,5,53,1.2,83%,53,6,23,0
238,239,1,53,2.4,84%,69,18,26,0
239,240,1,58,4.7,87%,19,1,9,0
240,241,6,60,4.8,90%,0,19,1,1
241,242,4,28,3.6,72%,17,20,26,0
242,243,0,33,3.8,81%,87,5,9,1
243,244,5,39,1.2,83%,84,17,15,1
244,245,0,52,3.1,87%,58,10,8,0
245,246,3,43,3.2,91%,100,12,8,1
246,247,2,24,2.4,72%,36,9,17,0
247,248,3,51,1.3,83%,12,17,4,0
248,249,2,42,1.9,71%,44,3,17,0
249,250,4,20,2.4,75%,100,8,30,0
250,251,6,57,2.7,85%,79,2,1,0
251,252,3,51,3.4,88%,37,10,26,0
252,253,6,35,3.9,76%,24,6,29,0
253,254,6,39,2.3,98%,45,0,21,0
254,255,5,35,2.3,76%,52,4,16,0
255,256,5,32,1.1,96%,84,4,20,1
256,257,3,30,1.2,88%,60,12,8,0
257,258,0,36,2.0,86%,7,0,23,0
258,259,3,26,4.0,74%,23,19,4,0
259,260,0,41,3.5,75%,20,3,29,0
260,261,4,50,4.1,77%,69,7,27,1
261,262,2,23,4.1,73%,7,17,11,0
262,263,6,36,4.4,92%,36,11,12,1
263,264,3,20,3.9,91%,9,2,15,0
264,265,5,21,4.9,91%,69,12,13,1
265,266,5,52,4.6,95%,25,16,25,1
266,267,4,38,3.3,96%,33,2,30,0
267,268,0,38,3.4,72%,84,12,5,0
268,269,2,42,1.1,98%,64,9,16,0
269,270,3,35,5.0,85%,33,3,18,0
270,271,3,35,1.5,70%,83,0,11,0
271,272,1,48,4.0,75%,73,13,14,0
272,273,5,27,4.3,71%,2,5,2,1
273,274,3,47,2.5,73%,16,18,1,0
274,275,6,44,1.8,96%,87,3,28,1
275,276,4,44,1.4,70%,61,10,26,0
276,277,5,32,4.0,77%,58,19,9,1
277,278,5,33,2.8,87%,25,12,1,0
278,279,3,38,3.9,79%,42,9,26,0
279,280,3,34,4.7,73%,80,16,8,0
280,281,1,34,1.6,82%,17,6,19,0
281,282,1,40,4.7,92%,40,12,27,0
282,283,1,27,2.6,75%,60,15,25,0
283,284,3,47,2.2,92%,81,6,3,1
284,285,6,35,4.8,79%,41,17,22,1
285,286,2,43,5.0,92%,38,6,25,0
286,287,2,31,1.8,71%,76,5,24,0
287,288,4,33,3.6,99%,70,12,12,1
288,289,3,49,1.4,81%,24,2,20,0
289,290,1,51,3.6,75%,33,0,4,0
290,291,2,38,4.3,80%,78,17,21,1
291,292,3,24,3.7,74%,69,10,24,0
292,293,5,48,2.7,77%,9,0,30,0
293,294,5,21,2.5,92%,37,4,12,0
294,295,5,43,2.6,89%,11,8,20,0
295,296,1,36,3.4,88%,25,18,23,0
296,297,4,46,4.5,89%,16,13,10,1
297,298,2,22,4.7,76%,83,7,24,0
298,299,2,37,1.2,91%,61,8,28,0
299,300,0,40,1.7,93%,23,16,18,0
300,301,1,58,1.4,83%,50,10,4,0
301,302,5,20,1.8,81%,9,15,1,0
302,303,0,26,2.4,93%,42,20,5,0
303,304,4,42,3.0,76%,41,16,12,0
304,305,0,35,3.5,92%,26,1,21,0
305,306,3,30,3.9,91%,42,2,26,0
306,307,2,54,4.6,81%,62,16,17,0
307,308,5,60,5.0,78%,11,11,24,1
308,309,6,58,3.7,91%,71,15,8,1
309,310,5,41,4.4,73%,91,15,24,1
310,311,6,54,4.1,93%,32,5,12,1
311,312,0,52,2.2,99%,30,19,26,0
312,313,6,55,4.5,72%,86,2,16,1
313,314,0,59,1.2,77%,29,12,26,0
314,315,5,47,1.0,72%,32,12,30,0
315,316,1,30,2.1,95%,66,20,0,0
316,317,1,24,2.8,84%,22,14,21,0
317,318,0,37,3.6,75%,47,1,3,0
318,319,3,23,1.4,86%,40,11,25,0
319,320,0,57,3.7,88%,24,14,21,0
320,321,3,50,4.2,78%,14,14,20,0
321,322,0,43,1.7,87%,2,11,17,0
322,323,4,49,2.7,94%,67,6,30,0
323,324,4,58,3.1,88%,33,2,17,0
324,325,0,50,2.8,98%,42,9,11,0
325,326,1,31,4.2,84%,36,10,18,0
326,327,3,22,4.8,94%,0,17,25,0
327,328,4,49,4.2,76%,24,6,3,1
328,329,3,27,1.3,83%,50,6,26,0
329,330,2,29,4.2,94%,38,11,21,0
330,331,6,43,1.3,98%,55,16,13,0
331,332,5,20,1.9,73%,12,13,11,0
332,333,1,37,1.6,82%,15,14,2,0
333,334,1,60,1.8,97%,26,19,19,0
334,335,2,41,3.1,76%,23,7,1,0
335,336,1,50,3.7,85%,56,16,9,0
336,337,5,46,2.9,74%,93,6,27,0
337,338,4,35,4.8,70%,16,8,23,1
338,339,5,37,2.0,81%,82,15,9,1
339,340,2,30,4.1,76%,45,2,19,0
340,341,5,37,4.5,76%,33,10,27,1
341,342,5,23,3.2,89%,3,9,4,0
342,343,4,59,2.8,90%,58,10,16,0
343,344,4,29,3.4,94%,71,8,1,1
344,345,5,49,2.7,76%,57,10,11,0
345,346,5,23,3.2,86%,20,10,13,0
346,347,2,27,2.7,70%,88,17,8,0
347,348,3,36,2.6,73%,66,3,11,0
348,349,5,54,3.8,97%,60,4,14,0
349,350,3,24,1.4,75%,10,4,29,0
350,351,6,46,1.7,85%,51,17,1,0
351,352,6,56,4.4,99%,98,17,15,1
352,353,1,26,4.1,77%,88,15,14,0
353,354,6,52,2.1,97%,0,8,30,0
354,355,2,37,2.5,86%,70,1,14,1
355,356,4,57,4.7,95%,13,15,23,1
356,357,3,47,4.3,95%,25,9,11,0
357,358,3,34,3.5,100%,91,11,21,1
358,359,1,42,1.9,97%,47,16,2,0
359,360,1,51,1.2,81%,69,15,26,0
360,361,5,28,2.7,78%,23,16,4,0
361,362,6,49,3.7,70%,51,16,14,0
362,363,5,48,4.3,71%,54,2,9,1
363,364,1,51,4.4,95%,24,8,1,0
364,365,1,54,1.1,90%,77,1,24,1
365,366,2,37,2.0,84%,21,16,3,0
366,367,0,48,2.4,86%,13,14,17,0
367,368,3,36,1.8,72%,66,8,1,0
368,369,1,28,4.2,90%,41,1,16,0
369,370,4,27,4.1,78%,1,14,30,1
370,371,3,32,3.1,88%,58,13,2,0
371,372,1,52,4.9,100%,52,0,1,0
372,373,1,40,1.6,88%,0,12,15,0
373,374,2,31,4.6,81%,57,8,16,0
374,375,0,49,1.5,93%,14,0,10,0
375,376,6,60,1.7,76%,100,19,25,0
376,377,0,20,3.8,89%,7,19,6,0
377,378,2,40,1.4,80%,48,0,5,0
378,379,4,48,3.3,72%,73,10,10,0
379,380,6,33,2.7,76%,49,11,6,0
380,381,0,57,3.9,91%,4,4,9,0
381,382,4,59,4.6,90%,16,18,6,1
382,383,3,24,4.1,96%,16,17,5,0
383,384,3,32,4.4,73%,63,6,28,0
384,385,0,57,1.1,97%,16,18,30,0
385,386,0,24,2.2,73%,67,19,27,0
386,387,3,56,3.1,95%,54,20,8,0
387,388,5,36,2.7,98%,2,15,17,0
388,389,3,38,1.9,77%,32,9,23,0
389,390,6,57,2.2,74%,57,7,22,0
390,391,0,50,4.8,74%,70,2,3,0
391,392,3,55,2.2,91%,85,0,15,1
392,393,0,20,2.4,79%,28,17,6,0
393,394,5,29,1.0,74%,22,6,14,0
394,395,2,53,4.4,71%,27,12,20,0
395,396,1,32,1.6,87%,49,14,30,0
396,397,0,26,1.8,80%,4,14,6,0
397,398,4,56,2.0,93%,4,7,29,0
398,399,0,55,4.5,95%,95,9,22,1
399,400,3,58,1.8,86%,66,7,10,0
400,401,4,56,4.2,70%,89,13,28,1
401,402,4,50,4.2,83%,94,1,7,1
402,403,1,39,4.7,91%,75,3,27,1
403,404,0,58,1.5,98%,74,2,16,1
404,405,2,55,1.9,93%,66,7,19,0
405,406,6,34,4.0,86%,75,2,2,1
406,407,6,49,1.8,75%,76,7,19,0
407,408,4,37,2.1,99%,84,3,7,1
408,409,4,23,1.7,72%,9,0,12,0
409,410,2,49,1.7,70%,35,4,19,0
410,411,4,47,2.9,79%,51,11,19,0
411,412,6,23,1.4,77%,6,15,19,0
412,413,3,53,2.3,99%,31,9,30,0
413,414,2,47,2.7,91%,27,6,30,0
414,415,3,56,1.1,86%,10,5,30,0
415,416,0,41,2.6,84%,48,1,27,0
416,417,5,59,1.4,89%,72,5,15,1
417,418,5,30,3.0,75%,89,16,15,0
418,419,5,49,4.3,96%,79,12,23,1
419,420,0,49,4.3,82%,26,14,26,0
420,421,0,44,1.3,85%,69,8,30,0
421,422,5,36,3.4,89%,82,19,19,1
422,423,3,20,4.3,88%,64,11,8,0
423,424,4,56,2.0,80%,36,14,13,0
424,425,4,54,4.0,72%,32,2,6,1
425,426,5,33,4.6,86%,37,16,6,1
426,427,2,21,4.2,94%,82,11,2,1
427,428,2,22,1.4,81%,77,4,10,1
428,429,4,22,1.0,73%,83,18,19,0
429,430,6,39,1.8,79%,66,6,4,0
430,431,1,32,2.1,95%,40,1,6,0
431,432,3,50,3.5,79%,0,4,5,0
432,433,3,59,2.5,100%,38,7,27,0
433,434,3,41,3.8,92%,64,19,21,0
434,435,1,33,2.4,80%,9,7,30,0
435,436,2,46,1.6,90%,62,16,14,0
436,437,5,32,2.3,79%,49,2,18,0
437,438,2,20,4.5,89%,3,12,1,0
438,439,3,21,4.8,74%,5,5,24,0
439,440,6,56,1.8,84%,81,12,12,1
440,441,5,30,4.2,85%,18,13,28,1
441,442,2,52,2.1,71%,45,16,21,0
442,443,3,48,4.5,70%,75,6,29,0
443,444,4,22,1.7,85%,64,15,12,0
444,445,4,48,3.7,85%,38,0,14,0
445,446,2,21,1.3,83%,41,17,18,0
446,447,5,33,4.9,79%,17,19,20,1
447,448,1,39,3.8,87%,44,4,4,0
448,449,6,37,4.4,80%,18,13,9,1
449,450,2,56,3.3,80%,63,0,17,0
450,451,5,27,2.9,87%,6,13,15,0
451,452,0,26,3.5,77%,79,4,25,0
452,453,6,29,3.1,72%,54,3,4,0
453,454,3,35,2.9,77%,60,3,12,0
454,455,0,38,4.0,86%,39,19,6,0
455,456,2,49,1.7,82%,0,2,27,0
456,457,4,38,1.7,82%,37,17,29,0
457,458,3,22,2.7,80%,36,12,30,0
458,459,2,49,2.3,71%,7,3,2,0
459,460,1,37,1.3,78%,45,8,19,0
460,461,2,55,4.4,70%,11,1,10,0
461,462,1,39,4.1,81%,4,15,19,0
462,463,4,36,3.2,96%,70,9,9,1
463,464,5,43,4.9,100%,38,8,4,1
464,465,1,32,1.3,81%,40,20,9,0
465,466,6,55,4.1,80%,62,10,11,1
466,467,6,22,2.1,89%,70,12,7,1
467,468,0,40,2.5,91%,80,12,5,1
468,469,5,23,1.9,85%,34,3,13,0
469,470,0,37,4.2,71%,80,12,30,0
470,471,0,58,1.6,96%,96,8,2,0
471,472,0,30,4.4,98%,28,9,14,0
472,473,6,57,3.6,88%,100,0,0,0
473,474,0,60,1.2,98%,32,6,0,0
474,475,1,47,4.2,100%,49,20,28,0
475,476,0,24,3.5,81%,8,8,12,0
476,477,3,42,4.6,97%,21,4,29,0
477,478,6,57,4.0,87%,50,6,19,1
478,479,1,55,3.2,90%,24,12,10,0
479,480,4,50,4.3,77%,16,7,10,1
480,481,1,27,2.1,79%,85,3,23,0
481,482,2,44,3.2,94%,10,10,9,0
482,483,4,44,2.2,74%,32,17,19,0
483,484,0,35,4.9,96%,8,17,17,0
484,485,0,30,1.9,90%,59,17,27,0
485,486,2,39,1.1,81%,70,14,19,1
486,487,5,33,2.3,92%,90,9,22,1
487,488,0,59,3.0,91%,91,12,23,1
488,489,4,57,1.1,84%,45,12,30,0
489,490,4,59,3.2,99%,89,4,28,1
490,491,4,38,4.5,71%,20,8,20,1
491,492,1,27,3.8,84%,84,9,13,1
492,493,6,44,3.5,70%,77,3,18,0
493,494,6,52,4.8,85%,34,1,26,1
494,495,1,59,4.8,71%,4,6,28,0
495,496,4,60,4.3,70%,48,20,16,1
496,497,1,56,3.4,99%,78,13,18,1
497,498,5,36,3.0,89%,24,12,1,0
498,499,1,46,1.1,75%,65,5,15,0
499,500,3,60,3.4,75%,43,0,0,0
500,501,5,36,5.0,100%,77,7,14,1
501,502,1,52,4.3,92%,100,6,9,1
502,503,3,50,2.4,79%,97,6,6,0
503,504,5,40,1.6,85%,76,7,19,1
504,505,3,43,4.1,88%,16,18,15,0
505,506,6,35,4.0,96%,57,17,3,1
506,507,6,39,4.9,79%,5,11,6,1
507,508,1,54,4.5,91%,97,17,22,1
508,509,1,47,3.2,77%,95,5,15,0
509,510,1,54,1.4,100%,8,18,29,0
510,511,6,37,2.9,100%,33,17,21,0
511,512,0,43,2.3,91%,54,9,19,0
512,513,3,47,3.0,100%,64,12,10,0
513,514,0,33,2.2,79%,32,17,26,0
514,515,4,43,4.4,78%,95,4,13,1
515,516,1,50,4.4,71%,2,0,27,0
516,517,4,25,2.3,83%,27,3,26,0
517,518,5,59,3.4,91%,80,12,26,1
518,519,0,53,2.7,78%,87,15,9,0
519,520,3,54,4.6,95%,66,5,4,0
520,521,6,48,1.7,83%,71,20,27,1
521,522,2,21,3.8,87%,45,7,29,0
522,523,1,24,4.9,90%,20,14,16,0
523,524,4,41,1.7,70%,64,5,28,0
524,525,4,28,1.8,97%,7,17,29,0
525,526,4,53,3.8,88%,89,18,28,1
526,527,0,55,4.1,86%,24,18,15,0
527,528,0,55,3.0,95%,65,17,14,0
528,529,2,45,3.4,99%,99,1,25,1
529,530,5,25,1.9,77%,62,10,27,0
530,531,0,21,2.9,96%,94,17,8,1
531,532,6,55,1.4,84%,34,9,0,0
532,533,3,27,2.3,95%,92,4,13,1
533,534,3,21,2.1,89%,98,8,17,1
534,535,4,21,2.8,100%,21,18,14,0
535,536,6,27,4.7,78%,87,5,4,1
536,537,1,45,1.7,77%,17,7,25,0
537,538,4,56,2.6,99%,69,1,0,0
538,539,3,33,3.5,93%,3,17,12,0
539,540,3,47,4.8,83%,89,15,12,1
540,541,3,52,1.5,78%,21,7,9,0
541,542,4,39,4.7,71%,59,16,27,1
542,543,2,54,1.3,95%,6,17,10,0
543,544,1,56,2.9,94%,61,6,20,0
544,545,2,36,2.8,100%,83,8,13,1
545,546,2,23,1.8,79%,22,6,20,0
546,547,1,28,2.4,86%,23,2,18,0
547,548,3,39,2.8,98%,85,5,24,1
548,549,3,20,4.5,100%,76,4,18,1
549,550,4,40,4.8,81%,22,2,17,1
550,551,4,52,3.1,77%,60,13,5,0
551,552,2,54,4.5,77%,10,17,23,0
552,553,1,25,3.4,76%,78,6,5,0
553,554,1,41,2.4,91%,57,10,20,0
554,555,0,44,1.8,94%,41,19,30,0
555,556,0,22,2.7,75%,69,13,28,0
556,557,2,27,3.1,81%,39,15,22,0
557,558,4,31,1.2,97%,74,20,21,1
558,559,3,48,1.6,74%,61,15,19,0
559,560,5,51,3.4,70%,90,3,24,0
560,561,6,21,1.9,79%,26,15,25,0
561,562,3,36,4.3,87%,83,7,15,1
562,563,2,38,2.3,78%,46,8,23,0
563,564,1,34,1.4,86%,16,4,13,0
564,565,0,41,1.3,73%,1,17,30,0
565,566,4,25,4.7,93%,83,12,10,1
566,567,1,53,1.5,73%,78,14,30,0
567,568,4,22,1.6,77%,9,9,0,0
568,569,4,47,4.5,75%,63,4,21,1
569,570,2,60,2.0,96%,63,3,8,0
570,571,0,39,3.7,73%,60,18,22,0
571,572,0,35,4.3,78%,35,14,30,0
572,573,5,27,3.4,96%,99,7,6,1
573,574,3,49,4.8,73%,8,20,25,0
574,575,1,55,3.8,71%,90,4,5,0
575,576,5,53,1.5,73%,56,8,23,0
576,577,5,36,3.2,81%,45,16,15,0
577,578,1,44,3.9,73%,77,7,14,0
578,579,5,25,4.2,84%,61,13,27,1
579,580,6,39,1.1,100%,89,11,25,1
580,581,0,37,3.9,97%,44,8,1,0
581,582,6,52,4.3,82%,52,15,27,1
582,583,4,42,4.0,70%,14,0,16,1
583,584,3,53,3.0,77%,13,0,16,0
584,585,5,58,2.8,88%,58,9,15,0
585,586,3,29,3.2,70%,6,11,30,0
586,587,4,25,3.8,92%,72,2,2,1
587,588,3,32,4.7,92%,51,20,27,0
588,589,6,36,3.5,85%,14,0,5,0
589,590,4,37,4.6,93%,28,7,8,1
590,591,3,24,3.8,77%,29,20,16,0
591,592,0,45,1.3,97%,95,19,6,1
592,593,5,34,3.0,71%,94,15,19,0
593,594,3,37,2.1,72%,8,5,7,0
594,595,3,49,2.1,83%,66,19,28,0
595,596,6,26,2.4,94%,56,10,5,0
596,597,1,48,2.3,100%,79,13,0,1
597,598,3,30,3.3,91%,56,12,19,0
598,599,5,25,3.7,87%,56,3,23,0
599,600,5,56,2.1,93%,92,1,28,1
600,601,4,56,1.5,73%,98,2,30,0
