,language,file_size,lines_of_code,branches,comments,complexity,num_functions,num_dependencies,vcs,release_cycle,code_reviews,unit_test_coverage,mutation_score,code_smells,vulnerabilities,code_quality_metrics,label
46,JavaScript,3786,285,10,69,63,73,18,SVN,daily,5,0.57,0.63,True,False,0.73,0
47,C++,7448,458,93,96,88,14,44,SVN,monthly,22,0.76,0.22,True,True,0.89,0
48,C++,821,871,31,45,20,52,92,SVN,monthly,49,0.82,0.6,True,True,0.88,0
49,Java,1572,231,25,18,74,44,89,Mercurial,monthly,56,0.57,0.43,True,True,0.63,1
50,C++,8826,200,7,27,51,97,8,SVN,daily,24,0.61,0.93,False,True,0.96,0
51,Python,6528,431,86,89,27,98,89,SVN,monthly,3,0.5,0.17,True,False,0.6,1
52,Java,6093,953,40,31,63,32,13,SVN,daily,38,0.86,0.35,True,False,0.87,0
53,C++,831,72,11,92,89,92,11,Git,weekly,29,0.93,0.44,True,True,0.92,0
54,JavaScript,4970,407,61,100,41,47,39,SVN,daily,5,0.77,0.17,False,True,0.55,1
55,JavaScript,3376,146,94,21,34,25,82,Mercurial,monthly,37,0.87,0.79,True,True,0.75,0
56,Python,6458,252,95,76,43,60,21,Mercurial,weekly,32,0.98,0.66,True,False,0.85,0
57,C++,943,710,65,65,13,50,6,Mercurial,weekly,59,0.63,0.49,False,False,0.83,0
58,Python,5189,731,84,80,80,46,6,Git,monthly,8,0.97,0.72,True,False,0.77,0
59,JavaScript,2210,21,37,73,22,36,33,Git,daily,43,0.76,0.18,False,True,0.92,0
60,Python,2175,602,45,45,35,49,21,Mercurial,monthly,29,0.9,0.45,False,False,0.91,0
61,Java,2611,694,44,7,71,64,12,Mercurial,daily,97,0.86,0.32,True,False,0.61,1
62,Java,7221,596,49,48,81,26,72,SVN,monthly,48,0.62,0.45,False,False,0.62,1
63,C++,7133,454,21,93,50,73,20,Git,daily,52,0.58,0.62,True,False,0.72,0
64,C++,548,943,21,25,83,23,68,Mercurial,weekly,4,0.98,0.8,False,False,0.55,1
65,Python,843,201,28,80,67,71,49,Mercurial,daily,1,0.57,0.66,True,False,0.6,1
66,C++,5598,332,92,29,31,12,55,Mercurial,weekly,24,0.68,0.51,True,False,0.53,1
67,Python,9026,675,8,56,33,21,92,SVN,monthly,6,0.8,0.51,False,False,0.6,1
68,Python,6711,637,62,49,5,100,16,SVN,monthly,40,0.66,0.89,True,False,0.85,0
69,JavaScript,1856,952,68,96,35,58,10,Mercurial,monthly,30,0.64,0.5,True,True,0.84,0
70,C++,4908,718,98,22,91,96,55,Git,weekly,76,0.66,0.34,False,False,0.85,0
71,C++,4378,30,47,59,33,43,38,Mercurial,daily,85,0.6,0.77,True,False,0.74,0
72,Java,2205,705,5,59,36,11,12,SVN,daily,86,0.64,0.78,False,True,0.82,0
73,C++,9440,868,44,17,99,35,39,Git,daily,62,0.79,0.41,False,False,0.53,1
74,Java,9732,389,14,17,73,63,72,SVN,daily,58,0.73,0.33,True,True,0.54,1
75,C++,1377,66,36,41,91,30,46,Mercurial,daily,38,0.6,0.59,False,True,0.87,0
76,JavaScript,9732,235,6,27,4,5,86,SVN,monthly,8,0.79,0.84,True,False,0.53,1
77,JavaScript,2764,91,84,30,54,1,2,Mercurial,monthly,18,0.58,0.73,True,True,0.8,0
78,C++,5538,80,40,12,23,61,17,SVN,monthly,4,0.59,0.54,False,True,1.0,0
79,Python,4220,12,29,56,79,9,42,Git,monthly,28,0.76,0.57,True,False,0.55,1
80,Java,9175,666,86,23,19,73,20,Git,daily,5,0.76,0.54,False,False,0.93,0
81,JavaScript,4820,869,30,86,36,70,85,Git,daily,97,0.76,0.8,True,True,0.78,0
82,Python,4186,963,93,94,30,34,39,Mercurial,weekly,87,0.75,0.68,True,True,0.79,0
83,Java,8655,598,78,89,80,15,31,Mercurial,monthly,88,0.82,0.18,True,True,0.62,1
84,Python,1490,779,2,19,49,75,39,Mercurial,monthly,27,0.79,0.12,True,True,0.97,0
85,JavaScript,1813,485,88,21,26,21,73,Mercurial,monthly,70,0.69,0.41,False,True,0.63,1
86,Java,484,673,44,37,96,22,80,Mercurial,weekly,68,0.67,0.92,True,False,0.74,0
87,Java,4691,641,20,83,5,31,50,Git,daily,95,0.72,0.91,False,True,0.81,0
88,Python,5585,922,74,77,19,10,62,Mercurial,daily,73,0.73,0.63,True,False,0.59,1
89,Python,8323,257,27,48,46,83,65,Mercurial,weekly,70,0.83,0.28,True,False,0.8,0
90,Java,8891,982,35,92,53,41,61,Mercurial,monthly,57,0.91,0.23,False,True,0.95,0
91,C++,8212,667,58,94,94,56,9,Git,monthly,90,0.87,0.77,True,True,0.67,1
92,JavaScript,6705,947,97,18,6,67,67,SVN,daily,55,0.85,0.72,False,True,0.84,0
93,C++,7576,940,88,15,69,2,29,Git,monthly,12,0.87,0.16,False,True,0.72,0
94,Java,153,667,76,95,44,4,29,Git,weekly,48,0.58,0.74,True,False,1.0,0
95,C++,9704,900,94,6,64,91,100,Git,daily,73,0.92,0.77,True,True,0.7,0
96,JavaScript,1498,196,54,28,65,81,30,Mercurial,daily,32,0.72,0.24,False,True,0.94,0
97,C++,9119,435,48,69,76,95,94,SVN,weekly,8,0.62,0.5,True,True,0.81,0
98,Python,3218,298,63,56,31,71,31,SVN,daily,98,0.64,0.47,False,True,0.78,0
99,JavaScript,5928,759,27,84,86,10,76,SVN,daily,25,0.71,0.26,True,False,0.75,0
100,Python,8600,268,18,87,57,74,78,SVN,weekly,2,0.58,0.7,True,False,0.68,1
101,C++,8906,988,6,37,16,99,24,Git,daily,35,0.81,0.53,False,True,0.92,0
102,Java,2546,289,11,96,2,33,26,Git,monthly,2,0.93,0.32,False,True,0.66,1
103,Python,6782,278,13,78,70,47,34,Mercurial,daily,25,0.59,0.68,False,True,0.61,1
104,Python,638,23,34,77,68,78,18,Git,daily,34,0.69,0.54,False,True,0.99,0
105,Java,3288,496,85,37,35,78,40,Mercurial,weekly,27,0.74,0.7,True,False,0.96,0
106,C++,7064,130,94,23,97,83,7,SVN,daily,91,0.69,0.76,False,True,0.57,1
107,C++,4033,929,71,61,60,36,1,SVN,monthly,37,0.91,0.5,True,True,0.72,0
108,Java,3139,602,92,97,34,49,15,Git,daily,92,0.56,0.72,False,False,0.96,0
109,JavaScript,4030,444,10,57,9,26,24,Git,daily,86,0.72,0.49,False,True,0.54,1
110,JavaScript,337,696,42,91,13,66,14,Git,daily,37,0.89,0.38,False,False,0.73,0
111,Java,6762,523,90,71,79,98,93,Git,daily,66,0.56,0.51,True,True,0.92,0
112,C++,7903,795,36,25,86,15,54,Mercurial,monthly,48,0.96,0.77,False,True,0.6,1
113,Python,4851,341,62,94,92,24,64,Git,weekly,40,0.51,0.26,True,False,0.55,1
114,JavaScript,4409,866,92,24,49,37,6,SVN,monthly,58,0.62,0.76,False,False,0.78,0
115,Java,4403,137,65,89,45,75,36,Mercurial,weekly,17,0.63,0.71,False,False,0.52,1
116,C++,4116,308,79,85,78,77,97,Git,monthly,34,0.85,0.18,False,False,0.95,0
117,JavaScript,1064,319,55,69,73,8,10,SVN,daily,4,0.63,0.71,True,True,0.74,0
118,Java,9553,165,96,75,94,81,53,Git,weekly,29,0.57,0.17,False,True,0.97,0
119,C++,747,680,13,14,1,99,54,SVN,daily,68,0.5,0.82,True,True,0.85,0
120,Python,1807,284,6,48,66,66,50,Mercurial,daily,61,0.8,0.48,True,True,0.85,0
121,Python,8666,941,13,45,54,77,55,Git,weekly,4,0.53,0.34,True,False,0.99,0
122,JavaScript,2931,573,13,87,32,61,71,SVN,daily,67,0.55,0.77,False,True,0.72,0
123,Python,7338,946,83,79,94,49,48,Git,monthly,21,0.62,0.27,False,False,0.61,1
124,C++,7364,940,88,92,3,66,71,SVN,daily,57,0.92,0.84,True,True,0.84,0
125,Python,6880,380,28,48,32,28,16,SVN,monthly,61,0.54,0.1,False,False,0.54,1
126,C++,6052,259,55,92,1,40,59,Git,weekly,44,0.62,0.43,True,False,0.95,0
127,Java,4599,725,29,12,12,73,35,Git,daily,39,0.79,0.13,True,False,0.62,1
128,Python,4258,104,79,77,34,69,46,SVN,daily,22,0.73,0.43,False,False,0.61,1
129,Python,844,478,57,65,81,10,50,Mercurial,weekly,87,0.89,0.87,True,True,0.6,1
130,JavaScript,2171,892,66,21,92,82,92,Mercurial,weekly,2,0.84,0.73,False,True,0.79,0
131,JavaScript,827,423,97,8,50,68,63,Mercurial,daily,76,0.63,0.97,False,True,0.79,0
132,C++,5354,409,78,73,1,8,43,SVN,weekly,69,0.59,0.77,True,False,0.92,0
133,JavaScript,5679,884,59,98,18,46,26,Git,monthly,47,0.92,0.39,False,False,0.52,1
134,C++,3999,803,54,81,27,56,45,Mercurial,monthly,86,0.95,0.18,False,True,0.52,1
135,Python,240,327,78,38,81,64,3,Mercurial,daily,64,0.76,0.16,True,False,0.99,0
136,JavaScript,53,959,98,62,80,57,68,SVN,weekly,38,1.0,0.59,False,False,0.67,1
137,Python,6793,318,75,87,47,91,37,Mercurial,weekly,41,0.6,0.16,True,False,0.56,1
138,JavaScript,7787,896,62,100,45,56,17,SVN,monthly,54,0.6,0.27,False,False,0.52,1
139,Python,8920,46,52,2,95,41,87,Mercurial,daily,17,0.58,0.71,True,False,0.85,0
140,Java,9162,587,24,74,28,89,86,Git,daily,4,0.82,0.27,False,False,0.67,1
141,C++,5731,702,61,72,20,71,67,Git,weekly,8,0.68,0.74,True,True,0.72,0
142,Python,9812,459,33,60,31,55,18,Git,monthly,18,0.94,0.44,True,False,0.81,0
143,C++,5718,780,51,97,77,32,5,SVN,weekly,30,0.82,0.36,False,False,0.52,1
144,JavaScript,9607,737,37,8,68,9,4,Git,weekly,66,0.8,0.89,False,True,0.63,1
145,JavaScript,837,308,27,85,10,73,11,Git,monthly,49,0.81,0.72,False,False,0.74,0
146,JavaScript,7743,83,46,14,43,54,38,Mercurial,daily,97,0.83,0.75,False,True,0.79,0
147,C++,1899,802,55,4,63,22,51,Git,monthly,11,0.52,0.41,False,False,0.67,1
148,C++,6957,525,69,9,41,55,9,Mercurial,weekly,91,0.62,0.75,False,False,0.82,0
149,JavaScript,9219,554,6,40,11,55,55,SVN,daily,67,0.57,0.61,False,True,0.63,1
150,JavaScript,8774,843,44,8,60,8,20,Git,monthly,9,0.8,0.77,False,True,0.73,0
151,C++,5205,761,100,87,26,93,27,SVN,daily,56,0.76,0.37,False,False,0.82,0
152,C++,9271,627,12,40,25,40,97,Git,weekly,24,0.8,0.86,True,True,0.63,1
153,Python,8637,140,61,60,59,10,53,Git,daily,1,0.62,0.94,True,False,0.63,1
154,JavaScript,183,105,84,90,27,71,95,Git,daily,84,0.51,0.96,False,False,0.99,0
155,Java,9108,950,12,36,41,89,30,Mercurial,daily,23,0.68,0.34,False,True,0.74,0
156,Python,5549,792,80,61,97,88,97,Git,daily,97,0.52,0.22,False,True,0.88,0
157,C++,3584,433,98,88,91,94,82,Mercurial,daily,90,0.67,0.4,False,False,0.66,1
158,JavaScript,1066,82,64,37,91,37,3,Mercurial,monthly,5,0.92,0.97,True,True,0.83,0
159,Java,8506,753,49,52,39,81,5,Git,monthly,2,0.73,0.81,True,False,0.85,0
160,Java,3676,774,79,20,97,1,50,Git,daily,30,0.93,0.17,False,False,0.52,1
161,C++,6543,406,58,100,62,88,16,Mercurial,monthly,80,0.66,0.96,False,False,0.63,1
162,Python,6027,903,9,12,28,32,88,SVN,daily,61,0.84,0.93,False,False,0.56,1
163,Java,7783,469,23,54,75,59,57,SVN,daily,15,0.93,0.16,False,True,0.98,0
164,Python,7058,504,43,39,24,39,87,SVN,daily,89,0.95,0.93,True,True,0.57,1
165,JavaScript,3296,210,92,15,71,77,43,Mercurial,weekly,22,0.89,0.64,True,False,0.73,0
166,C++,1127,440,18,26,66,24,92,Mercurial,weekly,17,0.98,0.15,False,False,0.69,1
167,Python,1638,879,93,99,38,70,88,Git,daily,29,0.69,0.95,False,True,0.81,0
168,Python,9187,514,1,77,95,61,37,Git,weekly,54,0.78,0.6,True,True,0.82,0
169,JavaScript,3454,450,18,45,16,65,95,Git,daily,2,0.89,0.41,False,False,0.7,0
170,Python,1242,683,96,25,18,73,58,Mercurial,weekly,5,0.93,0.42,True,True,0.98,0
171,Python,8846,620,27,6,66,36,3,Mercurial,monthly,71,0.59,0.98,False,False,0.93,0
172,C++,3322,221,5,90,86,70,48,SVN,weekly,86,0.55,0.51,False,True,0.82,0
173,C++,5708,464,75,9,58,21,73,Mercurial,monthly,86,0.68,0.94,False,True,0.58,1
174,JavaScript,855,880,16,9,32,67,37,Git,daily,32,0.8,0.17,False,False,0.82,0
175,Python,8962,395,70,27,10,3,81,Git,monthly,91,0.65,0.48,True,True,0.97,0
176,Python,5833,340,72,65,79,28,23,Mercurial,daily,2,0.76,0.65,True,False,0.6,1
177,Java,9158,246,88,76,97,51,7,SVN,weekly,98,0.88,0.8,True,True,0.85,0
178,JavaScript,4920,360,25,19,19,5,18,Git,monthly,98,0.75,0.76,False,True,0.74,0
179,C++,9324,718,69,35,28,65,30,Git,monthly,44,0.56,0.45,False,True,0.63,1
180,Python,7888,955,20,37,27,35,15,SVN,weekly,20,0.52,0.73,True,True,0.83,0
181,Python,1320,865,24,50,76,70,61,Mercurial,daily,21,0.51,0.77,False,False,0.52,1
182,JavaScript,8933,15,84,59,82,37,82,SVN,monthly,60,0.89,0.15,False,True,0.69,1
183,JavaScript,9040,739,99,16,4,99,94,Mercurial,weekly,48,0.97,0.24,True,True,0.85,0
184,JavaScript,8940,650,88,48,25,37,88,Mercurial,weekly,55,0.9,0.76,True,False,0.71,0
185,Python,1397,18,38,4,31,33,47,SVN,daily,44,0.62,0.31,False,False,0.88,0
186,Python,4008,559,6,84,31,81,70,SVN,daily,37,0.5,0.82,False,False,0.53,1
187,Python,1751,429,80,11,99,40,67,Mercurial,daily,5,0.83,0.85,False,False,0.83,0
188,Java,5062,193,35,59,83,44,98,Mercurial,weekly,18,0.92,0.55,True,True,0.52,1
189,Java,4087,682,97,62,77,59,3,Mercurial,weekly,16,0.73,0.79,True,True,0.68,1
190,C++,2412,271,88,90,44,32,19,Git,daily,95,0.86,0.27,True,False,0.61,1
191,JavaScript,667,976,100,64,85,66,20,Git,daily,31,0.91,0.13,False,False,0.66,1
192,JavaScript,2607,581,83,70,67,56,47,Git,daily,13,0.81,0.92,True,False,0.96,0
193,JavaScript,9573,909,71,85,47,4,56,Git,weekly,37,0.79,0.72,False,False,0.96,0
194,Python,3400,961,90,47,71,4,4,Git,daily,30,0.69,0.52,True,False,0.61,1
195,JavaScript,4231,744,12,13,21,65,70,Git,monthly,63,0.8,0.5,False,True,0.71,0
196,Python,6774,989,41,81,57,11,98,SVN,monthly,41,0.58,0.83,True,True,0.52,1
197,JavaScript,2817,42,12,27,52,46,56,SVN,daily,81,0.91,0.56,False,False,0.5,1
198,Python,8577,71,31,26,69,65,7,Git,daily,23,0.67,0.79,False,True,0.7,0
199,Java,5047,787,97,68,42,43,3,Git,weekly,79,0.61,0.95,True,False,0.9,0
200,Python,640,527,82,65,25,87,66,Git,weekly,100,0.87,0.45,True,True,0.91,0
201,Python,6144,953,4,45,61,72,39,Mercurial,daily,2,0.98,0.81,True,False,0.54,1
202,C++,7842,952,79,39,35,68,16,Mercurial,monthly,93,0.91,0.61,True,False,0.64,1
203,C++,1977,150,88,47,47,49,77,Git,daily,43,0.92,0.23,True,False,0.7,0
204,Java,9008,506,65,60,4,33,76,Git,weekly,96,0.59,0.19,True,True,0.52,1
205,C++,1086,576,9,30,14,67,76,SVN,daily,86,0.7,0.92,True,True,0.98,0
206,Python,8976,389,95,56,32,9,54,Git,daily,65,0.76,0.75,True,True,0.54,1
207,C++,5891,284,88,98,5,68,44,SVN,weekly,34,0.92,0.61,False,False,0.54,1
208,JavaScript,8077,936,90,29,9,67,35,SVN,weekly,44,0.85,0.67,False,False,0.95,0
209,Python,9942,46,52,5,24,62,13,Mercurial,daily,51,0.85,0.39,True,False,0.59,1
210,Python,8578,406,77,59,77,79,46,Mercurial,daily,24,0.52,0.52,False,True,0.58,1
211,Java,8661,616,87,53,76,97,15,Mercurial,daily,79,0.81,0.47,False,False,0.65,1
212,C++,2750,450,22,77,96,11,66,Git,monthly,7,0.64,0.59,False,False,0.56,1
213,Python,8694,762,85,91,62,95,93,SVN,weekly,86,0.79,0.93,False,False,0.91,0
214,C++,4910,839,45,50,16,24,16,Mercurial,weekly,83,0.83,0.91,True,False,0.64,1
215,Java,4280,967,8,75,28,37,96,SVN,daily,35,0.91,0.6,False,True,0.67,1
216,Java,7597,827,15,93,65,68,52,SVN,daily,37,0.77,0.12,False,False,0.83,0
217,Python,926,563,87,81,47,100,9,SVN,daily,64,0.82,0.41,True,False,0.87,0
218,Java,7157,481,16,96,41,27,77,Mercurial,weekly,45,0.91,0.17,False,True,0.54,1
219,C++,8751,336,19,46,89,77,57,Mercurial,monthly,9,0.98,0.54,False,True,0.91,0
220,Java,846,931,60,84,18,33,43,Mercurial,daily,85,0.92,0.52,True,True,0.63,1
221,Python,1807,228,30,68,13,54,88,Mercurial,daily,29,0.53,0.77,False,True,0.74,0
222,JavaScript,1870,37,57,26,22,66,91,Mercurial,daily,37,0.61,0.88,True,True,0.78,0
223,JavaScript,9009,48,67,10,87,48,95,Git,daily,36,0.84,0.12,False,False,0.51,1
224,Java,3351,797,34,39,16,1,15,Git,daily,53,0.69,0.93,True,True,0.91,0
225,Java,4185,796,68,85,6,41,1,Git,weekly,80,0.93,0.99,True,True,0.68,1
226,Java,1115,121,41,98,69,19,29,Mercurial,weekly,55,0.9,0.95,False,False,0.94,0
227,C++,4627,471,70,74,9,26,31,Mercurial,monthly,78,0.56,0.85,False,True,0.83,0
228,C++,4911,142,87,38,47,90,3,SVN,monthly,81,0.91,0.3,True,False,0.81,0
229,JavaScript,5449,891,93,12,81,88,16,Git,weekly,8,0.87,0.41,True,True,0.56,1
230,JavaScript,9335,547,95,2,83,11,69,Git,weekly,15,0.96,0.5,False,False,0.6,1
231,Java,1773,884,89,82,67,52,34,Mercurial,daily,79,0.65,0.27,False,True,0.64,1
232,Java,2755,350,88,99,75,76,9,SVN,monthly,88,0.87,0.68,True,True,0.87,0
233,JavaScript,2784,854,65,93,71,79,15,Git,monthly,28,0.92,0.33,True,True,0.65,1
234,JavaScript,5406,964,81,90,70,30,74,SVN,weekly,99,0.99,0.68,False,False,0.91,0
235,Python,4877,192,46,37,73,27,70,Mercurial,monthly,25,0.58,0.49,False,True,0.8,0
236,Java,3914,923,20,84,75,72,85,SVN,daily,89,0.92,0.57,False,True,0.67,1
237,Python,2848,567,75,98,28,1,29,Git,monthly,44,0.89,0.66,True,True,0.69,1
238,Java,6631,563,1,68,4,94,93,SVN,daily,85,0.95,0.43,True,True,0.81,0
239,Python,1137,736,90,87,72,10,61,SVN,weekly,95,0.57,0.5,False,False,0.53,1
240,Java,2054,277,1,34,17,34,92,Mercurial,daily,88,0.94,0.76,False,True,0.93,0
241,C++,6410,86,50,9,7,68,94,Git,daily,89,0.72,0.71,True,True,0.6,1
242,Java,6428,269,89,3,34,77,51,Git,daily,21,0.87,0.66,True,True,0.78,0
243,Python,6914,871,25,88,27,99,22,Mercurial,daily,79,0.87,0.89,False,False,0.74,0
244,JavaScript,8945,732,62,50,99,5,66,SVN,daily,17,0.79,0.48,False,True,0.85,0
245,Java,5956,773,17,11,15,33,75,SVN,monthly,96,0.69,0.42,False,True,0.79,0
246,Java,8005,367,10,8,14,36,82,SVN,weekly,92,0.71,0.89,True,True,0.97,0
247,C++,4738,662,32,98,32,26,72,Git,monthly,4,0.6,0.31,True,False,0.62,1
248,Python,9589,326,4,90,52,45,4,SVN,monthly,44,0.64,0.82,True,True,0.93,0
249,JavaScript,9530,473,76,46,26,21,17,Mercurial,monthly,99,0.57,0.61,True,False,0.99,0
250,Python,4242,43,89,22,78,55,80,SVN,daily,95,0.9,0.81,False,True,0.5,1
251,Java,4100,462,61,60,74,68,13,Git,weekly,5,0.96,0.85,True,False,0.88,0
252,Python,9082,328,83,35,36,23,33,Mercurial,monthly,96,0.81,0.68,True,False,0.88,0
253,C++,5879,763,57,31,47,39,100,Git,monthly,10,0.58,0.96,False,True,0.86,0
254,Python,9318,698,93,44,43,96,29,Git,weekly,44,0.91,0.26,True,False,0.54,1
255,JavaScript,1663,769,17,61,62,38,59,Git,monthly,73,0.79,0.42,False,True,0.93,0
256,JavaScript,7775,162,36,100,37,70,29,Mercurial,weekly,18,0.7,0.15,False,False,0.66,1
257,C++,7711,863,99,58,29,48,19,Git,daily,84,0.89,0.25,True,True,0.68,1
258,JavaScript,3130,224,26,97,4,19,57,SVN,monthly,40,0.96,0.33,True,True,0.58,1
259,C++,7709,842,74,15,94,21,25,SVN,monthly,35,0.73,0.53,True,True,0.88,0
260,Java,3312,765,39,88,61,29,77,SVN,daily,89,0.96,0.58,False,False,0.86,0
261,Python,73,496,27,14,65,7,9,Git,monthly,44,0.94,0.8,False,False,0.85,0
262,C++,7719,84,78,45,69,80,56,Mercurial,monthly,84,0.73,0.83,False,False,0.67,1
263,JavaScript,6573,276,2,63,68,80,6,SVN,weekly,72,0.55,0.56,False,True,0.82,0
264,Python,8686,609,64,43,81,15,76,Git,monthly,92,0.59,0.44,True,True,0.61,1
265,C++,7399,648,82,30,81,62,44,SVN,weekly,84,0.94,0.62,True,False,0.54,1
266,Python,9900,894,24,52,58,51,85,Mercurial,monthly,53,0.94,0.85,False,True,0.71,0
267,JavaScript,970,992,91,38,69,13,9,SVN,daily,28,0.81,0.4,False,False,0.8,0
268,Java,3974,122,41,28,100,62,13,Git,monthly,25,0.81,0.59,False,False,0.67,1
269,C++,5505,532,72,67,19,37,44,SVN,daily,100,0.51,0.98,True,False,0.65,1
270,Java,5404,165,44,7,62,77,59,Git,weekly,22,0.86,0.3,True,True,0.55,1
271,JavaScript,1978,301,27,89,89,10,55,Git,weekly,93,0.79,0.9,False,False,0.86,0
272,JavaScript,6043,309,8,26,15,42,19,Mercurial,daily,79,0.66,0.97,True,False,0.6,1
273,Java,6306,249,22,72,13,71,85,SVN,daily,47,0.95,0.28,True,True,0.86,0
274,Python,9348,718,54,64,51,10,97,SVN,weekly,44,0.71,0.82,False,False,0.75,0
275,C++,1228,960,43,39,38,70,94,Mercurial,monthly,65,0.84,0.83,False,True,0.63,1
276,Python,2424,548,15,43,76,81,72,Mercurial,daily,60,0.78,0.51,False,True,0.85,0
277,Python,7811,762,42,18,86,63,72,Git,daily,72,0.88,0.32,True,False,0.68,1
278,C++,9155,571,5,35,68,7,66,SVN,monthly,91,0.82,0.94,False,True,0.9,0
279,Python,3178,998,75,62,77,51,7,Git,monthly,62,0.67,0.73,False,False,0.91,0
280,JavaScript,2229,117,56,44,70,75,13,SVN,monthly,56,0.76,0.14,True,True,0.67,1
281,Python,6726,114,59,32,1,2,88,SVN,weekly,59,0.78,0.22,False,False,0.87,0
282,C++,6329,115,43,38,7,84,71,Git,daily,31,0.6,0.89,False,True,0.89,0
283,Python,3485,44,74,59,49,91,56,SVN,daily,73,0.53,0.52,False,False,0.6,1
