,age,gender,time_of_day,day_of_week,location_type,crime_type,witness_present,police_response_time,alcohol_involved,prior_arrests,weapon_used,property_damage,reported_by,incident_duration,label
81,41,0,2,4,0,0,1,14,1,5,0,5741,1,32,1
82,43,2,20,1,0,3,0,55,0,0,0,277,2,35,0
83,77,0,7,5,0,3,1,51,0,4,1,65,2,19,1
84,58,0,15,2,1,0,0,46,1,2,0,4262,2,14,1
85,46,0,1,3,1,1,1,55,0,2,0,5704,0,48,1
86,32,1,5,3,0,1,1,16,1,5,0,8594,2,86,1
87,62,1,20,5,2,0,1,60,0,3,1,7989,1,81,1
88,82,2,11,1,2,2,0,20,0,1,0,6255,0,68,0
89,88,0,4,4,1,3,0,45,0,0,0,7441,0,45,0
90,26,0,1,3,1,2,0,36,1,3,0,4692,0,104,1
91,18,2,15,1,0,1,1,19,0,3,1,4419,0,19,0
92,25,0,4,5,2,1,1,31,1,5,0,7960,0,64,1
93,80,0,14,0,0,2,0,32,0,0,0,6078,0,101,0
94,28,1,11,4,1,0,0,21,0,2,0,1437,0,66,1
95,98,2,3,2,2,2,0,50,0,1,0,8620,2,79,0
96,25,2,14,3,2,2,1,54,0,2,0,7032,1,66,1
97,52,2,10,1,1,3,0,6,0,3,0,5731,1,75,1
98,52,2,15,0,0,3,1,40,1,1,0,3378,2,45,0
99,50,1,22,2,0,2,1,54,0,4,1,8584,2,87,1
100,22,1,5,6,2,2,0,11,0,3,1,6347,0,74,1
101,58,0,13,1,1,1,0,17,0,2,0,6401,0,67,1
102,45,0,17,1,2,3,0,19,0,2,1,6629,2,69,1
103,24,0,11,2,1,3,0,29,0,5,0,4541,0,3,0
104,90,0,10,0,0,1,0,27,0,2,0,7876,1,38,1
105,89,1,12,6,1,0,0,26,0,0,0,8533,1,77,0
106,29,2,20,5,0,3,1,30,0,3,0,8324,0,42,1
107,51,1,22,0,1,3,0,37,0,1,0,264,0,83,0
108,50,0,10,4,2,0,0,15,0,2,0,9877,0,40,1
109,65,1,22,3,0,3,1,14,0,5,0,1434,1,50,1
110,40,2,15,2,2,3,1,29,0,5,0,5327,0,35,1
111,79,2,14,5,2,0,0,41,0,2,0,5097,2,24,1
112,54,1,20,6,0,0,0,52,1,0,0,1660,0,88,0
113,61,1,14,2,0,2,0,47,1,5,1,5692,2,17,1
114,52,1,3,2,2,1,1,57,1,1,0,2354,0,40,0
115,82,0,10,0,2,1,1,42,0,3,0,8457,0,74,1
116,64,1,18,3,2,0,1,45,1,4,0,6461,1,66,1
117,95,1,14,4,2,0,0,49,1,0,0,9328,2,44,0
118,20,1,3,1,0,3,1,28,1,5,1,7044,2,23,0
119,18,2,20,1,0,2,0,44,0,3,0,5497,2,6,0
120,22,2,12,2,2,2,0,50,0,4,0,4549,1,66,0
121,31,0,21,3,1,0,0,60,1,2,0,6334,2,21,1
122,44,0,18,6,1,3,0,37,0,2,0,6010,1,119,1
123,26,2,1,6,0,3,0,21,0,1,1,4926,0,120,0
124,96,2,13,5,2,1,1,28,0,4,0,9582,0,35,1
125,32,2,3,0,2,1,1,41,0,2,0,9304,2,113,1
126,59,1,15,3,0,3,0,6,0,2,0,6065,0,29,1
127,94,1,20,3,1,1,0,36,0,5,0,2179,0,7,1
128,68,2,19,0,1,0,0,28,0,1,0,4967,2,93,0
129,80,1,13,6,1,3,0,13,0,3,0,634,0,53,1
130,69,1,14,6,0,1,0,8,0,2,0,3631,2,37,1
131,21,0,2,6,1,2,1,21,0,0,0,9591,2,23,0
132,40,2,7,2,0,3,0,21,0,0,1,4677,0,97,0
133,32,2,15,3,0,3,0,57,0,3,0,2218,0,8,1
134,60,1,9,1,2,2,0,54,1,4,0,1389,0,76,1
135,46,2,3,0,1,0,1,52,0,1,0,4276,0,110,0
136,53,0,17,6,0,2,1,34,0,5,0,1249,0,48,1
137,30,0,1,5,1,3,1,44,0,0,0,7640,1,10,0
138,49,0,16,6,1,0,1,15,1,0,0,5712,0,79,1
139,88,2,12,6,2,1,0,25,0,3,0,1245,1,117,1
140,76,2,3,4,1,1,0,25,0,4,0,8245,2,24,1
141,45,2,10,2,2,1,1,22,0,4,1,442,0,90,1
142,83,2,6,0,0,3,0,59,0,3,0,6976,0,47,1
143,59,2,11,4,1,2,0,33,1,0,0,4675,0,106,0
144,62,0,9,4,0,0,0,28,1,1,0,7953,2,53,0
145,79,1,6,5,1,1,0,14,0,0,1,4377,1,39,0
146,74,0,12,3,0,0,0,49,0,4,1,7058,1,67,1
147,23,2,6,5,1,3,0,21,0,5,0,822,0,66,0
148,45,0,23,3,1,1,1,22,0,0,0,2939,0,6,0
149,45,2,16,3,1,3,0,46,0,1,0,7096,0,21,0
150,61,2,9,0,1,2,0,52,0,2,0,5765,0,73,1
151,47,0,9,6,1,3,0,24,0,0,1,1031,2,74,0
152,79,2,23,0,1,3,0,41,0,3,0,562,0,36,1
153,92,1,3,2,1,2,0,49,1,2,0,340,2,3,1
154,79,2,19,3,1,0,0,22,0,3,0,4567,0,105,1
155,18,1,3,4,1,2,0,21,1,3,0,7862,1,88,0
156,44,1,21,6,0,2,0,13,1,3,0,2296,1,86,1
157,79,2,6,1,2,3,0,18,0,0,0,234,0,113,0
158,94,0,21,2,1,0,0,53,1,4,0,5202,0,78,1
159,20,1,0,0,2,1,0,33,0,2,0,9308,2,42,0
160,87,0,11,5,1,2,0,35,0,1,0,9609,0,45,0
161,89,1,23,2,1,0,0,8,0,4,0,1291,0,44,1
162,44,2,12,2,0,2,1,22,1,0,0,4727,0,91,0
163,26,2,9,6,0,2,0,24,0,3,0,8720,1,33,1
164,79,1,14,2,2,2,0,60,0,1,0,2939,2,60,0
165,54,2,12,2,0,2,0,60,1,2,1,5435,1,86,1
166,68,1,22,1,0,3,1,51,0,4,1,6981,2,93,1
167,61,2,21,5,2,0,1,47,0,5,1,5392,1,83,1
168,41,0,21,5,0,0,1,48,1,4,0,9521,0,83,1
169,96,2,20,5,1,0,1,13,1,1,0,7972,1,70,1
170,76,0,21,3,2,2,0,17,1,0,0,1233,1,109,0
171,49,2,8,4,2,3,1,19,1,2,1,9945,2,83,1
172,69,0,8,5,1,2,0,31,0,1,1,2800,2,77,1
173,79,2,14,2,0,2,0,19,1,3,1,2775,1,26,1
174,75,0,9,2,2,0,0,32,0,2,0,6044,2,86,1
175,69,1,23,5,2,2,0,41,0,4,1,3487,2,21,1
176,29,1,9,6,1,1,1,59,0,1,0,7383,2,100,0
177,56,0,7,5,1,2,0,23,0,4,0,3850,2,120,1
178,19,2,23,2,0,1,1,30,1,4,0,4997,2,2,0
179,20,0,15,3,2,2,0,56,1,4,0,890,1,47,0
180,73,2,16,0,0,3,0,30,0,0,0,5920,2,108,0
181,98,1,4,0,0,3,0,29,0,4,0,1188,0,30,1
182,76,2,3,5,1,0,0,30,0,3,0,5644,1,27,1
183,19,1,17,1,2,2,1,30,1,3,0,740,1,71,0
184,19,2,23,5,2,1,0,50,1,2,1,1369,1,20,0
185,71,2,18,6,2,1,0,32,0,5,0,9581,2,50,1
186,18,2,3,5,1,2,1,53,0,4,0,2000,0,95,0
187,36,0,6,0,1,1,0,22,0,4,1,1471,2,23,1
188,19,0,9,2,1,3,1,36,0,1,1,1536,1,13,0
189,70,1,17,5,1,1,0,57,1,0,0,318,1,81,0
190,61,1,18,2,1,0,0,7,0,5,0,5153,1,4,1
191,49,0,3,2,2,3,0,6,0,2,0,1894,1,14,1
192,87,1,9,1,0,3,0,37,0,5,0,7991,2,20,1
193,49,0,0,2,2,3,0,46,0,4,0,9467,0,13,1
194,85,2,22,0,0,2,1,23,1,1,1,8592,0,3,1
195,72,1,17,3,1,2,1,21,0,0,0,5935,1,90,0
196,92,1,4,3,0,3,1,48,0,2,1,723,0,90,1
197,73,0,14,4,2,2,0,37,0,5,1,2329,1,82,1
198,34,1,16,6,2,1,0,16,0,2,1,9327,1,96,1
199,55,1,2,5,0,2,0,53,0,4,0,2770,0,78,1
200,41,2,11,6,1,2,0,60,1,2,1,7545,1,47,1
201,86,1,1,0,1,3,1,7,0,1,0,4846,0,3,1
202,87,2,0,2,2,0,0,47,0,2,0,267,1,1,1
203,28,0,22,3,0,0,0,53,0,3,0,569,0,90,1
204,33,1,20,6,1,0,0,59,0,1,0,1973,1,24,0
205,90,2,16,0,1,1,1,30,0,5,0,8737,0,113,1
206,76,0,21,3,2,2,0,39,0,0,0,2822,1,35,0
207,87,1,15,2,1,0,0,12,1,0,0,4460,1,14,0
208,97,0,4,6,0,3,0,56,1,4,0,270,1,67,1
209,20,1,14,3,2,0,0,40,0,4,0,7641,0,13,0
210,37,0,2,5,2,0,0,57,0,3,0,8930,2,47,1
211,76,0,6,5,0,2,0,58,0,5,1,6680,1,50,1
212,53,2,10,4,2,2,1,11,0,0,0,1257,1,78,1
213,36,0,9,4,1,2,0,50,1,0,0,8250,0,85,0
214,84,1,8,3,1,1,1,50,0,0,0,5370,1,26,0
215,36,1,13,0,0,1,1,40,0,0,0,4858,1,3,0
216,37,2,12,5,1,0,1,20,1,2,0,8581,1,51,1
217,88,1,1,0,0,2,0,28,1,5,0,8910,1,40,1
218,69,1,2,0,0,0,0,58,0,1,1,6999,2,68,0
219,50,1,6,3,1,3,1,5,0,1,0,120,2,36,1
220,57,0,20,0,0,3,1,53,0,3,0,6908,1,51,1
221,56,0,17,5,1,2,0,29,0,2,0,2303,1,107,1
222,99,1,2,2,2,2,1,14,1,0,1,4861,1,1,1
223,18,2,9,4,2,3,0,58,1,0,0,2911,2,104,0
224,28,0,21,2,0,2,0,20,1,4,0,8991,2,111,1
225,74,2,6,0,1,1,0,20,0,4,0,7236,0,33,1
226,67,1,8,2,1,1,0,12,1,3,0,5565,0,7,1
227,40,1,16,5,2,2,0,33,0,0,0,6531,1,117,0
228,48,0,10,5,2,3,1,43,0,3,0,1109,1,116,1
229,59,1,6,0,1,0,0,32,0,2,0,6929,2,52,1
230,24,0,23,3,0,2,0,10,0,1,0,1250,1,120,0
231,33,1,13,2,2,2,0,20,1,0,0,8177,1,11,0
232,77,1,18,3,0,0,0,24,0,5,0,1649,2,27,1
233,19,0,3,3,0,2,0,20,0,2,0,7351,2,14,0
234,18,0,5,1,2,0,1,11,0,0,0,5911,2,86,1
235,65,0,9,0,0,3,1,45,0,5,1,9537,2,80,1
236,29,1,6,4,0,1,1,18,0,4,1,2956,0,46,1
237,86,1,12,5,1,3,1,47,0,3,0,5828,2,76,1
238,54,2,13,5,0,1,0,30,1,4,0,4994,2,113,1
239,49,0,3,0,1,0,0,30,0,1,0,6436,1,110,0
240,26,1,7,6,2,1,0,18,0,4,0,8676,1,10,1
241,36,1,4,6,2,3,0,11,0,0,0,7614,1,24,0
242,65,0,0,6,1,1,1,37,1,5,1,8994,0,61,1
243,97,2,3,4,2,0,0,30,0,4,0,1715,2,110,1
244,20,0,2,5,0,1,0,49,0,0,0,8150,2,18,0
245,37,2,8,0,0,2,1,24,0,1,0,3483,0,86,0
246,41,1,7,5,0,3,1,7,0,5,0,7675,2,9,1
247,71,2,0,3,2,2,1,56,0,4,0,1757,1,17,1
248,50,1,5,2,0,0,0,8,1,3,0,1809,0,102,1
249,41,0,8,2,2,1,0,30,0,3,0,5539,2,104,1
250,92,0,6,5,0,2,0,15,0,5,1,6048,0,58,1
251,89,0,3,1,1,2,0,6,1,3,0,9862,0,13,1
252,53,2,12,4,2,1,0,18,0,4,1,1151,2,50,1
253,55,1,16,6,2,1,0,48,0,4,1,5492,1,101,1
254,42,0,1,4,0,3,1,34,0,5,0,6711,2,6,1
255,35,0,4,4,2,2,0,53,0,4,0,6302,2,85,1
256,99,1,11,3,2,2,1,16,0,0,0,4747,1,51,0
257,83,0,20,4,1,0,1,30,0,1,1,8402,2,36,0
258,71,1,7,2,1,3,0,48,1,3,0,4681,2,71,1
259,52,1,5,3,0,0,1,37,1,0,0,2507,2,100,0
260,97,1,7,0,1,2,0,17,0,5,0,2963,0,25,1
261,78,1,17,4,0,0,0,18,0,3,0,3428,0,11,1
262,58,1,2,4,0,2,1,28,0,0,1,7494,0,44,1
263,50,2,21,0,0,2,0,38,1,4,0,3955,2,14,1
264,85,0,11,4,2,0,1,48,0,5,0,3705,1,109,1
265,50,2,2,0,1,0,0,30,0,5,0,4038,0,29,1
266,31,0,21,3,0,1,0,25,1,3,1,9244,1,74,1
267,38,2,5,2,1,1,0,32,1,4,0,713,2,50,1
268,65,1,1,0,0,1,0,52,1,3,0,7260,0,112,1
269,37,0,22,1,1,2,0,40,0,2,0,7011,2,5,1
270,25,0,11,0,1,0,1,44,1,0,0,8879,1,72,0
271,24,2,1,4,0,3,1,6,1,2,0,8521,0,110,1
272,84,2,5,6,2,2,1,46,0,0,0,1746,0,69,0
273,34,0,16,6,1,3,0,13,0,1,0,1207,0,88,0
274,50,2,2,3,2,0,1,27,0,5,0,784,0,104,1
275,65,2,1,5,2,2,1,19,1,3,0,2696,1,57,1
276,93,2,22,3,0,3,1,17,0,1,0,7073,0,26,0
277,76,1,19,5,0,3,0,27,0,1,0,5036,2,6,0
278,39,1,7,6,0,1,1,21,0,5,1,7127,0,16,1
279,47,2,21,6,1,1,1,52,1,5,1,3718,1,60,1
280,55,2,11,0,0,1,0,6,0,0,0,5775,0,100,0
281,68,1,3,2,0,2,1,24,0,2,0,7910,1,12,1
282,71,1,4,1,1,0,0,24,0,4,0,2693,1,75,1
283,25,0,12,3,1,0,0,50,1,0,0,625,2,3,0
284,44,0,14,4,0,1,0,7,0,4,0,3708,0,63,1
285,44,1,22,5,0,1,0,59,0,1,0,6859,0,108,0
286,38,2,15,4,0,1,0,16,1,4,0,8953,0,64,1
287,47,2,9,2,0,3,1,44,0,2,1,7692,2,62,1
288,45,2,22,5,2,1,0,6,1,0,0,6398,2,101,0
289,81,2,15,3,2,3,1,40,0,5,0,7252,1,6,1
290,86,0,11,0,0,0,1,18,0,2,0,1555,1,19,1
291,78,1,16,4,2,2,0,20,0,2,0,8867,1,18,1
292,65,2,15,2,1,2,1,23,0,0,0,4187,2,80,0
293,36,0,11,3,2,2,1,38,0,5,0,7767,2,87,1
294,21,2,7,6,2,2,1,48,0,2,0,36,2,43,0
295,52,1,19,6,0,3,1,50,1,5,0,1787,1,101,1
296,81,0,2,3,2,3,1,10,0,3,1,6283,2,73,1
297,66,1,15,3,2,1,1,17,0,3,0,8060,1,3,1
298,34,1,12,3,2,3,0,40,0,3,0,8065,1,72,1
299,61,0,22,5,2,1,1,26,1,4,0,3880,0,38,1
300,47,0,18,3,1,1,1,22,0,2,0,5932,0,68,1
301,63,0,7,4,0,2,0,16,0,0,0,8328,0,76,0
302,23,0,21,2,0,3,0,56,0,0,0,6333,1,44,0
303,54,0,4,5,1,3,1,58,0,4,1,5759,0,95,1
304,41,0,19,3,2,1,0,34,0,0,1,6485,0,89,0
305,63,0,7,1,1,1,1,57,1,3,0,5067,0,117,1
306,70,2,23,1,2,0,0,55,0,2,1,661,2,80,1
307,77,1,11,2,1,0,0,44,1,0,0,7973,1,63,0
308,80,0,0,6,0,1,0,11,0,0,0,6386,0,42,0
309,49,2,20,0,0,0,0,36,0,1,0,7887,2,64,0
310,50,2,19,0,0,0,1,52,1,1,1,414,2,54,0
311,84,2,5,6,2,1,1,23,0,1,0,6850,2,78,0
312,35,1,21,5,2,1,1,10,1,2,0,8534,0,77,1
313,42,0,17,5,1,3,0,24,0,3,0,2729,2,105,1
314,71,2,7,5,1,1,0,31,1,5,0,3897,1,71,1
315,75,1,6,0,0,1,1,57,0,3,0,2169,2,76,1
316,84,1,0,1,2,2,1,47,0,3,1,1878,2,37,1
317,63,1,20,0,1,3,0,41,0,2,0,6454,2,114,1
318,41,2,15,4,2,3,0,52,0,2,0,4570,2,4,1
319,49,0,11,3,2,3,0,11,0,1,0,1515,1,2,0
320,64,2,5,5,0,2,1,9,0,0,0,574,0,99,1
321,40,2,19,1,0,1,1,15,0,4,0,2867,1,44,1
322,83,0,1,2,2,3,0,19,0,4,0,3544,1,67,1
323,44,0,13,2,2,3,0,7,1,5,0,4477,0,68,1
324,19,0,3,3,2,0,1,9,0,0,0,71,2,102,1
325,34,1,0,1,2,3,0,27,0,5,0,2980,0,76,1
326,50,0,22,0,0,1,0,57,0,1,0,9309,0,83,0
327,26,2,17,0,1,1,0,41,0,5,0,5492,1,74,1
328,60,0,12,4,0,0,0,13,0,0,0,9551,0,62,0
329,65,2,1,4,1,3,0,19,0,0,1,4759,2,1,0
330,56,1,8,0,2,3,1,7,1,4,0,9707,1,17,1
331,59,2,20,2,1,3,1,33,1,1,0,8084,2,16,0
332,43,2,1,5,0,2,1,10,0,2,0,39,1,9,1
333,67,0,8,2,0,3,1,21,0,5,0,9574,2,53,1
334,42,0,0,4,2,1,0,30,0,4,1,5373,0,73,1
335,41,2,10,3,0,1,1,25,0,5,0,7565,0,59,1
336,30,0,2,0,2,2,0,12,0,5,0,1900,0,119,1
337,77,1,19,4,0,2,1,25,0,2,0,2217,2,9,1
338,24,1,22,4,0,3,1,15,0,1,0,4796,1,12,1
339,74,0,3,5,2,0,0,42,0,0,1,4606,1,119,0
340,53,1,17,0,1,2,0,12,0,3,0,1283,1,41,1
341,62,0,22,5,0,2,0,46,1,5,0,8775,0,15,1
342,37,2,5,0,1,3,0,28,0,3,0,8650,2,66,1
343,82,2,2,5,0,3,0,39,1,1,0,815,1,75,0
344,25,1,21,2,0,2,1,59,1,3,1,2511,2,11,1
345,33,0,10,3,0,0,1,18,0,5,0,246,1,8,1
346,31,0,14,3,0,2,0,59,0,2,0,4825,0,55,1
347,93,1,21,0,1,3,0,18,0,3,0,6516,2,96,1
348,32,2,4,1,1,3,0,14,1,1,0,416,1,6,0
349,83,1,19,6,0,2,1,16,1,1,0,6702,1,53,0
350,49,2,9,4,0,0,0,42,0,2,0,3717,1,20,1
351,80,0,11,4,1,2,0,48,0,3,0,107,1,39,1
352,68,2,14,0,2,2,0,59,1,3,0,9030,0,99,1
353,42,1,16,5,2,3,0,50,0,0,0,4513,1,72,0
354,75,0,9,1,1,0,0,38,1,4,1,1421,1,114,1
355,80,1,5,2,0,1,1,45,1,1,0,7283,0,113,0
356,79,1,17,5,0,0,0,14,0,0,0,255,1,107,0
357,39,2,12,5,2,2,1,21,0,1,0,7248,2,34,0
358,75,1,2,0,2,2,0,21,0,0,0,9029,2,57,0
359,75,2,23,0,1,2,1,7,0,4,0,2962,1,117,1
360,66,0,9,4,2,0,1,35,0,0,1,2282,0,120,0
361,69,2,13,0,1,3,0,55,1,1,0,8744,0,19,0
362,59,0,5,0,2,2,0,5,1,3,0,8372,0,71,1
363,87,2,2,0,2,2,0,16,1,1,0,1477,1,31,0
364,32,1,15,4,2,0,1,43,0,5,0,8762,1,82,1
365,71,2,6,2,0,1,0,8,1,2,0,4952,2,40,1
366,77,2,19,2,0,1,1,46,1,2,0,5880,0,14,1
367,25,0,13,6,0,3,0,17,0,5,0,9919,1,103,1
368,70,1,8,6,2,3,1,38,0,2,0,5592,1,117,1
369,77,2,14,0,1,2,1,46,0,2,0,7091,1,100,1
370,22,1,20,6,1,0,1,25,1,4,0,591,0,81,0
371,85,2,2,4,1,2,0,26,0,3,0,6277,0,37,1
372,23,2,1,2,1,3,0,8,1,3,0,2260,2,44,0
373,64,1,1,5,0,0,1,22,0,1,0,347,0,9,0
374,72,2,2,2,0,0,0,9,1,5,0,8357,1,58,1
375,57,1,17,2,2,3,0,23,0,0,0,5032,2,20,0
376,69,2,13,4,2,1,0,6,0,1,0,4443,0,109,0
377,33,0,19,6,1,1,0,16,0,1,0,8774,0,92,0
378,30,1,17,5,0,0,0,21,0,1,0,6869,0,50,0
379,47,2,9,4,1,2,0,14,1,1,0,5696,0,20,0
380,36,2,1,0,2,1,0,38,0,3,0,3038,1,105,1
381,34,0,21,3,2,2,1,10,0,0,0,2845,0,36,1
382,80,1,0,2,1,1,1,12,0,1,1,7864,1,117,1
383,36,2,3,3,2,1,1,55,0,3,0,6609,1,27,1
384,75,0,13,4,1,2,1,15,0,1,0,1265,1,72,1
385,72,2,0,4,0,3,0,16,0,2,0,2274,2,32,1
386,79,1,13,4,1,1,0,13,1,1,0,2470,1,1,0
387,40,2,15,3,0,1,0,6,0,5,0,2577,0,17,1
388,26,2,21,4,0,2,0,12,1,5,0,3660,2,9,1
389,29,2,13,0,2,3,1,15,1,1,0,1068,0,84,1
390,18,2,19,4,2,1,0,57,0,4,0,5591,1,45,0
391,75,0,2,1,2,1,0,40,0,2,0,5974,0,96,1
392,18,0,2,6,1,3,0,14,0,0,0,4829,2,66,0
393,51,1,8,3,1,1,0,25,1,1,0,1950,2,32,0
394,65,0,5,1,2,3,1,24,1,0,0,8283,0,45,0
395,18,0,12,4,1,3,0,52,0,2,0,3093,0,9,0
396,33,1,20,0,2,2,1,12,1,1,0,5311,0,30,1
397,78,0,1,2,1,0,0,40,0,4,0,1387,2,84,1
398,81,0,7,5,0,3,0,33,1,3,0,4274,1,38,1
399,80,1,20,6,0,2,1,46,1,4,0,2285,0,60,1
400,86,1,1,5,2,0,0,16,0,4,0,3206,1,1,1
401,39,1,3,4,1,1,1,18,0,3,1,2924,2,5,1
402,84,2,14,6,1,0,1,52,0,3,1,7045,0,63,1
403,93,2,3,6,0,3,1,58,0,5,0,8471,0,99,1
404,43,1,12,0,0,3,1,54,1,3,0,1618,2,36,1
405,33,1,11,6,2,3,0,25,0,1,0,8562,0,65,0
406,68,1,12,3,0,3,1,26,0,0,0,5896,1,78,0
407,74,2,13,1,2,3,0,25,0,5,0,7843,2,73,1
408,46,2,19,1,0,2,1,48,1,5,0,9895,2,94,1
409,95,0,17,1,0,3,1,54,0,0,1,7063,0,24,0
410,86,0,5,3,1,2,1,34,0,5,0,8495,2,4,1
411,64,1,10,5,0,1,1,43,0,3,0,1348,0,114,1
412,79,2,1,0,0,3,0,24,1,4,0,5556,0,78,1
413,86,2,22,6,2,3,1,28,1,2,1,5289,2,89,1
414,93,2,18,3,0,0,1,27,0,3,0,2422,0,68,1
415,33,1,18,1,2,1,1,11,0,4,0,3628,1,25,1
416,65,0,4,4,0,3,1,13,0,4,0,2428,1,74,1
417,56,1,18,2,0,3,0,5,0,5,1,3033,0,99,1
418,50,0,1,6,2,1,0,30,0,1,0,6157,1,119,0
419,40,0,9,3,1,2,0,42,1,1,1,8860,0,7,1
