,Age,Gender,Race,Income Level,Parents' Education,School Type,Learning Disability,Access to Technology,Student Motivation,Teacher Evaluation,label
176,13.88088088088088,female,white,high,associate's degree,public,no,yes,low,fair,0
177,13.885885885885886,female,other,high,high school diploma,public,no,yes,high,poor,0
178,13.89089089089089,male,black,medium,high school diploma,private,no,yes,low,excellent,0
179,13.895895895895896,male,white,medium,Bachelor's degree,private,yes,yes,medium,poor,1
180,13.9009009009009,male,other,low,Bachelor's degree,private,yes,yes,high,good,1
181,13.905905905905906,female,other,medium,Bachelor's degree,private,no,yes,low,poor,1
182,13.91091091091091,male,white,low,Bachelor's degree,private,yes,no,low,fair,1
183,13.915915915915916,male,white,high,high school diploma,private,yes,no,medium,excellent,0
184,13.92092092092092,female,white,high,Bachelor's degree,private,yes,no,low,good,1
185,13.925925925925926,female,white,high,Bachelor's degree,public,yes,no,low,excellent,0
186,13.93093093093093,female,white,medium,Bachelor's degree,private,no,no,low,fair,1
187,13.935935935935936,female,white,medium,high school diploma,private,no,yes,high,fair,0
188,13.94094094094094,male,white,low,Bachelor's degree,public,no,yes,medium,excellent,0
189,13.945945945945946,female,white,high,associate's degree,public,yes,no,medium,good,0
190,13.95095095095095,female,other,high,high school diploma,private,no,yes,medium,fair,0
191,13.955955955955956,male,black,high,Bachelor's degree,private,yes,yes,medium,fair,1
192,13.96096096096096,female,other,low,high school diploma,private,no,no,low,good,0
193,13.965965965965966,male,other,low,associate's degree,private,no,yes,high,excellent,1
194,13.97097097097097,male,other,low,high school diploma,public,no,yes,medium,poor,0
195,13.975975975975976,female,other,high,associate's degree,public,yes,no,high,good,1
196,13.98098098098098,male,black,medium,associate's degree,private,no,yes,low,poor,1
197,13.985985985985986,male,other,medium,associate's degree,private,yes,no,high,poor,1
198,13.99099099099099,female,other,low,high school diploma,public,no,no,medium,excellent,0
199,13.995995995995996,male,other,low,Bachelor's degree,public,yes,no,high,poor,0
200,14.001001001001,female,white,low,Bachelor's degree,private,no,yes,low,good,1
201,14.006006006006006,male,other,low,associate's degree,private,no,no,medium,fair,1
202,14.01101101101101,male,white,low,associate's degree,private,no,no,low,fair,1
203,14.016016016016016,male,black,high,high school diploma,public,no,yes,medium,fair,0
204,14.02102102102102,female,other,high,high school diploma,private,yes,yes,high,excellent,1
205,14.026026026026026,female,other,medium,high school diploma,public,yes,yes,low,excellent,0
206,14.03103103103103,male,white,low,associate's degree,private,no,no,low,poor,1
207,14.036036036036036,male,white,low,high school diploma,private,no,no,low,good,0
208,14.04104104104104,female,other,medium,associate's degree,public,yes,yes,high,fair,0
209,14.046046046046046,male,black,medium,high school diploma,private,no,yes,low,excellent,0
210,14.05105105105105,male,other,low,high school diploma,public,yes,no,high,poor,0
211,14.056056056056056,female,black,medium,high school diploma,public,yes,no,medium,fair,0
212,14.06106106106106,male,black,medium,high school diploma,public,yes,yes,medium,poor,0
213,14.066066066066066,female,white,high,associate's degree,private,no,no,medium,fair,1
214,14.07107107107107,male,black,medium,Bachelor's degree,private,no,no,high,poor,1
215,14.076076076076076,male,other,medium,associate's degree,private,no,yes,medium,poor,1
216,14.08108108108108,female,black,high,Bachelor's degree,private,no,no,high,excellent,1
217,14.086086086086086,male,white,high,Bachelor's degree,private,no,yes,low,fair,1
218,14.09109109109109,female,other,low,high school diploma,public,yes,yes,low,poor,0
219,14.096096096096096,female,black,medium,associate's degree,private,yes,yes,high,excellent,1
220,14.1011011011011,male,other,high,high school diploma,private,yes,no,low,good,0
221,14.106106106106106,male,black,high,Bachelor's degree,public,no,no,low,good,0
222,14.11111111111111,female,other,low,high school diploma,public,no,yes,low,good,0
223,14.116116116116116,female,other,low,associate's degree,public,no,no,medium,poor,0
224,14.12112112112112,female,white,medium,associate's degree,private,no,no,low,fair,1
225,14.126126126126126,female,white,low,Bachelor's degree,private,no,yes,medium,poor,1
226,14.13113113113113,male,other,low,associate's degree,public,no,no,medium,poor,0
227,14.136136136136136,male,black,medium,high school diploma,public,no,no,low,fair,0
228,14.14114114114114,female,black,low,associate's degree,private,no,no,medium,poor,1
229,14.146146146146146,male,white,low,Bachelor's degree,private,no,yes,low,good,1
230,14.15115115115115,female,other,medium,high school diploma,private,yes,no,medium,fair,0
231,14.156156156156156,female,other,low,Bachelor's degree,private,no,yes,low,fair,1
232,14.16116116116116,male,white,medium,high school diploma,public,yes,yes,medium,excellent,0
233,14.166166166166166,female,black,high,Bachelor's degree,private,no,yes,medium,fair,1
234,14.17117117117117,male,white,medium,associate's degree,private,yes,yes,high,poor,1
235,14.176176176176176,female,white,medium,associate's degree,private,yes,yes,high,excellent,1
236,14.18118118118118,male,black,low,high school diploma,private,no,yes,high,fair,0
237,14.186186186186186,female,black,high,high school diploma,private,yes,yes,high,excellent,1
238,14.19119119119119,female,other,high,Bachelor's degree,public,yes,no,low,fair,0
239,14.196196196196196,male,black,medium,associate's degree,private,no,yes,high,good,1
240,14.2012012012012,female,other,high,Bachelor's degree,public,no,no,low,fair,0
241,14.206206206206206,female,black,medium,Bachelor's degree,public,no,no,high,excellent,1
242,14.21121121121121,male,black,low,associate's degree,private,yes,no,medium,poor,1
243,14.216216216216216,female,other,medium,associate's degree,public,yes,no,low,excellent,0
244,14.22122122122122,male,other,low,associate's degree,private,yes,no,medium,excellent,1
245,14.226226226226226,male,other,high,associate's degree,public,yes,yes,high,good,1
246,14.23123123123123,female,white,high,associate's degree,private,yes,no,high,excellent,1
247,14.236236236236236,male,white,low,high school diploma,public,no,no,low,poor,0
248,14.24124124124124,male,black,high,high school diploma,private,no,yes,medium,excellent,0
249,14.246246246246246,female,other,medium,associate's degree,private,no,yes,high,excellent,1
250,14.25125125125125,male,other,high,high school diploma,public,yes,no,medium,excellent,0
251,14.256256256256256,male,black,high,Bachelor's degree,public,yes,yes,low,excellent,0
252,14.26126126126126,male,white,low,associate's degree,private,yes,yes,low,excellent,1
253,14.266266266266266,male,black,low,high school diploma,public,no,yes,high,poor,0
254,14.27127127127127,female,other,low,Bachelor's degree,private,yes,no,medium,poor,1
255,14.276276276276276,female,black,low,Bachelor's degree,public,no,no,low,good,0
256,14.28128128128128,female,black,high,high school diploma,public,no,no,low,excellent,0
257,14.286286286286286,male,white,low,associate's degree,public,yes,no,high,excellent,1
258,14.29129129129129,female,black,medium,high school diploma,private,no,no,medium,good,0
259,14.296296296296296,female,black,low,associate's degree,public,yes,no,high,fair,0
260,14.3013013013013,male,black,high,high school diploma,public,yes,no,low,excellent,0
261,14.306306306306306,male,other,medium,associate's degree,private,no,yes,medium,excellent,1
262,14.31131131131131,female,other,low,high school diploma,public,no,yes,high,good,1
263,14.316316316316316,male,black,high,high school diploma,private,yes,yes,high,excellent,1
264,14.32132132132132,female,other,high,Bachelor's degree,public,yes,yes,medium,fair,0
265,14.326326326326326,male,white,low,Bachelor's degree,private,no,no,low,excellent,1
266,14.33133133133133,male,white,high,associate's degree,public,yes,no,medium,excellent,0
267,14.336336336336336,female,black,medium,associate's degree,private,no,no,medium,fair,1
268,14.34134134134134,male,white,low,associate's degree,private,no,no,low,fair,1
269,14.346346346346346,male,black,low,high school diploma,public,no,no,low,poor,0
270,14.35135135135135,male,other,medium,Bachelor's degree,public,no,yes,high,excellent,1
271,14.356356356356356,male,other,low,associate's degree,public,yes,yes,medium,excellent,0
272,14.36136136136136,female,other,low,associate's degree,public,yes,yes,low,excellent,0
273,14.366366366366366,male,other,high,Bachelor's degree,public,yes,no,medium,poor,0
274,14.37137137137137,female,white,low,high school diploma,public,no,yes,medium,good,0
275,14.376376376376376,female,white,high,associate's degree,public,yes,no,high,fair,0
276,14.381381381381381,male,other,medium,high school diploma,public,yes,no,low,fair,0
277,14.386386386386386,male,other,low,Bachelor's degree,public,no,no,high,good,1
278,14.391391391391391,male,black,low,high school diploma,public,yes,no,medium,good,0
279,14.396396396396396,male,white,low,high school diploma,private,yes,yes,medium,fair,0
280,14.401401401401401,male,black,low,high school diploma,public,yes,no,medium,excellent,0
281,14.406406406406406,male,white,medium,Bachelor's degree,private,yes,yes,low,fair,1
282,14.411411411411411,male,black,medium,associate's degree,private,yes,no,high,fair,1
283,14.416416416416416,female,other,high,associate's degree,public,no,yes,high,excellent,1
284,14.421421421421421,female,white,high,associate's degree,private,yes,yes,medium,fair,1
285,14.426426426426426,female,black,high,associate's degree,private,no,no,medium,poor,1
286,14.431431431431431,female,other,high,Bachelor's degree,public,no,no,low,excellent,0
287,14.436436436436436,male,black,medium,Bachelor's degree,public,no,yes,medium,fair,0
288,14.441441441441441,female,black,low,associate's degree,public,yes,yes,low,excellent,0
289,14.446446446446446,female,black,high,associate's degree,private,no,no,high,poor,1
290,14.451451451451451,female,black,low,Bachelor's degree,public,yes,no,low,excellent,0
291,14.456456456456456,male,white,high,high school diploma,public,no,no,medium,poor,0
292,14.461461461461461,female,other,medium,associate's degree,private,no,yes,high,fair,1
293,14.466466466466466,male,other,high,Bachelor's degree,private,yes,yes,medium,fair,1
294,14.471471471471471,female,black,high,high school diploma,public,no,yes,medium,fair,0
295,14.476476476476476,male,other,high,Bachelor's degree,private,yes,no,high,poor,1
296,14.481481481481481,female,black,high,high school diploma,public,yes,yes,low,poor,0
297,14.486486486486486,female,other,medium,high school diploma,private,yes,no,high,good,1
298,14.491491491491491,male,black,high,associate's degree,public,yes,yes,low,excellent,0
299,14.496496496496496,female,black,high,Bachelor's degree,private,yes,yes,high,poor,1
300,14.501501501501501,male,black,medium,Bachelor's degree,public,no,yes,low,good,0
301,14.506506506506506,male,white,high,Bachelor's degree,public,yes,yes,medium,excellent,0
302,14.511511511511511,male,black,low,associate's degree,public,no,no,high,excellent,1
303,14.516516516516516,female,other,low,associate's degree,public,yes,no,medium,excellent,0
304,14.521521521521521,female,black,medium,associate's degree,public,yes,no,high,poor,0
305,14.526526526526526,female,white,high,Bachelor's degree,public,yes,yes,low,excellent,0
306,14.531531531531531,male,black,high,Bachelor's degree,private,no,no,low,excellent,1
307,14.536536536536536,male,other,low,associate's degree,public,no,yes,medium,fair,0
308,14.541541541541541,female,black,low,Bachelor's degree,private,no,yes,medium,fair,1
309,14.546546546546546,male,white,low,associate's degree,public,no,yes,medium,good,0
310,14.551551551551551,male,other,high,associate's degree,private,no,yes,high,poor,1
311,14.556556556556556,male,other,high,associate's degree,public,yes,yes,low,good,0
312,14.561561561561561,female,black,high,Bachelor's degree,public,yes,yes,low,fair,0
313,14.566566566566566,female,white,low,Bachelor's degree,private,yes,yes,high,poor,1
314,14.571571571571571,female,black,high,high school diploma,private,yes,no,high,good,1
315,14.576576576576576,female,other,high,associate's degree,private,yes,no,low,excellent,1
316,14.581581581581581,female,black,low,associate's degree,private,no,no,medium,excellent,1
317,14.586586586586586,female,other,low,Bachelor's degree,public,no,yes,medium,good,0
318,14.591591591591591,male,white,high,associate's degree,public,yes,yes,low,good,0
319,14.596596596596596,male,black,medium,high school diploma,private,yes,yes,low,good,0
320,14.601601601601601,male,white,high,Bachelor's degree,private,yes,yes,low,excellent,1
321,14.606606606606606,male,black,low,Bachelor's degree,public,yes,no,medium,excellent,0
322,14.611611611611611,male,white,high,associate's degree,private,yes,yes,medium,excellent,1
323,14.616616616616616,male,white,low,high school diploma,public,no,no,high,good,1
324,14.621621621621621,female,other,low,high school diploma,private,yes,no,low,poor,0
325,14.626626626626626,female,black,low,high school diploma,private,yes,yes,low,excellent,0
326,14.631631631631631,male,black,low,high school diploma,private,yes,no,medium,fair,0
327,14.636636636636636,female,black,high,high school diploma,private,yes,yes,high,excellent,1
328,14.641641641641641,female,other,high,associate's degree,private,no,no,medium,poor,1
329,14.646646646646646,male,black,low,high school diploma,public,yes,yes,high,fair,0
330,14.651651651651651,male,black,high,high school diploma,public,no,no,low,fair,0
331,14.656656656656656,male,other,medium,high school diploma,public,yes,yes,low,excellent,0
332,14.661661661661661,male,white,medium,Bachelor's degree,private,no,no,low,fair,1
333,14.666666666666666,male,other,medium,associate's degree,private,yes,yes,medium,good,1
334,14.671671671671671,male,other,medium,high school diploma,public,yes,yes,low,poor,0
335,14.676676676676676,male,black,medium,high school diploma,private,no,no,high,poor,0
336,14.681681681681681,male,other,medium,Bachelor's degree,private,no,yes,medium,fair,1
337,14.686686686686686,female,black,medium,high school diploma,public,yes,yes,medium,excellent,0
338,14.691691691691691,female,other,medium,high school diploma,public,no,no,high,fair,0
339,14.696696696696696,male,other,low,Bachelor's degree,public,no,yes,high,excellent,1
340,14.701701701701701,female,white,high,high school diploma,private,no,no,high,excellent,1
341,14.706706706706706,male,other,medium,high school diploma,private,yes,no,medium,excellent,0
342,14.711711711711711,female,other,high,Bachelor's degree,public,no,yes,low,fair,0
343,14.716716716716716,male,other,medium,Bachelor's degree,public,yes,yes,low,good,0
344,14.721721721721721,female,other,low,associate's degree,public,no,yes,low,fair,0
345,14.726726726726726,female,black,high,Bachelor's degree,private,yes,no,low,poor,1
346,14.731731731731731,female,black,high,high school diploma,public,no,no,high,fair,0
347,14.736736736736736,male,white,low,high school diploma,private,yes,yes,high,good,1
348,14.741741741741741,male,white,low,associate's degree,public,no,no,medium,good,0
349,14.746746746746746,female,black,high,Bachelor's degree,public,no,yes,low,excellent,0
350,14.751751751751751,male,black,low,Bachelor's degree,private,no,no,low,good,1
351,14.756756756756756,male,white,high,Bachelor's degree,private,no,yes,low,fair,1
352,14.761761761761761,female,black,low,Bachelor's degree,private,yes,no,low,good,1
353,14.766766766766766,female,other,medium,Bachelor's degree,public,yes,yes,low,excellent,0
354,14.771771771771771,male,white,medium,Bachelor's degree,public,no,no,medium,excellent,0
355,14.776776776776776,male,white,low,associate's degree,private,yes,yes,medium,fair,1
356,14.781781781781781,female,other,low,Bachelor's degree,private,no,no,low,poor,1
357,14.786786786786786,female,other,low,Bachelor's degree,public,yes,yes,high,good,1
358,14.791791791791791,female,black,low,high school diploma,public,no,no,low,fair,0
359,14.796796796796796,male,black,high,high school diploma,private,yes,yes,high,fair,0
360,14.801801801801801,male,black,medium,associate's degree,public,yes,no,medium,fair,0
361,14.806806806806806,female,black,high,associate's degree,public,no,no,high,excellent,1
362,14.811811811811811,female,white,high,high school diploma,private,no,no,medium,good,0
363,14.816816816816816,female,black,high,high school diploma,public,no,no,high,fair,0
364,14.821821821821821,female,white,medium,associate's degree,private,yes,no,low,good,1
365,14.826826826826826,female,black,medium,associate's degree,private,no,no,low,poor,1
366,14.831831831831831,male,white,low,high school diploma,private,no,yes,low,excellent,0
367,14.836836836836836,female,other,high,high school diploma,public,yes,yes,low,excellent,0
