,MemberID,Age,Gender,MembershipDuration,AverageWeeklyVisits,PreferredClassType,AttendanceLastMonth,ClassDuration,MotivationLevel,ClassDay,label
65,66,21,Male,10,6,Cycling,3,45,4,Thursday,0
66,67,38,Female,19,7,Pilates,1,45,8,Thursday,1
67,68,26,Female,43,3,Zumba,1,60,6,Sunday,1
68,69,31,Male,1,5,Dance,2,60,9,Sunday,0
69,70,19,Male,14,3,Dance,0,60,8,Wednesday,1
70,71,35,Female,30,6,Zumba,0,30,3,Wednesday,1
71,72,39,Female,45,2,Yoga,1,90,3,Thursday,1
72,73,59,Female,46,4,Pilates,3,60,2,Saturday,1
73,74,18,Female,20,6,Weightlifting,3,30,1,Monday,1
74,75,33,Female,56,7,Cycling,4,30,3,Wednesday,1
75,76,20,Male,45,3,Yoga,0,90,10,Friday,1
76,77,37,Female,15,3,Weightlifting,5,30,8,Sunday,1
77,78,36,Female,30,2,Pilates,1,45,1,Saturday,1
78,79,56,Male,16,1,Weightlifting,0,90,6,Monday,1
79,80,60,Male,35,4,Zumba,5,45,1,Monday,1
80,81,50,Female,33,5,Dance,4,30,4,Thursday,1
81,82,54,Female,4,6,Zumba,5,30,9,Thursday,1
82,83,28,Male,5,5,Cycling,4,90,7,Tuesday,1
83,84,34,Male,21,2,Weightlifting,4,45,5,Tuesday,1
84,85,29,Male,25,6,Dance,0,45,2,Friday,1
85,86,26,Female,32,2,Zumba,3,30,4,Tuesday,1
86,87,46,Female,6,6,Zumba,2,45,3,Monday,0
87,88,43,Male,16,2,Cycling,1,60,6,Friday,1
88,89,33,Female,21,5,Weightlifting,3,90,2,Thursday,1
89,90,26,Male,36,5,Dance,2,45,6,Sunday,1
90,91,31,Male,19,7,Yoga,1,45,10,Thursday,1
91,92,28,Female,25,4,Pilates,5,30,6,Saturday,1
92,93,18,Female,4,4,Cycling,4,60,3,Wednesday,0
93,94,58,Male,38,4,Zumba,1,60,5,Sunday,1
94,95,47,Male,49,6,Kickboxing,3,60,1,Tuesday,1
95,96,49,Female,25,7,Zumba,2,60,7,Sunday,1
96,97,45,Male,43,5,Weightlifting,3,45,7,Saturday,1
97,98,48,Male,43,7,Dance,1,30,7,Tuesday,1
98,99,31,Male,37,7,Dance,5,90,7,Sunday,1
99,100,56,Female,7,3,Cycling,1,90,6,Saturday,0
100,101,50,Female,47,1,Yoga,1,90,1,Tuesday,1
101,102,27,Female,43,2,HIIT,0,90,7,Thursday,1
102,103,47,Female,20,6,Weightlifting,3,60,6,Wednesday,1
103,104,58,Male,3,1,Weightlifting,5,30,3,Friday,0
104,105,24,Female,34,7,Pilates,2,45,10,Sunday,1
105,106,27,Female,19,1,Cycling,4,90,5,Friday,1
106,107,33,Female,53,6,Zumba,5,45,10,Thursday,1
107,108,23,Female,20,7,Yoga,1,60,5,Friday,1
108,109,51,Male,37,5,Pilates,0,30,9,Sunday,1
109,110,19,Female,53,6,Weightlifting,4,45,5,Wednesday,1
110,111,30,Male,53,3,Yoga,2,30,7,Tuesday,1
111,112,44,Male,24,6,Dance,0,45,3,Sunday,1
112,113,22,Male,33,1,HIIT,2,90,9,Friday,1
113,114,23,Female,52,7,Weightlifting,5,30,10,Monday,1
114,115,19,Female,23,2,Kickboxing,1,60,2,Friday,1
115,116,32,Female,22,5,Pilates,4,30,9,Friday,1
116,117,49,Female,47,3,Weightlifting,2,45,9,Tuesday,1
117,118,52,Male,55,1,Weightlifting,5,60,9,Tuesday,1
118,119,44,Male,48,1,Pilates,2,60,7,Thursday,1
119,120,48,Female,40,4,HIIT,4,30,1,Friday,1
120,121,29,Female,11,7,Yoga,0,90,7,Friday,1
121,122,45,Female,54,3,Weightlifting,5,30,7,Saturday,1
122,123,38,Male,32,7,Dance,1,45,10,Saturday,1
123,124,40,Female,21,3,Weightlifting,4,90,1,Tuesday,1
124,125,59,Male,9,4,Kickboxing,1,30,1,Saturday,0
125,126,51,Male,50,1,Dance,4,30,6,Thursday,1
126,127,43,Female,25,4,Kickboxing,5,45,3,Friday,1
127,128,19,Female,2,4,HIIT,2,45,3,Wednesday,0
128,129,25,Male,22,3,Dance,0,60,7,Friday,1
129,130,24,Male,37,1,Dance,4,30,3,Thursday,1
130,131,29,Female,47,3,HIIT,0,45,2,Thursday,1
131,132,56,Female,58,7,Pilates,4,45,9,Monday,1
132,133,35,Female,47,4,Dance,5,60,6,Monday,1
133,134,56,Male,49,4,Dance,0,45,2,Sunday,1
134,135,56,Male,2,2,Dance,3,60,3,Saturday,0
135,136,58,Female,26,3,Dance,0,45,3,Sunday,1
136,137,35,Female,44,2,Zumba,2,30,4,Monday,1
137,138,43,Male,26,3,Pilates,3,90,5,Thursday,1
138,139,39,Female,26,1,Kickboxing,0,90,1,Tuesday,1
139,140,19,Male,34,2,Zumba,0,90,9,Saturday,1
140,141,52,Male,8,1,Kickboxing,0,90,1,Thursday,0
141,142,54,Male,46,3,Weightlifting,1,45,3,Friday,1
142,143,19,Female,49,6,Dance,3,90,2,Tuesday,1
143,144,46,Female,31,6,Cycling,2,60,7,Thursday,1
144,145,48,Female,12,5,Yoga,0,30,5,Friday,0
145,146,42,Female,25,2,Yoga,0,45,1,Saturday,1
146,147,58,Male,2,1,Dance,5,60,6,Thursday,0
147,148,51,Female,55,7,Weightlifting,5,30,9,Thursday,1
148,149,24,Female,60,7,Dance,2,60,1,Sunday,1
149,150,26,Male,15,2,Yoga,4,90,4,Sunday,1
150,151,20,Female,2,4,Cycling,3,45,3,Wednesday,0
151,152,31,Male,44,1,Yoga,5,30,3,Thursday,1
152,153,22,Female,49,2,Dance,1,30,10,Monday,1
153,154,41,Female,45,3,Yoga,1,90,10,Tuesday,1
154,155,31,Female,45,7,HIIT,0,45,2,Thursday,1
155,156,40,Female,20,4,Cycling,0,60,5,Tuesday,1
156,157,42,Male,56,2,Weightlifting,2,90,9,Thursday,1
157,158,46,Male,21,6,Cycling,0,45,10,Friday,1
158,159,34,Male,46,5,Zumba,0,45,5,Tuesday,1
159,160,29,Female,2,4,Pilates,0,45,2,Thursday,0
160,161,25,Female,48,1,Yoga,3,30,4,Saturday,1
161,162,58,Male,17,4,Kickboxing,4,30,4,Thursday,1
162,163,59,Male,6,2,HIIT,1,45,1,Wednesday,0
163,164,59,Female,15,4,HIIT,2,60,9,Sunday,1
164,165,47,Female,17,7,Kickboxing,4,60,7,Friday,1
165,166,44,Male,4,6,Kickboxing,3,45,1,Saturday,0
166,167,54,Female,39,4,Zumba,3,90,6,Tuesday,1
167,168,28,Female,53,2,Pilates,0,30,6,Friday,1
168,169,23,Female,54,2,Kickboxing,2,45,2,Thursday,1
169,170,60,Male,43,7,Zumba,4,30,7,Saturday,1
170,171,52,Male,27,4,Cycling,3,30,1,Tuesday,1
171,172,47,Female,23,6,Cycling,4,60,3,Sunday,1
172,173,57,Female,25,1,Zumba,0,60,4,Friday,1
173,174,36,Female,22,2,Dance,1,30,10,Friday,1
174,175,27,Male,24,7,HIIT,0,30,4,Wednesday,1
175,176,45,Male,27,1,Pilates,5,60,8,Sunday,1
176,177,22,Male,13,4,Zumba,4,45,2,Sunday,1
177,178,60,Female,21,5,Weightlifting,1,45,6,Saturday,1
178,179,47,Male,44,5,HIIT,0,45,3,Tuesday,1
179,180,55,Female,28,5,Zumba,4,90,8,Wednesday,1
180,181,53,Female,31,1,Zumba,4,90,9,Saturday,1
181,182,38,Male,31,5,Pilates,2,30,6,Sunday,1
182,183,49,Female,17,1,Dance,0,45,1,Thursday,1
183,184,40,Male,26,6,Yoga,3,30,5,Wednesday,1
184,185,22,Female,53,1,Yoga,2,30,4,Monday,1
185,186,26,Male,27,6,Yoga,1,45,10,Thursday,1
186,187,51,Female,2,4,Dance,3,60,6,Friday,0
187,188,52,Female,46,1,Dance,2,30,4,Sunday,1
188,189,45,Male,11,2,Dance,3,30,6,Friday,0
189,190,50,Female,31,4,Pilates,1,60,10,Saturday,1
190,191,20,Female,13,6,Cycling,5,60,4,Friday,1
191,192,43,Female,12,1,Pilates,5,60,1,Monday,0
192,193,54,Male,2,5,HIIT,0,45,7,Friday,0
193,194,40,Male,47,2,Pilates,5,30,9,Tuesday,1
194,195,19,Male,24,5,Cycling,3,60,1,Saturday,1
195,196,52,Male,25,3,Cycling,0,45,8,Saturday,1
196,197,42,Male,20,2,Kickboxing,4,30,6,Friday,1
197,198,38,Male,48,5,HIIT,2,30,5,Friday,1
198,199,34,Male,15,2,Yoga,1,60,7,Sunday,1
199,200,22,Male,24,7,Yoga,0,90,4,Thursday,1
200,201,58,Male,11,2,Weightlifting,2,90,1,Friday,0
201,202,58,Female,34,7,Cycling,4,90,5,Monday,1
202,203,41,Female,49,1,Weightlifting,5,60,7,Tuesday,1
203,204,35,Female,52,6,Weightlifting,0,60,1,Saturday,1
204,205,42,Female,51,3,Zumba,0,90,4,Saturday,1
205,206,30,Female,23,4,Yoga,2,45,3,Tuesday,1
206,207,23,Male,18,6,Zumba,2,30,10,Friday,1
207,208,23,Female,7,3,Zumba,0,45,5,Wednesday,0
208,209,48,Male,58,1,Weightlifting,2,60,2,Friday,1
209,210,47,Female,47,6,Weightlifting,0,45,9,Sunday,1
210,211,34,Male,45,1,Pilates,3,30,2,Sunday,1
211,212,24,Male,21,5,Weightlifting,3,30,1,Monday,1
212,213,52,Male,29,1,Yoga,5,30,3,Friday,1
213,214,60,Male,25,5,Cycling,4,90,6,Tuesday,1
214,215,43,Male,7,4,Cycling,4,90,9,Sunday,0
215,216,29,Female,34,5,Zumba,3,45,1,Tuesday,1
216,217,38,Male,13,7,Dance,2,90,2,Wednesday,1
217,218,19,Female,26,1,Pilates,0,90,1,Sunday,1
218,219,29,Female,49,3,Pilates,2,90,6,Friday,1
219,220,53,Female,47,3,Kickboxing,3,30,1,Saturday,1
220,221,29,Male,6,7,Zumba,4,30,8,Wednesday,1
221,222,33,Male,4,5,Dance,4,45,3,Saturday,1
222,223,39,Male,53,1,Zumba,0,30,10,Sunday,1
223,224,25,Female,33,5,Yoga,4,90,8,Tuesday,1
224,225,37,Male,31,5,Zumba,5,90,10,Friday,1
225,226,41,Female,58,3,Pilates,5,45,3,Tuesday,1
226,227,47,Male,32,2,Yoga,5,45,10,Sunday,1
227,228,38,Male,9,1,Kickboxing,5,60,8,Wednesday,0
228,229,57,Male,53,7,Weightlifting,4,60,3,Friday,1
229,230,35,Female,22,5,Zumba,0,90,7,Saturday,1
230,231,26,Female,22,4,Cycling,4,60,6,Saturday,1
231,232,57,Female,60,3,Pilates,2,30,10,Thursday,1
232,233,28,Female,3,1,Kickboxing,4,60,3,Saturday,0
233,234,24,Female,19,2,HIIT,0,90,7,Thursday,1
234,235,56,Female,48,7,Yoga,0,45,5,Tuesday,1
235,236,34,Female,34,6,Pilates,5,30,7,Monday,1
236,237,35,Female,12,4,Kickboxing,5,90,10,Wednesday,0
237,238,41,Male,5,1,Cycling,3,60,9,Tuesday,0
238,239,24,Female,7,1,Weightlifting,5,90,8,Wednesday,1
239,240,27,Male,4,5,Kickboxing,2,60,4,Wednesday,0
240,241,47,Male,46,1,Yoga,0,60,7,Wednesday,1
241,242,25,Male,17,1,Zumba,4,90,7,Sunday,1
242,243,26,Female,4,3,Yoga,2,60,5,Tuesday,0
243,244,57,Female,15,1,Yoga,4,30,9,Thursday,1
244,245,47,Male,36,5,Dance,4,90,7,Sunday,1
245,246,59,Male,8,6,HIIT,0,45,8,Friday,0
246,247,35,Male,44,4,HIIT,0,45,1,Wednesday,1
247,248,36,Female,58,6,Weightlifting,5,30,1,Friday,1
248,249,18,Female,26,5,Weightlifting,5,90,7,Friday,1
249,250,26,Female,54,1,Weightlifting,2,45,5,Saturday,1
250,251,31,Male,12,5,Cycling,2,45,1,Friday,0
251,252,57,Male,21,2,Kickboxing,0,30,7,Tuesday,1
252,253,18,Female,6,7,Kickboxing,2,30,5,Tuesday,0
253,254,26,Male,45,7,Pilates,0,30,3,Wednesday,1
254,255,56,Female,16,1,Pilates,5,45,1,Monday,1
255,256,19,Male,27,3,Pilates,0,30,9,Wednesday,1
256,257,56,Male,40,7,Zumba,3,60,4,Friday,1
257,258,39,Female,59,1,Pilates,2,60,2,Saturday,1
258,259,48,Female,42,5,Yoga,2,30,10,Friday,1
259,260,27,Male,3,7,Yoga,5,90,6,Sunday,1
260,261,60,Female,53,4,Kickboxing,2,45,2,Thursday,1
261,262,26,Female,42,2,Cycling,4,60,1,Wednesday,1
262,263,56,Female,56,3,Cycling,3,60,4,Friday,1
263,264,60,Male,30,1,Pilates,5,30,2,Sunday,1
264,265,39,Male,33,6,Yoga,5,90,10,Saturday,1
265,266,25,Female,33,4,Yoga,5,45,4,Friday,1
266,267,60,Male,9,2,Kickboxing,3,90,2,Thursday,0
267,268,19,Female,9,6,Kickboxing,1,60,2,Monday,0
268,269,27,Female,17,2,Weightlifting,4,30,6,Sunday,1
269,270,42,Male,57,4,Yoga,0,45,3,Tuesday,1
270,271,22,Female,54,7,Cycling,2,60,5,Wednesday,1
271,272,20,Female,8,5,HIIT,2,45,5,Saturday,0
272,273,19,Female,18,5,HIIT,1,60,9,Sunday,1
273,274,51,Female,53,5,HIIT,5,45,3,Saturday,1
274,275,36,Female,36,3,Zumba,4,60,7,Saturday,1
275,276,24,Male,2,2,Kickboxing,1,30,2,Friday,0
276,277,46,Male,39,3,Weightlifting,5,60,3,Thursday,1
277,278,44,Male,44,5,Cycling,4,45,3,Wednesday,1
278,279,31,Male,46,3,Pilates,4,45,10,Thursday,1
279,280,19,Male,34,6,Kickboxing,1,45,5,Tuesday,1
280,281,60,Female,5,2,Dance,5,90,9,Sunday,0
281,282,35,Female,40,5,Kickboxing,0,90,2,Saturday,1
282,283,27,Male,31,4,Kickboxing,5,45,7,Thursday,1
283,284,26,Male,15,7,Weightlifting,5,45,3,Thursday,1
284,285,51,Female,11,3,Weightlifting,4,30,2,Thursday,0
285,286,21,Male,4,1,Dance,2,90,9,Monday,1
286,287,30,Male,6,4,Cycling,2,45,3,Friday,0
287,288,43,Male,28,3,Weightlifting,3,45,4,Tuesday,1
288,289,48,Female,49,5,Dance,0,30,6,Saturday,1
289,290,24,Female,35,5,Kickboxing,4,30,9,Thursday,1
290,291,40,Male,24,4,Cycling,3,90,6,Friday,1
291,292,21,Female,18,4,Dance,2,60,7,Saturday,1
292,293,39,Male,52,5,Cycling,4,30,5,Friday,1
293,294,42,Female,20,6,Dance,2,30,3,Wednesday,1
294,295,32,Female,50,6,Dance,2,90,2,Wednesday,1
295,296,36,Female,20,7,Kickboxing,1,60,5,Thursday,1
296,297,45,Male,9,5,Kickboxing,3,45,9,Saturday,0
297,298,22,Male,10,2,Kickboxing,3,90,9,Wednesday,1
298,299,35,Female,3,7,Kickboxing,5,30,2,Friday,1
299,300,49,Female,40,4,HIIT,1,45,10,Thursday,1
300,301,38,Female,3,4,HIIT,5,30,6,Sunday,0
301,302,30,Female,51,6,Cycling,5,45,9,Tuesday,1
302,303,57,Male,50,1,Pilates,0,90,1,Wednesday,1
303,304,50,Male,29,5,Zumba,4,30,10,Saturday,1
304,305,57,Female,44,4,Weightlifting,0,45,4,Wednesday,1
305,306,56,Male,9,7,Weightlifting,3,60,6,Sunday,0
306,307,48,Male,5,3,Cycling,5,60,5,Thursday,0
307,308,36,Female,54,2,Yoga,4,45,8,Friday,1
308,309,20,Male,16,5,Kickboxing,5,30,4,Sunday,1
309,310,28,Female,37,5,Zumba,0,60,2,Sunday,1
310,311,38,Female,8,6,Weightlifting,0,60,2,Saturday,0
311,312,37,Female,44,6,HIIT,4,30,4,Monday,1
312,313,22,Male,1,3,Dance,2,90,10,Saturday,1
313,314,52,Female,58,2,Yoga,1,45,7,Saturday,1
314,315,45,Female,10,2,Kickboxing,3,30,5,Saturday,0
315,316,48,Female,10,1,HIIT,5,60,4,Sunday,0
316,317,51,Male,44,4,Yoga,0,90,10,Sunday,1
317,318,29,Female,34,2,Cycling,0,45,10,Tuesday,1
318,319,24,Male,15,3,Cycling,1,90,1,Sunday,1
319,320,34,Male,60,4,Weightlifting,3,30,3,Thursday,1
320,321,27,Female,17,6,Dance,2,30,2,Wednesday,1
321,322,51,Male,18,4,Cycling,4,60,2,Saturday,1
322,323,56,Male,39,6,Weightlifting,5,60,4,Friday,1
323,324,26,Male,53,6,Yoga,3,60,9,Saturday,1
324,325,30,Male,23,6,Cycling,0,90,1,Monday,1
325,326,54,Male,14,4,Yoga,5,60,7,Wednesday,1
326,327,43,Female,24,2,Pilates,1,60,1,Wednesday,1
327,328,33,Female,9,7,Weightlifting,0,45,4,Saturday,0
328,329,18,Female,8,1,Kickboxing,5,45,3,Saturday,0
329,330,42,Female,13,3,Weightlifting,4,90,3,Thursday,1
330,331,40,Male,43,1,Zumba,1,45,6,Saturday,1
331,332,33,Male,1,1,HIIT,4,45,6,Sunday,0
332,333,35,Female,8,5,HIIT,4,30,4,Tuesday,1
333,334,56,Female,9,2,Cycling,0,45,5,Tuesday,0
334,335,22,Female,11,7,Kickboxing,0,90,1,Friday,0
335,336,60,Male,8,3,Pilates,2,45,10,Sunday,0
336,337,41,Female,46,7,HIIT,3,90,7,Sunday,1
337,338,57,Female,49,1,Zumba,0,45,1,Monday,1
338,339,20,Female,37,7,Kickboxing,4,30,5,Saturday,1
339,340,50,Female,55,6,Zumba,4,90,8,Tuesday,1
340,341,46,Female,20,3,Weightlifting,0,45,9,Wednesday,1
341,342,58,Female,5,3,Cycling,2,60,2,Saturday,0
342,343,55,Female,22,7,Zumba,1,60,6,Saturday,1
343,344,33,Female,34,4,HIIT,3,30,6,Thursday,1
344,345,43,Female,13,2,Dance,3,30,1,Tuesday,1
345,346,54,Male,49,4,Weightlifting,5,30,5,Tuesday,1
346,347,35,Male,19,7,HIIT,3,90,1,Saturday,1
347,348,25,Male,53,2,Dance,3,45,2,Wednesday,1
348,349,50,Female,7,6,Dance,3,30,5,Friday,0
349,350,36,Male,23,5,HIIT,3,30,10,Friday,1
350,351,35,Female,40,3,Kickboxing,4,45,10,Friday,1
351,352,21,Female,31,6,Yoga,3,60,8,Monday,1
352,353,47,Female,52,1,Kickboxing,3,30,6,Monday,1
353,354,31,Male,28,6,Dance,0,60,10,Wednesday,1
354,355,50,Male,56,2,HIIT,3,90,3,Friday,1
355,356,56,Male,31,1,Kickboxing,3,30,10,Wednesday,1
356,357,49,Female,1,5,Zumba,2,90,6,Friday,0
357,358,18,Male,9,4,Kickboxing,3,45,1,Tuesday,0
358,359,29,Male,3,7,Zumba,1,30,1,Thursday,0
359,360,28,Male,23,6,Weightlifting,4,45,4,Monday,1
360,361,52,Male,34,5,Yoga,3,45,7,Saturday,1
361,362,32,Female,23,6,Kickboxing,0,30,10,Monday,1
362,363,49,Female,30,3,Cycling,1,30,8,Friday,1
363,364,40,Female,53,3,Zumba,1,60,7,Friday,1
364,365,31,Male,9,7,Zumba,2,60,5,Sunday,0
365,366,60,Female,10,3,Cycling,4,60,1,Wednesday,0
366,367,32,Female,40,4,Zumba,0,90,1,Wednesday,1
367,368,38,Female,45,3,Yoga,4,45,9,Tuesday,1
368,369,22,Male,12,3,Dance,1,30,1,Tuesday,0
369,370,57,Female,24,2,Weightlifting,3,30,4,Tuesday,1
370,371,48,Female,51,2,Cycling,2,30,3,Tuesday,1
371,372,22,Male,30,6,Weightlifting,3,30,1,Monday,1
372,373,34,Male,40,3,Pilates,4,90,10,Sunday,1
373,374,51,Male,4,6,Dance,4,45,2,Tuesday,1
374,375,32,Female,5,6,Kickboxing,0,90,2,Wednesday,0
375,376,59,Female,22,3,Cycling,3,30,8,Monday,1
376,377,27,Female,34,3,Yoga,0,90,2,Friday,1
377,378,50,Male,18,1,Yoga,4,90,9,Thursday,1
378,379,34,Female,39,2,Kickboxing,4,30,4,Sunday,1
379,380,29,Female,60,2,Kickboxing,1,90,2,Thursday,1
380,381,44,Female,22,4,Yoga,2,90,4,Tuesday,1
381,382,29,Male,43,6,HIIT,2,30,3,Tuesday,1
382,383,29,Female,10,3,Dance,1,45,6,Friday,1
383,384,35,Female,32,3,Kickboxing,5,90,7,Saturday,1
384,385,54,Female,14,6,Pilates,3,45,5,Thursday,1
385,386,54,Female,51,4,Yoga,4,45,1,Friday,1
386,387,43,Female,15,2,Cycling,5,30,4,Monday,1
387,388,60,Female,47,5,Pilates,5,30,3,Wednesday,1
388,389,24,Female,25,2,Dance,2,45,2,Tuesday,1
389,390,40,Female,50,5,Cycling,2,90,3,Monday,1
390,391,57,Female,46,6,Weightlifting,1,45,9,Friday,1
391,392,50,Male,5,3,HIIT,5,60,1,Sunday,0
392,393,38,Female,14,7,Zumba,4,45,10,Saturday,1
393,394,49,Male,19,4,Weightlifting,3,60,5,Thursday,1
394,395,42,Male,19,5,Kickboxing,4,60,3,Thursday,1
395,396,20,Male,3,5,Dance,4,30,7,Thursday,1
396,397,52,Male,23,7,Cycling,2,30,9,Sunday,1
397,398,48,Female,52,2,HIIT,3,30,8,Monday,1
398,399,24,Female,44,1,Zumba,0,90,2,Saturday,1
399,400,46,Female,47,5,Kickboxing,0,90,1,Wednesday,1
400,401,27,Male,46,1,Pilates,3,45,8,Tuesday,1
401,402,46,Male,9,2,Pilates,4,90,1,Wednesday,0
402,403,26,Female,36,5,Cycling,0,90,9,Thursday,1
403,404,27,Male,37,4,Kickboxing,2,45,8,Thursday,1
404,405,58,Female,53,5,Zumba,1,60,9,Thursday,1
405,406,31,Female,41,4,Yoga,5,30,7,Thursday,1
406,407,36,Male,51,6,Pilates,5,60,9,Thursday,1
407,408,59,Female,9,1,Dance,2,30,1,Tuesday,0
408,409,53,Male,1,2,Dance,5,60,7,Saturday,0
409,410,28,Female,25,3,Dance,0,30,7,Sunday,1
410,411,48,Male,7,3,Yoga,4,60,7,Saturday,0
411,412,40,Female,28,4,Kickboxing,3,90,7,Saturday,1
412,413,25,Female,54,2,HIIT,0,30,2,Friday,1
413,414,32,Female,48,4,Kickboxing,2,90,9,Tuesday,1
414,415,50,Female,17,1,Pilates,5,90,10,Sunday,1
415,416,20,Male,28,4,Zumba,4,30,8,Monday,1
416,417,44,Male,28,3,Cycling,4,60,10,Tuesday,1
417,418,19,Male,12,5,HIIT,5,60,2,Sunday,1
418,419,18,Female,39,1,Zumba,3,60,4,Wednesday,1
419,420,25,Female,18,5,HIIT,2,90,5,Friday,1
420,421,21,Female,24,5,Pilates,3,90,3,Sunday,1
421,422,46,Female,49,5,Zumba,0,60,5,Friday,1
422,423,34,Male,4,7,Weightlifting,4,45,8,Wednesday,1
423,424,55,Female,10,3,Dance,0,90,10,Wednesday,0
424,425,20,Female,59,7,Yoga,2,90,8,Friday,1
425,426,53,Female,6,3,HIIT,2,90,2,Thursday,0
426,427,42,Male,4,6,HIIT,0,60,2,Friday,0
427,428,57,Female,21,5,Zumba,2,60,9,Saturday,1
428,429,33,Female,14,2,Cycling,3,30,3,Monday,1
429,430,41,Male,58,2,HIIT,1,60,3,Thursday,1
430,431,20,Female,8,2,Cycling,5,60,2,Friday,0
431,432,21,Female,32,2,Yoga,5,30,9,Tuesday,1
432,433,18,Male,59,1,Zumba,5,60,5,Friday,1
433,434,41,Female,60,1,Dance,5,45,10,Thursday,1
434,435,53,Female,58,2,Cycling,0,90,7,Wednesday,1
435,436,50,Female,44,3,Yoga,5,30,9,Tuesday,1
436,437,18,Female,46,7,Weightlifting,0,30,8,Friday,1
437,438,29,Female,13,4,HIIT,4,45,8,Wednesday,1
438,439,30,Male,50,4,Pilates,5,30,2,Monday,1
439,440,49,Male,37,6,Dance,2,45,9,Friday,1
