,Representative_ID,Age,Years_in_Office,Total_Votes,Party_Affiliation,District_Income_Level,Urbanization_Score,Education_Level,Party_Leader,label
178,179,58,3,239,0,46,25,83,0,0
179,180,30,37,211,0,87,1,18,0,1
180,181,37,23,71,1,66,74,99,1,1
181,182,45,13,117,0,54,80,89,1,0
182,183,57,40,234,0,91,33,73,1,1
183,184,51,0,59,0,73,18,23,1,0
184,185,47,16,115,0,97,38,12,0,0
185,186,51,23,57,1,96,81,45,0,1
186,187,70,26,274,1,62,12,52,0,1
187,188,41,6,172,1,87,4,97,1,1
188,189,48,8,87,1,88,49,28,1,0
189,190,54,34,284,1,63,22,35,1,1
190,191,34,11,172,1,54,87,70,0,1
191,192,63,20,111,0,74,28,93,0,0
192,193,68,2,205,1,43,71,16,0,1
193,194,39,14,187,0,83,25,47,1,0
194,195,36,20,94,0,76,78,76,0,0
195,196,66,9,114,0,56,56,23,1,0
196,197,44,32,275,0,70,0,53,0,1
197,198,53,5,116,1,77,27,94,1,0
198,199,55,1,186,1,49,61,90,1,1
199,200,55,28,182,1,93,46,84,1,1
200,201,55,39,155,0,89,77,0,1,1
201,202,39,32,187,1,66,97,78,0,1
202,203,46,3,189,1,81,58,66,0,1
203,204,43,3,131,1,45,30,5,0,0
204,205,31,28,107,1,95,69,77,1,1
205,206,42,36,198,1,45,48,54,0,1
206,207,56,19,198,1,91,4,37,1,0
207,208,38,40,242,0,54,30,32,0,1
208,209,36,22,180,0,43,36,7,0,1
209,210,39,17,118,1,96,78,89,1,1
210,211,38,24,138,0,87,14,78,1,1
211,212,51,0,299,0,93,51,77,1,1
212,213,52,14,113,1,95,68,19,0,1
213,214,36,33,226,0,79,91,54,1,1
214,215,38,19,121,1,46,96,47,0,1
215,216,56,36,66,0,90,10,82,0,1
216,217,53,26,122,1,97,42,55,0,0
217,218,58,21,209,0,88,69,96,1,1
218,219,46,4,119,0,92,22,99,0,1
219,220,49,33,162,0,84,39,87,1,1
220,221,36,38,281,0,86,62,9,1,1
221,222,69,2,70,1,65,1,51,0,0
222,223,36,16,184,0,97,78,49,0,0
223,224,57,23,56,1,70,86,33,0,1
224,225,48,23,160,1,41,85,35,0,1
225,226,49,2,280,0,67,72,60,1,0
226,227,68,6,295,0,81,46,99,1,1
227,228,69,24,76,1,52,29,15,1,0
228,229,36,2,57,0,57,15,78,1,0
229,230,35,14,250,1,69,58,17,1,1
230,231,54,28,77,0,94,46,70,1,1
231,232,70,28,256,1,50,29,46,1,1
232,233,42,9,243,0,52,8,85,1,0
233,234,68,31,248,0,90,64,31,1,1
234,235,69,22,96,1,100,58,42,0,1
235,236,51,38,259,1,63,63,82,0,1
236,237,46,8,135,1,96,7,39,1,0
237,238,51,36,291,0,68,51,64,1,1
238,239,63,39,59,0,95,17,34,0,0
239,240,37,13,295,0,93,90,68,0,1
240,241,47,3,163,0,44,81,49,0,0
241,242,53,19,82,1,74,95,11,1,1
242,243,31,27,184,1,58,57,75,0,1
243,244,31,13,180,0,94,48,84,0,1
244,245,56,33,63,0,52,31,57,0,0
245,246,43,12,221,0,44,47,82,0,0
246,247,68,30,95,1,83,44,62,0,1
247,248,41,32,110,1,53,53,72,1,1
248,249,61,38,213,0,77,99,48,0,1
249,250,57,27,62,1,61,99,35,1,1
250,251,57,24,65,0,48,84,53,0,0
251,252,54,31,257,0,88,45,46,0,1
252,253,33,8,295,1,79,95,31,0,1
253,254,55,27,182,1,65,30,98,0,1
254,255,65,30,293,1,84,36,94,0,1
255,256,32,16,266,1,100,15,52,1,0
256,257,30,22,87,0,44,45,31,1,0
257,258,46,12,279,1,68,45,61,1,0
258,259,36,9,227,1,93,77,36,1,1
259,260,34,15,87,1,61,87,95,1,1
260,261,48,5,152,1,88,88,100,1,1
261,262,68,10,105,0,42,60,37,1,0
262,263,63,2,112,0,67,45,29,0,0
263,264,64,27,169,1,77,50,57,1,1
264,265,45,40,97,1,53,61,31,0,1
265,266,69,14,154,0,86,34,65,0,1
266,267,68,12,267,0,53,80,50,1,0
267,268,56,16,108,1,82,41,10,0,0
268,269,70,6,126,0,50,44,58,0,0
269,270,67,27,221,0,48,67,19,1,1
270,271,54,37,292,0,77,74,36,0,1
271,272,55,12,267,0,86,46,72,1,1
272,273,43,16,176,1,83,78,48,0,1
273,274,43,14,104,0,100,29,18,1,0
274,275,43,35,104,0,45,23,54,0,0
275,276,54,27,178,1,40,65,39,1,1
276,277,65,14,185,1,64,42,6,0,0
277,278,33,10,176,1,55,33,4,1,0
278,279,44,30,181,0,91,22,41,0,1
279,280,61,3,134,1,54,60,87,0,1
280,281,47,34,263,0,73,94,47,1,1
281,282,43,33,164,1,56,36,6,0,1
282,283,30,26,230,0,42,12,10,1,1
283,284,49,9,107,1,42,96,72,0,1
284,285,39,29,86,1,76,70,48,0,1
285,286,39,19,98,0,56,95,29,1,0
286,287,53,28,116,1,94,6,40,0,0
287,288,63,28,68,1,100,41,2,1,0
288,289,57,22,178,1,88,37,85,0,1
289,290,56,20,78,1,91,51,39,0,1
290,291,69,9,136,1,77,43,50,0,0
291,292,30,40,82,0,40,63,83,0,0
292,293,62,11,168,0,46,12,31,1,0
293,294,33,29,229,1,65,87,47,1,1
294,295,36,32,218,1,86,27,70,0,1
295,296,38,17,200,0,78,95,70,0,0
296,297,45,13,182,0,58,81,19,1,0
297,298,34,21,120,1,91,97,88,0,1
298,299,63,20,234,0,93,97,34,1,0
299,300,52,0,299,1,69,0,23,0,0
300,301,54,14,183,1,82,42,39,0,0
301,302,42,35,226,1,94,41,76,1,1
302,303,53,21,71,1,53,94,51,0,1
303,304,40,31,290,0,52,49,38,1,1
304,305,46,32,126,0,59,59,67,1,0
305,306,66,40,253,0,65,0,60,1,1
306,307,42,38,53,1,66,50,75,1,0
307,308,56,22,121,0,64,15,80,1,0
308,309,49,1,241,1,48,38,64,1,0
309,310,62,1,214,1,80,14,61,0,1
310,311,61,37,208,0,87,32,80,1,1
311,312,37,28,214,1,51,86,1,1,1
312,313,58,2,177,1,49,52,5,0,1
313,314,69,38,94,1,45,97,74,1,1
314,315,48,6,267,0,89,16,42,0,0
315,316,35,35,284,1,73,88,81,1,1
316,317,68,28,185,0,98,5,39,1,1
317,318,70,36,217,1,91,30,88,1,1
318,319,50,35,274,0,80,68,38,0,1
319,320,51,22,286,1,58,39,27,0,1
320,321,39,15,142,0,45,29,79,1,0
321,322,39,30,54,0,41,68,62,1,0
322,323,58,33,205,1,54,75,63,0,1
323,324,45,0,294,1,56,6,11,0,0
324,325,30,17,153,1,55,12,40,0,0
325,326,46,39,130,1,67,3,28,1,0
326,327,59,14,296,0,60,49,22,0,0
327,328,55,16,136,1,47,2,84,0,0
328,329,48,9,286,0,49,11,79,0,0
329,330,50,19,186,1,49,64,50,0,1
330,331,46,5,179,0,89,26,44,0,0
331,332,69,7,112,0,49,49,89,0,0
332,333,50,33,273,0,48,76,100,0,1
333,334,70,31,100,1,67,16,21,1,0
334,335,69,3,165,1,63,71,9,0,1
335,336,48,38,162,0,58,31,6,1,1
336,337,36,19,80,0,72,83,72,1,0
337,338,46,23,56,0,43,50,88,0,0
338,339,30,23,207,0,95,16,14,1,1
339,340,66,25,235,0,42,33,76,1,1
340,341,35,24,52,1,81,34,45,0,0
341,342,55,35,100,0,51,98,89,1,0
342,343,31,6,292,1,57,23,84,0,0
343,344,61,9,105,1,62,53,86,0,1
344,345,34,11,122,1,59,17,60,0,0
345,346,66,0,59,0,45,49,91,0,0
346,347,60,24,110,0,92,45,60,0,1
347,348,41,15,287,0,73,47,50,0,0
348,349,64,4,99,0,81,32,37,0,0
349,350,59,18,171,1,41,86,11,1,1
350,351,35,3,224,1,69,88,87,0,1
351,352,44,5,267,1,48,100,76,1,1
352,353,44,25,50,0,66,26,65,0,0
353,354,45,38,271,0,81,0,53,0,1
354,355,49,38,234,0,73,84,38,0,1
355,356,42,8,87,0,79,58,75,1,0
356,357,60,13,239,0,63,9,38,1,0
357,358,63,8,128,0,88,94,77,1,1
358,359,58,14,138,1,56,24,29,1,0
359,360,32,36,247,1,68,83,47,1,1
360,361,38,19,131,0,75,56,82,1,0
361,362,40,7,242,1,89,65,30,0,1
362,363,40,31,239,1,51,14,24,0,1
363,364,54,20,233,1,70,27,67,1,0
364,365,51,40,116,1,88,12,50,1,0
365,366,38,18,66,0,48,13,12,1,0
366,367,49,28,176,1,100,65,99,1,1
367,368,50,30,161,0,58,33,62,1,1
368,369,39,5,185,0,85,98,41,0,0
369,370,51,3,109,1,85,100,53,0,1
370,371,58,28,290,0,56,24,100,0,1
371,372,38,2,89,1,41,53,66,0,1
372,373,34,0,258,0,79,78,79,0,0
373,374,69,14,138,0,44,11,89,0,0
374,375,40,20,239,1,98,8,55,0,0
375,376,30,30,90,1,78,30,18,0,0
376,377,30,6,189,0,93,77,45,1,0
377,378,68,16,270,1,100,92,14,1,1
378,379,34,18,266,0,87,52,31,0,0
379,380,51,38,164,1,55,42,48,0,1
380,381,55,2,149,0,56,37,20,0,0
381,382,35,29,166,0,93,41,64,1,1
382,383,61,34,231,0,66,71,69,1,1
383,384,40,28,138,0,46,47,26,0,0
384,385,39,13,142,0,91,66,22,1,0
385,386,68,34,188,1,47,65,46,0,1
386,387,63,27,109,0,47,15,94,0,0
387,388,60,29,117,1,62,82,11,0,1
388,389,41,25,127,1,71,93,84,0,1
389,390,45,6,95,0,82,15,65,0,1
390,391,67,38,87,0,86,30,4,1,0
391,392,32,30,238,1,57,57,8,0,1
392,393,31,4,66,0,77,27,19,0,0
393,394,34,34,115,0,93,3,81,0,1
394,395,40,13,249,1,51,9,62,0,0
395,396,54,35,85,1,54,50,85,1,0
396,397,64,26,123,1,67,17,71,0,0
397,398,64,23,56,1,94,46,97,0,1
398,399,51,39,277,1,77,31,72,1,1
399,400,66,28,65,1,89,29,70,0,1
400,401,51,21,63,0,95,35,29,0,0
401,402,40,7,129,1,70,8,81,0,0
402,403,61,14,74,1,91,35,90,0,1
403,404,64,4,154,0,48,28,15,1,0
404,405,60,3,53,0,47,15,84,0,0
405,406,37,10,206,0,85,91,4,0,0
406,407,49,17,176,0,58,20,28,1,0
407,408,63,29,105,0,90,63,46,0,0
408,409,33,14,55,0,47,65,100,0,0
409,410,47,5,178,1,73,58,21,1,1
410,411,33,15,216,0,96,98,77,0,1
411,412,49,39,178,0,43,27,56,1,1
412,413,38,8,164,0,70,54,82,0,0
413,414,45,33,281,0,77,99,34,1,1
414,415,55,26,240,1,42,30,87,0,1
415,416,67,12,106,0,74,32,59,0,0
416,417,54,35,244,0,58,86,69,1,1
417,418,33,26,114,1,82,59,59,0,1
418,419,70,8,114,1,68,40,57,1,0
419,420,70,4,152,1,49,80,2,1,1
420,421,67,21,70,0,51,45,33,1,0
421,422,48,30,286,1,85,48,44,1,1
422,423,43,2,207,1,69,64,49,0,1
423,424,50,29,273,1,69,41,1,1,1
424,425,44,20,82,0,99,22,14,0,0
425,426,32,34,225,0,57,26,36,0,1
426,427,66,5,71,1,63,88,14,1,1
427,428,45,27,271,0,71,31,59,1,1
428,429,43,31,231,0,48,82,95,0,1
429,430,38,36,159,0,86,87,84,1,1
430,431,36,24,53,0,63,2,63,0,0
431,432,43,31,264,0,65,59,80,1,1
432,433,35,34,232,1,42,75,97,0,1
433,434,50,21,221,1,62,98,95,0,1
434,435,44,23,266,1,50,78,51,1,1
435,436,37,38,189,1,49,16,22,0,1
436,437,63,29,258,0,89,31,98,0,1
437,438,69,31,294,1,75,6,36,1,1
438,439,30,30,256,1,99,82,40,1,1
439,440,61,22,123,0,52,70,100,1,0
440,441,34,39,276,0,68,68,56,1,1
441,442,59,32,168,0,77,57,96,1,1
442,443,51,24,293,0,98,39,24,0,1
443,444,49,35,229,1,92,84,36,0,1
444,445,45,23,142,0,52,47,39,1,0
445,446,36,30,253,0,96,50,84,0,1
446,447,36,38,114,0,65,56,45,0,0
447,448,31,12,114,0,59,70,59,0,0
448,449,43,9,59,0,44,36,97,0,0
449,450,60,22,195,0,59,86,18,0,1
450,451,70,17,96,1,53,74,90,1,1
451,452,43,31,115,1,84,73,8,1,1
452,453,34,32,98,1,53,84,68,0,1
453,454,40,35,249,0,47,54,4,0,1
454,455,69,27,71,0,87,40,88,1,1
455,456,34,15,135,1,52,96,25,1,1
456,457,58,15,75,1,63,19,18,1,0
457,458,40,17,267,1,54,32,29,1,0
458,459,34,7,186,1,90,39,99,0,1
459,460,61,15,198,0,40,98,47,1,0
460,461,65,10,144,1,61,33,15,1,0
461,462,44,5,293,0,73,61,70,0,0
462,463,48,0,240,0,89,99,17,1,0
463,464,51,11,156,0,90,90,55,1,0
464,465,63,37,183,1,79,18,20,1,1
465,466,46,27,297,1,42,42,30,1,1
466,467,41,16,63,1,94,68,0,1,1
467,468,54,0,210,0,65,62,2,0,0
468,469,46,31,120,0,53,92,94,0,0
469,470,39,7,201,1,97,9,24,0,0
470,471,57,39,250,0,80,12,7,0,1
471,472,47,23,124,1,100,92,64,0,1
472,473,47,9,169,0,47,4,61,1,0
473,474,61,38,264,0,88,57,6,1,1
474,475,43,38,161,0,94,58,6,1,1
475,476,45,9,100,0,94,75,7,1,0
476,477,47,35,179,0,95,58,18,1,1
477,478,45,24,192,0,55,76,16,1,1
478,479,46,9,212,0,81,85,10,1,0
479,480,36,18,85,1,60,14,48,1,0
480,481,41,14,293,0,49,76,10,1,0
481,482,63,15,167,0,96,0,40,1,0
482,483,39,1,269,1,64,37,61,1,0
483,484,34,28,216,1,95,52,51,1,1
484,485,50,3,285,1,77,51,65,1,1
485,486,32,28,53,1,61,0,67,0,0
486,487,48,30,241,0,88,10,91,1,1
487,488,64,16,251,0,100,57,96,0,1
488,489,35,9,55,1,87,39,74,1,1
489,490,43,26,234,0,86,85,66,1,1
490,491,33,40,207,1,93,98,39,1,1
491,492,47,14,295,0,85,59,4,0,0
492,493,58,30,159,0,43,43,84,0,1
493,494,64,20,148,0,43,5,21,1,0
494,495,67,40,290,0,69,27,36,1,1
495,496,45,25,284,0,41,30,10,1,1
496,497,49,37,251,1,68,7,43,1,1
497,498,53,35,171,0,82,4,85,0,1
498,499,64,16,166,0,75,53,52,0,0
499,500,48,2,145,0,60,16,76,1,0
500,501,33,13,283,0,100,37,60,0,1
501,502,62,12,283,0,99,8,66,0,1
502,503,31,40,116,1,60,73,12,1,1
503,504,42,26,169,0,87,83,91,1,1
504,505,59,0,267,1,60,77,10,1,1
505,506,63,16,64,0,43,13,10,0,0
506,507,59,33,66,0,40,25,84,1,0
507,508,53,13,268,1,65,92,84,0,1
508,509,62,16,67,0,95,61,6,1,0
509,510,70,2,164,0,90,90,16,1,0
510,511,39,33,196,1,41,24,47,0,1
511,512,47,39,125,0,48,79,13,0,0
512,513,48,24,137,1,94,35,62,0,1
513,514,36,1,246,1,96,97,63,0,1
514,515,48,33,201,1,84,79,96,0,1
515,516,53,25,140,0,57,32,74,0,0
516,517,44,30,97,0,87,2,76,1,1
517,518,70,8,207,1,87,86,64,0,1
518,519,52,29,64,0,96,10,33,0,0
519,520,33,19,224,1,81,57,8,1,1
520,521,67,20,172,0,80,63,76,0,1
521,522,33,28,279,1,50,17,36,0,1
522,523,34,24,176,0,64,46,29,1,1
523,524,70,37,221,1,65,43,40,1,1
524,525,52,24,147,0,100,92,44,1,0
525,526,69,8,204,1,97,58,100,0,1
526,527,66,38,133,0,75,49,46,1,0
527,528,40,25,241,1,81,68,6,0,1
528,529,40,36,90,0,74,87,13,1,0
529,530,42,15,145,0,77,28,47,0,0
530,531,43,36,117,1,42,92,5,1,1
531,532,37,11,54,0,98,89,33,1,0
532,533,54,23,102,0,80,66,79,1,1
533,534,47,25,171,0,74,1,100,0,1
534,535,47,19,185,0,89,24,99,0,1
535,536,39,8,71,1,79,18,45,1,0
536,537,36,22,155,0,61,39,58,1,1
537,538,43,38,56,0,47,1,69,1,0
538,539,44,28,199,1,54,82,7,1,1
539,540,45,30,95,0,84,64,23,0,0
540,541,31,18,79,1,46,61,66,1,1
541,542,59,19,175,0,58,90,3,1,0
542,543,59,22,150,1,79,53,95,0,1
543,544,47,26,193,0,81,44,0,0,1
544,545,60,29,128,1,56,48,33,1,0
545,546,42,20,182,1,40,98,8,1,1
546,547,49,34,116,1,84,68,62,0,1
547,548,64,6,72,0,68,37,75,0,0
548,549,52,21,238,1,97,3,9,1,1
549,550,62,9,123,0,52,16,9,0,0
550,551,67,22,54,1,95,52,49,0,1
551,552,64,14,200,1,87,84,43,1,1
552,553,65,29,256,1,68,52,47,1,1
553,554,49,33,131,0,80,30,86,0,1
554,555,32,12,74,0,81,21,5,1,0
555,556,37,3,57,1,45,10,87,1,0
556,557,69,17,272,1,44,33,23,1,0
557,558,61,22,198,1,73,14,84,1,1
558,559,58,32,51,1,50,9,94,1,0
559,560,36,33,71,1,48,95,57,0,1
560,561,31,33,121,1,77,52,63,0,1
561,562,50,35,136,1,79,47,93,1,0
562,563,35,34,273,1,80,30,55,1,1
563,564,57,16,121,0,48,36,97,1,0
564,565,65,27,117,1,47,27,81,0,0
565,566,61,13,113,0,83,30,11,0,0
566,567,38,33,143,1,97,69,34,0,1
567,568,40,10,68,0,79,13,70,0,0
568,569,52,12,177,0,42,86,88,1,0
569,570,40,32,136,1,52,15,5,1,0
570,571,31,1,131,0,58,24,64,0,0
571,572,32,33,230,0,73,38,79,0,1
572,573,40,28,270,1,71,65,59,1,1
573,574,64,36,136,1,88,37,67,1,1
574,575,44,3,146,1,55,40,28,1,0
575,576,40,11,101,0,75,97,37,1,0
576,577,60,25,224,1,57,39,91,1,1
577,578,57,27,131,0,53,63,21,0,0
578,579,57,2,231,1,69,88,7,1,1
579,580,61,19,221,1,41,99,62,0,1
580,581,54,9,146,0,52,15,95,0,0
581,582,49,17,184,0,66,81,96,1,0
582,583,57,26,164,0,98,76,12,0,1
583,584,54,30,141,1,92,58,26,0,1
584,585,40,26,50,1,91,100,17,1,1
585,586,48,0,112,1,56,90,17,0,1
586,587,57,5,297,0,70,97,76,1,0
587,588,30,10,280,0,54,10,85,1,0
588,589,34,33,275,0,96,0,61,0,1
589,590,39,38,216,0,59,12,13,1,1
590,591,63,19,68,1,44,29,10,1,0
591,592,65,20,80,0,46,68,85,0,0
592,593,31,20,126,0,57,17,99,1,0
593,594,47,17,170,1,95,77,16,0,1
594,595,42,20,73,1,50,12,50,0,0
595,596,34,18,118,0,71,31,95,1,0
596,597,49,3,264,0,89,70,13,0,0
597,598,31,12,260,0,66,71,56,1,0
598,599,40,17,242,0,65,49,92,0,0
599,600,59,28,210,0,76,70,5,1,1
600,601,61,24,108,0,84,79,56,1,0
601,602,61,12,163,1,67,30,3,0,0
602,603,67,26,297,1,89,50,10,0,1
603,604,57,18,210,1,41,26,73,1,0
604,605,39,0,209,1,59,59,91,1,1
605,606,51,37,236,0,43,32,10,0,1
606,607,46,18,269,0,52,52,98,1,0
607,608,51,0,150,0,63,92,78,1,0
608,609,48,39,218,0,100,71,7,0,1
609,610,46,16,61,1,87,32,83,0,1
610,611,53,20,250,0,77,40,58,1,0
611,612,65,21,291,0,97,18,20,0,1
612,613,61,14,168,0,79,84,64,0,0
613,614,65,38,188,0,87,40,92,1,1
614,615,57,38,146,1,84,84,23,0,1
615,616,43,31,196,0,94,88,29,0,1
616,617,65,3,231,1,68,41,98,1,0
617,618,35,31,106,0,97,22,96,0,1
618,619,38,3,91,0,75,74,83,1,0
619,620,50,0,147,0,41,32,56,0,0
620,621,41,32,248,1,80,19,79,0,1
621,622,59,6,80,0,57,24,72,1,0
622,623,60,8,229,0,88,89,94,0,1
623,624,69,0,51,0,47,51,16,0,0
624,625,33,15,260,1,97,11,58,0,0
625,626,60,17,215,1,54,31,30,0,0
626,627,56,5,81,0,80,32,63,0,1
627,628,54,1,187,1,56,73,47,0,1
628,629,34,8,154,0,62,67,22,1,0
629,630,35,3,185,0,41,14,69,0,0
