,Lines of code,Number of functions,Number of files,Number of external libraries,Number of dependencies,Number of internal comments,Number of external comments,Number of test cases,Number of bugs reported,Number of defects,label
50,4276,36,10,6,9,13,33,64,74,74,1
51,3009,32,27,4,1,11,94,116,21,37,1
52,753,10,35,2,2,21,19,144,16,57,1
53,7741,31,17,7,4,5,16,101,2,17,1
54,9228,34,36,0,2,12,67,102,46,55,1
55,4189,15,16,6,2,36,10,11,16,41,1
56,224,27,37,5,0,46,19,120,52,16,1
57,2512,12,11,0,4,40,48,39,51,53,1
58,9879,25,47,9,2,35,15,80,74,97,1
59,2094,36,49,3,0,33,94,100,61,65,1
60,3169,12,47,0,3,44,4,66,76,0,1
61,4868,13,43,8,1,12,32,65,75,99,1
62,9546,25,37,3,3,48,48,20,89,4,1
63,5791,34,6,7,8,20,81,85,89,11,1
64,7293,8,31,4,6,25,47,46,97,44,1
65,4838,10,18,5,0,21,56,20,65,33,1
66,4418,20,48,8,4,26,45,44,6,49,1
67,5746,8,28,1,0,38,97,113,32,14,1
68,1076,21,39,4,7,33,75,67,76,20,1
69,5258,5,17,0,7,28,76,109,4,54,1
70,945,20,10,1,6,8,62,89,99,84,1
71,7334,28,10,2,1,26,2,20,95,29,1
72,7061,40,7,7,7,40,15,109,61,85,0
73,7215,44,18,6,1,44,10,143,8,18,1
74,7912,9,7,3,9,10,73,100,86,37,1
75,5384,46,29,2,3,8,35,34,7,24,1
76,9942,19,49,4,1,9,81,51,49,6,1
77,8269,8,45,9,2,7,2,92,3,58,1
78,7302,20,30,5,0,8,33,30,40,58,1
79,2459,22,29,3,1,34,75,73,56,62,1
80,4281,12,27,6,7,16,5,23,27,4,1
81,4135,29,31,3,8,31,6,73,42,99,1
82,7071,33,32,7,2,31,84,46,98,58,1
83,1911,13,39,9,8,14,58,126,20,42,1
84,5578,5,47,6,1,31,43,70,11,98,1
85,3532,20,25,3,4,17,49,137,7,55,1
86,8475,12,20,6,1,28,20,59,50,3,1
87,2079,8,25,1,8,29,84,141,63,79,1
88,3595,11,49,4,7,25,33,100,60,73,1
89,4172,19,7,9,7,5,72,35,17,71,1
90,6521,42,8,4,8,27,16,105,65,0,0
91,2092,49,30,0,2,10,40,93,48,25,1
92,6476,38,14,9,3,43,97,18,68,8,1
93,8572,44,7,8,2,22,58,96,58,33,1
94,8600,38,28,1,8,6,76,80,72,33,1
95,676,12,45,0,8,33,51,90,70,98,1
96,4851,25,6,9,4,9,72,28,62,5,1
97,1442,31,35,4,1,22,17,44,77,81,1
98,4988,39,11,2,5,16,53,25,19,4,1
99,7584,35,28,7,6,32,4,24,48,3,1
100,5745,31,14,6,4,32,43,86,35,58,1
101,4867,49,41,0,3,5,81,86,88,20,1
102,7090,45,45,9,4,39,3,33,23,18,1
103,3287,32,47,6,4,40,12,41,9,58,1
104,5009,41,36,0,3,43,50,48,59,4,1
105,5044,40,30,2,3,42,25,29,76,70,1
106,251,7,7,1,5,20,94,125,88,1,1
107,670,45,17,1,3,6,6,135,76,7,1
108,9574,18,27,7,0,31,10,106,10,17,1
109,703,45,30,9,9,7,31,45,9,84,1
110,4054,11,29,1,8,13,7,62,98,91,1
111,9905,33,5,9,2,18,19,57,99,71,1
112,2913,42,46,7,6,47,68,29,51,25,1
113,8791,24,10,6,3,40,19,36,4,94,1
114,7697,45,25,3,2,30,80,129,40,74,1
115,1057,45,42,1,0,40,37,58,60,15,1
116,9858,35,31,3,8,41,2,104,33,89,0
117,4333,33,42,4,6,10,13,141,44,91,0
118,8074,14,30,1,7,43,17,31,17,36,1
119,5139,49,6,8,9,21,3,18,9,68,1
120,7819,26,45,2,4,37,48,143,63,22,1
121,6193,35,37,0,0,16,66,97,77,36,1
122,5567,31,24,9,8,48,69,119,77,38,0
123,476,46,34,1,8,6,52,69,46,44,1
124,7763,32,40,6,3,37,93,98,47,15,1
125,594,43,11,0,1,21,48,113,3,12,1
126,3568,36,47,7,4,37,66,16,78,6,1
127,8078,30,30,3,7,44,65,113,14,43,1
128,1541,16,10,7,3,14,79,134,24,93,1
129,5771,33,27,6,7,48,6,122,46,13,0
130,1992,6,41,4,5,26,69,54,6,99,1
131,1896,30,32,6,1,44,20,130,65,1,1
132,3402,31,9,8,3,5,39,24,24,63,1
133,6422,36,35,9,6,21,33,56,41,93,1
134,7829,49,34,8,2,42,19,32,20,43,1
135,9704,13,43,5,2,9,67,142,60,76,1
136,8545,30,20,2,3,13,93,60,59,44,1
137,5789,16,17,4,9,25,26,78,80,54,1
138,7864,5,20,7,5,27,19,137,48,71,1
139,5580,42,34,1,7,36,82,22,41,87,1
140,6418,9,31,9,3,29,70,133,61,60,1
141,3198,25,47,4,1,25,46,36,14,4,1
142,6516,12,28,1,1,46,68,63,15,84,1
143,3087,37,15,7,4,44,74,37,29,45,1
144,9137,47,25,1,7,47,32,64,57,20,1
145,2454,33,20,3,8,9,18,116,38,69,0
146,641,32,17,2,9,39,67,19,50,69,1
147,8036,5,11,7,3,20,70,123,24,14,1
148,8684,15,11,4,6,27,2,12,11,2,1
149,9778,27,46,4,8,33,82,135,23,86,1
150,4735,21,13,4,0,5,8,24,5,17,1
151,8251,42,34,2,9,32,22,36,76,74,1
152,8161,19,34,5,8,35,10,77,78,23,1
153,4026,9,30,9,5,7,17,95,27,29,1
154,7269,13,5,3,8,25,61,37,99,31,1
155,9501,10,27,5,5,35,18,17,83,63,1
156,8844,11,12,2,0,9,59,82,69,7,1
157,6159,30,24,9,9,7,57,34,14,10,1
158,4803,36,10,1,6,33,6,39,79,0,1
159,3376,40,5,5,4,33,61,89,43,8,1
160,7868,42,26,8,1,5,9,108,87,49,1
161,847,14,42,3,3,16,59,32,22,72,1
162,929,8,33,8,3,6,70,66,42,47,1
163,623,31,26,9,2,44,52,93,31,83,1
164,7936,31,30,3,5,12,44,120,65,61,1
165,2842,31,42,3,1,19,32,20,39,87,1
166,4364,19,9,8,3,31,67,124,12,20,1
167,2414,16,18,9,3,17,58,78,20,72,1
168,3524,48,21,0,2,9,75,34,24,11,1
169,705,31,21,2,0,37,46,82,17,0,1
170,681,38,9,2,9,41,69,20,74,39,1
171,4297,20,24,3,9,39,24,39,39,24,1
172,8656,39,31,3,2,25,40,47,31,3,1
173,8395,23,36,7,4,12,48,108,52,59,1
174,4641,15,17,8,2,33,19,44,89,83,1
175,9546,47,45,5,0,31,40,47,40,30,1
176,3806,7,20,1,2,20,67,78,53,91,1
177,5005,23,29,2,2,12,89,28,80,64,1
178,920,17,47,7,1,28,41,146,47,67,1
179,8211,29,40,7,6,43,61,88,88,60,1
180,6363,47,14,9,5,9,59,102,83,64,1
181,1593,27,30,3,0,20,14,87,1,75,1
182,674,28,6,1,3,32,88,114,39,6,1
183,1616,16,48,6,2,8,1,54,10,87,1
184,5470,43,13,6,2,28,66,10,96,45,1
185,1422,14,19,7,0,36,37,105,71,52,1
186,7834,21,40,1,3,38,10,87,81,9,1
187,4539,48,15,6,8,32,26,127,36,63,0
188,2450,6,49,9,0,45,67,121,2,89,1
189,3413,11,26,9,9,43,64,122,57,36,1
190,4067,15,38,9,5,6,73,38,49,64,1
191,9679,8,37,7,8,26,9,53,59,25,1
192,3653,39,49,5,5,21,27,89,86,36,1
193,5498,35,19,5,8,12,77,126,70,66,0
194,2956,29,27,4,0,31,91,73,72,93,1
195,9794,14,36,0,7,43,9,97,82,61,1
196,3116,36,23,6,6,48,66,26,80,99,1
197,5773,36,44,5,6,16,85,126,57,21,0
198,1827,14,16,3,6,28,91,29,2,70,1
199,8826,39,37,2,2,26,33,45,25,40,1
200,3693,41,11,9,0,12,70,119,71,96,1
201,145,9,20,1,7,38,88,95,66,81,1
202,9755,24,17,9,1,25,92,113,85,94,1
203,1168,35,10,8,1,11,11,73,42,50,1
204,5046,24,17,4,4,30,96,67,21,58,1
205,2832,22,35,1,8,21,17,105,9,8,1
206,8215,31,30,8,4,33,19,82,67,14,1
207,2327,27,46,9,0,23,25,68,3,61,1
208,2367,44,39,2,7,25,26,113,12,53,0
209,4794,46,37,8,4,48,57,47,43,67,1
210,9859,7,38,9,3,36,30,58,85,90,1
211,7002,9,46,9,9,23,22,12,76,99,1
212,5368,49,43,5,4,49,61,26,39,34,1
213,9013,25,29,8,2,17,95,104,77,24,1
214,867,23,27,2,0,48,15,105,94,50,1
215,2768,14,12,6,9,49,65,34,57,90,1
216,6307,48,28,1,2,28,47,29,31,33,1
217,4160,42,18,7,2,23,71,17,5,74,1
218,6414,17,31,7,2,10,65,71,90,84,1
219,1269,20,42,1,0,30,69,20,1,24,1
220,3933,7,44,8,9,25,85,54,11,41,1
221,4319,34,10,1,8,34,78,68,35,57,1
222,7068,47,33,6,3,33,13,11,70,34,1
223,831,44,30,5,6,14,88,36,25,17,1
224,899,41,35,9,2,8,15,72,9,13,1
225,8470,41,23,0,6,8,61,129,99,61,0
226,9082,23,38,2,6,48,50,115,39,55,1
227,5082,12,13,7,9,44,98,43,64,31,1
228,5867,27,36,5,2,26,26,126,36,41,1
229,8720,46,44,1,1,14,78,89,41,25,1
230,5536,38,45,2,6,29,24,111,64,75,0
231,4149,45,41,9,1,19,5,48,12,75,1
232,1197,30,31,5,0,47,79,52,42,64,1
233,9070,45,26,1,9,7,94,67,10,49,1
234,2769,41,12,9,5,19,7,39,55,94,1
235,8652,9,23,0,1,17,61,148,29,70,1
236,1373,6,39,2,0,36,16,94,50,18,1
237,5572,15,37,6,6,12,29,16,57,85,1
238,5246,44,46,3,3,23,90,79,79,23,1
239,4961,28,34,6,2,39,19,45,74,18,1
240,6923,49,29,1,5,5,83,48,86,37,1
241,3346,11,43,8,8,47,41,83,78,47,1
242,7248,45,26,3,8,22,55,32,27,40,1
243,3181,47,27,9,2,5,28,50,68,43,1
244,5248,24,12,8,0,40,43,25,68,49,1
245,3552,17,5,7,0,24,24,38,66,92,1
246,1496,22,28,8,4,10,91,71,51,77,1
247,7978,15,25,4,0,38,49,109,68,25,1
248,7703,39,24,4,2,8,12,85,18,80,1
249,4394,25,43,4,0,18,2,105,8,10,1
250,9722,34,9,2,9,8,90,111,6,15,1
251,2748,28,45,8,2,25,57,89,46,10,1
252,811,39,10,4,9,15,69,86,98,5,1
253,4963,37,15,0,8,30,27,114,31,73,0
254,1135,40,47,5,1,11,51,109,1,72,1
255,9551,34,32,2,5,32,55,34,92,86,1
256,4909,45,9,6,4,37,61,128,4,67,1
257,8712,8,29,9,7,34,76,62,28,86,1
258,7423,18,14,6,2,30,35,136,26,56,1
259,1791,34,48,6,7,5,26,138,9,42,1
260,6636,7,33,1,1,18,61,64,28,4,1
261,9691,9,6,6,6,35,15,149,12,7,1
262,4347,32,41,3,8,19,58,14,91,14,1
263,7367,22,26,4,5,21,21,94,86,63,1
264,1791,32,21,2,1,37,15,52,60,93,1
265,2494,24,36,4,4,9,1,115,73,51,1
266,4171,5,20,8,3,30,78,136,93,11,1
267,2861,31,25,6,4,49,85,48,40,21,1
268,8948,30,41,5,5,45,66,125,72,64,1
269,3099,23,18,7,1,42,65,52,91,9,1
270,3516,26,15,7,9,49,73,27,68,10,1
271,7678,31,40,8,1,11,95,24,86,87,1
272,3473,32,28,5,4,26,69,13,33,50,1
273,7246,26,20,8,4,45,32,108,68,22,1
274,9489,41,36,3,4,37,68,120,57,85,1
275,6313,44,38,7,3,6,8,103,18,62,1
276,7702,13,9,9,6,6,77,95,32,39,1
277,3156,35,23,5,7,47,73,21,89,3,1
278,1238,9,34,7,6,39,4,14,71,98,1
279,3738,5,6,6,1,6,57,80,9,83,1
280,410,30,46,5,3,12,12,145,39,92,1
281,9918,13,18,8,6,14,70,86,21,55,1
282,9489,22,13,5,4,13,62,23,75,16,1
283,3700,28,17,0,3,22,93,133,54,41,1
284,8291,41,5,9,4,26,92,122,95,94,1
285,8456,37,34,6,0,14,63,132,48,27,1
286,8428,45,15,8,9,25,75,16,21,95,1
287,1465,46,42,4,3,9,93,69,44,83,1
288,6108,24,45,9,8,11,6,106,49,94,1
289,9935,18,39,2,2,13,58,91,63,64,1
290,6755,21,26,6,1,6,23,141,86,3,1
291,888,31,15,7,3,31,91,71,46,97,1
292,8163,6,45,9,7,23,70,90,67,99,1
293,8385,47,45,9,6,18,41,57,45,52,1
294,7587,24,33,9,5,30,82,145,19,64,1
295,5284,39,12,7,1,32,94,25,74,63,1
296,7217,41,37,7,8,38,12,25,35,53,1
297,6602,25,21,6,6,38,17,50,99,35,1
298,602,9,32,0,4,8,2,66,51,66,1
299,2603,27,10,5,1,5,35,100,8,24,1
300,7669,22,31,8,7,22,48,83,83,21,1
301,8990,38,42,4,0,30,70,16,4,83,1
302,6691,32,27,7,8,10,74,86,65,48,1
303,1509,17,23,0,4,29,81,38,36,74,1
304,336,45,49,6,6,39,2,27,56,51,1
305,6828,24,28,0,0,10,93,79,47,22,1
306,5866,30,7,8,8,7,78,133,38,67,1
307,8611,25,34,6,1,47,6,16,9,77,1
308,3062,41,37,4,2,11,29,133,90,35,1
309,4569,15,47,3,0,23,34,47,57,55,1
310,8467,49,6,5,6,31,58,60,64,65,1
311,9432,19,5,5,7,31,80,49,87,58,1
312,9657,19,49,4,8,18,67,125,87,76,1
313,7528,44,37,9,4,12,55,48,82,9,1
314,2614,35,18,8,7,8,4,117,5,59,1
315,7755,42,41,8,6,23,42,30,59,42,1
316,2612,35,25,6,8,27,22,61,2,48,1
317,8439,19,34,7,5,35,15,38,21,39,1
318,9215,19,25,7,0,34,57,11,23,48,1
319,5672,16,9,1,1,40,44,47,66,57,1
320,3527,12,6,8,9,33,88,13,54,9,1
321,5263,21,5,2,5,34,4,53,10,72,1
322,113,23,17,4,6,47,65,39,22,63,1
323,3812,11,6,6,2,33,13,69,42,4,1
324,2606,45,37,5,6,49,9,82,16,99,1
325,6225,10,5,0,8,43,72,62,90,4,1
326,8649,12,13,9,2,31,49,110,53,55,1
327,727,28,46,7,3,31,17,106,57,31,1
328,7666,18,39,3,2,44,94,124,49,94,1
329,5309,29,10,2,7,28,85,13,82,88,1
330,2664,8,33,8,6,42,39,62,97,71,1
331,6213,36,36,0,4,36,4,74,69,24,1
332,2513,18,13,1,7,13,35,110,55,33,1
333,1418,41,46,3,1,21,53,114,28,24,1
334,1528,23,33,2,6,16,54,99,38,30,1
335,424,31,30,7,6,5,91,88,76,68,1
336,4029,11,39,0,5,13,0,103,66,69,1
337,5186,9,8,7,8,15,61,98,51,26,1
338,7319,45,5,4,7,25,97,133,65,44,0
339,6614,22,19,0,3,15,50,38,7,64,1
340,9857,47,14,5,0,13,49,64,15,2,1
341,2061,6,12,8,1,7,5,124,12,14,1
342,6841,23,48,7,6,29,32,74,16,81,1
343,6716,19,31,7,8,29,33,113,39,10,1
344,3378,33,34,0,0,15,28,68,90,35,1
345,4850,13,35,8,1,20,22,42,92,95,1
346,8323,20,19,4,9,25,87,130,98,70,1
347,8313,29,46,3,0,40,89,56,69,82,1
348,3483,29,14,3,2,47,73,122,97,45,1
349,6347,19,5,7,5,23,42,15,67,9,1
350,4827,47,44,8,0,21,91,136,11,45,1
351,6003,18,10,8,9,24,4,131,30,17,1
352,4622,15,48,2,6,23,18,138,13,80,1
353,5834,42,25,3,3,27,93,74,5,78,1
354,1543,30,6,4,9,8,18,63,38,81,1
355,8291,48,26,9,0,46,10,68,83,90,1
356,9686,19,7,3,4,46,14,49,89,33,1
357,6791,31,18,1,2,7,86,75,59,37,1
358,1765,19,6,3,2,12,95,29,78,62,1
359,5041,30,29,8,2,24,25,32,63,13,1
360,833,32,42,7,8,34,2,64,97,74,1
361,6821,40,34,5,6,39,80,25,64,13,1
362,8357,10,30,6,7,28,57,48,49,42,1
363,3714,25,24,1,7,24,85,22,83,94,1
364,9210,30,47,4,8,43,41,41,43,39,1
365,4194,16,16,9,1,12,38,24,3,64,1
366,105,6,23,4,2,27,72,28,12,61,1
367,8555,32,31,7,4,42,72,24,61,60,1
368,5637,29,5,9,5,37,48,108,26,51,1
369,823,16,41,5,3,27,78,136,91,33,1
370,5611,24,10,9,0,22,13,122,64,86,1
371,1953,44,20,6,2,12,23,126,15,12,1
372,9308,34,17,4,2,31,37,47,50,22,1
373,5265,28,48,1,0,20,10,24,57,81,1
374,7285,39,9,1,8,47,94,140,17,99,0
375,8727,30,32,0,4,11,27,41,40,35,1
376,4076,21,14,0,7,48,10,54,88,16,1
377,6435,31,19,4,7,17,69,51,83,66,1
378,8422,37,6,8,4,33,77,144,3,49,1
379,888,29,13,7,4,33,26,112,48,19,1
380,8931,33,23,3,0,12,29,107,94,0,1
381,9782,22,21,9,3,33,42,82,29,32,1
382,2805,14,5,0,6,22,60,146,91,59,1
383,2813,47,37,3,2,36,10,117,61,25,1
384,1242,5,42,8,8,12,94,105,4,30,1
385,121,24,16,2,4,6,3,30,53,58,1
386,4008,11,16,8,6,7,86,76,99,87,1
387,2881,40,7,5,5,47,67,77,12,48,1
388,1358,7,39,7,7,28,56,119,23,68,1
389,7586,23,11,8,0,6,71,77,95,5,1
390,3924,44,37,4,9,28,99,140,46,90,0
391,9667,20,13,1,3,15,23,59,87,87,1
392,8291,28,40,5,1,43,11,26,1,38,1
393,3161,10,35,0,8,32,44,35,67,28,1
394,2226,38,37,7,6,9,57,107,60,21,0
395,8328,14,35,9,1,23,20,46,23,95,1
396,6051,34,41,5,0,40,30,59,49,42,1
397,628,18,10,2,1,31,39,46,94,15,1
398,176,19,30,0,0,38,59,133,50,97,1
399,4515,38,25,6,0,5,63,137,81,15,1
400,2980,48,15,8,9,27,9,84,69,28,1
401,6265,18,10,1,9,24,74,117,88,14,1
402,4186,42,9,9,2,37,35,111,74,34,1
403,4186,13,15,8,0,49,32,100,17,10,1
404,1217,20,28,0,5,16,25,92,64,97,1
405,5559,16,28,0,6,14,21,13,28,5,1
406,1690,44,46,6,6,29,44,145,10,0,0
407,1577,42,32,8,1,6,21,70,66,42,1
408,7603,45,34,2,9,20,21,143,36,68,0
409,4174,18,28,8,7,15,9,62,19,30,1
410,6748,20,41,5,6,44,18,74,57,26,1
411,6200,45,18,8,3,39,94,11,81,84,1
412,1136,40,21,9,5,28,14,144,2,19,1
413,4622,30,49,4,2,49,59,49,8,70,1
414,2443,18,22,9,2,19,44,129,47,27,1
415,1551,27,26,5,1,44,74,53,30,90,1
416,3432,46,33,4,1,33,65,23,86,58,1
417,5784,33,43,7,3,41,31,58,37,92,1
418,9827,33,5,2,9,49,82,32,25,81,1
419,4174,19,29,3,5,26,81,21,62,90,1
420,723,24,20,1,9,19,73,142,98,80,1
421,5185,8,26,8,4,20,54,27,36,59,1
422,5504,45,31,6,9,29,21,63,76,80,1
423,1738,7,5,6,9,49,56,26,28,17,1
424,1751,13,30,7,0,16,14,125,77,8,1
425,1282,38,6,5,5,49,0,130,62,33,1
426,467,13,11,4,9,28,48,17,60,35,1
427,474,49,10,1,4,16,18,61,92,82,1
428,7042,43,33,2,6,25,98,30,9,3,1
429,7580,16,14,2,7,9,99,44,86,3,1
430,5107,41,26,4,1,31,51,49,71,70,1
431,2509,38,34,3,8,42,14,68,39,72,1
432,6376,41,45,5,6,44,55,88,34,90,1
433,7284,23,22,9,1,6,48,89,31,37,1
434,4695,30,36,1,4,12,99,136,68,31,1
435,8363,26,42,0,5,10,83,71,17,81,1
436,3242,36,30,7,5,16,89,103,81,67,1
437,5765,27,33,8,6,16,36,149,15,18,1
438,9135,5,5,2,3,48,43,139,76,3,1
439,7670,44,49,0,0,21,3,17,93,36,1
440,1747,36,6,8,9,45,12,108,61,95,0
441,9380,35,22,7,0,19,86,123,50,19,1
442,8641,17,9,5,4,15,41,143,88,44,1
443,6217,43,44,9,4,44,57,144,81,39,1
444,8710,14,27,5,2,34,8,78,38,44,1
445,3792,36,43,7,3,14,60,10,20,70,1
446,7691,48,19,3,0,7,32,20,86,40,1
447,7612,8,44,0,3,20,83,43,23,7,1
448,1447,34,5,5,6,20,26,76,55,81,1
449,4465,5,43,2,2,26,46,144,92,46,1
450,9578,13,36,9,1,36,55,89,68,33,1
451,275,36,42,7,2,37,28,129,36,6,1
452,5453,20,17,6,4,22,9,32,86,55,1
453,2375,37,49,9,3,38,5,129,9,73,1
454,5385,32,19,8,3,42,29,71,32,11,1
455,803,16,39,9,5,21,96,43,82,60,1
456,4257,42,46,9,1,12,51,144,41,56,1
457,772,46,26,2,6,13,44,47,18,95,1
458,6597,48,47,5,2,45,54,109,95,13,1
459,3649,18,32,1,2,42,39,78,87,8,1
460,375,38,43,4,8,37,27,50,29,26,1
461,7445,46,15,0,9,48,31,32,44,17,1
462,3981,19,24,6,7,12,52,91,99,86,1
463,3449,38,24,2,0,48,50,66,41,51,1
464,6722,30,28,0,7,7,60,55,48,23,1
465,1169,12,48,1,5,16,60,99,92,67,1
466,7297,20,12,2,7,28,30,118,33,4,1
467,7623,21,24,0,6,15,67,121,43,86,1
468,3616,35,9,2,8,22,14,33,94,46,1
469,734,20,38,6,6,24,44,128,35,45,1
470,2028,18,47,3,0,26,4,109,58,31,1
471,5184,49,16,2,3,21,84,91,46,72,1
472,5297,46,46,2,7,17,34,25,67,2,1
473,7329,19,35,0,0,37,89,61,34,71,1
474,4882,39,6,4,1,14,9,85,57,23,1
475,4179,26,45,4,5,8,81,119,96,58,1
476,2169,10,42,5,3,15,45,144,23,7,1
477,8559,14,15,3,5,48,22,31,44,21,1
478,7306,45,7,2,1,17,21,18,69,8,1
479,9333,49,37,5,2,26,96,117,28,54,1
480,7900,20,8,3,9,36,95,23,83,17,1
481,809,22,36,8,9,49,47,28,69,1,1
482,3383,18,37,3,4,32,41,39,17,8,1
483,362,40,19,0,9,9,42,111,68,85,1
484,7866,17,10,9,1,6,8,83,84,59,1
485,821,6,40,1,5,20,23,104,25,70,1
486,1031,41,22,9,8,35,79,28,57,35,1
487,9988,10,20,3,3,13,24,77,56,68,1
488,190,8,25,8,0,11,90,122,12,54,1
489,8898,8,13,9,7,46,67,70,66,53,1
490,4618,33,25,1,4,27,16,110,30,11,1
491,3418,26,43,3,4,24,79,72,75,5,1
492,3425,27,29,4,2,38,19,140,63,6,1
493,4454,47,48,3,1,10,84,61,67,48,1
494,8431,25,38,6,2,44,49,119,39,84,1
495,636,10,31,2,0,21,4,67,95,17,1
496,7568,45,39,3,9,14,1,27,34,21,1
497,5018,9,28,0,1,41,10,19,86,73,1
498,3342,11,17,6,2,12,86,109,6,9,1
499,8687,35,15,4,9,9,50,16,35,6,1
500,9738,46,40,1,5,10,84,74,1,66,1
501,8394,38,18,8,8,41,79,137,78,23,0
502,4445,6,46,9,1,22,18,105,88,90,1
503,4410,15,25,9,2,39,15,61,30,76,1
504,4429,23,14,5,4,8,39,85,59,40,1
505,5693,47,19,5,3,32,79,43,62,11,1
506,6140,12,36,7,4,23,74,90,27,23,1
507,3337,16,35,6,2,16,89,12,46,37,1
508,896,44,48,4,0,33,92,89,74,25,1
509,9037,43,27,8,5,46,27,93,46,83,1
510,3219,6,27,1,4,35,4,81,42,78,1
511,8831,14,10,3,3,7,30,52,88,88,1
512,8851,24,45,4,8,13,72,48,8,32,1
513,3401,26,47,0,0,18,80,97,72,9,1
514,4341,13,17,1,3,47,94,34,87,75,1
515,6072,21,6,3,8,8,68,122,12,84,1
516,7925,13,30,9,8,25,55,103,43,9,1
517,1539,10,30,7,8,18,44,109,6,36,1
518,8519,6,33,3,9,44,54,18,30,84,1
519,3270,33,22,3,8,30,83,147,76,31,0
520,8960,39,25,2,6,11,84,62,80,67,1
521,6416,37,12,8,1,20,94,57,40,80,1
522,7936,45,21,9,9,19,30,58,7,48,1
523,3296,6,19,6,7,32,5,128,65,9,1
524,2400,7,15,8,1,13,60,103,0,22,1
525,9291,5,15,6,6,11,37,13,99,9,1
526,3737,28,34,2,9,48,53,125,40,6,1
527,1307,37,24,5,5,20,15,107,22,2,1
528,3513,32,23,5,9,46,39,94,96,2,1
529,1003,43,15,9,3,47,94,90,77,35,1
530,4232,38,46,1,8,22,68,85,55,65,1
531,1912,20,40,2,3,38,97,29,75,22,1
532,4188,37,11,2,3,19,74,78,63,13,1
533,1870,44,13,4,8,22,10,110,94,56,0
534,204,44,22,5,0,49,86,47,27,6,1
535,2789,48,6,5,9,5,97,46,56,10,1
536,4768,31,18,7,0,17,6,88,40,14,1
537,839,18,34,9,5,40,77,13,72,96,1
538,5789,12,19,5,0,42,26,87,71,6,1
539,9915,20,5,9,8,14,41,146,48,21,1
540,2463,16,40,9,0,6,30,29,37,4,1
541,2347,20,36,2,8,40,32,79,95,17,1
542,5479,48,32,2,2,38,33,122,36,96,1
543,3571,42,41,0,6,15,33,67,88,47,1
544,7222,12,8,5,7,24,2,114,57,22,1
545,3868,23,5,2,6,5,4,78,82,43,1
546,5104,34,12,0,8,16,28,128,0,65,1
547,5790,37,5,9,1,26,52,40,65,86,1
548,5478,48,28,8,8,17,9,71,5,68,1
549,5653,43,20,4,9,44,4,76,60,14,1
550,1005,5,14,4,5,15,84,46,37,33,1
551,7929,14,8,4,6,20,55,24,50,24,1
552,9284,46,12,4,2,48,37,78,45,59,1
553,3935,27,23,4,1,6,52,146,30,55,1
554,6595,14,40,8,0,26,4,60,32,52,1
555,8116,26,23,2,2,48,82,36,10,27,1
