,age,gender,english_score,mathematics_score,science_score,attendance_rate,parent_education_level,weekly_study_hours,school_type,previous_schooling_completion,standardized_test_score,special_needs,label
209,15,0,74,90,78,71,0,23,1,1,66,1,1
210,17,0,77,79,45,74,0,19,1,1,69,0,0
211,17,1,52,93,48,75,2,9,0,1,97,0,1
212,15,1,95,44,59,76,1,19,1,1,84,1,1
213,17,1,86,59,99,90,0,24,1,0,66,0,1
214,17,1,64,79,40,94,2,27,1,0,65,0,1
215,15,0,48,95,47,70,0,29,1,0,46,1,0
216,18,1,43,83,94,92,0,6,1,0,81,0,1
217,15,1,53,40,62,95,1,17,0,0,86,1,1
218,18,0,76,96,42,76,0,28,0,0,92,0,1
219,17,0,73,69,43,89,2,20,0,1,98,1,1
220,17,0,50,60,97,94,2,19,0,0,77,1,1
221,17,1,80,59,64,99,1,29,1,1,44,1,1
222,16,0,95,45,86,81,0,14,0,1,62,1,1
223,18,0,42,61,77,85,2,18,1,1,67,1,1
224,16,0,98,57,54,85,0,14,0,0,73,0,1
225,16,1,67,47,60,80,0,29,0,1,92,0,0
226,15,0,68,78,74,90,0,18,0,0,54,0,0
227,16,1,48,71,96,73,1,27,1,1,71,1,1
228,15,1,42,72,92,82,0,13,1,1,65,0,0
229,15,0,64,92,92,76,2,29,0,0,87,1,1
230,16,0,73,55,85,73,0,18,1,1,70,1,1
231,18,1,51,51,91,84,2,7,0,1,58,0,1
232,18,0,81,77,53,88,0,24,0,1,48,1,0
233,18,0,48,91,75,78,2,20,0,1,68,0,1
234,18,1,54,73,51,80,2,6,1,0,93,1,0
235,18,1,79,53,56,77,0,14,0,1,97,1,1
236,16,0,64,75,78,70,0,7,0,1,90,0,1
237,16,1,44,72,48,92,2,15,0,0,78,1,0
238,17,0,50,62,74,94,1,15,1,1,43,0,0
239,18,0,98,89,99,93,0,25,0,1,42,1,1
240,16,0,73,84,52,77,1,25,1,1,95,0,1
241,17,1,63,41,54,82,0,26,0,1,68,1,0
242,18,0,99,80,57,91,0,17,1,0,91,0,1
243,15,0,54,60,90,96,0,11,0,1,50,0,0
244,17,0,77,41,72,73,0,27,0,0,72,1,0
245,16,1,47,66,45,77,1,21,1,1,77,0,0
246,15,1,98,96,98,72,0,6,1,1,97,1,1
247,15,1,44,48,66,98,2,16,0,1,50,1,1
248,15,1,87,40,62,78,2,29,1,0,66,0,0
249,17,1,65,50,98,98,1,14,0,1,72,0,1
250,16,0,57,42,66,71,0,22,0,1,60,0,0
251,15,1,45,91,73,71,2,26,0,0,78,0,1
252,18,1,76,62,95,97,1,15,1,0,70,0,1
253,15,1,99,65,85,82,0,20,0,0,77,1,1
254,15,0,87,43,77,84,2,21,1,0,85,0,1
255,17,1,52,57,53,97,2,23,0,1,41,1,1
256,17,1,67,94,75,92,1,22,1,1,66,0,1
257,16,0,44,45,92,81,0,7,1,1,75,0,0
258,18,1,52,74,47,95,0,25,0,1,50,0,1
259,17,0,56,61,74,73,2,20,1,0,86,1,0
260,15,0,89,82,58,95,2,10,0,1,57,0,1
261,16,0,79,54,69,77,2,29,0,1,98,1,1
262,15,0,84,61,53,78,0,16,0,1,40,1,0
263,15,0,71,99,98,92,1,15,0,1,74,1,1
264,17,1,68,76,59,74,1,19,0,0,74,0,0
265,16,0,90,91,88,93,0,19,1,1,70,1,1
266,18,0,97,81,64,89,1,20,0,1,67,0,1
267,18,1,42,51,79,87,2,14,1,1,78,1,1
268,17,0,95,86,63,80,1,16,1,0,40,0,1
269,17,1,79,88,53,84,1,17,0,0,64,1,1
270,16,1,73,81,65,97,1,8,1,1,82,0,1
271,18,1,79,77,77,91,2,11,0,1,77,0,1
272,18,0,66,57,62,78,0,26,1,1,59,0,0
273,18,0,52,84,61,86,2,6,1,0,42,1,0
274,15,0,84,74,87,96,0,19,1,1,90,1,1
275,18,1,72,69,96,95,0,12,0,1,41,0,0
276,15,0,45,63,58,81,0,11,1,1,57,1,0
277,16,0,63,81,85,76,1,19,0,0,83,1,1
278,15,0,58,69,90,79,1,27,1,1,49,1,0
279,16,1,55,53,42,94,0,18,1,1,44,1,1
280,18,1,79,45,81,95,0,12,1,0,48,1,0
281,18,0,67,42,58,94,1,16,1,0,41,1,1
282,16,0,72,55,48,79,2,17,0,1,73,1,1
283,17,0,98,46,67,96,0,15,0,0,99,0,1
284,16,0,98,91,59,82,2,21,1,1,77,0,1
285,17,1,87,53,84,88,1,21,1,0,70,1,1
286,15,1,80,48,46,80,0,28,0,0,49,0,0
287,15,1,52,54,53,82,2,8,0,1,89,0,1
288,15,1,82,60,48,90,2,25,0,1,51,0,1
289,18,0,84,74,98,77,2,12,0,1,75,1,1
290,15,0,64,41,99,77,1,9,1,0,93,1,1
291,17,0,92,66,94,73,1,20,1,1,60,1,1
292,15,1,81,41,96,84,2,8,0,1,88,1,1
293,16,0,75,74,99,97,2,26,0,1,86,1,1
294,16,1,66,57,58,80,1,19,0,1,45,0,0
295,18,1,77,53,86,80,2,16,0,1,87,1,1
296,16,0,99,59,91,70,2,9,0,0,88,0,1
297,17,0,46,57,53,86,1,27,0,1,42,1,0
298,15,0,44,49,95,84,2,20,1,1,49,0,1
299,18,1,82,64,77,89,2,18,1,0,44,1,0
300,15,0,84,41,92,75,2,14,1,1,85,1,1
301,15,1,97,64,75,93,1,11,0,1,65,1,1
302,17,0,96,93,79,91,2,17,0,1,60,1,1
303,16,1,90,72,56,97,1,24,0,1,84,1,1
304,16,1,70,75,69,94,1,9,1,1,65,1,0
305,15,0,62,70,48,84,0,7,0,0,77,0,0
306,18,1,81,53,72,78,0,19,0,0,83,1,1
307,16,1,49,40,95,83,2,8,1,0,65,0,0
308,18,0,71,85,91,87,1,19,0,1,47,1,1
309,16,1,82,55,64,95,0,18,1,0,44,0,1
310,18,0,92,93,53,86,2,24,1,1,54,0,1
311,17,1,69,85,50,87,0,23,0,1,98,0,1
312,18,0,78,91,92,74,0,17,1,1,55,0,1
313,17,0,70,42,74,89,1,14,0,0,40,0,0
314,17,1,57,74,80,89,1,25,1,0,55,0,0
315,18,1,75,80,98,78,0,9,0,0,76,1,1
316,17,1,41,45,53,80,0,27,1,1,42,0,0
317,15,1,53,64,69,93,1,24,0,0,91,1,1
318,17,1,52,52,80,91,2,24,1,1,86,1,1
319,16,0,68,92,43,70,1,29,1,0,70,0,0
320,18,1,51,73,98,87,0,10,1,0,52,0,0
321,15,0,78,47,43,75,2,8,0,1,95,1,1
322,18,0,41,60,67,96,0,6,0,1,55,0,0
323,16,1,71,73,47,71,2,26,1,0,94,0,1
324,16,0,52,43,41,84,0,20,0,0,82,0,0
325,16,0,85,64,80,98,2,22,1,0,60,0,1
326,17,0,66,54,85,95,2,9,0,1,41,0,1
327,17,0,88,43,61,90,0,26,1,1,93,0,1
328,18,1,80,84,80,83,2,8,0,0,66,0,1
329,18,0,56,99,95,74,1,17,1,0,77,1,1
330,15,1,79,51,94,75,0,23,1,1,65,0,1
331,15,1,70,71,55,75,1,27,1,0,97,1,1
332,18,0,73,71,68,99,0,6,1,1,98,1,1
333,17,1,99,67,88,91,2,17,0,1,77,1,1
334,16,1,63,52,87,99,2,15,1,1,85,1,1
335,18,1,84,70,69,87,2,26,0,1,64,0,1
336,15,0,74,53,51,83,0,8,0,1,50,1,0
337,17,1,87,59,74,79,1,26,1,1,47,1,0
338,18,1,45,57,50,83,1,24,0,0,47,1,0
339,18,1,58,68,85,82,0,24,0,1,72,1,1
340,17,0,69,99,89,99,0,19,0,1,92,1,1
341,18,1,46,45,60,72,1,8,1,0,46,0,0
342,17,0,49,71,60,99,1,13,0,1,77,0,0
343,16,0,80,68,44,75,1,11,0,0,60,1,0
344,17,0,71,82,87,98,1,23,1,1,47,0,1
345,17,0,73,41,59,77,0,23,1,0,90,0,0
346,17,0,67,99,76,81,0,10,0,0,93,1,1
347,18,0,99,62,42,82,2,10,1,1,60,1,1
348,18,1,54,58,83,80,1,24,0,1,95,1,1
349,17,0,69,70,72,81,2,19,0,1,59,0,1
350,18,1,76,90,92,70,0,19,0,1,47,1,1
351,15,1,68,44,48,86,0,29,1,0,97,0,0
352,15,0,61,58,48,85,2,24,0,0,85,0,0
353,18,1,43,73,43,80,1,13,1,0,70,0,0
354,18,1,59,49,74,82,1,8,1,1,89,1,0
355,17,1,71,64,56,87,1,22,0,0,96,0,1
356,16,1,75,41,73,80,1,22,1,1,68,1,0
357,18,0,89,50,63,97,2,9,1,1,87,1,1
358,15,1,43,89,71,81,2,24,1,0,48,1,0
359,17,0,66,70,40,75,0,27,1,1,54,1,0
360,18,1,56,95,47,78,1,15,1,0,69,1,0
361,15,1,51,54,84,85,1,9,0,1,65,0,0
362,15,0,61,48,62,73,1,26,1,0,49,0,0
363,16,1,56,62,86,72,2,8,0,1,68,0,1
364,17,1,49,58,79,97,1,16,0,0,93,0,1
365,17,1,93,48,51,85,2,6,0,0,55,0,0
366,16,0,40,74,93,93,1,17,0,1,75,1,1
367,16,1,61,60,51,96,1,14,0,1,59,1,0
368,17,0,65,48,85,95,0,13,0,0,84,0,1
369,17,1,95,67,86,99,1,14,1,1,93,0,1
370,18,0,98,85,54,94,1,11,1,1,76,0,1
371,18,0,57,90,80,81,0,8,1,1,61,1,1
372,16,1,89,46,58,80,2,23,0,0,46,1,0
373,18,1,53,55,65,74,2,14,1,0,62,1,0
374,15,0,86,55,91,94,1,7,1,1,80,0,1
375,18,0,68,99,68,87,2,29,1,1,79,0,1
376,18,1,51,72,61,88,1,25,0,0,68,0,0
377,15,0,75,43,79,92,0,23,1,1,55,0,1
378,16,1,98,43,60,92,0,25,0,0,77,1,1
379,15,1,74,78,90,75,1,6,1,1,67,0,1
380,18,1,91,79,77,91,0,24,0,1,87,0,1
381,16,1,51,56,59,87,0,14,0,1,77,0,0
382,18,0,46,76,96,95,1,6,0,0,70,1,1
383,15,1,68,78,68,75,1,6,1,0,53,1,0
384,15,0,50,99,90,73,0,28,1,0,92,0,1
385,18,1,72,91,43,81,2,21,0,0,72,1,0
386,17,0,45,68,94,88,2,20,1,1,96,1,1
387,17,1,86,91,46,98,1,20,0,1,48,1,1
388,15,0,54,75,67,96,1,18,0,0,96,1,1
389,15,0,71,99,67,98,2,11,1,1,66,1,1
390,17,1,90,77,43,71,0,25,1,1,63,0,0
391,17,1,50,78,61,86,2,15,1,0,52,0,0
392,18,1,97,89,51,80,2,28,0,1,65,0,1
393,18,1,62,76,84,80,2,5,0,1,68,1,1
394,17,0,65,91,42,90,2,15,1,0,90,1,1
395,18,1,73,74,61,85,1,27,0,1,88,1,1
396,18,0,85,46,83,71,1,25,1,1,82,1,1
397,16,0,73,66,41,71,0,8,0,1,67,0,0
398,18,1,68,67,63,92,0,11,1,0,67,0,0
399,15,0,43,61,73,77,0,19,1,0,47,0,0
400,18,0,56,53,66,82,0,22,0,1,62,0,0
401,18,0,74,46,94,79,2,16,1,1,68,0,1
402,17,0,52,76,80,77,1,21,1,1,44,0,0
403,15,1,80,61,40,99,1,5,0,0,81,1,0
404,18,1,78,44,47,73,0,15,1,0,46,1,0
405,18,1,54,94,62,84,0,5,0,0,81,0,1
406,16,1,94,41,77,99,2,19,1,1,75,1,1
407,18,0,68,66,45,70,2,25,0,1,80,0,1
408,18,0,68,60,61,80,0,14,1,1,66,0,0
409,16,1,50,93,64,76,1,11,1,1,97,1,1
410,17,1,91,77,57,86,1,6,1,1,85,0,1
411,18,1,71,54,56,96,1,14,1,0,41,0,0
412,16,0,41,60,51,89,0,28,0,1,64,0,0
413,15,1,86,49,45,93,1,8,0,1,48,1,0
414,17,1,53,62,65,87,2,16,0,1,92,1,1
415,15,1,59,97,66,91,2,23,0,0,66,1,1
416,15,0,61,95,47,98,0,15,0,1,40,1,0
417,16,0,50,78,58,91,2,12,0,0,62,0,0
418,18,0,66,44,99,81,0,22,0,0,49,1,0
419,16,0,42,40,81,78,1,15,1,0,81,1,0
420,16,0,56,52,40,74,1,15,1,0,91,1,0
421,16,0,83,60,96,79,1,17,1,0,64,0,1
422,16,0,95,65,68,73,2,7,1,1,93,1,1
423,17,0,67,89,84,74,0,16,0,1,42,1,1
424,18,1,68,84,88,97,1,7,0,0,45,0,1
425,15,1,60,60,74,97,0,14,0,0,97,0,1
426,15,0,86,92,79,79,1,21,1,0,45,0,1
427,18,0,55,57,53,80,2,26,0,1,92,0,1
428,15,1,76,76,74,90,2,6,1,1,41,1,1
429,18,0,98,84,87,93,0,21,0,0,97,0,1
430,15,0,59,71,84,79,2,20,0,1,97,1,1
431,16,0,45,75,59,97,2,6,0,1,57,1,1
432,15,1,58,56,95,77,0,26,0,0,62,1,0
433,18,1,96,74,88,71,1,24,1,0,41,1,1
434,18,1,44,88,52,92,2,10,1,1,51,1,1
435,18,1,42,99,77,77,0,29,0,1,61,0,0
436,18,1,98,50,88,85,2,14,1,1,76,1,1
437,18,0,40,60,85,96,2,14,0,0,59,1,0
438,17,1,97,91,88,91,2,12,0,0,78,1,1
439,17,0,99,94,47,74,2,5,0,0,63,0,1
440,15,0,77,92,82,96,0,17,0,1,87,1,1
441,18,1,54,65,59,94,0,28,1,1,59,1,1
442,15,1,73,43,99,98,0,13,0,0,40,0,0
443,18,0,74,73,72,72,2,26,0,1,40,1,1
444,18,0,88,91,65,81,2,14,1,0,56,1,1
445,17,0,64,87,78,82,2,19,0,1,98,0,1
446,17,1,63,99,60,82,0,9,1,0,40,1,0
447,16,1,51,57,92,79,2,26,0,1,92,1,1
448,17,1,57,79,88,73,1,20,0,1,91,1,1
449,16,1,54,74,81,78,2,17,0,0,84,1,1
450,16,1,83,80,82,91,1,26,0,0,69,1,1
451,16,0,55,68,93,93,2,29,0,0,80,0,1
452,16,1,66,91,80,92,0,24,0,0,86,0,1
453,16,0,47,68,48,96,2,22,1,0,42,0,1
454,15,0,99,77,63,71,1,15,0,1,85,1,1
455,17,0,85,81,76,88,1,13,1,0,94,1,1
456,16,1,64,60,88,70,2,20,1,0,50,1,0
457,18,1,56,81,80,94,1,6,0,0,63,0,0
458,17,1,68,52,56,98,1,29,1,0,61,1,1
459,17,0,92,88,63,76,0,6,0,0,83,1,1
460,16,0,47,80,60,86,2,16,1,1,84,1,1
461,15,0,54,56,90,72,2,12,0,0,65,0,0
462,16,0,66,95,98,89,2,13,1,0,52,0,1
463,15,0,85,48,78,89,1,16,1,0,40,1,0
464,18,0,89,80,94,90,2,13,0,1,63,1,1
465,17,1,91,40,80,99,2,14,1,1,49,1,1
466,18,1,46,41,78,72,0,29,0,0,74,0,0
467,15,1,42,99,52,72,0,6,0,0,63,0,0
468,15,1,68,87,50,86,0,20,0,1,67,0,0
469,18,0,83,68,85,76,1,24,0,1,75,1,1
470,15,0,92,72,58,96,2,11,0,1,55,0,1
471,18,1,63,49,50,95,0,6,1,0,79,1,0
472,17,0,99,89,52,83,0,5,1,0,55,1,1
473,18,1,97,97,85,86,0,23,1,1,98,0,1
474,17,1,42,99,84,87,2,8,0,0,56,1,1
475,18,1,59,79,40,82,2,28,1,1,90,0,1
476,15,0,85,60,79,89,2,26,1,1,93,1,1
477,18,1,54,67,83,98,1,6,1,1,54,1,0
478,15,1,64,50,58,89,1,29,1,0,55,0,0
479,18,1,69,94,51,90,0,18,1,1,54,1,0
480,18,0,53,73,47,96,2,6,0,1,96,1,1
481,16,0,46,47,47,87,0,19,0,0,73,1,0
482,15,1,56,98,92,73,2,16,1,1,50,1,1
483,16,0,83,61,84,70,2,9,0,0,40,1,0
484,15,0,59,47,51,87,2,24,0,1,54,1,1
485,16,0,75,88,87,70,1,11,1,0,65,1,1
486,17,0,48,54,72,95,1,28,1,1,90,1,1
487,18,0,77,56,84,95,2,25,0,1,43,0,1
488,15,0,87,99,65,82,0,14,1,1,82,0,1
489,15,0,96,62,78,89,2,18,0,1,44,1,1
490,18,0,99,63,67,89,2,18,0,1,74,1,1
491,15,0,61,84,97,92,0,9,1,0,52,0,1
492,15,0,93,58,44,79,2,22,0,0,49,1,0
493,16,1,92,44,47,96,0,28,0,1,50,0,1
