,age,education_years,work_experience_years,household_income,num_children,distance_to_city,number_of_jobs,hours_per_week,credit_score,property_ownership,car_ownership,label
26,41,15,6,68582.33445975809,3,94.91336874928852,4,51,728,1,1,1
27,63,15,21,99891.00042154673,0,89.79303161121508,2,34,643,0,0,1
28,44,12,0,95030.0094725831,2,44.84755942594479,4,52,723,1,0,1
29,46,16,11,97583.75263962391,1,79.13472278565376,4,34,665,1,1,1
30,61,12,23,85784.86424131639,2,50.25189466360438,4,39,419,1,1,1
31,47,17,12,99085.6553485656,2,52.26628595387971,4,50,528,0,0,1
32,35,19,9,113733.12344999588,4,24.444610360441974,1,56,429,0,1,1
33,34,13,14,89333.91157278679,2,61.15737880955906,1,39,651,1,1,1
34,63,10,26,122180.12782227501,2,22.682910286568053,1,56,617,0,0,1
35,22,13,12,91110.29103203246,3,36.498646411383405,3,36,636,1,1,1
36,56,16,22,119982.44652162277,1,86.22786915389383,3,55,572,0,0,1
37,26,13,21,110587.39961112483,3,24.672201875031245,2,44,416,1,0,1
38,40,15,21,82411.75759583825,3,11.760037091476118,1,36,667,0,1,1
39,28,18,20,118672.0044654393,0,11.555721298217549,3,58,393,1,0,1
40,58,10,21,89795.95642482577,3,94.37452944779525,4,56,467,1,0,1
41,37,14,27,118499.81784178746,4,53.15744160637429,4,44,640,0,0,1
42,23,16,8,90753.78835942954,4,43.89414682261674,1,32,451,1,1,1
43,44,10,25,96075.13980862853,0,82.03346519575226,2,48,573,1,1,1
44,33,13,8,63052.0557907851,1,84.40346315149903,2,39,795,1,1,0
45,28,15,14,79218.46761089277,1,36.558148145982436,4,57,400,1,0,1
46,45,11,9,90610.45352617378,3,70.89371546001055,2,58,381,0,0,1
47,21,19,23,99328.97646620164,3,78.25666750592923,1,44,828,1,1,1
48,39,14,25,105632.3062588452,3,67.19181525226568,4,32,372,0,1,1
49,47,19,24,85382.81941855613,1,19.40153210600944,3,35,313,0,0,1
50,26,10,28,118983.82332642734,2,88.20889293412041,3,41,732,0,1,1
51,63,15,9,97147.26222347908,4,56.213982509920825,2,44,456,0,1,1
52,27,15,7,86396.03232440838,2,31.834880505150352,4,35,431,1,1,1
53,54,13,23,124976.05016521194,2,45.396677616580924,4,42,637,1,1,1
54,33,17,15,123797.80633392223,1,8.5692535878962,3,58,703,0,1,1
55,36,13,16,89517.58411493787,2,17.14734611612967,4,48,675,1,0,1
56,55,17,25,105277.2975817246,0,77.72694129900678,4,32,406,0,1,1
57,59,17,26,79785.83023769083,3,5.001105301759783,4,37,564,1,1,1
58,23,14,4,97734.16697294188,0,44.57375370581776,2,37,504,1,0,1
59,21,13,3,77328.80146996763,4,54.6384672031309,4,52,378,1,0,1
60,25,11,17,65832.11382641066,3,10.190269900092368,1,55,454,0,0,0
61,61,12,23,79400.30018474655,2,97.44242548237162,2,49,546,0,0,0
62,23,12,18,105739.58540330522,4,26.481906468718833,4,44,830,1,1,1
63,48,13,3,98012.09680726996,3,33.89887836544668,4,33,837,0,1,1
64,37,13,27,106612.65585055992,2,33.8745386642276,1,48,453,0,1,1
65,45,19,6,86924.75072504918,0,26.88958290114824,2,50,453,1,1,1
66,63,14,9,60931.75399990349,3,5.140013098199584,3,32,391,0,0,0
67,53,13,24,120004.83150019863,2,74.28775543835965,3,42,732,1,0,1
68,29,19,17,109399.5005526618,0,96.8503224809321,2,37,637,1,1,1
69,55,17,18,101732.51164472484,4,26.30788091207928,4,52,779,1,1,1
70,33,15,3,72576.44904780063,4,67.98948322132513,4,45,430,0,1,0
71,50,15,9,96303.43701295054,4,75.48015106107793,3,42,749,1,1,1
72,34,17,0,84884.75686039041,4,85.60041101359985,3,32,572,1,0,1
73,27,16,22,92793.74511234617,1,45.14977371629287,3,45,476,0,1,1
74,33,19,17,84675.49083469383,3,33.77843603584078,1,38,348,0,0,1
75,42,19,4,81826.3076776882,3,35.903037732187954,3,57,654,0,0,1
76,59,17,14,90341.67996066672,1,72.69902664435872,1,43,607,0,0,1
77,40,11,16,76023.51573035688,2,82.59404931803543,2,42,345,1,0,1
78,35,18,2,117158.71392569963,2,22.25332693687725,4,50,601,0,1,1
79,64,10,11,77431.32087735903,4,40.23939577498769,3,54,707,0,1,0
80,37,17,1,62720.78734619559,0,90.68431869116925,4,36,488,0,1,0
81,43,13,0,57015.74416795708,2,81.63588437100023,4,44,428,0,1,0
82,45,13,22,91812.3485712543,0,98.56154826243521,3,36,836,1,0,1
83,44,14,20,63835.45892182751,3,76.65358466979767,3,35,565,0,0,0
84,64,17,16,95980.51208718141,0,42.353544097652616,2,31,417,1,0,1
85,60,14,21,74901.32778130201,3,61.11059422949059,1,38,763,0,1,0
86,48,17,15,120989.33779345074,1,67.79635415349543,1,51,443,1,0,1
87,34,19,4,102125.77011112284,1,12.453302550126775,4,53,741,1,0,1
88,64,10,14,114478.99346724329,4,56.72721111486718,3,46,499,0,0,1
89,20,19,2,81457.71737222194,2,72.3854787048979,2,34,456,1,0,1
90,44,18,27,64479.06629644115,4,20.895523880100736,2,41,786,0,1,1
91,26,15,6,99407.21734757166,3,79.16001315542793,2,30,433,1,0,1
92,28,12,10,87505.926669714,4,60.4584141488406,2,39,447,1,0,1
93,43,17,9,102080.56470234653,0,95.4610696412715,2,40,635,1,1,1
94,20,18,8,81009.74023735654,3,9.030118329654712,1,45,370,0,1,1
95,63,15,13,95346.9800126807,1,30.205983067769363,1,43,532,1,1,1
96,27,16,12,92689.53220036073,2,62.14761853348329,1,37,633,0,0,1
97,43,10,28,99774.03115293034,3,33.173191659563415,3,53,389,1,0,1
98,30,14,24,75841.04284185948,3,72.87029558676801,4,46,633,1,0,1
99,36,14,29,155175.10563190666,0,77.10550183958344,2,54,498,1,0,1
100,27,19,24,129300.48773810762,2,14.739016586315072,3,47,460,1,1,1
101,54,13,1,83617.9520003238,1,53.816174099642936,2,41,837,1,0,1
102,54,15,2,106541.05417615217,3,53.34460278115031,1,54,420,1,0,1
103,52,16,6,98658.79950705881,3,40.0816731704764,3,46,600,0,1,1
104,24,18,20,102660.56370159856,0,93.62786194411885,1,57,735,0,1,1
105,61,10,17,108066.08634786755,4,83.61310038795601,2,55,367,0,1,1
106,58,15,2,95221.49553459945,1,71.2348912814155,2,43,758,1,0,1
107,60,16,9,80767.66122054789,2,72.86103039482477,4,45,813,0,0,1
108,47,12,21,106407.06834116337,3,48.863033662246316,2,43,697,1,0,1
109,26,17,28,102266.72554215006,3,92.4944795041747,1,38,585,0,0,1
110,28,14,6,81577.84471752608,1,70.98656558906211,2,33,439,0,0,1
111,27,18,8,106282.09696083327,4,74.25320085730256,4,54,581,1,1,1
112,31,14,16,117184.43372658451,3,86.8606358597978,4,52,756,1,1,1
113,53,18,10,86258.22017371879,1,31.036800987508144,1,40,386,0,0,1
114,52,19,6,95390.8459164171,0,81.67173586733678,3,35,378,0,0,1
115,42,13,23,128558.50052942461,4,23.547857280866744,2,44,504,0,0,1
116,43,18,27,105968.91328643251,2,37.80748546326434,4,34,636,0,0,1
117,56,14,13,92604.20200771198,3,36.882993155635056,2,40,553,1,0,1
118,54,19,18,140315.4611423214,1,97.95991949696835,2,54,603,0,1,1
119,63,18,3,101743.61026643391,0,86.37103625605305,3,47,679,1,1,1
120,59,12,25,84809.73897002953,2,71.61113685107468,4,59,429,1,1,1
121,41,13,5,67864.31560001142,1,74.07039235346207,2,42,575,0,0,0
122,46,18,9,104923.84244206944,1,58.39691546824425,4,40,482,1,0,1
123,54,19,6,98096.39294959165,2,94.97361337530931,1,43,567,0,1,1
124,20,15,12,104331.46892489107,0,52.14458152382435,1,57,621,1,1,1
125,54,11,13,122360.90362561497,0,41.14918243763998,2,47,811,1,0,1
126,56,16,3,81713.27480719902,4,20.488357008501147,4,56,377,0,1,1
127,33,11,7,83399.31580027944,3,79.68953696480051,2,57,638,1,1,1
128,22,11,4,51314.73818106741,2,74.77217354718118,4,54,808,1,0,1
129,20,10,0,94834.21189902493,2,41.51372865979281,4,57,537,0,1,1
130,24,12,3,70647.54676775496,2,7.393374326126789,3,48,433,1,1,1
131,45,15,2,104121.81422535339,0,84.70474613321102,3,53,491,1,1,1
132,33,17,8,113476.21655015268,3,6.084708428136995,3,56,655,0,0,1
133,58,18,7,125643.91492857868,4,71.85147906475984,2,44,577,0,1,1
134,46,16,0,88880.41237676941,1,97.17442542397542,3,38,317,1,1,1
135,28,13,26,95829.8093264944,1,46.57782617407933,3,37,823,1,1,1
136,34,15,5,96438.22072622561,2,27.322473474615514,1,49,479,1,0,1
137,34,14,8,79013.06998486511,3,71.96274595412126,4,57,422,0,0,0
138,45,17,6,89656.0439880596,0,82.62717349148059,4,30,545,1,1,1
139,61,10,3,64140.91841549464,3,56.91088002739549,3,33,672,1,0,0
140,32,10,12,78601.50569745523,3,96.86835114933389,4,43,350,1,1,1
141,51,15,16,92529.07625321123,0,9.908528557506305,1,54,370,1,0,1
142,58,19,27,113858.91180449515,2,52.95558183893017,1,31,779,1,0,1
143,51,11,1,85200.79413550891,3,73.25312499564225,3,45,318,1,1,1
144,23,14,27,73871.0058419655,1,86.950844759172,1,32,383,0,1,0
145,49,10,4,73069.64604446094,0,22.029283131240053,4,55,454,0,1,0
146,56,16,11,89470.69099932656,4,81.00033076754974,2,37,656,1,0,1
147,42,10,26,57414.8917721357,2,57.5071721932618,4,35,742,1,1,0
148,58,13,20,124970.33651624146,0,42.67259978904651,2,45,368,0,0,1
149,64,18,7,86457.69139595347,4,17.512927715013888,3,53,822,0,0,1
150,34,10,5,58068.53236380624,4,87.20309709634668,2,45,442,0,1,0
151,62,13,7,77392.81811729452,3,19.94095477707296,1,36,491,1,0,0
152,48,15,17,107839.10025073013,3,34.429846624864425,4,59,686,1,1,1
153,55,15,2,70525.19025389336,3,32.554325536431506,2,42,677,1,0,1
154,32,17,21,120316.98832742735,0,87.78433324813116,4,42,834,1,1,1
155,51,10,11,83050.25886912609,0,68.9067844498453,3,34,592,0,0,1
156,26,16,28,100907.13495926064,2,80.68473273318037,3,54,308,0,0,1
157,41,10,25,90224.20072690006,3,28.7944503852874,1,49,570,0,1,1
158,47,16,2,62030.30258101197,4,64.36303946266489,3,51,686,0,0,0
159,21,12,21,79734.09314704465,1,59.31586839865613,2,47,392,1,1,1
160,61,17,5,94108.03063344114,2,84.11888579488576,3,44,828,1,0,1
161,64,12,1,64043.11812166659,0,91.07827074571975,1,47,453,0,0,0
162,25,10,22,114756.52213121881,2,6.154893290351747,4,31,704,0,0,1
163,47,17,11,93112.25338910788,2,69.0318923105853,4,39,448,0,1,1
164,47,12,1,61211.42857762136,2,9.924400916374257,3,52,566,0,1,0
165,63,11,5,58992.71204986912,2,57.141573182348814,2,42,721,0,1,0
166,63,10,16,106678.28995726394,1,32.32510925914943,1,47,771,1,1,1
167,39,12,2,76145.10711313371,3,34.14377695460341,2,44,846,1,1,1
168,49,11,1,84953.36950696584,4,38.531057827973875,1,41,825,0,0,1
169,30,11,22,87801.54116584337,2,64.02278265971296,3,44,802,0,0,1
170,47,15,29,100759.78127552068,2,36.734746738533076,1,42,313,0,1,1
171,44,10,19,107061.39007521194,2,74.60640980607664,1,47,663,1,0,1
172,58,11,7,66449.83426309522,3,43.43010162951762,3,44,418,1,0,1
173,52,15,21,118261.13429908312,0,11.493554029446068,2,54,537,1,0,1
174,20,12,11,86350.38659217997,0,79.4571850359902,3,52,845,0,0,1
175,46,13,25,115573.49915882127,1,32.14704083630707,1,40,468,1,1,1
176,32,10,3,104471.6171349405,0,46.11285356192995,3,48,821,0,0,1
177,60,17,4,76611.47630668082,2,70.11716890608065,1,32,815,1,1,0
178,22,16,12,83963.70117159678,2,36.583334929127645,3,36,696,1,1,1
179,58,16,28,125968.34396886344,2,10.375637333937984,4,50,405,1,0,1
180,25,12,14,79243.82109864312,1,40.52249946621729,4,55,384,0,1,0
181,27,19,24,133510.8510999526,2,94.72261535595882,3,43,513,0,0,1
182,46,19,22,133392.09986367894,0,65.96476774336303,2,43,420,1,0,1
183,28,12,15,75573.6794564243,3,68.79051912338466,1,51,431,0,0,0
184,56,11,9,54999.787479117615,3,65.06680459557577,4,42,496,0,1,0
185,52,10,29,79896.1300470994,4,23.904253201146496,2,41,318,0,1,0
186,61,16,29,101082.3695461274,0,44.74171708971661,1,53,311,0,1,1
187,63,16,24,113709.44442309887,2,76.33928084451523,4,38,380,0,0,1
188,43,11,22,111006.03347331354,3,14.63042526755012,4,30,629,0,0,1
189,34,16,15,113782.09250285622,0,31.396013728522664,3,48,691,0,0,1
190,51,17,11,90894.60098554034,3,31.250315304256095,1,40,606,1,1,1
191,51,10,16,95335.38709758231,2,46.04179812147807,2,52,566,0,0,1
192,43,18,15,88046.57798844909,3,98.13503038950758,2,51,746,0,0,1
193,60,16,11,114887.48358671533,4,11.412741934963083,2,52,740,1,1,1
194,31,12,7,91266.60437643016,4,54.276594466156524,1,53,301,1,1,1
195,58,17,19,119995.98449068895,3,22.039644791159994,2,51,819,1,1,1
196,21,16,2,75726.25088140709,0,97.21427181392569,2,48,608,1,0,1
197,22,17,15,101682.85054951484,0,15.7638329491091,2,47,821,0,0,1
198,56,15,29,121708.99233850048,0,43.34209522435117,3,41,768,1,0,1
199,36,18,12,122897.73981488984,3,75.09907355928759,3,52,511,1,1,1
200,21,14,22,98781.87007514086,0,71.93267066260731,1,57,411,0,1,1
201,21,12,27,119948.81758231611,2,45.15922050492357,1,57,307,0,1,1
202,47,12,18,86922.93325307033,4,37.919795955508235,2,57,776,0,1,1
203,42,10,7,116119.24779427299,2,42.77317596252271,3,56,759,1,0,1
204,56,17,21,94772.31712590852,0,30.106245000070732,4,30,552,0,0,1
205,51,11,4,89927.24615192437,2,24.50662917714598,4,48,825,1,0,1
206,52,12,19,103939.70566509975,0,50.88877126809455,2,57,737,0,0,1
207,20,17,7,136054.01147908627,3,30.510706826422695,2,56,535,0,0,1
208,38,17,23,114833.08121210651,2,32.30885816523876,3,49,605,1,0,1
209,21,13,11,84404.56835364393,3,67.39182603008291,3,58,777,0,0,1
210,63,13,0,89742.04536362145,3,97.01104651148975,3,59,319,0,0,1
211,45,14,24,113141.33629897356,1,62.34553405314063,1,46,515,0,1,1
212,51,15,29,106022.29957505729,0,12.313049371171797,1,34,434,0,1,1
213,25,14,20,86969.48987077156,4,12.180443316136362,2,55,428,0,0,1
214,51,16,19,88310.75678012821,0,95.38520598032876,1,32,709,1,1,1
215,23,11,5,83560.35296821396,4,33.2426250791967,3,31,721,1,0,1
216,30,16,21,74600.94762259879,0,13.746363677835166,3,32,593,0,0,1
217,36,19,17,97683.84972025,3,61.90923577928625,1,37,545,1,1,1
218,57,16,7,104710.62713037299,2,64.24663393757528,4,45,385,1,0,1
219,43,10,6,70267.15881943551,2,66.60795791127538,2,35,674,1,0,0
220,24,16,0,115585.49246096781,1,30.403192646466422,4,42,745,0,0,1
221,53,14,20,79508.47064550145,4,6.435515000375128,2,59,677,0,0,0
222,25,12,15,74245.65896129975,4,96.67646009817483,4,52,689,0,0,0
223,41,12,11,56838.75099917544,4,28.834839340654735,1,57,350,1,0,1
224,30,13,5,113444.23363292989,3,69.22249736499201,2,51,541,1,0,1
225,35,11,19,77718.70085680168,4,72.12983763847741,2,51,593,0,1,0
226,52,11,1,43548.64509294745,2,62.95070462255114,2,45,565,0,1,0
227,28,10,28,96084.90016110365,3,34.72620245029658,3,57,419,1,0,1
228,25,14,13,75070.15617179364,0,30.75414410758625,3,45,547,1,1,1
229,35,13,3,61339.30230258112,4,61.77848685675679,4,32,369,0,0,0
230,48,19,0,92254.48450451803,4,87.27908519311069,1,57,356,1,0,1
231,22,11,22,105826.83134832038,0,94.93970424772257,3,42,681,1,0,1
232,39,12,17,88626.9133274181,4,15.061051418356975,2,43,338,1,0,1
233,55,16,12,95893.92458018096,0,19.708718196783387,3,37,742,1,1,1
234,38,16,1,71038.57442472842,3,94.74994458439257,1,41,317,1,1,1
235,45,13,8,65575.98425666484,2,74.97084669180529,3,52,651,1,1,1
236,22,14,20,75857.67568757007,0,88.88441335882844,2,52,597,1,1,1
237,38,14,1,79320.2082828117,1,24.2501002428576,4,51,582,0,0,0
238,39,15,26,112228.56379037854,0,60.82065775539318,2,50,409,0,1,1
239,51,18,24,106840.36910812324,4,71.60826146966,1,55,479,1,0,1
240,26,11,8,48379.56365120675,3,69.61062911746241,4,37,843,1,0,0
241,60,14,0,84832.28086740576,3,43.77441063233632,3,50,324,1,1,1
242,52,12,10,117616.447508031,0,6.462514710674306,3,54,356,0,0,1
243,59,13,2,73261.40352751254,2,60.377975396405,3,38,479,0,1,0
244,58,19,19,94854.80902525561,1,29.04464622206283,4,30,531,1,1,1
245,37,15,29,103203.88172716848,3,47.77415338357458,2,35,642,0,1,1
246,59,17,22,90635.79250990509,4,95.97019643296265,4,52,776,1,1,1
247,20,10,25,79321.0953017562,4,42.9083551760313,4,48,754,1,1,1
248,30,19,3,101032.15368976352,2,84.78115263312054,1,52,531,1,0,1
249,47,17,17,115709.25505817604,3,22.91135754617886,4,40,588,1,1,1
250,44,16,22,102349.33735146481,0,68.88374731237774,3,40,512,1,1,1
251,42,10,5,46002.741252178515,4,97.81566067169963,2,52,557,1,0,1
252,50,11,2,90066.24166888982,2,14.679844582928995,2,59,829,1,1,1
253,49,12,21,126721.21282948257,3,5.790394511583241,2,42,528,0,1,1
254,61,10,10,74532.0092832708,3,46.190365300098364,3,40,525,1,0,1
255,54,18,14,99642.34232445466,3,13.799420889879883,3,47,734,0,0,1
256,26,17,21,95105.67138732882,3,76.09651321924198,3,52,701,1,1,1
257,35,11,27,104126.20381512049,3,91.8821230656131,3,44,387,1,0,1
258,45,18,4,71623.64841221421,4,46.231992407332086,3,30,841,0,1,0
259,21,16,19,120343.64816479057,2,29.577606004766892,4,50,608,0,0,1
260,20,18,9,90822.87603744128,3,46.26831530562793,3,54,642,1,1,1
261,31,15,11,92440.49488699695,1,73.7275426957501,3,36,735,0,1,1
262,24,15,14,102011.82904159983,1,5.860145350135243,3,52,476,1,1,1
263,56,13,16,121776.7678395872,2,60.99812900104623,3,56,438,1,0,1
264,51,19,9,103979.05528975566,0,63.26271006430101,2,42,493,0,1,1
265,28,19,5,113526.09061411812,0,65.58038345511387,3,41,485,0,0,1
266,60,11,17,95729.74763174832,0,27.992097598183335,4,47,517,0,1,1
267,54,16,12,96297.14505623968,1,72.83500872092205,4,53,463,0,1,1
268,38,14,2,86743.02889689569,0,13.682191201518759,4,48,460,1,1,1
269,35,15,29,97232.3278811248,4,23.93068196434608,1,44,824,0,1,1
270,22,11,23,97057.0490339493,3,88.35965443217579,2,37,341,0,1,1
271,39,14,9,78385.6899219965,1,75.1786993190238,3,48,509,0,0,0
272,43,19,29,118371.65424121385,2,6.305827631077799,1,39,574,0,0,1
273,52,13,13,98898.24226020213,2,28.59574473513102,3,36,578,0,0,1
274,43,18,5,117984.80285243655,3,25.368615884350632,1,47,550,1,1,1
275,30,15,2,88406.57119979923,1,30.726601163512395,1,45,609,1,1,1
276,27,11,15,105492.19693216102,0,28.51817817658921,4,49,439,0,0,1
277,55,10,6,97581.31635093369,0,10.939998095570346,4,56,845,0,1,1
278,57,14,19,86334.37618385046,4,48.59934907669793,1,35,829,1,1,1
279,59,18,13,133886.56781112836,4,74.6096801046857,4,56,356,0,1,1
280,39,15,8,78724.39126440803,0,62.63951384815646,1,38,411,1,0,0
281,54,19,14,106418.7789664026,2,68.92280851681758,2,50,304,1,0,1
282,44,16,20,124676.33770292928,2,12.709171960942719,4,42,709,0,0,1
283,54,14,2,103172.29276864261,4,95.39161746679478,4,54,713,1,0,1
284,44,19,1,89481.96975978056,3,84.65672421508737,4,50,481,0,0,1
285,48,15,26,127282.07220475502,0,81.48358025708795,2,55,312,0,1,1
286,37,14,1,69981.24187939827,4,83.18346147896791,1,37,638,1,1,0
287,37,18,2,78489.4417318835,4,93.60749827261233,3,45,558,1,1,1
288,21,15,17,79972.95756418334,0,56.70412678080128,4,42,389,0,1,0
289,54,17,13,111156.88089731798,0,24.02679169742446,1,42,549,1,0,1
290,35,11,19,103758.59183172727,2,63.59444274599141,2,46,554,0,0,1
291,60,18,17,97702.97347174236,3,75.5737418984542,3,52,407,1,1,1
292,55,14,9,92266.39289134691,3,75.10215236863242,4,49,784,1,0,1
293,52,16,24,143037.9435532863,0,54.53765729585361,2,34,557,0,1,1
294,23,19,1,113125.05558492597,1,11.503578336689916,2,51,581,0,1,1
295,52,10,24,82464.95440377397,4,40.255729150862145,3,50,387,0,1,1
296,33,19,28,134899.79280624987,4,92.47282780401895,1,57,503,1,1,1
297,40,14,21,88020.94095989202,0,60.522646426955475,4,46,315,0,0,1
298,39,19,0,52264.648591715086,1,56.141534609292776,4,57,450,0,1,0
299,27,11,3,73666.76365769265,2,30.541083866308384,1,38,553,1,0,0
300,26,15,13,113947.88952429104,0,40.002647392075,1,31,487,1,1,1
301,22,10,0,96458.82548307657,0,90.05787846955108,1,54,628,0,1,1
302,36,12,13,95742.82806063734,4,68.3139895150494,3,55,843,0,1,1
303,52,14,15,87383.970424178,0,79.80176754147162,3,47,696,0,1,1
304,31,13,21,103388.60449911834,0,48.162815191427235,4,38,816,0,0,1
305,41,12,13,81218.9231529196,0,64.87348584833501,3,35,758,1,1,1
306,41,19,28,106365.3424789301,4,28.596442830604715,2,40,629,1,0,1
307,49,14,19,117329.09409073701,2,72.0187788769312,4,54,468,0,1,1
308,57,17,2,85828.35696925025,2,45.622126701817045,3,58,665,0,1,1
309,57,13,2,93056.4571517711,0,47.04182390740083,1,35,477,0,1,1
310,64,10,8,62782.92952880262,4,66.68562083480376,2,35,661,1,0,0
311,27,16,5,115180.04637036593,2,93.94665903954804,1,42,339,0,1,1
312,46,17,24,83836.45324933226,2,11.080602927818987,4,40,715,0,1,1
313,46,12,12,70980.92964703319,2,83.35060754796572,1,43,654,1,1,1
314,53,15,20,91530.66421268725,4,32.77639548915835,3,31,554,1,1,1
315,40,11,1,38380.72404327376,4,47.17234817810589,3,37,442,0,1,0
316,49,16,7,48581.11954699122,0,7.081766233625851,4,32,310,0,0,0
317,52,17,20,79188.91687662789,3,33.59937739425973,1,52,325,1,0,1
318,47,15,1,79981.16344284176,2,52.749968049862396,4,50,720,0,1,0
319,52,15,3,74482.51348433798,3,10.336727348006706,1,32,520,0,1,0
320,24,14,24,98912.28750392295,4,51.65409429140069,2,30,795,1,0,1
321,38,17,14,96891.20228627733,4,93.07550974155059,3,53,536,1,1,1
322,23,10,3,80242.12918165067,4,15.012355720241496,4,48,536,1,0,1
323,54,19,12,92865.66032506531,3,77.62186916717292,2,47,518,0,1,1
324,36,13,27,114526.29885853926,4,43.9187500707193,2,46,786,1,1,1
325,63,13,11,100552.57490361223,0,67.24150287981212,4,49,760,1,0,1
326,47,12,27,102613.48686170738,4,29.722476808596788,4,58,443,0,1,1
327,49,12,12,100987.5832730144,1,20.151764941429036,2,53,488,0,0,1
328,48,13,13,86628.11354298163,3,20.243948355766513,1,42,554,1,0,1
329,25,10,19,64080.274527298476,1,11.696734836098742,2,32,367,1,0,0
330,54,11,17,109935.62777245842,4,22.63643696561809,4,59,635,0,1,1
331,60,18,28,94492.71722232595,0,68.10084157395198,2,30,708,0,0,1
332,56,19,27,121969.32892086984,2,88.76060812513326,1,33,599,1,0,1
333,43,11,5,84743.30457519734,4,82.34194013116037,3,54,656,1,1,1
334,48,14,28,105227.77739283936,0,70.08775943807599,3,42,555,0,1,1
335,50,18,10,71070.54771703098,3,15.491027024054754,2,46,652,1,1,1
336,54,18,29,146972.54299131088,1,32.472807398115236,1,57,820,0,1,1
337,52,17,1,90331.70942190694,1,34.43165315563455,3,59,823,1,1,1
338,40,10,27,107081.15831194504,1,28.745909907774017,2,40,583,0,1,1
339,51,10,22,82594.1112658171,3,53.925537672423694,2,31,611,0,0,1
340,42,18,18,108134.58934588573,0,55.8776124135689,1,54,398,1,1,1
341,52,17,18,105946.90919389206,3,38.90416764125547,4,45,496,1,0,1
342,22,19,4,87968.08574762964,1,38.60997007996142,2,31,781,0,1,1
343,37,18,18,104309.4690573093,4,83.71278180107772,4,58,525,1,0,1
344,44,16,1,83671.1405912992,2,79.98282059037014,4,48,664,1,0,1
345,61,12,9,94693.93964359211,3,34.24060400967083,3,52,667,1,1,1
346,50,12,24,104876.79254297644,3,91.80990216795963,4,48,374,0,1,1
347,22,11,1,79374.48686039704,0,95.51742661523808,1,54,341,1,0,1
348,59,14,29,121012.0277725739,0,36.040541492853876,3,45,721,1,1,1
349,43,12,10,81205.4344265867,3,38.670370135340214,3,51,480,0,1,1
350,51,15,17,134221.53348619252,1,53.03524457508609,3,48,844,1,0,1
351,41,11,28,118063.50526058176,2,94.40647719069898,2,38,370,1,0,1
352,42,12,23,101524.12761504819,0,88.2503461485196,2,30,404,0,0,1
353,21,14,14,63639.09477017219,1,14.74395644544103,4,39,499,0,1,0
354,46,10,8,88974.8160522855,4,42.30942061078454,3,48,400,1,1,1
355,61,10,22,83071.93060575776,0,57.570263026228325,3,30,606,1,1,1
356,21,19,18,86179.90978423989,1,52.7975848923963,1,31,676,0,1,1
357,45,18,8,91397.70967272748,1,23.416991454004805,4,45,698,0,0,1
358,36,16,2,69153.09932800996,2,86.5875932609747,1,41,520,1,1,1
359,59,10,20,94136.57768715761,2,69.30937438469955,4,37,481,1,0,1
360,52,17,8,118009.84615790236,4,84.60129561092134,4,52,606,1,1,1
361,28,12,27,114561.30154869173,1,86.58260653819985,2,47,821,0,1,1
362,62,17,29,148633.18830693152,1,76.09380609824528,2,31,695,1,0,1
363,58,14,13,73359.56320043278,2,46.72500711872315,1,54,303,0,1,0
364,48,10,18,89259.38234664014,0,63.00194172646533,4,58,580,0,1,1
