,age,gender,years_of_experience,course_level,hours_per_week,feedback_score,availability,communication_skills,responsiveness,number_of_students,previous_rating,label
104,34,1,4,1,13,4.3,2,2,3,17,0,1
105,30,0,6,1,28,4.9,1,2,3,17,1,1
106,34,1,3,1,10,1.5,1,1,1,58,0,0
107,34,0,9,1,19,1.9,2,2,3,36,0,0
108,22,0,5,2,13,4.5,1,1,2,31,1,1
109,30,0,3,2,18,4.7,1,1,2,50,0,1
110,28,0,1,1,22,2.7,2,2,2,31,1,0
111,30,0,6,2,23,1.2,1,2,3,28,1,1
112,29,0,2,2,19,1.2,1,2,2,23,0,0
113,22,1,3,2,15,3.3,3,1,1,44,0,0
114,33,0,1,1,25,2.6,2,3,3,35,0,1
115,29,1,9,2,15,1.1,3,2,2,26,0,0
116,29,1,8,1,26,3.3,3,2,1,51,1,1
117,32,0,2,2,19,1.0,3,2,1,46,0,0
118,24,1,8,1,27,4.1,1,1,2,25,0,1
119,22,1,9,1,27,2.2,1,1,1,34,0,1
120,29,1,1,2,12,1.2,3,3,2,49,1,0
121,24,1,5,1,29,3.4,3,2,1,25,0,1
122,24,0,8,2,24,2.6,3,1,3,22,1,1
123,22,1,2,2,24,4.9,1,3,3,18,0,1
124,32,0,4,2,13,3.2,3,2,3,41,1,0
125,26,1,7,1,18,2.1,3,1,3,58,0,0
126,31,1,3,2,28,3.8,2,2,3,54,0,1
127,28,0,5,1,26,2.1,2,2,2,52,1,1
128,31,1,8,1,20,4.6,1,1,3,44,0,1
129,30,1,3,2,18,2.5,2,1,3,58,0,0
130,33,1,4,1,19,3.2,2,1,3,41,0,0
131,28,0,9,1,27,1.2,2,2,3,35,1,1
132,30,1,7,2,29,2.7,1,2,1,34,0,1
133,29,0,1,1,22,4.3,2,3,3,18,1,1
134,33,1,4,1,17,4.2,1,2,3,25,1,1
135,23,0,4,2,16,1.9,3,1,2,27,1,0
136,22,0,9,1,26,1.9,2,2,1,23,0,1
137,28,1,6,2,24,4.3,1,3,2,18,1,1
138,28,1,9,2,29,4.7,2,3,3,26,1,1
139,29,0,6,2,24,1.4,3,1,2,23,0,1
140,26,0,6,2,10,2.8,1,1,2,27,1,0
141,24,1,5,1,23,2.3,1,3,3,40,1,1
142,33,0,5,1,14,4.5,1,3,1,52,0,1
143,29,1,2,2,20,1.3,3,3,1,56,0,0
144,27,1,8,2,25,1.8,3,1,2,27,1,1
145,32,1,8,1,11,4.0,3,3,3,53,0,1
146,24,1,1,1,17,1.2,1,3,2,42,0,0
147,22,0,8,1,20,3.0,3,1,2,33,0,1
148,24,1,5,1,27,2.8,2,2,2,38,1,1
149,26,0,2,2,12,2.3,3,2,3,33,1,0
150,24,1,2,1,10,2.6,1,3,3,27,0,1
151,22,0,6,2,20,3.1,2,2,1,27,1,1
152,26,1,9,2,25,1.6,3,2,3,42,0,1
153,31,0,1,1,27,3.3,2,2,2,16,0,0
154,28,0,6,2,25,4.2,2,2,2,24,0,1
155,28,1,9,1,19,4.0,1,3,1,36,0,1
156,32,1,8,1,27,1.6,2,2,3,27,0,1
157,30,1,6,2,15,1.6,2,2,2,23,1,0
158,31,1,3,2,28,2.1,1,1,1,47,1,1
159,31,0,8,2,13,2.4,1,3,1,28,1,0
160,33,1,9,1,22,2.6,1,1,2,34,1,1
161,34,0,1,1,23,3.7,2,1,2,29,0,0
162,24,0,9,2,12,1.2,2,3,3,46,0,1
163,28,1,6,1,19,1.1,2,2,1,47,1,0
164,22,0,6,1,15,2.6,1,1,2,31,1,0
165,25,0,4,1,10,3.8,3,3,1,38,0,0
166,34,0,1,2,23,1.8,2,2,3,44,0,0
167,25,0,8,1,17,3.6,3,3,2,27,0,0
168,26,1,2,2,28,2.0,1,1,3,30,1,0
169,28,1,1,2,23,4.5,2,2,1,16,0,1
170,28,1,2,1,19,4.6,3,2,3,31,0,1
171,34,1,1,1,26,2.2,2,3,3,46,1,1
172,32,0,1,1,18,1.9,2,2,1,57,1,0
173,34,0,9,2,15,2.6,2,1,3,22,1,0
174,25,1,1,1,20,2.0,3,1,1,17,0,0
175,34,1,4,1,16,3.7,1,1,2,26,0,0
176,28,1,6,1,26,4.3,2,3,1,34,1,1
177,32,0,7,2,10,3.7,1,2,1,30,0,0
178,24,1,2,1,14,4.3,1,2,2,28,0,1
179,27,1,6,2,18,2.6,3,2,1,30,0,0
180,33,1,7,2,27,1.6,3,1,2,57,1,1
181,23,0,2,1,11,4.0,1,2,2,47,1,1
182,31,0,2,2,20,2.4,2,1,1,44,0,0
183,34,0,7,1,15,3.7,3,2,3,26,0,0
184,30,0,1,2,17,2.1,2,1,3,29,0,0
185,26,0,8,2,13,1.3,2,2,2,32,0,0
186,27,0,3,2,27,5.0,2,3,3,42,1,1
187,33,0,6,1,20,1.6,1,3,3,37,1,1
188,33,0,9,1,14,5.0,2,1,1,28,0,1
189,33,1,6,1,24,4.9,1,1,2,44,0,1
190,33,1,9,1,27,4.2,1,2,2,47,1,1
191,25,0,7,1,11,3.6,2,2,1,59,0,0
192,32,0,9,1,20,3.3,2,3,3,29,1,1
193,31,1,2,1,22,4.5,2,2,2,21,0,1
194,28,0,8,1,13,2.2,2,1,3,29,1,0
195,33,0,8,2,16,2.9,1,1,2,56,0,0
196,30,0,2,1,20,3.5,2,1,2,52,0,0
197,28,1,4,1,13,2.6,2,1,2,58,1,0
198,22,1,7,1,24,2.7,1,1,2,25,1,1
199,22,1,4,1,10,2.3,3,3,3,43,0,1
200,30,1,4,2,12,3.3,3,3,3,45,0,1
201,32,1,6,1,23,4.4,1,1,3,39,1,1
202,30,0,6,2,15,1.8,3,2,3,38,1,0
203,25,1,3,2,27,4.7,1,1,1,33,0,1
204,34,0,9,2,10,3.8,2,3,2,16,0,0
205,30,0,2,2,15,4.3,2,1,2,36,1,1
206,24,1,6,2,15,3.2,3,3,2,34,1,0
207,28,1,7,2,25,4.1,2,3,1,47,1,1
208,27,0,9,2,14,1.1,3,1,3,22,1,0
209,29,0,3,1,26,4.3,3,1,2,39,1,1
210,32,0,3,2,19,1.2,2,2,3,23,0,0
211,30,1,7,1,27,4.6,2,3,3,48,0,1
212,26,1,4,2,16,5.0,3,2,1,37,1,1
213,22,1,8,1,12,2.2,2,1,1,19,0,0
214,24,1,7,1,22,1.8,1,3,3,39,0,1
215,31,1,5,1,24,4.1,2,2,2,22,1,1
216,33,0,7,1,29,2.0,2,2,2,30,0,1
217,29,1,3,1,28,4.5,1,2,1,59,0,1
218,32,0,2,1,12,1.4,2,1,1,29,0,0
219,27,0,6,1,13,1.5,2,1,1,15,1,0
220,29,0,2,1,14,4.9,3,1,1,36,1,1
221,30,1,3,2,10,3.7,2,3,1,17,0,0
222,25,1,6,1,13,4.4,2,1,1,52,0,1
223,22,1,5,1,21,2.3,1,3,1,28,0,1
224,22,0,8,2,19,3.7,3,2,2,50,0,0
225,31,0,9,1,29,3.4,3,2,1,32,0,1
226,25,0,3,1,22,3.4,3,1,1,55,0,1
227,33,0,3,2,23,3.7,2,2,2,32,1,1
228,28,0,3,2,14,3.3,3,1,2,17,0,0
229,23,0,6,1,13,2.7,1,3,3,24,0,1
230,24,1,1,1,23,2.1,3,2,1,53,1,0
231,22,1,7,2,19,4.1,1,1,1,15,0,1
232,26,1,1,2,26,1.9,3,2,1,41,0,0
233,22,1,5,1,19,3.8,3,2,1,41,0,0
234,29,0,8,2,16,1.9,1,1,3,25,0,0
235,22,0,4,1,25,3.5,3,2,2,19,1,1
236,32,1,5,1,10,4.0,3,2,2,21,0,1
237,22,0,4,1,26,1.9,3,2,1,33,1,1
238,23,1,4,2,18,1.2,2,2,1,43,0,0
239,23,1,8,1,15,1.5,1,3,1,29,0,0
240,33,1,2,2,28,3.4,3,2,3,49,1,0
241,27,0,1,1,22,4.4,1,2,3,51,0,1
242,28,1,3,1,12,1.2,1,1,2,26,1,0
243,26,1,9,1,16,3.9,1,3,1,44,1,0
244,22,1,4,2,18,2.4,3,1,1,34,1,0
245,22,0,5,1,14,2.9,3,1,1,51,0,0
246,24,0,2,1,19,4.7,1,1,1,17,0,1
247,23,1,4,2,26,2.3,2,3,3,23,0,1
248,26,0,2,1,21,2.9,1,1,2,55,0,0
249,33,0,2,2,25,1.1,2,1,2,53,1,0
250,31,0,4,1,12,1.3,1,1,3,40,0,0
251,27,0,6,2,18,2.0,1,2,1,16,0,0
252,28,0,7,1,24,1.1,1,1,2,37,1,1
253,25,0,3,2,14,3.5,3,3,2,37,1,0
254,28,0,3,1,22,2.7,2,3,3,35,0,1
255,32,0,6,1,23,3.2,2,2,1,30,1,1
256,29,0,3,1,29,1.7,1,3,2,23,1,1
257,32,0,2,1,24,2.2,3,3,1,27,1,0
258,22,1,8,1,25,3.7,3,2,2,42,1,1
259,27,1,5,2,22,4.9,2,1,3,41,1,1
260,29,0,1,1,26,1.2,3,2,1,31,0,0
261,26,1,3,2,17,4.6,2,1,3,52,0,1
262,25,1,8,2,11,3.3,2,1,2,50,0,0
263,23,0,4,2,14,3.3,2,3,3,15,0,1
264,27,0,7,1,15,3.0,3,2,3,32,0,0
265,27,0,2,1,21,1.3,2,3,3,23,0,1
266,32,1,7,2,27,1.4,2,3,2,27,0,1
267,22,1,5,2,10,3.4,1,1,1,54,1,0
268,30,0,5,1,26,2.4,2,3,3,59,0,1
269,33,0,6,1,20,4.7,2,2,1,29,0,1
270,32,0,9,1,19,2.6,1,3,2,57,0,0
271,27,1,6,2,28,1.6,1,3,1,58,1,1
272,34,1,8,1,23,3.9,3,1,3,18,0,1
273,24,1,7,1,19,2.2,2,2,3,47,0,0
274,25,1,9,2,24,3.1,3,3,3,38,1,1
275,33,0,4,1,28,3.8,3,1,3,50,0,1
276,32,0,2,1,13,4.6,1,3,3,55,0,1
277,25,0,7,2,11,4.2,3,2,3,24,1,1
278,24,0,6,2,18,3.7,2,3,2,50,0,0
279,31,1,1,1,19,3.7,1,3,2,34,1,0
280,24,1,9,1,20,4.8,2,1,2,55,0,1
281,24,0,9,1,23,2.2,2,3,1,59,0,1
282,25,0,2,1,16,1.0,1,1,1,58,0,0
283,28,1,3,2,24,2.1,2,2,2,25,1,1
284,25,0,5,1,28,1.9,1,3,1,26,1,1
285,30,1,5,1,24,3.6,2,2,1,32,1,1
286,22,0,1,1,17,3.5,1,2,3,44,0,0
287,29,0,8,1,20,3.4,3,3,3,58,0,1
288,28,0,8,1,18,1.1,2,1,1,51,1,0
289,23,0,4,2,24,3.9,1,2,1,34,1,1
290,29,0,7,1,10,2.3,2,2,2,39,0,0
291,22,0,3,2,10,3.7,2,3,1,26,0,0
292,32,0,6,2,28,3.2,2,3,3,35,0,1
293,33,1,9,1,12,2.4,1,3,1,39,0,0
294,30,1,1,1,19,1.5,3,3,2,25,1,0
295,30,1,5,1,17,1.4,3,3,3,23,0,1
296,23,1,4,1,24,4.3,3,3,3,39,0,1
297,28,1,8,1,19,4.7,1,1,3,49,0,1
298,31,0,1,1,10,3.6,3,2,3,46,0,0
299,24,0,9,1,27,1.4,1,1,1,28,0,1
300,28,1,6,2,11,2.6,2,1,2,15,0,0
301,33,0,4,1,28,3.9,2,3,1,31,0,1
302,31,1,9,2,22,4.1,3,2,1,39,1,1
303,30,1,5,1,10,1.5,1,1,3,22,1,0
304,25,0,5,2,11,1.0,2,3,2,19,1,0
305,33,0,5,1,25,3.8,1,3,3,19,0,1
306,22,0,1,1,24,2.4,1,2,1,55,1,0
307,23,1,1,2,22,2.0,2,1,1,49,0,0
308,22,0,8,1,25,1.1,1,1,3,33,0,1
309,33,1,8,1,26,3.2,2,1,1,37,0,1
310,26,1,6,2,16,4.4,2,3,1,23,0,1
311,26,1,4,1,26,4.8,2,2,3,44,1,1
312,32,0,2,1,16,3.3,1,2,1,30,0,0
313,28,0,2,2,22,3.1,2,1,2,47,0,0
314,30,1,9,2,14,1.3,1,3,3,16,1,1
315,30,0,5,2,26,3.2,2,1,2,28,1,1
316,24,0,4,1,12,2.5,2,2,1,15,1,0
317,24,0,1,2,16,3.4,3,3,1,40,0,0
318,24,1,7,1,26,2.6,3,1,3,39,1,1
319,25,1,3,2,16,2.0,3,1,1,30,0,0
320,29,0,6,2,10,1.4,1,3,3,29,0,1
321,27,1,5,2,26,2.3,1,2,3,40,1,1
322,29,0,5,2,26,1.4,2,3,3,58,1,1
323,22,0,5,1,20,1.7,2,1,3,30,1,1
324,29,0,1,2,12,4.9,2,1,3,28,0,1
325,25,0,1,2,24,2.8,2,1,2,43,0,0
326,32,1,3,1,20,3.1,1,1,3,38,0,1
327,22,1,4,2,25,4.5,2,2,2,29,0,1
328,29,1,5,1,18,5.0,2,2,1,33,0,1
329,25,0,2,2,10,3.3,3,1,3,22,0,0
330,27,0,8,2,25,4.2,2,2,1,48,1,1
331,29,0,2,2,18,2.3,2,2,3,16,0,0
332,25,1,9,1,28,2.2,2,2,2,41,1,1
333,24,0,2,1,21,2.6,1,1,2,24,1,0
334,30,1,9,1,28,3.7,3,3,2,49,1,1
335,24,1,7,2,18,3.7,2,3,1,37,1,0
336,30,1,8,1,16,2.3,2,3,3,22,1,1
337,34,1,2,1,23,1.5,3,1,1,42,0,0
338,23,1,7,2,28,3.5,2,2,2,37,0,1
339,23,1,6,1,28,1.5,1,2,1,18,0,1
340,23,0,4,2,11,3.3,2,1,2,28,0,0
341,27,0,7,2,18,3.8,1,1,2,56,1,0
342,24,1,4,2,22,3.8,1,3,2,43,1,1
343,34,1,2,1,24,4.0,2,3,3,15,1,1
344,30,0,7,1,12,4.5,3,1,3,18,0,1
345,25,1,8,1,20,3.0,1,3,2,46,0,1
346,22,1,2,1,23,3.9,3,2,1,47,0,0
347,25,0,5,1,17,3.5,2,1,1,40,0,0
348,22,1,1,1,27,1.7,1,1,3,31,1,0
349,26,1,7,2,28,1.1,2,2,2,53,1,1
350,25,1,8,2,25,2.1,3,2,1,37,0,1
351,29,0,6,1,11,2.8,2,2,2,46,0,0
352,29,0,5,2,17,3.5,2,3,1,29,1,0
353,28,0,6,2,15,4.4,1,1,3,27,1,1
354,24,1,2,2,21,1.8,2,3,2,16,1,0
355,22,1,1,2,24,1.5,2,2,2,33,1,0
356,22,0,7,1,17,4.9,2,3,1,38,0,1
357,33,1,7,1,13,1.4,1,2,1,59,1,0
358,32,1,2,1,24,2.9,3,3,1,38,1,0
359,24,1,2,1,29,3.3,3,3,2,25,1,0
360,27,1,1,2,26,3.2,2,2,3,36,1,0
361,28,1,8,2,22,1.3,1,3,3,29,0,1
362,27,0,8,1,27,1.2,2,1,1,24,0,1
363,27,1,1,1,11,1.4,3,3,3,55,0,1
364,27,0,8,2,22,3.3,1,3,1,41,0,1
365,34,1,9,1,22,3.2,3,1,3,23,0,1
366,24,0,4,1,24,1.9,3,2,2,42,0,1
367,27,1,1,2,29,3.6,1,1,1,15,1,0
368,29,0,1,1,19,4.3,1,3,3,31,1,1
369,32,1,3,1,12,1.2,2,2,2,45,1,0
370,32,0,5,1,28,3.0,2,3,3,58,1,1
371,23,1,5,2,12,3.8,3,3,2,24,0,0
372,26,0,9,1,23,2.0,1,1,2,51,1,1
373,22,1,2,1,17,2.2,1,1,3,43,0,0
374,33,0,2,1,13,3.5,2,2,3,32,1,0
375,22,0,6,1,29,4.6,3,2,2,52,1,1
376,26,1,9,1,20,4.2,3,2,2,53,1,1
377,33,1,1,2,20,3.3,2,3,2,20,0,0
378,34,0,9,1,20,3.9,1,1,1,54,1,1
379,24,1,9,2,11,2.5,2,1,2,26,0,0
380,25,0,9,1,26,3.6,2,1,1,28,0,1
381,24,0,5,1,18,2.9,2,2,2,58,1,0
382,22,0,9,1,11,1.8,2,1,1,24,0,0
383,22,1,4,1,24,3.8,1,1,2,34,0,1
384,33,0,2,1,25,3.2,2,1,2,29,1,0
385,33,0,6,1,13,2.4,1,2,2,45,1,0
386,34,1,4,1,17,4.6,2,1,3,21,1,1
387,26,1,6,2,18,1.1,3,2,3,55,1,0
388,27,1,3,1,14,2.3,1,1,2,24,1,0
389,24,1,6,2,25,1.2,3,1,1,24,1,1
390,33,0,2,2,22,4.1,2,1,1,53,0,1
391,30,0,2,1,16,3.8,2,2,2,42,1,0
392,26,0,9,1,29,2.3,2,2,3,44,1,1
393,29,0,7,1,26,3.7,1,1,1,51,0,1
394,34,1,3,1,12,2.6,3,3,3,17,1,1
395,22,0,1,1,14,4.0,1,2,1,57,0,1
396,26,0,8,2,28,2.8,1,2,2,29,1,1
397,24,1,6,1,21,2.6,2,1,3,35,1,1
398,33,0,7,1,16,4.7,3,3,1,51,0,1
399,22,0,9,2,18,2.0,2,1,2,26,1,0
400,25,0,5,1,15,1.5,1,2,2,18,0,0
401,34,0,1,2,26,3.3,2,2,2,23,1,0
402,26,0,7,1,25,4.9,3,1,3,53,1,1
403,28,0,5,1,12,2.5,2,1,3,56,0,0
404,22,1,3,1,13,1.2,3,3,2,42,1,0
405,24,1,9,1,19,2.4,3,3,3,37,1,1
406,23,0,1,2,14,3.0,2,2,1,59,0,0
407,30,0,1,1,19,1.6,1,3,2,54,1,0
408,31,1,1,2,21,3.6,2,3,2,58,0,0
409,27,0,3,1,19,5.0,1,2,3,36,1,1
410,31,0,6,1,22,2.8,1,2,2,38,0,1
411,24,0,3,1,20,2.4,2,2,1,40,1,1
412,29,1,8,1,25,2.6,1,2,3,44,0,1
413,29,0,2,2,17,1.5,1,1,3,47,0,0
414,23,1,9,1,17,4.5,2,2,2,30,1,1
415,27,0,3,1,17,2.7,2,2,2,36,1,0
416,28,1,5,1,22,2.5,2,2,2,57,0,1
417,23,1,8,1,11,3.6,1,3,3,32,1,1
418,32,0,2,1,21,2.8,3,2,2,21,0,0
419,31,1,6,1,19,3.6,1,1,1,40,1,0
420,23,0,5,2,21,1.2,3,1,2,22,1,1
421,31,1,9,1,20,4.3,2,2,2,20,0,1
422,22,0,5,1,24,4.8,3,1,3,44,0,1
423,29,0,2,1,25,3.6,2,3,2,53,1,0
424,22,1,5,1,26,4.8,2,2,3,37,1,1
425,30,0,4,2,11,1.6,3,1,2,46,1,0
426,32,0,7,1,27,2.9,2,1,1,36,1,1
427,27,1,6,1,21,3.4,3,2,1,56,1,1
428,28,0,2,2,28,3.3,2,1,3,57,0,0
429,34,0,5,1,27,2.6,1,2,3,59,1,1
430,31,1,7,1,26,2.4,1,1,2,23,1,1
431,28,1,7,2,15,1.5,2,3,2,45,0,0
432,31,0,5,2,24,2.6,2,1,1,21,0,1
433,24,0,9,2,12,1.7,3,1,2,23,0,0
434,23,1,4,1,15,3.9,1,2,1,27,1,0
435,30,1,3,1,12,1.8,3,1,3,17,0,0
436,29,0,4,1,10,1.2,2,2,2,49,0,0
437,34,1,5,1,22,3.2,2,3,3,47,0,1
438,33,0,6,2,23,3.4,3,2,2,35,0,1
439,31,0,3,1,22,4.5,2,2,1,45,1,1
440,28,0,2,2,13,3.3,1,1,3,48,1,0
441,30,0,4,2,16,2.4,3,3,3,46,1,1
442,25,0,5,1,19,4.2,1,2,2,49,0,1
443,34,1,4,1,16,3.2,1,1,3,29,0,0
444,25,1,3,2,24,1.3,1,1,1,46,0,1
445,22,1,8,1,24,3.3,3,2,3,20,0,1
446,29,1,4,2,13,4.6,2,1,3,59,0,1
447,33,0,2,1,15,2.6,1,2,2,35,0,0
448,24,0,2,1,29,2.2,1,2,3,47,1,0
449,28,0,1,1,14,1.6,1,2,2,46,1,0
450,33,0,4,2,29,1.6,2,3,2,33,0,1
451,23,1,9,1,21,2.7,2,2,3,47,1,1
452,23,0,7,2,10,3.4,3,1,1,42,0,0
453,28,0,7,1,17,1.3,2,3,2,45,0,0
454,27,1,7,2,10,4.8,3,1,3,35,1,1
455,24,1,8,2,14,4.0,3,3,2,48,0,1
456,30,1,1,1,15,3.3,3,3,1,29,1,0
457,31,1,8,1,12,4.3,3,3,1,28,0,1
458,34,0,4,2,24,1.3,3,3,2,33,0,1
459,27,0,4,1,14,2.9,1,1,1,57,1,0
460,31,1,4,2,23,3.5,2,2,3,29,0,1
461,31,0,6,1,27,4.3,1,1,3,20,0,1
462,27,0,7,2,25,4.1,3,2,2,23,0,1
463,22,0,6,2,15,2.1,2,1,1,51,1,0
464,25,1,1,2,23,4.8,1,3,3,34,0,1
465,31,0,8,1,17,1.5,1,3,3,48,0,1
466,27,1,7,1,16,4.5,3,2,3,52,0,1
467,27,0,6,1,17,4.9,1,2,2,40,1,1
468,32,0,6,1,22,1.7,1,1,2,32,1,1
469,33,0,5,1,15,3.9,1,2,3,42,1,0
470,26,1,6,1,27,1.2,1,1,3,23,1,1
471,22,0,9,2,11,2.6,1,2,1,46,1,0
472,29,1,9,1,17,3.1,3,2,1,20,0,0
473,26,1,8,1,20,3.3,3,2,1,28,1,1
474,33,1,9,2,10,4.7,1,3,2,42,1,1
475,33,0,8,1,15,3.7,3,3,3,38,0,1
476,33,0,8,1,25,2.9,3,1,2,27,1,1
477,26,0,1,2,29,4.2,2,2,3,57,0,1
478,28,0,5,2,21,4.8,1,1,1,26,1,1
479,25,1,4,1,20,1.1,3,2,1,33,0,1
480,27,1,2,1,19,4.9,3,3,1,35,0,1
481,34,1,8,2,12,1.3,1,3,1,41,1,0
482,25,0,3,1,22,4.3,2,2,3,33,1,1
483,24,1,4,1,12,2.1,1,2,1,38,0,0
484,28,0,7,1,24,1.5,2,3,3,40,0,1
485,29,1,9,1,25,2.8,1,3,3,59,0,1
486,25,0,2,1,22,3.6,1,1,2,42,0,0
487,34,0,3,1,26,2.5,1,3,1,32,0,1
488,23,1,4,2,12,1.2,1,2,1,58,0,0
489,33,1,1,2,29,3.4,2,1,2,50,0,0
490,31,1,7,1,20,4.6,2,2,3,56,1,1
491,24,1,2,2,28,2.5,3,1,1,43,0,0
492,22,0,5,2,20,1.9,1,2,3,31,1,1
493,29,1,1,1,25,2.8,2,3,2,18,1,0
494,24,1,3,1,12,1.2,2,2,3,58,0,0
