,Age,Income,MonthlyDebtRepayment,YearsWithCurrentBank,LoanAmount,Education,EmploymentStatus,CreditHistory,LatePaymentHistory,CurrentBankRelationshipStatus,LoanPurpose,label
21,37.74223699513465,41394.49994092131,1083.2130813874576,4.073677275829202,8610.538904928615,Some College,Unemployed,Satisfied,3,4-6 years,Purchase of Vehicle,0
22,40.67528204687924,49634.68111608526,1408.1975787515953,4.177146785767995,5185.25814740273,Graduate Degree,Employed,Satisfied,0,1-3 years,Personal Loan,1
23,25.752518137865433,82134.05537917795,607.3538802642663,7.307801468511494,26268.71731838885,Bachelor's Degree,Unemployed,Satisfied,0,1-3 years,Purchase of Property,1
24,34.556172754748175,75913.14755151067,94.14635325375241,1.2605166006091588,14570.855509647174,High School,Employed,Moderately Satisfied,0,More than 6 years,Start-up Business,1
25,41.10922589709866,56544.85504511048,1055.1548634261085,4.222958449633982,17454.099778059037,Some College,Employed,Satisfied,1,4-6 years,Purchase of House,1
26,28.490064225776973,50570.05217252301,1540.153354453256,5.380847779850115,13750.748974951086,High School,Employed,Satisfied,3,More than 6 years,Purchase of Vehicle,1
27,43.75698018345672,51800.46990077392,1371.6839058818312,5.898437442570069,17921.5988738599,Some College,Unemployed,Satisfied,2,More than 6 years,Purchase of Property,1
28,33.99361310081195,59202.769590956246,1062.8978245823878,3.9803866136182346,32788.30489677073,Some College,Employed,Satisfied,3,4-6 years,Purchase of Vehicle,1
29,37.083062502067236,34658.111522023915,852.5091443103858,5.068882023411683,26417.027668944953,Some College,Employed,Moderately Satisfied,2,Less than 1 year,Start-up Business,1
30,33.98293387770603,46139.35193864982,1242.136778991193,0.02334529317402101,26897.788095095817,Some College,Employed,Satisfied,1,4-6 years,Purchase of Vehicle,1
31,58.522781845089376,24971.238891836158,707.9361400886594,3.6835031753323033,8670.183553658835,High School,Employed,Moderately Satisfied,3,1-3 years,Personal Loan,1
32,39.86502775262066,55988.34683907919,1142.9073308068657,5.9070174251089345,10790.770107577046,Some College,Employed,Moderately Satisfied,2,More than 6 years,Purchase of Property,1
33,29.422890710440996,59707.939095541115,1151.641047749988,3.035411931490641,1000.0,Bachelor's Degree,Unemployed,Satisfied,2,1-3 years,Purchase of House,1
34,48.225449121031886,42752.20306550939,1318.062972249664,5.117968443179195,13524.953431337968,Bachelor's Degree,Employed,Satisfied,0,1-3 years,Purchase of Vehicle,1
35,27.791563500289776,73609.80144935049,1827.8980116733233,5.893745001605396,27653.625491085266,Some College,Employed,Satisfied,1,4-6 years,Purchase of Property,1
36,42.08863595004755,31613.515054964882,1117.72479015363,4.31490159828447,24135.572125986968,Graduate Degree,Employed,Satisfied,3,1-3 years,Purchase of Property,1
37,20.403298761202244,28034.376796852695,847.3109122877504,5.340927541993142,18227.893896383008,Graduate Degree,Employed,Moderately Satisfied,0,1-3 years,Purchase of Vehicle,1
38,26.718139511015693,53366.77727839958,992.3277063424017,3.0745348694307753,19821.597730255577,High School,Employed,Satisfied,1,4-6 years,Start-up Business,1
39,41.96861235869123,65706.47453918232,469.2772285332645,4.586777440607907,14488.915659396756,High School,Employed,Satisfied,0,Less than 1 year,Purchase of House,1
40,47.38466579995411,75258.91537186803,791.5860606732825,6.220432339178445,21638.071059214275,Bachelor's Degree,Employed,Satisfied,3,Less than 1 year,Purchase of House,1
41,41.7136828118997,43116.7360569659,877.2152685660687,5.3139459219368685,26127.026235844918,Bachelor's Degree,Employed,Satisfied,2,1-3 years,Purchase of Property,1
42,38.843517176117594,66180.21250146943,842.7734806196222,3.826937460872129,7072.905700716217,Graduate Degree,Employed,Satisfied,3,4-6 years,Purchase of Vehicle,1
43,36.98896304410711,49422.372957489395,1045.7064616101165,5.448432808581586,22397.181502698786,Graduate Degree,Employed,Satisfied,1,4-6 years,Start-up Business,1
44,25.214780096325725,47410.59050088771,753.2740202853398,6.429219581273236,27459.47896763734,Bachelor's Degree,Employed,Satisfied,3,4-6 years,Purchase of House,1
45,32.801557916052914,63254.89906230009,1336.3092001973414,0.900117442845044,16679.197688293043,Some College,Employed,Satisfied,1,4-6 years,Purchase of Vehicle,1
46,35.393612290402125,59784.84317620129,1000.0621194754591,7.318148129911796,25605.60489696467,High School,Unemployed,Moderately Satisfied,0,1-3 years,Purchase of House,1
47,50.57122226218915,26354.11764523626,997.2099036584157,4.327490522637856,42517.235555780426,High School,Employed,Moderately Satisfied,1,More than 6 years,Purchase of Property,1
48,43.43618289568462,72148.10524588844,901.6315850461247,5.85097986648046,19165.257656104866,Some College,Employed,Satisfied,2,Less than 1 year,Purchase of Property,1
49,22.36959844637266,70701.37031221177,1046.5572051576937,7.394493847290455,23146.45640004259,Bachelor's Degree,Employed,Satisfied,2,4-6 years,Purchase of Property,1
50,43.24083969394795,40616.55947735706,1247.5294794002905,2.256652605539068,14095.543330708868,Some College,Employed,Dissatisfied,2,More than 6 years,Purchase of Vehicle,1
51,36.149177195836835,55937.05300156114,739.86093528673,3.581117995144907,21450.009300816404,Bachelor's Degree,Unemployed,Satisfied,0,More than 6 years,Purchase of Vehicle,1
52,33.23077999694041,57410.45279424108,802.565053277423,4.422902608248591,23682.17299985843,High School,Employed,Satisfied,1,1-3 years,Personal Loan,1
53,46.11676288840868,53910.10648735861,908.8821913670006,3.432492957751143,21558.738722161106,Some College,Employed,Satisfied,0,1-3 years,Purchase of Vehicle,1
54,50.30999522495951,41745.422692318694,596.2387229580355,8.469873151673617,11842.437442329147,High School,Employed,Moderately Satisfied,3,4-6 years,Personal Loan,1
55,49.31280119116199,39925.64948092923,754.2226420835507,3.2864558123464143,21650.894170603606,Some College,Employed,Satisfied,3,Less than 1 year,Purchase of Vehicle,1
56,31.607824767773614,49616.688935128324,857.1337379366023,3.8889064410262666,31697.567509741093,Bachelor's Degree,Unemployed,Dissatisfied,3,More than 6 years,Personal Loan,0
57,36.907876241487855,67590.93528889047,1262.3167542138183,5.408778063205953,23589.086116116217,Bachelor's Degree,Employed,Moderately Satisfied,3,4-6 years,Purchase of House,1
58,43.31263431403564,58154.002318916486,1078.7683987005776,2.5957009478478223,27695.897512574727,Graduate Degree,Employed,Moderately Satisfied,2,4-6 years,Purchase of Property,1
59,49.75545127122359,44440.78501870841,1058.0769734102632,4.2086385764874725,18103.904239898977,High School,Employed,Moderately Satisfied,1,1-3 years,Purchase of Vehicle,1
60,35.2082576215471,61575.48065972517,1255.2693886503916,5.6349065225003505,25999.201915389684,Some College,Employed,Satisfied,2,4-6 years,Purchase of Vehicle,1
61,38.14341023336183,20000.0,958.788463480181,4.334279191234978,22234.142705732207,Some College,Unemployed,Satisfied,1,4-6 years,Purchase of Vehicle,0
62,28.936650259939718,67231.48550558156,1117.139454978667,4.8132262822001035,12392.714162502143,Some College,Employed,Moderately Satisfied,1,More than 6 years,Purchase of Vehicle,1
63,28.037933759193294,23904.293318328506,969.0334741202512,3.9413357751032585,22548.168038390995,Graduate Degree,Employed,Dissatisfied,0,Less than 1 year,Purchase of House,1
64,48.125258223941984,44563.38587895302,1079.6087048198885,1.971059381638466,12066.426692477515,Bachelor's Degree,Employed,Satisfied,3,Less than 1 year,Purchase of Property,1
65,53.56240028570823,33204.95158060784,825.1724027165253,5.643186422678477,14936.957800921664,Graduate Degree,Employed,Dissatisfied,1,1-3 years,Purchase of Property,1
66,39.27989878419666,30579.777864186413,268.3548525170713,8.509866143294483,21514.626458338993,High School,Employed,Satisfied,3,1-3 years,Personal Loan,1
67,50.03532897892024,67412.4018106778,959.7162513441087,5.0368032615668765,22377.954187040992,Graduate Degree,Employed,Satisfied,3,4-6 years,Purchase of Property,1
68,43.61636025047634,42984.48198032163,1426.824440829982,5.450528234495099,10486.140279382967,High School,Employed,Satisfied,3,More than 6 years,Purchase of Property,1
69,33.54880245394876,55197.55822596073,1277.8646206724777,6.385445510233719,28431.88616946301,Graduate Degree,Employed,Satisfied,2,1-3 years,Purchase of House,1
70,43.61395605508414,49296.19131681224,1289.6192453773513,2.4613390069066017,24576.050226403782,Some College,Employed,Satisfied,3,More than 6 years,Purchase of House,1
71,55.38036566465969,57155.612408346824,1370.8392165418654,8.405029316259212,14362.172515112929,Some College,Unemployed,Satisfied,1,Less than 1 year,Purchase of House,1
72,39.64173960890049,51152.32836590383,1026.5972772884313,5.404657592845604,7699.321628406597,Some College,Employed,Satisfied,2,1-3 years,Personal Loan,1
73,55.64643655814006,30755.116637171457,1059.1947122216786,8.263713798178218,18840.76336734855,Graduate Degree,Employed,Satisfied,3,Less than 1 year,Purchase of Vehicle,1
74,20.0,64944.002291707104,814.7044313696949,3.5339340089520213,16432.45028911072,High School,Employed,Satisfied,0,1-3 years,Purchase of Vehicle,1
75,48.21902504375224,42593.65125258031,905.178143191885,8.63612384511565,20905.12365642418,Some College,Employed,Dissatisfied,3,More than 6 years,Purchase of Property,1
76,40.870470682381715,26651.271520103735,1184.7313449313424,6.550310988069566,17095.06671075547,Graduate Degree,Employed,Satisfied,3,Less than 1 year,Purchase of Vehicle,1
77,37.009926495341325,43578.27258551131,1361.1653311506448,6.106080171704717,3940.345114039921,Some College,Unemployed,Satisfied,2,4-6 years,Personal Loan,0
78,40.91760776535502,72511.39685951466,958.1661172957001,5.468048908706296,16893.224493590733,High School,Employed,Satisfied,1,4-6 years,Personal Loan,1
79,20.124310853991073,62753.32613170239,864.9432205445765,4.5029427638511015,17555.047111453496,Some College,Employed,Satisfied,3,More than 6 years,Purchase of Vehicle,1
80,37.80328112162488,44770.21798388211,1000.1583876569792,7.401063316947745,25069.28819819247,Some College,Employed,Moderately Satisfied,2,1-3 years,Purchase of Vehicle,1
81,43.57112571511746,44761.13443522357,1180.3620246787345,5.280719739696094,14414.402603111603,Graduate Degree,Employed,Satisfied,2,1-3 years,Purchase of House,1
82,54.77894044741516,45175.47423173926,566.8435551599375,1.0658605928256955,33429.39738698053,Bachelor's Degree,Employed,Moderately Satisfied,1,Less than 1 year,Purchase of Property,1
83,34.81729781726352,81151.21975341262,311.1457140588286,2.765627076585995,4706.875594785943,Some College,Employed,Satisfied,2,4-6 years,Purchase of Vehicle,1
84,31.915063971068122,55729.0317834733,834.838945152525,4.6283084956145055,30489.339982420996,Graduate Degree,Employed,Satisfied,1,1-3 years,Personal Loan,1
85,34.982429564154636,56450.624707866045,633.7862722257523,5.61999796633111,18205.448232975163,Some College,Employed,Satisfied,0,More than 6 years,Purchase of Property,1
86,49.15402117702074,65454.25181047763,847.5579407058067,4.8868230222002085,26876.67897874845,High School,Employed,Satisfied,3,4-6 years,Purchase of House,1
87,43.287511096596845,53581.8373853977,955.6659043547586,7.437941579587326,20638.411872469864,High School,Employed,Satisfied,2,4-6 years,Purchase of Vehicle,1
88,34.70239796232961,46114.36781268945,864.025477293096,1.0977962719227503,29116.444288203755,Some College,Employed,Satisfied,0,4-6 years,Personal Loan,1
89,45.13267433113356,47054.75226372533,1435.7402603412236,5.28717587301032,16901.10428357751,High School,Employed,Satisfied,2,Less than 1 year,Purchase of Vehicle,1
90,40.9707754934804,48925.98110878904,1098.023429380696,1.3640415492256905,11211.036598577502,Graduate Degree,Employed,Satisfied,2,4-6 years,Personal Loan,1
91,49.68644990532889,49441.66645235238,1090.1423078832486,6.519424590968336,31364.034298168503,Bachelor's Degree,Employed,Dissatisfied,0,More than 6 years,Purchase of House,1
92,32.979469061226474,60914.4431545547,1186.6621432130205,4.811082571115994,19092.15483294287,High School,Employed,Satisfied,2,More than 6 years,Purchase of Property,1
93,36.723378534022316,50779.18828710949,658.3500646657692,5.839219944048236,21772.467788993687,Some College,Employed,Satisfied,2,More than 6 years,Personal Loan,1
94,36.078918468678424,60989.60115823369,1311.7335362260806,3.2722340788204676,29878.01531235836,Bachelor's Degree,Employed,Satisfied,0,More than 6 years,Personal Loan,1
95,25.364850518678814,48789.251298371266,977.270714039362,7.558929863315502,11744.358063244521,Graduate Degree,Employed,Satisfied,2,1-3 years,Purchase of House,1
96,42.96120277064576,51179.52785474136,1201.1441851723637,7.083449328117703,24763.927181114057,Graduate Degree,Employed,Satisfied,1,1-3 years,Purchase of Vehicle,1
97,42.610552721798896,20026.989732018385,678.4428300879533,6.167088606023775,15280.841948296873,Some College,Employed,Moderately Satisfied,2,Less than 1 year,Personal Loan,1
98,40.05113456642461,63744.91512053722,533.8723701951807,4.740965506273119,18942.645154845024,Bachelor's Degree,Employed,Dissatisfied,3,1-3 years,Purchase of House,1
99,37.65412866624853,55197.32713846989,1245.3668974075085,6.159714570590264,20578.23172307431,Some College,Unemployed,Satisfied,2,1-3 years,Purchase of Vehicle,1
100,25.84629257949586,64970.15164789478,1112.922857829255,3.586214864025302,7998.225108424511,Some College,Employed,Satisfied,3,4-6 years,Start-up Business,1
101,35.79354677234641,20000.0,729.3845336927468,6.711111318041424,13769.303657436521,High School,Employed,Satisfied,3,4-6 years,Purchase of Vehicle,1
102,36.572854834732304,81325.62057171091,739.1010756175917,8.298961788647842,30808.583139305112,High School,Employed,Moderately Satisfied,2,More than 6 years,Purchase of Vehicle,1
103,31.97722730778381,47906.15557767239,1337.630435324431,7.141221119958372,27089.529508678366,Some College,Employed,Satisfied,0,4-6 years,Purchase of Vehicle,1
104,38.387142883339905,66622.74225106275,643.1764321398016,3.540795060385181,19498.883381382122,High School,Employed,Satisfied,1,More than 6 years,Purchase of Property,1
105,44.040508568145384,34401.411093117036,1492.801885976789,5.722834634546206,21944.987668103146,High School,Employed,Satisfied,1,Less than 1 year,Purchase of Property,1
106,58.8618590121053,59191.608575938546,729.8137796056394,2.4137169124827045,17646.059954908338,Bachelor's Degree,Employed,Moderately Satisfied,2,Less than 1 year,Purchase of House,1
107,41.74577812831839,34198.76655239516,1191.517577682515,6.144780622351352,30852.667086623856,High School,Employed,Satisfied,0,4-6 years,Purchase of House,1
108,42.57550390722764,40643.465589562926,901.4144572753046,5.901206825725078,18397.179377646687,Some College,Employed,Satisfied,0,1-3 years,Purchase of House,1
109,39.25554084233833,78710.4703080018,1180.956229324703,1.2603673209356718,21854.736737078783,Some College,Employed,Moderately Satisfied,1,1-3 years,Purchase of Property,1
110,20.812287847009586,47139.7639885498,836.7657993657422,2.6764323121752724,29168.24115313652,Graduate Degree,Employed,Satisfied,0,1-3 years,Purchase of Vehicle,1
111,39.73486124550783,53261.49309769584,951.1621281783117,4.433722206512465,13781.028121232746,Some College,Employed,Moderately Satisfied,2,1-3 years,Start-up Business,1
112,40.60230209941027,63051.015960331315,1012.2757526187163,4.398280505718348,32470.313475975152,High School,Employed,Satisfied,2,4-6 years,Purchase of Vehicle,1
113,60.0,57435.22831958907,699.3437632655582,2.5810461291623894,7756.308722052985,Some College,Employed,Moderately Satisfied,0,4-6 years,Start-up Business,1
114,38.076390352188774,52256.28357715365,1222.2473036260378,5.777957458704368,33037.13704890239,Bachelor's Degree,Employed,Moderately Satisfied,2,4-6 years,Purchase of Vehicle,1
115,43.015473423336125,55474.41503699338,846.0359300585244,5.502947217881024,17018.595328384203,Graduate Degree,Employed,Satisfied,3,4-6 years,Personal Loan,1
116,39.65288230294757,86051.23377857413,931.4200253979944,4.611461736042961,18058.410017397746,Some College,Employed,Moderately Satisfied,1,1-3 years,Purchase of Vehicle,1
117,28.313219623804677,49135.71804449622,701.6951876174463,3.488416999683274,4879.9186305364565,Some College,Employed,Satisfied,2,1-3 years,Purchase of Vehicle,1
118,51.42822814515021,53016.485700724515,231.2999023614068,7.097414252833127,16361.642260978457,Graduate Degree,Unemployed,Dissatisfied,0,1-3 years,Personal Loan,1
119,47.519330326867745,65759.81594011417,942.6916712199493,8.310814226176591,11681.547751784927,High School,Unemployed,Satisfied,1,1-3 years,Personal Loan,1
120,47.910319470430466,66582.88899436976,1723.7846264838747,4.032877032306926,15138.829237012218,Bachelor's Degree,Employed,Moderately Satisfied,2,4-6 years,Purchase of House,1
121,30.90612545205261,67805.4545834057,1235.3812863694072,3.7756661656903585,18901.512273688964,Some College,Employed,Satisfied,1,4-6 years,Personal Loan,1
122,54.02794310936099,59580.95333043777,994.2218860796816,5.982415330823993,27662.332915783245,High School,Employed,Dissatisfied,0,4-6 years,Purchase of Property,1
123,25.981489372077192,32854.92630904275,921.1327512375196,4.283941240506028,21660.826811205006,Some College,Employed,Satisfied,3,1-3 years,Personal Loan,1
124,45.868570938002705,74501.47298451644,1006.7397678436139,4.7212055986735315,22461.413227208912,High School,Employed,Dissatisfied,3,4-6 years,Purchase of House,1
125,60.0,32804.81910471968,1164.135734552563,6.479306303449343,11235.8448892355,Bachelor's Degree,Employed,Dissatisfied,2,4-6 years,Purchase of Property,1
126,30.094636748693116,54539.531978585495,645.7561554073466,1.1812878249854144,12953.967283178159,Graduate Degree,Unemployed,Satisfied,3,4-6 years,Purchase of House,1
127,34.33702270397228,38685.86224970963,1334.2965084006617,7.636604649705339,34389.80014681049,High School,Employed,Moderately Satisfied,2,4-6 years,Purchase of House,1
128,40.99651365087641,49037.92480110511,1214.6143946323732,5.145361048658683,14118.391721894026,Bachelor's Degree,Employed,Dissatisfied,1,4-6 years,Personal Loan,1
129,34.96524345883801,54931.436154552204,1215.4557177123804,4.17701371087564,33249.666016458366,High School,Employed,Satisfied,2,4-6 years,Purchase of Vehicle,1
130,24.493365689338674,54820.35823175409,1131.5427216429182,4.8215316915571025,18055.51040895307,Some College,Unemployed,Satisfied,2,4-6 years,Purchase of Vehicle,1
131,40.68562974806027,56328.81131352927,1005.884997308197,4.924858710041037,20018.30348914803,High School,Employed,Satisfied,2,1-3 years,Purchase of Property,1
132,29.37696286273895,74205.6690358797,1201.858370790046,1.5375973931101492,28562.921281839437,Graduate Degree,Employed,Satisfied,3,4-6 years,Purchase of Property,1
133,44.73592430635182,56803.014522709695,1177.5442401224134,7.989876454906472,30175.13937550925,Bachelor's Degree,Employed,Satisfied,2,1-3 years,Purchase of Vehicle,1
134,30.80575765766197,46337.65047064027,893.7877867176928,5.082651264541237,19113.4995177673,Bachelor's Degree,Unemployed,Satisfied,0,Less than 1 year,Purchase of House,1
135,55.499344050175395,64461.307524325355,827.9194681309298,5.88600426089475,16894.05557182769,Bachelor's Degree,Employed,Satisfied,2,More than 6 years,Start-up Business,1
136,32.16746707663763,67842.05733386961,1030.556888578596,6.9030995411480855,19552.636411822295,Bachelor's Degree,Unemployed,Satisfied,1,More than 6 years,Purchase of Vehicle,1
137,36.77938483794324,31585.88277294511,1464.7060454485563,2.9576750848793996,22703.660225856947,Graduate Degree,Employed,Satisfied,0,Less than 1 year,Purchase of Property,1
138,48.135172173696695,58961.00104774787,628.2678773038297,5.946943798070457,27130.429494958044,Bachelor's Degree,Employed,Moderately Satisfied,1,4-6 years,Personal Loan,1
139,27.69135683566045,60517.591134663475,559.7424202742679,4.464717818202413,20033.838871953212,Graduate Degree,Employed,Moderately Satisfied,1,1-3 years,Purchase of House,1
140,42.27459934604129,45536.54744960012,1049.428252370955,6.693541550432988,24951.09038418523,Some College,Employed,Satisfied,1,4-6 years,Start-up Business,1
141,53.07142754282428,70635.6021996743,1015.2663105568054,0.7455451592970093,33106.87785816753,High School,Employed,Moderately Satisfied,0,More than 6 years,Personal Loan,1
142,23.925167654387725,47749.1661945121,1052.0024993111224,4.801811399517462,23050.47689811828,Some College,Unemployed,Moderately Satisfied,0,More than 6 years,Purchase of House,0
143,41.84633858532304,51883.64680207313,1073.18595937255,3.7943586884320766,22493.222848038225,High School,Employed,Dissatisfied,3,4-6 years,Purchase of Property,1
144,42.598827942484235,47403.922635741954,933.0393236095584,5.864525901268311,7848.713399279457,Some College,Employed,Satisfied,0,1-3 years,Purchase of Property,1
145,47.8182287177731,50233.685713722014,1446.9590315806247,5.940088374736404,1000.0,Some College,Employed,Satisfied,2,4-6 years,Purchase of Property,1
146,27.63049289121918,33555.87369657197,519.7288064570453,3.584748210355948,23107.005833841347,Bachelor's Degree,Employed,Dissatisfied,1,1-3 years,Personal Loan,1
147,26.795433869157236,28399.236761085584,751.4508925659262,3.575652271647913,19241.406149753024,High School,Employed,Dissatisfied,3,More than 6 years,Purchase of House,1
148,45.21941565616898,73917.57594837458,969.0235719552858,4.778669262885341,15881.738600682063,High School,Employed,Moderately Satisfied,0,More than 6 years,Purchase of Vehicle,1
149,42.96984673233186,37295.57977522508,507.0433566537498,3.2067155453695837,21948.241633490758,Some College,Employed,Moderately Satisfied,1,4-6 years,Purchase of Vehicle,1
150,42.504928503458764,35129.114758155396,947.2436786703787,6.683967390904254,19516.770166424732,Graduate Degree,Employed,Satisfied,0,1-3 years,Purchase of Vehicle,1
151,43.46448209496975,20000.0,1498.4410497184053,4.261585599105108,29022.242005071188,Some College,Unemployed,Satisfied,3,1-3 years,Purchase of Vehicle,0
152,33.19975278421509,40415.57378465746,1006.2659464887886,0.0,20688.886946071823,Some College,Employed,Satisfied,0,Less than 1 year,Personal Loan,1
153,42.322536971610035,30153.653098887524,1069.2102717156051,4.250355886756388,14024.61371943866,Bachelor's Degree,Unemployed,Satisfied,0,More than 6 years,Purchase of Property,1
154,42.93072473298681,74630.22740204554,621.9505704482259,2.9229123583120553,27921.32991167431,Bachelor's Degree,Employed,Moderately Satisfied,1,4-6 years,Purchase of Property,1
155,32.85648581973632,65147.25634013952,815.0915775881567,1.737448369078109,18262.95140043038,High School,Employed,Satisfied,2,1-3 years,Purchase of Property,1
156,58.65774511144757,39677.74482233414,887.4410859028189,2.525146723554855,24212.293469378455,Some College,Employed,Satisfied,0,4-6 years,Personal Loan,1
157,44.73832920911788,83786.53708016463,904.6854709731298,5.21881694366594,16180.714350457596,High School,Employed,Dissatisfied,3,More than 6 years,Purchase of House,1
158,28.086965027973513,64726.48230487391,1384.4931385011305,7.657281656496462,14801.38491602051,Graduate Degree,Unemployed,Satisfied,0,1-3 years,Personal Loan,1
159,46.5655360863383,45127.529247370665,1167.3073182175374,5.62636894772996,20673.34584148557,High School,Employed,Dissatisfied,0,More than 6 years,Purchase of House,1
160,30.253183297726785,20000.0,666.5626129188904,3.786993223568521,20102.629148349482,Some College,Employed,Dissatisfied,2,More than 6 years,Start-up Business,1
161,47.87084603742452,84364.13858886113,1073.9514335296014,5.911808390341405,23838.616282934665,High School,Unemployed,Satisfied,1,More than 6 years,Purchase of Property,1
162,51.58595579007404,29156.41299854606,1149.4665245490355,4.081819379562017,17850.833973522058,High School,Employed,Satisfied,3,1-3 years,Purchase of Vehicle,1
163,31.793176816482895,25319.01879564662,1342.04471155638,3.610799261673711,5309.121729836821,Bachelor's Degree,Employed,Satisfied,1,1-3 years,Purchase of Property,1
164,49.63376129244322,65338.5564801446,1474.162205970512,2.691274663534031,16537.80893129289,High School,Employed,Satisfied,1,1-3 years,Purchase of Property,1
165,44.12780926936498,86596.28609508909,695.4717424516393,1.4963423864965617,26350.547737150526,High School,Unemployed,Satisfied,1,1-3 years,Purchase of Vehicle,1
166,48.2206015999449,70764.09227765776,756.7427466368986,4.22015258688111,17620.991366055147,Some College,Employed,Satisfied,0,1-3 years,Purchase of Property,1
167,58.967929826539475,58458.636800785396,622.7266423256151,5.316106979840264,18028.932779883617,High School,Employed,Dissatisfied,2,4-6 years,Purchase of House,1
168,37.54611883997129,58921.315124979286,929.7940422679056,4.80675265997022,27891.012047247496,High School,Employed,Satisfied,0,4-6 years,Purchase of Vehicle,1
169,32.4626383564251,62801.23338170462,1139.9075123339003,4.168066144105283,14304.214181928619,Bachelor's Degree,Unemployed,Moderately Satisfied,3,More than 6 years,Start-up Business,1
170,31.104855703744768,61383.92884680148,1296.2003549767305,3.1085078786064377,7657.574254056803,Bachelor's Degree,Employed,Satisfied,2,Less than 1 year,Purchase of Property,1
171,31.841897150345616,54217.87135954064,977.2146929072431,6.216492383369937,18714.951043796045,Graduate Degree,Employed,Satisfied,1,4-6 years,Personal Loan,1
172,39.228982905858956,51563.01655927814,904.0457430235468,2.36573616010683,16126.608390010104,Graduate Degree,Employed,Dissatisfied,2,4-6 years,Purchase of Property,1
173,43.41151974816644,49061.103081507164,1045.527397674622,6.552055827686951,12270.029441973968,Bachelor's Degree,Unemployed,Satisfied,3,4-6 years,Purchase of House,0
174,42.766907993300194,38690.531166999855,749.4571295109931,2.9955659621465505,18596.972352810473,High School,Unemployed,Satisfied,0,More than 6 years,Purchase of Property,1
175,48.27183249036024,45789.87384699839,1626.861616508432,3.49512952529393,23932.04517797427,Bachelor's Degree,Unemployed,Moderately Satisfied,0,4-6 years,Purchase of Property,0
