,LinesOfCode,CyclomaticComplexity,NumberOfMethods,NumberOfParameters,CommentDensity,CodeChurn,CodeAge,CodeRevisions,BugFixes,CodeCoverage,DefectDensity,LinesOfCodePerMethod,Coupling,FanOut,FanIn,HalsteadVolume,HalsteadDifficulty,MaintainabilityIndex,label
28,-179,-79,-169,-95,1.0,-276,298,290,348,93.15,315.01,78.21,163,-293,-142,695,158,0,0
29,-209,79,29,-59,0.0,-231,-33,-503,366,71.63,0.0,-631.37,309,205,34,-963,-225,25,1
30,-425,-106,-309,217,0.0,-302,-1257,-557,-109,100.0,0.0,-127.79,-56,247,-66,-1811,486,100,0
31,20,78,364,-144,1.0,98,286,43,-163,0.0,307.62,-132.94,-5,99,279,-481,342,0,1
32,308,-90,-134,-385,1.0,-114,1438,84,136,100.0,0.0,-470.66,222,-204,412,-54,-320,0,0
33,-360,61,232,-236,0.0,-32,-505,-213,58,100.0,0.0,-163.24,29,270,-344,-649,-83,30,1
34,163,-130,-111,-172,0.0,231,-199,-143,148,0.0,362.34,-260.82,117,-100,-16,-74,-44,0,1
35,62,248,-364,12,1.0,10,52,631,154,85.92,337.7,21.77,54,-207,-588,609,224,0,1
36,120,-172,359,-869,1.0,113,190,-440,626,100.0,22.9,-541.53,34,-224,109,549,-323,0,0
37,-458,-309,399,-88,0.0,-585,-485,-142,22,100.0,0.0,-115.31,-347,87,-213,-958,248,0,0
38,-24,-45,-298,33,0.0,2,-126,-244,242,100.0,0.0,60.5,132,122,254,-172,30,0,0
39,207,-251,169,23,0.0,209,-527,-443,20,0.0,145.45,-191.72,-273,-75,33,-1050,139,0,1
40,293,-115,138,-823,0.0,-43,-727,-90,-195,100.0,0.0,-134.64,66,417,-75,-988,471,21,0
41,133,46,124,-45,1.0,-110,-147,94,59,0.0,302.12,-58.84,182,-7,-320,229,54,51,1
42,-22,-152,115,-170,0.0,139,-508,-318,392,100.0,102.42,-15.67,9,-103,-308,-1,70,0,0
43,-479,392,-51,-218,0.0,-25,-37,-279,262,100.0,63.89,213.61,223,416,176,243,-378,0,1
44,324,-263,-57,522,0.0,-89,569,95,-11,100.0,196.24,93.7,-13,-393,-73,-3,-50,0,0
45,-131,114,98,350,0.0,204,74,197,134,0.0,0.0,-422.93,-47,-133,-184,-958,413,0,1
46,-117,161,330,230,1.0,-55,577,626,458,100.0,218.05,-4.17,-168,-535,-433,774,601,0,1
47,111,142,170,75,1.0,96,344,-101,113,79.79,101.95,-301.22,27,88,27,73,-227,0,1
48,8,20,-78,-492,0.0,100,-98,-172,258,100.0,184.98,254.06,205,85,370,-77,318,0,1
49,-155,-238,-194,-395,0.0,-110,1242,172,160,100.0,0.0,-444.14,750,-203,-194,-1377,-64,0,0
50,422,31,27,150,1.0,-157,-113,-102,137,0.0,291.89,-159.15,363,-129,337,77,708,100,1
51,-423,-48,209,-405,0.0,-51,-783,-349,62,0.0,362.46,23.05,-80,-118,-95,-867,469,0,1
52,-211,244,-50,-150,0.0,-277,496,-252,399,100.0,64.75,-242.13,340,64,151,198,-454,0,1
53,19,5,160,-112,1.0,442,61,266,-271,11.18,222.17,208.47,-114,-66,-188,364,271,0,1
54,79,90,149,89,1.0,272,623,334,-131,0.0,0.0,50.93,65,-266,-182,-49,394,0,1
55,-13,212,64,184,0.0,-174,-310,-126,74,0.0,144.58,-51.31,418,298,87,-243,311,100,1
56,250,-56,556,219,1.0,-349,331,-102,225,100.0,292.26,129.83,262,-215,-74,800,153,0,0
57,-398,-376,70,418,1.0,-206,103,-24,212,0.0,635.25,-228.27,-174,-552,-476,-513,-28,0,1
58,53,312,-294,354,0.0,-296,1035,159,3,100.0,0.0,-73.23,506,309,320,-124,-244,0,1
59,130,-324,-146,-337,1.0,290,333,149,121,0.0,179.09,-189.2,276,59,-208,-54,-359,0,1
60,-90,28,-58,-99,0.0,-117,-72,19,242,100.0,53.44,176.71,150,105,-109,-279,149,0,1
61,109,276,185,386,1.0,-186,-350,135,273,0.0,0.0,-123.75,-14,-32,-73,469,479,100,0
62,260,-449,44,242,0.0,-243,282,216,227,100.0,324.62,-22.46,325,-336,-400,145,23,0,0
63,520,242,-251,300,0.0,152,-858,123,331,100.0,174.21,-235.0,-279,206,-299,742,-125,99,1
64,16,180,148,-512,0.0,-11,681,228,118,100.0,29.87,-183.66,195,159,191,139,-167,0,1
65,235,-11,50,-383,1.0,62,36,-13,171,0.0,0.0,-214.63,83,-89,231,-702,428,0,0
66,195,-110,208,-57,1.0,521,814,175,-61,0.0,0.0,-232.21,495,185,284,-598,192,60,0
67,-72,-168,238,240,1.0,-588,272,6,-191,0.0,0.0,-523.08,-203,-134,-103,-1131,362,0,0
68,117,-195,-338,-4,0.0,-610,135,16,13,100.0,0.0,-439.24,19,-458,48,-628,321,80,0
69,-460,-125,521,-325,0.0,76,-2232,-643,144,68.78,32.72,85.16,-335,485,-527,-1405,650,2,0
70,-244,125,478,-171,1.0,-218,130,-232,261,0.0,591.9,-252.75,221,-54,310,-90,205,0,1
71,-350,219,358,-102,0.0,-299,-488,104,-36,0.0,165.63,161.25,108,548,30,-589,376,73,1
72,-553,121,512,-3,0.0,-84,-1262,-95,-366,100.0,0.0,210.9,-533,749,-524,-1380,237,0,1
73,-158,-222,138,-75,1.0,-309,-27,133,326,100.0,688.83,-116.56,276,-367,-502,547,69,70,0
74,672,196,-443,129,0.0,-60,95,-23,163,0.0,61.31,-36.75,134,-74,35,311,-119,0,1
75,-47,436,295,-70,1.0,-79,369,-193,260,0.0,162.67,-227.92,423,342,221,-124,6,0,1
76,-146,-323,-88,-320,1.0,-215,438,-304,-23,100.0,0.0,-181.29,-77,83,356,-663,-164,0,0
77,-274,153,173,187,0.0,151,-1277,-520,47,100.0,0.0,-232.45,-485,231,-282,-379,-17,100,0
78,-403,0,387,-123,1.0,-134,117,-333,98,100.0,0.0,-213.81,-256,196,37,-589,-235,0,0
79,-591,-273,436,412,1.0,91,661,288,351,0.0,0.0,-459.01,416,-38,-76,-329,204,100,0
80,-469,-528,141,189,1.0,179,-24,-254,142,0.0,0.0,-378.0,155,223,186,-1096,-191,100,0
81,80,-75,54,173,1.0,195,399,-84,-23,0.0,0.0,-139.89,-13,-147,213,-907,215,0,0
82,-328,317,64,442,0.0,-233,-1364,-446,18,0.0,260.4,-38.24,-96,305,-10,-557,423,100,1
83,-292,124,211,261,0.0,-182,-1244,32,-576,0.0,195.6,266.01,-166,432,-120,-1592,1046,100,1
84,319,-73,181,-619,1.0,-125,216,34,453,100.0,373.84,-216.23,652,-118,-538,829,-179,0,0
85,-229,122,-36,-45,0.0,-138,977,-80,450,100.0,217.59,-186.49,72,-321,474,688,-320,0,1
86,149,-18,-351,-202,1.0,175,271,490,836,60.55,56.49,-578.08,193,-179,-358,926,-143,100,0
87,216,-144,-434,-42,0.0,392,213,373,258,0.0,49.06,-414.79,95,-63,-178,-181,-156,0,1
88,-150,104,164,-165,0.0,66,-147,88,91,100.0,135.09,225.8,-103,271,9,-47,83,0,1
89,352,-96,-288,-163,1.0,267,-157,-31,-43,0.0,253.39,-63.26,-4,136,4,-77,-270,0,1
90,-191,-255,217,-46,0.0,-257,-275,-329,5,61.19,0.0,-657.11,5,70,-274,-1474,77,76,0
91,260,-277,39,22,1.0,-286,262,222,82,100.0,523.4,146.69,109,-452,-710,520,-138,0,0
92,446,-266,-318,96,0.0,-664,209,45,401,100.0,418.19,145.84,219,-364,-264,918,-377,0,0
93,-356,56,512,-61,0.0,-148,-1287,-385,-114,0.0,127.92,-10.27,-342,468,-230,-852,326,100,1
94,53,130,-47,146,0.0,-21,-761,-223,-305,0.0,0.0,265.62,-120,48,-25,-1150,733,0,1
95,-494,-208,299,98,0.0,-666,-252,-82,-75,100.0,0.0,-539.49,-327,8,-370,-1564,156,0,0
96,-518,-191,282,-101,0.0,-553,342,-158,-58,60.52,0.0,-350.66,117,104,-62,-1413,23,0,0
97,-346,-141,367,320,1.0,-18,-229,112,302,0.0,69.92,-151.64,-64,-43,-143,5,384,100,1
98,511,-149,-93,294,0.0,122,666,195,179,100.0,59.15,-156.3,264,-152,-176,68,-252,0,1
99,-119,-132,70,336,0.0,-50,470,165,177,0.0,77.11,-262.45,9,-433,-78,-585,317,0,1
100,249,-526,-7,-135,1.0,301,854,216,254,0.0,270.26,-571.5,374,-336,-410,-481,-435,0,1
101,-241,0,78,-73,0.0,-466,473,-126,254,100.0,0.0,-224.18,-71,-76,189,15,-225,0,0
102,-287,73,35,-428,0.0,-165,-410,-409,145,100.0,0.0,-88.59,-431,94,109,166,-387,0,1
103,72,-47,51,78,0.0,-364,595,296,49,100.0,220.2,-165.07,-43,-221,113,354,-26,0,0
104,-121,242,159,145,0.0,409,42,81,307,0.0,684.81,226.38,284,-183,-22,530,313,0,1
105,18,62,515,-153,1.0,-31,51,125,273,0.0,67.9,-190.01,379,39,-127,347,403,100,1
106,279,363,137,-39,1.0,141,426,380,64,0.0,34.02,-34.02,102,-186,-150,930,306,0,1
107,80,-26,94,639,0.0,261,568,-22,196,0.0,103.26,-583.33,-124,-315,37,-383,-108,0,1
108,-6,-43,119,276,1.0,-114,381,158,441,0.0,334.05,-452.39,21,-472,-547,23,-20,0,1
109,-39,198,-264,300,0.0,-236,104,10,76,100.0,0.0,-115.17,367,135,370,-145,242,100,0
110,310,324,-24,-355,1.0,26,408,25,240,0.0,350.36,-351.44,237,-255,393,787,79,52,1
111,-116,240,138,-167,1.0,-237,-328,-238,-96,0.0,451.83,40.44,159,74,121,101,170,100,1
112,449,104,20,-125,1.0,478,143,211,346,0.0,298.58,-555.78,5,-251,-523,-81,55,0,1
113,371,-127,-129,-170,1.0,145,533,317,86,6.18,28.37,-52.19,349,-14,-120,129,-80,0,1
114,-31,-41,149,-351,1.0,-392,1204,59,-57,0.0,0.0,-659.85,243,-116,195,-859,-153,0,0
115,417,-30,119,178,0.0,-491,-8,-225,239,0.0,107.65,-71.85,185,-257,74,-175,264,0,1
116,-226,-151,195,-660,0.0,56,-1385,-403,150,74.5,161.08,322.75,149,325,-201,-750,545,0,0
117,-51,79,-121,262,1.0,15,264,334,134,61.86,101.45,30.51,125,-47,-211,483,57,46,1
118,164,-83,-102,66,0.0,218,7,-148,112,100.0,0.0,-147.51,96,-47,14,-189,89,0,0
119,179,-211,223,367,1.0,286,759,251,-60,0.0,107.8,-93.52,202,-200,-423,-53,-83,0,1
120,-15,-283,89,31,1.0,-70,231,94,447,100.0,0.0,-174.56,239,93,-225,188,-257,1,0
121,-328,-338,0,-48,0.0,106,-442,118,-40,0.0,51.16,150.42,55,358,-42,-492,101,100,1
122,323,-444,-111,127,1.0,150,1021,216,-312,100.0,251.23,282.65,121,-363,9,195,-306,0,0
123,372,422,-118,414,1.0,34,932,-173,449,100.0,258.04,-336.4,321,-117,587,1762,-491,100,0
124,-291,160,77,-4,0.0,126,-53,-339,365,100.0,153.93,-215.41,215,80,119,50,-199,43,1
125,183,-64,87,-422,1.0,-42,661,-113,18,64.14,0.0,-471.4,291,107,98,-575,-159,0,0
126,-143,126,70,-37,0.0,178,-379,-322,47,100.0,307.55,80.89,-25,51,117,126,74,0,1
127,314,-234,281,-378,1.0,-43,-125,-193,96,0.0,176.31,-94.87,218,-26,-234,33,-84,0,1
128,199,-193,130,117,1.0,668,393,437,61,100.0,0.0,-99.07,-74,50,-358,16,-55,0,0
129,-262,-53,43,-326,0.0,-205,-722,-216,-166,84.37,51.64,-57.64,-342,46,292,-778,482,100,0
130,-19,20,-422,-182,1.0,155,368,456,125,0.0,253.29,-90.74,254,-246,-137,408,137,91,1
131,-238,-14,-45,-484,0.0,112,-591,-503,131,100.0,22.12,320.39,-95,312,237,-336,34,0,0
132,168,250,-250,-82,0.0,47,397,55,126,100.0,0.0,-54.35,452,210,321,163,44,43,1
133,-113,32,366,307,1.0,73,26,-20,148,0.0,7.68,-49.55,-70,-103,18,-137,438,0,1
134,-214,348,-136,-44,0.0,-195,61,-246,529,100.0,363.22,115.6,481,90,314,471,-71,0,1
135,-263,-443,27,353,1.0,-341,446,313,172,100.0,288.43,8.89,218,-306,-242,382,-99,100,0
136,77,48,-539,-378,0.0,617,-363,-141,299,100.0,92.94,229.82,334,-225,174,491,244,10,1
137,-236,-467,442,261,0.0,367,799,288,210,0.0,0.0,-457.48,293,-158,-219,-958,167,0,0
138,-175,193,195,-192,0.0,164,-964,-558,74,100.0,0.0,20.55,-194,630,163,-561,67,0,1
139,78,-46,-425,332,0.0,-109,-701,-207,9,100.0,21.98,-75.05,-89,-310,-24,-26,383,100,0
140,-283,185,145,-204,0.0,51,-866,-212,119,100.0,131.44,30.17,-98,239,-118,-113,118,100,0
141,263,414,-71,-39,1.0,189,-110,307,399,0.0,7.6,-351.82,-96,-71,-304,405,248,0,1
142,-85,-217,483,268,1.0,258,792,90,-15,41.98,0.0,94.62,185,240,436,173,-37,100,0
143,-59,-71,-222,-40,1.0,468,757,280,-49,0.0,0.0,-125.25,230,-194,171,-419,215,0,0
144,-155,99,415,-90,1.0,209,-522,-340,-69,0.0,312.36,73.27,-172,166,-110,-215,198,0,1
145,-309,421,-137,-122,0.0,-429,-86,48,-152,71.58,0.0,-58.23,146,323,230,-817,286,67,0
146,-179,-458,513,-39,1.0,-204,279,29,228,100.0,234.47,16.9,292,-144,24,704,55,100,0
147,66,-338,315,-162,1.0,559,305,248,-90,0.0,197.3,-308.19,199,75,-144,-169,-70,100,1
148,14,121,179,43,0.0,-645,-287,97,-464,0.0,0.0,-199.3,-252,273,-119,-1215,420,0,1
149,96,-121,497,152,1.0,-42,201,17,172,0.0,139.67,-200.17,187,-186,-349,170,116,0,1
150,120,28,-111,-28,1.0,-504,1455,176,11,100.0,0.0,-712.85,304,-157,-153,-801,-338,0,1
151,331,-102,-128,319,0.0,-343,-124,177,52,100.0,576.29,126.64,19,-278,-258,914,-119,52,0
152,152,-65,-26,263,1.0,293,-437,37,351,0.0,0.0,-304.62,-135,338,-158,-317,-59,0,0
153,-322,88,273,70,0.0,-345,195,-99,-59,71.15,15.71,-373.27,-290,-14,76,-574,6,0,1
154,1,30,413,-372,1.0,-343,806,-27,168,0.0,39.55,-606.87,405,-22,-11,-398,-96,0,1
155,-125,39,-84,-353,0.0,-320,1133,141,-31,100.0,0.0,-118.68,235,35,650,-387,-14,0,1
156,-252,-98,346,-413,0.0,108,-1049,-229,116,100.0,138.87,230.0,-70,385,-276,-372,203,0,0
157,-240,-507,115,46,1.0,293,767,231,111,0.0,118.0,-143.13,38,-105,70,142,-319,45,1
158,349,-181,-40,-105,1.0,245,378,339,-53,100.0,173.96,52.0,526,49,-15,1061,-89,100,0
159,-240,155,276,71,1.0,177,-451,-358,93,67.98,328.18,-28.28,-196,-43,-128,178,33,0,1
160,341,-402,-150,-448,1.0,75,714,-36,295,0.0,0.0,-174.23,716,-124,-104,-462,-147,0,0
161,-188,-329,-135,93,0.0,-262,91,-322,173,100.0,0.0,-380.03,43,-239,230,-714,143,85,0
162,-396,-489,523,789,0.0,-70,475,-45,108,0.0,0.0,-168.5,207,-22,190,-1190,362,82,0
163,-84,-262,-231,-111,0.0,-329,90,24,142,100.0,0.0,-256.87,-25,-327,12,-173,59,100,0
164,143,81,543,565,0.0,405,386,-156,-5,0.0,0.0,-130.67,226,281,385,-770,435,0,1
165,377,99,204,237,0.0,-104,-592,-79,21,0.0,212.94,66.16,-59,53,-164,125,319,0,1
166,514,350,-52,309,0.0,126,-125,25,261,0.0,0.0,-255.2,-195,-99,81,42,332,0,1
167,58,-337,-24,-2,0.0,-266,203,-309,156,5.19,71.8,-362.93,29,-359,344,-527,303,0,1
168,112,163,-38,-139,0.0,276,-820,-213,367,100.0,297.67,382.81,163,179,40,763,263,5,1
169,378,-232,-25,-55,0.0,-5,-240,-385,6,0.0,188.5,-179.83,152,-54,56,-406,-153,0,1
170,145,-346,340,71,1.0,117,271,-340,-92,0.0,92.98,-37.29,217,25,-119,-405,-293,0,1
171,59,-287,-132,128,1.0,-317,10,98,165,100.0,448.92,3.81,37,-456,-435,324,-72,0,0
172,-152,472,524,-317,0.0,-291,-68,37,319,77.46,174.15,-272.05,48,457,-61,304,-242,0,1
173,-387,-65,-62,-154,0.0,328,-951,-762,293,100.0,0.0,-197.28,-241,-69,-33,-659,-1,0,0
174,-12,-67,519,-244,1.0,157,26,-3,296,0.0,336.76,-468.34,142,-143,-354,-136,124,0,1
175,-122,203,58,264,0.0,-366,309,17,-12,100.0,0.0,-236.97,131,215,132,-448,9,0,1
176,104,-367,-119,-393,1.0,-115,1063,-364,-323,100.0,0.0,-655.7,-10,-149,378,-1755,6,0,0
177,-33,416,266,-373,1.0,-142,522,114,412,0.0,371.92,-94.42,542,212,63,383,-127,0,1
178,-401,68,220,350,1.0,-89,77,536,128,100.0,326.14,187.48,8,-98,-388,1123,333,100,0
179,-105,166,173,230,1.0,-458,360,-13,-408,0.0,0.0,-524.49,41,259,-86,-1566,157,0,1
180,185,-249,-86,101,1.0,-64,-180,-152,37,0.0,0.0,-35.45,132,-27,64,83,-61,100,0
181,-144,-571,12,159,1.0,107,492,68,305,0.0,252.04,-265.78,-84,-321,-143,-396,-231,0,1
182,232,47,160,497,0.0,106,334,99,195,0.0,0.0,-253.1,-14,-125,118,215,150,0,1
183,-9,299,213,276,1.0,61,-66,63,-84,0.75,336.65,-129.58,-254,-60,-201,506,-77,0,1
184,379,96,294,524,0.0,139,-317,28,522,0.0,0.0,-568.02,-234,-30,-383,-223,121,0,1
185,91,138,-285,-92,0.0,-101,-555,-79,-24,13.02,0.0,-92.59,255,155,198,-381,415,100,0
186,-261,110,-73,-178,0.0,-406,222,41,254,100.0,29.37,-31.56,379,152,179,-128,-18,87,0
187,105,300,-155,100,1.0,516,295,484,17,0.0,83.13,-116.97,-124,-103,-115,334,263,0,1
188,-138,468,-57,192,0.0,-113,-298,27,75,0.0,404.1,164.71,268,251,177,235,208,100,1
189,-142,-143,-57,-1,1.0,216,90,-37,399,0.0,0.0,-276.36,-72,-36,70,-418,85,0,0
190,-4,164,226,-105,0.0,195,-725,-224,262,0.0,521.52,110.55,-157,-9,198,650,302,21,1
191,330,-107,-65,-29,1.0,106,474,-137,-49,0.0,2.03,88.07,154,47,324,28,-179,0,1
192,182,67,171,110,1.0,291,74,303,201,0.0,42.01,-268.17,90,-91,-119,347,377,100,1
193,344,-377,36,75,1.0,120,845,138,-65,0.0,0.0,-153.61,388,-251,2,-136,-159,0,0
194,-350,324,145,-332,0.0,385,-704,-326,323,73.22,699.13,420.75,111,126,189,643,101,0,1
195,-245,41,29,113,0.0,386,-533,-350,269,100.0,88.65,-84.58,143,146,71,-458,195,0,1
196,-319,182,-61,320,0.0,-437,1065,73,-139,100.0,0.0,-457.38,-46,40,329,-615,-298,0,1
197,-74,-197,245,28,0.0,-238,595,80,-61,100.0,0.0,-439.89,-395,-75,415,-387,95,0,0
198,-191,50,-670,260,0.0,-66,-363,-175,352,100.0,353.2,443.73,558,-221,178,-10,387,0,1
199,-58,-221,434,165,0.0,137,-246,-437,469,0.0,0.0,-617.12,108,209,282,-1084,118,22,0
200,-100,-665,-95,-48,1.0,-64,334,43,448,24.18,456.14,-351.87,217,-335,-197,122,-385,56,1
201,210,-349,-17,128,0.0,-257,294,-58,194,0.0,0.0,-238.49,479,-144,21,-661,17,0,0
202,152,317,90,-72,0.0,-486,1459,535,-16,0.0,162.58,-118.61,606,180,531,-219,263,0,1
203,63,-217,49,38,0.0,260,-965,-276,-139,100.0,0.0,102.76,-207,86,-123,-492,540,67,0
204,203,246,347,-370,1.0,159,195,-147,122,56.33,131.33,-141.83,82,344,255,36,9,0,1
205,336,21,-42,-174,0.0,-222,-73,-249,193,0.0,0.0,-581.55,280,34,540,-186,293,100,0
206,-2,-43,138,-333,0.0,-485,781,302,188,100.0,0.0,-316.26,334,248,202,-611,-2,0,0
207,-155,346,299,-29,0.0,-284,779,339,64,0.0,224.68,-406.09,156,81,229,222,-143,93,1
208,-1,62,-107,-40,1.0,184,-314,37,68,0.0,255.71,-153.7,-100,167,-5,0,-74,77,1
209,-319,181,-19,35,0.0,422,-951,-523,156,100.0,306.6,319.25,-334,52,21,556,-53,0,1
210,114,12,-81,-103,0.0,-16,15,36,137,100.0,126.27,-39.76,268,14,258,-110,346,0,0
211,-293,-284,-52,72,0.0,-381,-86,-212,-245,100.0,0.0,-183.25,-3,140,219,-1637,449,0,0
212,-42,122,-37,288,1.0,613,-6,178,-206,0.0,345.8,-12.5,-376,161,39,148,-110,0,1
213,-563,-345,680,615,1.0,-174,656,277,278,100.0,208.8,-154.24,179,-172,-303,346,38,100,0
214,-178,-231,111,18,0.0,-291,-253,-28,-418,0.0,45.12,-222.82,-162,-193,-300,-1630,573,0,1
215,-77,-3,225,-449,0.0,-54,-323,-236,-5,0.0,35.91,-104.92,-12,265,275,-541,263,0,1
216,-232,-577,124,-45,1.0,84,829,344,156,0.0,174.81,-146.18,244,-284,-85,-180,-65,0,1
217,48,199,149,46,1.0,310,67,-78,45,0.0,380.59,-93.66,59,-138,134,35,343,0,1
218,-115,180,104,-589,1.0,175,-371,-367,249,100.0,173.14,171.46,86,227,208,306,-10,0,1
219,369,-72,-326,-118,1.0,234,-88,-144,681,0.0,0.0,-605.93,86,18,-20,-483,-147,0,0
220,-178,146,90,197,1.0,-142,176,415,49,0.0,38.31,152.15,251,-29,-204,596,397,100,1
221,-330,176,538,-135,1.0,-219,-191,-237,248,0.0,408.09,-308.33,104,100,-46,-16,-32,100,1
222,-178,51,150,-24,0.0,-626,838,16,126,100.0,0.0,-634.01,-257,55,509,57,-394,100,0
223,-476,-21,379,336,0.0,258,-1283,-181,-356,0.0,391.21,537.13,-136,370,-556,-1277,708,0,1
224,88,-156,259,92,1.0,-440,804,220,-217,0.0,40.53,-534.37,36,-247,203,-1113,529,0,1
225,-145,-11,-255,-428,0.0,-428,432,-9,117,100.0,0.0,-30.21,27,22,395,-175,-80,0,0
226,2,217,155,-24,1.0,363,-283,198,194,0.0,0.0,-392.15,127,87,-250,-322,555,100,0
227,28,267,2,78,1.0,-191,-142,445,-100,100.0,483.32,218.06,-39,-418,-520,893,495,1,1
228,-74,272,243,-375,0.0,196,276,-88,451,100.0,288.99,-57.95,417,237,130,496,-235,0,1
229,-252,-150,404,640,0.0,-173,200,52,457,0.0,2.03,-463.63,26,-389,-152,-486,514,0,1
230,102,-119,-335,-151,1.0,163,1305,353,-8,0.0,1.58,63.16,441,-297,-43,86,-169,0,1
231,115,-177,-492,-63,0.0,-207,-906,-378,38,100.0,0.0,16.91,312,81,261,-850,641,100,0
232,-205,-91,459,-51,1.0,-355,859,79,225,0.0,166.78,-305.11,50,-166,-26,-401,22,0,1
233,2,-151,251,25,1.0,623,163,215,46,18.2,155.2,-200.75,-113,-2,-301,198,-47,0,1
234,70,263,-514,-124,0.0,220,244,-64,188,100.0,288.13,201.99,406,-160,650,530,260,0,1
235,630,431,-336,30,0.0,113,-398,173,9,0.0,355.93,92.68,-240,-79,-136,498,254,0,1
236,74,69,198,-55,0.0,236,-1923,-637,-31,0.0,346.74,13.29,-153,218,-18,-866,919,100,1
237,-274,86,-85,108,1.0,95,-15,225,100,0.0,104.76,113.2,-158,-298,-29,198,567,0,1
238,24,18,228,42,0.0,10,469,115,-68,100.0,0.0,-368.92,-111,163,-76,-559,-162,0,1
239,26,379,-165,89,1.0,363,-1259,-91,227,0.0,0.0,-212.85,-339,275,-185,-557,601,0,1
240,-282,-268,508,282,1.0,-96,193,-116,556,0.0,0.0,-376.66,288,131,236,-251,236,100,0
241,586,-423,130,-18,0.0,47,353,-75,-57,100.0,64.71,61.89,217,-20,54,285,-337,0,1
242,339,158,71,46,1.0,-17,657,175,196,100.0,117.72,-38.57,62,-375,-53,860,46,0,1
243,127,-175,-50,248,1.0,297,546,-48,-32,0.0,63.77,-18.17,366,182,11,-532,-219,0,1
244,-81,57,-178,-162,1.0,103,-598,-81,218,0.0,653.25,-146.38,-242,-323,-473,-39,162,0,1
245,4,75,255,259,1.0,-81,-140,-5,184,0.0,238.22,-162.56,139,92,-279,173,-18,67,1
246,176,195,-167,-96,1.0,123,-549,395,127,100.0,448.04,171.28,-301,-104,-429,1012,289,0,1
247,122,200,-27,-213,0.0,198,-737,-311,544,100.0,118.28,186.92,-193,186,307,890,89,0,1
248,124,174,-408,355,1.0,481,1311,522,-472,14.68,215.11,391.32,35,-491,83,568,146,0,1
