,Age,Education Level,Occupation,Years of Experience,Marital Status,Work Hours per Week,Urban/Rural,label
160,33,Associate's,Project Manager,3,Single,60,Urban,1
161,30,Bachelor's,Data Scientist,0,Married,50,Urban,1
162,51,High School,Financial Analyst,27,Single,0,Urban,1
163,51,High School,Financial Analyst,22,Widowed,35,Urban,1
164,38,Associate's,Software Engineer,0,Married,45,Urban,1
165,36,Bachelor's,Retail Associate,0,Widowed,45,Urban,1
166,57,Associate's,Lawyer,22,Widowed,55,Rural,1
167,24,Associate's,Sales Representative,1,Widowed,35,Rural,0
168,21,Doctorate,Barista,1,Single,30,Urban,1
169,36,Doctorate,Financial Analyst,14,Widowed,50,Urban,1
170,34,Bachelor's,Sales Representative,1,Married,60,Rural,0
171,50,Doctorate,Software Engineer,18,Widowed,30,Urban,1
172,62,Associate's,Data Scientist,4,Single,30,Urban,1
173,55,High School,Retired,32,Widowed,55,Rural,0
174,22,Master's,Marketing Specialist,4,Married,60,Urban,1
175,38,Doctorate,University Professor,11,Married,30,Rural,1
176,22,Bachelor's,Data Scientist,1,Single,45,Rural,1
177,42,Master's,Lawyer,1,Married,45,Rural,1
178,39,Master's,Financial Analyst,19,Married,60,Urban,1
179,22,High School,Sales Representative,1,Married,40,Urban,0
180,34,Master's,Sales Representative,10,Married,35,Urban,1
181,56,Doctorate,Retired,24,Single,50,Urban,1
182,29,Master's,Medical Doctor,9,Single,45,Rural,1
183,43,High School,Software Engineer,12,Married,55,Urban,1
184,21,Bachelor's,Engineer,0,Married,30,Rural,0
185,63,Doctorate,Marketing Specialist,0,Married,60,Rural,1
186,51,Associate's,Teacher,30,Single,0,Rural,0
187,56,Master's,Medical Doctor,14,Single,60,Rural,1
188,18,Bachelor's,Barista,0,Widowed,60,Urban,1
189,18,Master's,Retail Associate,0,Single,0,Rural,1
190,44,Master's,Teacher,22,Widowed,35,Rural,1
191,39,High School,Retail Associate,0,Single,40,Urban,0
192,40,Associate's,Data Scientist,1,Married,0,Urban,1
193,28,High School,University Professor,10,Single,0,Urban,1
194,48,Bachelor's,Barista,25,Married,30,Urban,1
195,36,Bachelor's,Financial Analyst,5,Widowed,0,Urban,1
196,27,High School,Project Manager,3,Married,55,Rural,1
197,33,High School,Software Engineer,10,Married,40,Urban,1
198,22,Associate's,Financial Analyst,1,Married,60,Rural,1
199,55,Associate's,Retired,3,Single,30,Urban,0
200,56,Bachelor's,Software Engineer,27,Married,0,Urban,1
201,47,Doctorate,Data Scientist,10,Married,0,Urban,1
202,34,Master's,Project Manager,15,Married,40,Urban,1
203,44,High School,Construction Laborer,15,Single,40,Rural,0
204,48,High School,Financial Analyst,17,Single,40,Rural,1
205,26,Doctorate,Engineer,0,Widowed,45,Urban,1
206,31,High School,Retired,8,Married,55,Urban,1
207,54,Associate's,Software Engineer,23,Married,30,Rural,1
208,25,Associate's,Engineer,7,Single,0,Rural,0
209,19,Associate's,Retired,1,Married,55,Rural,0
210,31,Master's,Lawyer,6,Married,55,Rural,1
211,51,Associate's,Retired,21,Single,50,Urban,0
212,58,Doctorate,Construction Laborer,38,Single,30,Urban,1
213,52,Master's,Medical Doctor,20,Widowed,50,Urban,1
214,42,Bachelor's,Retail Associate,19,Married,50,Urban,1
215,29,Doctorate,Construction Laborer,5,Married,50,Urban,1
216,44,Bachelor's,Project Manager,19,Single,30,Urban,1
217,28,Bachelor's,Teacher,3,Married,30,Urban,1
218,32,Master's,Barista,1,Widowed,50,Rural,1
219,52,Doctorate,Construction Laborer,18,Single,45,Rural,1
220,31,Bachelor's,Construction Laborer,1,Married,30,Rural,0
221,30,High School,Software Engineer,9,Widowed,40,Urban,1
222,36,Doctorate,Project Manager,4,Married,50,Rural,1
223,53,Associate's,Marketing Specialist,4,Married,50,Urban,0
224,55,Bachelor's,Project Manager,22,Widowed,45,Urban,1
225,43,Master's,Marketing Specialist,15,Single,0,Urban,1
226,42,High School,Marketing Specialist,5,Married,35,Urban,0
227,28,Doctorate,Project Manager,9,Single,60,Urban,1
228,23,Associate's,Financial Analyst,0,Widowed,55,Urban,1
229,31,Master's,Construction Laborer,8,Single,45,Urban,1
230,61,Associate's,University Professor,27,Married,55,Rural,1
231,59,Master's,Construction Laborer,26,Single,60,Rural,1
232,56,Doctorate,Financial Analyst,5,Widowed,45,Urban,1
233,18,Doctorate,University Professor,0,Single,45,Rural,1
234,65,High School,Retired,19,Married,30,Rural,0
235,23,High School,Retired,3,Single,30,Rural,0
236,62,Associate's,Construction Laborer,3,Single,60,Urban,0
237,41,High School,Barista,11,Widowed,60,Rural,0
238,34,High School,Barista,6,Single,50,Urban,0
239,30,High School,Retired,11,Married,30,Urban,0
240,58,Associate's,Marketing Specialist,0,Married,60,Rural,0
241,26,Master's,Marketing Specialist,0,Widowed,35,Urban,1
242,43,Master's,Engineer,21,Married,40,Rural,1
243,20,Master's,Retired,0,Single,50,Rural,1
244,56,Associate's,Financial Analyst,30,Single,50,Rural,1
245,20,High School,Financial Analyst,0,Single,50,Rural,1
246,32,Bachelor's,Lawyer,3,Married,60,Rural,1
247,30,Associate's,Lawyer,2,Widowed,40,Urban,1
248,28,Master's,Barista,10,Married,45,Rural,1
249,58,Associate's,Data Scientist,32,Widowed,55,Rural,1
250,63,High School,Medical Doctor,12,Widowed,45,Rural,1
251,47,Doctorate,Software Engineer,7,Single,50,Rural,1
252,65,Associate's,Marketing Specialist,28,Widowed,30,Urban,0
253,52,Master's,Construction Laborer,22,Married,30,Urban,1
254,45,Associate's,Financial Analyst,24,Widowed,30,Urban,1
255,47,High School,Retired,2,Married,40,Urban,0
256,18,Associate's,Software Engineer,0,Married,0,Rural,1
257,64,High School,Data Scientist,17,Widowed,30,Urban,1
258,48,Master's,Construction Laborer,12,Widowed,40,Rural,1
259,32,Associate's,Medical Doctor,0,Widowed,50,Rural,1
260,33,Bachelor's,Medical Doctor,6,Single,45,Urban,1
261,51,Doctorate,Retired,31,Single,60,Rural,1
262,53,Doctorate,Data Scientist,35,Widowed,55,Urban,1
263,20,High School,Barista,1,Single,45,Urban,0
264,59,Doctorate,Marketing Specialist,21,Widowed,35,Urban,1
265,30,Doctorate,Retired,10,Married,40,Rural,1
266,60,Associate's,Marketing Specialist,24,Widowed,50,Rural,0
267,45,Associate's,Retail Associate,16,Single,60,Rural,0
268,48,Doctorate,Barista,30,Single,55,Rural,1
269,54,Associate's,Project Manager,13,Widowed,50,Urban,1
270,56,Associate's,Engineer,0,Widowed,55,Urban,0
271,32,Doctorate,Construction Laborer,9,Widowed,50,Urban,1
272,19,High School,Construction Laborer,0,Widowed,45,Rural,0
273,63,Bachelor's,Teacher,43,Single,30,Rural,0
274,30,Doctorate,Construction Laborer,2,Widowed,50,Rural,1
275,27,High School,Construction Laborer,3,Widowed,0,Rural,0
276,53,Associate's,University Professor,9,Single,35,Rural,1
277,37,High School,Retail Associate,2,Single,55,Rural,0
278,31,Doctorate,Medical Doctor,6,Married,30,Rural,1
279,22,Master's,Financial Analyst,2,Single,55,Rural,1
280,56,High School,Marketing Specialist,2,Single,45,Urban,0
281,24,Master's,Engineer,4,Married,30,Rural,1
282,38,Bachelor's,Medical Doctor,19,Widowed,55,Urban,1
283,54,Master's,Data Scientist,1,Married,60,Urban,1
284,37,Bachelor's,Sales Representative,8,Single,55,Urban,1
285,25,High School,Teacher,2,Widowed,0,Rural,0
286,40,Bachelor's,Retail Associate,0,Single,0,Rural,0
287,43,Bachelor's,Marketing Specialist,20,Single,40,Urban,1
288,38,Doctorate,Teacher,5,Widowed,35,Rural,1
289,50,High School,Marketing Specialist,20,Single,50,Rural,0
290,49,Doctorate,Teacher,24,Married,45,Urban,1
291,29,Bachelor's,Retired,6,Widowed,35,Rural,0
292,43,Master's,Marketing Specialist,22,Married,50,Urban,1
293,44,Bachelor's,Engineer,9,Single,55,Urban,1
294,63,Master's,Engineer,3,Single,40,Urban,1
295,55,Bachelor's,Financial Analyst,35,Widowed,30,Rural,1
296,33,Doctorate,University Professor,10,Widowed,55,Rural,1
297,40,Associate's,Lawyer,0,Married,50,Rural,1
298,54,Bachelor's,Software Engineer,10,Married,50,Rural,1
299,31,High School,Software Engineer,2,Widowed,50,Rural,1
300,36,Master's,University Professor,7,Widowed,45,Urban,1
301,63,Master's,Retail Associate,31,Widowed,30,Rural,1
302,46,Master's,Engineer,20,Single,0,Urban,1
303,21,Associate's,Construction Laborer,2,Married,50,Urban,0
304,21,High School,Financial Analyst,3,Married,55,Rural,1
305,25,High School,University Professor,4,Married,50,Rural,1
306,53,High School,Engineer,25,Married,30,Urban,0
307,33,Master's,Project Manager,3,Widowed,30,Urban,1
308,18,Bachelor's,Financial Analyst,0,Widowed,40,Urban,1
309,36,Bachelor's,Software Engineer,14,Widowed,35,Rural,1
310,22,Doctorate,Construction Laborer,2,Single,45,Rural,1
311,51,Master's,Barista,4,Single,30,Urban,1
312,48,Bachelor's,Sales Representative,1,Married,40,Urban,1
313,61,Doctorate,Project Manager,39,Single,60,Urban,1
314,61,Doctorate,Software Engineer,14,Single,0,Urban,1
315,29,Bachelor's,Software Engineer,5,Married,55,Rural,1
316,62,Doctorate,Project Manager,19,Married,50,Urban,1
317,55,High School,Sales Representative,27,Married,0,Urban,0
318,45,Associate's,Sales Representative,19,Married,30,Urban,0
319,50,Associate's,Marketing Specialist,7,Married,50,Rural,1
320,31,Associate's,University Professor,5,Widowed,40,Urban,1
321,51,Master's,Construction Laborer,20,Single,45,Urban,1
322,36,Doctorate,Teacher,11,Married,55,Urban,1
323,29,High School,Marketing Specialist,9,Single,60,Rural,0
324,34,Doctorate,Sales Representative,3,Single,0,Urban,1
325,52,Associate's,Retired,10,Single,40,Rural,0
326,37,Associate's,Lawyer,8,Widowed,0,Rural,1
327,56,Master's,Lawyer,20,Widowed,55,Rural,1
328,29,High School,Construction Laborer,8,Married,30,Urban,0
329,57,Bachelor's,Data Scientist,29,Widowed,35,Rural,1
330,56,Associate's,University Professor,36,Married,40,Urban,1
331,32,Doctorate,Barista,11,Single,60,Rural,1
332,21,Bachelor's,Construction Laborer,0,Married,30,Urban,1
333,27,Associate's,Data Scientist,9,Single,55,Rural,1
334,28,Associate's,Barista,8,Widowed,55,Urban,0
335,46,Doctorate,University Professor,4,Married,40,Urban,1
336,63,Associate's,Medical Doctor,28,Widowed,55,Urban,1
337,41,Associate's,Financial Analyst,6,Single,55,Urban,1
338,39,High School,Engineer,11,Widowed,55,Urban,0
339,26,Doctorate,Data Scientist,7,Widowed,30,Rural,1
340,53,Master's,Construction Laborer,35,Widowed,50,Rural,1
341,29,High School,Barista,9,Married,50,Urban,1
342,24,Master's,Barista,5,Single,55,Urban,1
343,20,Bachelor's,Construction Laborer,1,Married,60,Rural,0
344,42,Master's,Medical Doctor,1,Widowed,60,Rural,1
345,29,Master's,Medical Doctor,0,Married,45,Rural,1
346,55,Bachelor's,Lawyer,19,Widowed,55,Urban,1
347,24,Doctorate,Project Manager,2,Single,45,Urban,1
348,58,Bachelor's,Construction Laborer,22,Widowed,50,Urban,1
349,50,Bachelor's,Engineer,17,Single,45,Rural,0
350,28,Doctorate,Software Engineer,8,Married,45,Urban,1
351,43,Doctorate,Financial Analyst,23,Widowed,50,Rural,1
352,50,Doctorate,Data Scientist,17,Married,35,Rural,1
353,51,High School,Construction Laborer,32,Single,40,Urban,0
354,38,Bachelor's,Project Manager,4,Widowed,50,Rural,1
355,49,Associate's,Engineer,9,Single,50,Urban,0
356,19,High School,Barista,1,Single,40,Urban,0
357,46,Associate's,Medical Doctor,27,Widowed,0,Rural,1
358,62,Bachelor's,Engineer,33,Single,35,Urban,1
359,59,Master's,Retired,19,Single,30,Rural,1
360,23,Bachelor's,Construction Laborer,5,Single,45,Rural,0
361,65,Master's,University Professor,46,Married,50,Urban,1
362,22,High School,Construction Laborer,4,Widowed,45,Rural,0
363,31,Associate's,Marketing Specialist,2,Married,55,Urban,0
364,54,High School,Teacher,13,Single,55,Urban,0
365,41,Associate's,Marketing Specialist,18,Widowed,40,Urban,0
366,64,Associate's,Barista,34,Single,50,Rural,0
367,65,High School,Financial Analyst,38,Single,40,Rural,1
368,65,High School,Lawyer,27,Single,0,Urban,1
369,62,Master's,Engineer,19,Single,30,Urban,1
370,44,High School,Teacher,16,Single,55,Rural,0
371,38,Bachelor's,Retired,0,Single,60,Rural,0
372,25,Doctorate,Engineer,0,Single,30,Rural,1
373,55,Bachelor's,Retired,15,Married,30,Urban,1
374,65,Doctorate,Marketing Specialist,45,Single,30,Rural,1
375,53,High School,University Professor,27,Married,55,Urban,1
376,63,Bachelor's,Lawyer,12,Married,50,Urban,1
377,55,Bachelor's,Retired,1,Widowed,30,Rural,0
378,58,Bachelor's,Retail Associate,12,Married,0,Urban,1
379,23,High School,Lawyer,3,Married,40,Urban,1
380,19,High School,Teacher,1,Single,30,Rural,0
381,20,Associate's,Retired,0,Married,45,Rural,0
382,53,Master's,Data Scientist,32,Single,50,Rural,1
383,18,Bachelor's,Project Manager,0,Widowed,55,Rural,1
384,26,Bachelor's,Construction Laborer,0,Widowed,60,Rural,0
385,56,High School,Barista,2,Married,0,Urban,0
386,63,Doctorate,Engineer,22,Married,40,Urban,1
387,28,Doctorate,University Professor,6,Single,45,Rural,1
388,29,Master's,Retail Associate,6,Widowed,55,Urban,1
389,43,Bachelor's,Marketing Specialist,1,Married,30,Rural,0
390,46,Bachelor's,Data Scientist,7,Single,50,Urban,1
391,34,Associate's,University Professor,9,Widowed,40,Rural,1
392,34,High School,Marketing Specialist,0,Widowed,40,Urban,0
393,33,Doctorate,Data Scientist,15,Widowed,55,Urban,1
394,52,Doctorate,Software Engineer,6,Married,35,Urban,1
395,56,High School,Lawyer,16,Single,35,Rural,1
396,52,Master's,Software Engineer,28,Married,45,Rural,1
397,27,Bachelor's,Software Engineer,7,Single,60,Rural,1
398,50,Master's,Lawyer,32,Widowed,60,Rural,1
399,35,Master's,Retired,4,Widowed,55,Rural,1
400,58,Master's,Sales Representative,37,Single,35,Rural,1
401,27,Master's,Engineer,1,Widowed,50,Rural,1
402,35,Associate's,Data Scientist,8,Married,55,Urban,1
403,59,High School,Teacher,27,Widowed,35,Urban,0
404,64,Doctorate,Retail Associate,8,Married,30,Urban,1
405,54,Associate's,Barista,3,Married,30,Rural,0
406,45,Bachelor's,Software Engineer,22,Widowed,40,Rural,1
407,41,High School,Retail Associate,22,Widowed,30,Urban,0
408,38,High School,Retail Associate,15,Married,45,Urban,1
409,27,Bachelor's,Construction Laborer,2,Single,45,Urban,1
410,50,Associate's,Marketing Specialist,9,Widowed,0,Rural,0
411,26,Associate's,Financial Analyst,4,Widowed,55,Rural,1
412,30,High School,Marketing Specialist,6,Single,50,Rural,0
413,43,Doctorate,Project Manager,6,Married,30,Rural,1
414,30,High School,Data Scientist,7,Married,35,Urban,1
415,34,High School,Software Engineer,10,Widowed,55,Rural,1
416,27,Bachelor's,Financial Analyst,5,Widowed,60,Rural,1
417,19,Associate's,Engineer,1,Widowed,35,Rural,0
418,64,Master's,Retired,19,Married,50,Urban,1
419,23,High School,Software Engineer,3,Single,60,Rural,1
420,18,High School,Engineer,0,Widowed,60,Urban,0
421,31,High School,Retail Associate,12,Single,45,Rural,0
422,31,Master's,Teacher,9,Single,40,Urban,1
423,63,Bachelor's,Engineer,9,Widowed,50,Rural,0
424,65,High School,Retail Associate,10,Single,35,Urban,0
425,54,Associate's,Engineer,12,Single,40,Rural,0
426,24,Master's,Marketing Specialist,5,Widowed,60,Urban,1
427,65,Associate's,Lawyer,5,Widowed,30,Rural,1
428,52,Doctorate,Retail Associate,0,Single,45,Urban,1
429,28,Doctorate,Data Scientist,0,Married,55,Urban,1
430,24,Bachelor's,Project Manager,6,Widowed,40,Rural,1
431,34,Associate's,University Professor,8,Married,50,Urban,1
432,29,Doctorate,Retail Associate,6,Single,40,Urban,1
433,53,Bachelor's,Construction Laborer,26,Single,50,Urban,1
434,51,Master's,Medical Doctor,1,Single,0,Rural,1
435,23,Master's,Retired,5,Married,55,Urban,1
436,38,Master's,Software Engineer,0,Widowed,60,Urban,1
437,26,High School,Lawyer,5,Married,30,Rural,1
438,58,Doctorate,Retail Associate,10,Widowed,30,Rural,1
439,59,Master's,Barista,22,Married,50,Urban,1
440,20,Master's,Data Scientist,1,Married,0,Urban,1
441,65,Associate's,Barista,44,Single,60,Urban,0
442,34,Bachelor's,Engineer,3,Married,55,Urban,1
443,59,Doctorate,Barista,39,Single,50,Rural,1
444,59,Associate's,Engineer,6,Married,50,Rural,1
445,27,Doctorate,Construction Laborer,9,Single,55,Urban,1
446,49,High School,Retired,8,Married,35,Urban,0
447,43,Bachelor's,Project Manager,14,Single,50,Rural,1
448,45,High School,Retail Associate,27,Married,60,Rural,1
449,32,Associate's,Financial Analyst,9,Widowed,35,Rural,1
450,39,Associate's,Retired,19,Married,60,Urban,1
451,31,High School,Construction Laborer,5,Married,60,Rural,0
452,19,Bachelor's,Project Manager,0,Married,0,Urban,1
453,55,Doctorate,Financial Analyst,18,Single,30,Rural,1
454,51,Associate's,Project Manager,29,Single,35,Rural,1
455,42,Master's,Project Manager,13,Single,50,Urban,1
456,50,Associate's,Lawyer,28,Married,35,Urban,1
457,55,High School,Medical Doctor,15,Married,0,Rural,1
458,51,Bachelor's,Barista,28,Widowed,30,Rural,0
459,25,High School,Software Engineer,2,Married,0,Rural,1
460,63,Doctorate,Data Scientist,11,Widowed,0,Urban,1
461,60,Doctorate,Barista,38,Widowed,55,Rural,1
462,56,Master's,Retired,20,Widowed,55,Rural,1
463,20,Doctorate,Project Manager,0,Single,50,Urban,1
464,50,High School,Construction Laborer,27,Married,40,Rural,0
465,40,Doctorate,Data Scientist,8,Single,0,Urban,1
466,32,Bachelor's,Sales Representative,7,Single,40,Rural,0
467,26,Master's,Retail Associate,5,Single,45,Rural,1
468,59,High School,Engineer,34,Married,30,Urban,0
469,41,Bachelor's,Retired,18,Single,0,Urban,1
470,32,Associate's,Software Engineer,9,Married,30,Urban,1
471,33,Master's,Lawyer,13,Widowed,40,Rural,1
472,40,Associate's,Financial Analyst,3,Widowed,35,Urban,1
473,22,Master's,Retail Associate,3,Married,35,Urban,1
474,59,Associate's,Lawyer,25,Widowed,40,Rural,1
475,53,Doctorate,Construction Laborer,15,Widowed,45,Rural,1
476,47,High School,Teacher,5,Single,0,Rural,0
477,52,High School,Marketing Specialist,22,Single,60,Rural,0
478,63,Master's,Sales Representative,12,Widowed,35,Urban,1
479,45,High School,Medical Doctor,14,Single,55,Urban,1
