,Student_ID,Age,Gender,Parental_Education,Attendance_Rate,GPA,Extracurricular_Activities,Socioeconomic_Status,Study_Hours_Per_Week,label
366,367,18,1,3,79,1.06,3,2,4,0
367,368,17,0,1,85,1.17,1,3,7,0
368,369,16,0,2,83,2.71,0,2,4,0
369,370,18,0,2,70,0.48,4,2,10,0
370,371,16,1,3,95,0.72,1,3,12,1
371,372,18,0,3,74,3.88,1,3,2,1
372,373,16,1,1,92,2.51,4,3,15,1
373,374,18,0,2,70,1.02,0,1,8,0
374,375,17,0,3,81,3.6,5,2,14,1
375,376,18,0,1,89,1.4,4,2,4,0
376,377,17,0,2,73,0.62,3,3,13,0
377,378,16,1,2,74,3.92,3,3,13,0
378,379,17,0,3,96,0.46,0,1,4,0
379,380,17,0,2,85,2.29,1,2,4,0
380,381,18,1,2,87,3.0,4,3,10,0
381,382,18,0,3,98,3.73,2,1,2,1
382,383,16,1,2,80,0.44,0,2,2,0
383,384,17,1,2,86,2.11,4,3,1,0
384,385,16,0,1,90,0.53,4,2,7,0
385,386,16,0,2,76,3.09,0,1,10,0
386,387,16,1,3,94,0.82,2,2,10,0
387,388,18,1,2,72,0.91,3,1,9,0
388,389,16,1,3,98,3.99,5,3,12,1
389,390,17,1,3,87,3.38,5,1,11,1
390,391,16,1,2,88,2.6,3,3,9,0
391,392,18,1,3,71,2.56,1,1,2,0
392,393,17,1,1,70,2.39,5,2,9,0
393,394,16,1,3,71,3.81,5,3,15,1
394,395,17,0,1,76,3.43,1,1,5,0
395,396,18,1,3,74,2.44,5,2,13,1
396,397,16,0,2,100,0.55,3,2,15,0
397,398,16,0,3,74,1.48,2,1,4,0
398,399,16,1,3,97,3.85,0,2,10,1
399,400,18,1,3,85,0.49,4,3,5,1
400,401,17,0,1,91,0.4,1,2,9,0
401,402,16,0,1,95,0.12,3,2,15,0
402,403,16,1,1,89,2.49,5,1,10,0
403,404,16,1,1,76,1.26,4,3,15,1
404,405,16,1,1,80,3.61,0,1,4,0
405,406,17,1,2,86,3.88,0,3,10,0
406,407,18,0,3,72,1.06,1,3,10,1
407,408,18,0,3,84,3.47,1,2,1,0
408,409,17,0,2,99,1.46,5,2,8,0
409,410,16,0,2,84,1.01,2,2,14,0
410,411,17,0,2,84,2.39,0,2,2,0
411,412,17,0,2,70,3.65,3,1,1,0
412,413,17,0,1,77,0.54,5,1,9,0
413,414,17,1,3,93,1.0,0,3,2,1
414,415,17,1,2,99,0.15,5,2,6,0
415,416,17,1,2,71,1.21,0,3,12,0
416,417,18,1,3,74,2.85,2,1,14,0
417,418,18,0,2,95,0.41,5,2,4,0
418,419,17,0,1,78,1.2,5,2,11,1
419,420,17,1,1,85,2.21,0,2,13,0
420,421,17,0,1,97,3.16,5,1,10,1
421,422,18,0,2,70,3.96,3,3,10,0
422,423,16,0,3,73,1.7,2,2,1,0
423,424,16,0,2,96,2.09,0,2,4,0
424,425,16,1,3,100,3.49,1,3,6,1
425,426,17,1,1,85,1.87,4,3,6,0
426,427,16,1,1,90,0.86,0,3,2,0
427,428,17,1,3,80,3.56,3,2,4,0
428,429,16,0,2,92,2.92,3,2,6,0
429,430,18,1,2,71,1.51,1,2,11,0
430,431,18,0,2,99,1.95,0,3,14,0
431,432,17,1,1,73,0.81,0,2,2,0
432,433,16,0,2,73,0.18,0,1,1,0
433,434,16,1,3,72,1.29,3,2,12,0
434,435,16,0,2,90,2.54,2,3,15,0
435,436,16,0,2,74,1.13,2,1,13,0
436,437,16,0,3,80,3.94,1,3,4,1
437,438,18,0,3,84,0.41,3,2,12,0
438,439,17,0,1,90,2.58,4,1,14,1
439,440,16,0,1,79,2.18,5,2,5,0
440,441,18,0,2,75,0.01,1,3,12,0
441,442,16,0,2,94,3.36,2,2,11,1
442,443,18,0,1,89,1.63,4,2,6,0
443,444,17,1,2,92,2.06,1,3,10,0
444,445,16,1,2,75,2.9,1,3,10,0
445,446,16,1,3,73,2.89,3,2,10,0
446,447,18,1,2,89,3.19,0,3,7,0
447,448,17,1,3,93,0.46,2,2,6,0
448,449,18,0,1,86,3.86,2,2,4,0
449,450,18,1,2,100,3.48,0,1,13,1
450,451,17,1,3,100,3.54,4,2,12,1
451,452,16,0,3,95,2.6,4,2,10,0
452,453,16,1,3,77,1.16,4,3,13,1
453,454,18,1,3,80,2.82,0,1,2,0
454,455,17,0,2,82,3.09,3,1,10,0
455,456,17,1,1,74,0.92,3,1,3,0
456,457,16,1,3,86,3.42,5,2,11,1
457,458,16,0,1,97,1.96,1,1,12,0
458,459,18,0,3,82,0.93,2,1,11,0
459,460,16,0,3,85,3.87,0,3,5,1
460,461,17,0,3,80,3.69,3,3,1,1
461,462,18,1,1,98,2.87,2,2,13,0
462,463,18,1,1,81,2.16,5,2,2,0
463,464,17,1,1,91,1.47,4,2,14,1
464,465,16,0,2,84,3.53,0,3,10,0
465,466,16,1,1,80,3.09,2,1,6,0
466,467,17,0,2,89,3.07,3,1,3,0
467,468,16,1,2,81,2.03,4,1,2,0
468,469,16,0,1,76,0.16,5,3,9,0
469,470,18,1,3,77,2.23,1,3,4,1
470,471,16,1,3,70,3.39,1,3,4,1
471,472,16,0,2,89,2.03,1,3,8,0
472,473,17,0,3,72,2.97,3,1,5,0
473,474,17,0,3,70,1.89,0,1,6,0
474,475,17,1,2,93,2.24,5,3,7,0
475,476,17,1,1,70,0.18,5,3,12,1
476,477,17,0,2,77,1.24,5,1,3,0
477,478,17,0,1,100,3.59,2,2,8,1
478,479,18,0,1,88,1.24,3,2,3,0
479,480,16,0,2,70,1.81,2,3,7,0
480,481,18,1,3,72,2.28,3,3,10,1
481,482,16,0,1,76,3.06,4,2,3,0
482,483,17,0,2,82,0.99,3,3,11,0
483,484,16,1,2,70,0.29,1,2,12,0
484,485,18,1,2,100,3.44,0,1,14,1
485,486,16,0,1,98,2.86,2,1,1,0
486,487,16,1,3,78,3.09,4,3,10,1
487,488,17,0,3,73,0.68,1,2,5,0
488,489,18,1,2,83,1.89,5,3,12,1
489,490,17,1,1,100,1.82,4,3,8,0
490,491,17,0,3,96,2.01,2,1,2,0
491,492,17,1,2,73,3.67,3,2,7,0
492,493,16,0,3,76,3.97,0,2,4,0
493,494,16,0,3,76,0.13,1,3,11,1
494,495,18,1,1,76,0.74,0,1,7,0
495,496,16,1,2,90,3.36,2,2,13,0
496,497,16,0,3,96,0.35,5,2,13,1
497,498,18,1,3,72,3.9,4,3,14,1
498,499,17,1,1,91,2.82,0,1,1,0
499,500,18,1,1,85,0.05,4,2,2,0
500,501,18,0,3,90,2.79,0,1,6,0
501,502,16,1,1,96,1.23,2,3,8,0
502,503,18,1,1,84,2.01,5,3,5,0
503,504,18,0,2,88,0.56,4,2,12,1
504,505,16,1,2,100,2.41,0,1,2,0
505,506,18,0,3,86,0.85,0,2,11,0
506,507,17,0,3,95,1.13,2,2,9,0
507,508,16,0,3,81,2.78,4,1,3,0
508,509,17,0,1,71,0.8,0,3,14,0
509,510,18,1,2,80,1.16,5,1,5,0
510,511,17,0,3,75,0.35,1,1,11,0
511,512,17,0,2,99,2.4,2,2,12,0
512,513,16,0,1,85,0.96,0,3,12,0
513,514,17,1,2,95,3.53,2,3,2,1
514,515,17,0,1,83,2.37,3,2,9,0
515,516,17,0,3,91,0.89,0,2,1,0
516,517,18,0,1,94,0.03,1,3,4,0
517,518,16,0,1,74,0.47,5,2,3,0
518,519,17,0,1,98,0.92,3,1,3,0
519,520,17,0,1,95,2.21,2,1,14,0
520,521,16,0,3,70,0.77,5,2,2,0
521,522,17,0,2,99,2.73,4,1,13,1
522,523,18,0,3,83,0.36,4,2,5,0
523,524,16,0,3,82,1.6,2,3,8,1
524,525,17,0,1,76,0.95,4,2,10,0
525,526,18,0,3,87,3.21,4,3,8,1
526,527,17,1,1,87,0.51,1,2,7,0
527,528,18,1,2,73,0.48,3,2,7,0
528,529,17,0,1,70,3.13,0,1,13,0
529,530,18,1,2,89,1.41,3,1,4,0
530,531,17,1,3,87,3.15,2,1,9,0
531,532,18,1,1,73,2.66,1,1,15,0
532,533,18,0,2,83,0.35,5,2,14,1
533,534,18,1,3,81,3.88,2,1,1,0
534,535,18,1,2,87,3.72,3,2,13,0
535,536,16,0,1,74,3.21,1,2,5,0
536,537,18,1,2,93,3.35,1,3,5,1
537,538,18,1,2,85,2.48,3,2,1,0
538,539,18,1,2,80,3.68,5,1,5,0
539,540,18,1,3,76,1.66,0,3,3,1
540,541,16,0,2,90,3.57,5,3,3,0
541,542,17,1,2,91,1.83,5,3,4,0
542,543,16,0,2,76,3.13,3,2,10,0
543,544,18,1,2,86,1.9,1,1,15,0
544,545,16,1,1,74,2.79,1,3,15,0
545,546,16,1,1,99,1.73,0,2,12,0
546,547,18,1,3,95,1.52,0,2,14,0
547,548,17,1,2,73,2.61,2,3,9,0
548,549,18,0,3,77,3.13,2,1,7,0
549,550,18,0,2,70,0.33,1,2,3,0
550,551,17,0,1,70,1.06,2,3,8,0
551,552,17,1,2,78,2.35,0,2,2,0
552,553,18,0,3,73,1.18,5,1,6,0
553,554,17,1,2,76,2.32,2,1,11,0
554,555,18,0,1,75,3.97,2,1,5,0
555,556,17,0,3,98,3.54,1,1,9,1
556,557,18,0,2,77,2.31,3,2,10,0
557,558,16,1,1,89,0.27,3,1,12,0
558,559,17,0,2,83,3.29,4,3,14,1
559,560,17,1,1,88,3.81,4,1,9,0
560,561,18,0,3,94,0.51,5,1,4,0
561,562,18,1,3,87,2.48,1,3,15,1
562,563,16,1,2,73,0.59,1,1,7,0
563,564,18,1,1,100,0.45,5,1,6,0
564,565,17,1,3,78,1.47,3,3,4,1
565,566,18,1,2,85,1.01,1,1,12,0
566,567,16,1,2,81,2.94,0,2,7,0
567,568,17,1,2,99,0.9,1,2,13,0
568,569,18,1,1,73,3.39,2,1,4,0
569,570,16,1,2,82,0.96,1,2,11,0
570,571,18,1,1,81,2.64,3,3,14,0
571,572,17,0,2,91,0.7,0,2,2,0
572,573,18,1,1,87,2.33,4,1,10,0
573,574,17,0,2,88,2.02,0,1,15,0
574,575,16,0,2,80,2.29,0,1,9,0
575,576,16,1,1,81,1.54,2,1,3,0
576,577,17,0,3,85,3.72,0,3,4,1
