,Time (s),Temperature (°C),Humidity (%),Pressure (mb),Geomagnetic activity,Weather,Distance from source (km),label
93,180,8,91,900,3,Cloudy,200,0
94,90,6,46,930,1,Clear,900,1
95,10,29,72,1030,4,Clear,700,1
96,70,12,86,1090,4,Clear,0,0
97,130,16,70,990,1,Rainy,900,1
98,180,12,87,1080,5,Cloudy,200,1
99,30,12,42,1040,1,Clear,800,1
100,80,37,36,1030,5,Clear,0,1
101,120,36,72,880,5,Cloudy,600,1
102,80,9,63,920,4,Rainy,500,1
103,120,13,70,1090,1,Rainy,150,0
104,150,4,59,1030,1,Rainy,800,1
105,0,35,86,940,4,Cloudy,0,1
106,70,34,24,920,3,Rainy,800,1
107,80,22,21,1000,1,Clear,500,1
108,120,4,42,1020,2,Rainy,200,0
109,160,27,70,890,2,Cloudy,0,0
110,80,22,69,810,1,Rainy,50,0
111,60,33,35,810,5,Cloudy,200,1
112,190,30,45,980,4,Cloudy,1000,1
113,90,6,21,930,5,Rainy,600,1
114,40,6,34,920,2,Clear,700,1
115,160,3,46,850,2,Cloudy,500,1
116,10,31,32,1040,4,Rainy,800,1
117,80,27,84,980,2,Cloudy,700,1
118,10,3,74,970,3,Rainy,500,1
119,90,38,12,850,2,Clear,1000,1
120,110,7,55,880,5,Cloudy,600,1
121,10,13,66,980,5,Clear,50,1
122,140,29,12,1010,3,Clear,400,1
123,20,2,49,940,5,Clear,700,1
124,10,1,56,800,5,Clear,200,1
125,60,9,97,840,5,Clear,100,1
126,80,5,27,890,1,Rainy,700,1
127,100,6,97,780,3,Clear,500,1
128,150,15,95,880,3,Rainy,50,0
129,60,5,86,820,2,Clear,150,0
130,120,15,87,830,3,Clear,1000,1
131,20,26,64,910,4,Cloudy,900,1
132,100,11,23,1050,3,Rainy,200,0
133,20,21,66,1060,4,Clear,200,0
134,140,14,80,940,5,Clear,150,1
135,70,21,6,1000,4,Clear,100,0
136,60,34,73,1020,1,Rainy,100,1
137,40,14,82,1020,5,Rainy,200,1
138,50,22,23,800,4,Rainy,900,1
139,180,37,8,810,5,Cloudy,700,1
140,20,1,14,1080,1,Cloudy,1000,1
141,100,1,55,1070,5,Clear,300,1
142,50,18,85,780,5,Rainy,1000,1
143,130,4,16,1060,3,Rainy,0,0
144,160,3,18,810,2,Cloudy,800,1
145,20,27,8,910,4,Clear,150,0
146,30,17,63,980,2,Rainy,700,1
147,80,39,56,840,1,Rainy,700,1
148,120,30,37,980,1,Clear,300,1
149,50,21,82,1010,5,Cloudy,1000,1
150,90,10,7,840,2,Cloudy,50,0
151,190,15,5,780,4,Rainy,700,1
152,190,3,48,1050,4,Clear,200,0
153,120,20,44,790,5,Clear,800,1
154,130,24,20,1000,4,Clear,600,1
155,110,19,92,800,3,Rainy,100,0
156,120,7,33,950,2,Cloudy,100,0
157,90,8,11,880,1,Cloudy,600,1
158,60,17,38,890,4,Cloudy,1000,1
159,40,30,95,910,4,Cloudy,100,0
160,110,34,5,860,4,Cloudy,150,1
161,10,29,80,1050,5,Rainy,900,1
162,70,17,31,870,1,Rainy,600,1
163,70,18,59,900,2,Cloudy,150,0
164,180,23,7,1010,4,Cloudy,200,0
165,40,21,37,1010,3,Rainy,50,0
166,70,13,92,800,5,Cloudy,500,1
167,90,18,94,1040,2,Cloudy,1000,1
168,120,28,18,1030,4,Cloudy,600,1
169,80,21,54,860,2,Clear,700,1
170,60,29,8,1010,5,Cloudy,150,1
171,190,14,51,1050,3,Clear,100,0
172,190,20,27,790,4,Cloudy,150,0
173,180,25,61,1000,3,Cloudy,1000,1
174,100,35,47,850,5,Rainy,1000,1
175,70,11,38,1050,3,Rainy,400,1
176,150,6,52,840,5,Rainy,0,1
177,90,10,94,860,3,Clear,800,1
178,50,38,62,900,2,Clear,800,1
179,90,19,18,840,2,Cloudy,50,0
180,90,34,32,1050,5,Clear,700,1
181,180,3,63,840,2,Rainy,200,0
182,30,1,25,780,3,Clear,600,1
183,180,19,44,790,3,Cloudy,1000,1
184,20,19,0,1070,4,Clear,300,1
185,160,11,74,980,5,Rainy,100,1
186,130,16,65,1060,2,Cloudy,100,0
187,90,17,34,1060,5,Clear,1000,1
188,50,39,76,1040,2,Cloudy,400,1
189,150,23,97,1070,4,Cloudy,100,0
190,80,7,97,940,3,Clear,700,1
191,110,36,98,1050,3,Cloudy,100,1
192,110,29,95,870,1,Clear,700,1
193,130,19,44,920,5,Rainy,900,1
194,10,22,75,930,2,Rainy,400,1
195,90,36,32,1000,1,Clear,600,1
196,30,9,81,980,5,Clear,600,1
197,50,32,68,900,2,Cloudy,100,1
198,120,23,82,980,4,Clear,500,1
199,130,35,30,850,5,Cloudy,0,1
200,30,15,90,860,2,Rainy,900,1
201,90,27,63,1030,3,Clear,500,1
202,90,11,14,780,5,Rainy,800,1
203,40,19,45,1030,2,Clear,50,0
204,30,17,47,810,3,Rainy,150,0
205,110,36,67,1080,3,Clear,400,1
206,130,25,82,1040,1,Clear,300,1
207,60,6,84,950,2,Cloudy,900,1
208,10,20,39,1090,1,Cloudy,600,1
209,130,31,0,1070,1,Clear,500,1
210,90,6,19,1020,4,Cloudy,50,0
211,150,22,21,1020,1,Clear,1000,1
212,20,19,53,780,1,Clear,150,0
213,70,19,76,800,4,Rainy,0,0
214,160,31,64,870,4,Cloudy,400,1
215,30,25,14,1010,5,Cloudy,150,1
216,180,35,60,790,1,Rainy,500,1
217,140,23,78,950,3,Clear,50,0
218,190,0,13,790,4,Cloudy,500,1
219,90,27,68,900,2,Clear,50,0
220,90,25,48,980,5,Cloudy,800,1
221,110,33,5,1070,5,Cloudy,500,1
222,80,25,40,860,1,Clear,1000,1
223,140,35,30,1000,3,Clear,1000,1
224,170,4,89,1060,4,Cloudy,0,0
225,190,1,63,1000,2,Rainy,1000,1
226,0,31,88,1080,1,Rainy,50,1
227,20,33,50,790,3,Rainy,200,1
228,70,29,58,790,1,Rainy,0,0
229,60,23,54,820,1,Rainy,900,1
230,140,27,48,1050,5,Clear,200,1
231,70,2,39,910,2,Cloudy,200,0
232,140,9,14,1000,2,Rainy,400,1
233,40,5,69,1000,2,Cloudy,50,0
234,110,33,64,1020,2,Clear,50,1
235,110,30,6,800,4,Cloudy,900,1
236,80,12,61,910,4,Clear,300,1
237,80,38,53,780,2,Cloudy,800,1
238,140,19,51,860,3,Cloudy,1000,1
239,140,31,50,930,4,Clear,700,1
240,190,9,3,940,4,Cloudy,100,0
241,110,25,0,850,3,Clear,1000,1
242,40,18,65,1070,2,Cloudy,1000,1
243,0,28,97,920,1,Cloudy,500,1
244,180,12,34,1070,4,Rainy,100,0
245,100,33,76,980,1,Cloudy,700,1
246,170,19,80,850,1,Rainy,150,0
247,50,39,9,840,3,Rainy,1000,1
248,160,17,66,860,2,Clear,400,1
249,130,33,67,790,1,Clear,0,1
250,110,7,88,1020,2,Cloudy,0,0
251,40,15,92,1090,5,Clear,600,1
252,60,39,64,870,2,Rainy,900,1
253,150,22,50,820,3,Cloudy,300,1
254,80,31,29,930,3,Clear,200,1
255,140,12,38,980,5,Clear,50,1
256,30,25,9,1090,3,Clear,50,0
257,190,37,92,780,2,Rainy,400,1
258,60,0,43,830,2,Clear,300,1
259,130,1,31,870,2,Cloudy,900,1
260,30,38,43,870,3,Cloudy,1000,1
261,30,12,62,1030,2,Cloudy,500,1
262,130,26,60,1030,4,Rainy,100,0
263,60,3,64,960,5,Clear,100,1
264,140,19,40,900,4,Cloudy,1000,1
265,110,2,80,1030,2,Clear,200,0
266,130,22,11,960,3,Clear,700,1
267,120,1,1,800,5,Cloudy,150,1
268,180,15,72,900,4,Rainy,900,1
269,110,9,75,810,2,Cloudy,500,1
270,150,27,59,1020,3,Cloudy,300,1
271,150,17,24,1060,2,Rainy,500,1
272,0,1,99,850,4,Clear,400,1
273,140,13,60,890,4,Clear,50,0
274,40,19,98,990,5,Rainy,600,1
275,50,39,21,1010,3,Cloudy,800,1
276,160,22,96,1010,1,Rainy,1000,1
277,100,6,55,940,2,Cloudy,300,1
278,30,13,20,1020,3,Rainy,800,1
279,170,36,54,780,1,Clear,800,1
280,190,7,39,1090,3,Rainy,300,1
281,130,4,50,1040,2,Rainy,900,1
282,80,22,21,790,2,Cloudy,50,0
283,20,9,27,860,5,Cloudy,600,1
284,20,26,3,1000,4,Cloudy,0,0
285,100,34,25,1030,4,Rainy,300,1
286,190,0,86,780,4,Rainy,500,1
287,40,6,59,960,5,Cloudy,50,1
288,30,7,22,1070,4,Clear,100,0
289,110,10,40,940,3,Cloudy,700,1
290,110,33,57,820,4,Rainy,700,1
291,30,27,7,920,4,Rainy,400,1
292,20,33,95,970,2,Cloudy,1000,1
293,10,19,50,1010,5,Cloudy,1000,1
294,30,27,60,1020,5,Rainy,800,1
295,30,36,0,1080,4,Rainy,900,1
296,60,2,29,890,1,Clear,0,0
297,10,8,91,810,2,Cloudy,200,0
298,100,21,16,1090,4,Cloudy,800,1
299,40,24,22,920,1,Clear,300,1
300,120,1,23,800,3,Rainy,700,1
301,30,22,85,910,2,Rainy,400,1
302,80,16,68,810,5,Clear,1000,1
303,60,24,88,960,1,Cloudy,700,1
304,120,11,51,830,4,Rainy,700,1
305,90,26,70,940,1,Clear,1000,1
306,60,19,57,950,5,Clear,400,1
307,170,8,21,850,3,Clear,100,0
308,170,22,58,960,1,Rainy,400,1
309,10,35,43,970,4,Rainy,0,1
310,0,27,36,890,1,Clear,800,1
311,120,28,33,940,3,Clear,150,0
312,10,31,99,1080,1,Rainy,400,1
313,30,11,56,960,3,Rainy,400,1
314,80,29,56,780,3,Rainy,150,0
315,70,10,39,880,2,Rainy,0,0
316,170,36,19,870,2,Rainy,500,1
317,150,19,16,930,4,Clear,150,0
318,30,10,51,820,4,Rainy,50,0
319,30,37,3,940,4,Rainy,150,1
320,170,15,62,1050,3,Clear,500,1
321,10,34,49,860,3,Clear,500,1
322,100,0,81,1000,2,Cloudy,200,0
323,190,24,91,1040,3,Rainy,50,0
324,30,26,49,850,2,Cloudy,400,1
325,130,31,15,1020,1,Cloudy,100,1
326,160,5,71,870,4,Clear,300,1
327,70,35,60,850,4,Clear,600,1
328,0,38,43,800,5,Cloudy,1000,1
329,180,22,17,1000,2,Cloudy,200,0
330,180,28,49,1000,5,Cloudy,600,1
331,60,29,92,1070,4,Cloudy,150,0
332,0,21,79,1000,5,Rainy,600,1
333,0,10,29,890,1,Cloudy,0,0
334,90,25,48,1010,5,Clear,150,1
335,120,22,97,810,1,Cloudy,800,1
336,40,2,93,1040,4,Cloudy,0,0
337,110,5,20,990,3,Clear,900,1
338,20,6,21,950,2,Cloudy,1000,1
339,180,38,46,1000,5,Clear,600,1
340,30,21,24,860,1,Rainy,500,1
341,140,32,85,980,4,Rainy,500,1
342,120,39,55,810,4,Clear,400,1
343,100,2,63,790,3,Rainy,600,1
344,10,29,27,840,4,Rainy,800,1
345,80,23,32,950,4,Rainy,800,1
346,110,2,65,790,3,Clear,1000,1
347,30,1,3,1020,4,Cloudy,100,0
348,180,39,79,790,1,Rainy,400,1
349,90,18,11,870,5,Cloudy,300,1
350,100,23,16,800,5,Cloudy,200,1
351,60,19,35,960,1,Rainy,600,1
352,120,30,15,790,5,Rainy,150,1
353,80,30,22,1030,4,Cloudy,100,0
354,110,36,71,800,5,Rainy,1000,1
355,10,28,8,860,5,Clear,800,1
356,0,3,77,880,4,Clear,100,0
357,60,9,54,1080,5,Rainy,50,1
358,0,35,72,880,4,Cloudy,0,1
359,150,34,63,1040,3,Rainy,100,1
360,30,20,46,800,3,Clear,500,1
361,70,0,89,820,5,Cloudy,900,1
362,160,11,99,890,3,Rainy,300,1
363,180,23,66,920,5,Clear,50,1
364,30,1,9,1000,3,Cloudy,500,1
365,30,19,88,940,5,Clear,1000,1
366,70,15,3,930,2,Rainy,200,0
367,90,33,29,1070,1,Rainy,900,1
368,150,12,10,940,3,Clear,150,0
369,180,17,50,920,4,Clear,0,0
370,0,28,18,1030,1,Clear,900,1
371,40,13,12,900,5,Clear,1000,1
372,10,29,56,790,1,Clear,0,0
373,150,34,99,940,4,Cloudy,150,1
374,120,8,2,780,4,Rainy,900,1
375,50,36,77,1070,5,Cloudy,1000,1
376,30,38,73,1090,3,Clear,600,1
377,60,11,37,1070,3,Cloudy,700,1
378,10,20,26,870,2,Rainy,700,1
379,90,17,87,810,4,Clear,300,1
380,130,10,79,870,2,Clear,0,0
381,70,26,9,890,4,Rainy,900,1
382,20,23,52,1090,2,Cloudy,500,1
383,20,33,26,1050,3,Rainy,900,1
384,10,19,6,800,4,Rainy,600,1
385,160,12,91,780,3,Cloudy,50,0
386,180,7,89,960,1,Cloudy,300,1
387,90,36,81,780,3,Clear,400,1
388,110,4,12,960,4,Clear,800,1
389,100,6,71,810,1,Clear,1000,1
390,80,11,90,1040,2,Rainy,0,0
391,120,3,59,900,5,Cloudy,800,1
392,50,39,13,1040,4,Cloudy,200,1
393,130,18,43,910,5,Clear,800,1
394,100,0,69,910,5,Rainy,800,1
395,40,12,83,1010,1,Rainy,200,0
396,10,24,27,800,2,Cloudy,100,0
397,60,33,22,960,3,Cloudy,50,1
398,160,34,11,1060,1,Cloudy,0,1
399,50,16,23,1020,2,Cloudy,300,1
400,130,25,50,880,3,Rainy,400,1
401,30,20,21,860,3,Clear,50,0
402,20,11,61,830,2,Cloudy,50,0
403,100,15,25,1030,3,Cloudy,200,0
404,0,19,85,810,4,Cloudy,200,0
405,130,9,57,1030,4,Rainy,1000,1
406,50,22,70,820,1,Clear,100,0
407,160,29,14,1060,3,Rainy,100,0
408,160,7,93,860,3,Clear,0,0
409,100,4,67,780,2,Rainy,100,0
410,60,11,5,1000,4,Cloudy,600,1
411,120,13,1,920,5,Cloudy,50,1
412,70,11,30,880,1,Clear,0,0
413,70,23,23,1000,4,Rainy,600,1
414,80,16,34,1030,2,Clear,200,0
415,60,0,46,780,1,Rainy,500,1
416,80,36,30,1070,5,Cloudy,800,1
417,100,10,88,940,1,Clear,150,0
418,10,5,71,920,4,Clear,500,1
419,170,14,75,910,5,Cloudy,900,1
420,20,39,1,860,2,Cloudy,200,1
421,170,22,78,1000,1,Cloudy,300,1
422,150,22,58,810,4,Cloudy,300,1
423,70,37,95,860,2,Cloudy,300,1
424,70,37,62,1050,5,Cloudy,50,1
425,50,11,74,820,1,Rainy,700,1
426,10,6,16,800,3,Rainy,700,1
427,150,36,53,950,4,Clear,600,1
428,80,15,20,860,4,Rainy,400,1
429,180,37,21,810,3,Clear,100,1
430,140,39,96,840,2,Rainy,50,1
431,10,34,54,780,4,Rainy,150,1
432,140,39,28,930,2,Cloudy,500,1
433,100,28,78,1020,5,Rainy,600,1
434,190,38,20,1050,3,Rainy,700,1
435,110,16,1,1020,2,Rainy,50,0
436,140,25,41,1030,5,Cloudy,300,1
437,150,19,51,830,1,Cloudy,500,1
438,50,24,37,830,4,Rainy,100,0
439,20,37,2,910,3,Clear,800,1
440,50,38,24,1080,1,Rainy,600,1
441,20,36,76,990,1,Cloudy,150,1
442,120,18,87,820,1,Cloudy,200,0
443,110,20,61,880,2,Clear,900,1
444,70,31,94,780,4,Cloudy,400,1
445,10,27,14,970,3,Cloudy,800,1
446,60,38,69,870,4,Rainy,800,1
447,160,11,9,780,4,Clear,200,0
448,60,14,72,980,4,Cloudy,150,0
449,0,27,68,1060,5,Cloudy,150,1
450,30,20,43,810,5,Rainy,200,1
451,140,15,40,850,5,Rainy,100,1
452,30,22,82,1090,5,Rainy,600,1
453,110,25,19,780,4,Rainy,900,1
454,150,14,96,850,4,Clear,50,0
455,170,36,36,910,3,Rainy,900,1
456,130,11,94,1010,3,Clear,400,1
457,130,3,38,1090,3,Cloudy,150,0
458,100,34,76,940,3,Cloudy,500,1
459,150,30,69,860,3,Rainy,400,1
460,140,26,7,1060,5,Rainy,500,1
461,50,31,42,1020,4,Rainy,150,1
462,120,32,9,830,3,Cloudy,800,1
463,160,12,40,780,2,Cloudy,50,0
464,30,36,3,1000,3,Cloudy,400,1
465,110,1,77,1000,3,Clear,900,1
466,170,37,3,860,4,Cloudy,600,1
467,70,36,23,780,5,Rainy,300,1
468,110,4,20,910,1,Clear,400,1
469,30,17,9,1080,4,Clear,300,1
470,70,16,45,1010,5,Clear,50,1
471,10,1,88,1070,2,Cloudy,1000,1
472,30,34,69,1050,1,Cloudy,600,1
473,110,13,79,1060,5,Cloudy,200,1
474,90,11,43,880,5,Cloudy,900,1
475,140,32,91,850,4,Rainy,100,1
476,80,6,99,1000,5,Clear,150,1
477,80,38,32,890,3,Clear,150,1
478,60,8,93,830,5,Clear,1000,1
479,10,4,35,940,1,Clear,900,1
480,60,3,24,880,5,Clear,600,1
481,80,31,12,870,2,Rainy,800,1
482,170,4,38,1040,3,Rainy,200,0
483,110,7,78,850,1,Clear,50,0
484,60,12,37,890,1,Clear,300,1
485,180,3,29,980,4,Cloudy,900,1
486,150,10,13,810,4,Clear,400,1
487,70,14,49,980,3,Rainy,500,1
488,180,17,67,980,1,Cloudy,200,0
489,50,19,0,1070,2,Rainy,500,1
490,10,0,60,900,5,Cloudy,500,1
491,10,0,2,1030,5,Cloudy,150,1
492,70,10,49,800,5,Clear,400,1
493,90,28,60,970,4,Rainy,900,1
494,100,28,35,810,1,Rainy,1000,1
495,190,23,3,850,1,Clear,600,1
496,190,19,42,820,2,Cloudy,700,1
497,20,29,13,990,4,Cloudy,150,0
498,150,37,88,1030,2,Rainy,600,1
499,20,4,66,790,1,Clear,900,1
500,70,9,6,1020,5,Clear,150,1
501,180,5,7,850,4,Rainy,0,0
502,110,3,43,1010,4,Cloudy,150,0
503,170,3,63,1030,4,Cloudy,50,0
504,120,6,6,820,5,Clear,300,1
505,100,32,47,930,4,Cloudy,1000,1
506,120,8,61,980,3,Cloudy,500,1
507,20,25,24,920,4,Cloudy,300,1
508,50,20,80,960,5,Rainy,600,1
509,20,21,89,900,4,Clear,300,1
510,0,32,67,880,3,Rainy,800,1
511,130,32,63,930,3,Rainy,400,1
512,190,4,17,950,4,Cloudy,900,1
513,60,20,3,1020,1,Clear,200,0
514,80,26,16,920,1,Cloudy,500,1
515,0,0,46,830,2,Clear,50,0
516,90,15,80,850,3,Cloudy,50,0
517,120,34,44,810,1,Clear,800,1
518,110,35,88,980,2,Clear,500,1
519,30,31,57,1030,1,Cloudy,300,1
520,60,28,2,930,4,Cloudy,50,0
521,90,38,11,980,3,Rainy,300,1
522,60,22,90,880,1,Rainy,1000,1
523,140,14,16,1030,4,Clear,800,1
524,180,25,21,970,2,Cloudy,500,1
525,60,36,38,1040,4,Cloudy,300,1
526,130,24,38,790,2,Rainy,600,1
527,130,1,99,1070,1,Cloudy,300,1
528,170,11,15,990,5,Clear,100,1
529,90,18,50,810,4,Clear,600,1
530,20,31,28,910,5,Clear,700,1
531,50,22,77,880,3,Rainy,200,0
532,80,4,70,810,5,Clear,300,1
533,130,24,40,1030,3,Rainy,150,0
534,70,34,56,800,1,Rainy,100,1
535,0,28,27,1010,1,Clear,700,1
536,20,37,76,990,4,Rainy,200,1
537,50,19,79,1020,5,Rainy,900,1
538,0,35,20,820,3,Clear,100,1
539,170,6,3,830,3,Clear,1000,1
540,90,21,98,860,5,Rainy,50,1
541,160,17,14,810,1,Rainy,300,1
542,0,20,52,1030,1,Cloudy,500,1
543,70,21,89,840,3,Clear,100,0
544,110,38,45,900,4,Cloudy,300,1
545,180,11,6,870,1,Rainy,800,1
546,130,10,17,890,2,Cloudy,600,1
547,180,11,88,870,3,Rainy,0,0
548,160,25,20,880,5,Cloudy,100,1
549,150,29,7,880,5,Rainy,1000,1
550,180,14,58,990,3,Rainy,50,0
551,40,7,19,830,3,Rainy,900,1
552,180,17,81,830,1,Clear,500,1
553,30,9,82,1070,3,Rainy,600,1
554,40,7,66,970,3,Clear,700,1
555,40,37,54,1030,2,Rainy,300,1
556,0,34,61,1090,5,Cloudy,100,1
557,170,19,17,830,1,Rainy,700,1
558,140,11,90,890,4,Rainy,500,1
559,180,2,78,1000,1,Cloudy,700,1
560,130,19,55,1060,5,Rainy,400,1
561,50,11,84,910,4,Rainy,50,0
562,170,23,21,950,3,Rainy,800,1
563,70,15,7,1040,2,Cloudy,400,1
564,40,9,10,1020,2,Rainy,0,0
565,70,18,11,1000,5,Clear,500,1
566,50,13,47,960,5,Clear,900,1
567,90,13,62,870,2,Clear,200,0
568,20,21,26,870,4,Clear,600,1
569,120,3,34,840,4,Cloudy,900,1
570,60,33,1,1030,1,Rainy,800,1
571,30,17,98,870,3,Clear,900,1
572,120,33,94,910,4,Rainy,100,1
573,50,17,7,820,3,Rainy,900,1
574,150,39,19,1020,5,Cloudy,400,1
575,0,30,7,990,4,Rainy,500,1
576,120,19,62,880,4,Clear,0,0
577,10,35,67,1060,4,Clear,300,1
578,190,9,30,840,1,Cloudy,800,1
579,180,2,31,970,5,Clear,50,1
580,50,20,12,1090,2,Clear,500,1
581,100,35,85,950,1,Cloudy,300,1
582,160,9,25,1080,1,Cloudy,800,1
583,80,6,80,880,4,Clear,800,1
584,40,21,28,970,1,Cloudy,900,1
585,40,22,90,1020,2,Cloudy,100,0
586,150,11,85,800,1,Clear,150,0
587,30,38,17,840,1,Clear,400,1
588,190,12,68,1060,4,Cloudy,600,1
589,120,39,11,1070,5,Rainy,800,1
590,160,12,1,810,2,Rainy,700,1
591,80,32,41,960,4,Clear,50,1
592,120,30,6,1070,1,Clear,600,1
593,150,27,46,1070,2,Rainy,300,1
594,190,18,89,1070,3,Cloudy,50,0
595,90,20,53,980,1,Rainy,500,1
596,90,31,14,950,5,Rainy,150,1
597,190,25,57,880,1,Clear,800,1
598,150,12,32,910,5,Cloudy,1000,1
599,190,28,66,870,3,Rainy,500,1
600,0,6,62,910,4,Cloudy,800,1
601,100,25,47,810,4,Clear,400,1
602,120,5,65,1000,4,Rainy,400,1
603,170,31,80,890,2,Clear,800,1
604,40,35,64,890,5,Rainy,1000,1
605,30,22,35,790,1,Cloudy,400,1
606,50,10,16,1030,2,Clear,50,0
607,140,20,1,830,2,Cloudy,500,1
608,10,18,32,820,1,Rainy,50,0
609,30,33,92,960,3,Clear,100,1
610,130,34,5,980,4,Cloudy,700,1
611,30,30,42,920,3,Cloudy,400,1
612,170,28,99,870,3,Rainy,400,1
613,190,5,87,840,4,Clear,900,1
614,150,35,10,960,3,Cloudy,400,1
615,80,30,4,850,2,Clear,150,0
616,70,31,29,920,1,Clear,200,1
617,100,39,9,1000,2,Clear,400,1
618,130,19,90,810,2,Clear,500,1
619,160,21,90,900,5,Rainy,100,1
620,120,2,23,1080,4,Cloudy,300,1
621,70,7,58,1060,4,Clear,900,1
622,130,18,66,820,2,Cloudy,600,1
623,100,30,60,1030,4,Cloudy,700,1
624,80,31,25,880,5,Cloudy,800,1
625,70,14,38,930,1,Rainy,900,1
626,130,38,81,970,3,Clear,200,1
627,140,30,2,950,4,Clear,150,0
628,0,2,37,1050,2,Cloudy,600,1
629,110,31,41,920,4,Cloudy,150,1
630,40,9,47,1020,2,Rainy,100,0
631,130,27,88,780,3,Rainy,1000,1
632,150,26,12,850,4,Cloudy,400,1
633,180,39,88,1090,3,Clear,200,1
634,150,30,87,810,2,Rainy,0,0
635,60,33,55,860,5,Clear,500,1
636,20,4,58,960,5,Rainy,800,1
637,70,10,62,840,1,Clear,0,0
638,130,6,79,920,2,Cloudy,600,1
639,190,7,42,800,2,Rainy,0,0
640,20,16,74,1080,2,Cloudy,150,0
641,100,38,56,1030,5,Rainy,700,1
642,130,13,20,890,5,Cloudy,150,1
643,10,23,94,1000,5,Rainy,800,1
644,30,29,53,790,4,Rainy,600,1
645,40,14,78,960,4,Rainy,0,0
646,180,3,52,1010,5,Clear,700,1
647,90,12,44,840,3,Clear,1000,1
