,Total Revenue,Total Expenses,Gross Profit,Number of Employees,Number of Bank Accounts,Number of Countries Operational in,Number of Transactions,Average Transaction Value,Account Suspension/Termination,Customer Complaints,Regulatory Actions,History of Fraud,label
283,3855975,190118,220267,246,5,3,19891,426,False,False,True,True,0
284,7881275,306673,181828,153,7,3,35813,473,False,True,True,False,0
285,9601240,223421,261714,298,8,3,61842,425,False,True,True,True,0
286,9470966,164458,317601,481,8,3,43177,409,False,True,False,True,1
287,7561768,460005,476373,449,8,3,63121,195,False,True,True,True,1
288,3620904,293599,475088,484,2,3,58287,290,False,True,False,True,1
289,7206539,119698,185845,125,3,3,52198,458,False,True,False,True,0
290,5273002,123220,139664,253,10,3,83437,214,False,True,False,True,0
291,6705869,457084,452436,257,6,3,42735,193,False,True,True,True,1
292,2934614,455660,118929,329,5,3,30843,482,True,False,False,False,0
293,5361539,233870,371746,294,9,3,60597,106,True,False,True,False,0
294,9527213,358283,471404,448,2,3,85923,404,True,True,False,False,1
295,3650230,284904,309450,306,4,3,59025,111,True,False,False,False,0
296,5282904,250342,133607,476,6,3,28021,230,False,True,False,False,1
297,5354566,280644,312918,143,8,3,83319,414,False,False,True,True,0
298,2747171,343923,444733,462,2,3,89681,316,True,True,True,True,1
299,6523224,423119,386176,336,3,3,22520,373,False,True,True,True,0
300,5055043,356148,379679,140,6,3,89308,245,True,True,False,False,0
301,4248941,157940,288376,144,2,3,13348,227,True,False,False,False,0
302,2183616,335204,189120,174,9,3,54871,194,True,True,False,False,0
303,2167243,436354,172127,384,3,3,54115,357,False,False,False,False,0
304,8303056,343078,344580,373,8,3,54027,278,True,True,False,False,0
305,1254742,383779,155421,124,1,3,24524,168,True,True,True,True,0
306,2469117,403686,454864,416,8,3,10455,386,False,False,True,True,1
307,2191357,119749,343158,451,3,3,55320,195,True,True,True,False,1
308,5520630,102132,172556,156,4,3,43147,274,True,True,False,False,0
309,5705460,321620,414704,162,4,3,54547,264,True,False,True,False,1
310,4151356,327090,352943,429,1,3,14842,347,True,False,False,True,1
311,4494009,279314,112256,311,4,3,34827,331,False,True,True,True,0
312,3059525,457610,259748,293,6,3,48029,177,False,True,False,False,0
313,8594653,119530,179253,486,8,3,27072,234,False,True,True,False,1
314,6106751,332580,406864,297,10,3,95876,208,True,True,True,True,1
315,8267895,294249,285775,417,9,3,29540,325,True,False,False,False,1
316,6554831,338242,387408,341,6,3,43302,333,False,False,True,False,0
317,4487757,445263,382415,105,7,3,26687,276,True,True,False,True,0
318,2920834,461125,419732,130,10,3,83397,116,False,False,True,True,1
319,6367024,394699,364366,105,10,3,84297,139,False,True,True,False,0
320,3253454,276086,329252,396,4,3,24131,365,True,True,True,True,0
321,2303090,241162,276237,159,6,3,22805,211,True,False,False,True,0
322,7617848,418318,237694,109,7,3,52217,233,False,False,True,True,0
323,2147540,497199,365368,135,2,3,38685,148,True,False,False,False,0
324,5110796,254272,209217,349,10,3,60614,384,True,False,True,False,0
325,6528028,281095,335661,485,7,3,53856,260,False,False,False,True,1
326,9256391,480444,424432,446,8,3,27268,233,True,False,False,True,1
327,6081882,273250,309858,267,1,3,17696,222,False,False,True,True,0
328,9218507,261941,263880,363,3,3,59040,489,True,False,True,False,0
329,4001898,380698,408616,439,10,3,20028,138,False,False,False,True,1
330,8908517,382882,135464,208,7,3,59598,208,True,False,True,False,0
331,4371898,379654,370125,415,9,3,38406,461,False,False,True,True,1
332,1384835,440254,102581,172,9,3,24494,243,True,False,False,False,0
333,3631347,143998,499500,319,1,3,69570,158,False,True,True,False,1
334,3790393,347215,454368,149,3,3,53838,430,False,False,True,False,1
335,5834063,448013,114301,410,5,3,29480,127,False,False,True,False,1
336,3490096,189074,491050,152,9,3,24170,172,False,True,True,False,1
337,6253034,202222,305781,461,10,3,95845,294,True,False,True,True,1
338,7620274,337186,172622,308,1,3,47580,160,False,False,False,True,0
339,4412889,480997,404203,491,4,3,46012,472,False,False,False,False,1
340,5288007,385643,301793,243,2,3,18810,398,True,True,True,False,0
341,6610539,487719,259702,429,6,3,49295,223,True,True,True,True,1
342,2147084,436403,188418,148,3,3,34836,408,True,True,True,False,0
343,2270116,472938,179046,431,4,3,18470,125,False,False,True,False,1
344,7265231,271489,282090,314,3,3,38182,278,False,True,True,True,0
345,5736595,195567,100624,366,8,3,49481,421,True,True,True,False,0
346,6595884,240388,104629,381,1,3,89171,361,False,False,False,True,0
347,6143615,297976,205976,294,4,3,65547,339,True,False,False,False,0
348,7518219,191051,304276,211,9,3,38410,340,True,False,True,False,0
349,3172826,314743,434308,434,10,3,90393,330,True,False,True,True,1
350,6498455,166042,148580,131,10,3,94527,382,False,False,True,False,0
351,4492677,495371,118316,277,2,3,96684,365,True,True,True,True,0
352,6794796,464847,250185,227,10,3,74245,259,True,True,True,False,0
353,5505704,302437,315815,207,8,3,53281,300,False,True,True,True,0
354,3267721,238114,465419,234,9,3,53606,312,False,True,True,False,1
355,9905520,452851,250127,332,5,3,98479,220,True,True,False,True,0
356,4446107,476907,493433,391,10,3,83951,307,False,False,True,True,1
357,8893696,339526,327754,179,1,3,20965,277,True,False,False,True,0
358,6483634,471243,251211,162,10,3,62590,264,True,False,False,True,0
359,4136534,353280,126821,275,1,3,30200,375,False,False,True,True,0
360,5844697,403233,289377,196,10,3,66219,114,False,True,True,True,0
361,6844390,102507,246701,130,9,3,84285,395,True,False,True,False,0
362,8410384,321148,199902,227,9,3,56018,140,True,False,True,True,0
363,9112121,288880,310394,267,2,3,29223,237,True,False,False,True,0
364,1295692,360267,264444,382,10,3,17964,335,False,True,False,True,0
365,9102094,181401,237036,138,9,3,16555,179,True,True,True,False,0
366,7637710,497026,293148,357,5,3,60290,354,False,False,False,True,0
367,8195035,143780,152239,393,10,3,76146,481,False,False,True,False,0
368,8579852,462742,437728,384,2,3,61792,263,False,False,False,True,1
369,7246801,446375,157883,487,6,3,52065,338,True,False,False,True,1
370,4309331,345435,203276,136,3,3,76227,284,False,False,False,True,0
371,8655065,165804,199220,459,8,3,69870,455,True,False,True,True,1
372,8491426,202166,384357,125,1,3,22875,213,True,False,False,True,0
373,9990184,318877,455367,382,1,3,47819,411,False,False,False,True,1
374,4898637,207231,123762,148,5,3,12079,315,False,True,True,True,0
375,9033742,176594,259407,242,3,3,44525,284,False,True,False,False,0
376,3213191,263922,197719,275,5,3,22780,241,True,False,False,True,0
377,6894362,420017,283313,462,9,3,72026,169,True,True,False,True,1
378,7531694,277697,179118,221,9,3,20720,200,True,False,False,False,0
379,6997049,417096,152924,257,1,3,96924,302,True,True,True,False,0
380,4209529,208457,478303,214,9,3,41558,468,False,False,True,False,1
381,6783405,406516,439684,140,6,3,53675,270,False,False,False,False,1
382,6415538,404904,373664,114,7,3,21664,413,True,False,False,True,0
383,7666164,480498,343997,365,7,3,64953,351,False,True,False,False,0
384,1636694,445558,449059,326,9,3,48858,164,False,False,False,True,1
385,9111117,188174,320631,127,4,3,74461,221,True,False,False,True,0
386,1429433,473156,121949,213,5,3,62003,483,False,False,True,False,0
387,7219708,402699,452034,437,5,3,77652,352,True,True,False,False,1
388,4503990,382042,185164,399,9,3,98591,223,False,False,True,True,0
389,6784570,450205,427307,347,4,3,36147,449,True,False,True,True,1
390,8290548,493847,273370,355,1,3,57506,271,False,False,True,True,0
391,1240897,201563,438861,114,3,3,54399,222,False,True,True,True,1
392,4025186,330980,480080,450,2,3,71601,209,True,False,True,False,1
393,2134489,229323,434982,394,5,3,44510,496,False,True,False,False,1
394,9640771,364033,383154,220,5,3,74286,310,True,True,False,False,0
395,5563713,309881,126389,436,8,3,94811,377,False,False,True,True,1
396,5648717,181534,426163,122,6,3,68941,161,False,False,True,False,1
397,3222644,154667,496923,119,9,3,50920,127,False,True,True,False,1
398,4640084,149734,481771,461,3,3,26778,259,True,True,False,True,1
399,5724654,173132,469376,373,6,3,65482,361,True,False,False,False,1
400,8947196,300184,262221,320,2,3,60666,183,True,False,False,False,0
401,1802960,393835,166143,126,10,3,19316,274,True,False,False,True,0
402,6472717,114412,348214,363,1,3,12297,290,True,True,True,True,0
403,9888346,466484,383693,423,10,3,81916,286,True,False,False,True,1
404,8662497,337956,451226,131,2,3,61490,363,True,True,True,True,1
405,7308515,153912,470576,290,2,3,45391,317,False,True,True,True,1
406,7216343,302433,238457,300,5,3,39597,394,True,True,False,True,0
407,7961887,333016,452583,102,4,3,56334,188,True,True,False,True,1
408,4351278,340665,230766,214,10,3,83597,474,True,False,True,True,0
409,4938859,378016,348995,450,3,3,26661,199,True,True,True,True,1
410,5931294,419804,380917,412,5,3,22610,152,False,True,True,False,1
411,8670313,100639,309880,275,5,3,61398,322,True,True,False,True,0
412,6984580,413895,161751,168,2,3,69901,265,False,True,True,False,0
413,5956899,411086,305549,447,1,3,14135,379,False,False,True,False,1
414,6881586,245148,303090,362,2,3,66297,211,True,False,True,False,0
415,7425658,402662,371768,120,1,3,64264,107,True,True,False,False,0
416,6292024,498845,230060,188,7,3,36350,395,False,True,False,False,0
