,age,gender,membership_length,membership_type,weekly_exercise_hours,class_attendance_history,diet_quality,stress_level,social_support,motivational_factors,label
56,7,Female,9,VIP,6,4,3,10,10,4,0
57,3,Female,5,Basic,6,9,4,6,9,5,0
58,2,Male,9,Basic,3,2,2,8,6,1,0
59,5,Female,2,Basic,7,1,3,4,8,10,0
60,3,Female,10,VIP,7,10,3,5,8,4,0
61,1,Female,5,VIP,3,4,2,8,2,4,0
62,5,Male,8,VIP,1,3,8,5,1,3,0
63,7,Female,3,VIP,10,10,6,5,5,10,0
64,9,Male,6,Premium,1,2,4,10,3,9,0
65,3,Female,9,VIP,10,9,8,9,3,4,0
66,4,Male,1,Premium,7,4,10,7,4,3,0
67,3,Male,7,Basic,7,1,5,10,3,2,0
68,7,Female,8,Basic,7,2,7,7,7,7,0
69,3,Male,3,VIP,4,3,10,4,9,6,0
70,5,Female,2,Premium,9,3,10,10,6,7,0
71,5,Female,9,Premium,6,6,2,1,1,1,0
72,1,Female,8,Premium,4,6,5,4,5,6,0
73,2,Male,7,VIP,5,1,1,8,4,4,0
74,1,Male,10,Basic,5,6,9,9,1,2,0
75,6,Male,10,Premium,2,5,1,5,8,8,0
76,8,Female,3,VIP,1,3,8,8,3,7,0
77,2,Male,8,Premium,6,5,6,6,4,9,0
78,1,Male,6,Basic,2,6,1,7,9,9,0
79,7,Male,5,Premium,4,7,6,10,9,2,0
80,4,Male,2,Basic,9,1,4,8,2,8,0
81,9,Male,8,Premium,10,10,7,9,8,6,0
82,10,Female,1,Basic,6,7,4,7,2,8,0
83,8,Male,8,VIP,1,5,3,8,6,3,0
84,9,Female,7,VIP,5,2,6,5,6,6,0
85,7,Male,9,Premium,5,3,10,8,5,2,0
86,9,Female,4,Basic,5,2,7,3,6,5,0
87,10,Male,6,VIP,5,6,8,5,5,3,0
88,3,Female,4,Premium,2,10,2,7,10,9,0
89,7,Male,1,VIP,4,3,6,10,8,4,0
90,5,Male,7,Basic,4,7,10,4,8,2,0
91,4,Female,9,Premium,5,6,4,7,10,7,0
92,3,Female,4,VIP,8,10,1,8,2,3,0
93,6,Female,6,Basic,10,9,3,6,4,2,0
94,8,Male,9,VIP,6,2,10,8,3,2,0
95,1,Female,1,Premium,2,7,9,9,4,3,0
96,1,Male,5,Premium,1,6,4,4,10,5,0
97,10,Male,7,Premium,4,1,1,2,3,1,0
98,3,Male,10,VIP,8,9,10,9,3,5,0
99,8,Male,6,Premium,3,5,2,2,2,8,0
100,10,Female,10,Premium,3,2,5,7,1,7,0
101,7,Female,9,Basic,7,6,3,6,1,4,0
102,10,Male,8,Basic,5,2,4,6,8,7,0
103,3,Female,4,Premium,10,8,1,1,2,9,0
104,4,Male,1,VIP,2,4,8,10,4,8,0
105,1,Female,5,VIP,7,1,2,8,7,6,0
106,6,Male,4,VIP,9,9,3,2,1,9,0
107,8,Female,1,Basic,9,1,5,6,8,3,0
108,5,Male,8,Premium,1,5,10,5,1,3,0
109,6,Female,4,VIP,1,2,10,10,3,2,0
110,1,Female,7,VIP,5,4,7,5,3,4,0
111,7,Male,4,Premium,2,4,4,2,6,4,0
112,7,Male,9,VIP,8,2,9,3,1,1,0
113,5,Male,2,VIP,3,4,5,8,6,2,0
114,4,Male,1,Premium,5,1,3,2,4,2,0
115,5,Female,6,Basic,10,3,6,3,3,2,1
116,4,Male,4,Basic,8,4,9,3,5,4,0
117,2,Female,6,Basic,5,4,7,6,4,8,0
118,9,Female,4,VIP,9,6,8,3,8,9,0
119,1,Male,5,Basic,5,5,1,5,9,1,0
120,1,Female,8,VIP,8,8,3,3,2,8,0
121,1,Male,6,Basic,8,2,2,3,5,2,0
122,5,Female,9,Basic,2,7,4,1,4,10,0
123,6,Female,4,Basic,2,2,8,10,5,3,0
124,1,Male,3,Premium,1,1,10,4,9,4,0
125,1,Female,5,VIP,3,6,6,9,3,8,0
126,4,Female,2,VIP,3,3,6,6,2,3,0
127,9,Male,4,VIP,4,2,1,2,1,9,0
128,9,Male,4,VIP,2,1,7,2,7,10,0
129,6,Male,1,Basic,5,10,6,2,7,6,0
130,5,Female,5,Basic,3,3,7,6,4,1,0
131,9,Female,2,Basic,8,6,8,10,5,1,0
132,8,Female,4,Premium,6,5,1,5,6,9,0
133,2,Male,9,VIP,2,2,9,10,5,10,0
134,1,Female,1,Basic,1,9,2,3,9,6,0
135,9,Female,2,VIP,6,1,3,6,9,7,0
136,3,Female,8,Premium,9,5,10,4,4,3,0
137,10,Male,5,Basic,5,4,3,4,2,2,0
138,3,Male,3,Basic,1,2,9,1,6,3,0
139,9,Male,5,VIP,4,9,2,7,5,7,0
140,10,Male,5,Premium,3,10,9,1,9,7,0
141,3,Female,10,Premium,4,8,9,4,9,9,0
142,10,Female,5,VIP,2,1,8,7,3,2,0
143,1,Female,2,Basic,8,2,6,3,1,3,0
144,7,Male,4,VIP,5,8,4,3,7,10,0
145,2,Male,2,Premium,4,2,1,8,4,10,0
146,7,Female,5,Basic,6,5,5,10,1,1,0
147,10,Female,1,VIP,4,9,10,7,3,2,0
148,8,Female,7,Premium,6,10,9,9,2,5,0
149,7,Female,3,Premium,9,6,8,10,10,7,0
150,10,Female,4,VIP,4,8,3,9,2,4,0
151,3,Male,8,Basic,8,6,8,8,2,6,0
152,7,Male,9,VIP,2,6,3,10,6,2,0
153,9,Male,8,VIP,6,1,2,10,6,2,0
154,5,Male,9,Premium,9,4,4,8,5,9,0
155,4,Female,2,Basic,6,6,8,8,4,3,0
156,2,Male,10,Basic,9,9,9,3,3,9,1
157,5,Male,2,VIP,3,2,8,1,3,10,0
158,4,Female,10,Premium,1,1,7,5,4,4,0
159,2,Male,8,Basic,7,3,9,9,10,7,0
160,5,Female,9,Basic,5,4,6,8,7,7,0
161,10,Female,4,VIP,8,4,10,10,6,10,0
162,9,Female,9,Basic,10,1,8,1,2,7,0
163,7,Female,6,Premium,7,1,2,7,7,5,0
164,3,Male,5,Premium,4,2,1,7,7,1,0
165,10,Female,10,VIP,3,10,9,5,5,1,0
166,3,Male,8,Basic,2,4,3,1,4,3,0
167,3,Female,4,VIP,2,8,6,4,10,4,0
168,1,Male,4,Premium,10,6,2,10,4,4,0
169,10,Female,9,Basic,8,9,10,5,2,6,0
170,1,Male,7,VIP,1,4,7,10,6,2,0
171,8,Female,5,Basic,1,4,6,7,7,8,0
172,5,Male,3,Basic,2,7,6,10,5,9,0
173,8,Male,7,Premium,5,9,6,2,7,3,0
174,8,Female,8,VIP,7,7,4,10,10,4,0
175,5,Male,2,Basic,10,6,2,10,8,6,0
176,5,Female,1,VIP,8,2,2,2,10,8,0
177,5,Female,7,VIP,3,9,5,8,10,9,0
178,9,Male,3,VIP,7,5,6,8,10,1,0
179,4,Female,6,Basic,9,1,3,7,6,2,0
180,6,Female,10,VIP,4,1,4,1,2,3,0
181,3,Male,5,Premium,9,6,2,7,2,10,0
182,7,Male,6,VIP,3,3,10,3,9,7,0
183,4,Male,2,VIP,7,9,9,9,6,3,0
184,3,Male,10,Basic,5,2,2,9,9,4,0
185,1,Female,3,Basic,4,7,5,8,6,6,0
186,4,Male,8,Basic,8,6,5,1,6,8,1
187,9,Male,7,Premium,10,1,3,9,7,7,0
188,4,Male,5,Basic,2,5,4,9,10,3,0
189,2,Male,9,Basic,4,10,1,8,8,6,0
190,4,Female,9,Premium,6,2,8,7,2,9,0
191,2,Female,1,Premium,5,5,9,5,8,6,0
192,3,Female,1,VIP,10,7,10,9,2,8,0
193,7,Male,5,VIP,6,3,1,2,5,1,0
194,6,Female,4,VIP,2,6,10,1,9,2,0
195,7,Female,8,VIP,5,10,9,7,8,6,0
196,8,Female,6,Basic,5,8,9,8,8,10,0
197,10,Female,7,Basic,8,3,7,4,6,9,0
198,10,Male,1,VIP,10,2,5,8,6,3,0
199,7,Female,8,VIP,7,8,1,7,5,3,0
200,4,Female,1,Basic,6,9,2,1,10,6,0
201,10,Female,2,VIP,1,7,1,8,10,4,0
202,9,Male,5,Basic,2,7,9,7,2,5,0
203,5,Female,9,Basic,3,4,9,1,6,9,1
204,8,Female,7,Basic,8,5,3,7,7,9,0
205,2,Female,6,Basic,2,5,2,10,1,4,0
206,10,Female,1,Premium,3,6,5,3,5,3,0
207,1,Male,6,Premium,9,1,1,6,8,4,0
208,7,Female,3,VIP,6,2,8,4,3,4,0
209,3,Female,8,Premium,2,5,7,8,1,1,0
210,7,Female,5,Premium,2,3,7,9,3,10,0
211,10,Male,6,Basic,6,10,2,10,5,7,0
212,10,Female,1,Basic,7,1,7,1,7,8,0
213,2,Female,6,Basic,7,5,5,5,8,3,0
214,2,Female,10,VIP,5,5,8,1,8,9,1
215,10,Female,6,Premium,7,10,6,7,6,4,0
216,4,Female,4,VIP,2,1,10,10,4,10,0
217,4,Male,7,VIP,8,2,6,8,7,7,0
218,7,Female,9,Basic,3,1,3,9,4,8,0
219,3,Male,5,VIP,5,3,5,9,8,10,0
220,9,Male,6,Basic,2,9,9,7,1,1,0
221,3,Male,3,Premium,10,6,7,2,9,8,0
222,8,Male,5,VIP,7,10,7,5,2,3,0
223,1,Female,8,VIP,3,10,9,9,3,2,0
224,3,Male,7,Premium,3,2,6,7,10,10,0
225,4,Female,5,VIP,2,7,1,3,7,4,0
226,8,Female,3,Premium,7,2,10,1,2,4,0
227,4,Female,4,Basic,4,10,10,6,7,9,0
228,10,Male,6,Basic,5,6,1,4,2,7,0
229,9,Female,4,Premium,6,9,3,10,4,3,0
230,10,Female,2,VIP,7,4,3,3,5,8,0
231,3,Female,5,Premium,2,6,4,8,5,3,0
232,1,Female,3,VIP,10,7,9,10,2,2,0
233,2,Female,2,Basic,1,7,6,10,9,6,0
234,7,Female,2,VIP,6,10,1,6,7,10,0
235,2,Female,4,VIP,7,1,8,7,5,10,0
236,3,Female,7,VIP,3,2,8,9,9,5,0
237,3,Male,9,Premium,4,1,6,8,8,5,0
238,9,Male,10,VIP,2,8,8,2,6,1,0
239,8,Female,5,Basic,3,1,9,7,6,4,0
240,9,Female,1,Basic,3,9,8,7,1,6,0
241,3,Female,9,VIP,1,4,5,2,9,3,1
242,9,Female,9,VIP,10,4,7,4,8,8,0
243,3,Male,9,Basic,4,1,3,6,5,3,0
244,8,Female,8,Premium,2,5,6,4,3,2,0
245,4,Female,5,Basic,10,10,4,8,5,1,0
246,1,Male,1,Basic,6,6,10,3,1,8,0
247,2,Female,10,Basic,8,7,8,10,1,10,0
248,5,Male,6,Basic,6,5,2,1,3,6,0
249,5,Male,8,Basic,6,7,5,10,9,1,0
250,1,Male,7,Premium,6,10,6,3,4,4,1
251,4,Female,6,Basic,6,2,9,8,8,2,0
252,10,Female,10,Premium,7,1,4,4,5,2,0
253,1,Male,7,Premium,3,2,3,2,1,2,0
254,7,Male,5,Premium,10,4,7,1,3,1,0
255,8,Female,2,Premium,10,9,1,4,5,7,0
256,2,Male,4,Basic,5,5,5,10,6,9,0
257,4,Male,6,Basic,4,8,1,10,8,5,0
258,1,Male,4,Premium,8,1,4,3,1,8,0
259,1,Female,3,VIP,3,7,1,9,4,4,0
260,7,Male,7,Basic,3,6,5,3,1,10,0
261,2,Male,10,VIP,9,5,10,1,7,2,1
262,2,Female,1,Premium,2,4,2,5,8,7,0
263,5,Female,7,Premium,5,10,4,8,1,1,0
264,9,Male,7,Basic,8,4,3,9,2,4,0
265,9,Male,6,VIP,3,7,4,3,6,4,0
266,6,Female,10,Basic,6,10,9,10,4,3,0
267,3,Male,8,Basic,9,6,6,4,8,7,0
268,1,Female,6,Basic,4,9,10,10,8,5,0
269,8,Male,4,VIP,9,10,6,9,8,4,0
270,6,Male,7,Premium,4,3,4,10,2,7,0
271,10,Male,8,Premium,6,3,2,8,6,1,0
272,4,Female,2,VIP,9,2,8,8,7,1,0
273,6,Male,7,Basic,4,4,9,4,10,4,0
274,4,Male,5,Premium,6,2,9,10,9,6,0
275,9,Male,1,VIP,4,2,8,9,4,8,0
276,7,Male,10,Premium,10,7,8,9,6,7,0
277,4,Female,3,Basic,9,3,4,2,9,2,0
278,1,Male,6,VIP,6,1,4,9,1,9,0
279,10,Male,7,Premium,1,2,8,3,7,4,0
280,5,Female,6,Premium,1,9,7,7,5,9,0
281,10,Male,8,Premium,7,4,10,1,5,3,0
282,2,Male,2,Basic,3,8,9,9,1,7,0
283,6,Female,8,Premium,1,7,5,7,5,1,0
284,3,Female,8,Premium,7,5,5,10,9,5,0
285,6,Male,5,VIP,3,8,10,6,3,2,0
286,5,Female,2,Basic,10,3,6,9,3,10,0
287,5,Male,7,VIP,3,7,3,1,1,7,0
288,10,Male,3,VIP,3,1,10,7,2,5,0
289,5,Male,6,VIP,4,3,4,9,3,5,0
290,8,Male,4,Basic,7,3,6,9,8,4,0
291,4,Female,3,Premium,1,8,1,10,6,5,0
292,9,Female,5,Basic,7,6,9,8,5,3,0
293,3,Female,1,Premium,5,10,5,4,1,6,0
294,9,Female,8,VIP,6,2,6,3,2,3,0
295,10,Male,8,Basic,7,2,6,8,6,5,0
296,9,Male,10,VIP,2,9,8,10,2,2,0
297,2,Female,8,Basic,9,10,4,6,2,2,0
298,1,Male,7,Premium,7,5,2,1,5,5,0
299,8,Male,1,Premium,10,1,7,10,5,7,0
300,8,Male,7,Premium,1,8,6,3,3,5,0
301,1,Male,8,VIP,9,7,7,6,3,7,0
302,7,Female,1,VIP,2,7,2,5,3,2,0
303,6,Male,2,VIP,3,7,7,3,1,5,0
304,6,Female,4,Basic,6,6,10,3,1,6,0
305,2,Female,1,VIP,2,10,4,7,6,7,0
306,10,Female,2,VIP,5,8,7,4,3,4,0
307,7,Male,8,VIP,7,7,6,9,6,4,0
308,8,Male,8,Premium,10,6,1,3,9,2,0
309,9,Female,9,VIP,9,4,7,5,1,7,0
310,7,Male,5,Basic,7,1,1,4,6,8,0
311,1,Male,10,Premium,1,2,10,5,1,3,0
312,5,Male,3,Basic,8,7,4,3,7,6,0
313,5,Female,4,Premium,8,5,5,6,10,5,0
314,2,Male,8,Premium,1,1,6,8,1,6,0
315,3,Female,10,VIP,6,1,4,6,4,3,0
316,3,Female,9,Premium,10,10,10,7,5,10,0
317,4,Male,2,VIP,10,2,2,8,3,8,0
318,1,Male,9,Premium,4,6,2,3,2,5,0
319,8,Male,9,Basic,5,7,6,2,1,2,0
320,1,Male,6,Basic,7,10,3,10,6,8,0
321,6,Female,9,Premium,6,9,10,2,5,1,0
322,3,Female,10,VIP,10,4,9,8,8,9,0
323,2,Male,9,Premium,1,8,8,7,6,9,0
324,6,Male,1,Premium,2,9,1,4,8,4,0
325,8,Female,4,VIP,4,2,4,4,1,8,0
326,3,Male,7,Premium,8,8,2,3,9,6,0
327,2,Female,4,Basic,7,9,3,8,9,10,0
328,7,Male,9,VIP,1,1,10,5,7,1,0
329,10,Male,3,Basic,5,8,2,10,7,5,0
330,7,Male,7,Premium,3,8,5,1,2,7,0
331,5,Male,1,VIP,8,7,7,8,8,1,0
332,10,Male,2,Premium,10,6,10,1,7,5,0
333,5,Female,8,Premium,2,3,9,8,10,9,0
334,1,Male,1,VIP,7,9,4,8,4,4,0
335,6,Female,5,Basic,10,3,9,6,8,6,0
336,5,Male,8,Basic,9,6,7,7,4,7,0
337,1,Male,7,Basic,6,5,4,1,6,2,0
338,6,Male,2,Basic,8,10,4,6,3,7,0
339,4,Female,5,Premium,1,9,5,1,6,6,0
340,3,Female,9,Premium,5,2,9,9,9,4,0
341,4,Female,10,VIP,8,6,9,8,10,1,0
342,3,Male,4,Basic,2,6,2,2,3,5,0
343,4,Female,10,Premium,3,9,2,8,9,3,0
344,10,Male,6,Premium,10,7,10,3,6,7,0
345,2,Male,9,VIP,7,6,7,1,3,6,1
346,7,Female,10,Basic,5,9,9,4,8,3,0
347,10,Female,2,Premium,7,4,7,6,5,3,0
348,8,Female,9,Premium,8,9,9,8,5,7,0
349,10,Female,9,Basic,8,9,5,3,4,1,0
350,5,Female,1,VIP,3,7,3,3,3,8,0
351,10,Male,10,Premium,1,3,2,5,7,4,0
352,9,Female,6,Premium,1,3,2,1,6,10,0
353,8,Male,5,VIP,8,2,8,8,9,10,0
354,6,Male,2,Basic,1,1,3,4,2,7,0
355,5,Female,9,VIP,7,5,6,6,8,8,0
356,10,Female,6,VIP,5,10,1,10,6,7,0
357,8,Male,9,Basic,8,9,9,10,5,1,0
358,4,Male,9,Premium,5,5,5,2,4,9,1
359,9,Male,3,Basic,5,8,7,9,1,2,0
360,2,Male,8,Premium,5,7,3,7,10,1,0
361,1,Male,10,Basic,1,6,1,5,8,8,0
362,2,Female,7,Basic,2,6,5,3,7,2,1
363,2,Female,10,Basic,5,2,6,8,9,3,0
364,5,Female,8,VIP,9,3,2,9,8,2,0
365,4,Female,9,Premium,4,10,2,3,8,6,0
366,9,Male,4,VIP,6,5,9,2,1,9,0
367,9,Male,1,Basic,3,8,5,5,6,7,0
368,4,Female,1,VIP,5,5,6,9,6,7,0
369,2,Male,6,Basic,10,7,9,8,5,8,0
370,9,Female,5,Basic,6,4,9,4,6,4,0
371,5,Female,2,VIP,10,8,7,6,3,10,0
372,4,Female,9,Premium,2,10,7,8,9,2,0
373,10,Female,4,Basic,10,5,2,2,9,3,0
374,1,Male,6,Basic,4,1,2,8,5,5,0
375,5,Male,6,Basic,9,5,5,8,8,5,0
376,6,Male,5,Basic,6,10,2,5,1,2,0
377,4,Female,3,VIP,8,3,10,1,2,9,0
378,2,Male,6,Basic,7,7,9,2,6,10,1
379,6,Male,10,Premium,4,8,3,10,1,10,0
380,10,Female,8,VIP,7,8,1,7,1,3,0
381,7,Male,9,VIP,4,3,4,2,5,1,0
382,9,Female,7,Basic,8,9,1,3,2,7,0
383,4,Female,8,Premium,5,1,9,3,4,3,0
384,9,Female,7,Premium,10,6,10,8,4,7,0
385,9,Male,3,VIP,10,2,5,1,10,5,0
386,8,Female,10,VIP,5,1,1,10,1,4,0
387,9,Male,3,VIP,10,7,6,7,10,2,0
388,5,Female,3,VIP,3,5,10,4,4,7,0
389,1,Female,10,VIP,6,3,1,5,1,6,0
390,3,Male,3,Premium,9,10,1,7,1,10,0
391,2,Female,6,Basic,3,1,6,7,10,2,0
392,3,Male,7,VIP,1,6,5,8,5,7,0
393,7,Male,7,Premium,3,1,1,9,5,1,0
394,2,Female,9,Premium,3,9,1,6,1,9,0
395,6,Female,10,Premium,5,3,5,1,9,2,0
396,8,Female,2,Premium,10,6,2,9,2,7,0
397,1,Male,3,VIP,8,3,8,6,5,1,0
398,8,Female,9,VIP,4,3,3,6,8,2,0
399,6,Female,10,VIP,7,4,7,8,6,7,0
400,10,Male,6,VIP,6,4,4,5,1,2,0
401,4,Male,4,VIP,9,9,4,9,10,5,0
402,1,Female,9,Premium,4,9,3,9,9,9,0
403,3,Female,7,Premium,9,6,9,3,1,3,1
404,1,Female,10,VIP,9,10,1,5,5,4,0
405,6,Female,5,VIP,6,10,6,8,8,2,0
406,3,Male,8,Basic,2,4,3,9,8,2,0
407,10,Female,1,VIP,5,7,7,2,4,1,0
408,8,Female,8,Basic,6,6,7,8,10,8,0
409,9,Female,5,Basic,9,7,9,6,9,9,0
410,5,Male,3,VIP,2,8,10,8,1,7,0
411,4,Female,2,Basic,1,8,10,8,10,1,0
412,4,Male,7,Premium,9,2,5,6,5,3,0
413,7,Male,10,Premium,3,4,1,1,7,5,0
414,4,Male,1,Basic,9,10,3,5,5,10,0
415,9,Male,9,Basic,7,7,1,2,6,4,0
416,4,Male,2,VIP,5,9,2,4,1,8,0
417,9,Male,2,Premium,9,3,9,2,8,10,0
418,5,Male,5,Premium,5,8,4,5,8,1,0
419,5,Male,9,Basic,9,6,7,3,9,9,1
420,9,Male,1,Basic,1,6,9,4,1,5,0
421,3,Female,10,VIP,10,5,2,7,2,3,0
422,4,Male,5,Premium,4,9,8,9,10,9,0
423,3,Male,4,Basic,7,4,6,6,5,4,0
424,3,Female,10,Premium,1,1,7,4,10,9,0
425,4,Male,8,VIP,5,9,7,7,8,3,0
426,6,Female,1,VIP,10,7,7,9,6,3,0
427,4,Male,10,Premium,6,2,2,1,5,10,0
428,4,Female,5,Premium,10,6,9,2,10,4,0
429,1,Male,5,Premium,7,6,7,1,8,8,0
430,2,Male,3,Premium,7,8,5,4,4,6,0
431,2,Male,2,Basic,6,5,10,3,10,7,0
432,5,Female,1,Premium,9,3,9,6,4,3,0
433,3,Female,9,VIP,5,2,4,8,4,1,0
434,8,Female,1,VIP,4,8,5,2,7,5,0
435,4,Female,7,Basic,3,8,4,2,1,7,0
436,2,Female,5,Premium,4,2,8,8,9,1,0
437,1,Female,7,Basic,10,10,6,2,8,4,1
438,10,Female,3,Premium,6,5,7,9,1,10,0
439,7,Male,10,VIP,6,5,8,4,7,4,0
440,8,Female,5,Premium,3,7,7,6,8,9,0
441,3,Male,1,VIP,2,10,8,6,8,6,0
442,7,Male,8,Basic,5,4,4,6,6,7,0
443,2,Female,1,Basic,6,3,1,4,9,4,0
444,10,Female,1,Premium,5,7,5,2,4,10,0
445,7,Male,9,Basic,3,10,4,3,2,2,0
446,6,Female,2,VIP,10,10,7,3,3,7,0
447,9,Female,7,Basic,6,3,10,9,6,9,0
448,9,Male,1,Basic,5,10,6,3,8,7,0
449,2,Male,10,VIP,1,10,7,8,4,4,0
450,7,Female,2,VIP,2,2,4,7,6,3,0
451,2,Female,3,Basic,10,10,10,1,10,10,0
452,1,Female,5,Premium,9,10,3,1,5,9,0
453,4,Male,8,Basic,2,4,1,5,2,4,0
454,5,Female,9,VIP,10,6,1,4,6,9,0
455,1,Female,6,Basic,3,1,8,10,8,1,0
456,4,Male,1,Premium,1,7,3,2,4,5,0
457,6,Female,7,Premium,2,4,9,3,7,1,0
458,5,Female,1,Basic,4,7,8,7,8,2,0
459,7,Female,3,Basic,1,3,6,10,10,10,0
460,4,Male,6,Premium,4,4,10,1,7,7,1
461,2,Male,6,Premium,3,1,2,9,1,5,0
462,9,Female,8,Basic,1,7,5,1,6,8,0
463,2,Female,1,VIP,10,6,7,7,4,3,0
464,5,Male,9,Premium,3,10,6,2,7,10,1
465,7,Male,4,Basic,8,10,1,7,9,3,0
466,10,Male,2,Premium,5,5,2,2,6,10,0
467,7,Male,2,Premium,1,1,1,3,9,2,0
468,1,Female,2,VIP,1,9,9,1,9,10,0
469,4,Male,1,Premium,5,3,2,7,10,3,0
470,4,Male,10,Premium,8,3,1,2,7,9,0
471,8,Female,8,VIP,4,3,8,3,9,8,0
472,7,Male,6,Basic,5,6,10,7,6,2,0
473,7,Male,1,Premium,9,4,8,6,3,10,0
474,6,Female,5,VIP,7,3,7,2,5,8,0
475,4,Male,1,VIP,3,9,10,6,1,7,0
476,1,Male,4,VIP,7,1,8,5,4,4,0
477,4,Female,2,Basic,9,2,10,9,9,5,0
478,7,Male,7,Basic,6,9,10,1,8,7,0
479,5,Female,5,VIP,6,7,8,4,9,10,0
480,2,Female,9,Premium,10,5,9,10,4,2,0
481,7,Female,10,VIP,6,1,8,7,7,8,0
482,3,Male,2,Basic,10,3,2,10,2,5,0
483,1,Male,10,Basic,6,6,5,8,6,2,0
484,3,Female,2,Basic,2,10,5,9,10,3,0
485,6,Female,2,VIP,8,1,2,7,9,7,0
486,8,Female,3,VIP,5,3,2,10,7,4,0
487,5,Female,7,Premium,8,9,5,2,10,5,1
488,8,Female,3,Premium,5,5,9,1,8,8,0
489,9,Female,1,Premium,10,9,8,9,3,5,0
490,7,Female,8,Basic,6,5,4,10,6,9,0
491,4,Female,7,Premium,10,2,6,3,7,9,1
492,2,Male,10,VIP,6,8,7,5,4,9,0
493,8,Female,10,Basic,8,8,5,7,3,8,0
494,10,Male,1,Premium,6,8,1,4,2,1,0
495,9,Male,5,VIP,6,10,4,5,4,4,0
496,8,Male,5,Basic,9,2,2,6,1,10,0
497,5,Female,4,Basic,4,1,6,1,3,3,0
498,9,Female,1,Basic,8,2,7,7,3,3,0
499,2,Male,10,Basic,6,3,2,7,3,10,0
500,6,Male,5,Basic,4,2,6,5,4,10,0
501,4,Female,9,VIP,4,3,10,10,5,10,0
502,6,Male,5,Premium,10,2,4,2,9,3,0
503,9,Male,7,Premium,2,2,2,5,10,5,0
504,8,Female,2,Premium,8,7,3,10,3,3,0
505,8,Female,7,Premium,7,3,2,9,4,1,0
506,9,Female,8,VIP,3,4,2,10,4,6,0
507,5,Male,3,VIP,1,10,9,1,9,5,0
508,4,Male,9,VIP,3,5,6,8,3,4,0
509,2,Male,7,VIP,7,6,1,8,8,6,0
510,10,Male,1,VIP,10,9,4,3,2,2,0
511,9,Male,2,VIP,1,4,9,7,3,9,0
512,2,Male,3,Premium,8,9,10,1,2,2,0
513,2,Male,9,VIP,7,2,9,2,8,5,1
