,age,education_level,marital_status,number_of_children,employment_status,occupation,location,years_of_work_experience,industry,label
48,18,masters,single,6,unemployed,blue collar,rural,37,finance,1
49,31,masters,separated,2,unemployed,blue collar,urban,1,healthcare,0
50,36,bachelors,divorced,3,unemployed,white collar,urban,27,finance,1
51,42,bachelors,divorced,6,unemployed,white collar,rural,33,finance,1
52,29,phd,divorced,1,retired,blue collar,urban,6,finance,0
53,30,masters,separated,6,employed,blue collar,urban,17,manufacturing,1
54,65,bachelors,single,6,employed,blue collar,rural,9,finance,1
55,33,phd,married,6,employed,white collar,urban,29,healthcare,1
56,36,phd,divorced,6,retired,white collar,rural,16,finance,1
57,33,masters,separated,3,employed,blue collar,rural,34,manufacturing,1
58,52,phd,separated,7,employed,white collar,rural,20,manufacturing,1
59,56,high school,married,10,employed,white collar,urban,30,tech,1
60,56,high school,married,14,unemployed,white collar,rural,39,healthcare,1
61,60,phd,separated,3,unemployed,blue collar,urban,5,healthcare,1
62,32,masters,separated,6,employed,white collar,rural,19,manufacturing,1
63,22,phd,separated,0,unemployed,white collar,rural,17,manufacturing,0
64,20,bachelors,married,9,retired,blue collar,rural,5,retail,1
65,53,high school,married,8,employed,white collar,rural,20,tech,1
66,20,bachelors,separated,7,unemployed,white collar,rural,30,other,1
67,43,phd,married,3,retired,white collar,urban,25,finance,1
68,57,high school,separated,9,retired,white collar,rural,5,finance,1
69,60,masters,divorced,4,unemployed,white collar,urban,18,healthcare,1
70,28,high school,single,7,employed,white collar,rural,23,manufacturing,1
71,36,high school,separated,2,unemployed,blue collar,rural,9,tech,0
72,21,masters,married,4,retired,white collar,rural,35,healthcare,1
73,49,masters,separated,15,employed,blue collar,rural,30,retail,1
74,18,phd,married,5,retired,blue collar,rural,27,finance,1
75,28,masters,separated,3,retired,blue collar,rural,10,healthcare,1
76,44,phd,single,0,unemployed,blue collar,rural,20,finance,0
77,34,masters,married,1,employed,blue collar,rural,18,manufacturing,0
78,18,bachelors,divorced,14,retired,blue collar,urban,22,tech,1
79,41,phd,separated,6,retired,blue collar,urban,4,other,1
80,36,masters,single,6,retired,blue collar,rural,23,manufacturing,1
81,43,phd,single,4,retired,blue collar,rural,39,tech,1
82,64,phd,separated,5,unemployed,blue collar,rural,31,tech,1
83,21,masters,separated,2,unemployed,white collar,urban,1,tech,1
84,64,high school,married,5,retired,blue collar,urban,8,tech,1
85,50,high school,divorced,0,unemployed,white collar,rural,7,retail,0
86,34,high school,single,14,unemployed,white collar,rural,14,other,1
87,35,masters,single,5,employed,blue collar,urban,7,tech,1
88,62,masters,separated,1,retired,white collar,urban,24,healthcare,0
89,49,bachelors,separated,9,employed,blue collar,rural,34,manufacturing,1
90,51,phd,married,0,employed,white collar,urban,36,manufacturing,1
91,53,bachelors,single,9,unemployed,blue collar,rural,29,retail,1
92,51,bachelors,divorced,0,retired,white collar,urban,39,finance,0
93,55,masters,separated,3,unemployed,white collar,urban,27,finance,1
94,23,bachelors,separated,5,unemployed,white collar,rural,17,other,1
95,58,bachelors,single,0,employed,white collar,urban,2,other,1
96,39,bachelors,separated,10,employed,blue collar,rural,29,retail,1
97,24,high school,divorced,5,employed,white collar,rural,26,finance,1
98,41,high school,separated,0,retired,white collar,urban,31,tech,1
99,56,bachelors,separated,4,employed,white collar,rural,3,tech,1
100,43,phd,divorced,1,retired,blue collar,rural,29,other,0
101,54,bachelors,single,10,unemployed,white collar,rural,37,finance,1
102,58,bachelors,separated,9,unemployed,blue collar,urban,37,healthcare,1
103,54,masters,single,15,employed,white collar,urban,22,finance,1
104,48,bachelors,single,2,retired,white collar,rural,39,healthcare,0
105,52,high school,divorced,9,retired,white collar,urban,7,finance,1
106,58,masters,separated,10,unemployed,blue collar,rural,12,retail,1
107,20,bachelors,divorced,4,unemployed,blue collar,urban,7,retail,1
108,58,bachelors,single,8,employed,blue collar,rural,16,other,1
109,65,high school,separated,2,employed,white collar,urban,8,other,1
110,64,bachelors,divorced,0,retired,blue collar,urban,14,retail,0
111,30,masters,divorced,7,unemployed,white collar,urban,22,other,1
112,50,high school,married,6,unemployed,white collar,urban,24,manufacturing,1
113,41,bachelors,married,10,unemployed,blue collar,rural,24,tech,1
114,39,masters,married,3,employed,white collar,rural,39,other,1
115,52,high school,married,9,retired,blue collar,rural,31,finance,1
116,50,high school,married,10,retired,blue collar,urban,3,manufacturing,1
117,58,high school,divorced,2,retired,white collar,urban,28,tech,1
118,38,bachelors,separated,5,employed,blue collar,urban,21,healthcare,1
119,64,phd,separated,2,employed,blue collar,rural,15,healthcare,0
120,58,phd,married,6,employed,blue collar,rural,17,healthcare,1
121,53,high school,divorced,10,unemployed,white collar,urban,34,finance,1
122,35,masters,separated,7,unemployed,blue collar,urban,2,retail,1
123,41,high school,married,7,employed,white collar,rural,18,manufacturing,1
124,50,bachelors,separated,6,retired,blue collar,urban,5,manufacturing,1
125,33,phd,divorced,4,unemployed,blue collar,rural,18,manufacturing,1
126,33,bachelors,single,3,employed,white collar,rural,31,manufacturing,1
127,25,high school,married,5,retired,white collar,rural,29,tech,1
128,46,bachelors,separated,8,retired,white collar,rural,26,finance,1
129,46,phd,married,9,retired,blue collar,urban,37,finance,1
130,57,bachelors,separated,1,unemployed,blue collar,urban,18,manufacturing,0
131,63,bachelors,separated,11,employed,white collar,rural,37,other,1
132,21,bachelors,divorced,7,unemployed,blue collar,rural,30,other,1
133,54,high school,divorced,9,unemployed,white collar,rural,1,other,1
134,53,bachelors,single,0,retired,white collar,urban,31,healthcare,0
135,43,high school,single,6,retired,white collar,urban,8,tech,1
136,55,phd,separated,9,unemployed,white collar,rural,1,healthcare,1
137,53,bachelors,married,0,unemployed,white collar,urban,5,retail,0
138,32,bachelors,divorced,4,unemployed,blue collar,rural,9,other,1
139,36,bachelors,married,6,employed,white collar,urban,21,healthcare,1
140,50,phd,separated,1,employed,white collar,urban,33,retail,1
141,39,phd,separated,4,employed,white collar,rural,11,retail,1
142,42,phd,divorced,2,retired,white collar,rural,16,healthcare,0
143,49,bachelors,single,5,employed,white collar,rural,35,tech,1
144,27,phd,divorced,6,employed,blue collar,rural,15,healthcare,1
145,34,high school,single,2,employed,blue collar,rural,32,tech,0
146,36,phd,separated,6,employed,white collar,rural,16,manufacturing,1
147,56,phd,divorced,4,unemployed,white collar,rural,38,tech,1
148,47,phd,single,9,retired,blue collar,rural,13,tech,1
149,27,phd,separated,4,retired,white collar,urban,24,manufacturing,1
150,20,phd,married,2,unemployed,blue collar,rural,26,finance,0
151,38,phd,separated,12,retired,white collar,urban,24,retail,1
152,21,bachelors,married,9,unemployed,white collar,rural,3,healthcare,1
153,58,masters,separated,5,retired,blue collar,urban,16,tech,1
154,51,phd,separated,1,retired,blue collar,rural,13,finance,0
155,38,bachelors,divorced,10,retired,white collar,rural,17,finance,1
156,32,masters,divorced,1,employed,white collar,urban,11,tech,1
157,59,phd,separated,2,retired,blue collar,rural,24,retail,0
158,62,masters,separated,9,unemployed,blue collar,rural,31,manufacturing,1
159,39,bachelors,separated,8,unemployed,blue collar,rural,38,manufacturing,1
160,36,high school,single,6,employed,blue collar,urban,34,retail,1
161,39,high school,separated,0,unemployed,white collar,urban,6,finance,0
162,45,phd,single,12,employed,white collar,urban,13,retail,1
163,35,high school,single,14,retired,white collar,rural,30,healthcare,1
164,37,masters,divorced,7,retired,white collar,rural,23,manufacturing,1
165,46,masters,separated,9,employed,white collar,rural,11,other,1
166,51,bachelors,separated,15,employed,blue collar,urban,23,finance,1
167,35,masters,married,7,retired,white collar,rural,8,healthcare,1
168,22,masters,married,2,unemployed,blue collar,urban,31,manufacturing,0
169,47,high school,divorced,9,unemployed,white collar,rural,20,healthcare,1
170,45,high school,married,7,unemployed,blue collar,rural,36,retail,1
171,29,bachelors,married,3,retired,white collar,rural,11,healthcare,1
172,29,high school,divorced,11,unemployed,blue collar,urban,15,tech,1
173,62,bachelors,married,5,retired,white collar,urban,20,manufacturing,1
174,45,phd,separated,2,unemployed,white collar,rural,33,healthcare,0
175,40,bachelors,separated,3,unemployed,blue collar,rural,38,other,1
176,35,masters,single,3,unemployed,blue collar,rural,18,manufacturing,1
177,27,bachelors,divorced,7,employed,blue collar,urban,13,healthcare,1
178,45,phd,divorced,4,retired,white collar,rural,9,healthcare,1
179,38,bachelors,separated,9,retired,white collar,urban,29,tech,1
180,35,phd,divorced,6,employed,blue collar,urban,10,retail,1
181,44,bachelors,divorced,10,retired,blue collar,rural,21,tech,1
182,28,masters,separated,8,employed,blue collar,rural,3,tech,1
183,53,high school,separated,0,retired,blue collar,urban,1,tech,1
184,49,high school,married,10,retired,blue collar,urban,1,healthcare,1
185,24,bachelors,married,1,employed,white collar,rural,33,manufacturing,1
186,39,masters,separated,8,unemployed,blue collar,rural,3,retail,1
187,38,phd,divorced,1,employed,blue collar,urban,1,manufacturing,0
188,63,bachelors,separated,3,employed,blue collar,urban,7,other,1
189,30,masters,divorced,1,retired,blue collar,urban,17,healthcare,0
190,46,phd,separated,2,unemployed,white collar,urban,14,finance,0
191,32,high school,divorced,1,employed,white collar,rural,7,tech,1
192,35,high school,single,2,employed,blue collar,rural,34,healthcare,0
193,40,high school,married,5,unemployed,white collar,rural,20,healthcare,1
194,41,phd,separated,10,employed,blue collar,urban,17,manufacturing,1
195,34,high school,married,5,unemployed,white collar,urban,21,manufacturing,1
196,30,bachelors,divorced,5,employed,white collar,rural,30,healthcare,1
197,21,masters,divorced,1,retired,white collar,rural,30,finance,0
198,52,masters,single,5,retired,white collar,urban,20,finance,1
199,29,bachelors,divorced,5,retired,blue collar,rural,27,manufacturing,1
200,27,phd,divorced,13,unemployed,white collar,urban,36,finance,1
201,53,masters,single,0,employed,white collar,rural,18,retail,1
202,47,bachelors,divorced,8,employed,blue collar,urban,19,manufacturing,1
203,35,phd,separated,9,employed,blue collar,urban,32,finance,1
204,29,masters,single,8,unemployed,white collar,rural,38,finance,1
205,19,bachelors,single,13,employed,white collar,urban,30,healthcare,1
206,44,masters,married,4,retired,blue collar,urban,22,retail,1
207,37,phd,divorced,9,employed,blue collar,urban,32,finance,1
208,53,bachelors,married,8,retired,white collar,rural,38,finance,1
209,58,high school,separated,9,unemployed,white collar,rural,3,retail,1
210,20,masters,married,12,employed,blue collar,rural,2,other,1
211,30,phd,divorced,4,employed,white collar,urban,35,tech,1
212,35,phd,married,3,employed,white collar,rural,20,retail,1
213,42,bachelors,single,5,employed,blue collar,rural,14,retail,1
214,19,high school,married,4,retired,white collar,rural,35,other,1
215,44,phd,married,2,employed,blue collar,rural,34,other,0
216,31,masters,single,1,unemployed,blue collar,rural,32,tech,0
217,26,masters,single,1,unemployed,white collar,urban,40,healthcare,0
218,40,phd,single,1,employed,blue collar,rural,24,retail,0
219,31,high school,divorced,2,unemployed,white collar,rural,38,other,0
220,23,masters,separated,0,employed,blue collar,rural,16,finance,0
221,63,phd,separated,8,unemployed,white collar,rural,39,retail,1
222,62,masters,married,8,unemployed,white collar,rural,17,manufacturing,1
223,65,masters,single,5,unemployed,white collar,urban,9,manufacturing,1
224,50,masters,married,5,retired,blue collar,urban,25,healthcare,1
225,26,masters,married,15,employed,white collar,rural,23,finance,1
226,56,masters,married,2,retired,white collar,rural,32,finance,0
227,53,phd,single,5,retired,white collar,urban,23,tech,1
228,44,high school,single,4,retired,white collar,urban,2,tech,1
229,58,high school,divorced,8,retired,blue collar,urban,40,manufacturing,1
230,65,phd,separated,3,retired,white collar,rural,39,retail,1
231,62,masters,single,2,employed,blue collar,rural,22,tech,0
232,20,bachelors,single,4,retired,white collar,urban,3,tech,1
233,61,high school,single,6,unemployed,blue collar,rural,27,finance,1
234,53,bachelors,single,2,employed,white collar,urban,36,healthcare,1
235,50,high school,divorced,10,retired,blue collar,urban,5,tech,1
236,43,masters,single,1,employed,white collar,rural,7,tech,1
237,18,masters,divorced,2,employed,blue collar,rural,15,tech,0
238,22,masters,single,8,unemployed,blue collar,rural,6,manufacturing,1
239,24,bachelors,married,9,employed,white collar,urban,24,finance,1
240,40,phd,single,6,employed,white collar,urban,24,retail,1
241,47,bachelors,married,9,retired,white collar,rural,29,manufacturing,1
242,45,bachelors,married,13,unemployed,blue collar,urban,1,tech,1
243,54,masters,separated,8,employed,blue collar,urban,29,other,1
244,29,high school,married,8,unemployed,blue collar,rural,26,tech,1
245,47,bachelors,divorced,9,retired,blue collar,urban,11,retail,1
246,23,masters,separated,1,unemployed,white collar,rural,39,finance,0
247,24,high school,divorced,1,unemployed,white collar,rural,40,manufacturing,0
248,33,high school,divorced,3,employed,blue collar,rural,28,healthcare,1
249,51,masters,single,0,retired,white collar,urban,9,other,0
250,41,high school,separated,4,retired,white collar,rural,13,other,1
251,54,high school,single,0,retired,white collar,urban,27,manufacturing,0
252,29,masters,married,6,retired,blue collar,rural,2,healthcare,1
253,47,bachelors,single,4,retired,white collar,urban,2,finance,1
254,18,bachelors,separated,1,unemployed,blue collar,rural,24,finance,0
255,59,phd,married,9,unemployed,white collar,rural,5,tech,1
256,55,high school,married,0,retired,white collar,urban,34,retail,0
257,55,masters,single,7,unemployed,blue collar,urban,16,retail,1
258,50,masters,divorced,9,employed,white collar,rural,23,healthcare,1
259,61,bachelors,divorced,1,employed,white collar,rural,23,other,1
260,27,masters,separated,4,retired,blue collar,rural,16,manufacturing,1
261,61,bachelors,divorced,9,employed,blue collar,urban,15,other,1
262,51,masters,married,7,unemployed,white collar,rural,3,healthcare,1
263,41,bachelors,separated,3,retired,blue collar,rural,5,tech,1
264,45,phd,single,5,unemployed,blue collar,urban,7,manufacturing,1
265,48,phd,divorced,10,unemployed,white collar,urban,26,manufacturing,1
266,49,phd,single,5,retired,white collar,rural,24,tech,1
267,25,masters,divorced,8,retired,blue collar,urban,1,tech,1
268,41,masters,single,8,employed,white collar,rural,32,tech,1
269,44,masters,separated,2,employed,white collar,rural,30,tech,1
270,32,high school,divorced,2,retired,white collar,rural,40,tech,0
271,47,masters,separated,0,unemployed,blue collar,rural,17,finance,0
272,51,high school,divorced,4,employed,blue collar,rural,14,finance,1
273,52,masters,single,15,retired,white collar,rural,17,manufacturing,1
274,32,masters,single,7,unemployed,white collar,urban,9,manufacturing,1
275,62,phd,single,15,unemployed,blue collar,urban,30,tech,1
276,27,high school,married,9,unemployed,blue collar,urban,6,other,1
277,57,bachelors,single,0,retired,white collar,rural,10,tech,0
278,24,high school,single,4,employed,blue collar,urban,37,finance,1
279,40,high school,single,0,retired,blue collar,urban,6,retail,0
280,27,masters,single,10,retired,white collar,rural,5,manufacturing,1
281,55,phd,separated,15,unemployed,blue collar,rural,4,healthcare,1
282,61,bachelors,separated,10,unemployed,white collar,urban,37,tech,1
283,38,bachelors,divorced,10,employed,blue collar,urban,18,tech,1
284,41,bachelors,single,9,retired,blue collar,urban,40,other,1
285,33,masters,separated,2,employed,blue collar,urban,38,finance,0
286,47,high school,divorced,13,unemployed,white collar,rural,28,manufacturing,1
287,21,bachelors,separated,5,employed,blue collar,urban,33,tech,1
288,37,phd,divorced,4,employed,blue collar,rural,11,retail,1
289,43,phd,divorced,8,unemployed,blue collar,urban,14,healthcare,1
290,20,masters,separated,8,employed,blue collar,rural,38,retail,1
291,19,bachelors,divorced,7,employed,white collar,rural,40,manufacturing,1
292,47,phd,divorced,9,unemployed,white collar,urban,17,manufacturing,1
293,46,bachelors,single,0,retired,blue collar,rural,28,manufacturing,0
294,27,phd,married,4,employed,blue collar,urban,37,tech,1
295,54,phd,separated,5,retired,blue collar,urban,34,tech,1
296,19,masters,single,6,unemployed,blue collar,rural,18,healthcare,1
297,60,masters,married,9,retired,blue collar,urban,3,other,1
298,55,masters,married,10,employed,white collar,urban,21,healthcare,1
299,24,bachelors,divorced,2,employed,white collar,rural,10,healthcare,1
300,22,high school,separated,7,retired,white collar,rural,39,tech,1
301,57,bachelors,divorced,1,unemployed,white collar,urban,18,other,0
302,61,high school,divorced,2,retired,white collar,urban,39,finance,0
303,45,bachelors,married,8,unemployed,white collar,rural,29,healthcare,1
304,21,masters,divorced,7,employed,white collar,urban,10,retail,1
305,20,phd,married,0,unemployed,blue collar,urban,18,retail,0
306,32,bachelors,single,1,retired,white collar,rural,13,healthcare,0
307,36,high school,divorced,1,retired,blue collar,urban,16,manufacturing,0
308,64,bachelors,divorced,10,employed,white collar,urban,31,retail,1
309,36,bachelors,divorced,3,employed,blue collar,urban,4,manufacturing,1
310,57,high school,divorced,5,employed,white collar,rural,29,tech,1
311,65,high school,single,10,unemployed,blue collar,rural,1,other,1
312,57,phd,married,7,retired,blue collar,rural,11,other,1
313,22,masters,single,3,retired,blue collar,urban,29,healthcare,1
314,36,phd,divorced,1,employed,blue collar,urban,39,tech,1
315,40,phd,married,9,retired,white collar,rural,39,manufacturing,1
316,47,high school,single,1,employed,white collar,rural,2,healthcare,1
317,20,bachelors,separated,2,retired,white collar,urban,10,tech,1
318,56,high school,separated,12,retired,blue collar,urban,23,tech,1
319,27,masters,divorced,0,retired,white collar,urban,28,other,0
320,35,bachelors,divorced,10,unemployed,blue collar,rural,12,finance,1
321,58,high school,single,15,employed,white collar,rural,24,manufacturing,1
322,60,masters,divorced,0,unemployed,blue collar,rural,22,tech,0
323,25,high school,divorced,7,unemployed,blue collar,rural,36,finance,1
324,50,bachelors,married,5,unemployed,white collar,urban,18,tech,1
325,39,high school,single,0,employed,white collar,urban,15,finance,1
326,44,high school,divorced,3,unemployed,blue collar,rural,33,finance,1
327,39,high school,divorced,14,employed,blue collar,rural,32,tech,1
328,39,bachelors,separated,15,employed,blue collar,urban,23,retail,1
329,50,bachelors,single,2,unemployed,blue collar,rural,3,retail,0
330,50,high school,separated,1,unemployed,blue collar,rural,15,manufacturing,0
331,50,high school,separated,13,employed,white collar,rural,9,manufacturing,1
332,41,bachelors,married,9,unemployed,white collar,rural,33,finance,1
333,49,bachelors,married,2,retired,white collar,urban,34,healthcare,0
334,54,masters,separated,4,unemployed,white collar,rural,1,other,1
335,20,high school,separated,3,employed,blue collar,rural,7,manufacturing,1
336,61,phd,separated,6,employed,white collar,urban,2,retail,1
337,48,masters,divorced,0,retired,white collar,urban,35,finance,0
338,27,high school,separated,12,unemployed,white collar,urban,21,other,1
339,57,high school,separated,8,employed,blue collar,urban,23,finance,1
340,61,high school,divorced,1,retired,white collar,rural,38,retail,0
341,41,high school,married,7,unemployed,white collar,urban,7,finance,1
342,60,phd,divorced,1,unemployed,blue collar,urban,18,tech,1
343,28,high school,divorced,4,unemployed,white collar,rural,13,finance,1
344,31,bachelors,divorced,7,unemployed,white collar,urban,38,manufacturing,1
345,27,masters,separated,10,unemployed,blue collar,urban,3,finance,1
346,40,bachelors,separated,10,employed,white collar,urban,5,finance,1
347,53,bachelors,single,9,employed,blue collar,rural,28,retail,1
348,24,phd,separated,3,employed,white collar,urban,20,finance,1
349,63,phd,married,10,employed,white collar,urban,18,finance,1
350,36,masters,married,8,retired,white collar,rural,3,healthcare,1
351,60,high school,separated,8,employed,blue collar,rural,9,healthcare,1
352,30,phd,separated,4,unemployed,white collar,urban,17,retail,1
353,30,bachelors,divorced,6,employed,blue collar,rural,28,healthcare,1
354,55,phd,divorced,8,employed,blue collar,urban,3,healthcare,1
355,22,phd,married,1,employed,blue collar,rural,20,tech,0
356,32,phd,married,1,employed,white collar,urban,26,manufacturing,1
357,25,phd,married,2,employed,white collar,urban,1,other,1
358,33,phd,married,12,unemployed,white collar,rural,20,retail,1
359,52,masters,divorced,6,unemployed,blue collar,urban,28,other,1
360,50,masters,married,3,unemployed,white collar,urban,37,finance,1
361,48,bachelors,separated,6,employed,blue collar,rural,18,manufacturing,1
362,58,bachelors,divorced,0,unemployed,white collar,urban,36,healthcare,0
363,38,high school,single,0,unemployed,white collar,rural,26,other,0
364,43,phd,single,1,employed,blue collar,urban,12,retail,0
365,64,high school,separated,11,retired,blue collar,rural,9,retail,1
366,63,high school,separated,8,employed,blue collar,urban,29,other,1
367,57,phd,separated,12,retired,blue collar,rural,36,tech,1
368,50,phd,divorced,4,unemployed,blue collar,rural,23,finance,1
369,19,bachelors,divorced,1,retired,blue collar,rural,4,finance,0
370,19,masters,divorced,9,employed,white collar,urban,18,finance,1
371,55,high school,married,6,employed,blue collar,urban,13,retail,1
372,25,masters,separated,2,unemployed,blue collar,urban,7,tech,1
373,42,masters,divorced,3,unemployed,blue collar,rural,8,tech,1
374,44,masters,single,3,retired,white collar,urban,39,finance,1
375,42,masters,married,14,unemployed,blue collar,urban,17,retail,1
376,23,high school,single,3,unemployed,blue collar,rural,8,other,1
377,52,high school,married,9,employed,blue collar,rural,18,finance,1
378,44,bachelors,separated,2,unemployed,white collar,rural,16,other,0
379,29,phd,married,4,retired,white collar,urban,25,manufacturing,1
380,41,high school,divorced,10,unemployed,blue collar,rural,23,tech,1
381,46,bachelors,married,6,employed,white collar,rural,38,manufacturing,1
382,22,masters,single,7,unemployed,blue collar,rural,5,other,1
383,18,phd,married,7,employed,blue collar,urban,31,tech,1
384,55,masters,divorced,9,employed,blue collar,urban,18,tech,1
385,58,masters,married,8,unemployed,blue collar,rural,27,finance,1
386,40,phd,single,8,unemployed,white collar,urban,24,tech,1
387,58,bachelors,divorced,0,unemployed,white collar,urban,5,healthcare,0
388,41,high school,separated,1,retired,white collar,urban,1,other,0
389,29,masters,single,7,employed,blue collar,rural,15,tech,1
390,35,phd,divorced,6,unemployed,blue collar,urban,29,healthcare,1
391,54,bachelors,married,9,retired,white collar,rural,25,tech,1
392,53,phd,separated,7,retired,blue collar,rural,30,finance,1
393,24,masters,married,0,unemployed,blue collar,urban,25,other,0
394,29,bachelors,separated,6,retired,blue collar,urban,16,retail,1
395,58,masters,separated,10,employed,blue collar,urban,30,finance,1
396,38,bachelors,single,5,retired,blue collar,rural,34,other,1
397,38,masters,divorced,6,unemployed,white collar,urban,29,retail,1
398,54,bachelors,separated,7,unemployed,white collar,rural,20,manufacturing,1
399,59,high school,single,15,unemployed,white collar,rural,9,other,1
400,51,phd,single,9,employed,white collar,urban,19,manufacturing,1
401,60,high school,single,7,unemployed,blue collar,rural,2,retail,1
402,26,phd,married,0,retired,white collar,urban,29,other,0
403,42,phd,separated,7,employed,blue collar,rural,35,manufacturing,1
404,51,masters,married,4,employed,blue collar,urban,1,other,1
405,55,bachelors,separated,5,unemployed,blue collar,rural,23,other,1
406,42,phd,married,14,employed,blue collar,urban,25,finance,1
407,19,phd,married,0,retired,white collar,urban,17,tech,1
408,20,masters,married,15,employed,white collar,rural,39,retail,1
409,56,bachelors,divorced,13,retired,white collar,rural,14,other,1
410,46,high school,single,15,retired,blue collar,urban,37,tech,1
411,30,phd,married,4,retired,white collar,urban,18,finance,1
412,64,bachelors,single,4,employed,blue collar,urban,4,tech,1
413,21,high school,separated,0,unemployed,blue collar,rural,20,tech,0
414,48,phd,separated,9,employed,blue collar,urban,26,retail,1
415,19,high school,separated,9,unemployed,blue collar,urban,2,tech,1
416,32,masters,separated,9,unemployed,blue collar,rural,9,manufacturing,1
417,51,bachelors,married,1,unemployed,white collar,urban,29,manufacturing,0
418,57,masters,separated,12,employed,blue collar,rural,19,finance,1
419,36,high school,divorced,9,unemployed,white collar,rural,23,other,1
420,61,masters,divorced,3,retired,blue collar,urban,32,healthcare,1
421,39,high school,married,6,unemployed,blue collar,urban,23,tech,1
422,44,masters,separated,7,employed,white collar,urban,4,finance,1
423,32,phd,married,8,unemployed,blue collar,rural,27,finance,1
424,53,high school,separated,6,employed,blue collar,urban,8,healthcare,1
425,29,bachelors,separated,3,retired,white collar,rural,19,healthcare,1
426,30,phd,separated,7,retired,white collar,rural,4,healthcare,1
427,56,high school,divorced,8,unemployed,blue collar,urban,18,other,1
428,26,masters,divorced,4,retired,blue collar,urban,32,other,1
429,51,masters,married,2,employed,blue collar,urban,2,finance,0
430,64,masters,single,9,employed,white collar,urban,34,other,1
431,54,bachelors,separated,3,unemployed,blue collar,rural,35,other,1
432,18,bachelors,separated,9,employed,white collar,rural,4,tech,1
433,34,masters,married,7,unemployed,blue collar,rural,32,healthcare,1
434,64,high school,divorced,2,unemployed,blue collar,rural,24,other,0
435,21,bachelors,separated,5,employed,blue collar,rural,19,tech,1
436,33,masters,single,7,retired,blue collar,urban,17,retail,1
437,29,high school,separated,1,employed,white collar,rural,31,retail,1
438,53,masters,married,6,unemployed,blue collar,urban,37,healthcare,1
439,62,masters,divorced,14,employed,blue collar,rural,12,retail,1
440,26,phd,married,9,retired,white collar,urban,23,other,1
441,36,bachelors,married,9,retired,blue collar,rural,24,tech,1
442,60,phd,divorced,15,employed,white collar,urban,36,tech,1
443,58,high school,married,3,unemployed,white collar,urban,28,finance,1
444,50,high school,married,7,retired,blue collar,rural,14,healthcare,1
445,59,high school,separated,7,employed,white collar,rural,10,retail,1
