,Transaction Amount,Transaction Date,Transaction Time,Card Type,Card Holder's Age,Card Issuer,Card Location,Card Location Type,Card Location Category,Card Location City,Card Location State,Card Location Country,Card Location Latitude,Card Location Longitude,Card Location Zip Code,label
32,74.40107705542673,2021-04-13,morning,Visa,37,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
33,949.3966818807999,2013-03-04,morning,MasterCard,69,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
34,965.9757127438138,2022-08-18,afternoon,MasterCard,58,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
35,810.3133746352966,2014-12-24,morning,Visa,28,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
36,311.56763148163697,2015-07-07,afternoon,MasterCard,73,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
37,106.69539286632003,2018-11-02,evening,MasterCard,71,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
38,687.3906962470353,2020-09-27,evening,Visa,50,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
39,445.7509688022053,2021-01-05,morning,Visa,67,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
40,130.81785249633106,2018-11-23,afternoon,MasterCard,55,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
41,500.2251410101575,2015-10-09,evening,MasterCard,44,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
42,44.04463590406621,2013-12-25,afternoon,Visa,51,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
43,910.2271980579942,2020-04-17,afternoon,Visa,32,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
44,266.1921817840167,2016-05-18,morning,Visa,49,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
45,665.8970615104422,2020-06-11,evening,MasterCard,78,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
46,318.59396532851684,2014-09-03,morning,Visa,75,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
47,524.8673409660327,2021-11-26,morning,Visa,38,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
48,551.2431765498469,2018-12-27,evening,MasterCard,63,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
49,193.00591097027177,2013-04-02,evening,MasterCard,22,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
50,969.888781486913,2021-04-27,afternoon,MasterCard,23,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
51,777.3814951275034,2019-06-15,evening,MasterCard,55,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
52,940.1039521485473,2013-02-25,afternoon,MasterCard,79,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
53,895.8790769233724,2019-10-07,afternoon,Visa,39,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
54,601.9209790229743,2014-03-06,afternoon,Visa,79,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
55,922.6554926728857,2014-09-03,evening,MasterCard,35,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
56,97.6075770314003,2015-09-13,morning,MasterCard,31,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
57,204.02303379495373,2016-11-18,afternoon,MasterCard,27,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
58,54.775016021432684,2019-12-07,morning,MasterCard,63,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
59,332.0770274556317,2022-08-24,morning,MasterCard,30,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
60,394.7905167925872,2015-03-12,evening,Visa,48,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
61,278.63554145615694,2019-09-25,morning,Visa,47,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
62,830.45013406041,2014-11-01,morning,Visa,20,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
63,363.1857934266534,2014-09-12,evening,Visa,47,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
64,288.1251645905069,2022-07-03,afternoon,MasterCard,23,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
65,547.269122326666,2014-09-15,morning,Visa,46,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
66,149.51498272501502,2022-01-03,evening,MasterCard,25,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
67,804.1750109464992,2022-11-24,morning,MasterCard,61,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
68,83.80513724297312,2013-02-24,morning,MasterCard,62,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
69,987.0180672345122,2016-01-14,afternoon,Visa,60,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
70,774.5223216036909,2013-03-07,morning,MasterCard,61,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
71,206.72852471883067,2019-03-31,evening,Visa,50,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
72,15.466895952366375,2014-09-16,morning,Visa,34,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
73,817.3068141702859,2020-06-25,afternoon,MasterCard,65,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
74,709.788770409141,2013-07-04,afternoon,MasterCard,28,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
75,731.7170963605774,2015-06-03,evening,MasterCard,30,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
76,773.5576432190862,2014-02-25,afternoon,Visa,67,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
77,83.30420521674945,2022-12-17,morning,MasterCard,28,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
78,364.8810712588299,2021-08-27,afternoon,Visa,48,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
79,124.71036892987841,2019-01-13,evening,MasterCard,45,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
80,864.4723916168376,2019-11-27,afternoon,MasterCard,61,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
81,627.0651455592823,2014-12-13,afternoon,Visa,23,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
82,337.5890446041227,2013-05-12,afternoon,Visa,58,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
83,72.9227667831634,2022-02-25,evening,Visa,33,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
84,317.8724984985056,2020-12-24,afternoon,Visa,21,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
85,331.9314888064796,2014-02-16,afternoon,Visa,52,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
86,732.3101165546834,2021-07-05,morning,Visa,77,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
87,641.181896641661,2016-04-06,evening,MasterCard,65,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
88,888.3406151505633,2022-04-26,afternoon,MasterCard,73,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
89,477.4927759103298,2020-12-04,evening,Visa,76,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
90,128.3983034789187,2018-01-23,afternoon,MasterCard,43,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
91,716.1123393507651,2014-03-17,afternoon,Visa,79,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
92,763.1771981307285,2019-06-14,afternoon,MasterCard,74,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
93,565.6644255938013,2013-06-15,morning,MasterCard,29,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
94,773.2575081550153,2018-07-15,morning,Visa,28,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
95,498.85764040074685,2017-10-05,morning,Visa,54,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
96,527.5055010881741,2014-06-27,evening,Visa,42,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
97,433.26560817496414,2020-10-10,evening,MasterCard,35,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
98,35.164935476654236,2022-12-04,morning,Visa,36,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
99,116.81251272337141,2020-05-19,evening,MasterCard,40,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
100,41.11489382986691,2017-06-09,afternoon,Visa,72,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
101,640.0463071511426,2021-09-12,afternoon,MasterCard,55,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
102,321.2124212655634,2022-02-18,afternoon,MasterCard,71,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
103,513.4849842530557,2022-05-02,morning,Visa,35,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
104,908.490809186832,2020-12-15,evening,MasterCard,43,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
105,256.7993068573862,2021-02-04,morning,MasterCard,23,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
106,416.2790938052734,2022-04-05,evening,Visa,21,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
107,757.9956271576182,2013-05-22,afternoon,MasterCard,61,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
108,236.51018383670623,2018-02-25,morning,Visa,68,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
109,86.21011073050506,2019-07-19,evening,Visa,46,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
110,296.85393838463034,2016-05-13,evening,Visa,76,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
111,169.60907438146438,2022-04-11,afternoon,Visa,78,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
112,930.4006758191473,2014-11-11,morning,MasterCard,51,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
113,810.0391757687728,2020-06-25,morning,MasterCard,34,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
114,637.0697189453192,2013-08-11,morning,MasterCard,60,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
115,872.7459842858406,2022-01-27,afternoon,Visa,60,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
116,805.6353561301233,2021-12-09,morning,MasterCard,70,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
117,194.70435829717547,2015-10-26,afternoon,MasterCard,33,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
118,893.633408505078,2017-05-22,afternoon,Visa,19,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
119,543.9488194964943,2013-06-02,afternoon,Visa,51,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
120,809.3657536124219,2019-10-24,evening,MasterCard,72,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
121,897.1303869242583,2021-12-22,morning,Visa,25,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
122,324.8234402221452,2017-06-08,morning,Visa,30,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
123,118.95140528239999,2016-07-05,afternoon,Visa,59,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
124,235.65581091652226,2022-08-09,afternoon,Visa,25,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
125,432.83671073999375,2017-07-30,morning,MasterCard,47,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
126,819.8346182632682,2022-03-15,afternoon,Visa,49,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
127,862.12327742378,2021-10-27,morning,Visa,53,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
128,16.882609225878795,2021-01-27,evening,Visa,64,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
129,515.6398295517901,2014-10-19,afternoon,Visa,47,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
130,423.2368931172912,2017-07-13,morning,Visa,18,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
131,229.88673236602295,2015-10-18,afternoon,Visa,60,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
132,128.66671366034598,2021-11-29,morning,Visa,56,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
133,344.23901968959166,2015-02-28,morning,Visa,34,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
134,943.480606873394,2013-08-26,afternoon,MasterCard,76,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
135,329.9709027005477,2020-05-13,evening,Visa,37,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
136,523.6027155259325,2014-03-18,morning,MasterCard,41,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
137,705.9887693062261,2016-11-19,morning,Visa,67,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
138,369.99330635550103,2017-05-31,morning,Visa,39,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
139,972.0642618937511,2017-12-30,evening,Visa,46,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
140,962.8228219926901,2017-03-25,evening,Visa,39,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
141,259.2644728671105,2020-06-07,afternoon,MasterCard,61,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
142,502.2760208334616,2013-07-21,evening,Visa,26,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
143,307.86952671860195,2021-01-22,afternoon,Visa,54,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
144,291.9920894336929,2020-10-17,afternoon,MasterCard,27,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
145,46.51807788098747,2018-12-30,evening,MasterCard,53,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
146,613.4686906400979,2013-09-20,afternoon,Visa,54,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
147,507.6522329965729,2019-05-17,evening,MasterCard,45,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
148,60.96396373748946,2013-08-26,afternoon,MasterCard,45,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
149,285.8599995942453,2022-12-22,evening,MasterCard,59,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
150,909.1832271069871,2020-01-12,evening,Visa,60,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
151,247.1662717603027,2017-11-20,afternoon,Visa,38,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
152,153.44592337031085,2016-10-11,morning,Visa,41,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
153,494.5582326747874,2014-03-05,afternoon,MasterCard,59,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
154,985.7939495694947,2015-11-08,evening,Visa,77,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
155,249.6347187963854,2020-11-21,morning,MasterCard,57,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
156,675.4141919318198,2018-08-21,afternoon,Visa,19,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
157,764.0034191754304,2018-08-08,afternoon,Visa,72,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
158,245.26116855247568,2013-01-07,afternoon,MasterCard,25,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
159,730.934185125741,2019-05-09,morning,Visa,65,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
160,374.1053013920607,2020-07-31,evening,MasterCard,44,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
161,635.9827722876437,2013-12-05,afternoon,MasterCard,39,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
162,637.1944136532858,2013-03-30,afternoon,Visa,54,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
163,540.4169372340109,2019-03-14,afternoon,MasterCard,44,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
164,99.38687235386422,2013-09-09,afternoon,Visa,74,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
165,836.9494706333456,2014-04-20,afternoon,Visa,46,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
166,327.5722643220185,2022-05-21,evening,MasterCard,20,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
167,194.6533252958557,2020-09-29,evening,Visa,61,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
168,50.367390139216276,2016-10-19,afternoon,MasterCard,30,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
169,594.9840137563594,2020-06-09,morning,Visa,62,Visa,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
170,680.7887182238596,2015-05-03,evening,Visa,27,Visa,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
171,26.42195063857759,2016-01-05,morning,Visa,53,Visa,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
172,516.9721277162882,2016-09-08,evening,Visa,26,MasterCard,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
173,234.23081744595856,2017-10-08,afternoon,Visa,71,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
174,648.7210625053553,2013-03-06,evening,MasterCard,73,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
175,182.62276471494152,2018-01-31,afternoon,MasterCard,72,MasterCard,office,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
176,694.0283607214413,2022-11-09,evening,MasterCard,44,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
177,392.86799283753203,2014-06-19,afternoon,MasterCard,51,Visa,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
178,937.3626888493671,2021-01-05,afternoon,MasterCard,68,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
179,146.1457347045333,2015-07-06,afternoon,MasterCard,18,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
180,347.65568753975595,2018-10-10,afternoon,Visa,49,Visa,mall,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
181,122.33878602818318,2014-04-28,morning,Visa,42,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
182,925.4466820957772,2020-02-23,afternoon,MasterCard,46,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
183,878.5659598471713,2017-10-06,morning,MasterCard,24,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
184,265.362211438004,2018-02-20,morning,Visa,66,MasterCard,gas_station,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,0
185,663.3842055738372,2018-08-19,afternoon,Visa,20,MasterCard,grocery_store,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
186,819.0499781992037,2017-10-05,morning,Visa,37,MasterCard,home,in-store,grocery_store,San Francisco,California,USA,37.7749,-122.4194,94103,1
