,Molecular Weight,Log PKA,Log SASA,Number of Nitrogen Atoms,Number of Oxygen Atoms,label
83,443,5,55,2,4,0
84,328,9,99,6,9,0
85,599,5,91,8,3,0
86,485,3,76,0,7,0
87,227,1,82,8,8,1
88,450,9,41,4,0,0
89,538,5,73,5,6,0
90,495,6,82,4,7,0
91,210,9,71,0,6,0
92,233,1,90,8,1,1
93,313,6,71,1,1,0
94,597,5,23,2,3,0
95,595,6,81,3,1,0
96,540,2,55,7,3,0
97,508,4,76,3,0,0
98,378,8,77,4,4,0
99,339,2,99,8,8,1
100,582,5,91,3,9,0
101,567,2,81,5,8,0
102,244,8,58,7,8,0
103,310,1,66,1,6,0
104,539,1,72,1,8,0
105,255,1,56,4,3,1
106,265,5,53,6,1,1
107,410,9,70,7,0,0
108,270,9,71,0,9,0
109,449,5,92,0,4,0
110,320,1,98,7,2,1
111,431,9,41,6,3,0
112,456,5,41,9,9,0
113,490,2,72,4,6,0
114,426,7,85,8,3,0
115,281,6,87,4,0,0
116,568,4,96,2,4,0
117,314,7,99,0,3,0
118,537,4,70,6,0,0
119,279,1,35,2,0,0
120,499,7,82,4,0,0
121,423,9,79,1,8,0
122,332,5,59,7,0,1
123,300,9,42,3,8,0
124,320,1,44,3,5,0
125,345,5,39,6,7,0
126,356,9,65,4,1,0
127,455,9,98,0,9,0
128,250,5,85,9,1,1
129,453,1,79,2,3,0
130,373,7,48,2,4,0
131,231,4,93,1,3,0
132,556,5,27,8,7,0
133,474,5,63,3,8,0
134,467,5,82,0,8,0
135,400,9,67,0,7,0
136,236,5,81,3,2,1
137,329,7,30,5,7,0
138,557,5,52,8,0,0
139,564,2,49,4,9,0
140,293,9,44,0,9,0
141,210,2,27,5,7,0
142,263,4,95,6,6,1
143,565,5,64,6,1,0
144,475,4,26,4,4,0
145,449,7,58,6,0,0
146,553,6,97,7,8,0
147,372,3,97,9,2,1
148,573,9,40,2,5,0
149,554,8,50,8,7,0
150,339,4,45,1,7,0
151,508,1,35,4,5,0
152,561,1,61,2,7,0
153,576,8,26,7,0,0
154,585,5,66,6,0,0
155,274,7,49,2,2,0
156,533,5,58,2,8,0
157,538,3,81,0,2,0
158,275,8,52,2,3,0
159,455,3,34,2,0,0
160,238,3,42,8,4,0
161,518,3,20,5,4,0
162,583,1,86,1,9,0
163,445,1,54,8,7,0
164,389,3,74,1,9,0
165,339,1,37,3,5,0
166,560,3,61,0,8,0
167,389,8,90,3,0,0
168,591,3,56,7,2,0
169,239,6,99,4,7,0
170,420,2,36,5,2,0
171,574,2,82,7,2,0
172,576,7,76,0,9,0
173,526,2,62,0,2,0
174,406,3,54,6,2,0
175,392,9,46,0,1,0
176,528,9,27,4,0,0
177,288,8,83,8,1,0
178,200,8,73,4,5,0
179,592,5,33,7,2,0
180,447,1,22,2,4,0
181,238,6,75,1,8,0
182,381,3,66,1,0,1
183,423,3,62,5,0,0
184,445,2,31,9,3,0
185,381,9,51,3,5,0
186,302,2,20,8,5,0
187,515,1,81,9,5,0
188,547,4,77,7,7,0
189,511,5,92,6,2,0
190,251,6,70,2,2,0
191,462,5,77,8,5,0
192,310,1,46,5,8,0
193,409,7,44,1,8,0
194,503,2,53,3,1,0
195,294,6,53,2,3,0
196,541,4,53,6,0,0
197,353,3,24,6,7,0
198,590,9,25,3,4,0
199,431,7,80,3,8,0
200,381,3,47,1,1,0
201,223,9,77,7,4,0
202,512,3,63,1,0,0
203,546,2,96,9,5,0
204,387,3,58,3,2,1
205,517,4,57,0,1,0
206,347,8,85,9,1,0
207,435,8,89,0,3,0
208,441,1,56,8,7,0
209,355,7,55,2,1,0
210,246,9,82,1,8,0
211,587,7,27,0,7,0
212,307,1,87,5,5,1
213,516,7,63,4,0,0
214,417,6,45,1,5,0
215,284,2,36,1,6,0
216,349,6,23,3,4,0
217,296,4,45,4,9,0
218,463,9,43,7,3,0
219,552,2,41,3,9,0
220,431,3,93,0,8,0
221,559,3,93,8,4,0
222,405,2,58,7,2,0
223,558,9,84,5,2,0
224,451,8,79,1,4,0
225,250,4,33,5,9,0
226,238,5,28,3,1,0
227,250,1,85,6,9,0
228,483,4,90,9,9,0
229,217,9,45,7,5,0
230,213,2,71,9,6,1
231,539,3,76,4,7,0
232,332,4,89,5,2,1
233,476,1,79,2,1,0
234,316,5,77,8,0,1
235,448,1,52,3,1,0
236,545,8,46,6,5,0
237,295,7,96,5,6,0
238,515,6,22,5,9,0
239,238,9,67,8,4,0
240,509,4,25,4,4,0
241,336,1,88,1,5,0
242,251,7,46,0,4,0
243,577,2,53,9,6,0
244,405,1,96,6,9,0
245,389,9,77,9,9,0
246,241,1,74,9,3,1
247,578,2,30,2,4,0
248,239,8,69,9,4,0
249,523,8,60,1,0,0
250,393,3,30,8,1,0
251,575,3,50,5,7,0
252,221,5,27,5,6,0
253,542,3,68,1,1,0
254,347,5,25,7,6,0
255,255,7,30,0,1,0
256,249,8,53,5,1,0
257,290,4,64,5,2,1
258,387,9,80,9,5,0
259,227,9,80,9,9,0
260,398,9,96,4,3,0
261,431,7,60,9,3,0
262,371,6,79,2,4,0
263,409,4,53,7,9,0
264,244,8,23,1,3,0
265,319,5,61,5,9,0
266,548,3,86,1,3,0
267,348,8,24,4,7,0
268,391,5,93,2,7,0
269,383,8,73,7,4,0
270,365,6,83,2,6,0
271,251,8,74,5,6,0
272,538,3,99,1,8,0
273,317,6,50,6,4,0
274,413,5,46,3,9,0
275,329,1,38,1,2,0
276,303,7,84,6,6,0
277,353,7,87,9,9,0
278,233,2,76,7,2,1
279,429,8,65,6,7,0
280,502,8,67,0,3,0
281,465,6,96,0,7,0
282,308,9,21,7,2,0
283,264,5,55,3,7,0
284,278,5,83,8,3,1
285,473,3,59,8,6,0
286,384,2,95,7,3,1
287,295,7,40,7,2,0
288,564,2,66,2,7,0
289,242,3,72,4,8,0
290,367,2,39,2,6,0
291,345,3,83,6,6,1
292,592,2,88,3,6,0
293,356,1,41,3,5,0
294,452,1,87,4,2,0
295,336,9,27,5,7,0
296,579,9,26,0,7,0
297,532,3,58,7,9,0
298,298,7,76,9,2,0
299,523,1,86,2,8,0
300,398,8,33,5,0,0
301,563,8,93,7,3,0
302,338,9,79,5,8,0
303,399,3,85,0,4,0
304,563,3,22,2,2,0
305,354,5,70,9,0,1
306,302,8,38,6,8,0
307,415,9,49,3,7,0
308,557,6,64,8,2,0
309,306,1,60,2,3,0
310,322,6,36,8,7,0
311,368,2,92,3,3,1
312,585,4,80,1,9,0
313,515,5,97,1,6,0
314,476,3,41,6,4,0
315,361,3,94,5,0,1
316,568,7,80,8,0,0
317,333,2,73,7,2,1
318,563,5,41,5,1,0
319,217,9,76,4,9,0
320,300,2,62,4,2,1
321,322,4,83,8,8,1
322,596,4,44,7,5,0
323,439,8,45,7,6,0
324,311,5,87,9,8,1
325,333,1,63,9,2,1
326,445,2,69,2,9,0
327,545,8,81,7,7,0
328,539,6,43,9,1,0
329,450,5,32,1,7,0
330,308,2,62,9,7,1
331,350,8,60,0,0,0
332,282,1,30,9,9,0
333,411,3,39,4,5,0
334,337,1,68,3,1,1
335,321,9,33,3,2,0
336,554,8,32,3,9,0
337,215,8,38,4,7,0
338,511,9,74,5,2,0
339,428,3,72,8,1,0
340,282,6,98,4,7,0
341,426,3,99,6,6,0
342,544,7,62,2,5,0
343,460,4,54,8,6,0
344,224,8,20,4,5,0
345,294,2,49,4,0,0
346,358,9,61,0,2,0
347,292,6,69,2,1,0
348,595,1,30,8,2,0
349,246,5,66,8,6,1
350,473,6,90,2,1,0
351,573,1,28,7,3,0
352,474,3,91,6,8,0
353,590,7,25,4,5,0
354,550,7,63,4,0,0
355,479,7,48,8,6,0
356,584,2,95,6,7,0
357,471,9,85,5,2,0
358,549,7,24,6,6,0
359,209,9,92,1,0,0
360,240,9,87,5,5,0
361,583,3,92,6,5,0
362,447,8,39,5,5,0
363,313,7,56,4,1,0
364,456,1,24,1,7,0
365,273,5,54,2,2,1
366,468,4,88,1,9,0
367,450,4,92,0,3,0
368,248,7,42,2,6,0
369,352,1,24,7,8,0
370,465,2,95,1,5,0
371,206,4,43,7,7,0
372,554,7,96,4,1,0
373,472,1,27,0,4,0
374,289,7,88,1,4,0
375,224,8,86,5,7,0
376,576,8,64,1,9,0
377,562,1,60,5,8,0
378,241,2,71,2,8,0
379,293,3,70,5,1,1
380,406,6,23,0,4,0
381,211,2,75,3,8,0
382,274,3,73,7,8,0
383,375,4,63,4,6,0
384,281,7,84,0,7,0
385,364,9,47,7,4,0
386,331,6,95,4,0,0
387,533,9,69,6,4,0
388,568,7,24,1,3,0
389,569,1,91,6,8,0
390,332,8,91,8,6,0
391,429,1,28,6,3,0
392,339,7,49,1,6,0
393,304,4,74,0,5,0
394,373,9,89,6,4,0
395,302,1,59,7,0,1
396,456,8,91,0,0,0
397,365,3,62,4,3,1
398,283,2,61,7,6,1
399,229,2,84,8,5,1
400,347,9,41,4,2,0
401,211,1,30,9,1,0
402,409,8,97,4,6,0
403,381,4,31,8,2,0
404,552,7,94,7,9,0
405,316,8,72,7,8,0
406,206,7,56,6,3,0
407,517,8,42,5,9,0
408,576,9,61,3,5,0
409,353,5,73,5,0,1
410,341,4,92,4,2,1
411,369,3,79,8,3,1
412,260,7,85,4,7,0
413,468,1,70,0,7,0
414,458,3,61,1,8,0
415,360,2,56,3,5,0
416,217,8,21,1,5,0
417,517,6,42,0,4,0
418,383,7,22,1,7,0
419,345,9,48,8,2,0
420,433,7,64,1,7,0
421,286,3,29,0,5,0
422,213,5,90,1,9,0
423,306,1,33,2,4,0
424,584,8,94,1,8,0
425,348,9,71,1,2,0
426,238,1,60,3,4,0
427,238,7,91,7,4,0
428,442,3,50,8,8,0
429,496,1,52,5,3,0
430,533,1,49,0,5,0
431,406,9,92,5,3,0
432,463,6,52,1,5,0
433,489,9,42,3,0,0
434,245,5,65,1,4,0
435,453,1,81,9,2,0
436,576,5,25,3,6,0
437,575,9,87,1,1,0
438,341,1,74,7,8,0
439,371,3,44,3,9,0
440,446,7,83,1,4,0
441,560,7,45,1,7,0
442,435,6,66,1,5,0
443,497,4,84,2,9,0
444,553,5,84,1,1,0
445,251,6,53,8,5,0
446,484,7,45,3,6,0
447,543,6,96,7,9,0
448,457,8,77,8,1,0
449,517,9,24,7,8,0
450,384,6,73,7,5,0
451,279,3,95,1,7,0
452,208,8,54,6,8,0
453,221,3,99,5,0,1
454,404,4,42,3,1,0
455,451,8,23,0,3,0
456,404,4,30,0,3,0
457,584,8,57,9,3,0
458,316,9,28,6,6,0
459,299,1,24,3,8,0
460,348,1,55,1,6,0
461,517,6,95,9,5,0
462,579,4,81,8,2,0
463,327,2,50,8,8,0
464,468,4,68,4,2,0
465,581,5,98,0,5,0
466,247,2,64,5,0,1
467,287,6,59,6,9,0
468,413,1,65,6,1,0
469,203,6,79,2,7,0
470,408,8,34,6,4,0
471,492,3,83,0,6,0
472,253,7,27,9,1,0
473,466,6,81,3,9,0
474,222,6,66,6,8,0
475,439,8,69,1,1,0
476,426,3,73,4,6,0
477,275,7,90,7,3,0
478,311,2,88,1,3,0
479,367,1,56,2,7,0
480,560,8,88,3,2,0
481,340,6,65,8,4,0
482,364,8,56,8,2,0
483,389,1,66,1,5,0
484,574,4,44,0,4,0
485,251,8,53,0,5,0
486,446,4,51,3,5,0
487,254,2,51,0,5,0
488,580,9,69,8,9,0
489,335,5,35,7,0,0
490,320,6,85,1,2,0
491,283,6,96,8,0,0
492,268,4,50,2,7,0
493,215,1,54,6,4,1
494,216,7,62,4,3,0
495,437,6,78,8,1,0
496,307,4,82,4,3,1
497,364,3,96,7,1,1
498,229,3,56,6,6,1
499,476,8,96,1,7,0
500,421,4,45,7,1,0
501,469,1,77,7,0,0
502,262,4,73,7,4,1
503,538,7,53,2,6,0
504,393,6,79,9,5,0
505,431,4,70,3,1,0
506,360,8,71,0,9,0
507,384,4,58,7,0,1
508,331,7,64,8,4,0
509,517,4,59,4,6,0
510,569,1,67,9,4,0
511,539,5,48,5,1,0
512,412,1,22,2,4,0
513,340,2,99,1,7,0
514,396,8,86,6,6,0
515,503,1,69,9,8,0
516,544,2,33,4,1,0
517,491,8,41,1,9,0
518,212,3,97,9,7,1
519,553,5,23,8,7,0
520,514,9,23,2,4,0
521,233,8,52,0,2,0
522,541,2,43,4,6,0
523,322,4,55,8,4,1
524,374,4,64,5,3,1
525,549,3,28,1,1,0
526,439,7,34,4,6,0
527,206,2,69,4,4,1
528,323,3,36,9,8,0
529,435,7,91,4,9,0
530,396,5,91,5,1,1
531,564,8,85,7,5,0
532,232,8,82,5,0,0
533,321,8,35,2,0,0
534,400,6,21,2,7,0
535,263,7,21,3,3,0
536,225,1,54,7,5,1
537,459,5,81,4,6,0
538,227,6,48,2,3,0
539,205,9,64,7,6,0
540,318,5,39,1,6,0
541,269,4,29,1,4,0
542,235,5,92,8,0,1
543,531,5,46,8,4,0
544,499,3,25,3,2,0
545,568,3,95,7,7,0
546,417,3,25,6,3,0
547,539,6,57,6,2,0
548,577,5,78,4,8,0
549,352,2,87,4,1,1
550,490,8,82,3,7,0
551,393,1,61,8,5,1
552,565,2,84,7,6,0
553,288,8,31,1,1,0
554,484,8,36,8,7,0
555,203,3,88,2,7,0
556,395,3,70,8,2,1
557,577,1,61,3,7,0
558,200,6,74,5,7,0
559,308,7,37,7,3,0
560,576,3,61,0,2,0
561,278,9,59,9,4,0
562,590,8,43,3,9,0
563,313,2,40,1,0,0
564,328,3,37,7,2,0
565,464,2,36,8,4,0
566,420,9,73,0,5,0
567,581,5,88,5,0,0
568,257,9,68,1,2,0
569,295,8,30,7,1,0
570,339,9,65,9,0,0
571,462,4,49,5,0,0
572,280,9,71,3,0,0
573,402,8,51,1,2,0
574,293,2,64,1,7,0
575,362,5,30,0,9,0
576,480,7,99,3,9,0
577,533,9,63,1,0,0
578,353,9,52,6,3,0
579,363,1,80,8,1,1
580,211,9,53,4,3,0
581,267,7,24,4,9,0
582,362,4,27,1,0,0
583,561,1,40,6,4,0
584,461,1,45,1,7,0
585,254,9,39,9,1,0
586,562,7,43,5,6,0
587,460,9,35,9,5,0
588,511,8,35,2,7,0
589,446,9,61,4,2,0
590,520,4,78,1,0,0
591,283,6,50,1,2,0
592,217,4,77,4,6,0
593,456,7,42,4,3,0
594,504,5,94,9,3,0
595,322,9,71,4,4,0
596,222,5,20,7,0,0
597,561,5,87,8,9,0
598,319,3,61,4,8,0
599,201,4,78,8,0,1
600,388,4,98,7,3,1
601,523,6,73,5,1,0
602,585,2,89,8,6,0
603,216,1,44,1,7,0
604,391,8,77,8,7,0
605,515,4,48,8,8,0
606,242,6,88,2,5,0
607,522,4,45,0,3,0
608,395,3,73,4,6,0
609,516,2,43,6,7,0
610,563,8,57,9,4,0
611,264,3,60,2,1,1
612,475,4,97,5,0,0
613,406,2,20,4,9,0
614,388,1,51,4,2,1
615,514,6,92,0,9,0
616,593,7,62,0,2,0
617,466,4,93,9,7,0
618,291,3,95,4,7,0
619,350,7,94,5,1,0
620,541,6,45,8,4,0
621,339,4,39,1,3,0
622,565,7,46,0,2,0
623,557,7,93,3,5,0
624,358,9,74,1,1,0
625,320,3,85,7,3,1
626,483,8,69,8,4,0
627,443,5,79,1,7,0
628,475,9,46,6,5,0
629,231,8,76,5,3,0
630,537,2,29,5,7,0
631,540,5,52,5,3,0
632,215,1,51,1,1,1
633,367,5,55,1,6,0
634,572,6,59,0,1,0
635,465,6,89,7,4,0
636,561,8,64,9,5,0
637,401,5,68,5,8,0
638,387,3,61,1,1,1
639,367,3,25,9,0,0
640,268,1,50,1,5,0
641,405,8,22,0,1,0
642,345,8,80,9,0,0
643,371,6,49,4,8,0
644,341,9,82,4,0,0
645,305,1,57,8,0,1
646,455,8,71,4,1,0
647,347,8,37,7,8,0
648,219,5,71,7,3,1
649,429,1,68,0,1,0
650,386,7,91,7,7,0
651,209,2,23,6,8,0
652,561,1,25,1,4,0
653,228,8,60,4,9,0
654,312,9,33,9,9,0
655,542,4,28,0,7,0
656,512,7,55,9,7,0
657,221,9,33,5,6,0
658,387,6,96,2,4,0
659,275,4,94,9,4,1
660,586,4,49,4,4,0
661,253,2,66,0,2,0
662,448,1,44,8,9,0
663,497,9,81,8,1,0
664,466,7,75,6,1,0
665,483,1,39,4,9,0
666,568,2,79,8,6,0
667,474,3,94,4,4,0
668,284,1,43,4,8,0
669,339,8,46,5,8,0
670,524,1,86,3,4,0
671,466,6,33,4,5,0
672,371,1,84,5,7,0
673,334,9,67,8,5,0
674,488,2,42,5,8,0
675,460,9,75,4,3,0
676,519,3,24,1,7,0
677,522,3,76,5,2,0
678,235,8,93,0,5,0
679,237,3,24,9,3,0
680,596,4,94,9,9,0
681,403,4,87,4,7,0
682,587,1,80,1,7,0
683,361,4,76,6,8,0
684,464,2,31,6,1,0
685,322,2,99,7,3,1
686,575,6,47,9,8,0
687,239,7,43,9,5,0
688,289,7,98,4,8,0
689,364,9,25,9,3,0
690,307,1,82,8,3,1
691,322,8,69,5,2,0
692,532,1,94,8,5,0
693,247,1,95,2,3,0
694,302,7,43,7,8,0
695,508,6,26,9,1,0
696,426,6,57,2,3,0
697,467,8,81,1,7,0
698,237,5,39,7,4,0
699,392,7,27,3,0,0
700,286,7,74,2,5,0
701,305,7,27,9,9,0
702,302,4,92,4,5,0
703,564,5,42,7,5,0
704,294,4,27,4,6,0
705,284,7,71,6,8,0
706,316,2,93,6,7,0
707,338,8,64,7,9,0
708,279,5,26,9,9,0
709,593,9,53,1,3,0
710,288,6,42,9,3,0
711,350,8,28,4,0,0
712,321,4,62,8,3,1
713,311,3,89,7,3,1
714,438,4,87,6,8,0
715,528,2,86,1,5,0
716,587,3,20,7,5,0
717,260,7,30,3,4,0
718,445,3,67,7,6,0
719,338,2,38,0,1,0
720,400,4,99,8,1,0
721,331,1,37,9,0,0
722,243,8,36,0,8,0
723,512,4,50,7,1,0
724,232,6,43,1,2,0
725,350,5,67,9,8,1
726,356,6,47,6,7,0
727,583,8,63,9,9,0
728,309,5,76,8,8,1
729,374,4,44,3,5,0
730,214,5,47,4,6,0
731,235,5,95,5,5,1
732,393,5,59,7,7,1
733,392,4,81,7,3,1
734,216,7,31,3,8,0
735,395,3,37,7,2,0
736,394,8,85,3,5,0
737,241,6,94,7,3,0
738,565,5,39,1,9,0
739,313,3,90,2,3,0
740,353,7,99,4,1,0
741,461,1,64,3,1,0
742,341,1,79,1,2,0
743,218,7,81,7,8,0
744,248,3,58,2,2,1
745,275,5,91,1,4,0
746,479,6,33,5,0,0
747,258,8,81,5,7,0
748,290,8,45,0,6,0
749,449,7,67,2,0,0
750,558,8,26,1,4,0
751,245,5,68,0,2,0
752,315,1,41,1,5,0
753,473,8,83,7,6,0
754,486,1,49,7,6,0
755,371,9,22,7,6,0
756,324,9,78,8,7,0
757,405,8,36,7,8,0
758,250,6,57,7,5,0
759,551,8,92,2,2,0
760,464,4,49,9,2,0
761,300,2,43,6,5,0
762,407,3,68,6,6,0
763,566,4,84,1,6,0
764,562,3,38,8,1,0
765,463,3,52,6,2,0
766,411,4,77,1,6,0
767,538,8,50,6,9,0
768,562,8,70,0,7,0
769,499,8,42,5,9,0
770,257,8,97,6,3,0
771,480,1,84,7,0,0
772,333,5,39,5,4,0
773,208,4,23,2,3,0
774,508,2,69,6,9,0
775,452,5,30,1,8,0
776,494,2,95,5,2,0
777,247,9,73,8,1,0
778,257,9,31,2,4,0
779,349,8,34,7,5,0
780,201,3,56,8,5,1
781,299,2,29,4,7,0
782,520,1,86,2,8,0
783,574,2,54,7,8,0
784,386,5,95,7,3,1
785,581,7,61,5,6,0
786,439,2,58,3,5,0
787,283,2,31,8,2,0
788,351,3,55,5,0,1
789,583,5,71,3,2,0
790,391,5,25,0,9,0
791,274,3,34,8,6,0
792,344,8,65,4,7,0
793,442,8,43,1,5,0
794,403,2,39,3,0,0
795,496,6,86,3,4,0
796,486,8,31,1,8,0
797,402,9,84,4,0,0
798,455,1,97,2,1,0
799,284,5,52,9,3,1
800,220,1,68,3,2,1
801,558,6,51,1,6,0
802,407,7,86,2,9,0
803,268,8,58,7,0,0
804,450,2,31,4,3,0
805,445,4,56,2,4,0
806,376,3,22,7,3,0
807,467,5,70,7,1,0
808,536,7,57,3,1,0
809,595,1,38,0,6,0
810,381,2,72,0,0,1
811,221,4,43,8,2,0
812,432,9,60,8,1,0
813,589,4,27,8,8,0
814,510,1,46,7,2,0
815,498,1,32,4,3,0
816,407,1,57,0,0,0
817,351,2,74,0,8,0
818,336,2,76,4,8,0
819,486,8,45,7,2,0
820,263,1,88,4,1,1
821,586,8,42,4,6,0
822,369,6,78,0,4,0
823,365,5,95,4,2,1
824,540,3,91,4,0,0
825,518,6,53,0,7,0
826,261,4,51,0,3,0
827,535,8,58,3,1,0
828,557,2,85,8,2,0
829,457,7,22,6,8,0
830,291,2,52,1,1,1
831,496,8,98,1,9,0
832,363,5,32,6,1,0
833,284,1,74,2,7,0
834,455,9,91,6,9,0
835,386,7,99,7,8,0
836,249,8,82,5,1,0
837,375,1,33,2,5,0
838,523,1,73,6,1,0
839,248,1,82,8,6,1
840,569,2,48,6,4,0
841,488,7,80,7,7,0
842,320,1,35,4,1,0
843,478,3,42,4,6,0
844,250,9,83,4,5,0
845,343,8,35,0,1,0
846,549,6,70,8,3,0
847,563,6,21,9,9,0
848,574,8,40,3,5,0
849,382,5,71,2,0,1
850,348,6,85,3,5,0
851,487,3,58,7,3,0
852,395,8,55,8,0,0
853,447,2,93,0,6,0
854,589,6,51,7,5,0
855,334,8,34,5,2,0
856,481,6,22,8,6,0
857,452,2,71,8,3,0
858,485,7,43,2,0,0
859,318,1,94,9,5,1
860,285,7,34,7,2,0
861,438,3,22,2,6,0
862,456,1,64,1,4,0
863,235,4,31,1,6,0
864,269,9,23,7,9,0
865,300,8,48,3,4,0
866,546,5,58,6,4,0
867,483,4,46,4,0,0
868,342,5,35,6,0,0
869,298,3,29,8,6,0
870,482,8,42,6,6,0
871,465,5,99,6,7,0
872,493,9,36,7,4,0
873,263,8,94,6,3,0
874,356,3,42,1,1,0
875,236,4,42,9,2,0
876,531,8,42,9,2,0
877,544,4,82,5,2,0
878,466,4,59,9,3,0
879,275,5,94,7,2,1
880,353,6,76,7,1,0
881,423,6,40,6,9,0
882,581,2,21,8,5,0
883,301,2,64,3,9,0
884,281,8,51,8,8,0
885,383,6,55,5,2,0
886,520,6,96,8,9,0
887,282,8,83,5,7,0
888,491,2,73,9,8,0
889,465,2,31,2,2,0
890,540,8,38,6,6,0
891,240,9,59,0,8,0
892,273,6,51,2,2,0
893,357,3,84,2,4,0
894,532,8,75,7,5,0
895,242,1,77,2,1,1
896,266,5,67,1,3,0
897,442,3,41,8,1,0
898,381,4,61,0,7,0
899,262,6,56,9,2,0
900,332,4,52,5,4,1
901,253,7,73,6,3,0
902,235,6,56,1,0,0
903,507,5,93,6,7,0
904,401,7,28,8,8,0
905,365,7,76,4,6,0
906,208,7,28,3,6,0
907,376,3,66,6,8,0
908,520,4,53,8,3,0
909,293,5,84,6,9,0
910,283,9,65,4,6,0
911,232,6,99,6,1,0
912,495,4,20,8,7,0
913,412,5,89,0,6,0
914,523,5,20,8,4,0
915,559,8,62,4,7,0
916,287,2,41,1,9,0
917,302,5,69,9,1,1
918,313,1,66,4,5,0
919,396,1,26,7,7,0
920,226,5,30,0,5,0
921,329,9,72,2,7,0
922,365,7,48,2,7,0
923,376,8,63,7,8,0
924,524,1,53,5,3,0
925,507,2,56,8,1,0
926,588,6,97,1,9,0
927,270,1,26,3,5,0
928,464,6,73,8,2,0
929,315,5,88,9,9,1
930,361,2,94,0,4,0
931,375,3,90,0,0,1
932,249,7,57,1,4,0
933,377,4,20,5,7,0
934,514,9,21,1,1,0
935,271,7,33,4,4,0
936,498,5,57,6,1,0
937,253,4,60,8,4,1
938,399,9,40,4,2,0
939,267,9,57,2,6,0
940,281,8,37,9,4,0
941,528,5,42,2,3,0
942,255,2,71,0,7,0
943,572,7,61,6,2,0
944,598,7,90,8,1,0
945,491,7,70,1,8,0
946,554,5,70,7,3,0
947,556,6,46,6,3,0
948,287,8,91,2,8,0
949,383,1,84,8,3,1
950,296,5,75,3,2,1
951,358,3,33,3,0,0
952,441,8,46,0,9,0
953,203,8,32,5,2,0
954,552,8,43,0,1,0
955,589,7,86,6,5,0
956,459,1,62,4,5,0
957,506,9,68,2,7,0
958,504,4,77,7,1,0
959,541,8,43,5,5,0
960,372,3,70,9,4,1
961,520,2,68,2,2,0
962,546,4,55,6,4,0
963,203,3,20,0,0,0
964,312,1,61,4,0,1
965,302,8,71,5,0,0
966,320,3,59,7,9,0
967,335,5,73,6,0,1
968,444,1,89,0,4,0
969,562,9,89,7,3,0
970,308,2,60,3,8,0
971,394,6,91,4,2,0
972,442,8,98,6,3,0
973,462,1,91,6,5,0
974,276,4,23,3,9,0
975,367,4,25,0,4,0
976,506,6,96,7,5,0
977,285,2,42,9,6,0
978,369,9,36,3,1,0
979,433,1,50,0,4,0
980,402,1,40,2,9,0
981,590,2,54,2,5,0
982,508,6,88,3,8,0
983,231,7,73,1,5,0
984,251,9,40,6,2,0
985,530,6,67,4,5,0
986,291,2,64,9,7,1
987,592,2,69,0,8,0
988,539,7,80,0,4,0
989,456,1,97,9,4,0
990,494,8,42,7,3,0
991,460,9,27,9,9,0
