,Age,Education,Experience,Salary,Skills,Location,Company size,Industry,Job type,label
48,64,Bachelor's Degree,3,77369,C++,Los Angeles,638,Finance,Full-time,1
49,57,Master's Degree,4,47145,SQL,New York,80,Technology,Part-time,1
50,32,Bachelor's Degree,8,72958,SQL,Chicago,551,Finance,Part-time,1
51,25,Master's Degree,5,60012,Python,Boston,498,Technology,Contract,1
52,54,Bachelor's Degree,0,90218,SQL,Los Angeles,980,Technology,Full-time,1
53,32,Master's Degree,4,46042,Python,San Francisco,783,Retail,Contract,1
54,25,Master's Degree,7,40863,React,Chicago,179,Education,Contract,1
55,18,Bachelor's Degree,3,74568,Data Analytics,New York,560,Technology,Part-time,1
56,51,High School Diploma,1,67554,SQL,San Francisco,793,Education,Contract,0
57,34,High School Diploma,7,89206,C++,Chicago,864,Education,Full-time,1
58,54,Bachelor's Degree,6,77543,SQL,New York,16,Education,Part-time,1
59,53,Master's Degree,5,35343,React,New York,539,Finance,Full-time,1
60,25,Bachelor's Degree,5,50235,Data Analytics,Boston,985,Education,Part-time,1
61,63,Master's Degree,7,56824,Python,Boston,780,Technology,Full-time,1
62,58,High School Diploma,1,94155,SQL,Chicago,722,Healthcare,Contract,0
63,41,High School Diploma,7,40747,C++,Chicago,249,Healthcare,Part-time,1
64,32,High School Diploma,1,94394,C++,San Francisco,672,Finance,Part-time,0
65,50,High School Diploma,4,69829,C++,Los Angeles,606,Retail,Contract,1
66,59,High School Diploma,3,54345,React,Los Angeles,980,Technology,Full-time,1
67,42,Bachelor's Degree,6,74858,Data Analytics,San Francisco,535,Finance,Full-time,1
68,42,High School Diploma,5,55385,Data Analytics,Boston,396,Technology,Full-time,1
69,36,High School Diploma,7,23307,React,New York,463,Education,Part-time,1
70,52,High School Diploma,6,49515,React,New York,223,Education,Contract,1
71,57,High School Diploma,9,42508,Python,New York,236,Technology,Part-time,1
72,55,Master's Degree,4,22638,Data Analytics,San Francisco,229,Healthcare,Part-time,1
73,39,High School Diploma,2,53901,Java,Chicago,618,Finance,Contract,0
74,50,Master's Degree,2,95717,React,Boston,195,Technology,Full-time,1
75,59,High School Diploma,5,84361,C++,Chicago,62,Retail,Contract,1
76,28,Bachelor's Degree,6,98020,Java,New York,557,Healthcare,Contract,1
77,28,High School Diploma,4,74895,Angular,Chicago,617,Retail,Contract,1
78,37,High School Diploma,0,45841,Data Analytics,New York,783,Healthcare,Part-time,0
79,55,Bachelor's Degree,7,96669,Java,Chicago,371,Education,Part-time,1
80,63,High School Diploma,2,70447,Data Analytics,New York,919,Retail,Contract,1
81,56,High School Diploma,3,53095,SQL,Los Angeles,959,Healthcare,Full-time,1
82,37,Master's Degree,1,53786,Angular,Boston,701,Retail,Part-time,0
83,24,High School Diploma,8,33971,Python,Boston,982,Education,Part-time,0
84,28,Master's Degree,5,43981,SQL,Chicago,914,Finance,Contract,1
85,18,Bachelor's Degree,3,30155,Data Analytics,San Francisco,643,Technology,Part-time,0
86,64,Bachelor's Degree,8,45316,SQL,Los Angeles,721,Retail,Full-time,1
87,58,Master's Degree,9,67415,Python,Los Angeles,220,Finance,Full-time,1
88,32,Master's Degree,7,27074,Data Analytics,Los Angeles,191,Technology,Part-time,1
89,47,High School Diploma,8,23862,Data Analytics,Los Angeles,351,Technology,Contract,1
90,51,Bachelor's Degree,9,75239,Angular,Boston,805,Finance,Full-time,1
91,59,High School Diploma,4,58419,C++,San Francisco,672,Retail,Part-time,1
92,43,Bachelor's Degree,0,22947,React,San Francisco,383,Finance,Full-time,1
93,42,High School Diploma,9,49645,SQL,Chicago,568,Healthcare,Contract,1
94,59,Bachelor's Degree,5,77248,Data Analytics,Chicago,160,Education,Contract,1
95,58,Master's Degree,1,20107,Data Analytics,Los Angeles,691,Retail,Part-time,0
96,23,Master's Degree,0,75520,C++,Boston,216,Education,Contract,0
97,60,Bachelor's Degree,6,85277,SQL,New York,273,Technology,Contract,1
98,56,Bachelor's Degree,6,31588,React,Boston,494,Education,Contract,1
99,24,Bachelor's Degree,1,83604,Data Analytics,Los Angeles,535,Healthcare,Contract,1
100,48,Master's Degree,1,30513,SQL,Chicago,372,Finance,Part-time,0
101,41,Master's Degree,0,87249,Data Analytics,Los Angeles,247,Technology,Full-time,1
102,36,High School Diploma,5,91971,React,San Francisco,908,Retail,Full-time,1
103,20,Master's Degree,4,95237,C++,Chicago,906,Finance,Full-time,1
104,48,High School Diploma,6,24895,React,New York,151,Education,Part-time,1
105,31,High School Diploma,9,40428,C++,New York,376,Technology,Full-time,1
106,44,High School Diploma,4,29251,C++,San Francisco,882,Retail,Full-time,1
107,43,Master's Degree,9,38853,SQL,New York,512,Finance,Full-time,1
108,63,High School Diploma,2,90441,SQL,Los Angeles,577,Retail,Full-time,0
109,23,High School Diploma,1,84915,Angular,Los Angeles,393,Retail,Full-time,0
110,40,Master's Degree,7,92590,Python,San Francisco,469,Healthcare,Part-time,1
111,18,Master's Degree,9,98316,SQL,Chicago,993,Healthcare,Full-time,0
112,57,High School Diploma,7,84915,C++,Chicago,362,Education,Full-time,1
113,24,Bachelor's Degree,1,63876,C++,New York,529,Retail,Contract,0
114,25,Master's Degree,9,43784,SQL,New York,160,Finance,Full-time,1
115,55,Master's Degree,9,31450,Data Analytics,New York,616,Healthcare,Contract,1
116,63,High School Diploma,8,55159,React,New York,241,Retail,Contract,1
117,24,High School Diploma,0,79574,Java,New York,324,Retail,Part-time,1
118,22,High School Diploma,3,82995,C++,New York,26,Finance,Contract,0
119,51,High School Diploma,1,57285,Java,Boston,472,Education,Part-time,0
120,48,High School Diploma,3,93140,React,New York,727,Healthcare,Contract,1
121,38,Bachelor's Degree,3,68141,Java,New York,485,Healthcare,Part-time,1
122,37,Bachelor's Degree,5,46221,Python,New York,930,Education,Contract,1
123,56,Master's Degree,8,77530,Data Analytics,San Francisco,639,Finance,Full-time,1
124,35,Master's Degree,1,90198,Data Analytics,Boston,792,Healthcare,Full-time,1
125,58,Bachelor's Degree,6,98865,React,New York,626,Finance,Full-time,1
126,64,Bachelor's Degree,9,38685,Angular,San Francisco,813,Retail,Part-time,1
127,42,Master's Degree,9,70584,SQL,San Francisco,891,Technology,Part-time,1
128,40,Bachelor's Degree,4,76475,Java,Los Angeles,564,Education,Contract,1
129,42,Master's Degree,7,36084,Python,New York,756,Technology,Part-time,1
130,58,Master's Degree,2,63606,SQL,New York,233,Healthcare,Part-time,0
131,46,High School Diploma,7,31916,React,New York,359,Finance,Full-time,1
132,39,High School Diploma,0,57528,SQL,Los Angeles,652,Retail,Part-time,0
133,48,Bachelor's Degree,6,44741,Angular,San Francisco,29,Technology,Contract,1
134,43,Bachelor's Degree,9,26382,SQL,Chicago,838,Technology,Part-time,1
135,55,High School Diploma,5,35947,C++,Chicago,32,Retail,Contract,1
136,52,Bachelor's Degree,6,58768,Angular,San Francisco,499,Education,Part-time,1
137,53,Bachelor's Degree,5,35168,Angular,Chicago,45,Retail,Part-time,1
138,25,Master's Degree,3,74436,Python,New York,431,Technology,Full-time,1
139,55,High School Diploma,0,42917,React,Chicago,467,Education,Contract,0
140,24,Bachelor's Degree,4,95079,Python,San Francisco,972,Healthcare,Full-time,1
141,60,High School Diploma,2,80039,Python,Chicago,648,Healthcare,Full-time,1
142,23,Master's Degree,7,95741,Data Analytics,San Francisco,934,Retail,Contract,1
143,39,Bachelor's Degree,2,54587,Java,San Francisco,617,Education,Full-time,0
144,63,Master's Degree,8,47523,Java,New York,259,Retail,Part-time,1
145,61,High School Diploma,3,70293,SQL,Chicago,935,Retail,Full-time,1
146,55,High School Diploma,3,43912,SQL,Boston,261,Finance,Part-time,1
147,61,Master's Degree,0,66798,C++,Los Angeles,938,Retail,Contract,0
148,59,High School Diploma,8,80358,Angular,San Francisco,718,Healthcare,Contract,1
149,43,Master's Degree,1,20660,React,Los Angeles,44,Retail,Full-time,0
150,55,High School Diploma,3,62264,React,Chicago,18,Healthcare,Full-time,1
151,58,Bachelor's Degree,0,71571,Angular,Los Angeles,789,Finance,Part-time,0
152,27,Bachelor's Degree,9,35913,Angular,Chicago,231,Retail,Full-time,1
153,42,Bachelor's Degree,0,61578,Java,New York,969,Healthcare,Full-time,1
154,42,Master's Degree,9,95968,Java,Boston,702,Healthcare,Contract,1
155,47,High School Diploma,4,44672,React,New York,625,Finance,Part-time,1
156,50,High School Diploma,6,66805,Python,New York,535,Retail,Full-time,1
157,36,Bachelor's Degree,1,77390,C++,Boston,644,Finance,Contract,0
158,21,Bachelor's Degree,4,86668,Python,Chicago,79,Technology,Full-time,1
159,20,Bachelor's Degree,4,32196,Python,New York,993,Education,Full-time,0
160,49,Master's Degree,1,28072,Java,San Francisco,437,Education,Full-time,0
161,51,Bachelor's Degree,9,23780,SQL,Chicago,401,Finance,Part-time,1
162,49,Bachelor's Degree,9,62508,Java,Chicago,909,Technology,Full-time,1
163,48,High School Diploma,5,85529,SQL,Boston,516,Retail,Contract,1
164,36,High School Diploma,6,29810,C++,Boston,353,Healthcare,Full-time,1
165,48,Bachelor's Degree,6,82425,Python,Chicago,780,Healthcare,Contract,1
166,19,Bachelor's Degree,4,90145,Java,Los Angeles,422,Education,Full-time,1
167,57,Master's Degree,7,73530,Angular,Chicago,993,Technology,Part-time,1
168,30,Bachelor's Degree,0,91575,Data Analytics,San Francisco,732,Technology,Part-time,1
169,45,Bachelor's Degree,2,24035,Angular,Los Angeles,605,Technology,Part-time,0
170,29,High School Diploma,5,65144,SQL,San Francisco,413,Retail,Part-time,1
171,33,Master's Degree,1,83091,React,Boston,116,Technology,Part-time,0
172,61,Bachelor's Degree,3,54137,Java,Boston,989,Healthcare,Contract,1
173,30,Master's Degree,8,45331,Java,San Francisco,960,Education,Full-time,1
174,47,Master's Degree,7,75848,Java,Chicago,646,Retail,Full-time,1
175,55,Master's Degree,3,49804,Angular,Boston,363,Finance,Part-time,1
176,44,Master's Degree,5,78171,C++,Los Angeles,938,Education,Contract,1
177,18,High School Diploma,0,79998,React,Boston,204,Finance,Part-time,0
178,30,Bachelor's Degree,0,92469,C++,Los Angeles,813,Retail,Contract,0
179,24,Bachelor's Degree,0,70456,C++,Boston,254,Finance,Contract,0
180,61,Bachelor's Degree,9,77586,Python,Chicago,250,Healthcare,Contract,1
181,43,High School Diploma,1,79959,SQL,New York,137,Education,Full-time,0
182,60,Master's Degree,9,90915,Angular,Chicago,924,Technology,Contract,1
183,24,Master's Degree,0,50083,Angular,New York,368,Healthcare,Full-time,0
184,64,Master's Degree,3,89215,React,Boston,714,Education,Full-time,1
185,25,High School Diploma,5,53135,Python,Boston,735,Education,Contract,1
186,47,Bachelor's Degree,5,45297,Python,New York,921,Healthcare,Full-time,1
187,30,Bachelor's Degree,1,84724,Python,New York,251,Finance,Part-time,1
188,33,Master's Degree,4,28860,Python,Chicago,396,Healthcare,Contract,1
189,54,Master's Degree,1,88476,Python,Chicago,512,Healthcare,Full-time,1
190,54,Master's Degree,9,49920,C++,Boston,420,Education,Full-time,1
191,54,High School Diploma,8,45424,Java,Boston,442,Finance,Part-time,1
192,26,High School Diploma,0,50814,Python,Chicago,823,Finance,Contract,0
193,35,Bachelor's Degree,9,20646,SQL,Los Angeles,490,Healthcare,Contract,1
194,50,Master's Degree,2,75434,C++,San Francisco,837,Education,Contract,0
195,38,Master's Degree,6,44991,SQL,San Francisco,764,Education,Full-time,1
196,39,Master's Degree,3,96387,C++,Los Angeles,337,Education,Full-time,1
197,29,Master's Degree,5,25644,React,Los Angeles,628,Technology,Part-time,1
198,43,High School Diploma,3,98061,Java,Chicago,30,Technology,Part-time,1
199,52,High School Diploma,8,85953,SQL,New York,375,Technology,Contract,1
200,60,Master's Degree,7,75530,Data Analytics,San Francisco,218,Technology,Part-time,1
201,29,Bachelor's Degree,3,93994,C++,Boston,371,Healthcare,Full-time,1
202,55,Bachelor's Degree,9,75365,C++,San Francisco,45,Retail,Part-time,1
203,51,Bachelor's Degree,9,44529,Data Analytics,San Francisco,190,Education,Contract,1
204,61,Bachelor's Degree,8,33459,Java,Boston,311,Education,Part-time,1
205,24,Bachelor's Degree,9,34735,SQL,New York,46,Retail,Full-time,0
206,41,Master's Degree,9,33827,SQL,Chicago,94,Retail,Full-time,1
207,49,Bachelor's Degree,7,63487,Java,Boston,683,Retail,Full-time,1
208,26,High School Diploma,2,93486,Python,Boston,391,Retail,Part-time,1
209,42,Bachelor's Degree,4,37454,Java,Chicago,390,Technology,Full-time,1
210,50,Bachelor's Degree,9,56937,Python,New York,814,Finance,Contract,1
211,39,Bachelor's Degree,4,54811,React,Boston,510,Retail,Contract,1
212,32,Master's Degree,7,42733,Angular,San Francisco,705,Retail,Contract,1
213,34,Master's Degree,9,87816,Python,San Francisco,582,Retail,Full-time,1
214,18,High School Diploma,7,54860,Java,Boston,275,Retail,Full-time,0
215,22,Master's Degree,2,41201,Python,Boston,859,Finance,Contract,0
216,51,Master's Degree,7,33087,SQL,San Francisco,282,Education,Full-time,1
217,60,High School Diploma,6,46905,Angular,Boston,41,Retail,Contract,1
218,48,Bachelor's Degree,3,44816,SQL,San Francisco,607,Retail,Contract,1
219,41,Master's Degree,8,39100,Python,Los Angeles,780,Healthcare,Full-time,1
220,46,Bachelor's Degree,3,48282,Angular,Los Angeles,115,Technology,Full-time,1
221,57,High School Diploma,4,85315,SQL,Boston,755,Technology,Contract,1
222,64,Bachelor's Degree,9,87509,Python,Chicago,494,Education,Contract,1
223,35,High School Diploma,7,97719,Angular,Chicago,586,Retail,Contract,1
224,29,High School Diploma,9,89754,Python,Los Angeles,224,Healthcare,Contract,1
225,62,Master's Degree,9,76106,Data Analytics,San Francisco,649,Finance,Part-time,1
226,41,Master's Degree,1,30867,React,Boston,276,Retail,Full-time,0
227,30,Bachelor's Degree,2,46528,Data Analytics,Los Angeles,599,Finance,Full-time,1
228,54,Bachelor's Degree,7,37670,Java,New York,455,Finance,Full-time,1
229,53,High School Diploma,7,49356,Java,San Francisco,457,Finance,Contract,1
230,44,Master's Degree,4,21147,Data Analytics,San Francisco,819,Technology,Contract,1
231,48,Master's Degree,0,72391,SQL,Chicago,749,Technology,Full-time,1
232,37,High School Diploma,8,42373,React,San Francisco,201,Finance,Contract,1
233,49,Bachelor's Degree,9,91193,Python,San Francisco,280,Education,Part-time,1
234,54,High School Diploma,0,30232,SQL,Chicago,968,Finance,Part-time,0
235,26,Master's Degree,3,96269,Angular,Chicago,535,Retail,Full-time,1
236,44,Master's Degree,2,33076,Data Analytics,Chicago,32,Healthcare,Full-time,0
237,37,High School Diploma,8,88040,SQL,New York,231,Technology,Full-time,1
238,64,Bachelor's Degree,7,73277,C++,New York,222,Technology,Full-time,1
239,56,Master's Degree,0,53899,Python,Chicago,77,Finance,Full-time,1
240,61,Bachelor's Degree,8,48721,Python,Chicago,770,Finance,Part-time,1
241,28,Bachelor's Degree,2,32301,Data Analytics,New York,988,Education,Full-time,0
242,46,Master's Degree,6,56741,React,Chicago,69,Retail,Part-time,1
243,22,Bachelor's Degree,1,43882,Data Analytics,Los Angeles,898,Technology,Full-time,1
244,20,High School Diploma,3,94428,Angular,Los Angeles,293,Healthcare,Full-time,0
245,22,Bachelor's Degree,7,50400,Data Analytics,San Francisco,658,Technology,Contract,0
246,62,Master's Degree,2,62712,Java,Chicago,194,Healthcare,Full-time,1
247,20,Bachelor's Degree,5,84313,Java,New York,440,Healthcare,Part-time,1
248,41,Master's Degree,6,88744,Angular,Boston,846,Healthcare,Full-time,1
249,50,Bachelor's Degree,7,28366,Angular,Boston,67,Retail,Full-time,1
250,25,Master's Degree,5,21686,React,Boston,236,Education,Full-time,1
251,49,High School Diploma,9,80770,Data Analytics,Chicago,688,Finance,Full-time,1
252,24,Bachelor's Degree,2,45750,Python,New York,739,Retail,Contract,0
253,42,High School Diploma,9,44976,C++,San Francisco,662,Retail,Contract,1
254,34,High School Diploma,8,25729,Data Analytics,San Francisco,94,Retail,Contract,1
255,35,Bachelor's Degree,3,82459,SQL,Chicago,465,Technology,Full-time,1
256,42,Master's Degree,7,48483,Angular,Chicago,857,Retail,Full-time,1
257,56,High School Diploma,2,55616,Java,Chicago,431,Technology,Contract,0
258,50,Master's Degree,9,61071,SQL,San Francisco,666,Healthcare,Part-time,1
259,18,High School Diploma,7,50107,SQL,Chicago,454,Education,Contract,0
260,44,Bachelor's Degree,0,89447,Java,Chicago,527,Retail,Full-time,1
261,26,High School Diploma,1,45873,Java,Chicago,98,Technology,Full-time,1
262,46,Master's Degree,0,42785,Angular,Los Angeles,651,Finance,Full-time,1
263,33,Master's Degree,5,35357,SQL,San Francisco,435,Finance,Part-time,1
264,42,Master's Degree,7,81710,SQL,Boston,243,Finance,Contract,1
265,59,High School Diploma,8,73064,C++,Los Angeles,283,Finance,Part-time,1
266,48,Master's Degree,3,30948,Python,Los Angeles,140,Technology,Part-time,1
267,42,Bachelor's Degree,3,26576,Data Analytics,New York,468,Finance,Contract,1
268,61,Master's Degree,1,67978,Data Analytics,San Francisco,154,Education,Full-time,1
269,47,High School Diploma,0,91627,React,New York,266,Retail,Part-time,0
270,34,Bachelor's Degree,0,85129,Java,Chicago,981,Healthcare,Contract,1
271,24,Master's Degree,5,55052,Java,Los Angeles,984,Technology,Full-time,1
272,63,Bachelor's Degree,0,25010,Java,Chicago,855,Technology,Contract,0
273,34,Master's Degree,1,60569,C++,New York,409,Technology,Contract,0
274,34,Bachelor's Degree,5,65405,Java,New York,200,Technology,Full-time,1
275,51,High School Diploma,6,50255,Java,New York,79,Healthcare,Contract,1
276,51,High School Diploma,5,84743,Angular,New York,73,Technology,Full-time,1
277,60,Master's Degree,1,91406,C++,New York,405,Technology,Part-time,0
278,27,High School Diploma,9,68042,Angular,Chicago,145,Healthcare,Part-time,1
279,58,Bachelor's Degree,4,43116,Python,Los Angeles,597,Technology,Full-time,1
280,33,High School Diploma,8,30511,Data Analytics,New York,470,Finance,Contract,1
281,52,Bachelor's Degree,9,42753,React,New York,284,Healthcare,Contract,1
282,18,High School Diploma,6,33617,C++,San Francisco,143,Retail,Part-time,0
283,40,Bachelor's Degree,9,31004,Angular,San Francisco,733,Retail,Full-time,1
284,32,Bachelor's Degree,7,71171,Python,Los Angeles,955,Technology,Contract,1
285,62,Master's Degree,2,32574,Angular,San Francisco,618,Technology,Part-time,0
286,30,Master's Degree,8,56953,Angular,Los Angeles,904,Education,Full-time,1
287,29,Master's Degree,9,47114,React,San Francisco,95,Technology,Full-time,1
288,23,High School Diploma,0,42909,Angular,Chicago,182,Technology,Part-time,0
289,27,Master's Degree,8,36957,Data Analytics,San Francisco,873,Retail,Contract,1
290,20,High School Diploma,3,70221,Python,Chicago,135,Healthcare,Full-time,1
291,26,Bachelor's Degree,4,81756,C++,San Francisco,816,Technology,Full-time,1
292,20,Master's Degree,7,82206,Angular,Boston,639,Finance,Full-time,1
293,28,High School Diploma,3,65224,Data Analytics,Los Angeles,56,Education,Part-time,1
294,27,High School Diploma,5,51279,C++,Boston,602,Education,Contract,1
295,30,High School Diploma,8,82732,Python,New York,811,Retail,Contract,1
296,50,Bachelor's Degree,0,43681,React,Chicago,669,Education,Full-time,0
297,56,High School Diploma,3,37467,React,Boston,604,Technology,Full-time,1
298,27,High School Diploma,0,61779,Data Analytics,New York,914,Healthcare,Full-time,1
299,58,High School Diploma,9,73566,Java,Boston,360,Technology,Part-time,1
300,24,Master's Degree,9,68003,Data Analytics,San Francisco,347,Finance,Full-time,1
301,21,High School Diploma,8,36941,Java,Los Angeles,566,Healthcare,Full-time,0
302,50,High School Diploma,9,87028,C++,San Francisco,640,Retail,Part-time,1
303,33,Bachelor's Degree,5,77660,SQL,New York,343,Retail,Full-time,1
304,55,Bachelor's Degree,8,37856,React,Boston,563,Retail,Full-time,1
305,22,High School Diploma,5,90032,C++,Los Angeles,466,Technology,Full-time,1
306,62,Bachelor's Degree,9,88578,Python,Los Angeles,534,Retail,Full-time,1
307,28,Bachelor's Degree,5,46063,Angular,Boston,716,Retail,Part-time,1
308,18,Master's Degree,1,46834,Java,Boston,635,Healthcare,Part-time,0
309,50,Master's Degree,8,34727,React,New York,519,Finance,Full-time,1
310,50,Bachelor's Degree,2,74409,Data Analytics,Boston,659,Education,Full-time,1
311,29,Bachelor's Degree,1,46739,SQL,Chicago,232,Retail,Part-time,0
312,47,High School Diploma,7,69083,Python,Chicago,445,Education,Part-time,1
313,21,Master's Degree,3,20287,C++,Los Angeles,112,Finance,Part-time,0
314,47,High School Diploma,4,73289,Data Analytics,Boston,565,Technology,Full-time,1
315,19,High School Diploma,6,92367,SQL,Chicago,363,Healthcare,Contract,0
316,48,Master's Degree,0,73318,SQL,New York,420,Healthcare,Full-time,0
317,33,Bachelor's Degree,9,61631,SQL,Chicago,786,Finance,Contract,1
318,55,Master's Degree,9,77987,Data Analytics,Chicago,361,Technology,Full-time,1
319,18,Bachelor's Degree,4,75391,Data Analytics,Los Angeles,653,Education,Contract,1
320,23,Bachelor's Degree,0,31289,Python,Los Angeles,208,Education,Contract,0
321,55,Master's Degree,9,87781,C++,Los Angeles,219,Technology,Part-time,1
322,33,High School Diploma,5,75991,Angular,Boston,382,Technology,Part-time,1
323,24,High School Diploma,6,25325,Java,New York,886,Finance,Contract,0
324,36,High School Diploma,3,49526,Python,Los Angeles,508,Technology,Full-time,1
325,48,High School Diploma,0,41797,Java,Boston,320,Retail,Full-time,0
326,45,Master's Degree,6,74957,SQL,Los Angeles,398,Finance,Contract,1
327,53,Bachelor's Degree,2,70520,SQL,Los Angeles,709,Finance,Full-time,1
328,37,Master's Degree,4,42943,Python,New York,261,Healthcare,Contract,1
329,58,Master's Degree,8,63292,Angular,Los Angeles,519,Finance,Part-time,1
330,53,Bachelor's Degree,7,66198,Python,New York,93,Healthcare,Full-time,1
331,49,Master's Degree,2,29860,Python,Los Angeles,660,Retail,Contract,0
332,61,High School Diploma,9,41680,Java,New York,800,Finance,Full-time,1
333,21,High School Diploma,3,57759,C++,Chicago,222,Healthcare,Part-time,0
334,56,High School Diploma,4,48989,Data Analytics,Los Angeles,152,Technology,Part-time,1
335,56,Bachelor's Degree,5,26709,Angular,New York,802,Healthcare,Full-time,1
336,32,Master's Degree,7,28372,Java,Chicago,663,Retail,Part-time,1
337,42,Bachelor's Degree,2,22148,SQL,New York,876,Healthcare,Contract,0
338,43,High School Diploma,7,48778,C++,New York,953,Healthcare,Full-time,1
339,32,Bachelor's Degree,4,23786,Data Analytics,New York,880,Healthcare,Contract,1
340,21,Master's Degree,7,58482,Python,San Francisco,996,Education,Full-time,0
341,46,Bachelor's Degree,8,37057,C++,Chicago,846,Finance,Full-time,1
342,31,Bachelor's Degree,8,27195,Data Analytics,Los Angeles,181,Retail,Part-time,1
343,37,Bachelor's Degree,3,33613,Python,Chicago,452,Technology,Full-time,1
344,24,Master's Degree,6,62516,SQL,Los Angeles,209,Finance,Contract,0
345,49,Master's Degree,3,74445,Data Analytics,Los Angeles,484,Finance,Full-time,1
346,24,Master's Degree,8,29029,Angular,New York,210,Finance,Full-time,1
347,22,Master's Degree,9,67310,React,New York,259,Finance,Full-time,1
348,20,Master's Degree,2,69566,Python,Los Angeles,356,Finance,Part-time,1
349,58,Master's Degree,0,86149,Java,Chicago,49,Education,Contract,1
350,19,Master's Degree,6,30050,React,Chicago,448,Healthcare,Full-time,0
351,53,Bachelor's Degree,9,63021,Data Analytics,San Francisco,597,Education,Part-time,1
352,34,Master's Degree,2,57257,Angular,Boston,665,Technology,Contract,0
353,20,Bachelor's Degree,6,86189,Python,Los Angeles,523,Finance,Contract,1
354,27,Bachelor's Degree,6,72004,SQL,New York,773,Finance,Part-time,1
355,64,Bachelor's Degree,3,32819,SQL,Chicago,909,Finance,Contract,1
356,46,Bachelor's Degree,2,37688,Data Analytics,Los Angeles,110,Retail,Part-time,0
357,37,Bachelor's Degree,8,38214,Java,Los Angeles,125,Finance,Part-time,1
358,35,Master's Degree,7,46089,Angular,Chicago,620,Education,Full-time,1
359,31,High School Diploma,6,69500,SQL,San Francisco,886,Healthcare,Contract,1
