,Age,Job_Experience,Salary_Expectation,Location,Relocation,Current_Job_Tenure,Job_Shift_In_Last_12_Months,Current_Job_Level,Employment_Status,Gender,Education,Current_Job_Description,Applicant_Background,Applicant_Referral,Applicant_Interest,Location_str,Employment_Status_str,label
104,50,1,50215,2,0,5,2,1,0,Male,Master's degree,Sales,Creative,Yes,Low,Other,Unemployed,0
105,40,16,23404,2,1,2,2,3,1,Female,High School,HR,Business,No,Low,Other,Part-time,0
106,41,17,57260,1,0,9,4,2,1,Female,High School,Marketing,Technical,Yes,High,US,Part-time,0
107,54,5,85642,2,0,2,1,1,1,Female,Master's degree,Sales,Scientific,No,High,Other,Part-time,0
108,52,18,66009,1,1,0,4,2,0,Male,High School,Marketing,Scientific,No,High,US,Unemployed,0
109,57,3,49605,1,0,4,3,4,2,Male,PhD,Sales,Creative,No,Low,US,Full-time,1
110,39,0,73205,2,1,3,0,1,2,Male,Bachelor's degree,Marketing,Scientific,No,Medium,Other,Full-time,0
111,44,7,57569,1,0,8,0,1,2,Male,Bachelor's degree,Finance,Scientific,No,High,US,Full-time,1
112,52,6,25580,3,0,8,2,3,0,Female,PhD,IT,Scientific,No,Medium,Other,Unemployed,0
113,18,2,25400,3,0,4,2,1,1,Female,Master's degree,IT,Creative,Yes,Low,Other,Part-time,1
114,52,9,59643,2,1,9,2,2,1,Female,High School,Finance,Scientific,Yes,High,Other,Part-time,0
115,54,9,59015,2,0,3,1,3,0,Female,PhD,Sales,Creative,No,High,Other,Unemployed,0
116,31,18,91713,1,1,6,3,4,0,Female,Bachelor's degree,HR,Business,No,Low,US,Unemployed,1
117,20,13,92805,1,0,5,3,2,2,Female,Bachelor's degree,Sales,Business,No,High,US,Full-time,1
118,18,1,34974,1,0,3,3,4,2,Female,PhD,IT,Scientific,Yes,Medium,US,Full-time,1
119,22,0,34037,1,1,9,3,4,0,Female,Bachelor's degree,HR,Business,No,Low,US,Unemployed,1
120,43,17,36167,3,1,1,2,4,2,Male,PhD,Marketing,Creative,No,Low,Other,Full-time,0
121,31,6,63148,3,1,0,0,1,1,Male,Bachelor's degree,HR,Business,No,High,Other,Part-time,1
122,56,7,92153,2,1,3,2,2,0,Female,PhD,Sales,Scientific,Yes,Low,Other,Unemployed,0
123,44,0,41534,1,1,3,3,2,0,Male,High School,Finance,Creative,No,High,US,Unemployed,0
124,26,2,76879,1,0,0,2,1,1,Female,High School,Marketing,Technical,Yes,High,US,Part-time,0
125,32,7,85839,2,0,5,3,3,1,Female,High School,Sales,Creative,Yes,Low,Other,Part-time,0
126,32,14,49756,1,1,3,4,4,1,Male,High School,Marketing,Business,No,High,US,Part-time,0
127,43,4,32683,1,0,0,0,2,2,Female,Bachelor's degree,HR,Technical,Yes,Medium,US,Full-time,1
128,59,2,69485,1,0,0,4,1,0,Female,Master's degree,IT,Creative,Yes,Medium,US,Unemployed,0
129,30,18,31025,1,0,0,1,4,2,Female,PhD,Sales,Technical,Yes,High,US,Full-time,1
130,49,0,38715,1,1,7,2,3,1,Female,Master's degree,Finance,Technical,No,Medium,US,Part-time,0
131,56,14,90097,2,0,9,1,3,2,Female,Bachelor's degree,HR,Technical,Yes,High,Other,Full-time,1
132,49,7,95705,1,0,7,2,4,1,Female,Bachelor's degree,Sales,Creative,No,Medium,US,Part-time,1
133,21,1,37116,2,0,1,4,3,2,Female,Master's degree,Finance,Business,No,Low,Other,Full-time,1
134,47,2,56744,1,1,6,3,2,2,Male,Master's degree,Sales,Creative,No,High,US,Full-time,1
135,54,13,22124,3,0,7,3,2,1,Male,Bachelor's degree,HR,Business,Yes,High,Other,Part-time,1
136,40,13,58051,3,0,7,2,2,2,Female,Bachelor's degree,Sales,Creative,No,High,Other,Full-time,1
137,56,10,27176,3,1,9,3,3,0,Male,PhD,Marketing,Creative,Yes,High,Other,Unemployed,0
138,32,15,84818,3,1,6,4,2,2,Female,High School,HR,Creative,Yes,High,Other,Full-time,0
139,46,3,38676,2,0,4,3,1,2,Female,High School,Sales,Business,Yes,High,Other,Full-time,0
140,53,19,65177,2,0,0,4,2,0,Female,PhD,IT,Creative,Yes,Low,Other,Unemployed,0
141,30,4,20997,1,1,8,1,2,1,Female,Master's degree,Sales,Technical,No,Low,US,Part-time,0
142,49,13,79330,3,1,6,4,3,0,Male,Bachelor's degree,Marketing,Creative,No,Medium,Other,Unemployed,1
143,24,15,63769,2,1,1,0,2,2,Male,Master's degree,Finance,Technical,Yes,High,Other,Full-time,0
144,39,17,98653,1,1,5,0,4,1,Male,High School,Finance,Scientific,No,Medium,US,Part-time,0
145,45,6,31231,1,1,1,0,1,2,Male,High School,Finance,Scientific,No,Medium,US,Full-time,1
146,19,9,92976,2,1,0,2,3,2,Female,Master's degree,IT,Business,No,Low,Other,Full-time,0
147,59,6,75965,3,1,6,2,1,0,Male,High School,Marketing,Business,Yes,Medium,Other,Unemployed,0
148,23,0,81517,1,0,1,2,4,0,Female,Bachelor's degree,HR,Scientific,No,Low,US,Unemployed,0
149,45,18,47387,3,1,1,4,3,1,Female,PhD,Finance,Creative,Yes,Medium,Other,Part-time,0
150,45,15,24090,3,1,4,2,3,1,Male,Master's degree,Marketing,Creative,No,High,Other,Part-time,0
151,37,18,44945,3,0,4,1,2,1,Female,Bachelor's degree,Sales,Creative,Yes,Medium,Other,Part-time,1
152,47,3,60239,1,1,6,0,1,2,Male,Bachelor's degree,IT,Scientific,Yes,Low,US,Full-time,1
153,28,17,23743,3,1,0,4,4,0,Male,High School,Marketing,Technical,Yes,Low,Other,Unemployed,1
154,45,1,50924,1,0,7,0,4,0,Male,Bachelor's degree,Marketing,Business,No,Low,US,Unemployed,0
155,42,0,30196,3,1,2,2,3,0,Male,Master's degree,HR,Technical,Yes,Medium,Other,Unemployed,0
156,56,14,88860,1,0,3,4,2,1,Male,Bachelor's degree,Marketing,Scientific,No,Medium,US,Part-time,1
157,50,4,61400,3,0,8,3,3,0,Female,PhD,HR,Technical,Yes,Low,Other,Unemployed,0
158,18,19,68795,2,0,3,1,3,0,Male,Bachelor's degree,IT,Creative,No,High,Other,Unemployed,1
159,44,10,71553,3,0,9,2,3,0,Male,Bachelor's degree,IT,Creative,Yes,High,Other,Unemployed,1
160,30,9,44111,3,1,4,2,3,1,Female,PhD,Sales,Technical,No,Medium,Other,Part-time,0
161,58,1,83083,1,0,6,1,4,0,Male,Bachelor's degree,HR,Scientific,Yes,Medium,US,Unemployed,0
162,20,2,81600,1,0,3,1,4,1,Male,Bachelor's degree,HR,Technical,Yes,Low,US,Part-time,0
163,56,11,70022,3,1,0,3,3,0,Female,High School,Finance,Creative,Yes,Medium,Other,Unemployed,0
164,23,19,23199,2,0,8,2,3,0,Female,Master's degree,Finance,Creative,No,Medium,Other,Unemployed,1
165,25,4,70897,2,0,3,2,2,0,Male,High School,Sales,Scientific,Yes,Low,Other,Unemployed,0
166,44,4,58038,1,0,8,0,3,1,Female,Master's degree,IT,Technical,Yes,Low,US,Part-time,0
167,26,5,75038,2,0,5,4,4,1,Male,PhD,Finance,Creative,Yes,Medium,Other,Part-time,0
168,54,8,27897,3,1,0,4,1,0,Female,PhD,Marketing,Creative,Yes,High,Other,Unemployed,0
169,50,1,84541,1,0,2,0,4,2,Male,PhD,IT,Technical,No,Medium,US,Full-time,1
170,59,11,34892,3,1,1,4,2,1,Male,Master's degree,Marketing,Technical,Yes,High,Other,Part-time,0
171,41,2,28271,1,1,8,1,4,1,Male,Master's degree,HR,Business,Yes,High,US,Part-time,0
172,32,19,44815,1,0,0,4,1,0,Female,Master's degree,IT,Scientific,No,High,US,Unemployed,0
173,49,11,65612,1,0,8,4,3,2,Male,PhD,Sales,Scientific,No,Low,US,Full-time,1
174,49,16,53357,1,0,8,0,1,0,Female,Master's degree,HR,Technical,No,Low,US,Unemployed,0
175,41,9,95088,2,0,7,3,3,1,Male,Bachelor's degree,HR,Scientific,Yes,Low,Other,Part-time,1
176,58,13,36267,3,1,7,4,3,1,Male,High School,Marketing,Creative,No,Medium,Other,Part-time,0
177,29,16,38268,3,1,0,4,4,0,Male,PhD,HR,Technical,No,Low,Other,Unemployed,1
178,56,17,34263,3,1,7,3,4,0,Male,High School,Finance,Technical,No,Low,Other,Unemployed,0
179,19,18,90935,1,0,9,0,4,2,Male,Bachelor's degree,IT,Technical,Yes,Medium,US,Full-time,1
180,20,16,79660,2,1,2,3,2,2,Female,Master's degree,Finance,Business,Yes,Medium,Other,Full-time,0
181,54,13,85527,3,0,6,0,4,1,Female,High School,Marketing,Scientific,Yes,High,Other,Part-time,0
182,34,8,83379,2,0,0,1,2,2,Female,Bachelor's degree,Marketing,Business,No,Medium,Other,Full-time,1
183,19,7,61271,1,0,0,0,4,2,Male,Bachelor's degree,IT,Creative,Yes,Medium,US,Full-time,1
184,19,1,86612,3,0,9,1,3,1,Male,High School,HR,Scientific,No,Low,Other,Part-time,0
185,45,12,27235,2,0,4,1,2,1,Female,PhD,Sales,Business,No,High,Other,Part-time,0
186,40,6,36417,1,1,4,0,1,1,Male,High School,Marketing,Technical,No,High,US,Part-time,0
187,54,8,54609,2,1,7,2,2,1,Male,PhD,IT,Business,Yes,Medium,Other,Part-time,0
188,49,10,53902,3,0,6,0,2,0,Male,Master's degree,Sales,Technical,No,Low,Other,Unemployed,0
189,50,13,43645,3,1,7,4,1,1,Female,PhD,HR,Business,No,Low,Other,Part-time,0
190,18,3,82873,1,0,5,4,2,1,Female,Master's degree,Marketing,Business,Yes,Low,US,Part-time,0
191,36,12,84558,1,0,5,2,3,1,Female,High School,IT,Business,No,Low,US,Part-time,0
192,19,1,82233,1,0,1,1,4,2,Female,Master's degree,IT,Technical,No,Medium,US,Full-time,1
193,43,4,43401,2,1,5,2,1,1,Female,Bachelor's degree,IT,Business,No,Low,Other,Part-time,0
194,49,10,27771,2,0,4,4,4,0,Male,Master's degree,Marketing,Scientific,Yes,High,Other,Unemployed,0
195,23,5,61335,2,0,2,2,3,0,Male,PhD,Sales,Scientific,No,High,Other,Unemployed,0
196,49,17,94451,1,1,5,0,1,1,Male,PhD,IT,Scientific,Yes,Medium,US,Part-time,0
197,21,9,99434,3,1,7,2,4,0,Male,PhD,HR,Technical,Yes,Low,Other,Unemployed,0
198,28,3,87449,3,1,8,1,4,2,Female,Master's degree,IT,Technical,No,Low,Other,Full-time,0
199,34,8,21942,2,0,0,0,3,1,Female,PhD,Sales,Scientific,No,Low,Other,Part-time,0
200,55,5,40388,2,0,2,3,4,0,Male,PhD,Marketing,Scientific,No,Low,Other,Unemployed,0
201,41,1,77042,3,1,2,4,3,0,Female,Bachelor's degree,IT,Scientific,No,Medium,Other,Unemployed,0
202,22,16,73740,3,0,7,4,2,1,Male,Master's degree,IT,Creative,Yes,Low,Other,Part-time,0
203,51,4,85873,2,1,0,2,3,0,Male,Bachelor's degree,HR,Scientific,Yes,Medium,Other,Unemployed,0
204,23,5,67024,2,1,4,0,2,1,Male,PhD,HR,Business,No,Low,Other,Part-time,0
205,39,11,43450,3,0,2,3,1,0,Male,PhD,IT,Creative,Yes,Low,Other,Unemployed,0
206,28,9,76965,1,0,1,0,4,2,Female,PhD,IT,Creative,No,High,US,Full-time,1
207,33,5,30057,2,1,7,4,3,0,Male,Master's degree,HR,Technical,No,Medium,Other,Unemployed,0
208,50,7,28983,3,1,2,0,3,0,Female,High School,Sales,Business,No,High,Other,Unemployed,0
209,26,1,39995,3,1,6,3,4,1,Male,PhD,Finance,Technical,No,Medium,Other,Part-time,1
210,23,11,97681,3,1,0,2,4,0,Male,PhD,Finance,Technical,Yes,Low,Other,Unemployed,0
211,33,12,58886,3,0,5,1,1,1,Male,PhD,IT,Business,Yes,Low,Other,Part-time,0
212,46,6,22673,1,1,2,0,1,2,Male,PhD,HR,Technical,No,Medium,US,Full-time,1
213,20,9,54890,3,1,7,1,3,1,Female,Master's degree,Marketing,Business,No,High,Other,Part-time,0
214,37,12,97513,2,1,5,4,1,1,Male,High School,Marketing,Business,Yes,Medium,Other,Part-time,0
215,53,16,43466,1,0,1,2,2,0,Female,High School,Finance,Technical,Yes,Medium,US,Unemployed,0
216,36,13,70406,3,0,5,2,1,2,Male,High School,Sales,Scientific,Yes,Low,Other,Full-time,0
217,43,1,23688,1,1,6,0,1,1,Male,PhD,Finance,Technical,No,High,US,Part-time,0
218,20,10,89284,2,0,4,2,3,0,Male,PhD,IT,Creative,Yes,Medium,Other,Unemployed,0
219,36,0,33665,3,0,2,0,2,0,Female,High School,Sales,Technical,No,High,Other,Unemployed,0
220,37,18,40641,2,0,3,0,1,1,Male,High School,Marketing,Business,No,High,Other,Part-time,0
221,49,3,52500,3,1,3,1,2,0,Male,PhD,HR,Creative,Yes,Medium,Other,Unemployed,0
222,24,18,55797,3,1,5,2,2,1,Male,PhD,HR,Business,No,High,Other,Part-time,0
223,58,10,65950,3,0,9,0,2,1,Male,Bachelor's degree,IT,Scientific,Yes,Low,Other,Part-time,1
224,50,7,45046,3,1,0,1,4,1,Male,Bachelor's degree,Finance,Scientific,No,Low,Other,Part-time,1
225,57,10,29638,3,1,3,3,4,2,Female,Bachelor's degree,IT,Creative,No,Low,Other,Full-time,1
226,56,3,41173,1,0,9,1,4,1,Female,High School,HR,Scientific,No,Low,US,Part-time,0
227,35,16,33222,3,0,3,1,4,0,Male,Master's degree,Marketing,Scientific,No,High,Other,Unemployed,0
228,57,6,70064,3,1,9,0,3,2,Male,PhD,HR,Technical,No,Low,Other,Full-time,0
229,18,7,57010,1,0,0,4,1,0,Female,Bachelor's degree,Sales,Technical,No,Medium,US,Unemployed,1
230,28,2,38095,1,1,8,4,4,2,Male,Master's degree,HR,Scientific,Yes,Low,US,Full-time,1
231,45,1,21439,1,1,3,4,3,2,Female,PhD,HR,Scientific,Yes,Medium,US,Full-time,1
232,42,14,25375,1,0,6,1,1,2,Male,Master's degree,Sales,Technical,No,Medium,US,Full-time,1
233,40,4,40600,1,1,2,0,4,2,Male,High School,Finance,Scientific,Yes,Low,US,Full-time,1
234,48,0,22466,1,1,9,2,1,0,Female,High School,HR,Scientific,No,Low,US,Unemployed,0
235,47,3,65097,3,0,2,1,4,1,Male,High School,IT,Business,Yes,High,Other,Part-time,0
236,59,14,73276,3,0,7,1,3,0,Female,Bachelor's degree,HR,Scientific,Yes,Medium,Other,Unemployed,1
237,52,19,70117,2,0,7,0,2,1,Female,PhD,IT,Creative,No,Low,Other,Part-time,0
238,24,18,66971,3,1,0,3,2,0,Female,High School,Sales,Business,Yes,High,Other,Unemployed,0
239,33,2,26928,3,0,9,1,1,2,Male,Bachelor's degree,HR,Creative,No,Low,Other,Full-time,0
240,43,19,75309,1,0,1,3,3,2,Female,Bachelor's degree,Sales,Scientific,Yes,Low,US,Full-time,1
241,19,10,94647,1,0,7,3,2,1,Female,Bachelor's degree,Sales,Technical,No,Low,US,Part-time,1
242,18,16,60888,3,0,0,4,4,1,Male,Bachelor's degree,Finance,Business,Yes,Medium,Other,Part-time,1
243,29,12,63832,2,1,7,0,2,0,Male,High School,HR,Technical,No,Low,Other,Unemployed,0
244,22,10,29404,1,1,7,3,1,1,Male,Bachelor's degree,IT,Business,Yes,High,US,Part-time,1
245,54,1,53639,3,0,1,0,1,0,Male,High School,IT,Technical,No,Low,Other,Unemployed,0
246,49,8,98118,3,1,3,4,3,1,Male,High School,HR,Business,Yes,Low,Other,Part-time,0
247,26,1,80598,2,0,5,0,1,1,Male,Bachelor's degree,Finance,Business,No,High,Other,Part-time,0
248,58,8,86399,2,0,8,1,2,1,Female,High School,Finance,Creative,Yes,High,Other,Part-time,0
249,52,8,47684,1,1,7,3,2,2,Male,PhD,Finance,Technical,No,Medium,US,Full-time,1
250,36,7,88591,2,1,7,0,2,2,Female,PhD,IT,Creative,Yes,Medium,Other,Full-time,0
251,33,16,97722,3,0,6,2,2,0,Male,Master's degree,Sales,Creative,No,Medium,Other,Unemployed,0
252,20,0,22682,3,0,8,0,3,1,Female,PhD,Finance,Technical,No,Medium,Other,Part-time,1
253,37,10,58046,2,1,1,3,4,0,Female,High School,IT,Business,No,High,Other,Unemployed,0
254,41,7,41832,2,0,2,4,4,1,Male,High School,IT,Creative,No,Low,Other,Part-time,0
255,50,9,36997,2,1,9,4,3,2,Male,PhD,Sales,Technical,Yes,Low,Other,Full-time,0
256,41,6,54640,2,0,7,3,1,2,Female,Bachelor's degree,HR,Business,Yes,Low,Other,Full-time,1
