,Monthly Usage,Number of Calls,Number of Text Messages,Data Usage,Bill Amount,Plan Type,Customer Tenure,Monthly Charges,Customer Satisfaction,label
107,108,108,108,108,63,Premium,108,3,2,0
108,109,109,109,109,29,Basic,109,4,2,1
109,110,110,110,110,48,Standard,110,3,1,0
110,111,111,111,111,83,Premium,111,2,3,0
111,112,112,112,112,28,Basic,112,0,3,0
112,113,113,113,113,77,Standard,113,0,4,0
113,114,114,114,114,12,Premium,114,2,4,0
114,115,115,115,115,92,Basic,115,0,4,0
115,116,116,116,116,83,Standard,116,3,2,0
116,117,117,117,117,47,Premium,117,2,3,0
117,118,118,118,118,19,Basic,118,4,1,1
118,119,119,119,119,27,Standard,119,4,4,0
119,120,120,120,120,19,Premium,120,1,4,0
120,121,121,121,121,44,Basic,121,4,1,1
121,122,122,122,122,21,Standard,122,0,2,0
122,123,123,123,123,72,Premium,123,1,1,0
123,124,124,124,124,43,Basic,124,3,1,1
124,125,125,125,125,69,Standard,125,4,1,0
125,126,126,126,126,14,Premium,126,4,4,0
126,127,127,127,127,32,Basic,127,0,2,0
127,128,128,128,128,27,Standard,128,3,3,0
128,129,129,129,129,60,Premium,129,0,3,0
129,130,130,130,130,44,Basic,130,1,4,0
130,131,131,131,131,41,Standard,131,4,2,0
131,132,132,132,132,54,Premium,132,4,3,0
132,133,133,133,133,82,Basic,133,4,2,1
133,134,134,134,134,68,Standard,134,3,3,0
134,135,135,135,135,86,Premium,135,4,2,0
135,136,136,136,136,75,Basic,136,3,4,1
136,137,137,137,137,41,Standard,137,4,2,0
137,138,138,138,138,18,Premium,138,3,3,0
138,139,139,139,139,95,Basic,139,0,1,0
139,140,140,140,140,83,Standard,140,3,4,0
140,141,141,141,141,57,Premium,141,4,4,0
141,142,142,142,142,35,Basic,142,4,2,1
142,143,143,143,143,97,Standard,143,2,2,0
143,144,144,144,144,48,Premium,144,3,2,0
144,145,145,145,145,34,Basic,145,4,4,1
145,146,146,146,146,43,Standard,146,2,2,0
146,147,147,147,147,10,Premium,147,3,4,0
147,148,148,148,148,63,Basic,148,4,1,1
148,149,149,149,149,84,Standard,149,4,2,0
149,150,150,150,150,41,Premium,150,1,1,0
150,151,151,151,151,30,Basic,151,2,2,0
151,152,152,152,152,82,Standard,152,4,3,0
152,153,153,153,153,23,Premium,153,2,2,0
153,154,154,154,154,61,Basic,154,0,4,0
154,155,155,155,155,36,Standard,155,4,2,0
155,156,156,156,156,63,Premium,156,2,3,0
156,157,157,157,157,36,Basic,157,2,3,0
157,158,158,158,158,40,Standard,158,0,2,0
158,159,159,159,159,91,Premium,159,4,2,0
159,160,160,160,160,11,Basic,160,4,1,1
160,161,161,161,161,57,Standard,161,0,3,0
161,162,162,162,162,84,Premium,162,2,2,0
162,163,163,163,163,85,Basic,163,4,2,1
163,164,164,164,164,79,Standard,164,1,3,0
164,165,165,165,165,29,Premium,165,1,1,0
165,166,166,166,166,95,Basic,166,1,1,0
166,167,167,167,167,45,Standard,167,3,3,0
167,168,168,168,168,57,Premium,168,4,1,0
168,169,169,169,169,22,Basic,169,4,4,1
169,170,170,170,170,84,Standard,170,3,3,0
170,171,171,171,171,77,Premium,171,1,4,0
171,172,172,172,172,40,Basic,172,0,4,0
172,173,173,173,173,70,Standard,173,1,2,0
173,174,174,174,174,19,Premium,174,3,1,0
174,175,175,175,175,96,Basic,175,3,4,1
175,176,176,176,176,35,Standard,176,3,2,0
176,177,177,177,177,38,Premium,177,0,4,0
177,178,178,178,178,36,Basic,178,1,2,0
178,179,179,179,179,18,Standard,179,1,1,0
179,180,180,180,180,89,Premium,180,3,2,0
180,181,181,181,181,14,Basic,181,0,4,0
181,182,182,182,182,80,Standard,182,1,3,0
182,183,183,183,183,59,Premium,183,4,2,0
183,184,184,184,184,37,Basic,184,1,2,0
184,185,185,185,185,72,Standard,185,2,1,0
185,186,186,186,186,65,Premium,186,4,1,0
186,187,187,187,187,88,Basic,187,1,1,0
187,188,188,188,188,11,Standard,188,2,4,0
188,189,189,189,189,87,Premium,189,3,4,0
189,190,190,190,190,31,Basic,190,3,2,1
190,191,191,191,191,76,Standard,191,3,4,0
191,192,192,192,192,95,Premium,192,3,3,0
192,193,193,193,193,78,Basic,193,1,4,0
193,194,194,194,194,27,Standard,194,3,4,0
194,195,195,195,195,89,Premium,195,3,1,0
195,196,196,196,196,33,Basic,196,2,2,0
196,197,197,197,197,67,Standard,197,1,4,0
197,198,198,198,198,33,Premium,198,0,1,0
198,199,199,199,199,91,Basic,199,1,3,0
199,200,200,200,200,36,Standard,200,2,3,0
200,201,201,201,201,86,Premium,201,0,1,1
201,202,202,202,202,58,Basic,202,4,1,1
202,203,203,203,203,42,Standard,203,3,2,0
203,204,204,204,204,22,Premium,204,0,4,0
204,205,205,205,205,43,Basic,205,0,1,0
205,206,206,206,206,38,Standard,206,4,1,0
206,207,207,207,207,86,Premium,207,4,2,1
207,208,208,208,208,91,Basic,208,0,2,1
208,209,209,209,209,64,Standard,209,3,4,1
209,210,210,210,210,73,Premium,210,3,2,1
210,211,211,211,211,11,Basic,211,0,2,0
211,212,212,212,212,48,Standard,212,4,1,0
212,213,213,213,213,80,Premium,213,1,3,1
213,214,214,214,214,71,Basic,214,4,2,1
214,215,215,215,215,20,Standard,215,3,3,0
215,216,216,216,216,32,Premium,216,4,1,0
216,217,217,217,217,82,Basic,217,2,4,1
217,218,218,218,218,68,Standard,218,1,2,1
218,219,219,219,219,64,Premium,219,4,2,1
219,220,220,220,220,77,Basic,220,4,3,1
220,221,221,221,221,69,Standard,221,1,2,1
221,222,222,222,222,27,Premium,222,1,2,0
222,223,223,223,223,74,Basic,223,4,4,1
223,224,224,224,224,33,Standard,224,2,3,0
224,225,225,225,225,22,Premium,225,0,2,0
225,226,226,226,226,59,Basic,226,1,2,1
226,227,227,227,227,83,Standard,227,2,3,1
227,228,228,228,228,11,Premium,228,4,4,0
228,229,229,229,229,85,Basic,229,2,2,1
229,230,230,230,230,30,Standard,230,3,3,0
230,231,231,231,231,46,Premium,231,1,2,0
231,232,232,232,232,72,Basic,232,3,2,1
232,233,233,233,233,29,Standard,233,2,1,0
233,234,234,234,234,72,Premium,234,1,3,1
234,235,235,235,235,61,Basic,235,0,1,1
235,236,236,236,236,86,Standard,236,1,1,1
236,237,237,237,237,21,Premium,237,0,3,0
237,238,238,238,238,73,Basic,238,1,4,1
238,239,239,239,239,76,Standard,239,2,3,1
239,240,240,240,240,19,Premium,240,0,4,0
240,241,241,241,241,44,Basic,241,2,4,0
241,242,242,242,242,96,Standard,242,1,1,1
242,243,243,243,243,95,Premium,243,4,3,1
243,244,244,244,244,83,Basic,244,4,2,1
244,245,245,245,245,55,Standard,245,3,3,1
245,246,246,246,246,44,Premium,246,3,3,0
246,247,247,247,247,70,Basic,247,3,1,1
247,248,248,248,248,20,Standard,248,1,3,0
248,249,249,249,249,52,Premium,249,3,2,1
249,250,250,250,250,68,Basic,250,4,3,1
250,251,251,251,251,90,Standard,251,2,2,1
251,252,252,252,252,57,Premium,252,4,3,1
252,253,253,253,253,39,Basic,253,2,4,0
253,254,254,254,254,13,Standard,254,4,2,0
254,255,255,255,255,68,Premium,255,1,2,1
255,256,256,256,256,51,Basic,256,1,1,1
256,257,257,257,257,58,Standard,257,1,2,1
257,258,258,258,258,80,Premium,258,3,2,1
258,259,259,259,259,61,Basic,259,0,1,1
259,260,260,260,260,96,Standard,260,2,3,1
260,261,261,261,261,32,Premium,261,0,3,0
261,262,262,262,262,23,Basic,262,4,2,1
262,263,263,263,263,36,Standard,263,3,3,0
263,264,264,264,264,99,Premium,264,1,3,1
264,265,265,265,265,34,Basic,265,4,3,1
265,266,266,266,266,47,Standard,266,1,1,0
266,267,267,267,267,71,Premium,267,2,1,1
267,268,268,268,268,26,Basic,268,0,4,0
268,269,269,269,269,66,Standard,269,1,2,1
269,270,270,270,270,13,Premium,270,4,3,0
270,271,271,271,271,41,Basic,271,1,3,0
271,272,272,272,272,61,Standard,272,2,1,1
272,273,273,273,273,71,Premium,273,1,2,1
273,274,274,274,274,30,Basic,274,4,2,1
274,275,275,275,275,94,Standard,275,0,3,1
275,276,276,276,276,46,Premium,276,4,4,0
276,277,277,277,277,37,Basic,277,3,2,1
277,278,278,278,278,65,Standard,278,0,4,1
278,279,279,279,279,76,Premium,279,4,4,1
279,280,280,280,280,83,Basic,280,1,1,1
280,281,281,281,281,72,Standard,281,4,3,1
281,282,282,282,282,98,Premium,282,4,3,1
282,283,283,283,283,32,Basic,283,4,1,1
283,284,284,284,284,50,Standard,284,0,3,0
284,285,285,285,285,69,Premium,285,3,2,1
285,286,286,286,286,44,Basic,286,2,4,0
286,287,287,287,287,41,Standard,287,0,1,0
287,288,288,288,288,36,Premium,288,0,4,0
288,289,289,289,289,88,Basic,289,4,4,1
289,290,290,290,290,39,Standard,290,3,4,0
290,291,291,291,291,96,Premium,291,1,2,1
291,292,292,292,292,24,Basic,292,4,1,1
292,293,293,293,293,65,Standard,293,3,3,1
293,294,294,294,294,52,Premium,294,0,2,1
294,295,295,295,295,80,Basic,295,0,4,1
295,296,296,296,296,77,Standard,296,0,2,1
296,297,297,297,297,98,Premium,297,3,4,1
297,298,298,298,298,58,Basic,298,4,2,1
298,299,299,299,299,51,Standard,299,4,1,1
299,300,300,300,300,62,Premium,300,4,1,1
300,301,301,301,301,33,Basic,301,4,2,1
301,302,302,302,302,27,Standard,302,4,3,0
302,303,303,303,303,41,Premium,303,4,4,0
303,304,304,304,304,16,Basic,304,0,2,0
304,305,305,305,305,36,Standard,305,3,4,0
305,306,306,306,306,90,Premium,306,0,2,1
306,307,307,307,307,20,Basic,307,3,3,1
307,308,308,308,308,43,Standard,308,1,1,0
308,309,309,309,309,52,Premium,309,3,4,1
309,310,310,310,310,26,Basic,310,4,4,1
310,311,311,311,311,63,Standard,311,2,2,1
311,312,312,312,312,80,Premium,312,4,1,1
312,313,313,313,313,71,Basic,313,0,3,1
313,314,314,314,314,72,Standard,314,1,4,1
314,315,315,315,315,36,Premium,315,1,4,0
315,316,316,316,316,83,Basic,316,0,3,1
316,317,317,317,317,46,Standard,317,2,1,0
317,318,318,318,318,16,Premium,318,2,3,0
318,319,319,319,319,36,Basic,319,1,4,0
319,320,320,320,320,33,Standard,320,4,2,0
320,321,321,321,321,20,Premium,321,3,2,0
321,322,322,322,322,57,Basic,322,0,3,1
322,323,323,323,323,25,Standard,323,1,3,0
323,324,324,324,324,48,Premium,324,1,1,0
324,325,325,325,325,76,Basic,325,4,4,1
325,326,326,326,326,62,Standard,326,4,1,1
326,327,327,327,327,66,Premium,327,3,3,1
327,328,328,328,328,79,Basic,328,4,4,1
328,329,329,329,329,81,Standard,329,4,2,1
329,330,330,330,330,79,Premium,330,4,3,1
330,331,331,331,331,60,Basic,331,4,4,1
331,332,332,332,332,29,Standard,332,0,4,0
332,333,333,333,333,73,Premium,333,3,1,1
333,334,334,334,334,31,Basic,334,3,4,1
334,335,335,335,335,91,Standard,335,3,3,1
335,336,336,336,336,89,Premium,336,0,4,1
336,337,337,337,337,96,Basic,337,1,3,1
337,338,338,338,338,55,Standard,338,0,3,1
338,339,339,339,339,15,Premium,339,4,3,0
339,340,340,340,340,18,Basic,340,0,2,0
340,341,341,341,341,86,Standard,341,0,1,1
341,342,342,342,342,88,Premium,342,0,2,1
342,343,343,343,343,37,Basic,343,0,2,0
343,344,344,344,344,81,Standard,344,4,2,1
344,345,345,345,345,46,Premium,345,3,3,0
345,346,346,346,346,97,Basic,346,1,2,1
346,347,347,347,347,73,Standard,347,3,3,1
347,348,348,348,348,86,Premium,348,1,2,1
348,349,349,349,349,71,Basic,349,3,1,1
349,350,350,350,350,55,Standard,350,1,4,1
350,351,351,351,351,14,Premium,351,2,4,0
351,352,352,352,352,82,Basic,352,0,1,1
352,353,353,353,353,62,Standard,353,2,3,1
353,354,354,354,354,44,Premium,354,4,2,0
354,355,355,355,355,84,Basic,355,1,4,1
355,356,356,356,356,35,Standard,356,3,3,0
356,357,357,357,357,91,Premium,357,1,4,1
357,358,358,358,358,23,Basic,358,1,1,0
358,359,359,359,359,55,Standard,359,1,3,1
359,360,360,360,360,97,Premium,360,2,1,1
360,361,361,361,361,65,Basic,361,1,4,1
361,362,362,362,362,84,Standard,362,1,2,1
362,363,363,363,363,66,Premium,363,4,2,1
363,364,364,364,364,36,Basic,364,0,4,0
364,365,365,365,365,91,Standard,365,1,4,1
365,366,366,366,366,58,Premium,366,2,3,1
366,367,367,367,367,61,Basic,367,3,1,1
367,368,368,368,368,21,Standard,368,1,4,0
368,369,369,369,369,44,Premium,369,3,2,0
369,370,370,370,370,12,Basic,370,0,4,0
370,371,371,371,371,74,Standard,371,2,4,1
371,372,372,372,372,25,Premium,372,0,1,0
372,373,373,373,373,98,Basic,373,3,2,1
373,374,374,374,374,14,Standard,374,0,1,0
374,375,375,375,375,42,Premium,375,0,2,0
375,376,376,376,376,88,Basic,376,0,4,1
376,377,377,377,377,65,Standard,377,2,2,1
377,378,378,378,378,15,Premium,378,3,1,0
378,379,379,379,379,77,Basic,379,4,1,1
379,380,380,380,380,40,Standard,380,1,2,0
380,381,381,381,381,63,Premium,381,4,4,1
381,382,382,382,382,44,Basic,382,2,4,0
382,383,383,383,383,84,Standard,383,1,2,1
383,384,384,384,384,27,Premium,384,3,2,0
384,385,385,385,385,82,Basic,385,3,4,1
385,386,386,386,386,21,Standard,386,4,1,0
386,387,387,387,387,56,Premium,387,2,1,1
387,388,388,388,388,15,Basic,388,2,1,0
388,389,389,389,389,21,Standard,389,3,2,0
389,390,390,390,390,42,Premium,390,2,3,0
390,391,391,391,391,55,Basic,391,1,2,1
391,392,392,392,392,83,Standard,392,3,1,1
392,393,393,393,393,16,Premium,393,3,4,0
393,394,394,394,394,45,Basic,394,0,2,0
394,395,395,395,395,55,Standard,395,1,2,1
395,396,396,396,396,11,Premium,396,0,4,0
396,397,397,397,397,91,Basic,397,4,4,1
397,398,398,398,398,79,Standard,398,0,1,1
398,399,399,399,399,18,Premium,399,4,1,0
399,400,400,400,400,48,Basic,400,0,2,0
400,401,401,401,401,82,Standard,401,4,3,1
401,402,402,402,402,11,Premium,402,2,4,0
402,403,403,403,403,38,Basic,403,1,3,0
403,404,404,404,404,25,Standard,404,4,2,0
404,405,405,405,405,93,Premium,405,3,3,1
405,406,406,406,406,68,Basic,406,2,1,1
406,407,407,407,407,71,Standard,407,2,1,1
407,408,408,408,408,94,Premium,408,2,1,1
408,409,409,409,409,62,Basic,409,4,1,1
409,410,410,410,410,75,Standard,410,1,2,1
410,411,411,411,411,63,Premium,411,2,1,1
411,412,412,412,412,14,Basic,412,1,1,0
412,413,413,413,413,70,Standard,413,2,3,1
413,414,414,414,414,60,Premium,414,3,1,1
414,415,415,415,415,76,Basic,415,0,1,1
415,416,416,416,416,68,Standard,416,4,4,1
416,417,417,417,417,60,Premium,417,1,4,1
417,418,418,418,418,44,Basic,418,0,4,0
418,419,419,419,419,77,Standard,419,4,3,1
419,420,420,420,420,22,Premium,420,3,1,0
420,421,421,421,421,42,Basic,421,1,2,0
421,422,422,422,422,77,Standard,422,2,4,1
422,423,423,423,423,26,Premium,423,3,4,0
423,424,424,424,424,39,Basic,424,3,4,1
424,425,425,425,425,27,Standard,425,4,4,0
425,426,426,426,426,33,Premium,426,2,1,0
426,427,427,427,427,89,Basic,427,3,4,1
427,428,428,428,428,60,Standard,428,1,2,1
428,429,429,429,429,50,Premium,429,1,1,0
429,430,430,430,430,87,Basic,430,2,3,1
430,431,431,431,431,82,Standard,431,2,4,1
431,432,432,432,432,39,Premium,432,3,2,0
432,433,433,433,433,43,Basic,433,1,3,0
433,434,434,434,434,85,Standard,434,4,4,1
434,435,435,435,435,22,Premium,435,1,3,0
435,436,436,436,436,94,Basic,436,1,2,1
436,437,437,437,437,51,Standard,437,3,3,1
437,438,438,438,438,57,Premium,438,0,1,1
438,439,439,439,439,33,Basic,439,2,4,0
439,440,440,440,440,77,Standard,440,2,2,1
440,441,441,441,441,51,Premium,441,3,3,1
441,442,442,442,442,60,Basic,442,3,2,1
442,443,443,443,443,54,Standard,443,3,1,1
443,444,444,444,444,92,Premium,444,1,4,1
444,445,445,445,445,48,Basic,445,2,4,0
445,446,446,446,446,50,Standard,446,1,3,0
446,447,447,447,447,12,Premium,447,0,4,0
447,448,448,448,448,56,Basic,448,3,1,1
448,449,449,449,449,62,Standard,449,0,3,1
449,450,450,450,450,93,Premium,450,2,2,1
450,451,451,451,451,71,Basic,451,4,3,1
451,452,452,452,452,95,Standard,452,4,1,1
452,453,453,453,453,69,Premium,453,3,2,1
453,454,454,454,454,20,Basic,454,0,3,0
454,455,455,455,455,21,Standard,455,1,4,0
455,456,456,456,456,57,Premium,456,3,1,1
456,457,457,457,457,83,Basic,457,2,4,1
457,458,458,458,458,84,Standard,458,2,2,1
458,459,459,459,459,67,Premium,459,1,2,1
459,460,460,460,460,41,Basic,460,4,4,1
460,461,461,461,461,49,Standard,461,0,1,0
461,462,462,462,462,46,Premium,462,1,4,0
462,463,463,463,463,86,Basic,463,1,3,1
463,464,464,464,464,42,Standard,464,0,1,0
464,465,465,465,465,13,Premium,465,3,4,0
465,466,466,466,466,57,Basic,466,2,4,1
466,467,467,467,467,12,Standard,467,3,2,0
467,468,468,468,468,67,Premium,468,4,3,1
468,469,469,469,469,49,Basic,469,2,1,0
469,470,470,470,470,13,Standard,470,1,3,0
470,471,471,471,471,79,Premium,471,4,4,1
471,472,472,472,472,17,Basic,472,2,1,0
472,473,473,473,473,94,Standard,473,1,4,1
473,474,474,474,474,28,Premium,474,1,3,0
474,475,475,475,475,37,Basic,475,2,4,0
475,476,476,476,476,78,Standard,476,3,3,1
476,477,477,477,477,98,Premium,477,0,1,1
477,478,478,478,478,65,Basic,478,4,1,1
478,479,479,479,479,89,Standard,479,4,2,1
479,480,480,480,480,14,Premium,480,2,1,0
480,481,481,481,481,75,Basic,481,1,2,1
481,482,482,482,482,51,Standard,482,1,1,1
482,483,483,483,483,10,Premium,483,4,2,0
483,484,484,484,484,27,Basic,484,0,4,0
484,485,485,485,485,53,Standard,485,4,3,1
485,486,486,486,486,69,Premium,486,4,4,1
486,487,487,487,487,99,Basic,487,4,3,1
487,488,488,488,488,37,Standard,488,0,2,0
488,489,489,489,489,71,Premium,489,4,2,1
489,490,490,490,490,38,Basic,490,1,2,0
490,491,491,491,491,15,Standard,491,3,2,0
491,492,492,492,492,83,Premium,492,3,1,1
492,493,493,493,493,85,Basic,493,4,4,1
493,494,494,494,494,58,Standard,494,0,1,1
494,495,495,495,495,29,Premium,495,1,4,0
495,496,496,496,496,36,Basic,496,3,4,1
496,497,497,497,497,75,Standard,497,1,1,1
497,498,498,498,498,76,Premium,498,2,4,1
498,499,499,499,499,47,Basic,499,1,2,0
499,500,500,500,500,81,Standard,500,4,2,1
500,501,501,501,501,81,Premium,501,2,3,1
501,502,502,502,502,49,Basic,502,3,1,1
502,503,503,503,503,88,Standard,503,2,4,1
503,504,504,504,504,59,Premium,504,0,2,1
504,505,505,505,505,14,Basic,505,1,2,0
505,506,506,506,506,77,Standard,506,3,3,1
506,507,507,507,507,32,Premium,507,3,3,0
507,508,508,508,508,45,Basic,508,0,4,0
508,509,509,509,509,69,Standard,509,1,2,1
509,510,510,510,510,11,Premium,510,4,1,0
510,511,511,511,511,59,Basic,511,3,4,1
511,512,512,512,512,13,Standard,512,2,3,0
512,513,513,513,513,18,Premium,513,0,3,0
513,514,514,514,514,33,Basic,514,0,1,0
514,515,515,515,515,34,Standard,515,3,1,0
515,516,516,516,516,29,Premium,516,2,2,0
516,517,517,517,517,42,Basic,517,2,4,0
517,518,518,518,518,96,Standard,518,0,4,1
518,519,519,519,519,33,Premium,519,0,1,0
519,520,520,520,520,57,Basic,520,1,3,1
520,521,521,521,521,66,Standard,521,2,1,1
521,522,522,522,522,36,Premium,522,4,2,0
522,523,523,523,523,81,Basic,523,0,3,1
523,524,524,524,524,52,Standard,524,1,3,1
524,525,525,525,525,84,Premium,525,2,1,1
525,526,526,526,526,84,Basic,526,2,1,1
526,527,527,527,527,20,Standard,527,4,3,0
527,528,528,528,528,15,Premium,528,0,4,0
528,529,529,529,529,95,Basic,529,1,2,1
529,530,530,530,530,81,Standard,530,4,1,1
530,531,531,531,531,20,Premium,531,1,3,0
531,532,532,532,532,84,Basic,532,4,2,1
532,533,533,533,533,14,Standard,533,1,4,0
533,534,534,534,534,42,Premium,534,1,1,0
534,535,535,535,535,73,Basic,535,3,2,1
535,536,536,536,536,25,Standard,536,4,3,0
536,537,537,537,537,65,Premium,537,4,3,1
537,538,538,538,538,31,Basic,538,4,1,1
538,539,539,539,539,68,Standard,539,0,2,1
539,540,540,540,540,36,Premium,540,0,2,0
540,541,541,541,541,46,Basic,541,4,4,1
541,542,542,542,542,71,Standard,542,0,2,1
542,543,543,543,543,36,Premium,543,4,2,0
543,544,544,544,544,24,Basic,544,2,2,0
544,545,545,545,545,33,Standard,545,0,2,0
545,546,546,546,546,34,Premium,546,0,4,0
546,547,547,547,547,64,Basic,547,3,1,1
547,548,548,548,548,17,Standard,548,3,2,0
548,549,549,549,549,47,Premium,549,0,1,0
549,550,550,550,550,74,Basic,550,3,1,1
550,551,551,551,551,82,Standard,551,0,3,1
551,552,552,552,552,65,Premium,552,3,3,1
552,553,553,553,553,99,Basic,553,0,4,1
553,554,554,554,554,44,Standard,554,1,3,0
554,555,555,555,555,18,Premium,555,4,3,0
555,556,556,556,556,48,Basic,556,0,3,0
556,557,557,557,557,76,Standard,557,3,3,1
557,558,558,558,558,36,Premium,558,3,2,0
558,559,559,559,559,65,Basic,559,1,4,1
559,560,560,560,560,13,Standard,560,2,4,0
560,561,561,561,561,31,Premium,561,3,2,0
561,562,562,562,562,25,Basic,562,3,4,1
562,563,563,563,563,16,Standard,563,0,1,0
563,564,564,564,564,53,Premium,564,1,1,1
564,565,565,565,565,79,Basic,565,2,2,1
565,566,566,566,566,45,Standard,566,2,1,0
566,567,567,567,567,60,Premium,567,4,4,1
567,568,568,568,568,32,Basic,568,3,3,1
568,569,569,569,569,40,Standard,569,1,2,0
569,570,570,570,570,65,Premium,570,1,2,1
570,571,571,571,571,88,Basic,571,0,3,1
571,572,572,572,572,64,Standard,572,3,2,1
572,573,573,573,573,24,Premium,573,1,2,0
573,574,574,574,574,35,Basic,574,0,2,0
574,575,575,575,575,28,Standard,575,4,1,0
575,576,576,576,576,36,Premium,576,0,1,0
576,577,577,577,577,29,Basic,577,0,2,0
