,ID,Age,Gender,Job Role,Years at Company,Work Hours per Week,Employer Wellness Programs,Mental Health Awareness Training,Job Satisfaction (1-5),Overall Wellbeing (1-5),label
30,31,29,Male,Sales Executive,11,32,Yes,Yes,4,5,1
31,32,43,Male,Project Manager,18,43,No,No,5,3,1
32,33,24,Male,Content Writer,19,45,No,No,2,1,1
33,34,53,Other,Sales Executive,5,48,No,No,3,4,0
34,35,29,Other,Software Engineer,5,60,Yes,No,4,5,1
35,36,35,Male,Software Engineer,5,50,No,No,3,3,0
36,37,38,Female,HR Manager,20,54,No,Yes,1,4,1
37,38,33,Female,Systems Administrator,11,31,Yes,No,5,4,1
38,39,41,Other,HR Manager,5,36,No,Yes,5,3,1
39,40,42,Male,HR Manager,7,51,No,Yes,4,3,0
40,41,26,Other,Data Analyst,20,59,No,Yes,2,5,1
41,42,35,Male,Project Manager,15,33,No,Yes,4,2,1
42,43,37,Female,Software Engineer,7,39,No,Yes,2,2,1
43,44,27,Female,Finance Officer,11,53,No,Yes,1,5,1
44,45,33,Male,Finance Officer,2,32,No,No,1,5,1
45,46,40,Other,Content Writer,20,50,Yes,No,3,1,0
46,47,40,Other,Finance Officer,1,32,No,No,4,1,0
47,48,54,Female,CEO,14,58,Yes,Yes,1,2,0
48,49,33,Female,Data Analyst,11,54,No,Yes,2,1,0
49,50,45,Female,Project Manager,6,31,Yes,No,1,1,1
50,51,36,Male,Data Analyst,15,40,Yes,No,1,1,1
51,52,30,Female,HR Manager,4,48,Yes,Yes,3,1,0
52,53,37,Male,Sales Executive,12,35,No,No,4,2,1
53,54,44,Female,Software Engineer,8,41,Yes,No,4,5,1
54,55,23,Female,Content Writer,11,30,Yes,Yes,3,4,1
55,56,38,Female,Sales Executive,19,41,Yes,No,5,4,1
56,57,49,Male,Software Engineer,17,41,Yes,Yes,4,4,1
57,58,59,Female,Content Writer,2,37,Yes,No,2,3,1
58,59,57,Male,Sales Executive,9,59,No,No,3,3,0
59,60,35,Male,Sales Executive,7,40,Yes,No,4,2,1
60,61,38,Other,Finance Officer,2,40,No,Yes,4,5,1
61,62,48,Male,Systems Administrator,5,32,Yes,No,5,3,1
62,63,31,Female,Project Manager,19,58,No,Yes,1,5,1
63,64,23,Other,Marketing Specialist,8,59,Yes,Yes,4,3,1
64,65,53,Male,HR Manager,15,59,No,Yes,2,1,0
65,66,24,Female,Software Engineer,16,56,Yes,Yes,4,5,1
66,67,49,Male,Content Writer,7,47,Yes,No,4,2,1
67,68,39,Female,Marketing Specialist,20,50,No,Yes,5,1,0
68,69,57,Other,Data Analyst,3,59,No,No,4,2,0
69,70,45,Male,Data Analyst,1,36,No,Yes,5,3,0
70,71,26,Female,Project Manager,4,51,No,Yes,4,1,0
71,72,46,Other,Software Engineer,8,40,No,Yes,5,2,1
72,73,42,Other,Content Writer,10,37,Yes,Yes,1,3,1
73,74,44,Other,CEO,9,41,No,Yes,4,2,1
74,75,46,Other,CEO,6,54,No,No,5,2,0
75,76,47,Female,Data Analyst,14,56,Yes,Yes,4,2,1
76,77,36,Male,Finance Officer,2,52,Yes,Yes,5,3,1
77,78,52,Female,Project Manager,20,47,No,No,2,2,0
78,79,46,Male,Sales Executive,15,53,No,Yes,3,2,0
79,80,41,Male,Data Analyst,20,32,No,No,1,3,1
80,81,23,Female,CEO,2,30,No,Yes,3,1,1
81,82,25,Female,Data Analyst,8,42,No,Yes,3,2,1
82,83,60,Male,Software Engineer,14,35,Yes,Yes,2,3,1
83,84,59,Male,Data Analyst,10,37,Yes,No,4,2,1
84,85,49,Other,Content Writer,11,53,Yes,No,3,3,0
85,86,25,Female,Marketing Specialist,8,30,Yes,No,2,5,1
86,87,28,Female,HR Manager,3,57,No,Yes,1,4,1
87,88,38,Male,Systems Administrator,2,50,No,Yes,3,1,0
88,89,32,Male,Marketing Specialist,8,43,No,No,2,3,1
89,90,44,Female,Systems Administrator,6,35,Yes,Yes,5,4,1
90,91,55,Male,Software Engineer,15,45,No,Yes,3,5,1
91,92,55,Other,CEO,17,31,Yes,No,1,3,1
92,93,51,Other,Data Analyst,13,57,Yes,Yes,2,5,1
93,94,30,Male,Software Engineer,5,60,Yes,No,4,2,1
94,95,31,Female,CEO,19,41,Yes,No,5,4,1
95,96,24,Female,Content Writer,13,58,Yes,Yes,2,5,1
96,97,51,Female,Data Analyst,14,59,No,No,4,5,0
97,98,22,Other,Finance Officer,6,46,Yes,Yes,4,1,1
98,99,53,Female,Content Writer,2,51,Yes,Yes,5,2,1
99,100,30,Male,Finance Officer,12,43,Yes,Yes,1,1,1
100,101,32,Other,Software Engineer,3,31,Yes,Yes,1,2,1
101,102,52,Female,Software Engineer,10,55,Yes,No,4,1,1
102,103,39,Other,Marketing Specialist,20,43,Yes,No,4,1,1
103,104,58,Male,Data Analyst,6,46,Yes,No,5,2,1
104,105,35,Male,Data Analyst,9,55,No,No,4,4,0
105,106,50,Female,Project Manager,14,32,Yes,Yes,2,5,1
106,107,53,Male,Finance Officer,9,30,Yes,No,3,1,1
107,108,39,Male,Project Manager,13,40,No,No,4,3,1
108,109,29,Male,Finance Officer,5,36,No,No,5,3,1
109,110,35,Male,Data Analyst,10,32,No,Yes,4,5,1
110,111,36,Female,Content Writer,17,41,Yes,Yes,5,1,1
111,112,22,Other,Project Manager,1,51,Yes,Yes,1,4,1
112,113,58,Male,Software Engineer,18,34,Yes,No,5,3,1
113,114,28,Female,Data Analyst,13,35,Yes,No,4,4,1
114,115,29,Other,Data Analyst,18,58,Yes,No,5,4,1
115,116,55,Other,HR Manager,17,60,Yes,Yes,2,4,1
116,117,49,Female,Data Analyst,17,53,Yes,No,3,4,0
117,118,39,Female,Marketing Specialist,6,35,No,No,2,3,1
118,119,43,Male,Systems Administrator,15,51,Yes,Yes,3,4,1
119,120,56,Other,Software Engineer,6,50,No,Yes,3,3,0
120,121,30,Male,Systems Administrator,14,54,No,No,4,4,0
121,122,35,Male,Finance Officer,7,45,No,Yes,2,3,1
122,123,23,Other,Project Manager,18,55,Yes,Yes,4,3,1
123,124,55,Other,Systems Administrator,7,31,No,No,3,1,1
124,125,43,Female,Project Manager,2,36,No,No,3,5,1
125,126,58,Female,Project Manager,7,42,No,Yes,1,1,1
126,127,31,Female,CEO,9,45,Yes,Yes,4,2,1
127,128,38,Male,Sales Executive,9,59,Yes,Yes,2,2,0
128,129,32,Male,Finance Officer,14,58,Yes,Yes,3,5,1
129,130,26,Male,CEO,7,38,No,Yes,3,4,1
130,131,47,Male,Sales Executive,5,57,No,Yes,1,2,0
131,132,36,Female,Finance Officer,16,60,Yes,Yes,4,5,1
132,133,28,Female,Project Manager,1,56,Yes,Yes,5,2,1
133,134,59,Male,Data Analyst,18,30,Yes,Yes,5,4,1
134,135,30,Male,CEO,6,36,No,No,5,4,1
135,136,25,Female,Data Analyst,12,60,No,No,5,4,0
136,137,27,Female,Sales Executive,10,34,No,Yes,1,4,1
137,138,50,Other,Systems Administrator,18,44,No,Yes,3,3,1
138,139,25,Female,Data Analyst,12,42,No,No,3,4,1
139,140,37,Female,Systems Administrator,19,58,No,No,3,2,0
140,141,46,Other,Software Engineer,4,58,No,Yes,1,3,0
141,142,28,Other,Finance Officer,17,39,No,Yes,2,1,1
142,143,24,Female,Finance Officer,17,56,No,Yes,3,2,0
143,144,44,Male,Systems Administrator,4,40,Yes,No,2,1,1
144,145,44,Female,CEO,17,58,Yes,Yes,5,4,1
145,146,51,Male,Software Engineer,15,33,No,No,2,3,1
146,147,41,Male,Project Manager,17,47,No,Yes,1,1,0
147,148,53,Other,Data Analyst,2,52,Yes,Yes,4,1,1
148,149,29,Male,Marketing Specialist,13,46,Yes,Yes,5,4,1
149,150,37,Female,Project Manager,20,55,No,Yes,4,3,0
150,151,41,Other,Finance Officer,3,56,Yes,No,1,2,0
151,152,51,Other,CEO,16,41,No,Yes,1,1,1
152,153,56,Male,Sales Executive,13,45,No,No,4,5,1
153,154,56,Other,Sales Executive,8,42,No,Yes,1,4,1
154,155,45,Other,Sales Executive,15,54,No,Yes,1,1,0
155,156,38,Male,Systems Administrator,1,36,Yes,No,1,1,0
156,157,27,Male,Marketing Specialist,13,57,Yes,Yes,4,1,1
157,158,52,Other,Finance Officer,14,33,Yes,Yes,1,3,1
158,159,39,Female,Content Writer,5,53,No,No,5,1,0
159,160,31,Other,Content Writer,1,46,No,Yes,2,3,0
160,161,31,Female,Software Engineer,17,58,No,No,1,3,0
161,162,49,Other,Software Engineer,18,41,No,Yes,4,2,1
162,163,55,Other,HR Manager,2,55,No,Yes,4,2,0
163,164,27,Female,CEO,3,40,No,No,5,2,1
164,165,31,Female,Project Manager,19,53,Yes,Yes,5,5,1
165,166,56,Male,Systems Administrator,4,39,Yes,Yes,2,1,1
166,167,34,Female,Finance Officer,3,53,Yes,No,1,5,0
167,168,49,Female,Systems Administrator,1,47,Yes,Yes,2,2,0
168,169,22,Female,Systems Administrator,4,59,No,No,1,3,0
169,170,39,Female,Project Manager,19,51,No,No,2,5,0
170,171,50,Female,Finance Officer,18,39,Yes,No,2,5,1
171,172,48,Male,CEO,17,31,No,Yes,1,2,1
172,173,32,Other,CEO,3,44,No,No,5,1,1
173,174,36,Other,Finance Officer,3,52,Yes,Yes,4,4,1
174,175,25,Female,Content Writer,3,36,Yes,No,1,1,1
175,176,59,Other,Sales Executive,5,45,No,Yes,5,4,1
176,177,47,Other,Software Engineer,13,52,No,No,4,5,0
177,178,32,Other,Finance Officer,7,51,No,Yes,4,2,0
178,179,56,Female,HR Manager,14,43,Yes,Yes,5,3,1
179,180,52,Male,Software Engineer,16,44,Yes,Yes,4,5,1
180,181,28,Other,Project Manager,12,56,Yes,Yes,1,3,0
181,182,26,Other,Marketing Specialist,11,32,No,Yes,5,1,1
182,183,47,Other,Sales Executive,13,47,No,No,2,1,0
183,184,29,Male,Content Writer,20,51,Yes,No,3,4,0
184,185,37,Other,Finance Officer,20,39,Yes,Yes,4,3,1
185,186,28,Other,Marketing Specialist,7,39,Yes,No,5,3,1
186,187,30,Male,Sales Executive,10,49,Yes,No,4,5,1
187,188,45,Male,Sales Executive,4,50,Yes,No,5,3,1
188,189,52,Other,Sales Executive,10,42,Yes,No,5,2,1
189,190,49,Male,CEO,4,50,No,No,3,2,0
190,191,55,Male,Systems Administrator,4,33,Yes,Yes,1,2,1
191,192,28,Other,Content Writer,3,60,Yes,Yes,4,1,1
192,193,32,Other,HR Manager,14,38,No,No,5,2,1
193,194,54,Other,Project Manager,16,46,Yes,Yes,4,4,1
194,195,43,Other,Project Manager,2,42,Yes,No,4,1,1
195,196,28,Male,Systems Administrator,7,36,No,No,4,4,1
196,197,60,Other,Software Engineer,13,46,Yes,No,2,4,0
197,198,37,Female,Software Engineer,2,46,Yes,Yes,2,2,0
198,199,44,Female,Finance Officer,18,59,Yes,No,5,2,1
199,200,41,Female,Systems Administrator,6,31,No,Yes,4,3,1
200,201,34,Male,Sales Executive,12,42,No,No,4,1,1
201,202,22,Other,Project Manager,7,57,Yes,Yes,3,3,0
202,203,47,Other,Systems Administrator,9,33,No,No,4,2,1
203,204,36,Male,Content Writer,13,42,Yes,Yes,3,5,1
204,205,50,Male,Marketing Specialist,19,43,No,No,1,5,1
205,206,48,Female,Finance Officer,18,33,No,No,5,5,1
206,207,53,Female,CEO,6,55,Yes,No,5,4,1
207,208,45,Other,Content Writer,2,42,No,Yes,4,1,1
208,209,27,Male,CEO,6,36,No,No,2,5,1
209,210,49,Female,Marketing Specialist,2,30,No,Yes,4,1,1
210,211,29,Female,Content Writer,15,45,Yes,Yes,2,2,1
211,212,35,Female,CEO,19,30,No,No,3,4,1
212,213,37,Female,Finance Officer,18,38,Yes,No,3,3,1
213,214,42,Female,Project Manager,11,44,Yes,Yes,3,5,1
214,215,38,Female,Systems Administrator,15,33,No,No,1,3,1
215,216,46,Other,Project Manager,12,40,No,No,2,5,1
216,217,38,Other,Marketing Specialist,5,54,No,No,3,2,0
217,218,24,Female,Data Analyst,1,53,Yes,No,4,2,1
218,219,58,Other,Data Analyst,14,46,Yes,Yes,3,5,1
219,220,33,Other,Finance Officer,11,54,Yes,Yes,1,3,0
220,221,60,Other,CEO,9,33,Yes,No,2,2,1
221,222,56,Other,Software Engineer,2,41,No,Yes,3,4,1
222,223,40,Male,Sales Executive,10,56,Yes,Yes,4,2,1
223,224,29,Female,Data Analyst,9,40,Yes,No,3,1,1
224,225,54,Other,HR Manager,10,46,No,Yes,3,5,1
225,226,24,Female,Data Analyst,4,47,No,No,1,2,0
226,227,59,Male,Sales Executive,12,56,No,Yes,3,1,0
227,228,37,Other,HR Manager,2,42,Yes,Yes,3,1,1
228,229,50,Male,Finance Officer,15,46,Yes,No,2,5,0
229,230,26,Male,Sales Executive,3,52,Yes,No,3,4,0
230,231,53,Male,Marketing Specialist,3,32,Yes,Yes,3,2,1
231,232,31,Female,Software Engineer,4,43,No,No,2,1,1
232,233,44,Female,Systems Administrator,1,33,Yes,Yes,5,5,1
233,234,60,Female,HR Manager,1,50,No,Yes,5,5,1
234,235,52,Other,Systems Administrator,1,36,No,No,4,1,0
235,236,40,Female,Sales Executive,10,31,No,Yes,3,3,1
236,237,52,Female,Project Manager,9,31,Yes,Yes,5,3,1
237,238,55,Other,Finance Officer,19,53,Yes,Yes,3,5,1
238,239,44,Male,Sales Executive,3,34,No,No,4,5,1
239,240,25,Other,Data Analyst,17,36,No,No,4,3,1
240,241,26,Female,Content Writer,10,34,No,No,4,4,1
241,242,23,Male,Systems Administrator,9,49,Yes,Yes,5,5,1
242,243,44,Other,Content Writer,12,30,Yes,Yes,4,4,1
243,244,43,Male,Data Analyst,18,51,No,Yes,4,3,0
244,245,46,Other,Systems Administrator,1,36,Yes,No,5,3,1
245,246,51,Male,CEO,16,45,Yes,Yes,3,2,1
246,247,59,Other,Marketing Specialist,17,59,No,Yes,3,1,0
247,248,42,Other,Sales Executive,6,48,No,Yes,4,5,1
248,249,48,Female,Systems Administrator,2,58,Yes,Yes,5,1,1
249,250,56,Male,Software Engineer,1,54,No,No,5,2,0
250,251,55,Male,Content Writer,14,51,No,No,2,1,0
251,252,37,Female,Software Engineer,10,50,Yes,Yes,1,1,0
252,253,54,Other,Project Manager,8,48,Yes,Yes,2,3,0
253,254,45,Female,Marketing Specialist,18,59,Yes,No,3,5,0
254,255,45,Male,Finance Officer,12,42,No,Yes,3,2,1
255,256,43,Other,Marketing Specialist,8,60,Yes,Yes,4,5,1
256,257,29,Female,Project Manager,9,47,No,No,1,4,0
257,258,31,Male,Systems Administrator,16,55,No,No,2,1,0
258,259,46,Female,Software Engineer,2,46,Yes,Yes,5,3,1
259,260,26,Male,Finance Officer,8,33,Yes,Yes,2,4,1
260,261,48,Female,Content Writer,9,60,Yes,No,4,1,1
261,262,40,Other,Content Writer,20,45,Yes,No,4,1,1
262,263,29,Female,Systems Administrator,7,58,Yes,No,3,3,0
263,264,44,Other,Sales Executive,1,55,Yes,Yes,1,2,0
264,265,34,Male,Finance Officer,1,57,No,No,4,5,0
265,266,33,Other,Finance Officer,20,60,Yes,Yes,2,2,0
266,267,45,Male,Project Manager,5,56,Yes,No,5,3,1
267,268,57,Male,Finance Officer,5,31,No,No,4,3,1
268,269,59,Female,Content Writer,3,36,No,No,1,1,1
269,270,45,Other,Finance Officer,8,42,Yes,Yes,1,1,1
270,271,24,Female,HR Manager,3,35,Yes,Yes,2,2,1
271,272,38,Male,CEO,14,49,Yes,Yes,4,1,1
272,273,53,Female,Systems Administrator,14,34,No,No,3,1,1
273,274,23,Male,HR Manager,11,50,Yes,Yes,3,2,0
274,275,50,Male,Sales Executive,4,42,Yes,Yes,2,5,1
275,276,46,Female,Content Writer,9,40,No,Yes,5,4,1
276,277,43,Male,Sales Executive,1,52,Yes,No,4,1,1
277,278,53,Female,Data Analyst,2,43,No,No,5,1,1
278,279,47,Female,HR Manager,11,44,Yes,Yes,5,2,1
279,280,34,Other,Marketing Specialist,2,58,No,No,5,3,0
280,281,49,Male,Content Writer,19,46,No,No,3,4,0
281,282,26,Female,HR Manager,2,32,Yes,Yes,4,3,1
282,283,59,Other,Sales Executive,6,59,No,Yes,3,1,0
283,284,24,Female,Systems Administrator,17,40,Yes,Yes,4,5,1
284,285,55,Other,Project Manager,19,48,No,No,1,2,0
285,286,58,Other,Systems Administrator,3,59,No,Yes,2,3,0
286,287,50,Male,Project Manager,3,35,Yes,No,3,2,1
287,288,41,Other,CEO,7,47,No,No,1,3,0
288,289,59,Female,Data Analyst,5,56,No,Yes,2,3,0
289,290,33,Female,HR Manager,12,43,Yes,No,1,1,1
290,291,23,Female,Software Engineer,12,56,Yes,No,3,2,0
291,292,60,Female,Sales Executive,13,32,No,Yes,1,5,1
292,293,47,Female,Finance Officer,8,60,No,Yes,1,4,1
293,294,27,Other,Sales Executive,18,56,Yes,No,4,2,1
294,295,37,Other,Project Manager,14,51,No,No,3,1,0
295,296,35,Male,Project Manager,9,51,Yes,No,5,4,1
296,297,56,Male,Sales Executive,20,33,Yes,No,2,4,1
297,298,60,Male,Data Analyst,2,46,Yes,No,2,1,0
298,299,58,Male,HR Manager,14,48,Yes,No,4,4,1
299,300,28,Other,Sales Executive,19,48,Yes,Yes,2,3,0
300,301,25,Other,Systems Administrator,16,34,Yes,Yes,2,3,1
301,302,58,Other,Systems Administrator,7,55,Yes,Yes,1,1,0
302,303,37,Male,Software Engineer,8,37,No,No,5,4,1
303,304,49,Other,Software Engineer,12,49,No,No,3,1,0
304,305,22,Male,Sales Executive,14,42,No,No,3,2,1
305,306,47,Other,Systems Administrator,17,43,Yes,Yes,1,1,1
306,307,46,Male,Finance Officer,13,59,Yes,No,5,5,1
307,308,54,Male,Project Manager,9,53,No,No,3,1,0
308,309,24,Female,Marketing Specialist,5,31,Yes,Yes,2,2,1
309,310,51,Other,HR Manager,10,44,Yes,No,2,4,1
310,311,44,Female,CEO,5,50,No,No,1,5,0
311,312,53,Female,Data Analyst,9,50,No,No,2,3,0
312,313,52,Other,Data Analyst,17,49,No,No,2,4,0
313,314,28,Female,Systems Administrator,6,46,No,Yes,4,3,0
314,315,36,Other,Sales Executive,1,51,Yes,Yes,4,4,1
315,316,35,Female,Finance Officer,5,35,Yes,No,2,2,1
316,317,26,Male,Finance Officer,15,36,No,No,2,2,1
317,318,46,Other,Project Manager,13,50,No,No,5,5,0
318,319,43,Other,CEO,3,37,Yes,Yes,3,4,1
319,320,32,Other,Sales Executive,18,35,Yes,No,5,4,1
320,321,51,Male,Data Analyst,11,37,No,No,2,3,1
321,322,59,Male,Systems Administrator,4,53,No,No,5,1,0
322,323,48,Female,Software Engineer,18,32,Yes,No,1,3,1
323,324,48,Other,Sales Executive,13,47,Yes,Yes,4,4,1
324,325,28,Other,Project Manager,18,58,Yes,Yes,3,3,0
325,326,48,Other,Marketing Specialist,1,54,Yes,No,1,1,0
326,327,25,Male,CEO,15,53,No,Yes,2,2,0
327,328,43,Male,Data Analyst,19,47,Yes,Yes,1,2,0
328,329,28,Female,Software Engineer,6,31,Yes,No,4,1,1
329,330,25,Male,Systems Administrator,15,54,Yes,Yes,4,1,1
330,331,34,Other,CEO,20,38,Yes,Yes,1,2,1
331,332,53,Female,Software Engineer,5,39,No,Yes,4,2,1
332,333,28,Other,Project Manager,13,30,No,Yes,4,1,1
333,334,22,Other,Finance Officer,7,58,Yes,Yes,5,2,1
334,335,35,Other,Content Writer,6,47,Yes,Yes,5,4,1
335,336,41,Female,Content Writer,1,49,Yes,No,2,5,0
336,337,58,Other,Content Writer,8,52,No,Yes,2,5,1
337,338,37,Female,Systems Administrator,8,50,No,Yes,4,1,0
338,339,26,Female,Data Analyst,14,52,Yes,Yes,5,3,1
339,340,28,Other,Marketing Specialist,6,53,No,Yes,3,4,1
340,341,40,Female,HR Manager,17,56,No,No,5,3,0
341,342,22,Other,Content Writer,4,31,Yes,Yes,2,1,1
342,343,22,Other,Content Writer,16,30,Yes,Yes,4,5,1
343,344,51,Female,Finance Officer,20,44,No,Yes,2,2,1
344,345,51,Male,Data Analyst,2,56,Yes,No,3,1,0
345,346,36,Male,Software Engineer,13,45,No,Yes,5,1,1
346,347,60,Other,Data Analyst,17,60,Yes,No,3,4,0
347,348,45,Other,CEO,9,38,Yes,No,3,4,1
348,349,56,Other,Content Writer,4,47,Yes,Yes,5,1,1
349,350,54,Other,Marketing Specialist,9,51,Yes,Yes,4,1,1
350,351,52,Male,Systems Administrator,11,49,Yes,Yes,3,5,1
351,352,34,Other,Project Manager,6,40,Yes,No,2,5,1
352,353,32,Female,Content Writer,1,30,No,Yes,2,1,0
353,354,48,Male,Software Engineer,10,31,No,Yes,5,3,1
354,355,50,Other,Software Engineer,2,35,Yes,Yes,2,2,1
355,356,27,Male,Data Analyst,13,34,Yes,Yes,4,1,1
356,357,45,Female,Data Analyst,3,59,No,No,3,2,0
357,358,51,Female,Sales Executive,18,49,No,No,5,1,0
358,359,57,Other,CEO,5,38,Yes,No,1,3,1
359,360,47,Male,Systems Administrator,7,49,Yes,Yes,3,4,1
360,361,24,Other,Data Analyst,20,34,Yes,Yes,4,2,1
361,362,25,Other,Finance Officer,7,56,No,No,5,5,0
362,363,33,Other,HR Manager,1,56,No,Yes,5,5,1
363,364,55,Other,CEO,16,57,Yes,Yes,2,5,1
364,365,44,Other,Project Manager,8,35,Yes,Yes,5,1,1
365,366,49,Male,Software Engineer,5,34,No,Yes,1,1,1
366,367,46,Female,Marketing Specialist,10,32,Yes,No,5,3,1
367,368,22,Female,Sales Executive,19,48,Yes,Yes,3,3,0
368,369,30,Male,CEO,13,60,Yes,No,1,4,0
369,370,27,Male,Data Analyst,9,53,Yes,Yes,1,3,0
370,371,24,Female,Project Manager,19,54,Yes,Yes,5,1,1
371,372,23,Male,Software Engineer,18,46,No,Yes,2,4,1
372,373,44,Female,Systems Administrator,11,32,No,Yes,1,4,1
373,374,57,Female,Content Writer,10,31,No,Yes,4,4,1
374,375,45,Male,HR Manager,2,60,No,Yes,1,2,0
375,376,42,Male,CEO,2,50,Yes,Yes,5,3,1
376,377,48,Female,CEO,12,36,Yes,Yes,1,4,1
377,378,41,Male,Finance Officer,9,41,No,Yes,4,2,1
378,379,47,Male,Systems Administrator,11,56,Yes,Yes,3,2,0
379,380,40,Male,Data Analyst,13,57,No,Yes,3,5,1
380,381,44,Other,Content Writer,16,34,Yes,Yes,5,5,1
381,382,51,Male,Systems Administrator,1,59,Yes,No,4,1,1
382,383,54,Male,Software Engineer,2,33,No,Yes,3,5,1
383,384,57,Female,Project Manager,1,58,Yes,Yes,3,2,0
384,385,60,Female,Project Manager,15,35,No,No,4,1,1
385,386,29,Male,Systems Administrator,14,44,No,Yes,1,3,1
386,387,49,Female,HR Manager,12,60,Yes,Yes,2,2,0
387,388,47,Male,Systems Administrator,2,57,Yes,Yes,4,2,1
388,389,27,Other,HR Manager,5,35,No,No,5,4,1
389,390,48,Female,Systems Administrator,14,50,No,Yes,1,4,1
390,391,60,Other,CEO,13,36,Yes,No,3,4,1
391,392,28,Female,Content Writer,5,40,No,Yes,4,5,1
392,393,54,Other,Project Manager,13,47,No,Yes,4,2,0
393,394,40,Other,HR Manager,13,53,No,Yes,1,5,1
394,395,23,Female,CEO,19,31,Yes,Yes,5,5,1
395,396,34,Other,HR Manager,5,42,No,Yes,1,4,1
396,397,51,Male,Content Writer,9,35,Yes,Yes,1,1,1
397,398,34,Other,Systems Administrator,11,50,No,Yes,3,3,0
398,399,38,Other,Project Manager,9,32,No,No,1,2,1
399,400,48,Other,Marketing Specialist,5,59,Yes,Yes,1,2,0
400,401,29,Female,Systems Administrator,11,36,Yes,Yes,1,5,1
401,402,57,Male,Finance Officer,17,30,No,Yes,1,3,1
402,403,51,Male,HR Manager,15,48,No,No,3,5,0
403,404,34,Male,CEO,9,50,Yes,No,1,5,0
404,405,35,Male,Project Manager,7,38,Yes,Yes,3,5,1
405,406,44,Other,Finance Officer,4,53,Yes,No,5,1,1
406,407,23,Female,Content Writer,3,38,No,Yes,3,5,1
407,408,27,Other,Systems Administrator,11,34,Yes,Yes,4,3,1
408,409,33,Male,Systems Administrator,20,45,Yes,Yes,5,2,1
409,410,23,Other,Marketing Specialist,7,44,No,No,4,3,1
410,411,40,Other,Project Manager,13,58,Yes,Yes,4,1,1
411,412,28,Female,CEO,16,41,Yes,Yes,3,2,1
412,413,34,Male,Content Writer,17,37,Yes,No,2,1,1
413,414,57,Female,CEO,1,58,Yes,Yes,1,3,0
414,415,51,Female,Systems Administrator,3,40,No,No,2,5,1
415,416,58,Female,Data Analyst,12,30,Yes,Yes,4,5,1
416,417,49,Female,Data Analyst,9,59,Yes,No,1,3,0
417,418,49,Other,Data Analyst,20,46,No,No,3,5,0
418,419,49,Other,Data Analyst,15,52,Yes,Yes,3,1,0
419,420,28,Other,HR Manager,8,52,Yes,No,2,1,0
420,421,55,Female,Data Analyst,19,39,Yes,Yes,2,5,1
421,422,33,Female,Content Writer,15,48,No,Yes,1,4,1
422,423,57,Other,Software Engineer,11,39,No,No,5,2,1
423,424,57,Other,Project Manager,12,49,Yes,Yes,1,3,0
424,425,24,Female,Marketing Specialist,16,49,Yes,Yes,4,4,1
425,426,34,Male,Marketing Specialist,20,46,No,No,5,3,0
426,427,23,Other,Systems Administrator,1,46,Yes,No,5,3,1
427,428,52,Other,Sales Executive,18,35,No,Yes,4,5,1
428,429,44,Other,Sales Executive,20,47,No,No,3,4,0
429,430,40,Female,HR Manager,16,57,No,Yes,4,5,1
430,431,27,Male,Content Writer,15,38,No,No,1,5,1
431,432,48,Female,Finance Officer,6,59,Yes,No,2,2,0
432,433,53,Female,Content Writer,12,42,No,No,3,3,1
