,Plate Thickness,Plate Width,Plate Length,Steel Grade,Manufacturing Date,Plate Weight,Processing Method,Plate Usage,Temperature,Humidity,Presence of Defects,label
29,19,2288,3401,JIS,2025-09-30,3283,Casting,Construction,23,74,0,1
30,16,2373,3442,JIS,2025-10-01,2413,Rolling,Construction,22,92,0,0
31,16,2064,3489,ISO,2025-10-02,3381,Casting,Construction,36,84,1,0
32,19,2145,3614,ISO,2025-10-03,3098,Forging,Construction,37,80,0,1
33,17,2223,3272,JIS,2025-10-04,3378,Rolling,Construction,37,76,0,0
34,17,2238,3525,ISO,2025-10-05,2909,Forging,Aerospace,36,82,1,0
35,16,2176,3158,JIS,2025-10-06,2187,Forging,Automotive,31,76,1,0
36,19,2266,3151,DIN,2025-10-07,3313,Forging,Construction,23,73,0,1
37,16,2340,3994,DIN,2025-10-08,2044,Casting,Aerospace,31,88,0,0
38,16,2281,3619,ISO,2025-10-09,2082,Forging,Construction,39,79,0,0
39,18,2062,3187,DIN,2025-10-10,3146,Forging,Automotive,34,89,0,0
40,18,2216,3812,DIN,2025-10-11,2357,Casting,Automotive,35,78,1,0
41,18,2341,3097,DIN,2025-10-12,3089,Forging,Construction,24,98,1,0
42,17,2314,3130,ISO,2025-10-13,2935,Rolling,Construction,34,72,0,0
43,19,2282,3804,JIS,2025-10-14,2374,Casting,Construction,36,77,0,0
44,19,2176,3170,JIS,2025-10-15,2161,Rolling,Construction,37,82,0,0
45,19,2460,3935,ISO,2025-10-16,3403,Forging,Automotive,24,92,1,1
46,19,2416,3985,ISO,2025-10-17,3381,Casting,Construction,32,98,0,1
47,18,2097,3182,ISO,2025-10-18,3211,Forging,Construction,38,99,0,0
48,17,2104,3982,DIN,2025-10-19,2321,Forging,Construction,32,77,0,0
49,17,2098,3363,DIN,2025-10-20,2449,Forging,Construction,37,68,0,0
50,18,2384,3038,DIN,2025-10-21,3497,Rolling,Construction,33,92,0,0
51,17,2404,3526,ISO,2025-10-22,3036,Casting,Construction,23,91,0,0
52,18,2495,3887,ISO,2025-10-23,2183,Rolling,Automotive,23,76,1,0
53,19,2310,3496,DIN,2025-10-24,2110,Rolling,Construction,39,78,1,0
54,18,2005,3515,DIN,2025-10-25,2507,Rolling,Construction,39,86,0,0
55,19,2475,3348,JIS,2025-10-26,3313,Forging,Automotive,38,65,0,1
56,19,2464,3981,ISO,2025-10-27,2294,Forging,Construction,32,94,0,0
57,16,2196,3920,DIN,2025-10-28,3474,Casting,Automotive,31,96,0,0
58,18,2350,3396,DIN,2025-10-29,2903,Rolling,Automotive,26,93,0,0
59,16,2132,3721,DIN,2025-10-30,3238,Rolling,Construction,31,79,1,0
60,18,2357,3160,JIS,2025-10-31,2973,Rolling,Construction,23,84,0,0
61,18,2258,3015,DIN,2025-11-01,2631,Rolling,Construction,21,63,0,0
62,16,2436,3492,JIS,2025-11-02,3050,Forging,Construction,21,69,1,0
63,16,2022,3425,ISO,2025-11-03,2732,Rolling,Construction,24,69,1,0
64,18,2484,3107,ISO,2025-11-04,3254,Rolling,Construction,29,83,0,0
65,17,2052,3893,JIS,2025-11-05,2320,Rolling,Construction,29,80,0,0
66,19,2164,3449,DIN,2025-11-06,2912,Rolling,Construction,28,70,0,0
67,16,2201,3310,ISO,2025-11-07,3256,Rolling,Automotive,32,86,0,0
68,19,2457,3738,ISO,2025-11-08,2436,Rolling,Construction,26,75,0,0
69,17,2082,3169,ISO,2025-11-09,2780,Forging,Construction,24,85,0,0
70,17,2144,3545,JIS,2025-11-10,3426,Casting,Construction,29,89,1,0
71,17,2084,3413,ISO,2025-11-11,3076,Forging,Automotive,29,75,0,0
72,16,2077,3250,ISO,2025-11-12,3336,Casting,Construction,25,66,0,0
73,17,2456,3758,ISO,2025-11-13,3304,Rolling,Automotive,38,75,0,0
74,16,2365,3780,ISO,2025-11-14,2725,Forging,Construction,27,94,0,0
75,17,2000,3140,ISO,2025-11-15,2030,Casting,Automotive,20,75,1,0
76,19,2050,3273,DIN,2025-11-16,2336,Rolling,Construction,36,99,0,0
77,19,2172,3415,ISO,2025-11-17,2182,Casting,Construction,26,71,0,0
78,18,2204,3607,JIS,2025-11-18,3046,Rolling,Construction,33,94,0,0
79,19,2259,3738,ISO,2025-11-19,2543,Rolling,Construction,36,80,0,0
80,18,2445,3890,DIN,2025-11-20,3469,Rolling,Construction,28,95,0,0
81,19,2448,3038,JIS,2025-11-21,3097,Forging,Construction,36,76,0,1
82,16,2368,3813,DIN,2025-11-22,3033,Forging,Automotive,24,91,0,0
83,19,2487,3028,DIN,2025-11-23,3479,Forging,Aerospace,39,65,0,1
84,18,2287,3957,ISO,2025-11-24,2659,Rolling,Construction,27,83,0,0
85,18,2033,3476,ISO,2025-11-25,2159,Rolling,Construction,25,86,1,0
86,17,2347,3317,DIN,2025-11-26,3037,Rolling,Construction,30,79,1,0
87,16,2094,3244,JIS,2025-11-27,3201,Rolling,Automotive,38,84,0,0
88,19,2071,3747,DIN,2025-11-28,2411,Casting,Construction,23,61,0,0
89,17,2038,3696,DIN,2025-11-29,3011,Rolling,Aerospace,37,68,0,0
90,19,2153,3271,JIS,2025-11-30,2052,Casting,Construction,20,87,0,0
91,19,2249,3439,DIN,2025-12-01,2407,Casting,Construction,32,97,0,0
92,17,2161,3747,ISO,2025-12-02,2846,Rolling,Automotive,33,62,1,0
93,17,2437,3238,DIN,2025-12-03,3045,Forging,Automotive,20,79,1,0
94,17,2117,3376,JIS,2025-12-04,3053,Rolling,Construction,30,65,0,0
95,17,2258,3265,ISO,2025-12-05,2702,Rolling,Construction,36,98,0,0
96,17,2378,3925,DIN,2025-12-06,2259,Rolling,Aerospace,23,92,1,0
97,19,2305,3920,ISO,2025-12-07,3228,Forging,Construction,31,60,1,1
98,17,2267,3358,DIN,2025-12-08,3082,Rolling,Automotive,29,96,0,0
99,16,2448,3339,ISO,2025-12-09,3494,Forging,Construction,25,65,0,0
100,18,2053,3388,DIN,2025-12-10,2775,Forging,Automotive,20,93,0,0
101,17,2235,3576,JIS,2025-12-11,3489,Rolling,Automotive,26,74,0,0
102,17,2388,3989,ISO,2025-12-12,3035,Forging,Construction,35,85,0,0
103,19,2477,3688,DIN,2025-12-13,3313,Forging,Automotive,33,73,0,1
104,17,2221,3002,JIS,2025-12-14,2849,Rolling,Construction,39,66,0,0
105,17,2250,3428,JIS,2025-12-15,2353,Rolling,Construction,39,90,0,0
106,17,2312,3141,ISO,2025-12-16,3098,Forging,Construction,25,83,0,0
107,19,2400,3375,ISO,2025-12-17,2872,Rolling,Construction,24,90,0,0
108,17,2111,3669,ISO,2025-12-18,3464,Forging,Automotive,37,88,1,0
109,18,2254,3323,JIS,2025-12-19,2990,Rolling,Construction,34,91,1,0
110,19,2302,3145,JIS,2025-12-20,3264,Rolling,Construction,25,76,0,1
111,18,2406,3957,DIN,2025-12-21,3017,Rolling,Construction,38,73,0,0
112,19,2206,3292,JIS,2025-12-22,3177,Rolling,Construction,20,99,1,1
113,17,2228,3664,DIN,2025-12-23,3119,Forging,Construction,20,95,0,0
114,18,2340,3431,DIN,2025-12-24,2293,Rolling,Automotive,32,83,0,0
115,19,2397,3704,ISO,2025-12-25,2208,Forging,Aerospace,22,86,0,0
116,16,2065,3948,JIS,2025-12-26,3366,Casting,Automotive,29,84,0,0
117,17,2074,3974,ISO,2025-12-27,3111,Forging,Construction,22,91,0,0
118,19,2434,3584,JIS,2025-12-28,2817,Forging,Construction,28,77,1,0
119,16,2102,3398,JIS,2025-12-29,2389,Rolling,Construction,27,77,0,0
120,19,2421,3816,JIS,2025-12-30,2324,Rolling,Construction,22,96,0,0
121,16,2191,3888,ISO,2025-12-31,2939,Forging,Construction,32,85,1,0
122,17,2251,3343,ISO,2026-01-01,2888,Rolling,Construction,25,68,0,0
123,18,2225,3963,ISO,2026-01-02,3180,Forging,Construction,32,94,0,0
124,16,2293,3139,ISO,2026-01-03,2667,Rolling,Aerospace,39,67,0,0
125,19,2305,3186,ISO,2026-01-04,2632,Forging,Construction,39,79,0,0
126,17,2097,3804,JIS,2026-01-05,2576,Casting,Construction,31,81,0,0
127,16,2337,3060,DIN,2026-01-06,2136,Casting,Construction,32,78,0,0
128,19,2285,3996,ISO,2026-01-07,2427,Forging,Construction,21,89,0,0
129,19,2334,3938,ISO,2026-01-08,3475,Forging,Automotive,35,87,0,1
130,19,2346,3379,DIN,2026-01-09,2611,Forging,Construction,25,94,0,0
131,16,2434,3709,DIN,2026-01-10,2910,Forging,Construction,38,70,0,0
132,16,2446,3806,DIN,2026-01-11,2818,Rolling,Construction,32,90,0,0
133,16,2481,3439,JIS,2026-01-12,2140,Rolling,Construction,36,98,0,0
134,18,2307,3318,DIN,2026-01-13,3106,Rolling,Construction,28,95,0,0
135,16,2248,3301,JIS,2026-01-14,2176,Casting,Automotive,36,89,1,0
136,16,2165,3343,JIS,2026-01-15,2197,Rolling,Automotive,21,82,0,0
137,16,2480,3010,ISO,2026-01-16,2623,Forging,Automotive,38,78,0,0
138,18,2471,3061,JIS,2026-01-17,2690,Forging,Construction,38,71,0,0
139,16,2334,3844,ISO,2026-01-18,3444,Forging,Automotive,26,74,0,0
140,19,2029,3225,JIS,2026-01-19,2400,Forging,Construction,29,90,0,0
141,16,2246,3152,ISO,2026-01-20,2470,Rolling,Construction,29,96,1,0
142,19,2105,3710,JIS,2026-01-21,2217,Forging,Automotive,39,96,1,0
143,19,2050,3563,JIS,2026-01-22,2928,Casting,Construction,28,74,0,0
144,19,2080,3771,JIS,2026-01-23,2631,Rolling,Construction,36,88,0,0
145,18,2132,3570,JIS,2026-01-24,2950,Rolling,Automotive,34,85,0,0
146,18,2284,3583,ISO,2026-01-25,2905,Forging,Construction,21,61,0,0
147,18,2387,3659,ISO,2026-01-26,2174,Casting,Construction,23,79,0,0
148,16,2137,3860,DIN,2026-01-27,2022,Rolling,Construction,38,74,0,0
149,19,2183,3574,ISO,2026-01-28,2234,Forging,Automotive,36,63,1,0
150,18,2400,3309,DIN,2026-01-29,3036,Casting,Aerospace,24,81,0,0
151,18,2329,3884,ISO,2026-01-30,3124,Rolling,Automotive,26,97,0,0
152,16,2272,3242,JIS,2026-01-31,2928,Casting,Construction,37,82,0,0
153,18,2339,3492,DIN,2026-02-01,2522,Forging,Construction,26,85,0,0
154,16,2471,3365,JIS,2026-02-02,3475,Forging,Construction,36,70,0,0
155,17,2068,3329,ISO,2026-02-03,2430,Forging,Construction,26,87,1,0
156,18,2033,3106,JIS,2026-02-04,2792,Rolling,Construction,23,61,0,0
157,17,2261,3225,JIS,2026-02-05,2532,Rolling,Construction,27,67,0,0
158,16,2052,3824,DIN,2026-02-06,2978,Rolling,Construction,32,88,0,0
159,19,2449,3217,DIN,2026-02-07,3316,Rolling,Aerospace,23,70,0,1
160,18,2204,3936,JIS,2026-02-08,2809,Rolling,Construction,25,96,1,0
161,16,2125,3752,ISO,2026-02-09,2912,Casting,Construction,24,77,0,0
162,19,2234,3505,DIN,2026-02-10,3124,Casting,Construction,31,73,0,1
163,19,2042,3258,ISO,2026-02-11,3327,Forging,Aerospace,23,69,1,1
164,17,2239,3887,ISO,2026-02-12,2870,Casting,Automotive,28,94,0,0
165,16,2458,3773,ISO,2026-02-13,2539,Forging,Automotive,23,68,0,0
166,19,2370,3516,ISO,2026-02-14,3023,Rolling,Aerospace,38,94,0,1
167,18,2110,3772,ISO,2026-02-15,3378,Rolling,Construction,33,70,1,0
168,18,2248,3053,ISO,2026-02-16,3326,Forging,Construction,24,71,0,0
169,17,2150,3046,JIS,2026-02-17,2226,Forging,Construction,37,62,0,0
170,19,2182,3726,DIN,2026-02-18,3259,Rolling,Construction,29,98,0,1
171,16,2335,3688,JIS,2026-02-19,2872,Forging,Construction,38,73,0,0
172,18,2094,3520,DIN,2026-02-20,2891,Rolling,Construction,31,87,0,0
173,19,2458,3098,ISO,2026-02-21,3478,Forging,Aerospace,37,70,0,1
174,19,2373,3019,DIN,2026-02-22,3036,Casting,Aerospace,36,98,0,1
175,17,2399,3889,DIN,2026-02-23,2209,Forging,Automotive,30,84,0,0
176,18,2007,3752,ISO,2026-02-24,2740,Casting,Automotive,22,80,0,0
177,18,2387,3572,DIN,2026-02-25,2396,Casting,Automotive,36,69,0,0
178,16,2359,3890,ISO,2026-02-26,3123,Casting,Construction,20,74,1,0
179,18,2387,3489,DIN,2026-02-27,2030,Casting,Construction,34,78,0,0
180,16,2183,3418,DIN,2026-02-28,2897,Casting,Automotive,28,81,0,0
181,18,2280,3689,ISO,2026-03-01,2648,Forging,Automotive,34,80,0,0
182,17,2194,3849,ISO,2026-03-02,2328,Rolling,Construction,22,91,0,0
183,18,2351,3061,JIS,2026-03-03,3189,Rolling,Aerospace,38,82,1,0
184,16,2194,3144,DIN,2026-03-04,3482,Forging,Construction,32,72,1,0
185,16,2154,3215,ISO,2026-03-05,2951,Rolling,Construction,31,64,1,0
186,17,2092,3002,JIS,2026-03-06,3123,Rolling,Automotive,39,63,0,0
187,18,2159,3159,ISO,2026-03-07,2620,Casting,Construction,20,87,0,0
188,18,2433,3738,DIN,2026-03-08,3196,Casting,Construction,36,73,0,0
189,17,2060,3997,JIS,2026-03-09,2161,Casting,Construction,32,67,0,0
190,18,2121,3780,ISO,2026-03-10,2775,Rolling,Automotive,20,68,0,0
191,18,2050,3119,ISO,2026-03-11,3286,Rolling,Construction,29,94,1,0
192,16,2402,3892,ISO,2026-03-12,2273,Rolling,Automotive,34,96,0,0
193,18,2276,3088,ISO,2026-03-13,3026,Rolling,Construction,26,80,0,0
194,18,2004,3328,ISO,2026-03-14,3051,Rolling,Construction,37,77,0,0
195,17,2465,3579,DIN,2026-03-15,2325,Rolling,Aerospace,35,92,1,0
196,17,2091,3909,ISO,2026-03-16,2939,Casting,Construction,33,67,0,0
197,19,2169,3356,DIN,2026-03-17,3172,Forging,Aerospace,37,76,0,1
198,16,2316,3609,JIS,2026-03-18,2539,Rolling,Construction,26,90,1,0
199,18,2021,3266,JIS,2026-03-19,2487,Rolling,Aerospace,36,93,0,0
200,18,2404,3616,DIN,2026-03-20,2821,Forging,Construction,37,65,0,0
201,19,2325,3951,ISO,2026-03-21,3461,Rolling,Construction,31,81,0,1
202,18,2000,3322,DIN,2026-03-22,3088,Casting,Construction,27,73,0,0
203,16,2132,3634,DIN,2026-03-23,2355,Rolling,Construction,21,62,1,0
204,19,2232,3987,DIN,2026-03-24,3275,Rolling,Automotive,26,71,0,1
205,16,2011,3540,ISO,2026-03-25,2234,Rolling,Construction,23,95,0,0
206,19,2345,3648,JIS,2026-03-26,2226,Rolling,Construction,37,71,0,0
207,19,2045,3194,DIN,2026-03-27,3336,Forging,Construction,25,61,0,1
208,17,2033,3920,ISO,2026-03-28,2048,Forging,Construction,28,61,0,0
209,16,2432,3737,ISO,2026-03-29,2117,Forging,Automotive,28,74,0,0
210,18,2077,3331,DIN,2026-03-30,2053,Rolling,Construction,33,82,0,0
211,18,2217,3169,JIS,2026-03-31,2564,Forging,Automotive,27,88,0,0
212,16,2300,3520,JIS,2026-04-01,3067,Forging,Automotive,38,76,1,0
213,18,2410,3462,JIS,2026-04-02,2052,Casting,Automotive,22,91,0,0
214,18,2072,3039,ISO,2026-04-03,2557,Rolling,Construction,37,66,0,0
215,16,2281,3536,DIN,2026-04-04,3125,Rolling,Automotive,24,89,0,0
216,19,2248,3260,DIN,2026-04-05,2867,Forging,Aerospace,33,87,1,0
217,16,2046,3394,ISO,2026-04-06,2397,Forging,Automotive,23,73,0,0
218,19,2120,3954,ISO,2026-04-07,3161,Rolling,Construction,26,89,0,1
219,18,2213,3225,JIS,2026-04-08,2674,Rolling,Automotive,39,76,0,0
220,18,2238,3983,ISO,2026-04-09,2386,Rolling,Automotive,31,91,0,0
221,18,2055,3123,DIN,2026-04-10,2110,Casting,Automotive,21,65,0,0
222,17,2349,3974,ISO,2026-04-11,2613,Rolling,Construction,30,83,1,0
223,19,2106,3037,ISO,2026-04-12,2016,Casting,Construction,33,65,1,0
224,17,2318,3327,ISO,2026-04-13,3205,Forging,Automotive,35,86,0,0
225,17,2047,3250,JIS,2026-04-14,2883,Casting,Construction,39,77,0,0
226,16,2060,3900,JIS,2026-04-15,2540,Casting,Automotive,25,83,0,0
227,17,2336,3175,JIS,2026-04-16,2170,Rolling,Construction,23,96,0,0
228,16,2025,3601,DIN,2026-04-17,2408,Casting,Construction,34,83,1,0
229,16,2291,3913,ISO,2026-04-18,2739,Rolling,Construction,20,97,0,0
230,17,2256,3453,DIN,2026-04-19,3401,Casting,Construction,26,93,0,0
231,19,2007,3036,DIN,2026-04-20,3211,Forging,Aerospace,31,99,0,1
232,19,2112,3315,JIS,2026-04-21,2857,Rolling,Automotive,29,74,0,0
233,19,2354,3687,ISO,2026-04-22,2229,Forging,Automotive,24,70,0,0
234,19,2252,3972,DIN,2026-04-23,2118,Casting,Construction,31,81,0,0
235,19,2179,3795,ISO,2026-04-24,3179,Rolling,Automotive,37,83,0,1
236,17,2206,3964,ISO,2026-04-25,2783,Forging,Automotive,29,60,1,0
237,17,2302,3972,JIS,2026-04-26,2464,Forging,Construction,25,77,0,0
238,18,2126,3592,DIN,2026-04-27,2103,Casting,Construction,31,71,0,0
239,19,2055,3113,ISO,2026-04-28,2697,Rolling,Automotive,26,87,0,0
240,17,2213,3039,ISO,2026-04-29,2174,Rolling,Automotive,37,99,0,0
241,18,2013,3300,DIN,2026-04-30,2744,Rolling,Aerospace,21,66,0,0
242,19,2473,3223,JIS,2026-05-01,3444,Forging,Construction,29,82,0,1
243,16,2027,3317,JIS,2026-05-02,3157,Rolling,Automotive,34,80,0,0
244,18,2470,3348,JIS,2026-05-03,3414,Casting,Construction,31,93,0,0
245,17,2077,3114,JIS,2026-05-04,2664,Rolling,Construction,36,70,1,0
246,16,2215,3697,ISO,2026-05-05,2032,Forging,Construction,23,81,0,0
247,16,2385,3322,DIN,2026-05-06,2054,Rolling,Construction,26,94,0,0
248,16,2364,3567,DIN,2026-05-07,2518,Rolling,Construction,28,88,0,0
249,18,2153,3039,ISO,2026-05-08,2755,Rolling,Construction,38,87,0,0
250,17,2013,3865,JIS,2026-05-09,2011,Rolling,Automotive,26,77,0,0
251,16,2186,3039,ISO,2026-05-10,2719,Forging,Automotive,21,73,1,0
252,19,2311,3858,JIS,2026-05-11,2554,Casting,Construction,25,77,0,0
253,16,2370,3972,DIN,2026-05-12,2372,Forging,Aerospace,37,87,1,0
254,16,2006,3748,DIN,2026-05-13,2483,Casting,Construction,25,83,0,0
255,18,2002,3288,DIN,2026-05-14,2972,Casting,Construction,32,67,0,0
256,18,2110,3261,JIS,2026-05-15,3251,Forging,Automotive,38,67,0,0
257,17,2406,3215,DIN,2026-05-16,2622,Casting,Construction,21,63,1,0
258,19,2237,3146,DIN,2026-05-17,2306,Forging,Construction,31,86,0,0
259,18,2362,3335,ISO,2026-05-18,2456,Rolling,Construction,34,95,1,0
260,16,2238,3167,DIN,2026-05-19,2159,Forging,Construction,33,64,1,0
261,17,2492,3091,ISO,2026-05-20,2330,Rolling,Automotive,25,92,1,0
262,16,2273,3352,JIS,2026-05-21,2775,Forging,Construction,37,93,0,0
263,16,2293,3570,DIN,2026-05-22,2224,Forging,Construction,24,89,0,0
264,18,2226,3570,DIN,2026-05-23,2982,Rolling,Construction,37,67,0,0
265,17,2370,3815,ISO,2026-05-24,2728,Rolling,Automotive,22,98,0,0
266,19,2014,3680,ISO,2026-05-25,3479,Casting,Construction,22,85,0,1
267,19,2191,3780,JIS,2026-05-26,3068,Forging,Automotive,29,96,0,1
268,18,2472,3362,ISO,2026-05-27,3237,Rolling,Construction,38,93,0,0
269,18,2118,3556,ISO,2026-05-28,3082,Forging,Construction,22,66,0,0
270,17,2484,3344,ISO,2026-05-29,2643,Forging,Construction,31,99,0,0
271,19,2027,3692,JIS,2026-05-30,2615,Forging,Construction,35,87,0,0
272,19,2201,3169,JIS,2026-05-31,2194,Casting,Construction,36,98,0,0
273,19,2038,3355,ISO,2026-06-01,2488,Forging,Construction,26,98,0,0
274,16,2440,3190,ISO,2026-06-02,2156,Rolling,Aerospace,32,87,0,0
275,19,2272,3666,ISO,2026-06-03,2609,Casting,Construction,21,73,0,0
276,16,2230,3421,JIS,2026-06-04,3249,Casting,Automotive,23,97,0,0
277,17,2085,3699,DIN,2026-06-05,2411,Rolling,Construction,29,63,0,0
278,16,2473,3006,ISO,2026-06-06,3228,Rolling,Construction,26,77,0,0
279,17,2125,3132,ISO,2026-06-07,3102,Rolling,Construction,36,84,0,0
280,19,2299,3746,ISO,2026-06-08,3147,Forging,Aerospace,39,66,0,1
281,19,2024,3556,DIN,2026-06-09,2470,Forging,Construction,25,97,0,0
282,17,2144,3825,JIS,2026-06-10,3241,Forging,Construction,38,87,0,0
283,18,2012,3760,ISO,2026-06-11,2515,Casting,Construction,24,64,0,0
284,17,2211,3030,ISO,2026-06-12,3127,Forging,Construction,29,62,0,0
285,18,2024,3534,ISO,2026-06-13,2392,Rolling,Construction,28,90,0,0
286,16,2067,3425,JIS,2026-06-14,2630,Rolling,Construction,32,79,0,0
287,16,2393,3393,ISO,2026-06-15,2607,Rolling,Construction,38,78,0,0
288,16,2066,3671,JIS,2026-06-16,2979,Rolling,Construction,25,70,0,0
289,19,2232,3362,DIN,2026-06-17,2433,Forging,Automotive,23,99,0,0
290,16,2108,3436,ISO,2026-06-18,3354,Casting,Construction,22,62,0,0
291,18,2145,3669,ISO,2026-06-19,3166,Rolling,Construction,22,82,0,0
292,16,2110,3550,ISO,2026-06-20,2539,Forging,Construction,23,66,1,0
293,17,2227,3926,DIN,2026-06-21,2277,Forging,Automotive,24,82,0,0
294,17,2110,3081,JIS,2026-06-22,2232,Rolling,Construction,27,66,0,0
295,19,2469,3355,DIN,2026-06-23,3113,Rolling,Construction,35,93,0,1
296,17,2033,3257,DIN,2026-06-24,3222,Rolling,Construction,22,78,0,0
297,18,2110,3717,ISO,2026-06-25,2361,Rolling,Construction,31,68,1,0
298,16,2263,3588,JIS,2026-06-26,3464,Casting,Construction,27,77,0,0
299,19,2423,3988,JIS,2026-06-27,2025,Rolling,Automotive,32,84,0,0
300,16,2368,3523,ISO,2026-06-28,3048,Rolling,Automotive,23,73,1,0
301,16,2235,3294,JIS,2026-06-29,3417,Forging,Automotive,33,84,0,0
302,18,2082,3961,DIN,2026-06-30,2506,Casting,Construction,33,78,0,0
303,17,2041,3223,DIN,2026-07-01,3324,Rolling,Construction,32,98,1,0
304,17,2424,3524,JIS,2026-07-02,3362,Rolling,Construction,25,74,0,0
305,16,2100,3045,JIS,2026-07-03,2266,Rolling,Construction,36,75,0,0
306,19,2005,3666,DIN,2026-07-04,2460,Rolling,Construction,23,86,0,0
307,17,2179,3112,ISO,2026-07-05,2455,Rolling,Automotive,27,99,0,0
308,19,2281,3232,ISO,2026-07-06,3383,Forging,Construction,36,69,0,1
309,17,2319,3016,JIS,2026-07-07,3091,Rolling,Construction,22,63,1,0
310,19,2225,3359,ISO,2026-07-08,3006,Rolling,Construction,36,78,0,1
311,18,2442,3222,ISO,2026-07-09,2862,Casting,Construction,28,87,0,0
312,19,2439,3865,DIN,2026-07-10,3435,Rolling,Construction,21,80,1,1
313,18,2314,3699,DIN,2026-07-11,2490,Rolling,Automotive,32,73,0,0
314,18,2364,3447,DIN,2026-07-12,3072,Rolling,Construction,39,92,0,0
315,19,2453,3855,JIS,2026-07-13,2563,Casting,Automotive,21,69,0,0
316,18,2228,3364,ISO,2026-07-14,3125,Rolling,Automotive,39,78,1,0
317,16,2376,3674,ISO,2026-07-15,2215,Casting,Automotive,30,89,1,0
318,18,2288,3325,ISO,2026-07-16,3461,Forging,Construction,34,81,0,0
319,17,2436,3466,JIS,2026-07-17,2558,Rolling,Construction,30,62,0,0
320,19,2149,3413,DIN,2026-07-18,2158,Casting,Construction,22,96,0,0
321,16,2276,3454,ISO,2026-07-19,2488,Rolling,Automotive,22,77,1,0
322,19,2197,3585,JIS,2026-07-20,2685,Rolling,Construction,31,70,0,0
323,17,2069,3232,JIS,2026-07-21,3265,Casting,Automotive,24,61,0,0
324,17,2111,3223,JIS,2026-07-22,2793,Forging,Construction,39,71,1,0
325,17,2003,3993,JIS,2026-07-23,2004,Forging,Construction,26,65,0,0
326,18,2349,3830,ISO,2026-07-24,2360,Rolling,Construction,26,99,0,0
327,18,2330,3411,JIS,2026-07-25,2458,Rolling,Construction,32,88,0,0
328,19,2445,3571,DIN,2026-07-26,2247,Forging,Construction,28,89,0,0
329,19,2317,3334,JIS,2026-07-27,2945,Rolling,Automotive,32,61,0,0
330,16,2349,3221,JIS,2026-07-28,2421,Rolling,Automotive,31,68,1,0
331,16,2094,3036,JIS,2026-07-29,2014,Rolling,Automotive,32,61,0,0
332,19,2151,3988,DIN,2026-07-30,2735,Rolling,Automotive,29,88,0,0
333,18,2310,3277,ISO,2026-07-31,3145,Casting,Automotive,20,92,0,0
334,17,2136,3195,DIN,2026-08-01,2276,Rolling,Construction,27,69,0,0
335,19,2246,3915,JIS,2026-08-02,2452,Casting,Automotive,35,93,0,0
336,16,2386,3863,JIS,2026-08-03,3413,Rolling,Construction,32,67,0,0
337,18,2242,3483,ISO,2026-08-04,3317,Forging,Construction,22,96,1,0
