,Code_ID,Lines_of_Code,Complexity_Score,Code_Avg_Cyclomatic_Complexity,Num_Functions,Num_Variables,Code_Avg_Nesting_Depth,Commented_Lines_Percentage,Previous_Defects,label
96,97,215,12.37,1.4,31,84,1,10.92,5,1
97,98,254,2.02,5.3,6,72,2,38.21,5,0
98,99,527,1.68,1.3,33,36,3,91.87,3,1
99,100,610,1.42,4.0,48,26,5,13.14,1,0
100,101,527,5.52,2.5,22,37,1,24.67,1,0
101,102,464,6.78,1.7,10,66,7,66.98,0,0
102,103,412,14.84,4.5,14,71,6,76.1,3,1
103,104,151,5.33,1.5,38,65,2,46.23,5,1
104,105,289,9.2,5.9,23,80,2,84.25,2,0
105,106,714,5.05,2.8,9,36,4,67.12,2,0
106,107,208,3.7,4.8,35,15,6,48.4,2,1
107,108,949,2.92,2.5,36,98,3,99.99,4,1
108,109,914,4.83,2.6,27,32,5,72.2,2,0
109,110,429,8.33,5.6,21,53,3,5.85,4,0
110,111,310,8.64,4.5,48,3,6,34.33,1,0
111,112,149,6.2,4.3,15,11,1,56.38,1,0
112,113,112,9.76,1.2,16,92,1,17.67,0,0
113,114,532,3.55,3.9,42,24,7,59.61,2,1
114,115,284,1.73,5.6,26,65,4,40.76,0,0
115,116,785,6.2,5.3,22,26,2,5.57,2,0
116,117,202,8.4,3.8,27,10,6,50.04,2,0
117,118,480,7.27,5.3,14,81,2,49.8,5,0
118,119,412,4.25,4.9,36,69,3,22.95,0,0
119,120,228,4.38,3.5,16,94,2,30.61,5,0
120,121,729,5.33,1.6,11,43,1,7.32,4,0
121,122,374,9.23,3.9,23,3,5,0.46,3,0
122,123,604,8.94,2.9,25,73,3,23.59,3,0
123,124,995,7.28,5.8,46,83,2,95.91,4,1
124,125,956,10.88,4.5,36,31,2,25.28,3,1
125,126,705,14.34,2.4,46,94,6,40.15,5,1
126,127,144,1.97,4.2,19,53,3,15.6,2,0
127,128,694,2.77,3.7,35,99,2,53.82,2,1
128,129,679,2.34,3.0,16,29,2,13.53,4,0
129,130,654,2.58,2.3,17,33,4,14.96,1,0
130,131,946,8.01,5.1,6,79,6,30.95,2,0
131,132,137,13.37,3.3,15,62,4,82.34,3,0
132,133,965,11.54,2.8,19,3,7,46.34,0,0
133,134,525,12.01,2.1,44,22,7,35.08,5,1
134,135,921,12.09,5.3,17,80,3,37.5,4,1
135,136,167,13.32,1.8,29,32,4,16.14,0,0
136,137,815,7.04,5.5,49,84,7,89.04,5,1
137,138,215,14.99,4.6,47,82,4,64.92,3,1
138,139,678,14.43,5.6,25,50,6,29.05,0,1
139,140,307,9.18,2.7,6,13,1,29.72,2,0
140,141,915,5.57,3.7,10,43,2,33.1,3,0
141,142,619,14.47,4.4,20,30,1,35.28,3,1
142,143,449,2.72,2.2,26,6,6,83.77,1,0
143,144,225,13.27,1.6,9,13,4,83.78,4,0
144,145,123,5.02,3.5,32,60,2,94.42,4,1
145,146,817,8.99,2.8,19,63,7,74.6,1,0
146,147,259,6.56,1.9,11,11,5,18.47,3,0
147,148,661,4.97,2.4,33,93,2,35.92,5,1
148,149,732,6.15,5.3,38,70,4,60.56,2,1
149,150,431,4.23,4.8,20,41,5,61.5,2,0
150,151,374,6.41,1.2,7,20,3,20.29,1,0
151,152,450,6.87,2.2,11,52,7,93.87,4,0
152,153,992,8.34,4.9,49,38,4,62.43,3,1
153,154,961,6.19,5.4,38,93,1,38.67,3,1
154,155,597,14.12,5.1,41,12,4,67.86,5,1
155,156,642,10.65,3.6,20,43,7,63.9,1,0
156,157,132,8.84,4.3,47,10,6,75.45,3,1
157,158,447,3.05,5.0,48,52,4,15.49,1,0
158,159,876,2.83,4.9,9,37,2,60.67,1,0
159,160,313,4.13,2.6,14,55,2,8.02,2,0
160,161,811,13.5,5.0,24,21,6,78.55,4,1
161,162,586,7.17,3.5,50,45,6,38.0,0,0
162,163,666,10.09,3.9,39,82,2,87.46,4,1
163,164,780,13.24,3.0,9,31,4,98.32,5,0
164,165,414,12.42,3.9,48,63,7,68.35,1,0
165,166,844,8.21,2.8,45,69,1,64.8,1,0
166,167,305,2.82,2.6,35,72,5,52.79,2,1
167,168,723,11.76,3.6,40,23,3,1.08,2,1
168,169,842,4.47,5.4,32,3,7,40.5,1,0
169,170,259,2.88,5.2,12,47,2,44.51,0,0
170,171,410,9.33,3.3,38,8,6,0.92,3,1
171,172,694,7.96,3.0,28,32,3,83.85,2,0
172,173,394,5.31,4.1,8,46,4,35.89,2,0
173,174,870,13.79,1.9,18,28,1,11.25,5,0
174,175,352,4.21,5.4,29,97,6,15.46,1,1
175,176,553,4.56,1.0,48,48,4,1.2,1,0
176,177,192,12.12,1.2,14,44,3,44.41,0,0
177,178,697,1.14,4.1,39,79,5,24.29,3,1
178,179,347,1.06,2.8,20,82,3,5.74,4,0
179,180,826,3.76,1.7,7,33,2,42.15,3,0
180,181,826,4.65,3.5,28,44,1,20.5,4,0
181,182,402,11.88,2.2,9,86,1,64.11,1,0
182,183,212,3.72,1.8,8,31,3,4.8,1,0
183,184,581,1.53,1.7,25,49,6,90.25,5,0
184,185,424,12.09,4.2,48,3,1,93.9,1,1
185,186,782,12.12,5.9,28,1,1,82.95,2,1
186,187,788,10.32,4.0,18,8,5,74.8,4,0
187,188,334,3.51,3.7,21,79,4,76.34,4,0
188,189,496,2.88,5.2,23,20,3,93.37,1,0
189,190,205,9.89,5.8,44,66,3,44.74,5,1
190,191,523,10.68,2.1,46,33,7,56.92,2,1
191,192,968,8.85,3.9,39,16,5,68.75,2,1
192,193,162,8.73,3.4,39,94,4,54.11,3,1
193,194,425,6.03,1.3,29,58,3,82.26,0,0
194,195,871,12.38,5.0,48,39,2,21.07,4,1
195,196,412,13.27,5.9,26,40,5,23.18,3,1
196,197,261,7.99,2.8,33,66,7,7.61,0,1
197,198,805,7.83,3.7,31,14,3,49.27,5,1
198,199,532,11.24,2.8,34,17,6,12.46,5,1
199,200,752,12.75,3.0,33,11,3,49.74,0,0
200,201,214,7.53,2.9,10,12,2,32.79,5,0
201,202,545,11.31,5.1,37,46,7,8.9,2,1
202,203,447,6.5,1.3,29,44,5,0.13,1,0
203,204,232,3.82,4.3,46,49,5,55.61,0,0
204,205,291,8.6,2.1,33,3,7,65.21,5,1
205,206,958,2.91,1.8,12,63,2,59.13,4,0
206,207,135,1.75,2.0,31,87,1,83.9,4,1
207,208,100,1.65,5.1,7,36,2,10.62,5,0
208,209,110,5.1,3.0,38,44,6,64.49,0,0
209,210,848,6.97,5.4,46,87,4,51.1,5,1
210,211,411,5.9,1.9,19,7,5,80.66,2,0
211,212,340,7.95,3.4,46,96,5,10.33,5,1
212,213,580,3.6,3.5,32,27,4,12.65,4,1
213,214,991,9.13,4.9,19,9,7,96.65,2,0
214,215,519,10.08,4.1,21,54,2,17.5,0,1
215,216,245,4.77,2.2,36,15,3,77.64,0,0
216,217,446,12.3,4.1,41,77,5,10.2,1,1
217,218,977,2.92,4.8,29,91,2,85.04,0,0
218,219,412,9.33,4.7,22,20,3,10.62,3,0
219,220,280,2.03,5.9,21,18,7,83.69,2,0
220,221,507,3.68,4.8,18,76,7,30.14,1,0
221,222,398,13.85,1.1,43,7,6,7.85,2,1
222,223,557,1.6,1.5,44,37,2,93.77,5,1
223,224,836,7.09,5.5,8,48,6,31.62,0,0
224,225,744,12.87,2.5,9,68,6,84.91,1,0
225,226,821,8.46,4.5,40,69,5,12.1,4,1
226,227,962,13.27,4.1,41,89,2,8.43,4,1
227,228,563,14.98,5.9,32,20,6,65.86,1,1
228,229,238,6.22,2.4,32,83,6,37.7,0,0
229,230,582,14.47,3.1,45,88,4,73.34,5,1
230,231,785,12.77,2.0,10,77,5,25.8,4,0
231,232,647,5.8,4.6,22,56,5,1.42,3,0
232,233,880,6.91,4.9,18,88,6,76.16,0,0
233,234,942,13.52,5.6,8,56,1,54.71,1,1
234,235,503,7.91,2.4,38,23,1,39.58,1,0
235,236,823,7.58,4.0,12,65,5,31.21,1,0
236,237,363,2.06,1.5,30,6,4,88.0,2,0
237,238,928,6.98,4.2,26,17,6,8.89,0,1
238,239,462,10.35,1.6,39,68,4,24.83,4,1
239,240,508,1.83,4.6,43,76,7,20.23,0,0
240,241,853,3.3,2.3,41,6,2,30.4,2,1
241,242,370,13.7,5.5,13,96,3,4.34,4,1
242,243,120,14.67,5.5,25,34,3,75.72,4,1
243,244,278,10.43,4.8,16,70,3,73.04,4,1
244,245,559,11.8,4.8,25,99,5,35.7,5,1
245,246,266,1.97,2.2,16,86,6,79.18,3,0
246,247,357,6.51,4.6,42,13,4,3.04,4,1
247,248,628,1.3,2.5,28,36,5,67.37,2,0
248,249,299,4.76,5.6,6,11,6,51.29,3,0
249,250,465,13.53,2.1,27,21,5,0.23,4,0
250,251,260,13.59,1.9,14,68,1,28.09,1,0
251,252,944,5.07,2.7,5,49,1,83.23,0,0
252,253,606,3.39,3.7,49,88,3,71.84,5,1
253,254,166,11.16,3.0,41,92,4,43.93,1,0
254,255,802,5.44,4.6,48,98,2,74.84,2,1
255,256,269,5.77,4.1,36,66,3,0.43,5,1
256,257,185,7.79,5.8,6,56,7,2.12,1,1
257,258,685,10.19,2.5,8,22,6,10.73,4,1
258,259,670,8.68,1.2,21,75,6,45.29,5,0
259,260,332,11.98,5.4,39,96,7,51.56,3,1
260,261,754,6.89,3.3,37,32,2,6.16,4,1
261,262,366,5.92,1.6,34,97,5,13.6,0,0
262,263,576,7.83,1.9,29,17,6,76.02,5,0
263,264,879,10.72,3.7,43,17,6,10.91,2,1
264,265,177,5.62,4.8,37,26,1,46.53,4,1
265,266,244,6.63,1.1,50,86,3,23.66,0,0
266,267,937,7.39,4.6,48,91,5,38.72,0,0
267,268,806,9.18,3.1,13,26,7,83.45,2,0
268,269,743,2.66,5.8,47,52,3,36.47,4,1
269,270,951,2.87,5.6,26,99,6,88.72,2,0
270,271,589,13.88,4.1,35,25,2,86.31,0,1
271,272,983,7.37,2.4,13,10,3,51.98,3,0
272,273,218,9.31,4.3,20,69,1,47.05,0,0
273,274,160,6.95,3.1,41,54,2,55.34,2,1
274,275,596,14.58,5.2,31,95,4,49.28,5,1
275,276,594,14.3,6.0,30,55,4,68.19,2,1
276,277,891,8.22,3.7,50,99,4,0.47,2,1
277,278,305,3.99,1.5,19,8,4,73.98,3,0
278,279,401,5.47,3.8,37,76,1,45.19,2,1
279,280,589,10.66,1.2,16,42,1,4.56,2,0
280,281,464,8.58,5.1,44,42,7,69.35,1,0
281,282,105,9.37,1.7,22,5,6,3.65,1,1
282,283,150,1.39,4.4,6,51,6,20.08,0,0
283,284,827,8.57,1.5,26,92,7,84.0,3,0
284,285,477,12.17,1.7,49,75,3,52.35,5,1
285,286,127,5.49,1.2,37,77,2,58.73,2,1
286,287,661,4.72,2.8,14,56,5,18.1,3,0
287,288,190,12.52,4.1,25,50,6,57.09,3,1
288,289,965,4.41,1.4,33,8,6,97.05,4,1
289,290,721,13.58,1.1,11,38,4,57.77,4,0
290,291,497,10.64,1.1,49,78,7,7.77,5,1
291,292,511,4.53,2.9,49,77,4,53.68,1,0
292,293,635,13.47,5.5,8,52,4,48.13,4,1
293,294,424,2.92,2.4,43,32,1,2.34,0,0
294,295,537,1.96,5.2,10,77,4,92.87,1,0
295,296,745,12.2,4.1,48,9,7,41.78,1,1
296,297,732,12.66,2.2,18,9,6,10.34,3,1
297,298,813,3.99,5.7,41,3,4,78.2,4,1
298,299,988,13.98,5.3,45,22,3,77.2,0,1
299,300,784,7.56,5.5,45,12,3,26.16,5,1
300,301,215,14.02,5.0,10,67,3,60.54,3,1
301,302,139,6.25,5.5,25,79,5,27.11,0,0
302,303,341,8.7,5.8,40,19,4,15.92,4,1
303,304,507,14.19,2.0,39,30,7,47.16,3,1
304,305,936,11.21,5.8,43,50,2,14.48,0,1
305,306,682,6.32,1.9,6,5,5,5.19,2,0
306,307,500,11.13,3.7,21,76,7,4.87,2,1
307,308,460,10.28,2.3,18,47,4,89.07,4,0
308,309,224,14.23,4.2,7,23,5,90.36,5,1
309,310,374,9.77,3.8,48,68,5,66.98,0,0
310,311,385,2.08,3.0,36,28,1,60.45,2,1
311,312,239,9.41,1.1,36,96,1,88.12,5,1
312,313,392,12.91,1.7,22,19,6,51.7,3,0
313,314,102,9.25,4.5,45,51,2,23.66,4,1
314,315,334,13.21,2.4,21,84,5,5.04,1,0
315,316,771,10.37,6.0,17,73,1,56.1,1,1
316,317,714,6.0,1.2,40,67,2,19.01,4,1
317,318,816,8.65,5.7,41,75,3,52.29,3,1
318,319,889,3.71,1.4,35,59,7,93.65,5,1
319,320,388,4.46,1.3,27,52,4,59.4,3,0
320,321,761,6.73,1.0,28,80,2,94.08,0,0
321,322,380,4.2,4.0,46,83,5,63.24,2,1
322,323,189,10.95,4.0,13,52,4,76.14,0,0
323,324,885,9.02,4.4,17,9,3,92.82,4,0
324,325,337,10.07,4.6,45,33,3,68.86,5,1
325,326,356,4.23,2.2,33,69,3,28.59,0,0
326,327,373,11.11,5.1,5,71,2,98.72,2,1
327,328,143,7.45,2.0,38,34,5,58.65,4,1
328,329,185,14.21,3.2,38,31,1,14.28,4,1
329,330,323,5.44,5.6,40,88,4,36.38,4,1
330,331,231,7.25,4.6,27,33,3,90.72,1,0
331,332,804,10.91,1.4,21,61,7,29.28,2,0
332,333,226,14.91,1.8,20,38,7,17.97,4,1
333,334,610,12.19,4.9,6,60,5,94.39,0,1
334,335,614,3.01,1.4,20,75,1,21.77,0,0
335,336,691,2.52,1.1,23,71,2,45.53,3,0
336,337,981,14.19,1.1,45,54,6,10.25,2,1
337,338,900,4.5,1.2,17,83,7,13.63,0,1
338,339,386,7.46,5.2,18,26,3,55.5,4,0
339,340,303,12.95,2.3,45,74,5,43.02,1,0
340,341,525,13.26,3.7,10,74,6,84.16,2,0
341,342,778,6.64,1.8,20,17,3,33.19,0,0
342,343,977,7.1,5.4,23,42,6,56.32,5,0
343,344,297,14.44,2.5,14,84,3,10.7,0,0
344,345,762,13.75,3.2,39,77,2,18.41,2,1
345,346,984,5.95,5.4,40,80,1,57.0,5,1
346,347,845,10.93,2.0,34,51,7,88.35,3,1
347,348,825,12.77,3.6,47,94,5,79.93,0,0
348,349,325,3.16,3.6,31,91,2,92.7,1,0
349,350,721,13.83,4.6,49,87,6,30.98,3,1
350,351,361,3.6,1.9,22,36,4,55.61,5,0
351,352,803,10.94,3.3,25,40,1,22.58,4,0
352,353,585,8.67,3.5,23,20,3,80.06,0,0
353,354,554,4.6,2.9,21,15,6,55.05,5,0
354,355,917,8.2,4.2,29,85,6,22.81,5,0
355,356,693,5.25,2.8,48,95,3,51.11,5,1
356,357,403,4.36,3.6,8,12,3,2.21,0,0
357,358,222,7.74,5.8,35,66,6,0.59,4,1
358,359,625,12.89,3.1,41,98,4,39.81,0,0
359,360,755,10.99,5.8,21,88,1,58.84,1,1
360,361,995,8.5,5.9,47,1,2,63.34,2,1
361,362,964,7.44,4.4,33,33,2,93.49,2,1
362,363,233,9.23,1.1,9,48,5,7.35,4,0
363,364,209,9.94,3.7,7,67,7,52.86,3,0
364,365,898,6.59,4.3,36,63,5,19.97,1,0
365,366,272,13.96,5.4,33,77,7,88.01,2,1
366,367,742,8.38,3.6,16,18,6,99.04,0,0
367,368,694,7.35,3.6,49,74,6,71.84,5,1
368,369,695,14.19,1.5,17,28,4,56.55,4,0
369,370,624,11.96,5.7,11,86,5,99.46,4,1
370,371,479,7.48,4.8,34,30,2,46.93,2,1
371,372,384,9.06,1.0,33,47,1,0.06,1,0
372,373,325,6.83,4.0,49,73,5,3.02,3,1
373,374,639,8.58,1.2,14,27,6,74.14,1,0
374,375,614,3.04,1.0,41,39,7,51.54,5,1
375,376,950,3.48,4.3,5,91,5,21.12,0,0
376,377,417,8.89,4.5,49,65,7,12.59,5,1
377,378,812,8.8,4.1,22,37,1,52.09,0,0
378,379,248,1.81,2.7,41,86,3,6.83,0,0
379,380,883,1.29,3.6,29,59,1,70.73,3,0
380,381,974,1.66,1.3,48,72,2,63.17,5,1
381,382,240,10.95,3.0,23,37,5,68.46,5,0
382,383,283,2.24,2.2,27,83,4,91.71,1,0
383,384,616,7.4,3.8,44,16,4,25.82,3,1
384,385,733,5.1,1.1,31,96,2,7.84,1,0
385,386,116,10.36,2.7,16,44,3,56.94,4,0
386,387,317,10.71,5.4,41,4,3,55.54,3,1
387,388,342,7.83,2.7,35,45,1,54.13,5,1
388,389,575,12.15,5.4,5,95,7,79.94,5,1
389,390,320,10.92,3.8,41,78,3,4.09,4,1
390,391,471,6.48,1.4,50,71,3,35.07,1,0
391,392,506,13.86,3.7,9,17,5,45.76,2,0
392,393,573,1.37,5.9,36,91,1,48.46,2,1
393,394,522,1.56,4.5,38,4,6,79.44,3,1
394,395,619,2.26,5.1,41,35,1,19.67,5,1
395,396,796,5.43,2.3,32,9,2,66.54,1,0
396,397,643,4.78,3.8,42,91,1,37.19,1,0
397,398,223,2.62,4.9,6,3,4,71.66,5,0
398,399,811,10.33,5.8,44,43,6,0.67,4,1
399,400,648,10.71,3.9,48,52,7,60.09,3,1
400,401,832,2.42,4.6,36,63,7,40.4,4,1
401,402,210,4.46,5.6,18,66,1,51.79,5,0
402,403,820,9.98,5.1,23,30,7,25.12,5,0
403,404,920,1.45,2.2,12,82,7,73.05,5,0
404,405,462,9.53,5.0,45,5,5,21.63,5,1
405,406,272,14.82,2.9,40,15,1,75.78,1,0
406,407,345,8.62,3.0,30,81,1,27.49,1,0
407,408,455,1.26,2.0,44,25,1,97.93,0,0
408,409,284,11.69,2.3,18,4,7,72.28,4,0
409,410,346,12.28,1.3,18,6,1,55.58,1,0
410,411,574,6.56,1.7,18,23,3,59.73,0,0
411,412,882,13.24,2.0,21,62,3,22.58,4,0
412,413,433,13.72,2.2,32,92,2,72.17,3,1
413,414,329,3.17,4.4,30,69,6,86.47,2,0
414,415,250,9.32,1.1,21,88,5,38.82,2,0
415,416,373,7.92,5.7,28,92,3,29.56,5,0
416,417,962,4.65,3.8,12,79,1,62.74,2,0
417,418,603,4.12,4.2,47,3,1,14.9,5,1
418,419,733,1.45,2.3,49,42,6,80.36,5,1
419,420,436,5.66,3.0,28,6,4,41.59,3,0
420,421,918,5.78,1.7,13,77,4,26.29,5,0
421,422,453,12.01,4.9,37,55,7,92.7,2,1
422,423,321,6.81,5.6,10,70,2,93.94,0,0
423,424,722,8.18,5.6,19,40,7,85.11,3,0
424,425,748,14.77,1.2,40,51,7,60.17,3,1
425,426,729,2.79,4.5,43,45,6,2.79,3,1
426,427,499,8.72,2.9,37,54,5,22.9,5,1
427,428,574,8.74,2.0,42,75,1,45.86,5,1
428,429,699,5.79,1.5,7,7,5,17.14,0,0
429,430,440,5.31,4.1,7,36,7,5.32,5,1
430,431,405,2.38,5.8,10,22,5,47.69,5,0
431,432,561,7.14,2.1,18,14,4,66.61,1,0
432,433,501,4.98,5.6,46,49,3,42.94,4,1
433,434,799,4.85,4.0,40,14,5,12.58,2,1
434,435,170,7.62,3.9,36,85,1,38.07,1,0
435,436,566,9.34,3.6,34,98,7,21.32,1,0
436,437,802,11.75,1.5,50,19,7,12.15,1,1
437,438,971,8.66,2.7,43,32,2,51.93,1,0
438,439,568,1.71,3.3,18,44,4,13.93,0,0
439,440,984,11.38,3.4,10,6,1,96.09,4,0
440,441,390,4.32,5.0,22,56,1,46.81,2,0
441,442,578,7.56,4.6,9,9,4,31.18,3,0
442,443,715,1.96,5.1,5,86,5,19.13,2,0
443,444,678,9.16,2.4,39,6,7,86.33,0,0
444,445,950,8.94,3.4,13,98,4,26.03,2,0
445,446,671,4.83,3.1,46,27,1,28.06,5,1
446,447,506,7.37,1.5,18,53,5,45.13,2,0
447,448,957,8.95,5.3,36,21,4,53.23,3,1
448,449,268,11.01,4.2,20,34,5,2.33,5,1
449,450,307,10.17,2.0,7,14,7,45.01,2,0
450,451,667,2.63,5.6,33,42,2,74.44,4,1
451,452,956,6.09,5.4,27,87,6,93.92,5,0
452,453,632,5.47,1.0,15,3,4,70.87,5,0
453,454,244,7.98,5.5,50,45,6,28.23,3,1
454,455,812,1.38,5.6,9,62,6,1.69,0,1
455,456,687,14.36,2.7,39,21,4,25.22,4,1
456,457,142,12.77,3.7,41,56,1,93.81,0,0
457,458,155,7.76,4.3,7,44,7,43.08,3,0
458,459,527,1.37,3.3,7,87,1,60.64,1,0
459,460,272,4.46,4.0,20,59,7,68.12,0,0
460,461,185,12.36,3.8,17,10,7,12.27,2,1
461,462,579,5.6,3.1,29,76,5,0.15,0,0
462,463,944,1.65,3.5,37,66,2,35.34,2,1
463,464,545,14.6,2.9,27,14,1,8.21,2,0
464,465,915,14.58,4.5,40,28,2,53.78,2,1
465,466,572,3.46,1.4,50,4,7,15.63,3,1
466,467,485,1.5,5.1,12,2,4,80.48,3,0
467,468,147,9.98,1.9,25,44,1,91.8,4,0
468,469,147,4.06,2.2,10,53,5,27.23,0,0
469,470,626,11.51,1.1,34,46,6,72.21,5,1
470,471,188,13.12,3.6,19,91,6,7.99,4,1
471,472,537,2.48,2.6,7,38,2,93.19,0,0
472,473,782,14.93,4.3,15,79,5,18.88,3,1
473,474,955,6.75,1.1,42,8,4,72.23,3,1
474,475,439,13.57,3.2,12,9,3,59.03,5,0
475,476,961,5.24,2.8,24,63,7,98.99,2,0
476,477,110,14.87,1.6,42,39,3,43.67,4,1
477,478,179,9.81,1.3,7,26,2,44.33,4,0
478,479,805,3.25,1.0,23,32,3,95.18,0,0
479,480,240,11.98,3.7,41,40,4,77.47,4,1
480,481,793,8.19,5.1,41,85,7,84.05,0,0
481,482,989,3.86,2.2,20,61,1,93.32,5,0
482,483,511,6.87,3.7,21,13,1,39.14,4,0
483,484,429,1.35,1.6,41,47,4,23.67,1,0
484,485,124,6.56,4.5,32,88,7,98.94,0,0
485,486,449,1.19,5.7,48,40,4,32.29,0,0
486,487,809,12.03,4.5,13,17,1,39.82,0,1
487,488,719,9.86,1.6,42,58,2,52.46,2,1
488,489,654,13.29,2.2,48,14,7,19.28,2,1
489,490,882,13.56,1.3,26,27,3,60.13,4,0
490,491,971,1.15,1.8,26,43,2,84.69,5,0
491,492,605,6.79,4.3,17,80,4,89.82,1,0
492,493,810,12.23,1.9,27,77,5,24.63,3,0
