,Age,Gender,Race,Family Income,Parental Education Level,School Type,Dependents,Attendance,GPA,label
61,17,Male,Hispanic,133017.3082322225,High School Diploma,Public,0,83.46536140177322,2.646637183245555,0
62,18,Other,White,59694.862329819596,Master's Degree,Public,1,79.7415680154067,2.3945344631672922,1
63,17,Other,Black,67802.94925375882,Bachelor's Degree,Private,4,86.7393170815189,3.0028044521193245,1
64,18,Female,Black,90081.24255913877,Associate Degree,Charter,0,94.73483848835306,2.0536893180816636,0
65,15,Other,White,38649.61888338202,High School Diploma,Public,0,94.2571143749717,3.0666681106584432,0
66,17,Female,White,40757.09713184844,Bachelor's Degree,Charter,1,93.0576848796014,3.3323780195904855,1
67,15,Other,White,80533.2910665697,Master's Degree,Private,3,97.18256138501468,2.192125081456825,1
68,15,Other,White,61346.274324410595,High School Diploma,Private,0,81.10425206324621,2.6021208923490393,0
69,15,Other,Black,78724.47630393223,PhD,Charter,0,84.56011557279326,3.5196783536710026,0
70,16,Other,Black,84526.35577199256,Bachelor's Degree,Public,2,79.85564763883191,2.8709094148443226,1
71,16,Male,Hispanic,147152.8076086942,High School Diploma,Public,4,83.14159925026901,3.226055852114577,1
72,17,Male,White,143311.17841234047,Bachelor's Degree,Public,3,80.6591950532107,3.79968571434736,1
73,15,Male,White,46767.61818477193,High School Diploma,Public,2,75.99085780585173,2.4442658548277043,1
74,15,Other,White,135910.31684786957,No Diploma,Private,4,98.20964717899037,2.944466682284832,1
75,16,Male,White,39624.79947960943,Master's Degree,Private,3,94.34386849857916,2.507509258564478,1
76,18,Male,White,90916.25636613049,Bachelor's Degree,Public,4,82.69668645658055,2.1418953465030097,1
77,15,Other,Hispanic,49669.18801317184,Bachelor's Degree,Public,3,91.160858370281,3.9938923913706406,1
78,16,Female,Hispanic,73907.05744283208,High School Diploma,Charter,0,75.0629519882759,3.048537837093759,0
79,17,Other,Hispanic,119200.82707783976,High School Diploma,Public,3,94.06235697287325,3.799174436811026,1
80,17,Male,Hispanic,80940.65752282199,Master's Degree,Charter,1,88.25966792314226,3.026560035054855,1
81,18,Female,Asian,126834.15450856005,High School Diploma,Public,2,78.23154081869774,3.5897882563721315,1
82,15,Female,Hispanic,116257.88532450501,No Diploma,Public,1,84.6692028291634,2.4711585934701428,1
83,16,Male,Asian,143140.73354532194,High School Diploma,Private,4,77.72094351418592,2.92010708336813,1
84,16,Female,Asian,94098.72247030528,High School Diploma,Private,4,88.5626671094357,2.8386855333564283,1
85,18,Male,Black,126257.75447853543,Bachelor's Degree,Public,1,82.02910875942375,2.070604116449899,1
86,16,Male,Black,68748.85276044623,Bachelor's Degree,Private,3,92.10560704224861,3.6477504616341587,1
87,16,Male,White,71489.50141078376,No Diploma,Private,2,98.182879309352,2.081913484449232,1
88,18,Male,Asian,78061.25562978064,No Diploma,Charter,0,76.04794344474877,2.442227552641378,0
89,17,Other,White,79309.88811577068,Associate Degree,Public,2,83.34724456270905,3.287113895844059,1
90,18,Other,Hispanic,42390.386479916946,Bachelor's Degree,Private,2,86.7163625264054,2.169162120817957,1
91,18,Other,Asian,92291.87271982363,High School Diploma,Public,3,93.11704054297176,2.8076485841961643,1
92,17,Female,White,41616.386312283066,Bachelor's Degree,Charter,4,79.5438897510796,3.8692387193608586,1
93,17,Female,White,136771.4562983717,High School Diploma,Public,3,80.25978570978707,3.1500610534557074,1
94,18,Male,White,37421.37398679517,High School Diploma,Public,3,78.73281731207521,3.039638911579126,1
95,15,Other,Hispanic,83963.33163711705,Associate Degree,Charter,0,79.70190964624992,2.2541252187947403,0
96,17,Male,Black,64163.28796685166,High School Diploma,Public,4,81.86435498292623,2.6440496182000763,1
97,18,Female,Hispanic,48584.329878537494,PhD,Public,4,99.8202364423982,3.399603369859165,1
98,16,Male,Asian,124060.40290106548,PhD,Charter,0,76.03646155967427,2.3552564354181014,0
99,15,Other,White,115791.88787034308,Associate Degree,Public,2,81.70033617542256,3.000901635995331,1
100,16,Male,Asian,47513.74682178158,High School Diploma,Public,4,85.53406510893342,2.9786409856560896,1
101,17,Male,Black,105931.87693275722,PhD,Private,1,98.35404448892311,2.3828510307869335,1
102,15,Female,White,125106.62007965353,Master's Degree,Public,1,81.80417129183925,2.9217484011629526,1
103,18,Male,Asian,122799.86644438643,Bachelor's Degree,Public,1,83.68315668291186,2.0012457651328805,1
104,15,Female,Asian,41073.55171960339,Associate Degree,Public,2,87.74095864111322,2.154225563669466,1
105,17,Female,White,112261.52628549315,Associate Degree,Public,1,76.66581039397097,2.9524633023092823,1
106,15,Male,Hispanic,115922.87050602924,Bachelor's Degree,Charter,0,77.25228125754126,3.7404904897148454,0
107,18,Male,White,133459.9520450433,Associate Degree,Charter,4,79.64399692053111,2.0400222442427984,1
108,18,Female,Hispanic,90965.3206637984,Bachelor's Degree,Public,0,81.54669796776479,3.5808992491643097,0
109,15,Male,Asian,85331.28003640288,Associate Degree,Private,4,87.9648318640856,2.5799698337110666,1
110,18,Female,Hispanic,145813.9589903364,Bachelor's Degree,Private,0,88.37917837916207,3.8526362307385718,0
111,15,Male,Black,125581.47068865041,No Diploma,Private,0,94.07531570631254,3.8580690919393086,0
112,15,Other,White,97047.71889677868,High School Diploma,Public,3,86.26013707135968,2.45334292649573,1
113,15,Male,White,69674.04855735354,High School Diploma,Public,2,92.61294443748632,2.1567248127095247,1
114,15,Male,Black,131428.5595204213,High School Diploma,Private,0,92.68957323560424,2.8927690351403177,0
115,17,Male,Asian,84652.36673572856,High School Diploma,Public,2,99.05094730212384,2.4293697262838414,1
116,18,Female,Asian,41122.223058979274,Associate Degree,Public,2,83.25067501751634,2.092828848409373,1
117,15,Female,White,84588.51272561277,No Diploma,Private,3,83.99157852033858,3.225796972770179,1
118,18,Male,White,134636.20753801754,PhD,Charter,0,92.39309626566872,2.6673220121969727,0
119,17,Other,White,83793.85762733346,Associate Degree,Charter,0,84.33159558634989,3.004356789187371,0
120,18,Male,White,31721.897728842014,No Diploma,Charter,1,95.71441319662597,2.7424516686439437,1
121,18,Other,White,103378.23886997635,Bachelor's Degree,Private,2,77.24394282773659,3.731769201239196,1
122,16,Female,Black,149499.60040936785,High School Diploma,Public,3,92.35833629934179,3.4997698328487337,1
123,16,Other,Hispanic,128069.83008486142,High School Diploma,Public,2,78.886854789485,3.5064516791213842,1
124,16,Other,Hispanic,104068.55359417775,Master's Degree,Charter,0,88.764394025781,2.4922230646631585,0
125,15,Other,Asian,139727.8664157462,High School Diploma,Private,1,87.65457872700097,2.2040089393822253,1
126,16,Other,Asian,127629.80179812743,High School Diploma,Charter,0,91.94677401849515,2.2414728363746255,0
127,16,Female,Hispanic,89836.72232880486,No Diploma,Public,4,89.03622825218045,3.078183703986584,1
128,16,Male,Asian,100946.43424888582,Bachelor's Degree,Public,1,88.55506547759778,3.6223750428657673,1
129,18,Male,Hispanic,117755.13710436238,Bachelor's Degree,Private,3,87.78836253305948,3.7781221852469793,1
130,15,Male,White,131571.13967746377,No Diploma,Charter,3,94.4669461086339,2.6520959869372414,1
131,18,Male,Asian,36981.16828520537,High School Diploma,Charter,2,81.71550934868309,2.909433940468195,1
132,16,Female,White,122976.46285933813,Bachelor's Degree,Private,2,79.02355306441024,2.0860484453982293,1
133,17,Female,White,83700.41279738423,High School Diploma,Private,1,75.3152202370752,2.191819879977764,1
134,15,Other,White,109295.82723618488,Associate Degree,Public,0,78.2969124254777,3.1388290390014726,0
135,16,Other,Black,121755.96131506201,High School Diploma,Public,1,91.12685600677143,3.6215875268876476,1
136,17,Male,Hispanic,94740.2310032938,Associate Degree,Private,4,93.02631804494477,3.0275504137091795,1
137,15,Male,White,49021.78206964789,Master's Degree,Charter,1,90.73967149596902,3.2941355111307,1
138,17,Female,Hispanic,79143.21978219194,High School Diploma,Public,1,76.7155220580148,3.4865258109474375,1
139,15,Other,Asian,39224.75925028557,Bachelor's Degree,Private,4,94.31505426721759,3.6605772093837823,1
140,16,Other,White,112716.08293863166,Associate Degree,Public,0,87.90582414304625,2.996205932178185,0
141,18,Other,Black,144444.74183557002,No Diploma,Charter,4,81.00199424897093,2.56632494301517,1
142,17,Other,Black,125430.33746690243,High School Diploma,Public,1,89.66448796252885,2.265627196864793,1
143,17,Male,Black,76774.37073445425,Master's Degree,Public,2,85.39809802327619,3.4083849641266983,1
144,16,Male,Hispanic,100114.97952065933,PhD,Public,3,92.43387704337624,3.5342621354437584,1
145,15,Male,Asian,66504.0811016243,Master's Degree,Private,0,87.39223194500975,2.649926691141788,1
146,18,Female,Hispanic,94925.4719465958,High School Diploma,Public,0,75.89950903376953,2.8050010468419355,0
147,16,Female,White,66087.22869415683,High School Diploma,Public,4,91.11566627766886,3.377526691566123,1
148,16,Other,Asian,118598.97081583319,Master's Degree,Charter,2,92.7846687476146,3.794861595176014,1
149,18,Male,White,61120.98095844306,Associate Degree,Charter,1,91.17664854913777,3.2577955083514505,1
150,15,Female,White,145682.4468520673,Bachelor's Degree,Public,2,97.86682217799168,3.789229919616202,1
151,17,Female,White,109433.84786082378,Bachelor's Degree,Public,4,83.32780221452867,3.7660204476071373,1
152,17,Male,White,38253.341722061254,No Diploma,Private,0,80.7009109170186,3.471698859666504,0
153,18,Male,Black,31293.331620683177,High School Diploma,Public,1,87.75701756118394,3.172088786186036,1
154,17,Other,Hispanic,149645.56130461206,Associate Degree,Public,4,95.1712386258726,2.4890234730808034,1
155,18,Male,Black,56460.66938589522,PhD,Private,3,92.16986768559607,2.1460397277472523,1
156,18,Female,Asian,67507.52981486131,Master's Degree,Public,3,85.6188644135927,2.6292279594512324,1
157,18,Male,White,55009.681704253,Associate Degree,Public,3,79.18927008006476,3.71692528412066,1
158,17,Female,Hispanic,141372.21269654186,No Diploma,Public,0,79.22698752845386,3.2858858636990265,0
159,16,Other,Asian,108241.54316023369,Associate Degree,Public,0,85.918813203177,2.8802046436676303,0
160,17,Female,Black,90526.3588267333,Associate Degree,Public,2,97.43380017242326,3.491176657180744,1
161,17,Other,Black,96918.09773910845,PhD,Public,2,85.62725603910934,3.3406397389220635,1
162,18,Male,Black,68144.74167590248,High School Diploma,Charter,3,98.37119087136904,3.5930159940140647,1
163,17,Male,Black,103701.00028366096,High School Diploma,Private,4,86.71205992155218,3.8540235661315743,1
164,18,Female,Black,80352.04361459182,Bachelor's Degree,Charter,3,75.9178842107054,2.8607108833243524,1
165,18,Male,Black,53907.3775709015,Associate Degree,Private,1,81.53107056540173,3.736546314587842,1
166,17,Female,Black,108792.61196518577,High School Diploma,Public,1,75.29803834976977,2.007182878137094,1
167,17,Male,Hispanic,74860.86831110544,High School Diploma,Public,3,79.97190082567502,3.4183032960809703,1
168,18,Other,White,124207.96549405939,Associate Degree,Public,4,86.51955907483959,2.7681571779484377,1
169,15,Female,White,79847.39490114324,Bachelor's Degree,Public,2,86.86917043273789,3.16375134920316,1
170,16,Male,Asian,90992.56500554355,Bachelor's Degree,Private,3,99.76783040819356,2.981978475739574,1
171,17,Female,Hispanic,124495.97750170756,PhD,Private,4,78.48331225757153,3.1848051027585944,1
172,18,Female,White,83745.37115036773,High School Diploma,Public,4,89.66986221610136,3.2184433084547446,1
173,17,Male,White,145946.53621489974,High School Diploma,Charter,1,77.80370960034209,2.5592428611323164,1
174,16,Other,Asian,125163.4400634134,No Diploma,Public,2,83.81914403151626,2.5553315630807756,1
175,17,Female,Asian,129171.64863779744,Master's Degree,Private,4,91.43702569289117,2.255066791684616,1
176,16,Other,Hispanic,144470.4560044473,Bachelor's Degree,Public,3,89.24624210504095,3.1463007177842903,1
177,15,Female,White,76662.0754611849,Bachelor's Degree,Public,4,83.26519515269338,2.118539051628118,1
178,17,Male,White,99609.6317018605,Associate Degree,Private,3,91.7795425793833,3.917928207073167,1
179,17,Female,Black,113231.00889547242,PhD,Public,4,92.10551622406233,2.6232084822199244,1
180,18,Female,Hispanic,110815.0180248757,No Diploma,Private,1,80.38916629350864,2.3590493018329757,1
181,15,Male,Asian,144352.41534732236,High School Diploma,Private,2,84.85711894875654,2.848867626174888,1
182,18,Male,Asian,64601.836065400144,High School Diploma,Charter,4,85.11997634421807,3.3916303946733075,1
183,17,Other,White,64963.38343511904,No Diploma,Public,4,97.02629812871274,2.125660124704048,1
184,18,Male,White,140160.5282446976,No Diploma,Public,1,91.26196083016875,2.3992619174424945,1
185,15,Female,White,125916.67700718716,Associate Degree,Public,4,92.49854701703566,3.3603296989284717,1
186,15,Other,White,54402.79488835173,High School Diploma,Public,0,79.35381195832417,3.719641937212403,0
187,17,Female,Asian,98405.62537113212,Bachelor's Degree,Private,0,99.6831022383485,2.724318596833034,0
188,15,Other,Hispanic,119491.64809155939,PhD,Public,3,82.73097945904975,2.355014141250665,1
189,17,Male,Black,72364.3668537011,Master's Degree,Private,4,87.6939130570732,2.819871103064358,1
190,18,Other,Asian,82125.8701465668,High School Diploma,Public,3,77.73446323579874,2.3604130802793364,1
191,17,Male,White,99047.59339930715,No Diploma,Public,4,81.1801784416262,3.9428624735521085,1
192,17,Female,Asian,86053.02690578527,PhD,Private,1,79.18755704156258,2.764625238346662,1
193,18,Female,White,120365.08680828394,PhD,Public,2,94.51575946261481,3.102247168998786,1
194,15,Female,White,30712.650441968366,High School Diploma,Private,2,98.16769078940614,2.4192073038293325,1
195,15,Male,Hispanic,82155.90292692606,Associate Degree,Public,3,91.93415135252766,3.81598165900452,1
196,15,Male,White,70509.76503946459,High School Diploma,Public,0,94.8318658992692,3.0252892272943845,0
197,16,Male,Black,103099.68633957923,Bachelor's Degree,Charter,4,79.10557336826119,3.1785957337510338,1
198,17,Female,Black,123115.01302576315,Associate Degree,Private,2,85.99970704759943,3.7753861434754534,1
199,15,Other,Hispanic,39137.41946418363,Master's Degree,Public,3,77.57525616404153,2.3326051557777885,1
200,16,Male,Asian,48967.16803214309,Associate Degree,Private,4,98.10680109727852,2.3185657887237445,1
201,17,Male,Hispanic,109809.79489704399,No Diploma,Public,1,92.15462637034616,2.143768921281046,1
202,18,Male,Asian,118608.29292185004,High School Diploma,Charter,3,77.52511825885783,3.8687141003207506,1
203,17,Male,White,100584.21324946024,Master's Degree,Public,0,93.44926192957685,2.781181833087911,0
204,17,Male,White,147936.40187615115,Bachelor's Degree,Private,4,82.58558010320348,2.591670762852103,1
205,18,Male,Black,89935.37869278895,Bachelor's Degree,Public,4,98.00898929815351,2.5130680361798357,1
206,16,Male,Black,46355.08021171723,Bachelor's Degree,Charter,2,76.59122985434965,3.7330225284328735,1
207,15,Male,White,112354.9272445296,Bachelor's Degree,Public,2,82.78373705733453,3.961166854498984,1
208,15,Male,White,102249.06266337578,Bachelor's Degree,Private,3,96.31365617884077,3.331274856919814,1
209,15,Other,Asian,100850.57700363161,Bachelor's Degree,Public,0,77.58273203286086,3.6016715720545993,0
210,18,Male,White,95502.43622956779,Associate Degree,Public,2,81.84557643346908,3.2664311829635553,1
211,18,Female,White,142691.48514594467,Bachelor's Degree,Private,4,79.36809050532223,2.860585862254495,1
212,15,Other,White,45498.76761918696,High School Diploma,Private,3,97.31316510470792,3.4635105214155573,1
213,17,Female,Asian,38783.67582299741,Associate Degree,Private,3,86.99659297202516,3.737252326978093,1
214,17,Male,White,48494.06032527838,Associate Degree,Private,0,96.40119967886885,3.165884854178665,0
215,15,Male,White,59398.825188594055,High School Diploma,Charter,2,83.16108686811435,3.45898070824376,1
216,15,Female,White,101153.5583323763,High School Diploma,Public,2,91.72624426292269,3.45995160199727,1
217,18,Female,Asian,103491.02989160812,No Diploma,Public,0,77.51575519444744,2.1281043149516066,0
218,15,Male,White,57912.22529485011,High School Diploma,Public,4,85.75947473031385,3.330675246545044,1
219,16,Other,Hispanic,88707.0599173125,High School Diploma,Private,3,81.44577492882671,3.359682882913244,1
220,17,Other,Asian,87847.42233212819,No Diploma,Charter,0,81.7930052513662,3.082778297018475,0
221,15,Other,Asian,84373.291954227,High School Diploma,Private,1,77.97933825275256,2.6046687602648553,1
222,15,Male,White,126425.43538951897,High School Diploma,Charter,0,84.70783095304294,2.580785042915867,0
223,18,Other,White,86603.16838507583,High School Diploma,Public,3,79.31444121891175,3.2034079570399965,1
224,16,Male,Hispanic,121003.85951473992,High School Diploma,Private,4,92.08025490576658,3.6846118394322502,1
225,18,Other,White,49977.73581657577,High School Diploma,Public,1,87.93458647796788,2.5310990062377527,1
226,15,Female,White,93836.08128878017,Bachelor's Degree,Public,1,86.45839955650192,3.5276699057107113,1
227,17,Other,White,128892.57312758347,High School Diploma,Private,1,96.85015051506863,2.9990986694201514,1
228,16,Other,White,51325.990069950916,High School Diploma,Public,3,79.63255441297066,2.7152511187274815,1
229,16,Male,Black,85790.66024371948,Associate Degree,Public,0,92.48014233039383,3.520746543990102,0
230,16,Female,White,103089.517924286,High School Diploma,Public,2,79.62902683005326,3.007324762244801,1
231,18,Male,White,52172.94898047448,No Diploma,Private,3,90.71349829870707,3.902456269577101,1
232,15,Male,Black,120811.87270936837,High School Diploma,Public,3,75.97682815610476,3.0757142900142567,1
233,15,Male,White,39479.54973555809,Associate Degree,Public,3,75.85981608039805,2.443806522643219,1
234,15,Female,White,143569.86106892626,Bachelor's Degree,Charter,2,85.35102066424285,2.2864953794927003,1
235,16,Female,White,86186.57930617628,Bachelor's Degree,Public,3,99.82991200690282,2.1524542275039766,1
236,16,Male,Black,70334.77036385718,No Diploma,Private,2,78.68722384971805,2.8896538083017047,1
237,17,Female,Asian,44016.840859516844,Bachelor's Degree,Charter,1,93.83075693420002,3.273991200078588,1
238,16,Male,Asian,81911.59716814377,High School Diploma,Charter,0,89.34658257159852,2.5929035055480747,0
239,15,Male,White,109176.48352689261,Bachelor's Degree,Public,3,82.01941154127447,2.549619376776619,1
240,15,Male,Hispanic,41338.47349708609,No Diploma,Public,2,94.20375105026756,3.5662236144100974,1
241,16,Other,Asian,66752.29142012983,High School Diploma,Public,1,82.38441790558517,3.9610639817076354,1
242,17,Male,White,130322.10993272533,No Diploma,Public,4,79.2184005915381,3.0114307063047585,1
243,16,Male,Hispanic,107541.72307179926,Master's Degree,Public,0,79.85285923489819,3.912504955426149,0
244,16,Female,Asian,54764.76142291487,High School Diploma,Public,4,79.70896179631907,2.1291621482867082,1
245,18,Male,Asian,49309.1754951707,Bachelor's Degree,Private,0,93.96404163674339,3.1230803892475985,1
246,16,Other,White,138538.203144108,High School Diploma,Private,3,88.2113243516305,3.809198357397213,1
247,15,Other,White,64442.426560918124,High School Diploma,Public,2,91.33912097922189,3.0172417906293587,1
248,15,Other,White,51540.020267835636,PhD,Public,0,97.35803444000219,3.000335580281268,0
249,15,Female,White,149995.68222511228,Associate Degree,Private,3,79.205851250713,3.1594663354094763,1
250,18,Male,Hispanic,67103.0193333487,Master's Degree,Private,1,85.55882175739865,2.757041599775155,1
251,18,Female,White,44968.82253712364,High School Diploma,Private,3,92.00227545817488,3.0383779395806805,1
252,16,Other,Hispanic,85410.91557035365,Master's Degree,Charter,4,83.7446098330308,2.28037262226666,1
253,17,Female,White,82121.41322381786,PhD,Public,0,91.54015674722822,3.4555594162855447,0
254,16,Male,White,141216.29709963972,High School Diploma,Private,2,83.9933005928958,2.0328277442816534,1
255,18,Other,White,46104.59369715657,PhD,Public,4,79.46780175871163,2.4329338640810088,1
256,16,Male,Asian,40936.36873551682,High School Diploma,Public,1,88.3509705269552,3.895447005265284,1
257,18,Male,Asian,41157.440508801614,High School Diploma,Private,3,75.38457402895513,2.9078204408303048,1
258,15,Male,White,138514.49589866836,PhD,Public,0,84.62698828533658,3.1441406191730374,0
259,15,Male,Hispanic,83924.30135532925,PhD,Charter,1,92.13412538004656,3.4890641697437186,1
260,18,Other,White,48072.78337862708,High School Diploma,Public,2,81.60979687103021,2.2908033759084208,1
261,16,Female,Asian,101259.61180551487,Master's Degree,Public,4,93.15412986308272,3.986010201995474,1
262,17,Female,White,94514.80267809985,High School Diploma,Private,0,87.3265508246079,2.844418382911581,0
263,15,Male,Hispanic,53808.80972986792,PhD,Public,1,82.194432987822,2.0000400550602304,1
264,17,Other,White,102364.57673116452,Master's Degree,Private,2,85.78394505274235,3.590142196597869,1
265,18,Other,Asian,70827.74811803347,PhD,Public,3,76.64052977234448,2.1584791956007097,1
266,18,Other,Hispanic,58604.49212770439,Associate Degree,Charter,2,87.03741573471865,2.9420140762468057,1
267,17,Male,Asian,91248.07330788337,High School Diploma,Public,4,85.24026126345701,2.4685206309675705,1
268,18,Other,Black,64997.911381966514,High School Diploma,Public,1,86.52808495190328,2.3313881970258548,1
269,16,Other,Black,56656.79061134558,Associate Degree,Public,2,77.5526270971893,2.436204176757717,1
270,16,Female,Hispanic,135566.6889959609,Bachelor's Degree,Public,0,75.68963736275857,3.3402628998183275,0
271,16,Male,Black,48691.50918881007,Bachelor's Degree,Public,4,78.28666857854385,3.185727985365737,1
272,18,Male,Black,63670.797274179895,High School Diploma,Charter,0,82.75717875773002,2.129885741043785,0
273,17,Male,Hispanic,76336.60558197909,Associate Degree,Private,2,77.70072674383134,3.4660172939106113,1
274,15,Other,White,62836.59723600274,Associate Degree,Private,2,94.18312687519364,3.0840121802450318,1
275,15,Male,White,55285.27710933235,High School Diploma,Private,4,96.58536514617903,2.1754290422592364,1
276,16,Female,Black,122537.53164655056,Associate Degree,Public,4,89.56647939395393,2.821093813791883,1
277,15,Female,White,69481.93904682978,High School Diploma,Public,3,90.69827191682582,3.3329947478805373,1
278,18,Other,White,43501.554923920616,Associate Degree,Public,2,99.00092356578145,2.382138804765428,1
279,17,Other,Asian,94907.4194948035,High School Diploma,Public,2,88.78543911404142,3.358281334789043,1
280,18,Male,Hispanic,45058.61966836924,Master's Degree,Public,0,96.71719282080585,2.5320744339031656,0
