,Exam Score,Number of Subjects Passed,Average Grade,School Type,Household Income,Student Gender,Learning Difficulty,Extracurricular Activities,label
95,418,2,A-,Private,57156,Male,No,4,0
96,585,2,C+,Private,43246,Male,No,2,0
97,408,1,F,Public,74005,Female,No,8,1
98,321,7,C-,Private,56797,Male,Yes,8,1
99,208,8,C+,Public,83950,Male,No,7,0
100,393,8,D,Private,50605,Male,Yes,1,0
101,529,4,D,Public,28394,Male,Yes,0,0
102,535,9,A-,Private,78612,Female,Yes,6,1
103,344,4,C,Private,61418,Male,Yes,4,0
104,433,6,C-,Public,84725,Female,No,5,1
105,386,8,B,Private,71160,Male,No,3,0
106,532,4,B+,Public,97607,Female,No,9,1
107,343,1,A-,Private,79337,Female,No,9,1
108,458,9,B,Public,41827,Male,Yes,9,0
109,450,9,D,Public,72711,Female,Yes,1,0
110,552,7,B-,Private,52946,Male,Yes,4,0
111,538,2,C,Private,25353,Male,No,0,0
112,310,2,C,Private,64669,Male,No,6,1
113,416,5,B+,Private,53038,Female,No,2,1
114,293,6,A-,Private,47356,Female,Yes,4,0
115,421,5,D,Public,51064,Female,No,6,1
116,479,3,D,Public,37464,Female,No,1,1
117,492,8,F,Public,48519,Female,No,2,1
118,482,1,B+,Public,30355,Female,No,4,1
119,549,5,A-,Private,69440,Female,No,1,1
120,515,2,F,Public,99184,Male,No,1,0
121,579,6,B+,Public,50785,Male,No,1,1
122,315,2,C-,Private,44354,Female,Yes,8,1
123,579,5,A,Public,39673,Female,No,1,1
124,314,3,C+,Public,37746,Male,No,1,0
125,433,3,B,Private,47061,Female,No,5,1
126,488,7,A,Private,54470,Female,Yes,3,1
127,328,2,F,Public,70500,Male,No,0,0
128,550,2,A,Public,53781,Female,No,8,1
129,293,6,A,Private,96549,Male,Yes,6,1
130,589,4,B,Private,82172,Male,No,8,1
131,375,8,C,Public,39518,Female,No,8,1
132,423,8,A-,Public,61429,Female,Yes,3,1
133,488,1,F,Private,47538,Female,No,2,1
134,294,3,A-,Private,23402,Female,No,7,1
135,299,1,B+,Private,90205,Male,Yes,9,1
136,352,5,B-,Public,92264,Female,No,4,1
137,257,6,C,Public,63944,Male,No,1,0
138,264,4,B-,Private,68472,Male,Yes,0,0
139,387,3,A-,Private,70734,Male,No,8,1
140,342,7,C,Public,49797,Female,Yes,3,0
141,370,3,F,Private,88322,Male,Yes,8,1
142,504,8,B+,Private,95560,Male,Yes,1,1
143,368,5,C,Private,38841,Female,No,6,1
144,522,3,A,Public,35974,Male,Yes,1,0
145,512,9,C-,Private,35226,Female,No,6,1
146,276,9,C+,Private,61132,Male,Yes,9,1
147,385,9,A,Private,42032,Female,Yes,0,0
148,589,3,A,Private,78234,Female,Yes,6,1
149,418,6,B,Public,89337,Male,No,5,0
150,518,2,F,Public,57593,Male,No,2,0
151,502,3,C+,Public,52665,Female,Yes,5,0
152,296,7,C,Private,77546,Female,Yes,0,0
153,244,3,C,Private,44999,Female,Yes,6,1
154,410,4,B-,Private,27860,Male,Yes,7,0
155,324,7,B+,Public,49512,Male,Yes,5,0
156,487,4,C-,Public,54662,Male,Yes,8,0
157,478,4,C+,Private,85111,Female,Yes,9,1
158,208,6,A,Private,60961,Male,Yes,6,1
159,454,1,F,Public,23647,Male,Yes,5,0
160,486,9,C+,Private,55359,Male,No,8,1
161,424,8,C+,Private,76706,Female,Yes,1,0
162,581,7,B,Public,58181,Female,No,3,1
163,561,8,B+,Private,73565,Male,Yes,0,1
164,510,4,F,Private,84007,Female,Yes,3,0
165,492,3,F,Public,44812,Male,No,8,0
166,552,6,D,Public,74325,Female,No,2,1
167,376,2,A-,Private,46144,Female,No,3,1
168,521,1,B-,Public,91060,Male,Yes,2,0
169,317,1,B,Public,58075,Female,Yes,7,0
170,289,3,A,Private,76700,Female,Yes,2,0
171,521,5,B,Public,54252,Female,No,6,1
172,229,3,B-,Public,52083,Female,No,6,1
173,312,5,F,Public,25651,Female,Yes,8,0
174,221,9,D,Public,69728,Female,Yes,1,0
175,241,8,B-,Private,52292,Male,Yes,3,0
176,338,7,C,Private,45756,Male,No,7,1
177,318,8,B-,Private,66226,Male,Yes,9,1
178,505,9,D,Private,22776,Female,Yes,5,0
179,427,9,A-,Private,83225,Male,Yes,6,1
180,463,9,B,Private,28049,Female,No,6,1
181,558,8,D,Public,52631,Female,No,6,1
182,560,3,B+,Private,86299,Male,Yes,2,0
183,451,5,F,Private,49774,Male,No,5,1
184,506,8,D,Private,92021,Male,Yes,4,0
185,538,5,A,Private,46026,Male,No,4,1
186,501,3,A-,Private,67932,Female,No,9,1
187,414,8,B+,Private,33979,Male,Yes,5,1
188,350,9,A-,Private,61826,Female,No,7,1
189,230,9,A-,Private,72921,Female,No,4,1
190,560,7,A-,Public,71888,Male,Yes,7,1
191,332,5,B-,Private,89416,Male,Yes,1,0
192,326,3,C-,Private,30811,Male,No,4,0
193,532,5,F,Private,34501,Male,Yes,4,0
194,478,7,F,Public,22751,Male,Yes,1,0
195,207,7,D,Private,41654,Male,Yes,6,1
196,512,2,A,Public,69088,Male,Yes,3,0
197,271,3,A-,Public,77388,Male,Yes,6,0
198,534,8,B-,Public,70531,Female,No,4,1
199,479,9,B-,Private,83341,Female,Yes,7,1
200,317,6,D,Private,41186,Female,No,7,1
201,418,6,B+,Private,46281,Male,No,9,1
202,228,5,A,Private,69490,Male,No,1,0
203,280,6,B-,Private,28972,Female,No,7,1
204,571,9,C+,Private,62629,Male,Yes,5,1
205,417,8,D,Private,91615,Male,No,0,0
206,474,8,B,Private,63345,Male,No,3,0
207,323,4,C+,Private,92948,Male,Yes,9,1
208,296,2,C-,Private,97726,Male,No,9,1
209,480,8,C-,Public,54699,Male,No,9,0
210,541,9,F,Private,24092,Male,No,4,0
211,265,8,C,Private,88546,Female,No,7,1
212,252,1,A-,Private,57946,Female,No,4,1
213,538,3,C,Private,67404,Female,No,3,1
214,251,5,B-,Public,48328,Female,Yes,7,0
215,418,2,F,Private,94084,Female,Yes,0,0
216,450,9,C+,Public,98267,Male,Yes,9,0
217,250,8,D,Private,82778,Male,Yes,3,0
218,515,6,B+,Private,43337,Female,Yes,6,1
219,538,5,C+,Private,97111,Male,No,2,0
220,487,3,C-,Private,91310,Male,Yes,0,0
221,271,6,B-,Private,80719,Male,No,0,0
222,496,6,B-,Public,47074,Male,Yes,3,0
223,202,2,A,Public,81404,Male,No,3,0
224,591,1,C-,Private,55877,Male,No,3,0
225,356,7,D,Private,22443,Female,Yes,3,0
226,566,9,A-,Public,70140,Female,Yes,5,1
227,381,1,A-,Private,50720,Female,No,2,1
228,303,3,C+,Public,48742,Female,No,6,1
229,500,9,F,Public,46689,Male,No,0,0
230,429,2,B-,Public,54795,Male,Yes,6,0
231,477,6,C,Public,40394,Male,Yes,5,0
232,232,5,B-,Public,89391,Male,Yes,3,0
233,407,8,B,Public,65979,Female,Yes,3,0
234,206,1,B,Public,43215,Female,No,8,1
235,398,3,D,Private,76556,Female,No,9,1
236,477,6,B+,Public,50267,Female,Yes,9,1
237,454,7,D,Private,46738,Male,No,9,1
238,245,2,A,Public,73256,Female,Yes,6,0
239,256,7,B-,Private,28071,Female,No,9,1
240,239,1,C-,Public,89221,Female,No,4,1
241,381,9,A-,Private,58596,Male,No,8,1
242,520,1,A-,Public,51997,Female,Yes,1,0
243,455,3,B,Private,81377,Female,No,4,1
244,318,9,C+,Public,83627,Male,No,4,0
245,369,6,C,Private,76724,Female,Yes,3,0
246,465,3,C-,Public,67824,Male,No,8,0
247,287,7,C,Private,53197,Male,Yes,1,0
248,468,3,B+,Private,54706,Female,Yes,8,1
249,578,7,C+,Private,70653,Female,No,8,1
250,216,5,C,Private,88770,Female,Yes,9,1
251,483,7,B-,Public,91171,Male,No,1,0
252,447,8,C+,Public,61921,Female,No,5,1
253,494,7,A,Private,25073,Female,No,8,1
254,515,1,D,Public,78071,Male,Yes,5,0
255,334,2,B,Public,86039,Male,Yes,9,0
256,321,4,B,Private,39064,Male,No,6,0
257,549,9,B+,Public,59066,Female,Yes,5,1
258,500,1,C-,Private,67585,Female,No,7,1
259,559,6,C-,Private,47869,Female,No,1,1
260,514,1,C-,Public,72372,Male,Yes,6,0
261,250,7,C+,Private,99687,Female,No,6,1
262,469,6,F,Private,94919,Male,No,0,0
263,328,4,C+,Private,28416,Male,Yes,8,0
264,565,7,B-,Public,56088,Male,Yes,7,0
265,324,6,C+,Private,34554,Female,Yes,0,0
266,286,3,B,Private,46279,Male,Yes,3,0
267,496,4,D,Public,88248,Female,Yes,8,0
268,385,5,B-,Public,42557,Female,Yes,0,0
269,465,1,A,Public,69079,Male,No,7,0
270,201,8,C+,Public,84633,Male,Yes,9,0
271,413,5,A-,Private,27845,Male,No,4,1
272,285,8,C+,Public,71095,Male,No,3,0
273,503,1,D,Private,94827,Male,No,6,1
274,231,8,B-,Private,40474,Female,Yes,1,0
275,507,4,D,Private,47911,Male,Yes,4,0
276,500,9,B-,Public,75800,Male,No,9,0
277,482,9,B,Public,66165,Male,Yes,1,0
278,503,3,D,Private,22207,Male,Yes,7,0
279,493,7,B,Private,44850,Male,No,8,1
280,307,9,D,Private,37068,Female,No,5,1
281,428,4,B+,Public,33969,Male,Yes,1,1
282,475,3,C,Private,85796,Female,Yes,1,0
283,555,1,F,Private,23845,Female,No,8,1
284,308,3,A,Private,98546,Male,No,1,0
285,221,8,C,Private,67608,Male,No,5,1
286,288,3,F,Public,73140,Male,No,0,0
287,490,7,A,Private,72114,Male,Yes,5,1
288,224,3,B-,Private,39124,Male,Yes,2,0
289,534,6,B+,Public,79654,Male,Yes,8,1
290,515,3,B-,Private,97382,Female,Yes,2,0
291,520,9,B+,Public,49901,Male,Yes,8,1
292,402,4,C,Public,31428,Female,Yes,4,0
293,226,9,C,Private,36024,Female,No,8,1
294,513,5,B-,Public,78225,Female,No,8,1
295,450,3,C,Public,90361,Male,No,2,0
296,285,1,B,Public,31401,Male,Yes,2,0
297,472,1,F,Public,59589,Female,No,3,1
298,294,9,A,Private,81194,Female,Yes,5,1
299,569,6,B,Public,27785,Male,No,4,0
300,535,3,C+,Public,48186,Female,Yes,7,0
301,442,6,B-,Private,72121,Female,Yes,3,0
302,399,7,A-,Public,40937,Male,No,8,0
303,291,9,C,Private,78284,Female,No,0,1
304,369,8,D,Private,51999,Male,Yes,2,0
305,510,2,C-,Public,94389,Female,Yes,4,0
306,268,8,A,Private,42011,Male,Yes,3,0
307,425,6,C+,Private,79560,Male,No,4,0
308,378,2,D,Public,96422,Male,Yes,4,0
309,338,3,C,Private,28158,Female,Yes,3,0
310,529,8,B+,Public,35523,Male,No,8,1
311,432,6,C-,Private,24965,Female,Yes,8,0
312,231,2,B-,Public,59938,Female,Yes,3,0
313,569,4,A-,Public,50234,Male,Yes,2,1
314,442,5,A,Private,79411,Female,No,4,1
315,432,9,B,Public,41403,Female,Yes,1,0
316,459,1,C-,Private,28783,Female,Yes,2,0
317,518,6,B,Private,73577,Male,Yes,7,1
318,242,9,C-,Private,55078,Male,Yes,8,1
319,405,5,D,Private,20040,Male,No,1,0
320,469,1,F,Public,45187,Male,No,6,0
321,575,8,A-,Private,34361,Male,Yes,4,1
322,419,9,B+,Public,66353,Male,Yes,0,1
323,426,9,A-,Private,56016,Female,No,4,1
324,375,5,B+,Public,87352,Female,No,7,1
325,306,2,B-,Private,41128,Male,No,2,0
326,576,3,C,Public,43188,Female,Yes,7,0
327,229,1,B,Private,44529,Male,No,9,1
328,412,7,A,Public,40180,Female,Yes,8,1
329,236,4,A,Private,21329,Male,Yes,9,0
330,576,2,C-,Public,32871,Male,Yes,5,0
331,566,6,B,Private,82078,Female,Yes,5,1
332,248,8,C-,Private,57892,Female,Yes,6,1
333,558,7,B+,Private,29404,Female,Yes,3,1
334,307,5,A-,Private,93089,Male,Yes,0,0
335,585,1,F,Public,58563,Female,No,6,1
336,494,7,D,Public,24543,Male,Yes,5,0
337,297,5,B,Private,32187,Female,Yes,3,0
338,317,9,B+,Public,72857,Female,No,0,1
339,238,7,D,Private,23241,Male,Yes,3,0
340,493,4,A,Public,30525,Male,Yes,8,1
341,464,4,A,Private,26469,Male,No,3,1
342,542,3,B,Public,60154,Male,Yes,7,0
343,449,9,C-,Public,24363,Male,No,4,0
344,260,1,A,Public,68803,Male,Yes,7,0
345,379,4,B,Public,26686,Male,Yes,1,0
346,505,6,C+,Private,91841,Female,No,5,1
347,229,5,C+,Private,52149,Female,Yes,1,0
348,518,6,F,Private,21053,Female,Yes,3,0
349,557,9,C,Public,43506,Female,No,3,1
350,215,5,B,Public,36102,Female,No,3,1
351,214,1,B+,Public,93732,Male,No,1,0
352,571,8,B,Public,96099,Male,Yes,0,0
353,272,7,C,Public,24341,Male,Yes,8,0
354,322,5,C+,Public,68724,Male,Yes,4,0
355,475,8,C,Public,89628,Male,No,9,0
356,558,2,D,Private,61942,Female,No,5,1
357,270,4,B,Public,72665,Female,Yes,4,0
358,341,6,D,Public,95948,Male,Yes,9,0
359,322,6,A-,Private,50548,Male,Yes,4,0
360,296,4,C-,Private,82310,Male,Yes,8,1
361,582,2,F,Private,41114,Male,Yes,9,1
362,505,3,A-,Private,42729,Female,Yes,8,1
363,365,9,D,Private,36588,Male,No,7,0
364,526,7,F,Public,26907,Female,No,2,1
365,439,5,B,Public,78358,Male,Yes,2,0
366,498,3,B,Private,40299,Male,Yes,9,1
367,465,3,A-,Public,26633,Male,No,3,0
368,462,6,F,Private,66724,Male,No,0,0
369,404,4,F,Public,67739,Female,Yes,2,0
370,494,6,F,Private,70546,Female,Yes,3,0
371,586,2,A,Private,22660,Male,No,5,0
372,235,5,C,Private,68307,Male,No,7,1
373,445,1,C-,Public,76962,Male,Yes,1,0
374,474,3,C+,Public,81972,Male,Yes,7,0
375,501,9,B-,Private,77597,Female,Yes,5,1
376,584,2,C+,Private,44744,Female,Yes,7,1
377,246,1,A-,Public,68414,Male,Yes,0,0
378,333,9,A-,Public,98949,Female,Yes,8,0
379,417,7,C,Private,28817,Female,Yes,5,0
380,585,5,C+,Private,62198,Male,No,6,1
381,343,9,C-,Private,41693,Female,Yes,7,1
382,464,5,F,Private,25387,Female,No,4,1
383,231,1,C+,Public,21095,Male,No,8,0
384,260,1,C,Private,43257,Female,Yes,4,0
385,519,1,C-,Private,58701,Female,Yes,7,1
386,319,2,B,Private,79166,Male,Yes,2,0
387,563,8,C+,Public,99720,Male,Yes,4,0
388,207,5,F,Private,78538,Female,Yes,3,0
389,518,9,B,Private,37780,Male,Yes,5,0
390,378,6,F,Private,42474,Male,No,9,1
391,400,1,A,Private,97786,Female,No,8,1
392,427,7,B+,Private,21564,Female,Yes,2,1
393,371,6,B-,Public,59935,Female,Yes,0,0
394,414,2,F,Private,84923,Male,No,9,1
395,522,8,D,Private,23608,Male,No,8,0
396,445,3,D,Private,28464,Female,No,0,1
397,545,3,B,Private,50151,Male,Yes,4,0
398,372,9,C+,Public,35610,Female,No,5,1
399,430,2,C+,Private,79507,Male,Yes,7,1
400,311,1,A-,Public,45338,Male,No,9,0
401,451,4,C+,Private,86902,Male,No,2,0
402,305,9,C-,Public,65018,Male,Yes,8,0
403,360,5,C,Public,70818,Male,No,6,0
404,452,6,A,Private,46491,Male,No,3,1
405,291,3,F,Public,84587,Male,Yes,7,0
406,233,4,C+,Private,58874,Male,Yes,4,0
407,309,7,B-,Private,23358,Female,Yes,3,0
408,533,7,C,Private,99323,Male,No,9,1
409,368,7,F,Public,32849,Female,Yes,8,0
410,241,9,D,Public,55695,Male,Yes,3,0
411,341,6,F,Private,43617,Male,Yes,0,0
412,426,1,C+,Private,88092,Male,No,5,1
413,432,2,B-,Public,21756,Male,Yes,1,0
414,486,9,C+,Public,43325,Male,No,0,0
415,593,1,C,Private,88279,Male,Yes,2,0
416,468,4,B+,Public,35070,Male,No,1,1
417,379,9,B-,Public,69336,Female,Yes,4,0
418,465,8,F,Private,28912,Female,No,2,1
419,228,3,B,Public,88703,Male,Yes,7,0
420,343,9,C,Public,71119,Male,Yes,4,0
421,303,9,B-,Public,58358,Male,No,7,0
422,364,1,B+,Public,25151,Female,Yes,6,0
423,465,2,D,Private,69481,Male,Yes,4,0
424,539,7,A,Public,40148,Male,Yes,1,1
425,391,2,F,Public,47926,Female,Yes,8,0
426,353,6,B+,Public,20277,Female,Yes,7,0
427,227,8,C+,Public,69424,Female,No,0,1
428,390,5,B,Public,49080,Male,Yes,1,0
429,269,5,C-,Private,70331,Female,Yes,8,1
430,476,3,B+,Public,41679,Male,Yes,2,0
431,560,6,B,Private,67706,Male,Yes,7,1
432,269,3,B,Private,69136,Male,Yes,6,1
433,376,2,B+,Public,62184,Male,No,1,0
434,534,9,F,Public,25801,Female,No,0,1
435,252,7,C,Public,70095,Female,No,1,1
436,560,6,C-,Private,98233,Female,No,6,1
437,529,2,D,Private,91794,Male,Yes,7,1
438,512,7,D,Private,76933,Male,No,0,0
439,410,2,B+,Public,76921,Female,No,6,1
440,452,9,A,Public,46415,Male,No,1,1
441,350,2,B+,Private,29797,Female,No,4,1
442,504,2,C,Private,39201,Female,Yes,0,0
443,572,3,A,Public,68873,Male,Yes,9,0
444,545,6,D,Private,46184,Male,No,0,0
445,538,7,B-,Public,74686,Male,No,6,0
446,412,4,B,Private,37457,Male,No,7,0
447,393,2,C,Public,66445,Female,Yes,2,0
448,443,2,B+,Public,90715,Female,Yes,3,0
449,326,8,C-,Public,66794,Male,No,6,0
450,288,9,A-,Private,24919,Male,No,6,0
451,535,6,A,Private,59074,Female,No,4,1
452,478,2,F,Private,53335,Male,No,7,1
453,323,1,C-,Private,33174,Male,Yes,3,0
454,320,9,C-,Public,70048,Male,Yes,0,0
455,507,3,C+,Private,86244,Female,Yes,1,0
456,458,4,F,Private,88878,Male,Yes,7,1
457,523,9,A-,Private,64024,Female,No,7,1
458,316,1,B,Public,29890,Male,Yes,3,0
459,359,6,C,Public,79555,Female,No,0,1
460,440,4,C-,Public,81647,Female,Yes,5,0
461,561,1,C+,Private,58386,Female,Yes,6,1
462,425,6,C+,Private,92304,Male,No,3,0
463,485,1,B+,Public,72763,Female,Yes,4,0
464,255,8,D,Private,68819,Female,No,1,1
465,380,1,C+,Public,29860,Female,No,6,1
466,481,8,C-,Public,47876,Female,No,6,1
467,502,2,C,Private,74991,Male,Yes,3,0
468,494,3,F,Private,20747,Female,Yes,1,0
469,305,6,B-,Private,86107,Male,No,0,0
470,576,2,A,Public,58496,Female,No,8,1
471,379,4,A-,Private,93045,Female,No,8,1
472,271,1,B,Public,65135,Female,No,7,1
473,273,5,C-,Public,80956,Female,Yes,1,0
474,226,1,B-,Private,80918,Female,No,5,1
475,422,3,C,Public,57255,Female,Yes,1,0
476,265,3,B,Public,94688,Female,No,4,1
477,438,6,D,Public,21818,Male,Yes,2,0
478,287,5,C+,Public,80884,Female,Yes,5,0
479,369,6,B-,Private,88786,Male,No,5,1
480,583,1,C,Public,90951,Male,No,3,0
481,453,7,C-,Public,34203,Male,No,0,0
482,344,3,F,Public,68649,Female,No,7,1
483,324,2,C+,Private,30180,Female,No,7,1
484,534,3,A-,Private,79458,Male,No,9,1
485,585,8,C+,Private,25779,Female,No,7,1
486,416,9,F,Public,20398,Male,Yes,8,0
487,389,4,F,Public,31119,Male,Yes,9,0
488,208,6,D,Private,89423,Female,Yes,2,0
489,380,4,B-,Public,93003,Female,Yes,0,0
490,371,1,D,Public,52281,Female,No,6,1
491,452,4,C+,Private,35608,Female,No,9,1
492,573,4,B+,Public,22273,Female,No,5,1
493,497,4,B+,Public,43337,Male,Yes,7,1
494,266,5,C+,Private,65760,Male,No,1,0
495,510,1,B,Private,44209,Male,No,7,1
496,203,8,C,Public,92900,Male,No,7,0
497,234,3,B+,Private,69631,Female,No,6,1
498,305,3,F,Public,89504,Female,No,9,1
499,273,2,B-,Private,79576,Male,No,8,1
500,596,1,B,Public,68844,Male,Yes,4,0
501,534,9,C,Public,76118,Female,No,1,1
502,377,7,A,Private,67000,Female,Yes,0,0
503,226,8,B-,Public,77349,Male,Yes,9,0
504,204,4,B-,Public,38068,Female,No,3,1
505,240,7,D,Private,38054,Female,Yes,1,0
506,414,7,C,Private,75505,Male,No,4,0
507,509,7,B-,Public,43393,Female,Yes,3,0
508,436,5,C+,Private,32923,Male,Yes,8,0
509,468,4,B+,Private,89350,Female,No,8,1
510,488,1,A,Private,77423,Female,No,5,1
511,531,6,A-,Public,98756,Male,No,7,1
512,330,9,D,Private,21940,Female,No,6,1
513,462,8,B,Private,88010,Female,Yes,5,1
514,350,2,F,Private,39018,Male,No,1,0
515,351,3,A-,Public,41994,Female,Yes,9,0
516,522,1,C,Public,77170,Male,Yes,4,0
517,321,8,B+,Private,85342,Female,No,9,1
518,205,3,B+,Public,43621,Female,No,9,1
519,334,1,B+,Private,28361,Male,Yes,6,0
520,378,7,C,Public,28827,Female,No,3,1
521,421,3,C,Private,61617,Male,No,0,0
522,257,4,A-,Private,54006,Male,No,6,1
523,429,5,A-,Public,71761,Female,No,6,1
524,454,5,A,Public,37892,Male,Yes,8,1
525,213,9,C,Public,24574,Female,No,3,1
526,474,5,F,Public,40402,Male,No,5,0
527,326,9,F,Public,83064,Female,Yes,4,0
528,316,3,B-,Private,84654,Male,Yes,7,1
529,453,3,B+,Private,36137,Male,No,4,0
530,546,2,C-,Public,51897,Male,Yes,0,0
531,590,9,F,Public,56743,Female,No,9,1
532,393,6,D,Private,55481,Male,Yes,6,1
533,311,3,C,Public,98478,Male,Yes,3,0
534,511,3,B-,Private,71670,Female,Yes,1,0
535,571,5,B,Private,71650,Male,Yes,3,0
536,299,5,F,Private,26504,Male,Yes,8,0
537,554,2,A-,Private,52088,Male,No,2,0
538,399,9,B-,Private,60599,Male,Yes,8,1
539,241,9,A,Private,69827,Male,No,8,1
540,458,7,D,Private,27688,Male,Yes,3,0
541,561,8,D,Public,89673,Male,No,1,0
542,268,4,F,Public,74744,Male,No,5,0
543,465,8,C,Private,33103,Female,Yes,6,0
544,565,2,B+,Public,99264,Female,Yes,4,0
545,548,4,B,Public,88209,Male,Yes,0,0
546,290,2,A,Public,35626,Male,No,9,0
547,266,3,C+,Private,58846,Male,Yes,9,1
548,281,6,D,Private,27867,Male,Yes,9,0
549,572,3,D,Private,39589,Female,Yes,0,0
550,420,5,D,Private,33014,Female,Yes,8,0
551,341,8,B-,Public,65916,Female,Yes,9,0
552,313,5,F,Public,24750,Male,No,0,0
553,361,3,B,Public,38249,Male,No,0,0
554,321,6,C,Private,93936,Male,No,5,1
555,528,2,A-,Public,33647,Male,Yes,7,0
556,276,7,F,Public,53885,Female,Yes,9,0
557,540,3,B+,Private,71757,Female,No,3,1
558,331,8,C-,Public,46039,Male,Yes,1,0
559,275,4,A,Public,77884,Female,Yes,2,0
560,416,1,F,Private,24295,Male,No,4,0
561,276,1,C,Private,33516,Male,No,7,0
562,358,1,C-,Private,54283,Female,Yes,2,0
563,294,3,A-,Private,93127,Female,No,0,1
564,467,6,A-,Private,36726,Female,No,4,1
565,211,3,F,Public,80424,Female,No,8,1
