,Age,Gender,Income,Education,Occupation,Marital Status,Number of Children,Frequency of Purchases,Spend per Purchase,Location,Demographic,Marketing Engagement,Past Purchase History,Response to Previous Campaigns,label
14,44,Male,50900.738296124655,High School,Teacher,Divorced,1,Monthly,47.56699028339011,Philadelphia,Urban,True,False,0,1
15,41,Female,26160.146601037763,Doctorate,Medicine,Married,3,Daily,15.840302239808342,Chicago,Rural,False,False,1,0
16,19,Female,17404.346497669994,Doctorate,Engineer,Divorced,0,Weekly,55.24111209059753,Phoenix,Urban,True,False,1,1
17,18,Male,17244.743604561154,Doctorate,Doctor,Single,3,Monthly,70.49219926652907,Los Angeles,Rural,True,True,1,1
18,55,Male,41615.29152967897,Bachelor's Degree,Arts,Divorced,2,Daily,23.564578956888653,Los Angeles,Rural,False,True,1,0
19,37,Male,21012.052378277414,Bachelor's Degree,Teacher,Divorced,2,Monthly,25.69297861044923,New York,Rural,False,True,0,0
20,57,Male,27053.317552512926,High School,Doctor,Divorced,2,Weekly,72.62059594105739,San Antonio,Rural,False,False,0,0
21,19,Female,58270.967564439685,High School,Artist,Divorced,2,Daily,35.09842173329637,Los Angeles,Rural,False,True,0,0
22,41,Male,54388.50493804799,Doctorate,Teacher,Married,3,Weekly,70.20894292428058,Phoenix,Urban,False,False,1,1
23,52,Female,24196.048736873287,Bachelor's Degree,Doctor,Single,1,Monthly,68.67651335523405,New York,Rural,True,False,1,1
24,31,Male,47324.570255901206,Doctorate,Medicine,Divorced,2,Daily,37.72547126671503,San Diego,Rural,True,True,0,0
25,39,Male,58650.52773762228,High School,Teacher,Single,3,Monthly,49.09549289593858,Philadelphia,Rural,True,False,1,0
26,50,Male,46122.60576307527,Master's Degree,Lawyer,Divorced,3,Daily,13.924339457899038,Houston,Rural,False,True,0,0
27,23,Male,10772.83082644337,Doctorate,Artist,Married,1,Daily,61.50632222537545,Houston,Urban,False,True,1,0
28,38,Male,23423.74284450784,Master's Degree,Medicine,Single,0,Weekly,94.25392967447029,Chicago,Urban,False,False,0,0
29,49,Female,27932.339064808195,Master's Degree,Teacher,Single,1,Weekly,76.6691755978784,New York,Urban,True,False,0,0
30,56,Male,50468.057773925684,Master's Degree,Doctor,Married,3,Daily,17.343476236021633,San Antonio,Urban,False,True,0,1
31,18,Male,29839.191360694418,Bachelor's Degree,Lawyer,Divorced,2,Monthly,43.802465737594964,Chicago,Rural,True,True,0,1
32,42,Male,59092.04441552655,Bachelor's Degree,Doctor,Single,1,Daily,13.361336987429297,Phoenix,Urban,False,True,0,1
33,54,Female,48499.67765493054,Doctorate,Lawyer,Married,2,Weekly,14.651354905174692,Houston,Rural,True,True,1,0
34,57,Female,58792.60397312673,Doctorate,Doctor,Single,2,Daily,45.89388113003151,Los Angeles,Rural,False,True,0,0
35,54,Male,14043.648330859884,Master's Degree,Engineer,Married,0,Weekly,92.36923548638325,San Antonio,Rural,False,False,0,0
36,42,Female,23996.69484729714,Doctorate,Artist,Divorced,3,Monthly,49.210560881010196,Philadelphia,Urban,True,False,0,0
37,33,Male,16008.232390282108,High School,Arts,Married,2,Daily,38.02719784521648,Phoenix,Rural,True,False,0,0
38,43,Female,50345.64885253897,Doctorate,Engineer,Single,1,Daily,45.86542609576361,Chicago,Rural,True,False,0,1
39,48,Male,56671.81540397415,Doctorate,Engineer,Married,0,Monthly,94.98264374126506,Houston,Rural,False,True,0,0
40,41,Female,38668.35208359666,High School,Engineer,Married,2,Monthly,94.73183278988726,Los Angeles,Urban,True,False,0,1
41,46,Male,15038.900068871331,Bachelor's Degree,Artist,Divorced,1,Monthly,40.28987933998539,Chicago,Rural,True,False,0,1
42,43,Male,23034.726411795156,Master's Degree,Lawyer,Single,0,Weekly,66.60485621018955,Philadelphia,Rural,False,True,1,0
43,53,Male,47530.737582042915,Doctorate,Teacher,Married,2,Weekly,32.501480429449416,San Diego,Rural,True,False,0,0
44,54,Male,43992.23899501229,Master's Degree,Engineer,Divorced,0,Weekly,91.229761601161,Phoenix,Rural,False,True,0,0
45,30,Female,29460.083936708157,Doctorate,Artist,Married,2,Daily,38.73822738313734,Phoenix,Urban,False,False,1,0
46,33,Male,24660.538584903225,High School,Lawyer,Divorced,0,Daily,81.24211393532637,New York,Urban,True,True,0,0
47,56,Female,12793.557733867503,Master's Degree,Science,Married,2,Monthly,20.536031478484528,Houston,Urban,False,False,0,0
48,34,Male,14205.340305749873,High School,Medicine,Single,0,Weekly,90.2707217899099,Chicago,Urban,True,True,0,0
49,36,Female,53156.9260994502,Bachelor's Degree,Lawyer,Married,2,Monthly,98.74009574405838,Houston,Rural,False,False,1,0
50,36,Female,37920.21248679025,Master's Degree,Doctor,Single,2,Monthly,49.10066600394442,Philadelphia,Urban,False,False,0,0
51,37,Male,15876.312338855245,High School,Science,Married,2,Daily,31.375582416322295,New York,Urban,False,True,1,0
52,50,Male,58161.126972030565,Doctorate,Artist,Married,0,Monthly,90.2028802328264,Phoenix,Urban,True,False,1,1
53,53,Female,58465.126780954946,Bachelor's Degree,Science,Married,0,Weekly,36.50445521554869,New York,Urban,False,False,1,1
54,33,Female,55762.71708345532,Bachelor's Degree,Medicine,Single,3,Daily,34.96430646830194,Houston,Rural,False,False,0,0
55,45,Male,58719.74038330832,Doctorate,Teacher,Single,2,Daily,35.178715645205116,Philadelphia,Rural,True,False,0,0
56,46,Male,13810.018979958157,Bachelor's Degree,Doctor,Divorced,3,Daily,65.20736763422109,Chicago,Rural,False,False,0,0
57,22,Male,28823.16834390248,High School,Doctor,Divorced,0,Monthly,63.47176438169216,San Antonio,Urban,False,True,1,0
58,30,Male,11841.093381799568,Master's Degree,Engineer,Married,3,Monthly,87.82501386295479,New York,Urban,True,True,0,1
59,20,Female,48449.37075902552,High School,Doctor,Single,2,Daily,31.697634909666867,New York,Rural,True,True,1,1
60,30,Male,53911.03337395961,Doctorate,Medicine,Single,3,Monthly,20.220183297966614,Chicago,Rural,False,False,0,0
61,20,Female,52609.075015927,Bachelor's Degree,Lawyer,Married,1,Weekly,81.26360555226697,New York,Rural,True,True,1,1
62,32,Female,41968.06784871212,Master's Degree,Teacher,Divorced,1,Weekly,41.55288029259373,Chicago,Rural,False,True,1,0
63,51,Male,35699.47445799054,Doctorate,Science,Single,2,Weekly,87.61273378720706,Philadelphia,Urban,False,False,0,0
64,34,Male,22912.21941494792,Doctorate,Artist,Single,1,Daily,41.26720674028728,Phoenix,Urban,True,False,1,0
65,40,Male,17595.134675614718,Bachelor's Degree,Medicine,Married,2,Monthly,56.371244937778975,San Diego,Rural,True,False,1,1
66,36,Female,27254.131391119336,Bachelor's Degree,Artist,Single,0,Weekly,20.857228399054073,New York,Rural,False,False,0,0
67,31,Male,26079.13823400145,Bachelor's Degree,Engineer,Divorced,0,Weekly,17.35831287539847,Phoenix,Urban,True,False,1,1
68,34,Male,50310.06398965307,High School,Teacher,Married,3,Monthly,58.29315813885993,San Diego,Rural,False,False,0,0
69,40,Female,46025.803069573245,Bachelor's Degree,Arts,Divorced,3,Monthly,74.20146272960972,San Antonio,Urban,False,True,1,0
70,35,Male,36630.86332275116,Master's Degree,Medicine,Married,2,Daily,26.405549062836226,San Antonio,Urban,True,True,0,0
71,43,Female,21660.820577490063,High School,Lawyer,Married,3,Weekly,81.02541147466044,Philadelphia,Rural,True,False,1,0
72,39,Female,47271.9737092165,High School,Lawyer,Divorced,1,Daily,40.37021504847263,Houston,Rural,False,False,1,0
73,23,Female,21861.339586799724,Bachelor's Degree,Artist,Single,1,Monthly,53.90288207278641,Phoenix,Urban,False,False,0,0
74,48,Male,52115.70176490908,Master's Degree,Teacher,Divorced,3,Daily,98.41407552177458,San Antonio,Rural,False,False,0,0
75,28,Female,50853.603547463994,High School,Arts,Single,2,Weekly,93.64383902148272,San Antonio,Urban,False,False,1,1
76,22,Male,26183.961820212186,Master's Degree,Lawyer,Married,3,Daily,57.6856020863005,New York,Rural,False,False,0,0
77,54,Female,56600.71711284671,High School,Teacher,Divorced,0,Weekly,40.294385037452855,Chicago,Urban,True,False,0,1
78,19,Male,50493.72229273174,High School,Science,Married,0,Daily,20.50264577275132,San Antonio,Rural,False,True,1,0
79,47,Male,52536.373000822736,Doctorate,Lawyer,Single,1,Daily,75.77807276832799,New York,Rural,False,True,1,0
80,18,Female,38723.655658995594,Doctorate,Artist,Divorced,0,Daily,28.14645880429701,Phoenix,Urban,True,True,1,0
81,36,Female,36153.27123845597,Doctorate,Engineer,Married,1,Daily,71.46838570754193,San Diego,Urban,False,False,0,0
82,55,Female,31937.233769416955,High School,Engineer,Married,0,Monthly,44.55020992358903,Phoenix,Urban,False,False,1,0
83,56,Male,56991.606180673756,Master's Degree,Teacher,Single,3,Monthly,89.07662038360944,New York,Rural,False,True,1,0
84,53,Female,47620.15600194113,High School,Artist,Divorced,2,Daily,13.017919126220145,Phoenix,Rural,False,True,1,0
85,27,Male,51062.86523360064,Master's Degree,Science,Married,3,Monthly,81.75658292015983,Philadelphia,Urban,True,False,0,1
86,19,Male,39922.13506026135,Doctorate,Lawyer,Single,2,Monthly,41.112639415352746,Los Angeles,Rural,False,False,0,0
87,23,Male,33100.290182206634,Bachelor's Degree,Teacher,Single,0,Weekly,19.071514271429784,New York,Urban,False,False,1,0
88,29,Male,55937.526113037326,High School,Medicine,Married,3,Monthly,23.72851386228352,Houston,Urban,False,True,0,1
89,46,Male,52021.98159902115,Master's Degree,Science,Married,1,Daily,98.63570790661011,Phoenix,Rural,False,True,1,0
90,18,Female,35941.902856303604,Doctorate,Science,Married,2,Daily,76.982468665896,Chicago,Rural,True,True,0,0
91,58,Male,30725.229210181384,Bachelor's Degree,Teacher,Single,1,Monthly,41.22578817066049,Chicago,Urban,True,False,1,1
92,41,Female,18275.66587139869,High School,Medicine,Married,0,Daily,62.25295152502391,Phoenix,Rural,False,False,1,0
93,24,Female,32949.44940085065,Doctorate,Arts,Single,3,Monthly,99.71868266613527,New York,Urban,True,False,1,0
94,47,Female,20495.27965477929,Master's Degree,Arts,Single,0,Daily,13.28947010632854,Phoenix,Rural,False,True,0,0
95,18,Female,32664.44173740138,Bachelor's Degree,Arts,Married,1,Weekly,60.36762981773961,San Antonio,Rural,True,False,1,1
96,56,Female,23615.092736014973,Master's Degree,Arts,Single,3,Daily,12.284772009431038,Houston,Rural,False,True,1,0
97,25,Male,21098.608096647473,Doctorate,Science,Divorced,2,Daily,63.55440817303786,New York,Urban,True,True,1,0
98,50,Female,46040.65481552533,Master's Degree,Medicine,Single,3,Weekly,84.71978781102925,Houston,Rural,True,False,1,0
99,31,Male,54816.79092605599,Master's Degree,Doctor,Divorced,0,Monthly,86.33152859201951,San Diego,Urban,True,False,1,1
100,35,Female,50872.178086922046,Doctorate,Teacher,Single,2,Weekly,42.67532909755815,San Antonio,Rural,False,True,1,0
101,55,Female,28137.89473329727,High School,Lawyer,Divorced,3,Weekly,78.72452147437848,San Diego,Urban,False,False,0,0
102,40,Female,31260.675223461672,Master's Degree,Engineer,Single,0,Weekly,67.01303978435325,San Antonio,Urban,False,False,1,0
103,21,Male,55028.615061819284,Bachelor's Degree,Science,Married,2,Weekly,92.28689259044491,Philadelphia,Rural,False,True,0,0
104,51,Female,42571.01941759321,Bachelor's Degree,Lawyer,Divorced,0,Weekly,22.60166847944041,Los Angeles,Urban,True,False,1,1
105,57,Male,41654.90316787238,High School,Science,Single,0,Daily,47.68934724028658,Houston,Rural,False,False,0,0
106,19,Male,46901.68082131852,Master's Degree,Artist,Divorced,1,Daily,45.036605263777886,San Diego,Urban,False,False,1,0
107,56,Female,57465.33985288828,Master's Degree,Science,Single,1,Daily,53.53794477391715,Chicago,Rural,True,False,1,0
108,52,Female,52320.39246572786,Master's Degree,Artist,Divorced,1,Daily,79.38209833712398,Philadelphia,Urban,True,False,1,1
109,18,Male,44420.119821386805,Bachelor's Degree,Engineer,Divorced,2,Monthly,16.99888096710614,Houston,Rural,True,False,0,1
110,51,Male,25729.827840470545,Master's Degree,Teacher,Married,0,Daily,95.52136184387221,San Antonio,Urban,True,False,0,0
111,33,Female,46611.24432047806,High School,Engineer,Divorced,0,Weekly,67.35084218105382,San Diego,Urban,False,True,0,0
112,32,Female,12579.7903329355,Bachelor's Degree,Science,Single,3,Monthly,99.94181496092514,Chicago,Urban,False,False,1,0
113,31,Male,46551.18357291408,Master's Degree,Medicine,Single,2,Monthly,81.58076541631877,San Antonio,Rural,False,True,1,0
114,35,Female,42227.332531291104,Bachelor's Degree,Science,Divorced,3,Daily,16.925788146628825,Philadelphia,Urban,False,False,1,0
115,40,Male,25764.51689153052,High School,Lawyer,Married,1,Daily,76.40701902158725,New York,Rural,True,False,0,0
116,19,Male,53504.943695046495,Bachelor's Degree,Teacher,Divorced,0,Daily,44.55675009277532,San Diego,Urban,True,True,0,1
117,46,Female,30096.545680462106,High School,Lawyer,Married,3,Monthly,45.845864557807204,Phoenix,Urban,True,True,0,0
118,22,Female,10167.318102148962,High School,Arts,Single,1,Weekly,31.024697594491894,New York,Rural,True,True,0,0
119,32,Male,29216.332357984084,Doctorate,Lawyer,Divorced,1,Daily,80.77105129739968,Los Angeles,Rural,False,True,0,0
120,41,Male,40670.569460535386,High School,Science,Divorced,3,Daily,68.46819840931316,Philadelphia,Urban,True,False,0,0
121,51,Male,11836.596871330681,Bachelor's Degree,Teacher,Single,0,Daily,66.68001306965378,San Antonio,Urban,True,True,0,1
122,59,Female,34559.31704343133,High School,Medicine,Divorced,3,Monthly,30.19965146529946,San Diego,Urban,True,True,1,0
123,21,Female,14574.341869887743,High School,Medicine,Divorced,2,Daily,89.98732718820794,New York,Rural,False,False,1,0
124,32,Female,37542.868530456966,Master's Degree,Doctor,Divorced,1,Monthly,75.10781023197265,Chicago,Rural,False,True,0,0
125,30,Female,59573.76675725241,Bachelor's Degree,Medicine,Married,3,Weekly,63.31670061935658,Chicago,Urban,False,False,0,1
126,57,Female,23351.413508471065,Bachelor's Degree,Medicine,Divorced,3,Daily,24.16065937322734,San Diego,Urban,True,True,1,1
127,42,Female,15291.7046914292,Master's Degree,Arts,Divorced,0,Monthly,96.51837593664166,New York,Urban,True,True,0,0
128,27,Female,21431.258076246177,Master's Degree,Science,Single,3,Weekly,84.89207601619677,Philadelphia,Rural,True,False,0,0
129,30,Female,59059.30890137117,High School,Medicine,Divorced,1,Daily,80.18608556360293,Phoenix,Urban,False,True,0,1
130,58,Female,27093.608301934306,Doctorate,Science,Single,0,Daily,80.99262836836698,Houston,Rural,False,False,0,0
131,44,Male,48549.21462660678,High School,Doctor,Single,0,Weekly,65.88239659907293,Los Angeles,Rural,False,False,0,0
132,46,Male,42378.68217009538,Doctorate,Artist,Divorced,0,Monthly,83.93616526666969,San Antonio,Urban,False,True,1,0
133,40,Male,23681.333314083295,High School,Lawyer,Married,2,Daily,86.87887970154094,San Antonio,Urban,True,True,1,0
134,49,Male,44024.96510373565,Bachelor's Degree,Teacher,Divorced,2,Daily,96.69129880961187,San Diego,Rural,True,True,1,1
135,33,Female,58226.02361351043,Master's Degree,Engineer,Married,2,Monthly,46.84006056835387,Houston,Rural,True,False,1,1
136,52,Male,42583.34126879425,Doctorate,Doctor,Divorced,3,Monthly,97.13740851232495,Phoenix,Urban,True,True,1,1
137,25,Female,52239.16140584438,Doctorate,Science,Divorced,0,Daily,92.06524314639199,Chicago,Urban,False,False,1,1
138,42,Male,39916.363256121345,Bachelor's Degree,Lawyer,Married,1,Daily,24.474292217037107,Phoenix,Rural,True,True,0,1
139,41,Male,59217.5703701452,High School,Medicine,Married,1,Weekly,45.32442007660163,Phoenix,Urban,True,False,0,1
140,28,Female,53006.11985946023,Bachelor's Degree,Engineer,Divorced,1,Monthly,19.44371605763574,New York,Rural,True,False,0,1
141,32,Male,40907.78671590595,Doctorate,Engineer,Single,3,Weekly,39.38151774195927,Chicago,Urban,True,True,1,1
142,47,Male,13928.924857751037,Bachelor's Degree,Science,Single,1,Monthly,28.077318087606475,Chicago,Rural,True,False,0,1
143,57,Female,45323.786324345056,Bachelor's Degree,Engineer,Single,0,Monthly,65.16497573790454,New York,Rural,False,False,0,0
144,45,Female,26972.5096271403,Master's Degree,Science,Divorced,2,Weekly,83.55679929662443,Chicago,Urban,True,True,1,0
145,59,Male,46241.327993702915,Doctorate,Science,Married,0,Daily,65.41678197480185,Los Angeles,Urban,False,False,1,0
146,25,Female,31682.766697819443,Doctorate,Teacher,Single,1,Weekly,68.79367173135971,Philadelphia,Rural,False,True,1,0
147,20,Male,30163.06805619159,High School,Artist,Single,2,Monthly,33.19145996600923,Houston,Urban,False,True,1,0
148,41,Male,27296.749627348145,Doctorate,Arts,Single,0,Monthly,62.080786771515406,Houston,Rural,True,False,0,0
149,53,Female,55035.09320056293,Bachelor's Degree,Science,Single,2,Monthly,35.54690757477805,Philadelphia,Rural,True,True,0,1
150,57,Female,21789.604697960494,Bachelor's Degree,Medicine,Single,2,Weekly,31.378899243148986,Phoenix,Rural,True,True,1,1
151,55,Male,22361.553720158852,Doctorate,Artist,Divorced,1,Monthly,42.33100324597891,Chicago,Urban,False,True,1,0
152,42,Female,22906.671635056377,High School,Artist,Divorced,0,Daily,31.332507139750255,San Antonio,Urban,False,True,0,0
153,31,Male,32438.878691570153,Doctorate,Arts,Married,0,Daily,32.384284532886696,Los Angeles,Rural,True,True,0,0
154,37,Male,40276.90788224414,Master's Degree,Artist,Married,0,Daily,73.48470347009832,San Diego,Rural,True,True,0,0
155,37,Male,12854.342804465743,Master's Degree,Artist,Single,0,Daily,20.989892260902412,Phoenix,Urban,True,True,1,0
156,50,Female,12078.642952519605,Bachelor's Degree,Lawyer,Married,1,Monthly,10.444598284096866,Chicago,Urban,False,True,1,0
157,56,Male,35779.80142896251,Bachelor's Degree,Science,Single,3,Monthly,12.697623088541015,Philadelphia,Rural,False,False,0,0
158,25,Female,14695.03578947092,Doctorate,Artist,Single,0,Monthly,25.94348105026473,Chicago,Urban,True,True,0,0
159,27,Male,22207.364521118714,Bachelor's Degree,Medicine,Divorced,3,Daily,12.734835372715317,San Diego,Urban,False,False,1,0
160,18,Male,42944.27351163286,High School,Medicine,Married,0,Weekly,41.371630051777345,Chicago,Rural,False,False,1,0
161,26,Female,59666.846867931425,High School,Engineer,Married,0,Monthly,76.46042883261939,Houston,Rural,True,False,0,1
162,21,Female,50392.29709706293,Bachelor's Degree,Artist,Married,2,Monthly,88.2010562986514,New York,Rural,False,False,1,0
163,42,Male,41510.43741645721,Bachelor's Degree,Science,Divorced,0,Monthly,44.97022911433112,New York,Urban,True,False,1,1
164,52,Male,13659.796188422182,Master's Degree,Medicine,Single,1,Weekly,78.34098951305793,New York,Urban,True,False,0,0
165,19,Male,11282.103290321784,Bachelor's Degree,Engineer,Married,1,Daily,32.14626929181984,Houston,Urban,True,False,1,1
166,23,Female,45774.545354963724,Master's Degree,Artist,Married,2,Monthly,10.68065874803279,San Antonio,Urban,False,True,1,0
167,53,Female,13013.369514478043,High School,Artist,Single,2,Weekly,24.969844696882795,Houston,Rural,True,False,0,0
168,44,Female,36613.01066695201,Doctorate,Medicine,Single,3,Weekly,74.45356068008742,New York,Urban,False,False,1,0
169,47,Male,44055.89269824914,Bachelor's Degree,Science,Married,2,Monthly,36.5750460298279,New York,Rural,True,False,0,1
170,53,Male,14351.948129382932,Bachelor's Degree,Engineer,Married,1,Monthly,95.62630079859913,San Antonio,Rural,False,True,0,0
171,45,Male,20602.241995411332,Bachelor's Degree,Medicine,Single,0,Daily,91.53019943089843,San Diego,Rural,True,False,1,1
172,54,Male,46597.90337928173,Doctorate,Lawyer,Divorced,1,Daily,18.59817824512014,Houston,Rural,True,True,0,0
173,22,Male,46843.687247209105,Bachelor's Degree,Engineer,Divorced,0,Daily,26.06013687049949,Philadelphia,Urban,True,False,1,1
174,49,Female,22844.192382285742,High School,Artist,Married,1,Daily,98.90069681933986,Los Angeles,Urban,True,False,1,0
175,59,Male,45879.88828290881,High School,Teacher,Divorced,3,Weekly,19.36986844457497,Chicago,Rural,False,False,1,0
176,53,Male,54709.543733205915,Master's Degree,Engineer,Married,2,Weekly,41.94966752487436,Houston,Urban,True,False,0,1
177,22,Male,42008.411191408304,Doctorate,Arts,Single,2,Weekly,30.774627023861086,Chicago,Urban,False,False,0,0
178,40,Male,28147.2135922996,Master's Degree,Doctor,Divorced,1,Weekly,60.60671342901188,Houston,Urban,True,True,1,1
179,33,Male,31134.455669809475,Master's Degree,Medicine,Married,3,Monthly,93.44600375315073,Philadelphia,Urban,False,True,0,0
180,22,Female,48429.990239425424,High School,Engineer,Single,0,Weekly,33.13425397888719,San Diego,Urban,False,True,1,0
181,33,Female,17965.201030949014,High School,Arts,Married,2,Weekly,40.750705170722874,New York,Urban,False,True,1,0
182,26,Female,51264.30541164484,Bachelor's Degree,Science,Single,3,Weekly,56.4111484926848,Los Angeles,Rural,True,True,0,1
183,54,Male,35057.64995910048,High School,Doctor,Single,1,Daily,44.256096412892205,San Diego,Rural,False,False,0,0
184,20,Female,25233.956954902038,High School,Science,Married,2,Weekly,23.8412034701228,Los Angeles,Rural,False,False,0,0
185,27,Female,16626.23363709242,Bachelor's Degree,Engineer,Divorced,1,Daily,64.56276439758797,Phoenix,Rural,True,False,1,1
186,52,Male,17318.699608112456,High School,Doctor,Married,1,Daily,30.929622252884208,Philadelphia,Rural,False,False,0,0
187,49,Female,56822.45869418303,Doctorate,Doctor,Married,3,Monthly,67.67436832211857,Philadelphia,Urban,False,False,0,1
188,40,Male,13067.481355533408,Master's Degree,Doctor,Single,0,Weekly,53.61414283169782,Chicago,Urban,True,False,1,1
189,26,Male,18533.23792749992,High School,Engineer,Single,1,Monthly,25.99897490661234,San Diego,Rural,True,False,0,1
190,56,Male,21632.27692813405,Doctorate,Lawyer,Married,3,Weekly,48.347504550133436,San Antonio,Urban,False,True,0,0
191,52,Male,30706.487626446353,Bachelor's Degree,Science,Married,0,Weekly,96.74400479341159,San Antonio,Rural,False,True,1,0
192,55,Male,48014.49115610675,Bachelor's Degree,Medicine,Divorced,0,Daily,39.115035542032636,Chicago,Rural,True,True,1,1
193,35,Male,12131.660464351637,High School,Teacher,Married,3,Monthly,50.89396011039648,Houston,Rural,True,True,0,0
194,21,Female,22173.898420243364,Bachelor's Degree,Medicine,Divorced,0,Daily,45.50286507130318,Phoenix,Rural,True,False,1,1
195,58,Male,42934.60731037218,High School,Engineer,Single,3,Daily,35.14309425412448,Chicago,Rural,False,False,0,0
196,38,Female,34772.60517304909,Doctorate,Teacher,Single,3,Daily,65.25402262840555,Houston,Urban,False,True,1,0
197,22,Female,35611.096040633725,High School,Medicine,Married,3,Daily,77.15865317336548,New York,Urban,True,False,1,0
198,41,Male,35428.964472378924,Doctorate,Doctor,Divorced,1,Monthly,97.36749619036031,Los Angeles,Urban,True,False,1,1
199,22,Female,51526.722820241994,Doctorate,Medicine,Single,1,Monthly,17.39545007287846,Houston,Urban,True,False,0,1
200,57,Female,29096.981982644797,Bachelor's Degree,Teacher,Married,3,Weekly,33.46419699279249,New York,Urban,True,False,1,1
201,27,Female,24641.101835048237,Doctorate,Doctor,Single,0,Daily,92.8267463097467,San Diego,Rural,False,False,0,0
202,28,Male,15540.398108990352,Bachelor's Degree,Science,Married,0,Monthly,59.50827464123404,Chicago,Urban,False,False,0,0
203,47,Female,43799.11377931777,Master's Degree,Arts,Married,3,Daily,35.73161103152441,San Diego,Rural,True,True,1,0
204,29,Female,22612.05100866808,High School,Arts,Married,1,Weekly,75.5641609445452,San Antonio,Urban,False,False,1,0
205,39,Female,23466.564915101255,Doctorate,Artist,Married,1,Weekly,21.85558961091057,San Antonio,Rural,True,False,1,0
206,32,Female,52035.151400560004,High School,Arts,Divorced,0,Daily,76.90814074689484,Los Angeles,Urban,False,True,1,1
207,46,Male,38858.6391643775,High School,Medicine,Married,2,Weekly,60.223809263407034,San Diego,Urban,False,True,1,0
208,18,Male,19697.693363388746,Doctorate,Doctor,Single,2,Daily,59.95764543720576,San Diego,Rural,True,True,1,1
209,19,Male,49189.58922426986,Doctorate,Lawyer,Single,1,Weekly,85.59675822539643,Houston,Urban,False,False,1,0
210,51,Female,43918.94114275709,Doctorate,Teacher,Divorced,2,Weekly,88.89856856453805,Philadelphia,Rural,False,True,1,0
211,21,Female,54309.789023253725,Master's Degree,Doctor,Married,1,Daily,10.169189517241957,San Antonio,Urban,False,False,0,1
212,21,Male,29383.67973751971,High School,Science,Divorced,3,Daily,67.80929733147048,San Diego,Urban,False,False,1,0
213,21,Male,34329.88311218766,Bachelor's Degree,Doctor,Divorced,2,Monthly,54.843011403710825,Phoenix,Urban,False,False,1,0
214,29,Female,45384.046737045785,Master's Degree,Lawyer,Divorced,3,Daily,23.270727403565555,San Antonio,Urban,True,True,0,0
215,45,Female,59917.375569647484,Doctorate,Arts,Married,0,Daily,67.37979380232068,Houston,Rural,True,True,1,0
216,23,Female,47360.979387101885,Master's Degree,Engineer,Single,3,Daily,26.602862782027543,Philadelphia,Rural,False,True,1,0
217,47,Female,23653.54049864062,High School,Teacher,Married,2,Daily,15.0522493074589,Los Angeles,Rural,False,True,1,0
218,46,Male,34045.300037653484,High School,Doctor,Married,3,Weekly,66.80535813610356,Phoenix,Urban,True,False,1,1
219,18,Female,10351.460190680958,High School,Arts,Single,3,Daily,77.62375774261412,San Diego,Urban,False,True,0,0
220,41,Male,24109.353734660006,Doctorate,Science,Divorced,2,Weekly,32.45915798645555,San Diego,Rural,False,True,0,0
221,42,Female,13268.307878219262,High School,Lawyer,Divorced,3,Weekly,91.57937080099698,New York,Urban,False,False,1,0
222,44,Male,54991.667284363626,Bachelor's Degree,Medicine,Divorced,3,Monthly,89.39220528538542,Philadelphia,Rural,False,False,0,0
223,31,Female,59064.854524862334,Bachelor's Degree,Artist,Divorced,2,Weekly,27.20716313183101,New York,Urban,True,True,1,1
