,customer_id,age,months_as_customer,total_charges,monthly_charges,contract_type,internet_service_type,payment_method,monthly_usage_minutes,num_support_tickets,last_login_days_ago,has_promo,is_active,label
22,1022,21,45,5558.74,102.66,Month-to-month,No,Electronic check,943,19,262,1,0,1
23,1023,39,31,5401.28,58.66,One year,DSL,Credit card,926,10,254,0,0,1
24,1024,28,110,4896.53,55.08,One year,No,Electronic check,569,14,278,1,1,1
25,1025,38,106,5106.12,80.86,Month-to-month,No,Mailed check,103,3,46,1,0,1
26,1026,18,71,5345.45,59.87,One year,DSL,Credit card,387,4,71,0,0,1
27,1027,50,53,6728.88,86.13,Two year,Fiber optic,Credit card,96,3,246,0,0,1
28,1028,71,117,7443.65,106.19,One year,DSL,Bank transfer,883,5,190,0,0,1
29,1029,84,24,2637.42,54.13,One year,DSL,Bank transfer,693,5,249,0,0,1
30,1030,64,37,5168.78,22.06,Month-to-month,No,Credit card,277,14,145,1,1,1
31,1031,55,68,133.39,110.75,Month-to-month,No,Electronic check,853,6,173,1,1,1
32,1032,35,100,7905.85,30.72,One year,DSL,Electronic check,273,7,262,0,1,1
33,1033,59,106,8062.44,107.89,Two year,DSL,Electronic check,911,11,144,0,1,1
34,1034,42,48,3837.02,35.5,One year,No,Credit card,364,18,23,1,0,1
35,1035,84,81,8690.97,81.65,Month-to-month,Fiber optic,Mailed check,872,18,32,1,1,1
36,1036,67,105,1916.74,70.44,Month-to-month,Fiber optic,Bank transfer,982,20,134,0,0,1
37,1037,79,35,5642.63,34.72,Month-to-month,No,Bank transfer,360,1,348,0,0,1
38,1038,25,64,6017.24,77.86,One year,No,Bank transfer,144,17,297,0,1,1
39,1039,50,72,7141.03,117.23,Two year,No,Credit card,430,18,91,0,0,1
40,1040,65,75,3132.92,62.74,One year,No,Bank transfer,487,4,140,0,0,1
41,1041,71,14,5208.15,49.06,Two year,No,Electronic check,715,9,106,1,1,1
42,1042,22,45,7548.43,77.26,Two year,No,Bank transfer,590,1,195,0,1,1
43,1043,43,63,7149.43,43.96,Two year,Fiber optic,Electronic check,363,14,263,0,1,1
44,1044,79,56,3583.93,45.32,Two year,No,Electronic check,569,14,98,0,0,1
45,1045,42,53,1594.56,80.19,Month-to-month,DSL,Bank transfer,494,13,249,1,1,1
46,1046,43,50,6177.77,93.21,Two year,No,Electronic check,979,4,319,0,0,1
47,1047,46,49,4613.56,70.02,Two year,DSL,Electronic check,677,20,325,0,0,1
48,1048,49,97,7524.45,61.01,Month-to-month,DSL,Electronic check,321,19,267,1,1,1
49,1049,67,35,408.16,118.91,Two year,DSL,Credit card,768,17,23,0,0,1
50,1050,18,2,6323.94,94.13,Month-to-month,No,Mailed check,571,4,340,0,1,1
51,1051,26,90,2455.47,49.94,One year,No,Electronic check,886,17,116,0,0,1
52,1052,57,46,9116.68,23.89,One year,No,Bank transfer,48,2,94,1,0,1
53,1053,28,91,7153.39,115.02,Two year,Fiber optic,Bank transfer,805,5,175,1,1,1
54,1054,28,93,9593.67,27.92,Two year,DSL,Electronic check,221,11,124,1,1,1
55,1055,26,53,6759.55,119.42,Two year,DSL,Bank transfer,427,1,61,1,1,1
56,1056,42,20,8906.94,39.74,One year,Fiber optic,Bank transfer,956,0,235,0,1,1
57,1057,36,52,984.62,91.31,Month-to-month,No,Mailed check,735,1,64,0,0,1
58,1058,27,42,7766.08,112.88,One year,No,Credit card,681,15,51,0,1,1
59,1059,75,54,722.37,42.29,Month-to-month,Fiber optic,Electronic check,176,6,126,0,1,1
60,1060,49,30,8452.0,116.22,Two year,DSL,Electronic check,825,3,111,1,0,1
61,1061,58,102,2828.79,94.98,One year,No,Bank transfer,280,1,341,0,1,1
62,1062,22,109,3378.9,53.83,One year,Fiber optic,Credit card,519,19,305,1,1,1
63,1063,79,60,1736.09,28.31,Two year,Fiber optic,Bank transfer,594,11,119,0,1,1
64,1064,80,37,2587.91,22.26,Two year,No,Bank transfer,921,9,363,0,1,1
65,1065,77,64,4129.4,39.56,One year,No,Credit card,46,16,328,1,0,1
66,1066,26,49,3765.35,90.24,Month-to-month,Fiber optic,Electronic check,13,19,111,0,0,1
67,1067,70,19,789.49,60.74,Two year,DSL,Credit card,697,9,355,0,0,1
68,1068,24,56,6266.57,73.95,One year,No,Mailed check,545,12,181,1,0,1
69,1069,57,4,3498.03,64.0,One year,Fiber optic,Mailed check,640,5,84,0,1,1
70,1070,27,115,5563.34,67.91,Two year,DSL,Credit card,189,8,63,0,1,1
71,1071,42,29,2136.76,67.97,Month-to-month,Fiber optic,Electronic check,950,8,153,0,0,1
72,1072,66,13,408.68,111.05,Two year,DSL,Electronic check,836,10,53,0,1,1
73,1073,35,71,8282.55,91.95,Month-to-month,Fiber optic,Bank transfer,707,5,10,1,0,1
74,1074,26,24,397.42,98.02,Month-to-month,DSL,Electronic check,914,17,24,0,1,1
75,1075,82,63,6945.8,50.86,One year,DSL,Credit card,326,8,4,1,0,1
76,1076,43,106,9940.27,104.15,Two year,Fiber optic,Mailed check,373,3,289,1,0,1
77,1077,45,68,4773.26,60.88,Two year,DSL,Bank transfer,415,1,144,1,0,1
78,1078,62,25,5281.43,38.99,Month-to-month,DSL,Electronic check,347,10,113,0,1,1
79,1079,51,118,6264.53,59.96,Two year,DSL,Electronic check,112,12,337,1,0,1
80,1080,22,4,4330.2,102.96,Month-to-month,DSL,Electronic check,421,20,348,0,0,1
81,1081,23,66,3264.46,38.58,Month-to-month,DSL,Mailed check,332,7,301,0,1,1
82,1082,25,33,4295.91,40.63,One year,DSL,Credit card,205,6,14,0,0,1
83,1083,74,74,5465.85,99.36,Month-to-month,Fiber optic,Mailed check,851,9,211,1,1,1
84,1084,19,20,7941.03,53.28,Two year,DSL,Bank transfer,71,5,307,0,0,1
85,1085,74,17,449.66,72.51,One year,DSL,Electronic check,985,4,103,0,0,1
86,1086,20,67,3276.42,81.26,One year,DSL,Bank transfer,290,2,203,1,1,1
87,1087,62,88,2023.99,105.11,One year,No,Mailed check,86,14,22,0,1,0
88,1088,69,43,887.6,67.48,One year,Fiber optic,Electronic check,405,5,137,0,0,1
89,1089,65,62,9141.86,112.15,One year,No,Mailed check,143,9,240,1,0,1
90,1090,40,43,5224.04,68.03,Month-to-month,No,Credit card,542,2,279,0,1,1
91,1091,59,69,4912.3,27.73,Two year,DSL,Mailed check,393,18,110,0,0,1
92,1092,77,24,2789.91,50.99,Month-to-month,Fiber optic,Credit card,827,11,215,1,1,1
93,1093,52,37,2641.25,65.03,Two year,Fiber optic,Electronic check,651,14,161,0,1,1
94,1094,36,83,883.08,98.48,One year,DSL,Credit card,718,7,200,0,1,1
95,1095,22,48,8018.38,44.84,One year,No,Electronic check,532,8,7,1,1,0
96,1096,64,24,7140.42,51.41,One year,DSL,Mailed check,511,10,238,1,1,1
97,1097,38,98,6401.19,60.14,Two year,Fiber optic,Electronic check,649,13,79,1,1,1
98,1098,30,78,4841.99,111.97,Two year,No,Electronic check,585,4,276,0,0,1
99,1099,26,18,9546.81,33.58,Month-to-month,No,Bank transfer,626,9,190,1,1,1
100,1100,66,22,8902.9,84.4,Month-to-month,No,Credit card,659,15,342,1,1,1
101,1101,54,21,5092.61,53.68,Month-to-month,Fiber optic,Bank transfer,30,14,145,1,0,1
102,1102,38,7,6282.46,106.31,One year,No,Bank transfer,326,5,347,0,1,1
103,1103,69,49,1248.69,28.24,Month-to-month,DSL,Bank transfer,856,9,278,1,1,1
104,1104,47,32,7837.68,95.64,Month-to-month,No,Electronic check,526,3,105,1,1,1
105,1105,23,47,3064.3,44.94,Two year,DSL,Bank transfer,55,6,92,1,1,1
106,1106,22,95,3655.79,111.23,Two year,No,Bank transfer,921,7,44,1,0,1
107,1107,84,21,312.71,23.72,One year,DSL,Bank transfer,473,15,223,1,1,1
108,1108,56,83,1650.18,73.92,Month-to-month,No,Credit card,750,20,66,0,1,1
109,1109,85,106,2600.6,92.47,One year,No,Mailed check,897,5,195,0,1,1
110,1110,21,116,1035.15,87.83,Two year,No,Electronic check,58,13,252,1,1,1
111,1111,74,70,1515.77,86.5,One year,Fiber optic,Bank transfer,51,11,90,1,1,1
112,1112,28,13,7810.93,67.37,Month-to-month,No,Credit card,593,19,54,0,1,1
113,1113,82,2,6919.93,102.64,Month-to-month,DSL,Electronic check,543,12,126,1,0,1
114,1114,77,70,762.46,93.25,Month-to-month,Fiber optic,Bank transfer,536,19,147,1,1,1
115,1115,56,21,1997.31,61.38,Month-to-month,Fiber optic,Mailed check,962,8,13,1,0,1
116,1116,55,44,6834.12,84.78,Month-to-month,Fiber optic,Credit card,119,20,273,0,0,1
117,1117,50,84,62.98,83.22,Two year,DSL,Bank transfer,584,3,347,0,1,1
118,1118,63,71,5159.65,90.89,Two year,No,Mailed check,656,20,59,1,1,1
119,1119,39,7,3858.9,113.86,Month-to-month,No,Mailed check,658,8,212,0,0,1
120,1120,80,36,8885.17,69.82,Two year,DSL,Electronic check,671,15,298,1,0,1
121,1121,30,117,8917.27,113.67,Month-to-month,Fiber optic,Bank transfer,250,6,198,1,0,1
122,1122,27,40,340.42,67.85,Two year,No,Bank transfer,107,12,46,1,1,1
123,1123,61,57,6148.55,23.73,One year,No,Electronic check,746,12,112,1,0,1
124,1124,35,34,2187.77,26.37,Two year,DSL,Electronic check,584,5,67,0,1,1
125,1125,36,88,5131.79,42.66,One year,DSL,Credit card,211,18,311,0,1,1
126,1126,79,67,6620.05,110.28,Month-to-month,Fiber optic,Bank transfer,697,3,255,0,1,1
127,1127,85,13,18.58,85.64,Two year,No,Credit card,786,15,130,0,1,1
128,1128,51,70,647.81,107.06,One year,Fiber optic,Mailed check,463,8,312,0,1,1
129,1129,70,41,6849.44,45.78,One year,Fiber optic,Mailed check,374,14,340,1,0,1
130,1130,60,44,5247.26,36.75,One year,Fiber optic,Bank transfer,491,15,181,0,0,1
131,1131,83,20,8614.73,88.97,Two year,No,Mailed check,731,15,358,0,0,1
132,1132,33,42,3697.45,27.7,One year,No,Credit card,991,16,342,0,1,1
133,1133,84,24,3764.11,76.46,Month-to-month,No,Electronic check,288,6,73,1,0,1
134,1134,60,50,8298.39,35.98,Month-to-month,Fiber optic,Mailed check,929,8,255,1,1,1
135,1135,65,21,7704.24,60.28,One year,No,Credit card,964,6,318,0,0,1
136,1136,78,70,6236.53,105.17,Month-to-month,Fiber optic,Electronic check,23,4,272,1,0,1
137,1137,56,78,8348.02,27.06,Month-to-month,DSL,Electronic check,228,9,28,0,0,1
138,1138,24,113,865.71,37.63,One year,Fiber optic,Credit card,658,9,229,1,1,1
139,1139,69,113,1742.01,70.95,Two year,Fiber optic,Credit card,24,20,344,1,0,1
140,1140,51,20,7983.52,89.26,Month-to-month,DSL,Mailed check,356,9,349,1,0,1
141,1141,37,70,8708.06,88.84,Month-to-month,No,Mailed check,938,7,312,1,0,1
142,1142,43,25,1933.6,96.83,Two year,No,Credit card,563,8,88,1,1,1
143,1143,35,14,8070.07,26.76,One year,DSL,Bank transfer,704,13,365,1,1,1
144,1144,68,49,9784.83,107.96,One year,DSL,Credit card,917,15,320,0,0,1
145,1145,53,120,9420.83,107.9,Month-to-month,No,Mailed check,625,5,127,1,0,1
146,1146,23,45,7076.42,75.9,Month-to-month,No,Bank transfer,380,10,153,1,0,1
147,1147,57,93,4983.3,21.75,Month-to-month,Fiber optic,Mailed check,105,11,291,1,0,1
148,1148,44,10,3457.1,103.49,Month-to-month,Fiber optic,Electronic check,511,19,327,1,0,1
149,1149,68,34,990.78,107.04,One year,No,Mailed check,372,8,342,0,1,1
150,1150,66,89,7444.8,88.96,Two year,Fiber optic,Bank transfer,980,7,127,1,1,1
151,1151,51,41,4658.91,29.62,Two year,DSL,Bank transfer,891,5,2,1,0,1
152,1152,60,105,8748.76,31.2,Two year,Fiber optic,Mailed check,126,6,79,0,1,1
153,1153,76,32,853.6,50.29,Two year,No,Electronic check,482,6,237,0,0,1
154,1154,75,73,4196.19,45.05,Month-to-month,Fiber optic,Mailed check,953,19,240,0,1,1
155,1155,42,72,2280.38,80.12,Month-to-month,Fiber optic,Mailed check,405,16,349,1,1,1
156,1156,50,59,2899.74,38.99,Two year,DSL,Mailed check,807,12,306,1,0,1
157,1157,82,111,5594.35,47.81,Two year,DSL,Bank transfer,834,10,228,0,1,1
158,1158,36,57,786.55,87.78,Month-to-month,Fiber optic,Electronic check,910,6,343,0,0,1
159,1159,29,65,7997.63,42.43,Two year,Fiber optic,Credit card,510,17,342,0,1,1
160,1160,29,42,6978.69,20.66,Two year,Fiber optic,Mailed check,632,2,146,1,0,1
161,1161,82,120,4677.57,25.23,One year,DSL,Mailed check,960,1,128,1,1,1
162,1162,78,102,3203.1,118.0,One year,Fiber optic,Bank transfer,579,10,112,0,1,1
163,1163,33,89,2103.8,94.63,One year,No,Electronic check,300,20,7,1,1,1
164,1164,72,2,8116.07,119.36,Two year,Fiber optic,Electronic check,549,17,104,0,1,1
165,1165,39,62,5203.39,62.05,Month-to-month,DSL,Bank transfer,299,11,193,1,0,1
166,1166,49,95,4171.01,45.47,Month-to-month,Fiber optic,Bank transfer,220,8,342,1,1,1
167,1167,59,108,2759.26,92.71,Month-to-month,DSL,Mailed check,931,7,225,0,0,1
168,1168,75,76,4721.35,69.61,One year,Fiber optic,Credit card,386,10,68,1,1,1
169,1169,78,90,5280.84,48.89,One year,DSL,Electronic check,760,11,358,1,0,1
170,1170,68,72,7652.35,80.93,Month-to-month,No,Mailed check,843,9,24,0,1,0
171,1171,61,8,9034.36,79.09,One year,Fiber optic,Credit card,222,4,56,0,1,1
172,1172,28,30,6009.58,40.83,Month-to-month,Fiber optic,Mailed check,76,14,82,1,1,1
173,1173,45,95,2417.89,58.29,Month-to-month,No,Electronic check,202,12,117,0,0,1
174,1174,25,91,5933.73,36.01,Two year,Fiber optic,Bank transfer,134,1,246,0,0,1
175,1175,48,120,644.48,56.3,Two year,No,Electronic check,908,8,181,1,1,1
176,1176,36,93,3343.91,76.18,Two year,DSL,Mailed check,0,16,106,1,0,1
177,1177,71,44,1504.08,46.1,One year,Fiber optic,Bank transfer,243,8,187,1,0,1
178,1178,20,118,9505.95,113.62,Month-to-month,DSL,Credit card,742,14,340,0,0,1
179,1179,49,50,1435.72,31.73,Two year,DSL,Electronic check,461,12,92,0,1,1
180,1180,77,91,5887.77,31.62,One year,No,Mailed check,789,5,179,1,1,1
181,1181,18,100,1761.96,62.05,Month-to-month,No,Mailed check,435,17,119,1,0,1
182,1182,67,32,5602.36,41.75,Two year,No,Bank transfer,410,19,285,0,1,1
183,1183,33,104,4890.57,108.76,One year,Fiber optic,Bank transfer,986,4,16,0,0,1
184,1184,53,2,2553.21,93.98,One year,Fiber optic,Bank transfer,550,8,115,1,1,1
185,1185,33,80,7789.8,56.61,Month-to-month,Fiber optic,Mailed check,773,2,311,1,1,1
186,1186,58,29,6116.61,55.72,Two year,No,Electronic check,350,14,165,0,1,1
187,1187,53,120,6591.2,69.83,Month-to-month,No,Mailed check,396,8,344,0,1,1
188,1188,80,22,4257.12,59.58,Month-to-month,DSL,Electronic check,367,18,29,1,0,1
189,1189,70,115,1839.18,85.56,One year,DSL,Electronic check,578,14,360,1,1,1
190,1190,60,60,2067.01,101.06,Two year,No,Electronic check,124,19,27,0,1,1
191,1191,45,49,4664.28,72.12,One year,DSL,Bank transfer,213,15,18,0,0,1
192,1192,82,86,9953.87,23.03,One year,DSL,Mailed check,252,8,183,1,1,1
193,1193,26,38,3448.61,106.47,One year,DSL,Electronic check,644,16,150,1,1,1
194,1194,45,101,7050.78,58.57,Two year,No,Bank transfer,205,0,109,0,1,1
195,1195,77,21,4257.56,81.92,One year,Fiber optic,Credit card,626,9,122,1,0,1
196,1196,37,49,1011.29,49.94,Two year,No,Mailed check,5,11,17,0,0,1
197,1197,45,92,7048.95,37.76,One year,No,Mailed check,746,1,54,1,1,1
198,1198,36,49,7803.44,91.31,Two year,No,Electronic check,79,15,118,1,1,1
199,1199,68,91,6268.96,27.11,Two year,DSL,Mailed check,597,14,360,1,0,1
200,1200,75,69,9451.51,22.68,One year,Fiber optic,Bank transfer,873,7,318,1,1,1
201,1201,50,61,1726.8,78.05,Month-to-month,DSL,Credit card,7,7,37,0,0,1
202,1202,59,83,858.36,48.1,One year,DSL,Bank transfer,224,13,284,1,0,1
203,1203,73,50,7502.86,35.45,Month-to-month,No,Bank transfer,893,18,27,1,0,1
204,1204,75,60,9964.61,59.94,Two year,No,Credit card,523,13,123,1,0,1
205,1205,60,45,5463.6,39.68,Month-to-month,No,Mailed check,140,4,244,1,0,1
206,1206,29,103,8496.71,69.36,Month-to-month,No,Mailed check,3,14,331,0,0,1
207,1207,53,118,2340.59,87.85,Month-to-month,No,Credit card,685,18,292,0,0,1
208,1208,73,98,2798.31,111.74,Month-to-month,No,Mailed check,446,3,282,1,1,1
209,1209,83,33,7660.55,34.91,Month-to-month,No,Credit card,86,18,32,1,1,1
210,1210,35,38,3651.78,91.04,Two year,Fiber optic,Electronic check,367,13,269,1,1,1
211,1211,60,40,9860.37,20.76,Month-to-month,DSL,Credit card,629,6,335,0,0,1
212,1212,78,76,6404.03,96.61,Month-to-month,DSL,Electronic check,62,12,211,1,0,1
213,1213,19,74,8847.88,112.83,One year,Fiber optic,Credit card,29,13,359,0,1,1
214,1214,18,96,4782.74,115.91,Month-to-month,DSL,Bank transfer,164,3,92,0,1,1
215,1215,29,9,4406.72,45.34,One year,DSL,Mailed check,370,10,302,0,0,1
216,1216,72,64,2514.47,81.04,One year,No,Bank transfer,141,1,241,1,1,1
217,1217,71,120,5666.64,62.47,Two year,DSL,Electronic check,41,16,37,1,0,1
218,1218,38,98,2121.57,57.89,Two year,No,Electronic check,775,2,241,0,0,1
219,1219,36,100,6704.21,47.12,One year,No,Credit card,248,9,256,1,1,1
220,1220,32,1,8137.08,45.65,One year,Fiber optic,Credit card,561,3,180,0,1,1
221,1221,69,66,6040.24,100.74,One year,No,Electronic check,470,0,285,1,1,1
222,1222,63,5,9246.69,27.29,Two year,No,Mailed check,559,9,246,0,1,1
223,1223,74,4,5695.5,54.8,Two year,DSL,Electronic check,865,16,165,0,0,1
224,1224,30,44,9494.1,26.3,Two year,No,Mailed check,744,18,124,1,1,1
225,1225,27,56,2601.42,25.16,Month-to-month,DSL,Electronic check,584,4,98,1,0,1
226,1226,62,63,3944.65,93.3,Two year,No,Mailed check,521,4,300,1,1,1
227,1227,62,81,8536.42,69.5,Month-to-month,DSL,Bank transfer,650,17,193,0,1,1
228,1228,79,77,6434.33,27.9,One year,Fiber optic,Mailed check,118,11,143,1,1,1
229,1229,72,78,7441.46,61.87,Month-to-month,No,Bank transfer,484,4,252,1,0,1
230,1230,31,119,5527.06,92.03,Two year,DSL,Electronic check,162,0,79,0,0,1
231,1231,67,107,2144.38,92.93,One year,Fiber optic,Bank transfer,786,7,301,0,1,1
232,1232,39,58,1953.34,75.31,One year,No,Credit card,767,15,305,1,0,1
233,1233,82,62,5114.9,85.15,One year,Fiber optic,Electronic check,288,14,283,0,0,1
234,1234,30,42,6281.53,33.89,Two year,DSL,Mailed check,815,20,229,0,1,1
235,1235,60,9,9195.82,53.49,One year,DSL,Mailed check,925,8,250,1,1,1
236,1236,70,87,1004.8,73.53,Two year,No,Electronic check,140,10,217,1,0,1
237,1237,76,82,8246.92,89.72,Month-to-month,No,Bank transfer,856,4,213,1,1,1
238,1238,52,20,2068.19,31.25,Month-to-month,DSL,Electronic check,177,0,142,0,0,1
239,1239,28,86,8278.74,93.08,Month-to-month,No,Credit card,70,0,317,0,0,1
240,1240,25,95,1929.32,74.06,One year,DSL,Electronic check,448,18,221,0,0,1
241,1241,51,55,9857.97,119.99,Month-to-month,No,Mailed check,837,19,206,0,1,1
242,1242,50,39,9462.05,70.45,Two year,DSL,Mailed check,10,18,188,0,0,1
243,1243,30,76,485.0,41.56,Month-to-month,Fiber optic,Mailed check,132,6,128,0,0,1
244,1244,58,61,1927.29,79.48,One year,No,Mailed check,93,2,248,0,0,1
245,1245,42,84,8579.45,100.2,Two year,No,Electronic check,367,6,267,0,1,1
246,1246,36,3,765.46,21.33,One year,Fiber optic,Bank transfer,763,0,297,0,0,1
247,1247,46,79,5184.0,25.74,One year,Fiber optic,Mailed check,69,8,34,0,0,1
248,1248,27,102,8103.62,44.26,Two year,Fiber optic,Electronic check,789,3,300,1,0,1
249,1249,34,75,758.24,56.8,Two year,No,Electronic check,877,13,136,0,1,1
250,1250,29,7,5909.7,107.31,One year,No,Bank transfer,836,12,359,1,1,1
251,1251,61,77,298.52,117.18,One year,Fiber optic,Credit card,838,16,135,0,1,1
252,1252,30,70,3504.28,35.33,Month-to-month,Fiber optic,Mailed check,883,3,257,0,0,1
253,1253,22,74,6510.52,87.78,One year,DSL,Electronic check,296,20,358,0,0,1
254,1254,47,96,1995.25,75.83,One year,No,Electronic check,861,2,292,1,1,1
255,1255,41,114,3608.75,115.12,Month-to-month,No,Bank transfer,105,3,21,0,1,0
256,1256,39,68,1027.28,55.96,Month-to-month,DSL,Electronic check,161,17,275,0,1,1
257,1257,66,50,7846.69,36.87,One year,Fiber optic,Mailed check,324,17,209,0,0,1
258,1258,79,84,302.94,82.6,One year,No,Credit card,208,1,176,0,1,1
259,1259,49,41,1943.16,61.38,Month-to-month,DSL,Bank transfer,211,4,66,1,0,1
260,1260,49,112,9821.02,70.82,One year,DSL,Electronic check,595,1,334,0,0,1
261,1261,23,66,6094.59,27.62,One year,No,Bank transfer,442,14,325,0,0,1
262,1262,47,32,8142.91,118.7,One year,No,Mailed check,123,18,364,0,0,1
263,1263,61,79,2747.61,79.44,Two year,No,Mailed check,443,1,81,1,1,1
264,1264,59,108,9509.05,78.84,One year,Fiber optic,Mailed check,125,0,120,1,0,1
265,1265,50,37,372.33,57.53,Month-to-month,DSL,Credit card,234,5,231,1,0,1
266,1266,49,74,9431.21,91.7,Month-to-month,DSL,Credit card,20,9,136,0,0,1
267,1267,34,68,2569.09,76.66,Two year,Fiber optic,Mailed check,328,11,49,1,0,1
268,1268,39,82,172.47,92.56,Month-to-month,No,Bank transfer,823,15,223,0,0,1
269,1269,40,9,6097.84,104.23,Two year,DSL,Bank transfer,435,7,303,1,0,1
270,1270,64,117,8873.92,101.66,One year,DSL,Mailed check,190,18,343,1,0,1
271,1271,77,20,1000.88,48.12,Two year,Fiber optic,Credit card,392,9,273,0,1,1
272,1272,35,100,4544.08,111.56,One year,DSL,Mailed check,38,20,201,1,1,1
273,1273,79,107,6634.93,86.67,Month-to-month,No,Bank transfer,951,4,15,1,1,0
274,1274,67,76,1232.37,66.08,One year,DSL,Bank transfer,545,11,194,0,1,1
275,1275,83,90,2461.33,97.71,Two year,No,Mailed check,264,10,331,1,0,1
276,1276,51,70,4735.98,20.54,One year,DSL,Bank transfer,48,16,211,1,0,1
277,1277,68,38,377.27,82.55,One year,Fiber optic,Bank transfer,780,10,268,0,0,1
278,1278,26,15,6967.71,71.28,Two year,DSL,Bank transfer,529,5,133,0,0,1
279,1279,51,118,6471.56,97.4,Two year,No,Mailed check,340,18,271,0,1,1
280,1280,56,83,8334.85,92.64,Month-to-month,DSL,Electronic check,932,16,248,0,0,1
281,1281,76,8,1450.72,117.92,One year,No,Bank transfer,840,2,43,0,0,1
282,1282,75,30,3584.69,104.94,Two year,No,Bank transfer,937,18,6,0,1,1
283,1283,75,83,3953.31,47.25,One year,Fiber optic,Bank transfer,42,13,198,0,1,1
284,1284,45,101,3022.77,110.7,Month-to-month,No,Credit card,807,16,119,0,0,1
285,1285,43,43,9742.79,94.82,Two year,Fiber optic,Bank transfer,896,0,267,1,1,1
286,1286,52,108,1864.29,77.01,Two year,Fiber optic,Mailed check,617,9,154,1,1,1
287,1287,62,94,9739.76,25.35,One year,DSL,Electronic check,119,13,27,0,1,0
288,1288,72,111,5705.55,84.73,Month-to-month,DSL,Electronic check,315,18,175,1,1,1
289,1289,75,16,6660.37,93.55,Two year,No,Mailed check,375,17,109,1,0,1
290,1290,79,66,4196.39,118.91,Month-to-month,Fiber optic,Credit card,408,13,252,1,0,1
291,1291,70,19,1377.5,49.48,Two year,Fiber optic,Bank transfer,138,10,362,1,0,1
292,1292,37,116,7206.99,59.98,One year,DSL,Mailed check,820,8,213,1,0,1
293,1293,77,118,4893.17,73.5,Two year,Fiber optic,Bank transfer,998,13,24,1,0,1
294,1294,65,77,1790.96,79.1,Month-to-month,DSL,Bank transfer,662,12,263,1,1,1
295,1295,26,11,4126.27,79.98,Month-to-month,DSL,Electronic check,180,7,252,1,1,1
296,1296,27,112,3284.03,30.24,Two year,Fiber optic,Credit card,769,1,1,0,1,0
297,1297,28,46,1534.32,109.75,One year,No,Bank transfer,917,12,307,1,0,1
298,1298,60,59,4040.94,104.36,Month-to-month,Fiber optic,Credit card,687,20,352,0,1,1
299,1299,31,81,7077.12,30.51,Month-to-month,Fiber optic,Mailed check,687,19,266,1,0,1
300,1300,83,5,4238.25,91.95,Month-to-month,No,Mailed check,872,0,356,0,1,1
301,1301,49,118,7970.46,88.04,Month-to-month,DSL,Electronic check,624,11,68,1,0,1
302,1302,33,103,1998.49,77.12,Two year,Fiber optic,Credit card,431,3,254,1,0,1
303,1303,65,2,58.4,61.76,Month-to-month,No,Mailed check,286,4,190,0,1,1
304,1304,37,32,7656.56,117.92,Month-to-month,Fiber optic,Bank transfer,924,5,176,1,1,1
305,1305,32,75,596.51,60.94,Month-to-month,DSL,Mailed check,25,4,347,1,1,1
306,1306,46,119,9717.28,104.45,Two year,DSL,Credit card,426,2,37,0,0,1
307,1307,54,14,2734.31,96.88,Two year,Fiber optic,Electronic check,927,4,161,1,0,1
